Lipid,Class,FAD199_m1_66_D,FAD199_m3_66_D,FAD201_m5_61_D,FAD265_m3_59_D,FAD261_m3_81_A,FAD265_m2_74_A,FAD309_55_A,FAD325_39_A,Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(18:0)_QUAL,CAR,4244.460273742676,3896.9802856445312,6956.720470428467,4675.560329437256,3243.7602462768555,6312.540435791016,6302.480411529541,6718.620468139648,4162.380275726318,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(18:1),CAR,2868.020217895508,2130.1201515197754,3592.2802734375,2652.660186767578,1832.5201263427734,2594.3601722717285,3294.260208129883,3853.88028717041,1948.2201347351074,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(18:1)_QUAL,CAR,3788.6002769470215,3456.6802673339844,6222.280448913574,4786.6403884887695,3129.720199584961,5372.22034072876,5542.600368499756,5220.380367279053,3794.940254211426,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(18:2),CAR,3379.780227661133,3379.2602577209473,4826.000358581543,3476.12020111084,2233.7001609802246,3928.340286254883,3654.6202812194824,4550.52029800415,2877.360176086426,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(18:2)_QUAL,CAR,3561.540252685547,2936.640182495117,4953.560348510742,3809.3802795410156,2589.880184173584,4073.180274963379,4693.660339355469,4502.820289611816,3380.560234069824,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(18:3),CAR,2598.8201866149902,2351.260154724121,3749.3202590942383,2605.680160522461,1947.3601341247559,3335.0202445983887,3208.8002014160156,3722.3802757263184,2588.780204772949,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(18:3)_QUAL,CAR,4596.940288543701,3532.7002296447754,7055.160491943359,4998.500354766846,3035.280227661133,6024.380416870117,5681.100414276123,6968.86051940918,4367.680294036865,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(18:4),CAR,3352.960231781006,3042.740219116211,5655.640380859375,4081.560291290283,2626.680191040039,4749.260341644287,5369.120391845703,4952.120330810547,3211.8402519226074,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(18:4)_QUAL,CAR,4398.160350799561,4087.84024810791,7925.360488891602,4890.380336761475,3150.5402297973633,5252.480438232422,6342.1405029296875,6530.64045715332,3885.4603004455566,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(20:0),CAR,2482.900188446045,2081.120147705078,2778.9801864624023,2009.000144958496,1534.5401000976562,2231.3801651000977,2205.5401725769043,2740.240177154541,1862.6201362609863,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(20:0)_QUAL,CAR,5956.480419158936,4985.000343322754,10488.56069946289,7405.740455627441,4146.400295257568,8061.100540161133,9378.640712738037,10130.760688781738,5530.580421447754,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
