Lipid,Class,FAD199_m1_66_B,FAD199_m3_66_B,FAD201_m5_61_B,FAD265_m3_59_B,FAD261_m3_81_C,FAD265_m2_74_C,FAD309_55_C,FAD325_39_C,Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(14:1),CAR,1747.7201080322266,2828.0401763916016,1643.3601188659668,1627.3001136779785,2015.8401565551758,1992.2001419067383,1978.9401473999023,1685.2001113891602,1837.2401237487793,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(14:1)_QUAL,CAR,4307.480308532715,9769.940673828125,4264.500339508057,3658.660285949707,6406.100456237793,4676.20036315918,5218.580364227295,3799.6202507019043,5046.040378570557,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(14:2),CAR,2898.700225830078,5488.620346069336,2897.380199432373,2633.520160675049,3581.88028717041,3007.180202484131,3591.160259246826,2517.680164337158,3186.260227203369,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(14:2)_QUAL,CAR,43519.542541503906,119692.04852294922,40716.362854003906,34812.52243041992,73661.20541381836,46761.14373779297,66833.90441894531,37791.56248474121,51347.30401611328,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(16:0),CAR,2239.9201583862305,4046.4402656555176,2095.140163421631,2135.620143890381,2187.840156555176,2563.080177307129,2809.7201919555664,1976.6001586914062,2108.1201553344727,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(16:0)_QUAL,CAR,3327.2602195739746,8535.260581970215,3171.800224304199,3026.980213165283,5043.38032913208,3653.500286102295,5588.260398864746,3056.280200958252,3809.7002716064453,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(16:1),CAR,1479.4401092529297,2624.6001739501953,1657.8801193237305,1710.3201217651367,1846.4201278686523,1825.10013961792,2018.3201293945312,1643.3201065063477,1816.640121459961,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(16:1)_QUAL,CAR,4605.660316467285,10939.300674438477,4718.060314178467,3758.300247192383,6791.900466918945,4922.880321502686,7663.000518798828,4169.200275421143,7357.380523681641,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(16:2),CAR,1819.7201347351074,2897.2002334594727,1950.1001358032227,1699.5401191711426,2302.4201622009277,2417.2801780700684,2401.940174102783,2209.6401405334473,1863.6401290893555,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(16:2)_QUAL,CAR,2152.320137023926,4311.780292510986,2191.560161590576,2327.3801612854004,2970.2802200317383,2508.020179748535,3171.380229949951,2275.5001640319824,2864.0202140808105,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(17:0),CAR,2211.800136566162,5041.740333557129,2091.5401496887207,1900.6801376342773,2961.120189666748,2523.520175933838,3462.9202728271484,1967.2201461791992,2831.5202255249023,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(17:0)_QUAL,CAR,5006.720355987549,12172.280899047852,4380.1403465271,4023.9202995300293,7105.18049621582,6058.960468292236,7765.620529174805,4614.340293884277,5544.080337524414,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(18:0),CAR,1974.0601539611816,3877.7003059387207,2083.8801345825195,1901.6601295471191,2424.9401893615723,2478.060157775879,2630.3402061462402,1845.3801193237305,2296.820167541504,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(18:0)_QUAL,CAR,3182.520248413086,7539.720504760742,3056.0202140808105,2938.7602005004883,5000.06033706665,4095.20027923584,5264.400352478027,3658.500259399414,4162.380275726318,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(18:1),CAR,2167.3801612854004,4332.66024017334,2177.440139770508,1824.4601364135742,2235.800178527832,3289.9602394104004,2645.600170135498,1952.300136566162,1948.2201347351074,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(18:1)_QUAL,CAR,3373.5802421569824,6997.940490722656,3168.200206756592,3110.1602058410645,4656.000335693359,3354.0202026367188,4377.5602951049805,3093.9402084350586,3794.940254211426,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(18:2),CAR,2494.5601654052734,5110.140357971191,2505.500171661377,2333.2401733398438,2938.0801963806152,2973.7402420043945,3294.7802200317383,2883.620185852051,2877.360176086426,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(18:2)_QUAL,CAR,2558.580177307129,5432.980377197266,3106.0602226257324,2395.6601524353027,3553.1202812194824,3007.020206451416,3509.260265350342,2709.1002082824707,3380.560234069824,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(18:3),CAR,1744.0401191711426,4563.240310668945,2095.74015045166,1917.6201400756836,2412.3001823425293,2469.2201919555664,3174.5602378845215,2042.480136871338,2588.780204772949,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(18:3)_QUAL,CAR,2975.000217437744,7319.640487670898,3533.420234680176,2940.460216522217,4866.660331726074,4002.460273742676,4718.940319061279,3454.380302429199,4367.680294036865,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(18:4),CAR,2302.140151977539,6399.180480957031,2556.240177154541,2262.560161590576,3442.040237426758,2864.600200653076,4117.420330047607,2228.3401374816895,3211.8402519226074,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(18:4)_QUAL,CAR,3476.840229034424,8058.820587158203,3629.2202796936035,2949.2202339172363,4736.480377197266,3643.3202590942383,5295.820358276367,3345.840274810791,3885.4603004455566,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(20:0),CAR,1670.3201293945312,2852.540180206299,1814.9201278686523,1699.460117340088,1993.0401229858398,2085.420154571533,2003.3601379394531,1813.7601318359375,1862.6201362609863,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(20:0)_QUAL,CAR,5211.460346221924,11305.560707092285,5119.860382080078,4145.640289306641,6964.700523376465,5644.440410614014,7342.2205810546875,4800.000358581543,5530.580421447754,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(20:1),CAR,2178.2401733398438,4407.560325622559,2078.3401412963867,2103.1801376342773,2831.3202018737793,3019.620204925537,2995.9602088928223,2519.9801902770996,2492.540184020996,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(20:1)_QUAL,CAR,2496.000175476074,4498.040328979492,2275.480167388916,2593.1801986694336,2829.9001960754395,2687.8801918029785,3402.100212097168,2451.660167694092,2906.4402351379395,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(20:2),CAR,3962.4002532958984,8985.540756225586,3650.520278930664,3229.1002311706543,5175.220386505127,4239.500324249268,6347.620429992676,3159.7002487182617,4415.460342407227,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(20:2)_QUAL,CAR,2643.0601959228516,5492.400394439697,2949.2401962280273,2332.3801765441895,3582.4402503967285,3378.500244140625,3512.4002571105957,2606.6201553344727,3671.500289916992,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(20:4),CAR,1675.9601211547852,3591.8002319335938,1696.6401138305664,1785.9201354980469,2110.440174102783,1938.2201461791992,2319.2801513671875,1628.4801025390625,1948.0401306152344,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(20:4)_QUAL,CAR,2702.0401725769043,5869.600395202637,2854.920207977295,2396.0401611328125,3257.2802391052246,2831.240222930908,3795.9203033447266,2687.8201904296875,3134.6801948547363,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(22:0),CAR,2941.080192565918,6443.440490722656,2769.3201866149902,2500.5601806640625,3278.1002464294434,4473.920364379883,3739.420265197754,3085.1202354431152,2918.240219116211,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(22:0)_QUAL,CAR,3342.000244140625,6976.720527648926,3630.0402488708496,3290.4202156066895,4733.460334777832,3795.060276031494,5015.04035949707,3095.6802368164062,4026.280288696289,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(22:2),CAR,3181.540225982666,6901.740501403809,2902.4802055358887,2745.360221862793,3865.7402381896973,3297.1802253723145,4408.940299987793,3207.0402297973633,3558.900230407715,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(22:2)_QUAL,CAR,6452.280422210693,14456.920997619629,6543.000465393066,5760.380393981934,9504.9206199646,6573.86051940918,9338.360694885254,5325.540420532227,7421.480499267578,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(22:4),CAR,1439.0801010131836,2509.7001724243164,1831.4401206970215,1701.440128326416,1898.7001495361328,1826.6001358032227,2003.0401458740234,1763.7801246643066,2133.460159301758,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(22:4)_QUAL,CAR,3479.340263366699,7459.080474853516,3166.1202239990234,2712.820171356201,4469.58028793335,3571.9202842712402,4660.840320587158,3164.720199584961,3600.360237121582,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(22:5),CAR,1565.7001152038574,2324.780170440674,1610.1801109313965,1411.120101928711,1559.260108947754,1611.4401054382324,2016.7001457214355,1564.900104522705,1690.4001083374023,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(22:5)_QUAL,CAR,9430.02066040039,27858.88198852539,13053.62084197998,9576.380729675293,16850.921142578125,11484.380912780762,13985.820991516113,9217.620666503906,9577.780662536621,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(22:6),CAR,1692.3401260375977,2589.10018157959,1737.3001174926758,1839.6201400756836,2014.1201477050781,1897.1601257324219,2371.4601440429688,1750.2601203918457,1972.0601425170898,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(22:6)_QUAL,CAR,4465.040328979492,9301.540626525879,4375.900299072266,4068.3003120422363,6174.540409088135,4975.200355529785,6606.960487365723,4618.380310058594,5134.700370788574,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(26:0),CAR,4600.960342407227,13374.541046142578,4862.420349121094,4854.980327606201,7432.720516204834,6857.08056640625,8194.260593414307,4642.9803466796875,6618.92045211792,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(26:0)_QUAL,CAR,3768.3603019714355,9092.1806640625,3892.9002532958984,3392.0602493286133,6412.360412597656,4592.200336456299,6356.700393676758,4227.060264587402,4622.8603515625,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(2:0),CAR,1523.0001220703125,2297.3401679992676,1673.1401329040527,1477.1001091003418,1816.9001388549805,1542.1401062011719,1756.0201263427734,1530.4001007080078,1491.7801094055176,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(2:0)_QUAL,CAR,1510.760108947754,1837.320125579834,1503.06010055542,1579.6601181030273,1570.860107421875,1586.5601043701172,1893.880142211914,1659.7801094055176,1694.5601119995117,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(3:0),CAR,1493.4801139831543,1874.440128326416,1544.3201141357422,1405.080093383789,1538.740104675293,1583.5601272583008,1622.0401153564453,1393.3600997924805,1683.2801246643066,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(3:0)_QUAL,CAR,1891.5401420593262,3083.480224609375,3399.0202445983887,2229.3601608276367,3099.6802406311035,2895.380214691162,5205.1203689575195,2512.1402015686035,4814.180316925049,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(3:1),CAR,1808.7801246643066,2619.600212097168,2030.4801330566406,1638.0601043701172,2265.1401557922363,1906.980136871338,2255.400161743164,1839.6201210021973,2157.980155944824,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(3:1)_QUAL,CAR,3284.5201988220215,5055.740371704102,4309.560314178467,2675.0001907348633,4568.540294647217,4963.380386352539,6775.320449829102,3110.3002128601074,6171.960414886475,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(4:0),CAR,1452.9601135253906,1829.8801307678223,1680.1001205444336,1424.2401084899902,1700.4201278686523,1720.980110168457,1653.2401161193848,1478.1600914001465,1752.10013961792,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(4:0)_QUAL,CAR,2060.4401321411133,3349.2602500915527,2122.980140686035,1850.4001350402832,2847.000186920166,2361.0401649475098,2960.440216064453,1959.880126953125,2275.4201698303223,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(4:1),CAR,6130.980434417725,14353.22095489502,6091.800430297852,5023.740364074707,9687.680793762207,7305.5004959106445,9941.34075164795,5671.240409851074,7143.620491027832,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(4:1)_QUAL,CAR,2224.6001777648926,3879.6202697753906,2299.400146484375,2076.700138092041,2630.3202018737793,2314.0201568603516,3060.6602210998535,2283.76016998291,2640.4201736450195,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(5:0),CAR,1965.220142364502,4039.5603103637695,2640.740188598633,1952.3601417541504,2811.680202484131,2420.14017868042,2775.200206756592,2255.62015914917,2390.820171356201,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(5:0)_QUAL,CAR,2231.120174407959,3870.4202613830566,2280.220157623291,2109.5601501464844,2971.6202278137207,2395.780170440674,3313.400203704834,1867.8801155090332,2559.0201988220215,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(5:1),CAR,1674.5201148986816,2520.3201599121094,1840.180118560791,1589.1601181030273,2045.0801277160645,2069.780143737793,2402.680160522461,1650.680103302002,2031.5201416015625,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(5:1)_QUAL,CAR,1688.0201225280762,2429.640182495117,1855.5201530456543,1642.3001174926758,2236.2601623535156,1816.6201286315918,2038.0201377868652,1555.5201034545898,1809.4401397705078,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(6:0),CAR,1520.040111541748,1948.2601318359375,1586.960105895996,1447.360107421875,1842.7401313781738,1510.760097503662,1770.4601249694824,1533.4801025390625,1663.4001007080078,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(6:0)_QUAL,CAR,1861.6201248168945,3641.0402641296387,2332.60013961792,1890.4201278686523,2510.26016998291,2083.2401542663574,2672.960189819336,1731.2601280212402,2244.3801612854004,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(6:1),CAR,5805.28044128418,13705.180938720703,5592.24040222168,4397.320346832275,8028.340549468994,5850.200382232666,8412.820575714111,4663.940338134766,6792.740482330322,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(6:1)_QUAL,CAR,1967.2601318359375,3734.6402626037598,2055.8401412963867,2041.240135192871,2772.1001892089844,2072.2801513671875,2469.820156097412,2129.58016204834,2190.1601638793945,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(7:0),CAR,1486.7201080322266,2079.280143737793,1537.760108947754,1583.040111541748,1633.2001266479492,1554.8801193237305,1565.7201080322266,1529.9400939941406,1947.2601318359375,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(7:0)_QUAL,CAR,2608.7201957702637,4870.560291290283,3713.6002922058105,2605.8801765441895,4055.020275115967,3775.500228881836,6343.420406341553,3027.2602005004883,5624.080371856689,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(8:0),CAR,2281.2001457214355,6508.880439758301,2654.7401962280273,2422.500186920166,3499.540252685547,3076.4801864624023,3973.080265045166,2603.440185546875,3285.100212097168,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(8:0)_QUAL,CAR,2375.6201934814453,4623.5803565979,2222.020164489746,2144.18013381958,2776.860191345215,2504.1801567077637,3398.9202308654785,2047.0001525878906,2690.9001846313477,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(8:1),CAR,2772.5802268981934,5532.04035949707,3101.500244140625,2838.1802101135254,4534.920337677002,3025.600227355957,3916.9802780151367,2964.780204772949,3226.6002044677734,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(8:1)_QUAL,CAR,4037.320297241211,9250.080619812012,3618.72025680542,3553.240261077881,5765.460422515869,3732.0602684020996,6602.020336151123,3421.7002487182617,5348.480297088623,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(9:0),CAR,1573.5001258850098,2256.1801567077637,1575.300106048584,1416.8601036071777,1737.9401245117188,1462.800106048584,1709.8801193237305,1475.8400993347168,1800.6201210021973,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(9:0)_QUAL,CAR,1950.2401542663574,4151.820297241211,2203.2201614379883,1906.300148010254,2828.9602088928223,2576.68017578125,3044.920192718506,2017.6401557922363,2704.800205230713,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR_QUAL,CAR,2146.440143585205,2922.3001823425293,1933.6401252746582,1908.1001205444336,2257.380157470703,2685.3601570129395,2382.9201736450195,1811.920124053955,1887.8401412963867,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CE(12:0),CE,5221.480392456055,5244.980365753174,5210.900371551514,5025.460342407227,5338.6403732299805,5103.720333099365,5408.180366516113,5176.620346069336,5206.50036239624,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CE(14:0),CE,5167.840377807617,5530.400405883789,5238.960346221924,5220.560359954834,5597.800399780273,5307.780364990234,5578.900409698486,5185.380355834961,5403.240364074707,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CE(14:1),CE,5068.980377197266,5246.960357666016,5147.720352172852,5149.060352325439,5181.680351257324,5130.920352935791,5227.8603515625,5101.640361785889,5151.1803550720215,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CE(15:0),CE,5858.740428924561,5618.160427093506,5390.300373077393,5367.980377197266,5377.980373382568,5295.580379486084,5781.30037689209,5206.300380706787,5369.840358734131,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CE(15:1),CE,7352.520519256592,5978.02038192749,6950.760517120361,6248.980438232422,6563.460453033447,5846.020404815674,7412.440502166748,5484.080383300781,5919.480407714844,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CE(16:0),CE,6199.840450286865,5801.060409545898,5521.060405731201,5929.7804527282715,6702.260513305664,5875.000408172607,6577.22049331665,5714.300395965576,6312.720439910889,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CE(16:1),CE,6108.920440673828,6026.540428161621,5992.160442352295,5500.900390625,6928.540512084961,5454.440399169922,6627.720474243164,5750.840412139893,5307.72034072876,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CE(16:2),CE,5181.28035736084,5199.620349884033,5125.0403480529785,5115.320384979248,5332.680370330811,5246.920356750488,5358.760372161865,5119.34033203125,5499.320373535156,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CE(16:3),CE,5174.160396575928,5299.960369110107,5311.880393981934,5219.520355224609,5417.900394439697,5156.260368347168,5473.780406951904,5308.800399780273,5222.680358886719,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CE(17:0),CE,5387.720401763916,5517.000396728516,5333.240383148193,5373.940376281738,6184.920433044434,5797.960403442383,5955.42041015625,5445.780391693115,5416.58039855957,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CE(17:1),CE,5198.800361633301,5224.900402069092,5334.680393218994,5148.360374450684,5509.840385437012,5296.160358428955,5251.260353088379,5225.620388031006,5177.940311431885,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CE(18:1),CE,8302.54056930542,7384.740509033203,7739.460521697998,7970.940601348877,9800.820709228516,7797.720546722412,9223.440635681152,8370.420539855957,5510.560371398926,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CE(18:2),CE,10807.580799102783,8676.880630493164,9326.800624847412,13163.941036224365,13884.281066894531,8732.02063369751,9236.140632629395,8408.400588989258,5559.420383453369,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
