Lipid,Class,FAD199_m1_66_D,FAD199_m3_66_D,FAD201_m5_61_D,FAD265_m3_59_D,FAD261_m3_81_C,FAD265_m2_74_C,FAD309_55_C,FAD325_39_C,Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(10:0),CAR,2424.4601821899414,2052.8801460266113,3898.3002700805664,3012.440216064453,2574.920192718506,2155.460147857666,2616.26016998291,1954.3201446533203,2661.9001693725586,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(10:0)_QUAL,CAR,3308.2402381896973,2574.680164337158,4765.580360412598,3706.280246734619,3252.3602333068848,2701.720169067383,3535.2002754211426,2258.740165710449,2898.900215148926,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(10:1),CAR,3281.2202186584473,2258.8601608276367,3818.0602951049805,3514.520233154297,2610.260185241699,3164.260223388672,2822.2201919555664,2092.4601554870605,2162.0001487731934,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(10:1)_QUAL,CAR,3253.720241546631,2809.1201934814453,5163.160358428955,3681.6802673339844,3015.320198059082,2605.080177307129,3776.5802268981934,2012.9401397705078,3336.540256500244,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(10:2),CAR,2853.400203704834,2036.140151977539,4015.0802841186523,2852.0602111816406,3157.7802200317383,2744.8202018737793,3366.7802391052246,2237.3601570129395,2405.200164794922,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(10:2)_QUAL,CAR,22179.781616210938,20332.621459960938,44016.34289550781,28926.301788330078,31457.742042541504,21248.661712646484,29809.322189331055,16650.8212890625,23348.381622314453,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(10:3),CAR,1989.1401290893555,1957.4401359558105,2752.040199279785,1988.8801307678223,1964.540138244629,1957.760124206543,2112.7401580810547,1693.3801155090332,1812.9601249694824,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,2557.880172729492,1961.5601425170898,3620.000286102295,3057.2402267456055,2391.2601623535156,2353.0401725769043,3012.240203857422,2094.820156097412,3044.8602256774902,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(11:0),CAR,2124.5801391601562,1939.0801239013672,2765.180160522461,2832.3802032470703,2332.6201553344727,2050.480155944824,2343.040153503418,1740.9201202392578,2144.900146484375,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(11:0)_QUAL,CAR,3342.040237426758,3205.1001930236816,5227.060363769531,3571.9002723693848,3891.220283508301,3036.16019821167,4235.900321960449,2681.2002029418945,3157.1801986694336,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(12:0),CAR,1710.3201026916504,1671.8601303100586,1974.1601448059082,1869.1201286315918,1836.6601219177246,1700.9201126098633,1900.3601303100586,1541.8200988769531,1750.320125579834,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(12:0)_QUAL,CAR,3343.880226135254,2690.3001708984375,4647.280326843262,3616.0802421569824,3272.2602348327637,2605.3001823425293,4117.820274353027,2435.8801765441895,2939.100200653076,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(14:0),CAR,2128.9601669311523,2138.320171356201,2935.6002044677734,2706.2602005004883,2434.040180206299,2159.3601570129395,2097.740146636963,1807.1601219177246,1947.8601341247559,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,5522.320407867432,4207.580333709717,8759.020622253418,6038.120456695557,5561.8204345703125,4271.4603271484375,6432.200496673584,3749.1402702331543,4949.740325927734,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(14:1),CAR,2185.8601455688477,2163.600154876709,2269.4001541137695,2514.2601737976074,2015.8401565551758,1992.2001419067383,1978.9401473999023,1685.2001113891602,1837.2401237487793,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(14:1)_QUAL,CAR,4601.700336456299,4431.140281677246,8566.240615844727,5965.080406188965,6406.100456237793,4676.20036315918,5218.580364227295,3799.6202507019043,5046.040378570557,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(14:2),CAR,3130.2002449035645,2801.0202293395996,5129.980354309082,3784.1402702331543,3581.88028717041,3007.180202484131,3591.160259246826,2517.680164337158,3186.260227203369,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(14:2)_QUAL,CAR,52433.423583984375,44321.98294067383,103665.9877319336,62098.084411621094,73661.20541381836,46761.14373779297,66833.90441894531,37791.56248474121,51347.30401611328,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(16:0),CAR,2460.660167694092,2631.700206756592,3576.720241546631,2691.920181274414,2187.840156555176,2563.080177307129,2809.7201919555664,1976.6001586914062,2108.1201553344727,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(16:0)_QUAL,CAR,4344.620315551758,3650.7402572631836,7294.520469665527,5058.500354766846,5043.38032913208,3653.500286102295,5588.260398864746,3056.280200958252,3809.7002716064453,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(16:1),CAR,1958.7801361083984,2011.7601585388184,2366.3801612854004,2093.040153503418,1846.4201278686523,1825.10013961792,2018.3201293945312,1643.3201065063477,1816.640121459961,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(16:1)_QUAL,CAR,5912.940441131592,4842.860385894775,10138.320751190186,6586.320465087891,6791.900466918945,4922.880321502686,7663.000518798828,4169.200275421143,7357.380523681641,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(16:2),CAR,2089.5401573181152,2191.2001724243164,3101.1802253723145,2836.2602195739746,2302.4201622009277,2417.2801780700684,2401.940174102783,2209.6401405334473,1863.6401290893555,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(16:2)_QUAL,CAR,2888.5002212524414,2414.200164794922,4120.200290679932,2915.220226287842,2970.2802200317383,2508.020179748535,3171.380229949951,2275.5001640319824,2864.0202140808105,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(17:0),CAR,3096.440200805664,2518.240188598633,4507.420330047607,3148.700252532959,2961.120189666748,2523.520175933838,3462.9202728271484,1967.2201461791992,2831.5202255249023,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(17:0)_QUAL,CAR,6794.740501403809,5169.180362701416,11420.220840454102,7304.7404861450195,7105.18049621582,6058.960468292236,7765.620529174805,4614.340293884277,5544.080337524414,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(18:0),CAR,2665.7601928710938,1911.820140838623,3432.740261077881,2919.960216522217,2424.9401893615723,2478.060157775879,2630.3402061462402,1845.3801193237305,2296.820167541504,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(18:0)_QUAL,CAR,4244.460273742676,3896.9802856445312,6956.720470428467,4675.560329437256,5000.06033706665,4095.20027923584,5264.400352478027,3658.500259399414,4162.380275726318,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(18:1),CAR,2868.020217895508,2130.1201515197754,3592.2802734375,2652.660186767578,2235.800178527832,3289.9602394104004,2645.600170135498,1952.300136566162,1948.2201347351074,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(18:1)_QUAL,CAR,3788.6002769470215,3456.6802673339844,6222.280448913574,4786.6403884887695,4656.000335693359,3354.0202026367188,4377.5602951049805,3093.9402084350586,3794.940254211426,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(18:2),CAR,3379.780227661133,3379.2602577209473,4826.000358581543,3476.12020111084,2938.0801963806152,2973.7402420043945,3294.7802200317383,2883.620185852051,2877.360176086426,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(18:2)_QUAL,CAR,3561.540252685547,2936.640182495117,4953.560348510742,3809.3802795410156,3553.1202812194824,3007.020206451416,3509.260265350342,2709.1002082824707,3380.560234069824,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(18:3),CAR,2598.8201866149902,2351.260154724121,3749.3202590942383,2605.680160522461,2412.3001823425293,2469.2201919555664,3174.5602378845215,2042.480136871338,2588.780204772949,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(18:3)_QUAL,CAR,4596.940288543701,3532.7002296447754,7055.160491943359,4998.500354766846,4866.660331726074,4002.460273742676,4718.940319061279,3454.380302429199,4367.680294036865,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(18:4),CAR,3352.960231781006,3042.740219116211,5655.640380859375,4081.560291290283,3442.040237426758,2864.600200653076,4117.420330047607,2228.3401374816895,3211.8402519226074,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(18:4)_QUAL,CAR,4398.160350799561,4087.84024810791,7925.360488891602,4890.380336761475,4736.480377197266,3643.3202590942383,5295.820358276367,3345.840274810791,3885.4603004455566,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(20:0),CAR,2482.900188446045,2081.120147705078,2778.9801864624023,2009.000144958496,1993.0401229858398,2085.420154571533,2003.3601379394531,1813.7601318359375,1862.6201362609863,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(20:0)_QUAL,CAR,5956.480419158936,4985.000343322754,10488.56069946289,7405.740455627441,6964.700523376465,5644.440410614014,7342.2205810546875,4800.000358581543,5530.580421447754,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(20:1),CAR,3327.3402366638184,3256.180221557617,4166.900352478027,3472.2002334594727,2831.3202018737793,3019.620204925537,2995.9602088928223,2519.9801902770996,2492.540184020996,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(20:1)_QUAL,CAR,2960.9002075195312,2481.2601737976074,4220.94030380249,3354.5002517700195,2829.9001960754395,2687.8801918029785,3402.100212097168,2451.660167694092,2906.4402351379395,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(20:2),CAR,4833.080337524414,5251.900352478027,8560.0806350708,5423.540374755859,5175.220386505127,4239.500324249268,6347.620429992676,3159.7002487182617,4415.460342407227,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(20:2)_QUAL,CAR,3338.100238800049,3132.5802268981934,5219.000392913818,3900.5002975463867,3582.4402503967285,3378.500244140625,3512.4002571105957,2606.6201553344727,3671.500289916992,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(20:4),CAR,2202.8601570129395,2005.0601348876953,2594.800178527832,2063.7801475524902,2110.440174102783,1938.2201461791992,2319.2801513671875,1628.4801025390625,1948.0401306152344,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(20:4)_QUAL,CAR,3186.6602172851562,3013.060199737549,4761.540370941162,3791.340259552002,3257.2802391052246,2831.240222930908,3795.9203033447266,2687.8201904296875,3134.6801948547363,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(22:0),CAR,4130.300258636475,3083.040241241455,5922.580463409424,3316.820240020752,3278.1002464294434,4473.920364379883,3739.420265197754,3085.1202354431152,2918.240219116211,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(22:0)_QUAL,CAR,3855.620273590088,4052.9402770996094,6631.820449829102,4554.400310516357,4733.460334777832,3795.060276031494,5015.04035949707,3095.6802368164062,4026.280288696289,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(22:2),CAR,3841.9602661132812,3419.6002655029297,5991.520408630371,4569.820362091064,3865.7402381896973,3297.1802253723145,4408.940299987793,3207.0402297973633,3558.900230407715,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(22:2)_QUAL,CAR,7396.840518951416,6150.8403968811035,13037.780860900879,9233.020652770996,9504.9206199646,6573.86051940918,9338.360694885254,5325.540420532227,7421.480499267578,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(22:4),CAR,1954.2401428222656,1808.0601119995117,2495.920181274414,2079.640151977539,1898.7001495361328,1826.6001358032227,2003.0401458740234,1763.7801246643066,2133.460159301758,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(22:4)_QUAL,CAR,4037.480293273926,3686.6202545166016,6919.300498962402,4519.320350646973,4469.58028793335,3571.9202842712402,4660.840320587158,3164.720199584961,3600.360237121582,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(22:5),CAR,1681.480110168457,1558.8001174926758,1814.1801261901855,1940.5401420593262,1559.260108947754,1611.4401054382324,2016.7001457214355,1564.900104522705,1690.4001083374023,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(22:5)_QUAL,CAR,13547.660926818848,12880.180870056152,41218.982192993164,16905.98137664795,16850.921142578125,11484.380912780762,13985.820991516113,9217.620666503906,9577.780662536621,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(22:6),CAR,1934.460147857666,1920.7201347351074,2398.260181427002,2098.340160369873,2014.1201477050781,1897.1601257324219,2371.4601440429688,1750.2601203918457,1972.0601425170898,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(22:6)_QUAL,CAR,4962.240352630615,4476.780300140381,8662.220649719238,5663.9204177856445,6174.540409088135,4975.200355529785,6606.960487365723,4618.380310058594,5134.700370788574,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(26:0),CAR,6495.880439758301,6702.880439758301,11537.8408203125,8289.34056854248,7432.720516204834,6857.08056640625,8194.260593414307,4642.9803466796875,6618.92045211792,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(26:0)_QUAL,CAR,5185.320365905762,4383.180320739746,8163.720573425293,5705.500396728516,6412.360412597656,4592.200336456299,6356.700393676758,4227.060264587402,4622.8603515625,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(2:0),CAR,1907.780128479004,1597.900131225586,2430.3001861572266,1594.9401168823242,1816.9001388549805,1542.1401062011719,1756.0201263427734,1530.4001007080078,1491.7801094055176,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(2:0)_QUAL,CAR,1803.6801223754883,1526.7001190185547,2010.360149383545,1637.280117034912,1570.860107421875,1586.5601043701172,1893.880142211914,1659.7801094055176,1694.5601119995117,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(3:0),CAR,1562.1401023864746,1507.1201133728027,1728.7001304626465,1596.5401000976562,1538.740104675293,1583.5601272583008,1622.0401153564453,1393.3600997924805,1683.2801246643066,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(3:0)_QUAL,CAR,4373.480304718018,3759.900302886963,7266.360450744629,5018.100368499756,3099.6802406311035,2895.380214691162,5205.1203689575195,2512.1402015686035,4814.180316925049,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(3:1),CAR,2134.9601440429688,1833.180118560791,2433.2401695251465,2078.360134124756,2265.1401557922363,1906.980136871338,2255.400161743164,1839.6201210021973,2157.980155944824,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(3:1)_QUAL,CAR,5497.800426483154,4413.740295410156,9103.760654449463,6272.640453338623,4568.540294647217,4963.380386352539,6775.320449829102,3110.3002128601074,6171.960414886475,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(4:0),CAR,1601.7401123046875,1570.3001098632812,2007.9001388549805,1880.2801475524902,1700.4201278686523,1720.980110168457,1653.2401161193848,1478.1600914001465,1752.10013961792,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(4:0)_QUAL,CAR,2381.820152282715,2095.480167388916,3700.7602729797363,2643.1401901245117,2847.000186920166,2361.0401649475098,2960.440216064453,1959.880126953125,2275.4201698303223,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(4:1),CAR,8031.660530090332,6929.040512084961,13581.440971374512,8166.600589752197,9687.680793762207,7305.5004959106445,9941.34075164795,5671.240409851074,7143.620491027832,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(4:1)_QUAL,CAR,2810.3401985168457,2262.0001525878906,3910.660316467285,3001.2202377319336,2630.3202018737793,2314.0201568603516,3060.6602210998535,2283.76016998291,2640.4201736450195,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(5:0),CAR,2446.020191192627,2219.4001388549805,3919.6602783203125,3385.6602363586426,2811.680202484131,2420.14017868042,2775.200206756592,2255.62015914917,2390.820171356201,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(5:0)_QUAL,CAR,2777.920196533203,2170.2401580810547,4105.300296783447,2717.0001945495605,2971.6202278137207,2395.780170440674,3313.400203704834,1867.8801155090332,2559.0201988220215,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(5:1),CAR,1895.6801223754883,1983.880126953125,2538.64017868042,2100.3801460266113,2045.0801277160645,2069.780143737793,2402.680160522461,1650.680103302002,2031.5201416015625,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(5:1)_QUAL,CAR,1990.0401496887207,1723.2601127624512,2610.820182800293,2411.3001556396484,2236.2601623535156,1816.6201286315918,2038.0201377868652,1555.5201034545898,1809.4401397705078,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(6:0),CAR,1686.7201194763184,1495.720115661621,1741.6001319885254,1870.320140838623,1842.7401313781738,1510.760097503662,1770.4601249694824,1533.4801025390625,1663.4001007080078,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(6:0)_QUAL,CAR,2442.6001586914062,2279.380157470703,3381.160243988037,2814.660213470459,2510.26016998291,2083.2401542663574,2672.960189819336,1731.2601280212402,2244.3801612854004,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(6:1),CAR,7371.380561828613,6077.340480804443,11038.300765991211,7398.940528869629,8028.340549468994,5850.200382232666,8412.820575714111,4663.940338134766,6792.740482330322,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(6:1)_QUAL,CAR,2439.0401763916016,2043.6201438903809,3322.8602294921875,2609.9001808166504,2772.1001892089844,2072.2801513671875,2469.820156097412,2129.58016204834,2190.1601638793945,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(7:0),CAR,1619.2001304626465,1530.260108947754,1986.3601341247559,1798.1201248168945,1633.2001266479492,1554.8801193237305,1565.7201080322266,1529.9400939941406,1947.2601318359375,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(7:0)_QUAL,CAR,5425.960391998291,3819.4202613830566,8431.280578613281,6103.820449829102,4055.020275115967,3775.500228881836,6343.420406341553,3027.2602005004883,5624.080371856689,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(8:0),CAR,3387.80025100708,2793.3002014160156,4908.160316467285,3727.200263977051,3499.540252685547,3076.4801864624023,3973.080265045166,2603.440185546875,3285.100212097168,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(8:0)_QUAL,CAR,2965.1402168273926,2520.5201683044434,4368.420291900635,3098.660228729248,2776.860191345215,2504.1801567077637,3398.9202308654785,2047.0001525878906,2690.9001846313477,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(8:1),CAR,3289.340232849121,2820.8201942443848,4718.16028213501,3921.140266418457,4534.920337677002,3025.600227355957,3916.9802780151367,2964.780204772949,3226.6002044677734,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(8:1)_QUAL,CAR,5331.820327758789,4228.5803146362305,8286.520603179932,6466.54048538208,5765.460422515869,3732.0602684020996,6602.020336151123,3421.7002487182617,5348.480297088623,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(9:0),CAR,1829.08012008667,1484.8401145935059,2107.14013671875,1810.9601211547852,1737.9401245117188,1462.800106048584,1709.8801193237305,1475.8400993347168,1800.6201210021973,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR(9:0)_QUAL,CAR,2881.3802032470703,2344.300178527832,4043.6602935791016,3168.3802185058594,2828.9602088928223,2576.68017578125,3044.920192718506,2017.6401557922363,2704.800205230713,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR_QUAL,CAR,2636.3202056884766,1789.4201278686523,3109.340263366699,2335.980155944824,2257.380157470703,2685.3601570129395,2382.9201736450195,1811.920124053955,1887.8401412963867,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CE(12:0),CE,5177.480381011963,5105.680305480957,5116.200386047363,5130.30037689209,5338.6403732299805,5103.720333099365,5408.180366516113,5176.620346069336,5206.50036239624,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CE(14:0),CE,5480.800365447998,5460.320373535156,5283.880348205566,5106.840320587158,5597.800399780273,5307.780364990234,5578.900409698486,5185.380355834961,5403.240364074707,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CE(14:1),CE,5077.940341949463,5239.600379943848,5218.100395202637,5040.800342559814,5181.680351257324,5130.920352935791,5227.8603515625,5101.640361785889,5151.1803550720215,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CE(15:0),CE,5411.080352783203,5818.320392608643,5113.580375671387,5253.1203689575195,5377.980373382568,5295.580379486084,5781.30037689209,5206.300380706787,5369.840358734131,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CE(15:1),CE,6407.50044631958,6758.420478820801,5639.400394439697,5271.140369415283,6563.460453033447,5846.020404815674,7412.440502166748,5484.080383300781,5919.480407714844,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CE(16:0),CE,5296.000335693359,5909.320411682129,6037.440406799316,5750.160430908203,6702.260513305664,5875.000408172607,6577.22049331665,5714.300395965576,6312.720439910889,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CE(16:1),CE,5811.500419616699,6157.2004318237305,5858.900417327881,5613.840385437012,6928.540512084961,5454.440399169922,6627.720474243164,5750.840412139893,5307.72034072876,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CE(16:2),CE,5243.060352325439,5198.320358276367,5132.360397338867,5137.580341339111,5332.680370330811,5246.920356750488,5358.760372161865,5119.34033203125,5499.320373535156,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CE(16:3),CE,5380.100353240967,5474.30037689209,5268.28039932251,5128.7403564453125,5417.900394439697,5156.260368347168,5473.780406951904,5308.800399780273,5222.680358886719,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CE(17:0),CE,5558.340362548828,5908.9404373168945,5175.220367431641,5432.840404510498,6184.920433044434,5797.960403442383,5955.42041015625,5445.780391693115,5416.58039855957,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CE(17:1),CE,5323.600353240967,5310.860366821289,5232.240371704102,5202.780353546143,5509.840385437012,5296.160358428955,5251.260353088379,5225.620388031006,5177.940311431885,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CE(18:1),CE,8486.980575561523,8089.660606384277,8101.480606079102,8454.780601501465,9800.820709228516,7797.720546722412,9223.440635681152,8370.420539855957,5510.560371398926,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CE(18:2),CE,12010.580780029297,10359.660705566406,9949.70079421997,12558.00089263916,13884.281066894531,8732.02063369751,9236.140632629395,8408.400588989258,5559.420383453369,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CE(18:3),CE,5241.320373535156,5795.760406494141,5625.400428771973,6213.380451202393,7216.48051071167,5712.860385894775,5724.180366516113,5489.3203773498535,5186.0403480529785,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
