lipid,logFC,logCPM,LR,PValue,FDR,type,AK0135,AK0139,AK0140,AK0142,AK0157,AK0161,AK0169,AK0170,AK0200,AK0202,AK0204,AK0141,AK0144,AK0145,AK0147,AK0154,AK0155,AK0164,AK0166,AK0168,AK0174,AK0175,Blank-1x
"PIo (32:1), PIp (32:0)",0.04029649515536594,7.823108333924919,0.027820921342936344,0.867530529039406,0.9972603099728947,PI,113396.8879699707,794636.1920166016,314607.8377685547,206134.3741455078,88280.28649902344,349505.0646972656,103802.94775390624,392532.9249267578,141290.2501525879,95976.06671142578,651800.42236328125,111426.42803955078,87232.40658569336,485683.4353027344,178089.47436523438,217073.77697753903,324988.9061279297,405403.0686035156,71152.14535522461,65516.44438171387,653527.9439086914,80387.34573364258,26491.121826171875
PIo (34:0),-0.04020052392961913,7.874588113459984,0.02768855406611692,0.8678431337990066,0.9972603099728947,PI,79533.1259765625,585018.65966796875,270850.2185058594,236933.6579589844,141580.18884277344,452269.8420410156,161825.0516357422,455305.9002685547,112719.34887695312,149680.45092773438,441398.6081542969,147698.2121887207,103252.78649902344,473320.2980957031,251551.56115722656,234016.57397460935,271115.5388183594,416017.388671875,65075.94448852539,74929.08485412598,533299.5537109375,154680.43222045898,47303.263244628906
"PIo (34:1), PIp (34:0)",-0.07994566244878017,8.272595110916818,0.10949347118730657,0.7407215500910884,0.9972603099728947,PI,84016.82513427734,865062.24169921875,382594.9256591797,306717.6639404297,119194.17053222656,659880.2336425781,137298.7703552246,733299.82470703125,124806.16897583008,183457.21044921875,618000.4035644531,145742.51168823242,171456.41285705566,751100.400390625,323115.44299316406,368850.1267089844,386111.9099121094,613756.7730712891,63928.08465576172,88179.4255065918,722923.4644775391,92939.82608032228,32186.68197631836
"PIo (34:3), PIp (34:2)",-0.05034527594415002,6.907500662564107,0.043424668787338305,0.8349276920713112,0.9972603099728947,PI,52456.24377441406,298994.3801269531,134501.82946777344,117790.00817871094,51765.78385925293,279248.69525146484,66295.10482025146,220956.63745117188,68358.8649597168,62505.58445739746,313061.91912841797,87693.60615539551,68606.56398391724,282706.35998535156,115064.76876831056,117337.10772705078,130883.56744384766,220353.2944946289,31464.822273254395,54547.66368865967,289061.6989135742,65720.14443969727,13664.821102142334
"PIo (34:4), PIp (34:3)",-0.15019449840459942,6.583177560624451,0.386319530865876,0.5342403848809927,0.9972603099728947,PI,39316.00294494629,216876.87432861328,111152.3682861328,106976.60760498048,45973.963775634766,217037.3758239746,57939.02422332764,170304.09197998047,42173.18299865723,45659.763359069824,198782.77655029297,56287.56428527832,54230.26280212402,225008.54135131836,90820.04718017578,136406.14935302734,110778.5256652832,191610.99334716797,28784.362129211426,28952.061973571777,195683.0354309082,37971.042572021484,11936.740810394287
PIo (36:0),0.07926918885464404,7.093948120390646,0.10764582311821869,0.742840417282539,0.9972603099728947,PI,89808.16728210449,325712.48486328125,153351.23107910156,138586.6483154297,70314.46466064453,287820.8010253906,97474.62794494627,242575.8367919922,109278.80752563477,104682.16818237305,287433.2401123047,103601.4279937744,72143.5443572998,242418.53649902344,131027.3076171875,121684.0694580078,154380.41259765625,265746.75842285156,38158.50262451172,49776.60346984863,286213.24224853516,84489.7048034668,23477.381713867188
"PIo (36:1), PIp (36:0)",0.01408491965829504,7.185017915497038,0.0033989964140346274,0.9535089405761336,0.9972603099728947,PI,60271.32434082031,363234.3862304687,172158.2325439453,156144.55200195312,92458.02728271484,278188.45849609375,115512.62771606444,248570.07873535156,91286.8858642578,88849.22651672363,282849.4365234375,104974.32769012453,75775.08596801758,277536.2431640625,143122.91149902344,158769.85192871094,167775.00927734375,280972.1417236328,42693.10358428955,51376.00365447998,278189.71893310547,64302.16499328613,28070.68194580078
"PIo (36:2), PIp (36:1)",0.05071589303344727,6.917108447614949,0.04406628779543098,0.8337303327500378,0.9972603099728947,PI,53736.2042388916,307076.38342285156,145027.94952392578,130590.6890258789,57348.46469116211,259782.86376953125,89429.22685241699,214499.45727539065,94642.22520446776,86124.0866394043,245554.29736328125,92259.76637268066,66899.90548706055,220415.61614990231,110602.84753417967,111612.98919677734,142324.56951904297,255794.64044189453,32493.24237060547,39934.26281738281,246386.6968383789,81656.42770385742,17265.601135253906
"PIo (36:3), PIp (36:2)",-0.019159050493958992,7.216479322375842,0.006289122673479142,0.9367908335229254,0.9972603099728947,PI,105610.66883087158,359300.8055419922,180714.71228027344,163948.29125976562,67920.88467407227,321068.2789916992,99332.20636749268,259079.1011352539,73036.86515808105,96290.66752624512,337931.98333740234,100637.64800262453,71397.02447509766,293449.6985473633,123685.86953735352,135221.8471069336,170059.45175170898,359112.7233276367,56490.564292907715,88153.74615478516,324280.9428100586,103158.6671142578,11293.18072128296
"PIo (36:4), PIp (36:3)",0.09790374966184993,6.869270230356305,0.16419315466919215,0.6853249593065323,0.9972603099728947,PI,58711.62433242798,284079.97912597656,153036.9508972168,136212.06903076172,56260.4835357666,238495.11529541016,111863.50700378418,200648.95703125,47513.603229522705,87004.14671325684,237428.99575805664,82919.88581848145,55262.64414215088,225895.97552490231,97987.64682006836,100664.84622192384,139099.06829833984,289060.21881103516,32661.182041168213,37713.22277069092,235819.4765625,47334.84387207031,20704.50160980225
