lipid,Class,Sample,Sum_Intensity,Brain_Region
DG(40:10)|DG(39:3)_C18:0,DAG,FAD185_M1,224999.83750534058,All
DG(40:10)|DG(39:3)_C18:0,DAG,DOD94_F3,23826.501667022705,All
DG(40:10)|DG(39:3)_C18:0,DAG,FAD185_M4,157085.43169784546,All
DG(40:10)|DG(39:3)_C18:0,DAG,FAD189_M1,59506.884284973145,All
DG(40:10)|DG(39:3)_C18:0,DAG,FAD184_F4,51995.40376281738,All
DG(40:10)|DG(39:3)_C18:0,DAG,DOD93_F4,25823.741882324222,All
DG(40:10)|DG(39:3)_C18:0,DAG,Blank_Blank,12896.480987548828,All
DG(40:10)|DG(39:3)_C18:0,DAG,FAD185_M3,67512.30476379395,All
[TG(61:12)|TG(60:5)]_FA22:6,TAG,DOD94_F4,3018473.1596679688,All
[TG(61:12)|TG(60:5)]_FA22:6,TAG,FAD189_M2,25567938.50845337,All
[TG(61:12)|TG(60:5)]_FA22:6,TAG,FAD189_M3,4217155.578643799,All
[TG(61:12)|TG(60:5)]_FA22:6,TAG,FAD184_F3,3724188.441131592,All
[TG(61:12)|TG(60:5)]_FA22:6,TAG,FAD185_M1,45416123.34448242,All
[TG(61:12)|TG(60:5)]_FA22:6,TAG,DOD94_F3,4165607.8424072266,All
[TG(61:12)|TG(60:5)]_FA22:6,TAG,FAD185_M4,4848931.93170166,All
[TG(61:12)|TG(60:5)]_FA22:6,TAG,FAD189_M1,34398763.91229248,All
[TG(61:12)|TG(60:5)]_FA22:6,TAG,FAD184_F4,5105395.455718994,All
[TG(61:12)|TG(60:5)]_FA22:6,TAG,DOD93_F4,4347668.792053223,All
[TG(61:12)|TG(60:5)]_FA22:6,TAG,Blank_Blank,615177.7972412109,All
[TG(61:12)|TG(60:5)]_FA22:6,TAG,FAD185_M3,37022727.38623047,All
[TG(61:11)|TG(60:4)]_FA22:5,TAG,DOD94_F4,2690660.5974121094,All
[TG(61:11)|TG(60:4)]_FA22:5,TAG,FAD189_M2,22577082.77734375,All
[TG(61:11)|TG(60:4)]_FA22:5,TAG,FAD189_M3,3661466.0385742188,All
[TG(61:11)|TG(60:4)]_FA22:5,TAG,FAD184_F3,3290699.9889526367,All
[TG(61:11)|TG(60:4)]_FA22:5,TAG,FAD185_M1,39416901.58666992,All
[TG(61:11)|TG(60:4)]_FA22:5,TAG,DOD94_F3,3569323.3510131836,All
[TG(61:11)|TG(60:4)]_FA22:5,TAG,FAD185_M4,4289519.657653809,All
[TG(61:11)|TG(60:4)]_FA22:5,TAG,FAD189_M1,30130030.220062256,All
[TG(61:11)|TG(60:4)]_FA22:5,TAG,FAD184_F4,4570689.332183838,All
[TG(61:11)|TG(60:4)]_FA22:5,TAG,DOD93_F4,3804701.2720336914,All
[TG(61:11)|TG(60:4)]_FA22:5,TAG,Blank_Blank,550258.6802978516,All
[TG(61:11)|TG(60:4)]_FA22:5,TAG,FAD185_M3,32704971.40789795,All
LPE(20:4),PE,DOD94_F4,22926.041873931885,All
LPE(20:4),PE,FAD189_M2,14860.660968780518,All
LPE(20:4),PE,FAD189_M3,13330.400936126709,All
LPE(20:4),PE,FAD184_F3,22625.001499176025,All
LPE(20:4),PE,FAD185_M1,649837.2657432556,All
LPE(20:4),PE,DOD94_F3,81323.88583755493,All
LPE(20:4),PE,FAD185_M4,65613.40496063232,All
LPE(20:4),PE,FAD189_M1,115505.1085472107,All
LPE(20:4),PE,FAD184_F4,19867.461498260498,All
LPE(20:4),PE,DOD93_F4,73619.48531341553,All
LPE(20:4),PE,Blank_Blank,11846.560729980469,All
LPE(20:4),PE,FAD185_M3,289190.6014404297,All
[TG(58:7)|TG(57:0)]_FA20:4,TAG,DOD94_F4,1418422.892150879,All
[TG(58:7)|TG(57:0)]_FA20:4,TAG,FAD189_M2,11617746.235717773,All
[TG(58:7)|TG(57:0)]_FA20:4,TAG,FAD189_M3,1584083.4995117188,All
[TG(58:7)|TG(57:0)]_FA20:4,TAG,FAD184_F3,720829.4118652344,All
[TG(58:7)|TG(57:0)]_FA20:4,TAG,FAD185_M1,4997324.765380859,All
[TG(58:7)|TG(57:0)]_FA20:4,TAG,DOD94_F3,618541.9633789062,All
[TG(58:7)|TG(57:0)]_FA20:4,TAG,FAD185_M4,14352456.347351076,All
[TG(58:7)|TG(57:0)]_FA20:4,TAG,FAD189_M1,39342910.88739014,All
[TG(58:7)|TG(57:0)]_FA20:4,TAG,FAD184_F4,813235.9341430664,All
[TG(58:7)|TG(57:0)]_FA20:4,TAG,DOD93_F4,881054.6248779297,All
[TG(58:7)|TG(57:0)]_FA20:4,TAG,Blank_Blank,161483.61108398438,All
[TG(58:7)|TG(57:0)]_FA20:4,TAG,FAD185_M3,29684588.65234375,All
DG(37:3)_C16:0,DAG,DOD94_F4,6403660.940322877,All
DG(37:3)_C16:0,DAG,FAD189_M2,31626029.993652344,All
DG(37:3)_C16:0,DAG,FAD189_M3,7660057.561138153,All
DG(37:3)_C16:0,DAG,FAD184_F3,1850724.8415298462,All
DG(37:3)_C16:0,DAG,FAD185_M1,21133616.943588257,All
DG(37:3)_C16:0,DAG,DOD94_F3,2201519.7364883423,All
DG(37:3)_C16:0,DAG,FAD185_M4,5035700.554199219,All
DG(37:3)_C16:0,DAG,FAD189_M1,18030942.97095871,All
DG(37:3)_C16:0,DAG,FAD184_F4,4079542.876651763,All
DG(37:3)_C16:0,DAG,DOD93_F4,10179958.839996338,All
DG(37:3)_C16:0,DAG,Blank_Blank,160433.53198242188,All
DG(37:3)_C16:0,DAG,FAD185_M3,9342181.941272736,All
[TG(56:9)|TG(55:2)]_FA20:4,TAG,DOD94_F4,1132245.1397094727,All
[TG(56:9)|TG(55:2)]_FA20:4,TAG,FAD189_M2,12045532.3180542,All
[TG(56:9)|TG(55:2)]_FA20:4,TAG,FAD189_M3,2036076.135131836,All
[TG(56:9)|TG(55:2)]_FA20:4,TAG,FAD184_F3,660058.946472168,All
[TG(56:9)|TG(55:2)]_FA20:4,TAG,FAD185_M1,4736847.191101074,All
[TG(56:9)|TG(55:2)]_FA20:4,TAG,DOD94_F3,855174.1796875,All
[TG(56:9)|TG(55:2)]_FA20:4,TAG,FAD185_M4,20030428.554779053,All
[TG(56:9)|TG(55:2)]_FA20:4,TAG,FAD189_M1,53548153.959472656,All
[TG(56:9)|TG(55:2)]_FA20:4,TAG,FAD184_F4,583262.2030639648,All
[TG(56:9)|TG(55:2)]_FA20:4,TAG,DOD93_F4,690969.673034668,All
[TG(56:9)|TG(55:2)]_FA20:4,TAG,Blank_Blank,193772.17236328125,All
[TG(56:9)|TG(55:2)]_FA20:4,TAG,FAD185_M3,34390195.764160156,All
DG(34:0)_C16:0,DAG,DOD94_F4,132197.57094192505,All
DG(34:0)_C16:0,DAG,FAD189_M2,456033.56914901733,All
DG(34:0)_C16:0,DAG,FAD189_M3,103242.1081199646,All
DG(34:0)_C16:0,DAG,FAD184_F3,142900.2923965454,All
DG(34:0)_C16:0,DAG,FAD185_M1,774808.6362113953,All
DG(34:0)_C16:0,DAG,DOD94_F3,142566.61054229736,All
DG(34:0)_C16:0,DAG,FAD185_M4,28637.381774902344,All
DG(34:0)_C16:0,DAG,FAD189_M1,164802.59147644043,All
DG(34:0)_C16:0,DAG,FAD184_F4,119530.64869689941,All
DG(34:0)_C16:0,DAG,DOD93_F4,253002.9573097229,All
DG(34:0)_C16:0,DAG,Blank_Blank,13668.000900268555,All
DG(34:0)_C16:0,DAG,FAD185_M3,748766.4167785645,All
[TG(51:5)]_FA16:0,TAG,DOD94_F4,10297758.701782227,All
[TG(51:5)]_FA16:0,TAG,FAD189_M2,401753.5895385742,All
[TG(51:5)]_FA16:0,TAG,FAD189_M3,6457143.953674316,All
[TG(51:5)]_FA16:0,TAG,FAD184_F3,8460829.924926758,All
[TG(51:5)]_FA16:0,TAG,FAD185_M1,574788.0232849121,All
[TG(51:5)]_FA16:0,TAG,DOD94_F3,10959994.721679688,All
[TG(51:5)]_FA16:0,TAG,FAD185_M4,9479010.041473389,All
[TG(51:5)]_FA16:0,TAG,FAD189_M1,434856.89208984375,All
[TG(51:5)]_FA16:0,TAG,FAD184_F4,7713301.282653809,All
[TG(51:5)]_FA16:0,TAG,DOD93_F4,7699233.196533203,All
[TG(51:5)]_FA16:0,TAG,Blank_Blank,156760.3299560547,All
[TG(51:5)]_FA16:0,TAG,FAD185_M3,618157.0672912598,All
[TG(57:10)|TG(56:3)]_FA18:0,TAG,DOD94_F4,2000365.5167236328,All
[TG(57:10)|TG(56:3)]_FA18:0,TAG,FAD189_M2,11509191.383728027,All
[TG(57:10)|TG(56:3)]_FA18:0,TAG,FAD189_M3,2087539.4525146484,All
[TG(57:10)|TG(56:3)]_FA18:0,TAG,FAD184_F3,1395794.7839355469,All
[TG(57:10)|TG(56:3)]_FA18:0,TAG,FAD185_M1,7315026.34387207,All
[TG(57:10)|TG(56:3)]_FA18:0,TAG,DOD94_F3,1397361.514465332,All
[TG(57:10)|TG(56:3)]_FA18:0,TAG,FAD185_M4,13444168.173095701,All
[TG(57:10)|TG(56:3)]_FA18:0,TAG,FAD189_M1,37359742.79449463,All
[TG(57:10)|TG(56:3)]_FA18:0,TAG,FAD184_F4,1553510.3400878906,All
[TG(57:10)|TG(56:3)]_FA18:0,TAG,DOD93_F4,1679704.2041625977,All
[TG(57:10)|TG(56:3)]_FA18:0,TAG,Blank_Blank,173546.25231933594,All
[TG(57:10)|TG(56:3)]_FA18:0,TAG,FAD185_M3,28589732.337402344,All
[TG(54:5)]_FA18:0,TAG,DOD94_F4,906996.6027832031,All
[TG(54:5)]_FA18:0,TAG,FAD189_M2,8543096.414611816,All
[TG(54:5)]_FA18:0,TAG,FAD189_M3,1542974.7443847656,All
[TG(54:5)]_FA18:0,TAG,FAD184_F3,583403.5032958984,All
[TG(54:5)]_FA18:0,TAG,FAD185_M1,3609394.4932250977,All
[TG(54:5)]_FA18:0,TAG,DOD94_F3,692413.2482910156,All
[TG(54:5)]_FA18:0,TAG,FAD185_M4,15168896.616088867,All
[TG(54:5)]_FA18:0,TAG,FAD189_M1,39566517.04840088,All
[TG(54:5)]_FA18:0,TAG,FAD184_F4,483971.2547607422,All
[TG(54:5)]_FA18:0,TAG,DOD93_F4,555627.5590209961,All
[TG(54:5)]_FA18:0,TAG,Blank_Blank,181160.89233398438,All
[TG(54:5)]_FA18:0,TAG,FAD185_M3,26310434.08581543,All
[TG(51:6)]_FA16:1,TAG,DOD94_F4,11584273.490844727,All
[TG(51:6)]_FA16:1,TAG,FAD189_M2,493005.9971923828,All
[TG(51:6)]_FA16:1,TAG,FAD189_M3,7348805.977294922,All
[TG(51:6)]_FA16:1,TAG,FAD184_F3,9616787.65649414,All
[TG(51:6)]_FA16:1,TAG,FAD185_M1,674923.7683105469,All
[TG(51:6)]_FA16:1,TAG,DOD94_F3,11373738.577087402,All
[TG(51:6)]_FA16:1,TAG,FAD185_M4,10793799.17803955,All
[TG(51:6)]_FA16:1,TAG,FAD189_M1,500815.65411376953,All
[TG(51:6)]_FA16:1,TAG,FAD184_F4,8559628.83959961,All
[TG(51:6)]_FA16:1,TAG,DOD93_F4,8628628.591918945,All
[TG(51:6)]_FA16:1,TAG,Blank_Blank,164076.89208984375,All
[TG(51:6)]_FA16:1,TAG,FAD185_M3,703367.5292663574,All
[TG(57:12)|TG(56:5)]_FA18:2,TAG,DOD94_F4,2259270.348022461,All
[TG(57:12)|TG(56:5)]_FA18:2,TAG,FAD189_M2,13763455.667236328,All
[TG(57:12)|TG(56:5)]_FA18:2,TAG,FAD189_M3,2524009.031982422,All
[TG(57:12)|TG(56:5)]_FA18:2,TAG,FAD184_F3,1562584.8870239258,All
[TG(57:12)|TG(56:5)]_FA18:2,TAG,FAD185_M1,8266128.163452148,All
[TG(57:12)|TG(56:5)]_FA18:2,TAG,DOD94_F3,1547486.4653930664,All
[TG(57:12)|TG(56:5)]_FA18:2,TAG,FAD185_M4,15801906.944152832,All
[TG(57:12)|TG(56:5)]_FA18:2,TAG,FAD189_M1,42617477.416503906,All
[TG(57:12)|TG(56:5)]_FA18:2,TAG,FAD184_F4,1797106.9831542969,All
[TG(57:12)|TG(56:5)]_FA18:2,TAG,DOD93_F4,1866113.0811157227,All
[TG(57:12)|TG(56:5)]_FA18:2,TAG,Blank_Blank,197812.89282226562,All
[TG(57:12)|TG(56:5)]_FA18:2,TAG,FAD185_M3,32507898.10534668,All
[TG(53:8)|TG(52:1)]_FA18:3,TAG,DOD94_F4,8173513.505065918,All
[TG(53:8)|TG(52:1)]_FA18:3,TAG,FAD189_M2,551429.9970703125,All
[TG(53:8)|TG(52:1)]_FA18:3,TAG,FAD189_M3,5349455.524169922,All
[TG(53:8)|TG(52:1)]_FA18:3,TAG,FAD184_F3,6889271.858276367,All
[TG(53:8)|TG(52:1)]_FA18:3,TAG,FAD185_M1,709317.7113647461,All
[TG(53:8)|TG(52:1)]_FA18:3,TAG,DOD94_F3,8719146.177307129,All
[TG(53:8)|TG(52:1)]_FA18:3,TAG,FAD185_M4,7739154.751434327,All
[TG(53:8)|TG(52:1)]_FA18:3,TAG,FAD189_M1,655612.7847595215,All
[TG(53:8)|TG(52:1)]_FA18:3,TAG,FAD184_F4,6395526.914733887,All
[TG(53:8)|TG(52:1)]_FA18:3,TAG,DOD93_F4,6232236.545593262,All
[TG(53:8)|TG(52:1)]_FA18:3,TAG,Blank_Blank,143988.970703125,All
[TG(53:8)|TG(52:1)]_FA18:3,TAG,FAD185_M3,792556.1161499023,All
[TG(51:4)]_FA14:0,TAG,DOD94_F4,6525605.85824585,All
[TG(51:4)]_FA14:0,TAG,FAD189_M2,411146.84881591797,All
[TG(51:4)]_FA14:0,TAG,FAD189_M3,4170806.735961914,All
[TG(51:4)]_FA14:0,TAG,FAD184_F3,5442815.04296875,All
[TG(51:4)]_FA14:0,TAG,FAD185_M1,494701.5153808594,All
[TG(51:4)]_FA14:0,TAG,DOD94_F3,6752443.440185547,All
[TG(51:4)]_FA14:0,TAG,FAD185_M4,6308028.077453613,All
[TG(51:4)]_FA14:0,TAG,FAD189_M1,425106.6276245117,All
[TG(51:4)]_FA14:0,TAG,FAD184_F4,4671628.30065918,All
[TG(51:4)]_FA14:0,TAG,DOD93_F4,4926134.396270752,All
[TG(51:4)]_FA14:0,TAG,Blank_Blank,330790.8243408203,All
[TG(51:4)]_FA14:0,TAG,FAD185_M3,492145.61309814453,All
[TG(56:6)]_FA18:3,TAG,DOD94_F4,2403366.280029297,All
[TG(56:6)]_FA18:3,TAG,FAD189_M2,13268418.71118164,All
[TG(56:6)]_FA18:3,TAG,FAD189_M3,2703908.930541992,All
[TG(56:6)]_FA18:3,TAG,FAD184_F3,1712156.1782836914,All
[TG(56:6)]_FA18:3,TAG,FAD185_M1,9041866.561035156,All
[TG(56:6)]_FA18:3,TAG,DOD94_F3,1687625.2677612305,All
[TG(56:6)]_FA18:3,TAG,FAD185_M4,16637542.681030273,All
[TG(56:6)]_FA18:3,TAG,FAD189_M1,45240994.792785645,All
[TG(56:6)]_FA18:3,TAG,FAD184_F4,1946744.0685424805,All
[TG(56:6)]_FA18:3,TAG,DOD93_F4,2019063.7884521484,All
[TG(56:6)]_FA18:3,TAG,Blank_Blank,310256.2634277344,All
[TG(56:6)]_FA18:3,TAG,FAD185_M3,34847383.57556152,All
[TG(57:11)|TG(56:4)]_FA18:1,TAG,DOD94_F4,2224277.8430786133,All
[TG(57:11)|TG(56:4)]_FA18:1,TAG,FAD189_M2,12789777.565612793,All
[TG(57:11)|TG(56:4)]_FA18:1,TAG,FAD189_M3,2422238.6005249023,All
[TG(57:11)|TG(56:4)]_FA18:1,TAG,FAD184_F3,1485314.2454833984,All
[TG(57:11)|TG(56:4)]_FA18:1,TAG,FAD185_M1,7617008.468383789,All
[TG(57:11)|TG(56:4)]_FA18:1,TAG,DOD94_F3,1496917.7576293945,All
[TG(57:11)|TG(56:4)]_FA18:1,TAG,FAD185_M4,15155593.500610353,All
[TG(57:11)|TG(56:4)]_FA18:1,TAG,FAD189_M1,40492797.84283447,All
[TG(57:11)|TG(56:4)]_FA18:1,TAG,FAD184_F4,1704171.33203125,All
[TG(57:11)|TG(56:4)]_FA18:1,TAG,DOD93_F4,1846632.9849853516,All
[TG(57:11)|TG(56:4)]_FA18:1,TAG,Blank_Blank,167388.73095703125,All
[TG(57:11)|TG(56:4)]_FA18:1,TAG,FAD185_M3,30501546.55493164,All
[TG(53:7)|TG(52:0)]_FA18:2,TAG,DOD94_F4,6129816.583251953,All
[TG(53:7)|TG(52:0)]_FA18:2,TAG,FAD189_M2,482245.5940551758,All
[TG(53:7)|TG(52:0)]_FA18:2,TAG,FAD189_M3,4144261.214782715,All
[TG(53:7)|TG(52:0)]_FA18:2,TAG,FAD184_F3,5255879.058898926,All
[TG(53:7)|TG(52:0)]_FA18:2,TAG,FAD185_M1,564081.1630859375,All
[TG(53:7)|TG(52:0)]_FA18:2,TAG,DOD94_F3,6245621.313934326,All
[TG(53:7)|TG(52:0)]_FA18:2,TAG,FAD185_M4,6051304.983337402,All
[TG(53:7)|TG(52:0)]_FA18:2,TAG,FAD189_M1,578100.8233032227,All
[TG(53:7)|TG(52:0)]_FA18:2,TAG,FAD184_F4,4828672.1279296875,All
[TG(53:7)|TG(52:0)]_FA18:2,TAG,DOD93_F4,4748575.483093262,All
[TG(53:7)|TG(52:0)]_FA18:2,TAG,Blank_Blank,131233.44958496094,All
[TG(53:7)|TG(52:0)]_FA18:2,TAG,FAD185_M3,654478.5643005371,All
[TG(54:6)]_FA18:1,TAG,DOD94_F4,1295607.1759643555,All
[TG(54:6)]_FA18:1,TAG,FAD189_M2,10411899.535888672,All
[TG(54:6)]_FA18:1,TAG,FAD189_M3,2053640.8137817383,All
[TG(54:6)]_FA18:1,TAG,FAD184_F3,709880.5928955078,All
[TG(54:6)]_FA18:1,TAG,FAD185_M1,4317958.6052856445,All
[TG(54:6)]_FA18:1,TAG,DOD94_F3,857192.1021728516,All
[TG(54:6)]_FA18:1,TAG,FAD185_M4,19476982.651306152,All
[TG(54:6)]_FA18:1,TAG,FAD189_M1,48825369.69470215,All
[TG(54:6)]_FA18:1,TAG,FAD184_F4,623979.8469848632,All
[TG(54:6)]_FA18:1,TAG,DOD93_F4,743542.8567504883,All
[TG(54:6)]_FA18:1,TAG,Blank_Blank,173763.0517578125,All
[TG(54:6)]_FA18:1,TAG,FAD185_M3,31307285.97045898,All
Cer(d18:0/26:0),Cer,DOD94_F4,173323.99195480347,All
Cer(d18:0/26:0),Cer,FAD189_M2,27791.56191253662,All
Cer(d18:0/26:0),Cer,FAD189_M3,163272.37028503418,All
Cer(d18:0/26:0),Cer,FAD184_F3,157811.5514640808,All
Cer(d18:0/26:0),Cer,FAD185_M1,31906.482173919678,All
Cer(d18:0/26:0),Cer,DOD94_F3,172573.75246429443,All
Cer(d18:0/26:0),Cer,FAD185_M4,156521.59023284912,All
Cer(d18:0/26:0),Cer,FAD189_M1,27586.421852111816,All
Cer(d18:0/26:0),Cer,FAD184_F4,152203.71113204956,All
Cer(d18:0/26:0),Cer,DOD93_F4,125898.28881835938,All
Cer(d18:0/26:0),Cer,Blank_Blank,7168.240493774414,All
Cer(d18:0/26:0),Cer,FAD185_M3,29134.86235809326,All
PE(44:1),PE,DOD94_F4,4834400.50220108,All
PE(44:1),PE,FAD189_M2,467050.6125946045,All
PE(44:1),PE,FAD189_M3,3168802.4023857117,All
PE(44:1),PE,FAD184_F3,3891077.6351470947,All
PE(44:1),PE,FAD185_M1,593134.6581802368,All
PE(44:1),PE,DOD94_F3,4705173.194355011,All
PE(44:1),PE,FAD185_M4,4495733.071651459,All
PE(44:1),PE,FAD189_M1,455781.33195877075,All
PE(44:1),PE,FAD184_F4,3949870.40593338,All
PE(44:1),PE,DOD93_F4,3525065.0985946655,All
PE(44:1),PE,Blank_Blank,259196.9769287109,All
PE(44:1),PE,FAD185_M3,546869.7785453796,All
[TG(54:8)|TG(53:1)]_FA18:3,TAG,DOD94_F4,1368191.0521850586,All
[TG(54:8)|TG(53:1)]_FA18:3,TAG,FAD189_M2,11790577.985351562,All
[TG(54:8)|TG(53:1)]_FA18:3,TAG,FAD189_M3,2381411.2768554688,All
[TG(54:8)|TG(53:1)]_FA18:3,TAG,FAD184_F3,837817.2923583984,All
[TG(54:8)|TG(53:1)]_FA18:3,TAG,FAD185_M1,5042257.473144531,All
[TG(54:8)|TG(53:1)]_FA18:3,TAG,DOD94_F3,1001188.5674438477,All
[TG(54:8)|TG(53:1)]_FA18:3,TAG,FAD185_M4,21884715.30908203,All
[TG(54:8)|TG(53:1)]_FA18:3,TAG,FAD189_M1,53808323.56384277,All
[TG(54:8)|TG(53:1)]_FA18:3,TAG,FAD184_F4,737628.4544677734,All
[TG(54:8)|TG(53:1)]_FA18:3,TAG,DOD93_F4,846191.1978149414,All
[TG(54:8)|TG(53:1)]_FA18:3,TAG,Blank_Blank,202870.0955810547,All
[TG(54:8)|TG(53:1)]_FA18:3,TAG,FAD185_M3,35064071.13208008,All
[TG(54:7)|TG(53:0)]_FA18:2,TAG,DOD94_F4,1371111.6002807617,All
[TG(54:7)|TG(53:0)]_FA18:2,TAG,FAD189_M2,11397169.553894043,All
[TG(54:7)|TG(53:0)]_FA18:2,TAG,FAD189_M3,2259989.6037597656,All
[TG(54:7)|TG(53:0)]_FA18:2,TAG,FAD184_F3,773000.9909057617,All
[TG(54:7)|TG(53:0)]_FA18:2,TAG,FAD185_M1,4569325.3654174805,All
[TG(54:7)|TG(53:0)]_FA18:2,TAG,DOD94_F3,941984.4874267578,All
[TG(54:7)|TG(53:0)]_FA18:2,TAG,FAD185_M4,20958812.24182129,All
[TG(54:7)|TG(53:0)]_FA18:2,TAG,FAD189_M1,51757395.265625,All
[TG(54:7)|TG(53:0)]_FA18:2,TAG,FAD184_F4,667373.8237915039,All
[TG(54:7)|TG(53:0)]_FA18:2,TAG,DOD93_F4,748828.1147155762,All
[TG(54:7)|TG(53:0)]_FA18:2,TAG,Blank_Blank,186259.85302734375,All
[TG(54:7)|TG(53:0)]_FA18:2,TAG,FAD185_M3,32855528.424316406,All
FA(18:2),FA,DOD94_F4,1310973.641052246,All
FA(18:2),FA,FAD189_M2,755271.0906982422,All
FA(18:2),FA,FAD189_M3,766016.8086547852,All
FA(18:2),FA,FAD184_F3,1481404.933746338,All
FA(18:2),FA,FAD185_M1,1124219.2289123535,All
FA(18:2),FA,DOD94_F3,2773299.0162963867,All
FA(18:2),FA,FAD185_M4,3560363.7977905273,All
FA(18:2),FA,FAD189_M1,1349200.5715942383,All
FA(18:2),FA,FAD184_F4,2331914.7416992188,All
FA(18:2),FA,DOD93_F4,1001966.0147094727,All
FA(18:2),FA,Blank_Blank,369305.7890625,All
FA(18:2),FA,FAD185_M3,1085070.4553222656,All
FA(30:1),FA,DOD94_F4,4425057.129863739,All
FA(30:1),FA,FAD189_M2,520690.1956176758,All
FA(30:1),FA,FAD189_M3,1726711.597579956,All
FA(30:1),FA,FAD184_F3,3462048.3082733154,All
FA(30:1),FA,FAD185_M1,610286.279006958,All
