lipid,Class,Sample,Sum_Intensity
[TG(57:12)|TG(56:5)]_FA18:2,TAG,FAD189_M1,42617477.416503906
[TG(57:12)|TG(56:5)]_FA18:2,TAG,FAD184_F4,1797106.9831542969
[TG(57:12)|TG(56:5)]_FA18:2,TAG,DOD93_F4,1866113.0811157227
[TG(57:12)|TG(56:5)]_FA18:2,TAG,Blank_Blank,0.0
[TG(57:12)|TG(56:5)]_FA18:2,TAG,FAD185_M3,32507898.10534668
[TG(53:8)|TG(52:1)]_FA18:3,TAG,DOD94_F4,8173513.505065918
[TG(53:8)|TG(52:1)]_FA18:3,TAG,FAD189_M2,551429.9970703125
[TG(53:8)|TG(52:1)]_FA18:3,TAG,FAD189_M3,5349455.524169922
[TG(53:8)|TG(52:1)]_FA18:3,TAG,FAD184_F3,6889271.858276367
[TG(53:8)|TG(52:1)]_FA18:3,TAG,FAD185_M1,709317.7113647461
[TG(53:8)|TG(52:1)]_FA18:3,TAG,DOD94_F3,8719146.177307129
[TG(53:8)|TG(52:1)]_FA18:3,TAG,FAD185_M4,7739154.751434326
[TG(53:8)|TG(52:1)]_FA18:3,TAG,FAD189_M1,655612.7847595215
[TG(53:8)|TG(52:1)]_FA18:3,TAG,FAD184_F4,6395526.914733887
[TG(53:8)|TG(52:1)]_FA18:3,TAG,DOD93_F4,6232236.545593262
[TG(53:8)|TG(52:1)]_FA18:3,TAG,Blank_Blank,0.0
[TG(53:8)|TG(52:1)]_FA18:3,TAG,FAD185_M3,792556.1161499023
[TG(51:4)]_FA14:0,TAG,DOD94_F4,6525605.85824585
[TG(51:4)]_FA14:0,TAG,FAD189_M2,411146.84881591797
[TG(51:4)]_FA14:0,TAG,FAD189_M3,4170806.735961914
[TG(51:4)]_FA14:0,TAG,FAD184_F3,5442815.04296875
[TG(51:4)]_FA14:0,TAG,FAD185_M1,494701.5153808594
[TG(51:4)]_FA14:0,TAG,DOD94_F3,6752443.440185547
[TG(51:4)]_FA14:0,TAG,FAD185_M4,6308028.077453613
[TG(51:4)]_FA14:0,TAG,FAD189_M1,425106.6276245117
[TG(51:4)]_FA14:0,TAG,FAD184_F4,4671628.30065918
[TG(51:4)]_FA14:0,TAG,DOD93_F4,4926134.396270752
[TG(51:4)]_FA14:0,TAG,Blank_Blank,0.0
[TG(51:4)]_FA14:0,TAG,FAD185_M3,492145.61309814453
[TG(56:6)]_FA18:3,TAG,DOD94_F4,2403366.280029297
[TG(56:6)]_FA18:3,TAG,FAD189_M2,13268418.71118164
[TG(56:6)]_FA18:3,TAG,FAD189_M3,2703908.930541992
[TG(56:6)]_FA18:3,TAG,FAD184_F3,1712156.1782836914
[TG(56:6)]_FA18:3,TAG,FAD185_M1,9041866.561035156
[TG(56:6)]_FA18:3,TAG,DOD94_F3,1687625.2677612305
[TG(56:6)]_FA18:3,TAG,FAD185_M4,16637542.681030273
[TG(56:6)]_FA18:3,TAG,FAD189_M1,45240994.792785645
[TG(56:6)]_FA18:3,TAG,FAD184_F4,1946744.0685424805
[TG(56:6)]_FA18:3,TAG,DOD93_F4,2019063.7884521484
[TG(56:6)]_FA18:3,TAG,Blank_Blank,0.0
[TG(56:6)]_FA18:3,TAG,FAD185_M3,34847383.57556152
[TG(57:11)|TG(56:4)]_FA18:1,TAG,DOD94_F4,2224277.8430786133
[TG(57:11)|TG(56:4)]_FA18:1,TAG,FAD189_M2,12789777.565612793
[TG(57:11)|TG(56:4)]_FA18:1,TAG,FAD189_M3,2422238.6005249023
[TG(57:11)|TG(56:4)]_FA18:1,TAG,FAD184_F3,1485314.2454833984
[TG(57:11)|TG(56:4)]_FA18:1,TAG,FAD185_M1,7617008.468383789
[TG(57:11)|TG(56:4)]_FA18:1,TAG,DOD94_F3,1496917.7576293945
[TG(57:11)|TG(56:4)]_FA18:1,TAG,FAD185_M4,15155593.500610353
[TG(57:11)|TG(56:4)]_FA18:1,TAG,FAD189_M1,40492797.84283447
[TG(57:11)|TG(56:4)]_FA18:1,TAG,FAD184_F4,1704171.33203125
[TG(57:11)|TG(56:4)]_FA18:1,TAG,DOD93_F4,1846632.9849853516
[TG(57:11)|TG(56:4)]_FA18:1,TAG,Blank_Blank,0.0
[TG(57:11)|TG(56:4)]_FA18:1,TAG,FAD185_M3,30501546.55493164
[TG(53:7)|TG(52:0)]_FA18:2,TAG,DOD94_F4,6129816.583251953
[TG(53:7)|TG(52:0)]_FA18:2,TAG,FAD189_M2,482245.5940551758
[TG(53:7)|TG(52:0)]_FA18:2,TAG,FAD189_M3,4144261.214782715
[TG(53:7)|TG(52:0)]_FA18:2,TAG,FAD184_F3,5255879.058898926
[TG(53:7)|TG(52:0)]_FA18:2,TAG,FAD185_M1,564081.1630859375
[TG(53:7)|TG(52:0)]_FA18:2,TAG,DOD94_F3,6245621.313934326
[TG(53:7)|TG(52:0)]_FA18:2,TAG,FAD185_M4,6051304.983337402
[TG(53:7)|TG(52:0)]_FA18:2,TAG,FAD189_M1,578100.8233032227
[TG(53:7)|TG(52:0)]_FA18:2,TAG,FAD184_F4,4828672.1279296875
[TG(53:7)|TG(52:0)]_FA18:2,TAG,DOD93_F4,4748575.483093262
[TG(53:7)|TG(52:0)]_FA18:2,TAG,Blank_Blank,0.0
[TG(53:7)|TG(52:0)]_FA18:2,TAG,FAD185_M3,654478.5643005371
[TG(54:6)]_FA18:1,TAG,DOD94_F4,1295607.1759643555
[TG(54:6)]_FA18:1,TAG,FAD189_M2,10411899.535888672
[TG(54:6)]_FA18:1,TAG,FAD189_M3,2053640.8137817383
[TG(54:6)]_FA18:1,TAG,FAD184_F3,709880.5928955078
[TG(54:6)]_FA18:1,TAG,FAD185_M1,4317958.6052856445
[TG(54:6)]_FA18:1,TAG,DOD94_F3,857192.1021728516
[TG(54:6)]_FA18:1,TAG,FAD185_M4,19476982.651306152
[TG(54:6)]_FA18:1,TAG,FAD189_M1,48825369.69470215
[TG(54:6)]_FA18:1,TAG,FAD184_F4,623979.8469848632
[TG(54:6)]_FA18:1,TAG,DOD93_F4,743542.8567504883
[TG(54:6)]_FA18:1,TAG,Blank_Blank,0.0
[TG(54:6)]_FA18:1,TAG,FAD185_M3,31307285.97045898
Cer(d18:0/26:0),Cer,DOD94_F4,173323.99195480347
Cer(d18:0/26:0),Cer,FAD189_M2,27791.56191253662
Cer(d18:0/26:0),Cer,FAD189_M3,163272.37028503418
Cer(d18:0/26:0),Cer,FAD184_F3,157811.5514640808
Cer(d18:0/26:0),Cer,FAD185_M1,31906.482173919678
Cer(d18:0/26:0),Cer,DOD94_F3,172573.75246429443
Cer(d18:0/26:0),Cer,FAD185_M4,156521.59023284912
Cer(d18:0/26:0),Cer,FAD189_M1,27586.421852111816
Cer(d18:0/26:0),Cer,FAD184_F4,152203.71113204956
Cer(d18:0/26:0),Cer,DOD93_F4,125898.28881835938
Cer(d18:0/26:0),Cer,Blank_Blank,0.0
Cer(d18:0/26:0),Cer,FAD185_M3,29134.86235809326
PE(44:1),PE,DOD94_F4,4834400.50220108
PE(44:1),PE,FAD189_M2,467050.6125946045
PE(44:1),PE,FAD189_M3,3168802.4023857117
PE(44:1),PE,FAD184_F3,3891077.6351470947
PE(44:1),PE,FAD185_M1,593134.6581802368
PE(44:1),PE,DOD94_F3,4705173.194355011
PE(44:1),PE,FAD185_M4,4495733.071651459
PE(44:1),PE,FAD189_M1,455781.33195877075
PE(44:1),PE,FAD184_F4,3949870.40593338
PE(44:1),PE,DOD93_F4,3525065.0985946655
PE(44:1),PE,Blank_Blank,0.0
PE(44:1),PE,FAD185_M3,546869.7785453796
[TG(54:8)|TG(53:1)]_FA18:3,TAG,DOD94_F4,1368191.0521850586
[TG(54:8)|TG(53:1)]_FA18:3,TAG,FAD189_M2,11790577.985351562
[TG(54:8)|TG(53:1)]_FA18:3,TAG,FAD189_M3,2381411.2768554688
[TG(54:8)|TG(53:1)]_FA18:3,TAG,FAD184_F3,837817.2923583984
[TG(54:8)|TG(53:1)]_FA18:3,TAG,FAD185_M1,5042257.473144531
[TG(54:8)|TG(53:1)]_FA18:3,TAG,DOD94_F3,1001188.5674438477
[TG(54:8)|TG(53:1)]_FA18:3,TAG,FAD185_M4,21884715.30908203
[TG(54:8)|TG(53:1)]_FA18:3,TAG,FAD189_M1,53808323.56384277
[TG(54:8)|TG(53:1)]_FA18:3,TAG,FAD184_F4,737628.4544677734
[TG(54:8)|TG(53:1)]_FA18:3,TAG,DOD93_F4,846191.1978149414
[TG(54:8)|TG(53:1)]_FA18:3,TAG,Blank_Blank,0.0
[TG(54:8)|TG(53:1)]_FA18:3,TAG,FAD185_M3,35064071.13208008
[TG(54:7)|TG(53:0)]_FA18:2,TAG,DOD94_F4,1371111.6002807617
[TG(54:7)|TG(53:0)]_FA18:2,TAG,FAD189_M2,11397169.553894043
[TG(54:7)|TG(53:0)]_FA18:2,TAG,FAD189_M3,2259989.6037597656
[TG(54:7)|TG(53:0)]_FA18:2,TAG,FAD184_F3,773000.9909057617
[TG(54:7)|TG(53:0)]_FA18:2,TAG,FAD185_M1,4569325.3654174805
[TG(54:7)|TG(53:0)]_FA18:2,TAG,DOD94_F3,941984.4874267578
[TG(54:7)|TG(53:0)]_FA18:2,TAG,FAD185_M4,20958812.24182129
[TG(54:7)|TG(53:0)]_FA18:2,TAG,FAD189_M1,51757395.265625
[TG(54:7)|TG(53:0)]_FA18:2,TAG,FAD184_F4,667373.8237915039
[TG(54:7)|TG(53:0)]_FA18:2,TAG,DOD93_F4,748828.1147155762
[TG(54:7)|TG(53:0)]_FA18:2,TAG,Blank_Blank,0.0
[TG(54:7)|TG(53:0)]_FA18:2,TAG,FAD185_M3,32855528.424316406
FA(18:2),FA,DOD94_F4,1310973.641052246
FA(18:2),FA,FAD189_M2,755271.0906982422
FA(18:2),FA,FAD189_M3,766016.8086547852
FA(18:2),FA,FAD184_F3,1481404.933746338
FA(18:2),FA,FAD185_M1,1124219.2289123535
FA(18:2),FA,DOD94_F3,2773299.0162963867
FA(18:2),FA,FAD185_M4,3560363.7977905273
FA(18:2),FA,FAD189_M1,1349200.5715942383
FA(18:2),FA,FAD184_F4,2331914.7416992188
FA(18:2),FA,DOD93_F4,1001966.0147094727
FA(18:2),FA,Blank_Blank,0.0
FA(18:2),FA,FAD185_M3,1085070.4553222656
FA(30:1),FA,DOD94_F4,4425057.129863739
FA(30:1),FA,FAD189_M2,520690.1956176758
FA(30:1),FA,FAD189_M3,1726711.597579956
FA(30:1),FA,FAD184_F3,3462048.3082733154
FA(30:1),FA,FAD185_M1,610286.279006958
FA(30:1),FA,DOD94_F3,5601776.80506897
FA(30:1),FA,FAD185_M4,5194721.788421631
FA(30:1),FA,FAD189_M1,519673.70471191406
FA(30:1),FA,FAD184_F4,3021203.351257324
FA(30:1),FA,DOD93_F4,3377289.6749305725
FA(30:1),FA,Blank_Blank,0.0
FA(30:1),FA,FAD185_M3,518597.0355377197
LPC(24:0),PC,DOD94_F4,17854511.552001953
LPC(24:0),PC,FAD189_M2,2414753.446533203
LPC(24:0),PC,FAD189_M3,14843342.443359375
LPC(24:0),PC,FAD184_F3,16201824.37866211
LPC(24:0),PC,FAD185_M1,3182733.397705078
LPC(24:0),PC,DOD94_F3,17902973.30810547
LPC(24:0),PC,FAD185_M4,17509797.581298828
LPC(24:0),PC,FAD189_M1,2629994.924560547
LPC(24:0),PC,FAD184_F4,15439776.638671875
LPC(24:0),PC,DOD93_F4,14712139.373291016
LPC(24:0),PC,Blank_Blank,0.0
LPC(24:0),PC,FAD185_M3,2848344.911376953
LPC(24:1),PC,DOD94_F4,17773984.51611328
LPC(24:1),PC,FAD189_M2,2381621.9931640625
LPC(24:1),PC,FAD189_M3,14809051.76977539
LPC(24:1),PC,FAD184_F3,16054577.21508789
LPC(24:1),PC,FAD185_M1,3131816.3848876953
LPC(24:1),PC,DOD94_F3,17816466.469726566
LPC(24:1),PC,FAD185_M4,17402733.772216797
LPC(24:1),PC,FAD189_M1,2634675.788696289
LPC(24:1),PC,FAD184_F4,15398536.590820312
LPC(24:1),PC,DOD93_F4,14637151.207763672
LPC(24:1),PC,Blank_Blank,0.0
LPC(24:1),PC,FAD185_M3,2841290.7587890625
PC(22:0),PC,DOD94_F4,13686703.293945312
