Class,Intensity,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition
,2584182.920562744,,790.6,601.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,790.6 -> 601.6
,2510903.4603881836,,790.7,573.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,790.7 -> 573.6
,3311812.273864746,,792.6,603.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,792.6 -> 603.6
,1778559.584991455,,792.7,575.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,792.7 -> 575.6
,4324463.707824707,,794.6,605.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,794.6 -> 605.6
,2595165.1226348877,,794.7,577.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,794.7 -> 577.6
,2730220.79397583,,796.7,579.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,796.7 -> 579.6
,1487196.9643554688,,812.7,595.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,812.7 -> 595.6
,1833394.4692993164,,814.7,597.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,814.7 -> 597.6
,2668018.128036499,,816.7,599.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,816.7 -> 599.6
,1527511.7693023682,,818.7,601.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,818.7 -> 601.6
,2749749.7556152344,,820.7,603.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,820.7 -> 603.6
,2444892.4909362793,,822.7,605.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,822.7 -> 605.6
TAG,2147588.99118042,[TG(52:6)]_FA18:1,868.7,569.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,868.7 -> 569.6
TAG,2077466.9470214844,[TG(52:6)]_FA18:1,868.7,569.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,868.7 -> 569.6
TAG,3446471.8658447266,[TG(52:5)]_FA18:1,870.8,571.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,870.8 -> 571.6
TAG,3569656.2090759277,[TG(52:4)]_FA18:1,872.8,573.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,872.8 -> 573.6
TAG,20658623.729888916,"[TG(53:10),TG(52:3)]_FA18:1",874.8,575.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,874.8 -> 575.6
TAG,26769009.46435547,"[TG(53:9),TG(52:2)]_FA18:1",876.8,577.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,876.8 -> 577.6
TAG,4333085.702453613,"[TG(54:7),TG(53:0)]_FA18:1",894.8,595.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,894.8 -> 595.6
TAG,3145901.463317871,[TG(54:6)]_FA18:1,896.8,597.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,896.8 -> 597.6
TAG,12535827.163513184,[TG(54:5)]_FA18:1,898.8,599.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,898.8 -> 599.6
TAG,14229465.170547485,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,900.8 -> 601.6
TAG,34867382.11654663,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,902.8 -> 603.6
TAG,12858486.61076355,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,904.8 -> 605.6
,2785122.7164611816,,760.6,571.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,760.6 -> 571.6
,3849900.071838379,,762.6,573.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,762.6 -> 573.6
,3341981.136199951,,764.6,575.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,764.6 -> 575.6
,2998289.3520202637,,766.7,577.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,766.7 -> 577.6
,2184696.956298828,,782.6,593.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,782.6 -> 593.6
,2011774.502166748,,784.6,595.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,784.6 -> 595.6
,1660142.5967407227,,786.6,569.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,786.6 -> 569.6
,2637600.5267333984,,786.6,597.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,786.6 -> 597.6
,1446897.4620513916,,788.6,571.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,788.6 -> 571.6
