,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Lipid,Correct_RT,Biology,Genotype,Cage,Mouse
422408,423.3,183.0,7.990416666666667,13085629.0,11162023_WT-m1-dienc-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,7.99,dienc,WT,,m1
315345,423.3,183.0,7.990433333333334,13050494.0,11162023_WT-m1-cortex-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,7.99,cortex,WT,,m1
1705822,423.3,183.0,7.9775,13030654.0,11162023_WT-m4-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,7.98,cortex,WT,FAD263,m4
4609145,423.3,183.0,8.003350000000001,12464898.0,11192023_5xFAD-m2-hippo-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,8.0,hippo,5xFAD,FAD231,m2
1961243,423.3,183.0,7.964566666666667,12414807.0,11162023_WT-m4-hippo-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,7.96,hippo,WT,FAD263,m4
3880478,423.3,183.0,8.003333333333334,12394942.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,8.0,cereb,5xFAD,FAD231,m2
4353724,423.3,183.0,8.016283333333334,12151852.0,11192023_5xFAD-m2-dienc-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,8.02,dienc,5xFAD,FAD231,m2
3497346,423.3,183.0,8.016266666666667,12062210.0,11192023_5xFAD-m1-dienc-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,8.02,dienc,5xFAD,,m1
195670,423.3,183.0,8.029183333333334,11877699.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,8.03,cereb,WT,,m1
643839,423.3,183.0,8.016266666666667,11613763.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,8.02,cereb,WT,,m2
