,Biology,Cage,Correct_RT,Genotype,Lipid,Match_Group,Max_Intensity,Mouse,New_ID,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition
29,cortex,FAD231,6.54,5xFAD,18:3,1506.0,6934.9404296875,m2,18:3-FAD231-m2-5xFAD-cortex,2241.16015625,445.4,183.0,6.57,11192023_5xFAD-m2-cortex-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
30,dienc,FAD231,6.56,5xFAD,18:3,1508.0,11928.8408203125,m2,18:3-FAD231-m2-5xFAD-dienc,2288.980224609375,445.4,183.0,6.56,11192023_5xFAD-m2-dienc-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
31,hippo,FAD231,6.56,5xFAD,18:3,1510.0,7507.140625,m2,18:3-FAD231-m2-5xFAD-hippo,7507.140625,445.4,183.0,6.56,11192023_5xFAD-m2-hippo-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
32,cereb,FAD257,6.54,5xFAD,18:3,1505.0,14456.9013671875,m2,18:3-FAD257-m2-5xFAD-cereb,966.2200927734375,445.4,183.0,6.54,11192023_5xFAD-m2-cereb-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
33,cortex,FAD257,6.57,5xFAD,18:3,1507.0,5038.38037109375,m2,18:3-FAD257-m2-5xFAD-cortex,1907.0401611328125,445.4,183.0,6.57,11192023_5xFAD-m2-cortex-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
34,dienc,FAD257,6.54,5xFAD,18:3,1509.0,4033.060302734375,m2,18:3-FAD257-m2-5xFAD-dienc,1805.360107421875,445.4,183.0,6.54,11192023_5xFAD-m2-dienc-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
35,hippo,FAD257,6.54,5xFAD,18:3,1511.0,7789.78076171875,m2,18:3-FAD257-m2-5xFAD-hippo,1117.2601318359375,445.4,183.0,6.54,11192023_5xFAD-m2-hippo-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
36,cereb,FAD263,6.56,WT,18:3,1479.0,4070.26025390625,m3,18:3-FAD263-m3-WT-cereb,290.6000061035156,445.4,183.0,6.66,11162023_WT-m3-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
37,cortex,FAD263,6.59,WT,18:3,1480.0,29852.001953125,m3,18:3-FAD263-m3-WT-cortex,759.2000732421875,445.4,183.0,6.56,11162023_WT-m3-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
38,dienc,FAD263,6.57,WT,18:3,1481.0,15094.7607421875,m3,18:3-FAD263-m3-WT-dienc,1044.1201171875,445.4,183.0,6.58,11162023_WT-m3-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
39,hippo,FAD263,6.57,WT,18:3,1482.0,3320.26025390625,m3,18:3-FAD263-m3-WT-hippo,240.96002197265625,445.4,183.0,6.63,11162023_WT-m3-hippo-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
40,cereb,FAD263,6.56,WT,18:3,1483.0,21967.28125,m4,18:3-FAD263-m4-WT-cereb,759.300048828125,445.4,183.0,6.62,11162023_WT-m4-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
41,cortex,FAD263,6.59,WT,18:3,1485.0,158687.4375,m4,18:3-FAD263-m4-WT-cortex,1142.780029296875,445.4,183.0,6.59,11162023_WT-m4-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_02,445.4 -> 183.0
42,dienc,FAD263,6.57,WT,18:3,1486.0,2289.1201171875,m4,18:3-FAD263-m4-WT-dienc,569.2400512695312,445.4,183.0,6.7,11162023_WT-m4-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
43,hippo,FAD263,6.57,WT,18:3,1487.0,2824.420166015625,m4,18:3-FAD263-m4-WT-hippo,427.0400390625,445.4,183.0,6.61,11162023_WT-m4-hippo-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
44,cereb,FAD263,6.56,WT,18:3,1489.0,67218.2265625,m5,18:3-FAD263-m5-WT-cereb,1265.280029296875,445.4,183.0,6.56,11162023_WT-m5-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
45,cortex,FAD263,6.59,WT,18:3,1491.0,5501.7001953125,m5,18:3-FAD263-m5-WT-cortex,1041.280029296875,445.4,183.0,6.58,11162023_WT-m5-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
46,dienc,FAD263,6.57,WT,18:3,1493.0,6857.96044921875,m5,18:3-FAD263-m5-WT-dienc,5371.400390625,445.4,183.0,6.57,11162023_WT-m5-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
47,hippo,FAD263,6.57,WT,18:3,1495.0,10418.2607421875,m5,18:3-FAD263-m5-WT-hippo,705.7600708007812,445.4,183.0,6.57,11162023_WT-m5-hippo-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
48,cortex,FAD231,5.7,5xFAD,18:4,1456.0,12129.80078125,m1,18:4-FAD231-m1-5xFAD-cortex,12129.80078125,443.3,183.0,5.7,11192023_5xFAD-m1-cortex-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,443.3 -> 183.0
49,dienc,FAD231,5.69,5xFAD,18:4,1458.0,6535.66064453125,m1,18:4-FAD231-m1-5xFAD-dienc,6535.66064453125,443.3,183.0,5.69,11192023_5xFAD-m1-dienc-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,443.3 -> 183.0
50,hippo,FAD231,5.68,5xFAD,18:4,1460.0,6417.060546875,m1,18:4-FAD231-m1-5xFAD-hippo,6417.060546875,443.3,183.0,5.68,11192023_5xFAD-m1-hippo-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,443.3 -> 183.0
51,cereb,FAD231,5.72,5xFAD,18:4,1462.0,2599.380126953125,m2,18:4-FAD231-m2-5xFAD-cereb,2599.380126953125,443.3,183.0,5.72,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,443.3 -> 183.0
52,dienc,FAD231,5.69,5xFAD,18:4,1466.0,2320.320068359375,m2,18:4-FAD231-m2-5xFAD-dienc,2320.320068359375,443.3,183.0,5.72,11192023_5xFAD-m2-dienc-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,443.3 -> 183.0
53,hippo,FAD231,5.68,5xFAD,18:4,1468.0,2173.56005859375,m2,18:4-FAD231-m2-5xFAD-hippo,2173.56005859375,443.3,183.0,5.72,11192023_5xFAD-m2-hippo-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,443.3 -> 183.0
54,cereb,FAD257,5.69,5xFAD,18:4,1463.0,2743.900146484375,m2,18:4-FAD257-m2-5xFAD-cereb,2743.900146484375,443.3,183.0,5.69,11192023_5xFAD-m2-cereb-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3on_01,443.3 -> 183.0
55,hippo,FAD257,5.69,5xFAD,18:4,1469.0,2084.0400390625,m2,18:4-FAD257-m2-5xFAD-hippo,2084.0400390625,443.3,183.0,5.69,11192023_5xFAD-m2-hippo-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3on_01,443.3 -> 183.0
56,cortex,FAD263,5.7,WT,18:4,1438.0,6926.3203125,m3,18:4-FAD263-m3-WT-cortex,6926.3203125,443.3,183.0,5.7,11162023_WT-m3-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,443.3 -> 183.0
57,dienc,FAD263,6.13,WT,18:4,1439.0,6201.76025390625,m3,18:4-FAD263-m3-WT-dienc,6201.76025390625,443.3,183.0,6.13,11162023_WT-m3-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,443.3 -> 183.0
58,cereb,FAD263,6.12,WT,18:4,1441.0,2823.2802734375,m4,18:4-FAD263-m4-WT-cereb,2823.2802734375,443.3,183.0,5.77,11162023_WT-m4-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,443.3 -> 183.0
59,cortex,FAD263,5.7,WT,18:4,1443.0,5454.26025390625,m4,18:4-FAD263-m4-WT-cortex,5454.26025390625,443.3,183.0,5.74,11162023_WT-m4-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_02,443.3 -> 183.0
60,dienc,FAD263,6.13,WT,18:4,1444.0,2170.1201171875,m4,18:4-FAD263-m4-WT-dienc,2170.1201171875,443.3,183.0,5.78,11162023_WT-m4-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,443.3 -> 183.0
