,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Match_Group,Lipid,Max_Intensity,Biology,Genotype,Cage,Mouse,Correct_RT,Combined_Group
15,447.4,183.0,7.51,52147.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,447.4 -> 183.0,1546,"18:2 / 20:3 (11Z,14Z,17Z)n-3",52147.0,cereb,5xFAD,FAD231,m2,7.51,"cereb_FAD231_5xFAD_18:2 / 20:3 (11Z,14Z,17Z)n-3"
16,445.4,183.0,6.56,2221.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0,1504,18:3,2221.0,cereb,5xFAD,FAD231,m2,6.56,cereb_FAD231_5xFAD_18:3
17,297.2,183.0,7.08,3683.0,11192023_5xFAD-m1-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,297.2 -> 183.0,236,"18:3 (6Z,9Z,12Z))n-6,n-9,n-12 / 12:1n-6 ... / 18:1n-12",3683.0,cereb,5xFAD,FAD231,m1,7.08,"cereb_FAD231_5xFAD_18:3 (6Z,9Z,12Z))n-6,n-9,n-12 / 12:1n-6 ... / 18:1n-12"
18,479.4,183.0,12.01,80338.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,479.4 -> 183.0,1924,20:0 / 21:1n-2 / 22:1n-3,80338.0,cereb,5xFAD,FAD231,m2,12.01,cereb_FAD231_5xFAD_20:0 / 21:1n-2 / 22:1n-3
19,477.4,183.0,10.51,2489.0,11192023_5xFAD-m1-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,477.4 -> 183.0,1874,20:1,2489.0,cereb,5xFAD,FAD231,m1,10.51,cereb_FAD231_5xFAD_20:1
20,465.3,183.0,11.06,20358.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,465.3 -> 183.0,1672,20:1n-2 / 21:1n-3 / 22:1n-4..,20358.0,cereb,5xFAD,FAD231,m2,11.06,cereb_FAD231_5xFAD_20:1n-2 / 21:1n-3 / 22:1n-4..
21,407.3,183.0,6.2,7524.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,407.3 -> 183.0,1084,"20:2 (11Z,14Z)n-6 / 20:3 (11Z,14Z,17Z)n-3,n-6 / 15:1",7524.0,cereb,5xFAD,FAD231,m2,6.2,"cereb_FAD231_5xFAD_20:2 (11Z,14Z)n-6 / 20:3 (11Z,14Z,17Z)n-3,n-6 / 15:1"
22,325.2,183.0,9.02,3337.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,325.2 -> 183.0,412,"20:3 (8Z,11Z,14Z)n-6,n-9,n-12 / 12:1n-4 / 13:1n-5 ... / 18:1n-10",3337.0,cereb,5xFAD,FAD231,m2,9.02,"cereb_FAD231_5xFAD_20:3 (8Z,11Z,14Z)n-6,n-9,n-12 / 12:1n-4 / 13:1n-5 ... / 18:1n-10"
23,443.3,183.0,5.72,2599.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,443.3 -> 183.0,1462,"20:5 (5Z,8Z,11Z,14Z,17Z)n-3",2599.0,cereb,5xFAD,FAD231,m2,5.72,"cereb_FAD231_5xFAD_20:5 (5Z,8Z,11Z,14Z,17Z)n-3"
24,507.4,183.0,13.96,8634.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,507.4 -> 183.0,2134,22:0 / 23:1n-2 / 24:1n-3,8634.0,cereb,5xFAD,FAD231,m2,13.96,cereb_FAD231_5xFAD_22:0 / 23:1n-2 / 24:1n-3
25,495.4,183.0,6.07,7174.0,11192023_5xFAD-m1-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0,2000,22:6,7174.0,cereb,5xFAD,FAD231,m1,6.07,cereb_FAD231_5xFAD_22:6
26,469.4,183.0,5.88,72025.0,11192023_5xFAD-m1-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0,1706,"22:6 (4Z,7Z,10Z,13Z,16Z,19Z)n-3)/20:5",72025.0,cereb,5xFAD,FAD231,m1,5.88,"cereb_FAD231_5xFAD_22:6 (4Z,7Z,10Z,13Z,16Z,19Z)n-3)/20:5"
27,425.4,183.0,7.99,495176.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,425.4 -> 183.0,1294,d2-16:0,495176.0,cereb,5xFAD,FAD231,m2,7.99,cereb_FAD231_5xFAD_d2-16:0
28,339.3,183.0,8.68,35744.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,339.3 -> 183.0,463,"10:0 / 18:2 (9Z,12Z)n-6,n-9 / 14:1 (9Z)n-5 / 18:3 (9Z,12Z,15Z))n-3.n-6,n-9 / 16:1 (9Z)n-7 / 18:1(9Z)n-9",35744.0,cereb,WT,FAD245,m1,8.68,"cereb_FAD245_WT_10:0 / 18:2 (9Z,12Z)n-6,n-9 / 14:1 (9Z)n-5 / 18:3 (9Z,12Z,15Z))n-3.n-6,n-9 / 16:1 (9Z)n-7 / 18:1(9Z)n-9"
29,353.3,183.0,8.94,3292.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,353.3 -> 183.0,547,11:0 / 15:1 (10Z)n-5 / 17:1 (10Z)n-7,3292.0,cereb,WT,FAD245,m1,8.94,cereb_FAD245_WT_11:0 / 15:1 (10Z)n-5 / 17:1 (10Z)n-7
30,227.1,183.0,9.88,8467.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,227.1 -> 183.0,1,12:1n-11 / ... / 18:1n-17,8467.0,cereb,WT,FAD245,m1,9.88,cereb_FAD245_WT_12:1n-11 / ... / 18:1n-17
31,381.3,183.0,5.49,17060.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,381.3 -> 183.0,799,13:0,17060.0,cereb,WT,FAD245,m1,5.49,cereb_FAD245_WT_13:0
32,395.3,183.0,6.27,1583222.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,395.3 -> 183.0,925,"14:0 / 22:2 (13Z,16Z)n-6,n-9 / 22:1 (13Z)n-9",1583222.0,cereb,WT,FAD245,m1,6.27,"cereb_FAD245_WT_14:0 / 22:2 (13Z,16Z)n-6,n-9 / 22:1 (13Z)n-9"
33,393.4,183.0,5.4,3672.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,393.4 -> 183.0,883,14:1(9Z),3672.0,cereb,WT,FAD245,m1,5.4,cereb_FAD245_WT_14:1(9Z)
34,409.3,183.0,7.19,217628.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,409.3 -> 183.0,1093,15:0 / 17:1n-3 / 18:1n-4,217628.0,cereb,WT,FAD245,m1,7.19,cereb_FAD245_WT_15:0 / 17:1n-3 / 18:1n-4
35,423.3,183.0,8.0,9812497.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,423.3 -> 183.0,1219,16:0 / 24:1 (15Z)n-9 / 18:1n-3,9812497.0,cereb,WT,FAD245,m1,8.0,cereb_FAD245_WT_16:0 / 24:1 (15Z)n-9 / 18:1n-3
36,421.4,183.0,7.07,49345.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,421.4 -> 183.0,1177,16:1,49345.0,cereb,WT,FAD245,m1,7.07,cereb_FAD245_WT_16:1
37,437.4,183.0,9.09,343910.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,437.4 -> 183.0,1387,17:0 / 19:1n-3 / 20:1n-4,343910.0,cereb,WT,FAD245,m1,9.09,cereb_FAD245_WT_17:0 / 19:1n-3 / 20:1n-4
38,435.4,183.0,7.94,8043.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,435.4 -> 183.0,1345,"17:1 / 22:2 (13Z,16Z)n-6",8043.0,cereb,WT,FAD245,m1,7.94,"cereb_FAD245_WT_17:1 / 22:2 (13Z,16Z)n-6"
39,451.4,183.0,9.87,7797016.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,451.4 -> 183.0,1597,18:0 / 20:1n-3 / 21:1 n-4,7797016.0,cereb,WT,FAD245,m1,9.87,cereb_FAD245_WT_18:0 / 20:1n-3 / 21:1 n-4
40,449.4,183.0,8.67,186621.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,449.4 -> 183.0,1555,18:1,186621.0,cereb,WT,FAD245,m1,8.67,cereb_FAD245_WT_18:1
41,379.3,183.0,7.51,4031.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,379.3 -> 183.0,757,"18:2 (9Z,12Z)n-6 / 18:3 (9Z,12Z,15Z))n-3.n-6",4031.0,cereb,WT,FAD245,m1,7.51,"cereb_FAD245_WT_18:2 (9Z,12Z)n-6 / 18:3 (9Z,12Z,15Z))n-3.n-6"
42,447.4,183.0,7.51,16417.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,447.4 -> 183.0,1513,"18:2 / 20:3 (11Z,14Z,17Z)n-3",16417.0,cereb,WT,FAD245,m1,7.51,"cereb_FAD245_WT_18:2 / 20:3 (11Z,14Z,17Z)n-3"
43,479.4,183.0,12.08,25239.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,479.4 -> 183.0,1891,20:0 / 21:1n-2 / 22:1n-3,25239.0,cereb,WT,FAD245,m1,12.08,cereb_FAD245_WT_20:0 / 21:1n-2 / 22:1n-3
44,465.3,183.0,11.12,8597.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,465.3 -> 183.0,1639,20:1n-2 / 21:1n-3 / 22:1n-4..,8597.0,cereb,WT,FAD245,m1,11.12,cereb_FAD245_WT_20:1n-2 / 21:1n-3 / 22:1n-4..
45,407.3,183.0,6.2,3647.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,407.3 -> 183.0,1051,"20:2 (11Z,14Z)n-6 / 20:3 (11Z,14Z,17Z)n-3,n-6 / 15:1",3647.0,cereb,WT,FAD245,m1,6.2,"cereb_FAD245_WT_20:2 (11Z,14Z)n-6 / 20:3 (11Z,14Z,17Z)n-3,n-6 / 15:1"
46,325.2,183.0,9.02,2256.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,325.2 -> 183.0,379,"20:3 (8Z,11Z,14Z)n-6,n-9,n-12 / 12:1n-4 / 13:1n-5 ... / 18:1n-10",2256.0,cereb,WT,FAD245,m1,9.02,"cereb_FAD245_WT_20:3 (8Z,11Z,14Z)n-6,n-9,n-12 / 12:1n-4 / 13:1n-5 ... / 18:1n-10"
47,469.4,183.0,5.88,13877.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0,1681,"22:6 (4Z,7Z,10Z,13Z,16Z,19Z)n-3)/20:5",13877.0,cereb,WT,FAD245,m1,5.88,"cereb_FAD245_WT_22:6 (4Z,7Z,10Z,13Z,16Z,19Z)n-3)/20:5"
48,425.4,183.0,7.99,350251.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,425.4 -> 183.0,1261,d2-16:0,350251.0,cereb,WT,FAD245,m1,7.99,cereb_FAD245_WT_d2-16:0
49,339.3,183.0,8.69,27998.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,339.3 -> 183.0,467,"10:0 / 18:2 (9Z,12Z)n-6,n-9 / 14:1 (9Z)n-5 / 18:3 (9Z,12Z,15Z))n-3.n-6,n-9 / 16:1 (9Z)n-7 / 18:1(9Z)n-9",27998.0,cereb,WT,FAD246,m2,8.69,"cereb_FAD246_WT_10:0 / 18:2 (9Z,12Z)n-6,n-9 / 14:1 (9Z)n-5 / 18:3 (9Z,12Z,15Z))n-3.n-6,n-9 / 16:1 (9Z)n-7 / 18:1(9Z)n-9"
50,353.3,183.0,8.94,2828.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,353.3 -> 183.0,551,11:0 / 15:1 (10Z)n-5 / 17:1 (10Z)n-7,2828.0,cereb,WT,FAD246,m2,8.94,cereb_FAD246_WT_11:0 / 15:1 (10Z)n-5 / 17:1 (10Z)n-7
51,227.1,183.0,9.87,11866.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,227.1 -> 183.0,5,12:1n-11 / ... / 18:1n-17,11866.0,cereb,WT,FAD246,m2,9.87,cereb_FAD246_WT_12:1n-11 / ... / 18:1n-17
52,381.3,183.0,5.28,22845.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,381.3 -> 183.0,803,13:0,22845.0,cereb,WT,FAD246,m2,5.28,cereb_FAD246_WT_13:0
53,395.3,183.0,6.27,2185884.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,395.3 -> 183.0,929,"14:0 / 22:2 (13Z,16Z)n-6,n-9 / 22:1 (13Z)n-9",2185884.0,cereb,WT,FAD246,m2,6.27,"cereb_FAD246_WT_14:0 / 22:2 (13Z,16Z)n-6,n-9 / 22:1 (13Z)n-9"
54,393.4,183.0,5.41,3083.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,393.4 -> 183.0,887,14:1(9Z),3083.0,cereb,WT,FAD246,m2,5.41,cereb_FAD246_WT_14:1(9Z)
55,409.3,183.0,7.2,314959.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,409.3 -> 183.0,1097,15:0 / 17:1n-3 / 18:1n-4,314959.0,cereb,WT,FAD246,m2,7.2,cereb_FAD246_WT_15:0 / 17:1n-3 / 18:1n-4
56,423.3,183.0,8.0,9969791.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,423.3 -> 183.0,1223,16:0 / 24:1 (15Z)n-9 / 18:1n-3,9969791.0,cereb,WT,FAD246,m2,8.0,cereb_FAD246_WT_16:0 / 24:1 (15Z)n-9 / 18:1n-3
57,421.4,183.0,7.07,27474.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,421.4 -> 183.0,1181,16:1,27474.0,cereb,WT,FAD246,m2,7.07,cereb_FAD246_WT_16:1
58,437.4,183.0,9.06,875382.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,437.4 -> 183.0,1391,17:0 / 19:1n-3 / 20:1n-4,875382.0,cereb,WT,FAD246,m2,9.06,cereb_FAD246_WT_17:0 / 19:1n-3 / 20:1n-4
59,435.4,183.0,8.08,6463.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,435.4 -> 183.0,1349,"17:1 / 22:2 (13Z,16Z)n-6",6463.0,cereb,WT,FAD246,m2,8.08,"cereb_FAD246_WT_17:1 / 22:2 (13Z,16Z)n-6"
60,451.4,183.0,9.84,10027218.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,451.4 -> 183.0,1601,18:0 / 20:1n-3 / 21:1 n-4,10027218.0,cereb,WT,FAD246,m2,9.84,cereb_FAD246_WT_18:0 / 20:1n-3 / 21:1 n-4
61,449.4,183.0,8.69,152000.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,449.4 -> 183.0,1559,18:1,152000.0,cereb,WT,FAD246,m2,8.69,cereb_FAD246_WT_18:1
62,379.3,183.0,7.53,8538.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,379.3 -> 183.0,761,"18:2 (9Z,12Z)n-6 / 18:3 (9Z,12Z,15Z))n-3.n-6",8538.0,cereb,WT,FAD246,m2,7.53,"cereb_FAD246_WT_18:2 (9Z,12Z)n-6 / 18:3 (9Z,12Z,15Z))n-3.n-6"
63,447.4,183.0,7.52,25219.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,447.4 -> 183.0,1517,"18:2 / 20:3 (11Z,14Z,17Z)n-3",25219.0,cereb,WT,FAD246,m2,7.52,"cereb_FAD246_WT_18:2 / 20:3 (11Z,14Z,17Z)n-3"
64,479.4,183.0,12.07,63360.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,479.4 -> 183.0,1895,20:0 / 21:1n-2 / 22:1n-3,63360.0,cereb,WT,FAD246,m2,12.07,cereb_FAD246_WT_20:0 / 21:1n-2 / 22:1n-3
65,465.3,183.0,11.1,37564.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,465.3 -> 183.0,1643,20:1n-2 / 21:1n-3 / 22:1n-4..,37564.0,cereb,WT,FAD246,m2,11.1,cereb_FAD246_WT_20:1n-2 / 21:1n-3 / 22:1n-4..
66,407.3,183.0,6.2,2838.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,407.3 -> 183.0,1055,"20:2 (11Z,14Z)n-6 / 20:3 (11Z,14Z,17Z)n-3,n-6 / 15:1",2838.0,cereb,WT,FAD246,m2,6.2,"cereb_FAD246_WT_20:2 (11Z,14Z)n-6 / 20:3 (11Z,14Z,17Z)n-3,n-6 / 15:1"
67,325.2,183.0,8.74,2084.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,325.2 -> 183.0,383,"20:3 (8Z,11Z,14Z)n-6,n-9,n-12 / 12:1n-4 / 13:1n-5 ... / 18:1n-10",2084.0,cereb,WT,FAD246,m2,8.74,"cereb_FAD246_WT_20:3 (8Z,11Z,14Z)n-6,n-9,n-12 / 12:1n-4 / 13:1n-5 ... / 18:1n-10"
68,493.4,183.0,13.04,40550.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,493.4 -> 183.0,1937,21:0 / 22:1n-2 / 23:1n-3,40550.0,cereb,WT,FAD246,m2,13.04,cereb_FAD246_WT_21:0 / 22:1n-2 / 23:1n-3
69,507.4,183.0,14.06,7738.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,507.4 -> 183.0,2105,22:0 / 23:1n-2 / 24:1n-3,7738.0,cereb,WT,FAD246,m2,14.06,cereb_FAD246_WT_22:0 / 23:1n-2 / 24:1n-3
70,469.4,183.0,5.88,42266.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0,1685,"22:6 (4Z,7Z,10Z,13Z,16Z,19Z)n-3)/20:5",42266.0,cereb,WT,FAD246,m2,5.88,"cereb_FAD246_WT_22:6 (4Z,7Z,10Z,13Z,16Z,19Z)n-3)/20:5"
71,425.4,183.0,7.99,364930.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3on_01,425.4 -> 183.0,1265,d2-16:0,364930.0,cereb,WT,FAD246,m2,7.99,cereb_FAD246_WT_d2-16:0
72,339.3,183.0,8.64,49519.0,11192023_5xFAD-m1-cereb-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3on_01,339.3 -> 183.0,489,"10:0 / 18:2 (9Z,12Z)n-6,n-9 / 14:1 (9Z)n-5 / 18:3 (9Z,12Z,15Z))n-3.n-6,n-9 / 16:1 (9Z)n-7 / 18:1(9Z)n-9",49519.0,cereb,5xFAD,FAD249,m1,8.64,"cereb_FAD249_5xFAD_10:0 / 18:2 (9Z,12Z)n-6,n-9 / 14:1 (9Z)n-5 / 18:3 (9Z,12Z,15Z))n-3.n-6,n-9 / 16:1 (9Z)n-7 / 18:1(9Z)n-9"
73,353.3,183.0,8.87,7561.0,11192023_5xFAD-m1-cereb-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3on_01,353.3 -> 183.0,573,11:0 / 15:1 (10Z)n-5 / 17:1 (10Z)n-7,7561.0,cereb,5xFAD,FAD249,m1,8.87,cereb_FAD249_5xFAD_11:0 / 15:1 (10Z)n-5 / 17:1 (10Z)n-7
74,367.3,183.0,5.11,8073.0,11192023_5xFAD-m1-cereb-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3on_01,367.3 -> 183.0,699,"12:0 / 20:2 (11Z,14Z)n-6,n-9 / 20:3 (11Z,14Z,17Z)n-3,n-6,n-9 / 20:1 (11Z)n-9 / 18:1n-7",8073.0,cereb,5xFAD,FAD249,m1,5.11,"cereb_FAD249_5xFAD_12:0 / 20:2 (11Z,14Z)n-6,n-9 / 20:3 (11Z,14Z,17Z)n-3,n-6,n-9 / 20:1 (11Z)n-9 / 18:1n-7"
75,227.1,183.0,9.79,16200.0,11192023_5xFAD-m1-cereb-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3on_01,227.1 -> 183.0,27,12:1n-11 / ... / 18:1n-17,16200.0,cereb,5xFAD,FAD249,m1,9.79,cereb_FAD249_5xFAD_12:1n-11 / ... / 18:1n-17
