Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Biology,Genotype,FAC,TG,Group,Max_Intensity,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,Mouse,SLBG_group
"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,820.7,603.5,16.18,43154.0,liver,5xFAD,FA18:1,"TG(54:3), TG(55:10)",111,43154.0,16.179733333333335,0.08026666666666671,6162.0,6044.0,6.57,FAD131_M1,24
"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,792.7,603.5,16.23,275678.0,liver,5xFAD,FA18:1,"TG(54:3), TG(55:10)",116,275678.0,16.23235,0.027650000000001285,41049.0,39738.0,6.57,FAD131_M1,24
"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-10,778.6,603.5,16.24,1642.0,liver,5xFAD,FA18:1,"TG(54:3), TG(55:10)",102,1642.0,16.23646666666667,0.023533333333332962,255.0,291.0,7.75,FAD131_M2,25
"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,820.7,603.5,16.14,75285.0,liver,5xFAD,FA18:1,"TG(54:3), TG(55:10)",112,75285.0,16.135316666666668,0.12468333333333348,8288.0,7805.0,7.75,FAD131_M2,25
"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,792.7,603.5,16.19,505075.0,liver,5xFAD,FA18:1,"TG(54:3), TG(55:10)",117,505075.0,16.18795,0.07205000000000084,61293.0,60503.0,7.75,FAD131_M2,25
"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-10,778.6,603.5,16.24,559.0,liver,5xFAD,FA18:1,"TG(54:3), TG(55:10)",103,559.0,16.236483333333336,0.023516666666665742,80.0,56.0,8.18,FAD131_M4,26
"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,820.7,603.5,16.14,11964.0,liver,5xFAD,FA18:1,"TG(54:3), TG(55:10)",113,11964.0,16.135333333333335,0.12466666666666626,1668.0,1591.0,8.18,FAD131_M4,26
"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,792.7,603.5,16.19,95284.0,liver,5xFAD,FA18:1,"TG(54:3), TG(55:10)",118,95284.0,16.187966666666668,0.07203333333333362,13288.0,13018.0,8.18,FAD131_M4,26
"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,820.7,603.5,16.14,17900.0,liver,5xFAD,FA18:1,"TG(54:3), TG(55:10)",114,17900.0,16.135333333333335,0.12466666666666626,1994.0,1889.0,9.73,FAD173_M1,27
"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,792.7,603.5,16.19,132593.0,liver,5xFAD,FA18:1,"TG(54:3), TG(55:10)",119,132593.0,16.187966666666668,0.07203333333333362,18875.0,18377.0,9.73,FAD173_M1,27
"[TG(55:11),TG(54:4)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-10,776.6,601.5,15.02,322.0,liver,5xFAD,FA18:1,"TG(54:4), TG(55:11)",140,322.0,,,36.0,35.0,5.9,DOD73_M2,33
"[TG(55:11),TG(54:4)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,818.7,601.5,14.98,19768.0,liver,5xFAD,FA18:1,"TG(54:4), TG(55:11)",150,19768.0,14.981583333333335,0.11841666666666484,2268.0,2241.0,5.9,DOD73_M2,33
"[TG(55:11),TG(54:4)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,790.7,601.5,15.03,117046.0,liver,5xFAD,FA18:1,"TG(54:4), TG(55:11)",155,117046.0,15.03395,0.06604999999999883,13791.0,13215.0,5.9,DOD73_M2,33
"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-10,776.6,601.5,15.08,1045.0,liver,5xFAD,FA18:1,"TG(54:4), TG(55:11)",141,1045.0,15.083033333333335,0.01696666666666502,172.0,163.0,5.14,FAD131_M1,34
"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,818.7,601.5,14.98,44031.0,liver,5xFAD,FA18:1,"TG(54:4), TG(55:11)",151,44031.0,14.9816,0.1183999999999994,6016.0,5845.0,5.14,FAD131_M1,34
"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,790.7,601.5,15.08,222834.0,liver,5xFAD,FA18:1,"TG(54:4), TG(55:11)",156,222834.0,15.078366666666668,0.02163333333333206,31706.0,30037.0,5.14,FAD131_M1,34
"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-10,776.6,601.5,15.08,2074.0,liver,5xFAD,FA18:1,"TG(54:4), TG(55:11)",142,2074.0,15.08305,0.016949999999999577,255.0,187.0,10.66,FAD131_M2,35
"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,818.7,601.5,14.98,57289.0,liver,5xFAD,FA18:1,"TG(54:4), TG(55:11)",152,57289.0,14.9816,0.1183999999999994,4133.0,4073.0,10.66,FAD131_M2,35
"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,790.7,601.5,15.03,344147.0,liver,5xFAD,FA18:1,"TG(54:4), TG(55:11)",157,344147.0,15.033966666666668,0.06603333333333161,45635.0,43407.0,10.66,FAD131_M2,35
"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-10,776.6,601.5,15.08,450.0,liver,5xFAD,FA18:1,"TG(54:4), TG(55:11)",143,450.0,15.083033333333335,0.01696666666666502,53.0,35.0,11.08,FAD131_M4,36
"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,818.7,601.5,14.98,18153.0,liver,5xFAD,FA18:1,"TG(54:4), TG(55:11)",153,18153.0,14.9816,0.1183999999999994,1074.0,1050.0,11.08,FAD131_M4,36
"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,790.7,601.5,15.03,88763.0,liver,5xFAD,FA18:1,"TG(54:4), TG(55:11)",158,88763.0,15.033966666666668,0.06603333333333161,12073.0,11635.0,11.08,FAD131_M4,36
"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,818.7,601.5,14.98,24578.0,liver,5xFAD,FA18:1,"TG(54:4), TG(55:11)",154,24578.0,14.981616666666667,0.11838333333333217,1340.0,1295.0,11.59,FAD173_M1,37
"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,790.7,601.5,15.03,130088.0,liver,5xFAD,FA18:1,"TG(54:4), TG(55:11)",159,130088.0,15.033983333333333,0.06601666666666617,15729.0,15009.0,11.59,FAD173_M1,37
"[TG(55:8),TG(54:1)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,824.7,607.5,18.53,528.0,liver,5xFAD,FA18:1,"TG(54:1), TG(55:8)",170,669.0,18.48796666666667,0.12203333333333077,39.0,33.0,34.03,DOD73_M2,38
"[TG(55:8),TG(54:1)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,796.7,607.5,18.59,10666.0,liver,5xFAD,FA18:1,"TG(54:1), TG(55:8)",175,10666.0,18.5853,0.024699999999999278,1242.0,1123.0,34.03,DOD73_M2,38
