Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Match_Group,Correct_RT,Max_Intensity,Cage,Mouse,Genotype,Biology,FAC,TG,Group,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,SLBG_group
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cereb_O3on_01,n-9,792.7,603.5,15.66,11069.0,1324,15.66,11069.0,FAD184,FAD184_F3,WT,cereb,FA18:1,"TG(54:3), TG(55:10)",189,15.66,0.019999999999999574,1789.0,1547.0,9.1,31
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_cereb_O3on_01,n-7,820.7,603.5,15.56,673.0,1828,15.56,673.0,FAD184,FAD184_F4,WT,cereb,FA18:1,"TG(54:3), TG(55:10)",170,15.56,0.11999999999999922,77.0,67.0,21.15,35
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_cereb_O3on_01,n-9,792.7,603.5,15.66,12847.0,1328,15.66,12847.0,FAD184,FAD184_F4,WT,cereb,FA18:1,"TG(54:3), TG(55:10)",190,15.66,0.019999999999999574,1624.0,1417.0,21.15,35
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-7,820.7,603.5,15.56,21692.0,1832,15.56,21692.0,FAD185,FAD185_M4,WT,cereb,FA18:1,"TG(54:3), TG(55:10)",171,15.56,0.11999999999999922,2177.0,2074.0,9.07,39
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-9,792.7,603.5,15.66,177357.0,1332,15.66,177357.0,FAD185,FAD185_M4,WT,cereb,FA18:1,"TG(54:3), TG(55:10)",191,15.66,0.019999999999999574,20711.0,18801.0,9.07,39
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-7,820.7,603.5,15.65,1551.0,1836,15.65,1551.0,FAD189,FAD189_M3,WT,cereb,FA18:1,"TG(54:3), TG(55:10)",172,15.65,0.02999999999999936,248.0,265.0,12.25,43
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-9,792.7,603.5,15.66,30522.0,1336,15.66,30522.0,FAD189,FAD189_M3,WT,cereb,FA18:1,"TG(54:3), TG(55:10)",192,15.66,0.019999999999999574,3490.0,3246.0,12.25,43
"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_cortex_O3on_01,n-9,792.7,603.5,15.66,10377.0,1321,15.66,10377.0,DOD94,DOD94_F3,WT,cortex,FA18:1,"TG(54:3), TG(55:10)",193,15.66,0.019999999999999574,1536.0,1404.0,,28
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-7,820.7,603.5,15.56,2337.0,1825,15.56,2337.0,FAD184,FAD184_F3,WT,cortex,FA18:1,"TG(54:3), TG(55:10)",174,15.56,0.11999999999999922,274.0,257.0,14.25,32
"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-9,792.7,603.5,15.61,33073.0,1325,15.61,33073.0,FAD184,FAD184_F3,WT,cortex,FA18:1,"TG(54:3), TG(55:10)",194,15.61,0.07000000000000028,4102.0,3662.0,14.25,32
