Lipid,Class,DOD73-5xFAD-M2liver_x,FAD131-5xFAD-M1liver_x,FAD131-5xFAD-M2liver_x,FAD131-5xFAD-M4liver_x,FAD173-5xFAD-M1liver_x,DOD73-5xFAD-M2liver_y,FAD131-5xFAD-M1liver_y,FAD131-5xFAD-M2liver_y,FAD131-5xFAD-M4liver_y,FAD173-5xFAD-M1liver_y,blank_033123,Title1,Title2,Title,length1,length2,Blank_name
Cer(d18:0/h26:0),Cer,37228.58270263672,35616.962493896484,38073.16293334961,37890.642822265625,36693.84274291992,37228.58270263672,35616.962493896484,38073.16293334961,37890.642822265625,36693.84274291992,34637.642333984375,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:1/12:0),Cer,13702.380935668945,14676.920921325684,14292.661056518555,12797.880897521973,13408.780952453613,13702.380935668945,14676.920921325684,14292.661056518555,12797.880897521973,13408.780952453613,15483.62117767334,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:1/16:0),Cer,27773.801971435547,26997.14175415039,27263.98193359375,24626.401977539062,27179.24188232422,27773.801971435547,26997.14175415039,27263.98193359375,24626.401977539062,27179.24188232422,24165.481903076172,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:1/18:0),Cer,19111.721336364746,17018.40138244629,21238.561569213867,19192.061401367188,19596.841384887695,19111.721336364746,17018.40138244629,21238.561569213867,19192.061401367188,19596.841384887695,18644.50131225586,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:1/18:1(9Z)),Cer,17384.681106567383,18119.881301879883,20418.001495361328,20787.401596069336,20001.001373291016,17384.681106567383,18119.881301879883,20418.001495361328,20787.401596069336,20001.001373291016,21342.34144592285,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:1/20:0),Cer,17296.36116027832,17171.781188964844,17685.82122039795,15297.421112060547,17804.761199951172,17296.36116027832,17171.781188964844,17685.82122039795,15297.421112060547,17804.761199951172,14843.461082458496,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:1/22:0),Cer,16935.281127929688,16337.781143188477,18543.801177978516,15014.921089172363,16519.141174316406,16935.281127929688,16337.781143188477,18543.801177978516,15014.921089172363,16519.141174316406,15124.901023864746,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:1/24:0),Cer,19778.12139892578,23330.861557006836,22058.221481323242,21265.521423339844,18586.801300048828,19778.12139892578,23330.861557006836,22058.221481323242,21265.521423339844,18586.801300048828,19052.441299438477,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:1/24:1(15Z)),Cer,28354.101760864258,20285.981399536133,19818.70132446289,20440.341522216797,21262.68145751953,28354.101760864258,20285.981399536133,19818.70132446289,20440.341522216797,21262.68145751953,21510.981506347656,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:1/26:0),Cer,18196.42124938965,17532.78125,17875.001419067383,15792.981155395508,18058.881301879883,18196.42124938965,17532.78125,17875.001419067383,15792.981155395508,18058.881301879883,16276.341278076172,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:1/26:1(17Z)),Cer,16077.50112915039,16431.261138916016,16378.241180419922,16774.821083068848,16897.74136352539,16077.50112915039,16431.261138916016,16378.241180419922,16774.821083068848,16897.74136352539,16716.82127380371,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:1/2:0),Cer,21931.72166442871,21524.781494140625,21385.821502685547,22356.62142944336,19716.681427001953,21931.72166442871,21524.781494140625,21385.821502685547,22356.62142944336,19716.681427001953,21352.521453857422,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:2/14:0),Cer,15502.421157836914,14981.941146850586,14575.001022338867,15304.041061401367,15743.501052856445,15502.421157836914,14981.941146850586,14575.001022338867,15304.041061401367,15743.501052856445,16997.241119384766,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:2/16:0),Cer,17949.241333007812,19688.921340942383,19715.601287841797,18112.461349487305,19259.9412689209,17949.241333007812,19688.921340942383,19715.601287841797,18112.461349487305,19259.9412689209,18278.96141052246,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
