Lipid,Class,DOD73-5xFAD-M2liver,FAD173-5xFAD-M1liver,blank_033123,Title1,Title2,Title,length1,length2,Blank_name
C24:1,FA,14847.381103515625,14172.481079101562,11799.260879516602,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
C24:5,FA,21285.121643066406,21450.941497802734,19137.76153564453,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
C24:6,FA,25008.501586914062,22417.721557617188,20755.041564941406,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
C26:0,FA,8593.300605773926,9203.220657348633,7964.340629577637,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
C26:1,FA,14668.400955200195,12539.700859069824,12916.5209274292,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
C28:0,FA,9509.200622558594,9930.70068359375,7490.180568695068,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
C34:0,FA,4688.840328216553,4569.480339050293,4113.740310668945,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"Cer(d14:2(4E,6E)/16:0)",Cer,9602.800636291504,10919.260772705078,9271.500667572021,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"Cer(d14:2(4E,6E)/18:1(9Z))",Cer,8877.34058380127,8823.32063293457,9305.580654144287,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"Cer(d14:2(4E,6E)/20:1(11Z))",Cer,9588.000774383545,10126.280773162842,7719.740535736084,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:0/14:0),Cer,25765.101806640625,28044.021850585938,34274.90231323242,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:0/16:0),Cer,58309.224060058594,58613.80438232422,56594.28405761719,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:0/18:0),Cer,24366.841735839844,24749.58187866211,23245.48162841797,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:0/20:0),Cer,26695.201568603516,25847.02197265625,25149.04183959961,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:0/22:0),Cer,27776.181610107422,26645.24203491211,26890.841842651367,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:0/24:0),Cer,73688.32458496094,71716.94543457031,66752.74438476562,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:0/26:0),Cer,37811.342834472656,39170.762634277344,39880.14288330078,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:0/h24:0),Cer,66100.90417480469,69527.86511230469,64089.364990234375,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:0/h26:0),Cer,37228.58270263672,36693.84274291992,34637.642333984375,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:1/12:0),Cer,13702.380935668945,13408.780952453613,15483.62117767334,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:1/16:0),Cer,27773.801971435547,27179.24188232422,24165.481903076172,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:1/18:0),Cer,19111.721336364746,19596.841384887695,18644.50131225586,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:1/18:1(9Z)),Cer,17384.681106567383,20001.001373291016,21342.34144592285,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:1/20:0),Cer,17296.36116027832,17804.761199951172,14843.461082458496,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:1/22:0),Cer,16935.281127929688,16519.141174316406,15124.901023864746,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:1/24:0),Cer,19778.12139892578,18586.801300048828,19052.441299438477,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:1/24:1(15Z)),Cer,28354.101760864258,21262.68145751953,21510.981506347656,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:1/26:0),Cer,18196.42124938965,18058.881301879883,16276.341278076172,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:1/26:1(17Z)),Cer,16077.50112915039,16897.74136352539,16716.82127380371,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:1/2:0),Cer,21931.72166442871,19716.681427001953,21352.521453857422,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:2/14:0),Cer,15502.421157836914,15743.501052856445,16997.241119384766,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:2/16:0),Cer,17949.241333007812,19259.9412689209,18278.96141052246,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:2/18:1),Cer,12146.300811767578,12970.120922088623,13146.380958557129,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:2/20:0),Cer,14261.48104095459,14324.70100402832,13117.260932922363,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:2/20:1),Cer,14096.920989990234,13553.040939331055,13394.800971984863,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Cer(d18:2/22:0),Cer,14229.121101379395,17116.921173095703,15907.60107421875,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
CerP(d18:0/16:0),Cer,29477.281829833984,32541.78221130371,26563.801727294922,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
CerP(d18:1/12:0),Cer,19749.761505126953,21084.80142211914,20952.40155029297,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
CerP(d18:1/14:0),Cer,19182.301193237305,20409.78131866455,20893.04148864746,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
CerP(d18:1/16:0),Cer,17799.581329345703,19349.54133605957,15753.34090423584,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
CerP(d18:1/18:0),Cer,23757.74183654785,22108.86154937744,20610.481567382812,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
CerP(d18:1/20:0),Cer,16581.30125427246,15948.661239624023,14859.201187133789,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
CerP(d18:1/22:0),Cer,14392.100997924805,14596.760955810547,14475.721012115479,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
CerP(d18:1/24:0),Cer,13356.400939941406,11995.020820617676,12996.960968017578,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
CerP(d18:1/24:1(15Z)),Cer,12847.321006774902,12037.880805969238,13508.460983276367,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
CerP(d18:1/26:0),Cer,12391.88079071045,11819.060813903809,12423.440826416016,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
CerP(d18:1/26:1(17Z)),Cer,9543.900772094727,11006.440734863281,12318.38074874878,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
CerP(d18:1/2:0),Cer,15343.361145019531,15966.461120605469,16669.761123657227,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
CerP(d18:1/8:0),Cer,18648.121353149414,17498.721237182617,19342.061233520508,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",CAR,198197.03442382812,243164.9384765625,227832.07470703125,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Hexacosanoyl carnitine,CAR,245311.81958007812,286135.7590332031,275635.298828125,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",CAR,2037788.001953125,2639114.6796875,2416375.392578125,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(10:0),PC,19962.141571044922,18974.941314697266,17899.281219482422,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(11:0),PC,21339.781448364258,25611.74185180664,19201.221221923828,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(12:0),PC,23621.941802978516,20389.88153076172,21712.861572265625,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(13:0),PC,20468.14141845703,19763.56137084961,18185.361267089844,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(14:0),PC,131255.22900390625,131161.4501953125,132101.80834960938,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(14:1),PC,139203.35034179688,133745.08935546875,128255.22998046875,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(15:0),PC,19813.6014251709,20956.341522216797,19342.761352539062,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(15:1),PC,20139.76153564453,20368.301559448242,20881.721405029297,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(16:0),PC,26650.501983642578,23065.50161743164,21773.44158935547,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(16:1),PC,25564.141967773438,23116.961486816406,21299.52133178711,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(17:0),PC,21431.72152709961,19691.641189575195,18767.161376953125,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(17:1),PC,25272.701782226562,24875.4619140625,23212.901580810547,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(17:2),PC,25695.401962280273,24477.24200439453,21710.721618652344,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(18:0),PC,52872.14392089844,53228.84371948242,21249.70135498047,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(18:3),PC,32530.402404785156,31206.941925048828,18658.28141784668,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(18:4),PC,22561.641571044922,23496.501586914062,16756.441131591797,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(19:0),PC,49672.203521728516,45588.48306274414,24328.08187866211,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(19:1),PC,52425.963928222656,55890.76412963867,24533.381805419922,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(19:3),PC,58357.58477783203,63127.04406738281,30152.382202148438,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(20:0),PC,32218.5419921875,32886.921966552734,24404.80177307129,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(20:1),PC,25040.941680908203,27486.36199951172,20985.581451416016,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(20:2),PC,29035.641876220703,26787.82192993164,21963.86134338379,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(20:4),PC,23111.541442871094,23873.36181640625,21046.021438598633,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(20:5),PC,24796.2216796875,26959.661712646484,23286.021774291992,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(21:0),PC,57649.34307861328,51277.444244384766,42778.32290649414,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(22:0),PC,86843.1865234375,86064.646484375,83234.08569335938,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(22:1),PC,83288.38549804688,87262.4072265625,80116.38586425781,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(22:2),PC,84554.42517089844,81250.92663574219,81952.60583496094,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(22:4),PC,102477.68688964844,90868.22644042969,84242.265625,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(22:6),PC,86873.92553710938,80763.60583496094,73656.36450195312,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(24:0),PC,38709.02261352539,37975.882873535156,36393.44250488281,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(24:1),PC,34900.502502441406,36785.822692871094,37274.92248535156,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(2:0),PC,12475.520935058594,12127.560859680176,13208.980911254883,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(3:0),PC,13361.121070861816,11257.680755615234,12706.040920257568,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
Lyso_PC(3:1),PC,14430.900970458984,14491.481048583984,13722.320892333984,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
