Lipid,Class,FAD173-5xFAD-M1liver,FAD131-5xFAD-M1liver,FAD131-5xFAD-M2liver,FAD131-5xFAD-M4liver,blank_033123,Title1,Title2,Title,length1,length2,Blank_name
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,210059.57421875,216457.89544677734,214115.87481689453,194121.4539794922,184656.43280029297,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,451788.1934814453,480845.1545410156,502827.89404296875,574575.4202880859,407136.2296142578,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,399530.48626708984,404242.4270019531,389475.8056640625,253274.03649902344,180045.8325805664,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,393576.3296508789,410220.330078125,391361.0276489258,256653.89776611328,181603.4130859375,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,203038.95428466797,210506.57543945312,207816.4150390625,195112.27380371094,184101.59344482422,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,394342.8669433594,416777.9912109375,390900.98486328125,261129.95727539062,183293.69299316406,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,387639.5881958008,384476.5457763672,390682.3272705078,255557.0780029297,178416.7725830078,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",CE,754986.5549316406,784583.0559082031,775899.5532226562,798375.9389648438,659491.0073242188,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",CE,683648.2700195312,705850.9096679688,698721.30859375,709757.3095703125,593079.9626464844,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",CE,500443.7147216797,515568.9758300781,510220.7159423828,489595.0556640625,414314.4288330078,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
20:5 Cholesteryl ester,CE,271957.861907959,281842.11810302734,304873.80361938477,251556.2190246582,168557.25271606445,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",CE,261169.54040527344,276432.15826416016,283204.7405395508,150922.0499267578,109438.70770263672,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",CE,263308.8188018799,276739.91984558105,293973.599899292,152646.49005126953,115260.68829345703,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",CE,756955.7144775391,790383.5528564453,806346.0209960938,698403.8881835938,574971.3216552734,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
22:5 Cholesteryl ester,CE,820390.6998291016,859656.3221435547,865545.3397216797,763276.3139648438,641116.5880126953,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
22:6 Cholesteryl ester,CE,822591.9149169922,856592.9573974609,880891.1201171875,773070.3527832031,646255.2060546875,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",CE,543776.3345565796,575996.6803588867,666587.8192596436,879547.0318374634,528169.9987487793,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",CAR,252873.6591796875,200550.57446289062,213322.51489257812,204572.1142578125,242191.39892578125,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",CAR,1485295.001953125,1170740.322265625,1251187.7265625,1192738.005859375,1345145.1572265625,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",CAR,403509.2646484375,325016.705078125,355353.60498046875,332265.26416015625,439075.671875,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
C12:0,FA,21423.401489257812,25642.541717529297,21358.921325683594,24290.981689453125,17639.9813079834,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
C12:1,FA,34995.642578125,36459.182189941406,33573.602294921875,34736.72253417969,31020.40203857422,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
C14:1,FA,307396.82080078125,318049.23974609375,305547.70166015625,315566.4853515625,283582.53955078125,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
C18:0,FA,56996.963623046875,80053.16662597656,65888.66479492188,72870.60485839844,49152.943603515625,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
C19:0,FA,82008.18530273438,109346.90881347656,115323.80749511719,111864.20812988281,69740.76489257812,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
C20:0,FA,102983.40768051147,30520.202072143555,88291.20574951172,69975.42487716675,120349.2088508606,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
C20:1,FA,61857.70422363281,37218.88252258301,66577.18469238281,61702.344398498535,51022.683654785156,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
C22:0,FA,61859.204833984375,70126.16491699219,65914.54406738281,67336.18518066406,53336.70373535156,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
C22:1,FA,28434.641967773438,29934.22198486328,26990.041778564453,29742.282104492188,27585.261749267578,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
C22:4,FA,33471.282344818115,42451.36297607422,36462.06268310547,39453.18273925781,28216.942092895508,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
C24:0,FA,14924.441024780273,16985.46124267578,16515.06120300293,15017.701034545898,12405.920883178711,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
C24:1,FA,14172.481079101562,15827.581085205078,14899.301010131836,15040.621109008789,11799.260879516602,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
C24:5,FA,21450.941497802734,22620.441864013672,21180.161560058594,21634.0615234375,19137.76153564453,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
C24:6,FA,22417.721557617188,26783.10189819336,23670.181671142578,26500.182037353516,20755.041564941406,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
C26:0,FA,9203.220657348633,9950.04076385498,9932.800750732422,8630.180557250977,7964.340629577637,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
C26:1,FA,12539.700859069824,14744.301040649414,14093.840942382812,14348.221069335938,12916.5209274292,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
C28:0,FA,9930.70068359375,8957.880760192871,8603.660606384277,7908.40047454834,7490.180568695068,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
C34:0,FA,4569.480339050293,5685.300399780273,4910.900318145752,5078.140312194824,4113.740310668945,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"Cer(d14:2(4E,6E)/16:0)",Cer,10919.260772705078,10676.380744934082,10004.140781402588,9362.640663146973,9271.500667572021,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"Cer(d14:2(4E,6E)/18:1(9Z))",Cer,8823.32063293457,9065.98062133789,8242.180576324463,9463.62068939209,9305.580654144287,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"Cer(d14:2(4E,6E)/20:1(11Z))",Cer,10126.280773162842,8384.140560150146,9394.840728759766,9376.880599975586,7719.740535736084,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:0/14:0),Cer,28044.021850585938,27174.66177368164,27573.721923828125,33188.58248901367,34274.90231323242,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:0/16:0),Cer,58613.80438232422,60306.48455810547,56995.40399169922,58995.843994140625,56594.28405761719,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:0/18:0),Cer,24749.58187866211,22575.58154296875,25362.461791992188,24789.76187133789,23245.48162841797,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:0/20:0),Cer,25847.02197265625,27162.281951904297,27039.78204345703,24958.421905517578,25149.04183959961,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:0/22:0),Cer,26645.24203491211,26963.74200439453,29960.862182617188,23600.981903076172,26890.841842651367,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:0/24:0),Cer,71716.94543457031,74258.60498046875,69665.18505859375,66611.94506835938,66752.74438476562,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:0/26:0),Cer,39170.762634277344,40761.34289550781,41659.062927246094,40781.38299560547,39880.14288330078,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:0/h24:0),Cer,69527.86511230469,71615.50500488281,64478.46472167969,66853.72485351562,64089.364990234375,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:0/h26:0),Cer,36693.84274291992,35616.962493896484,38073.16293334961,37890.642822265625,34637.642333984375,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:1/12:0),Cer,13408.780952453613,14676.920921325684,14292.661056518555,12797.880897521973,15483.62117767334,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:1/16:0),Cer,27179.24188232422,26997.14175415039,27263.98193359375,24626.401977539062,24165.481903076172,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:1/18:0),Cer,19596.841384887695,17018.40138244629,21238.561569213867,19192.061401367188,18644.50131225586,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:1/18:1(9Z)),Cer,20001.001373291016,18119.881301879883,20418.001495361328,20787.401596069336,21342.34144592285,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:1/20:0),Cer,17804.761199951172,17171.781188964844,17685.82122039795,15297.421112060547,14843.461082458496,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:1/22:0),Cer,16519.141174316406,16337.781143188477,18543.801177978516,15014.921089172363,15124.901023864746,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:1/24:0),Cer,18586.801300048828,23330.861557006836,22058.221481323242,21265.521423339844,19052.441299438477,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:1/24:1(15Z)),Cer,21262.68145751953,20285.981399536133,19818.70132446289,20440.341522216797,21510.981506347656,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:1/26:0),Cer,18058.881301879883,17532.78125,17875.001419067383,15792.981155395508,16276.341278076172,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:1/26:1(17Z)),Cer,16897.74136352539,16431.261138916016,16378.241180419922,16774.821083068848,16716.82127380371,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:1/2:0),Cer,19716.681427001953,21524.781494140625,21385.821502685547,22356.62142944336,21352.521453857422,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:2/14:0),Cer,15743.501052856445,14981.941146850586,14575.001022338867,15304.041061401367,16997.241119384766,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:2/16:0),Cer,19259.9412689209,19688.921340942383,19715.601287841797,18112.461349487305,18278.96141052246,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:2/18:1),Cer,12970.120922088623,10604.480773925781,14127.740982055664,12780.820945739746,13146.380958557129,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:2/20:0),Cer,14324.70100402832,13432.280944824219,14738.641052246094,14420.400985717773,13117.260932922363,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:2/20:1),Cer,13553.040939331055,13032.520935058594,15118.180953979492,14093.621055603027,13394.800971984863,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Cer(d18:2/22:0),Cer,17116.921173095703,16638.46100616455,17060.42111968994,16022.141220092773,15907.60107421875,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
CerP(d18:0/16:0),Cer,32541.78221130371,31826.221954345703,28925.482147216797,31450.021942138672,26563.801727294922,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
CerP(d18:1/12:0),Cer,21084.80142211914,19880.061569213867,21107.90155029297,21549.761474609375,20952.40155029297,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
CerP(d18:1/14:0),Cer,20409.78131866455,18051.561233520508,20816.121322631836,16755.2412109375,20893.04148864746,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
CerP(d18:1/16:0),Cer,19349.54133605957,18708.22158050537,19981.541175842285,16484.621269226074,15753.34090423584,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
CerP(d18:1/18:0),Cer,22108.86154937744,20599.521461486816,26689.84214782715,17272.101318359375,20610.481567382812,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
CerP(d18:1/20:0),Cer,15948.661239624023,18320.761405944824,17095.06105041504,14222.781028747559,14859.201187133789,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
CerP(d18:1/22:0),Cer,14596.760955810547,15050.681030273438,13666.420791625977,13331.20101928711,14475.721012115479,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
CerP(d18:1/24:0),Cer,11995.020820617676,14521.361053466797,14182.241096496582,13126.600936889648,12996.960968017578,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
CerP(d18:1/24:1(15Z)),Cer,12037.880805969238,13944.040954589844,12685.640884399414,11588.460762023926,13508.460983276367,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
CerP(d18:1/26:0),Cer,11819.060813903809,12312.800827026367,11289.06071472168,10861.000793457031,12423.440826416016,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
CerP(d18:1/26:1(17Z)),Cer,11006.440734863281,11904.880794525146,12029.50082397461,10389.620754241943,12318.38074874878,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
CerP(d18:1/2:0),Cer,15966.461120605469,16191.741149902344,15930.821166992188,16915.32127380371,16669.761123657227,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
CerP(d18:1/8:0),Cer,17498.721237182617,18942.301177978516,17759.621322631836,19055.10149383545,19342.061233520508,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",CAR,243164.9384765625,197497.19409179688,213080.95361328125,200223.03344726562,227832.07470703125,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Hexacosanoyl carnitine,CAR,286135.7590332031,241017.45825195312,262461.4982910156,240096.99780273438,275635.298828125,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",CAR,2639114.6796875,2006092.4375,2263617.05078125,2079956.345703125,2416375.392578125,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Lyso_PC(10:0),PC,18974.941314697266,18285.00131225586,19765.34136199951,16376.741012573242,17899.281219482422,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Lyso_PC(11:0),PC,25611.74185180664,20381.401458740234,17324.121215820312,19827.081329345703,19201.221221923828,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Lyso_PC(12:0),PC,20389.88153076172,23703.441772460938,17827.301208496094,21465.161651611328,21712.861572265625,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Lyso_PC(13:0),PC,19763.56137084961,18778.18132019043,19723.64129638672,18007.501266479492,18185.361267089844,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Lyso_PC(14:0),PC,131161.4501953125,140521.9296875,127343.42919921875,134088.44946289062,132101.80834960938,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Lyso_PC(14:1),PC,133745.08935546875,129942.04858398438,128341.28979492188,125140.30810546875,128255.22998046875,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Lyso_PC(15:0),PC,20956.341522216797,19574.041427612305,18997.26124572754,18686.1612701416,19342.761352539062,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Lyso_PC(15:1),PC,20368.301559448242,19700.061401367188,20368.481353759766,21092.92152404785,20881.721405029297,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Lyso_PC(16:0),PC,23065.50161743164,26685.421646118164,29808.802124023438,20709.961517333984,21773.44158935547,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Lyso_PC(16:1),PC,23116.961486816406,29056.822174072266,27928.422103881836,21744.921478271484,21299.52133178711,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Lyso_PC(17:0),PC,19691.641189575195,19055.2413482666,19460.221252441406,17664.22119140625,18767.161376953125,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Lyso_PC(17:1),PC,24875.4619140625,26484.041702270508,29423.222259521484,21023.201370239258,23212.901580810547,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
Lyso_PC(17:2),PC,24477.24200439453,28939.30206298828,28472.002395629883,22002.00163269043,21710.721618652344,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
