Lipid,Class,FAD185_M1_Male_5xFAD_cerebellum,FAD185_M3_Male_5xFAD_cerebellum,FAD189_M1_Male_5xFAD_cerebellum,FAD189_M2_Male_5xFAD_cerebellum,FAD185_M4_Male_WT_cerebellum,FAD189_M3_Male_WT_cerebellum,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,6651.2405128479,8121.900547027588,8728.280662536621,9943.4807472229,8661.080646514893,9001.020645141602,13441.081062316895,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:1),CAR,466888.7722206116,447744.35429000854,454910.75260543823,457608.0919380188,463669.89585113525,456407.10988616943,634009.9052734375,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:1)_QUAL,CAR,1125222.4940795898,1155182.5573730469,1170766.4686851501,1178696.6046714783,1226830.0862236023,1191960.7978553772,1046036.49609375,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:2),CAR,467629.9087333679,463236.3703994751,467590.3498535156,468902.31021881104,478791.27502441406,474985.4504814148,642041.1708984375,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:2)_QUAL,CAR,611171.8441162109,627567.0003662109,683353.6118164062,635974.3681640625,645250.8635253906,617690.7841033936,585456.421875,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:3),CAR,467118.39096069336,462316.1915130615,463602.9907836914,463062.2111816406,476578.8731765747,471274.576171875,611447.3291015625,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,641275.3082275391,712706.1708374023,712117.6495361328,661335.9470214844,701900.7349433899,721197.8115234375,633677.9819335938,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(11:0),CAR,218446.4764213562,218645.57523345947,214662.6746559143,216117.3162574768,234711.0570678711,218226.2944984436,307762.5842285156,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(11:0)_QUAL,CAR,919359.0277824402,932479.3081665039,957827.2923545837,971917.5591201782,978144.6479530334,951554.2636985779,870968.1220703125,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(12:0),CAR,6638865.850631714,6530265.857505798,6604638.681884766,6639214.566879272,6764746.511878967,6579164.950317383,6397297.76171875,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(12:0)_QUAL,CAR,1174099.7212600708,1228928.2289123535,1327673.7668037415,1273608.2948493958,1224322.105255127,1207328.6835975647,1316580.955078125,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:0),CAR,335133.70473098755,336372.2026824951,336101.6043624878,339221.28412628174,349707.24446105957,343465.46434402466,372286.30517578125,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,719374.9527397156,734312.7576637268,717753.7501983643,699380.4080162048,784517.7756309509,717301.4472732544,886736.28125,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:1),CAR,346470.70416641235,346617.0825843811,337433.92461395264,341337.0643424988,357274.9656906128,353994.2070198059,368998.52587890625,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:1)_QUAL,CAR,739374.1313743591,735472.528717041,729962.1512184143,711158.1291885376,773335.7379722595,740426.3129768372,902707.2607421875,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:2),CAR,377037.0874862671,368247.1245956421,368663.3448295593,365438.84603881836,386504.00748825073,374577.8872909546,397565.60986328125,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:2)_QUAL,CAR,761754.5339546204,771592.0360603333,784426.7789916992,759862.1564903259,809444.1345405579,776865.636100769,898668.984375,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:0),CAR,249443.29615020752,244656.09841537476,243504.41631698608,247252.4987564087,260782.2986793518,255094.79864120483,283562.06005859375,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:0)_QUAL,CAR,727368.675201416,744580.450668335,761447.2956733704,767873.0320358276,739910.9273910522,748902.6073913574,743383.630859375,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:1),CAR,240108.3775062561,245266.697555542,240178.85808181763,236260.03671646118,248668.6992378235,244456.33667755127,271161.9794921875,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:1)_QUAL,CAR,708629.9428215027,722805.9335632324,767697.6349639893,729004.4346923828,769126.7771148682,749935.374420166,740003.9345703125,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:2),CAR,233818.33547592163,238263.81699752808,225778.13489151,230395.71717453003,245138.49822616577,239194.91827774048,256414.337890625,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:2)_QUAL,CAR,673136.8647346497,723259.7475471497,745184.4724273682,724091.2696533203,694329.3298530579,659436.4851989746,720453.970703125,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(17:0),CAR,1213258.2848510742,1307844.7393035889,1272704.8889160156,1328843.162349701,1403911.8992271423,1384220.1986808777,1142501.9833984375,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(17:0)_QUAL,CAR,517349.47512435913,510357.1747703552,518834.95582580566,542659.7355117798,553653.5812950134,540486.1771965027,595367.421875,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:0),CAR,3076573.9889144897,3239723.7710990906,3146476.197505951,3157032.1154785156,3440968.196411133,3371841.2456321716,3204698.263671875,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:0)_QUAL,CAR,674721.9897727966,673375.7495002747,689346.0529747009,690685.9684829712,716590.8282470703,702780.9741096497,760985.4560546875,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:1),CAR,3057472.452194214,3160476.8711013794,3039036.410785675,3075147.529067993,3349125.6428222656,3220022.6293792725,3208659.5,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:1)_QUAL,CAR,667197.6481704712,651668.8848114014,658728.1066474915,670911.7075462341,696776.6521186829,675206.6469573975,735194.3125,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:2),CAR,3102484.016254425,3256468.5601654053,3122954.210006714,3193420.745941162,3457559.8312568665,3302492.835788727,3252238.28515625,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:2)_QUAL,CAR,637043.3290290833,639307.5086746216,653383.1286010742,641681.0614128113,690750.8669586182,664099.7440299988,725255.8544921875,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:3),CAR,3070418.1309432983,3211800.2698516846,3107010.655944824,3168153.2629737854,3407461.330318451,3290062.8789138794,3175149.642578125,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:3)_QUAL,CAR,680110.7656326294,693908.2304763794,685410.8283691406,681427.3484077454,729924.0055541992,712557.6684417725,757884.5498046875,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:4),CAR,3061609.5353164673,3159899.838443756,3045079.65266037,3101436.6262550354,3378656.8293800354,3214800.5200042725,3109092.08203125,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:4)_QUAL,CAR,677202.0055122375,677851.169380188,672681.2316856384,687926.3469619751,742658.6296157837,695680.4130134583,756819.1298828125,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:0),CAR,574922.5826225281,574009.3823509216,571585.1212539673,566650.0017242432,610046.7840309143,588258.3452415466,631235.4873046875,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:0)_QUAL,CAR,2021668.7832870483,1994662.4340705872,2041038.220943451,2019083.3311042786,2103037.8742256165,2067518.1768798828,2018746.53125,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:1),CAR,538812.3169593811,553580.5986404419,543672.0016098022,543790.1369018555,596167.4827423096,576583.0191078186,602583.583984375,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:1)_QUAL,CAR,2025778.8242263794,1980847.176727295,2016208.4546928406,2028672.785320282,2082222.6592216492,2082339.4067230225,2005452.6015625,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:2),CAR,494881.9345397949,512942.71381378174,492197.8967247009,501363.71809387207,544468.7799873352,517482.3745765686,542018.3017578125,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:2)_QUAL,CAR,1952820.750946045,1927483.590473175,1960706.8170394897,1967845.2510986328,2006211.2477416992,1998182.7406311035,1927371.623046875,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:4),CAR,511635.57375717163,535500.6756896973,526661.697467804,519803.0973892212,559835.6960220337,534113.6777801514,571720.7197265625,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:4)_QUAL,CAR,1699522.695865631,1715086.2221183777,1722523.5377388,1728731.2086791992,1772832.50125885,1771201.9980506897,1701772.712890625,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:0),CAR,211987.69372558594,212434.45514297485,213305.2751045227,208328.85334396362,230004.65600204468,216325.31461715698,246921.7578163147,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:0)_QUAL,CAR,1564228.4501609802,1735581.1307868958,1969089.5763320923,1635916.3755569458,1986956.230709076,2425708.624382019,2740927.288986206,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:2),CAR,255564.45700073242,258931.038356781,258831.31882476807,255942.75939178467,278868.9411392212,268406.70084762573,311783.7636947632,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:2)_QUAL,CAR,1550406.9468803406,1733263.1596946716,1967450.0446166992,1631580.0968780518,1989806.9000816345,2492678.9784469604,2741514.162109375,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:4),CAR,262967.3775062561,269859.25887298584,266791.2395210266,267229.2974014282,282082.4207305908,278020.4800453186,317976.1638183594,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:4)_QUAL,CAR,1526966.7886009216,1706926.5694580078,1933363.8854751587,1606005.6964874268,1952696.0046958923,2380313.258365631,2787949.4111328125,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:5),CAR,257556.17918777466,256986.95825576782,262149.05852890015,259460.09939956665,273323.0988731384,269788.68070983887,303855.1018066406,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:5)_QUAL,CAR,1542397.8086776733,1710420.2963371277,1941201.0431289673,1626416.5240707397,1947058.2320365906,2395014.390083313,2717660.275390625,Genotype: 5xFAD | Brain Region: cerebellum | Sex: Male,Genotype: WT | Brain Region: cerebellum | Sex: Male,Genotype: 5xFAD__Brain Region: cerebellum__Sex: Male vs Genotype: WT__Brain Region: cerebellum__Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
