Lipid,Class,FAD185_M1_Male_5xFAD_cortex ,FAD185_M3_Male_5xFAD_cortex ,FAD189_M1_Male_5xFAD_cortex ,FAD189_M2_Male_5xFAD_cortex ,FAD185_M4_Male_WT_cortex ,FAD189_M3_Male_WT_cortex ,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(18:2)_QUAL,CAR,657429.1837158203,664824.4467277527,646209.2857894897,658525.7477798462,708036.3482475281,673538.2653198242,725255.8544921875,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:3),CAR,3215544.002193451,3233189.695941925,3152076.383911133,3176414.3812561035,3429904.1168785095,3312679.8973503113,3175149.642578125,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:3)_QUAL,CAR,699465.3496551514,696019.29246521,693745.6071548462,713923.1545372009,747649.1333656311,724785.8936004639,757884.5498046875,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:4),CAR,3162778.693130493,3206804.1934432983,3073514.468444824,3099974.26984787,3399486.8254776,3229563.2268829346,3109092.08203125,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:4)_QUAL,CAR,694115.5088729858,696792.8487167358,696220.6852416992,698410.2664146423,736047.5109024048,709531.2917251587,756819.1298828125,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:0),CAR,586645.7002029419,582079.1347312927,574311.2203979492,575452.460319519,631115.6622695923,610788.9026222229,631235.4873046875,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:0)_QUAL,CAR,2091926.9437561035,2024557.981880188,2003382.295475006,2046552.9743804932,2086055.1295394897,2100954.6359443665,2018746.53125,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:1),CAR,559269.5806694031,571172.1201248169,548740.7184410095,556692.4851226807,602110.226726532,577569.9802017212,602583.583984375,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:1)_QUAL,CAR,2043130.7114143372,2015235.4481315613,2024805.6467285156,2053102.1375083923,2088881.7276611328,2069368.9885978699,2005452.6015625,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:2),CAR,511996.2529373169,522356.77590560913,495884.21684265137,510662.513130188,546378.7353973389,525643.7546577454,542018.3017578125,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:2)_QUAL,CAR,1993213.965396881,1964196.2334403992,1949975.3960990906,1966620.9901618958,2017963.7061004639,2029728.7190666199,1927371.623046875,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:4),CAR,531124.8779182434,531155.4191093445,517301.37660598755,528165.6165313721,565618.1993026733,549072.7575035095,571720.7197265625,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:4)_QUAL,CAR,1760852.1631317139,1724234.8637542725,1712358.461566925,1732700.5193824768,1772002.6446914673,1786049.7331314087,1701772.712890625,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:0),CAR,217366.69368743896,213810.9952697754,207493.0552597046,213845.4559326172,233769.3362197876,225604.91527938843,246921.7578163147,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:0)_QUAL,CAR,1648583.6549301147,1746008.0389900208,1730418.9951629639,1736203.1207885742,2504173.6973495483,1890975.7272720337,2740927.288986206,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:2),CAR,257547.3189315796,261911.0191078186,255559.15911865234,260822.8589363098,281292.06059265137,272137.89904785156,311783.7636947632,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:2)_QUAL,CAR,1643261.155555725,1777193.2002410889,1725768.7186775208,1709172.9196128845,2534970.258289337,1904125.4772720337,2741514.162109375,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:4),CAR,267865.67892456055,270856.6806297302,262464.8190689087,273048.1981124878,292612.24086380005,272346.38008499146,317976.1638183594,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:4)_QUAL,CAR,1647175.846256256,1705225.0551643372,1674979.5860214233,1682382.0886802673,2457687.188598633,1862814.9916496277,2787949.4111328125,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:5),CAR,259900.6176147461,258897.35828781128,253202.39951705933,260779.81911087036,273580.31983184814,268120.2594985962,303855.1018066406,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:5)_QUAL,CAR,1659572.700164795,1722569.5664138794,1697152.2067260742,1701274.1628189087,2414996.485557556,1879986.6003189087,2717660.275390625,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:6),CAR,281148.3609428406,271400.38035964966,273758.11989212036,276313.58113861084,293004.68127441406,282123.80072784424,318534.2431640625,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:6)_QUAL,CAR,1315020.1889915466,1367385.548286438,1358296.4932861328,1369920.6706695557,1999698.053287506,1507176.8582077026,1836675.162109375,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
