Lipid,Class,DOD100-M1-WT-cerebellum10x_01202023,DOD100-M1-WT-cortex10x_01202023_x,DOD100-M1-WT-diencephalon10x_01202023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,DOD99-M2-WT-cortex10x_01202023_x,DOD99-M2-WT-diencephalon10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,M5FAD173-WT-Cortex10x_01192023_x,M5FAD173-WT-Diencephalon10x_01192023,M5FAD173-WT-Hippo10x_01192023,DOD100-M1-WT-cortex10x_01202023_y,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023_y,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,M5FAD173-WT-Cortex10x_01192023_y,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,36516.56300354004,33323.14264297485,41078.122703552246,31600.96230316162,35957.26264572144,36546.822441101074,41187.70300292969,38293.78224563599,34225.282024383545,39283.802684783936,27728.001831054688,37147.423122406006,33323.14264297485,36692.462463378906,37616.98265457153,36546.822441101074,47163.46329879761,38684.44284820557,39283.802684783936,22294.401321411133,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/16:0),Cer,92730.02653503418,119585.8681526184,63072.24443435669,61262.46444320679,82360.3857345581,86770.38639831543,96314.38687133788,92696.36716842651,87016.90506744385,115558.20627593994,71027.58568572998,134329.46858596802,119585.8681526184,94097.04789352416,71634.02543640137,86770.38639831543,152652.411567688,90605.04538345335,115558.20627593994,49086.90395736694,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/18:0),Cer,23910.721534729004,24480.881874084476,16931.921321868896,21668.40147781372,21830.84148788452,23461.22156906128,20784.1814994812,23203.34190750122,21737.88181304932,21810.941791534424,21460.881801605225,21004.281448364258,24480.881874084476,24564.40146255493,21907.801445007324,23461.22156906128,21279.241298675537,21167.64161300659,21810.941791534424,32565.38228225708,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/16:0),Cer,97478.24760437012,100954.5672607422,63247.98458099365,82006.22617340088,85335.76477050781,83571.66579055786,78392.94470977783,104129.10850906372,105676.1282157898,98255.28512954712,111197.36640167236,99503.34856796265,100954.5672607422,77182.18599319458,67614.68476867676,83571.66579055786,112079.00816345216,75406.60494613647,98255.28512954712,104272.36771011353,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/18:0),Cer,305559.53926086426,304801.284576416,157930.9115447998,280969.05976486206,284533.3180465698,276514.4203910828,228741.71733093265,300359.0815124512,315078.30672073364,285917.71657562256,339689.64263916016,259670.5165176392,304801.284576416,261576.97959136963,228328.8583450317,276514.4203910828,223601.6531028748,227696.1364517212,285917.71657562256,544596.580368042,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,50221.2636795044,38517.28271102905,40477.462688446045,29833.582180023197,97699.06726837158,40629.2631149292,47302.34348678589,35027.162464141846,35528.922370910645,37163.8623008728,36310.98204803467,34894.54271697998,38517.28271102905,36027.762283325195,42948.363021850586,40629.2631149292,42736.36308288574,30331.58203125,37163.8623008728,28402.641986846924,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,77242.60544967651,104923.82834243774,70156.98491287231,54778.02419662476,81890.94709014893,79647.96742630005,90403.96683502196,81422.12617874146,73431.82516098022,97751.66666412354,53195.04327392578,112472.52647018433,104923.82834243774,84782.36605834961,66330.18539047241,79647.96742630005,144407.71041107178,81413.10648345947,97751.66666412354,19274.341342926025,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
1-O-myristoyl-Cer(d18:1/16:0),Cer,55769.94352340698,55029.08363342285,44181.50326156616,46942.16307449341,59503.92415237427,50479.26407623291,49011.963397979736,50195.963748931885,51984.18327713013,45911.8233833313,45070.7234954834,49277.52336502075,55029.08363342285,54183.54351043701,53711.363929748535,50479.26407623291,49155.66358947754,50361.16374969482,45911.8233833313,43334.30277252197,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
1-O-palmitoyl-Cer(d18:1/16:0),Cer,42922.682651519775,41975.34289932251,39518.76318740845,41863.74258804321,68184.54487991333,43672.76354598999,44456.16331863403,41158.282787323,40714.48252868652,43771.94339752197,41486.06307220459,40904.52328491211,41975.34289932251,42159.56315231323,46103.00323486328,43672.76354598999,43331.863063812256,40639.18308258057,43771.94339752197,50665.82361602783,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
1-O-stearoyl-Cer(d18:1/16:0),Cer,61475.42427444458,44340.32306671143,51899.82354354858,34317.60231781006,137949.04893875122,49289.16366195679,56296.36441421509,35969.52249908447,43658.14338684082,44351.12351226807,42019.50308609009,40138.9030418396,44340.32306671143,41978.90271377564,47592.20374298096,49289.16366195679,53856.84366226196,37718.002490997314,44351.12351226807,32940.40257644653,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,43802.02247619629,45042.482692718506,42341.26301193237,36280.562450408936,44314.10312652588,47179.88382720947,47969.623191833496,43573.80286026001,45363.443408966064,49861.92351913452,34593.72241592407,47277.84367752075,45042.482692718506,47917.14291381836,44551.78361511231,47179.88382720947,79700.04627227783,46306.86296844482,49861.92351913452,21537.66153717041,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,11110.9609375,13229.820877075195,9018.440578460692,10864.320823669434,11287.780799865724,10774.420791625977,11086.620765686035,11811.08076095581,10400.820728302002,11459.260730743408,10810.2406539917,10880.9607963562,13229.820877075195,11874.98077774048,11112.440662384031,10774.420791625977,11614.500896453856,10037.64073562622,11459.260730743408,12759.900817871094,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",CAR,4113421.935546875,3537992.9995117188,5983760.49609375,4530618.3974609375,4024964.0034179688,4869216.183105469,5044906.811035156,4468202.2490234375,4172629.2885742183,3993657.2543945312,2897261.4868164062,4224210.512207031,3537992.9995117188,4612804.606933594,5059683.297363281,4869216.183105469,5089087.544433594,4672021.863769531,3993657.2543945312,2428656.8916015625,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
12:0 Cholesteryl ester,CE,194297.81564331052,184184.01274108887,169429.59413146973,186232.6936645508,206243.57360839844,194290.03338623047,191839.97328186035,183007.0717926025,53790.523944854736,57300.26417160034,48507.40311431885,49461.10324478149,184184.01274108887,206443.9545135498,187842.8329925537,194290.03338623047,54702.86418151856,53449.14390563965,57300.26417160034,158999.98956298828,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
12:0 Cholesteryl ester_2,CE,190207.0535888672,194223.2352294922,170046.1913909912,189840.2132263184,198169.4523773193,194121.27363967896,177208.31147766113,177894.63215637207,51690.70365142822,55628.72424697876,51444.80327987671,54207.28388977051,194223.2352294922,198899.3538360596,189600.5742797852,194121.27363967896,50913.96357727051,49618.86361312866,55628.72424697876,163044.15301513672,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
14:0 Cholesteryl ester,CE,151012.9727783203,174361.71353149414,99233.18690490724,104420.42792510986,95271.94723510742,103502.50770568848,90300.9059906006,109004.62704467772,54412.36402511597,44501.42287063599,40449.28260803223,49358.223373413086,174361.71353149414,107908.76762390137,103784.52690124512,103502.50770568848,43653.82319641113,49058.56335067749,44501.42287063599,85346.74568939209,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
14:1 Cholesteryl ester,CE,146649.31089782715,167934.35008239746,93945.5266494751,103682.6265411377,99486.52751159668,103306.90727233888,94580.62687683104,112287.36878967284,53858.74382400513,43761.02275466919,39776.48303985596,47979.98323059082,167934.35008239746,101516.40711975098,103069.94741821288,103306.90727233888,42685.24269104004,45816.14336395264,43761.02275466919,91728.62675476074,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,273822.9802246094,292253.8006591797,282307.5396728516,274064.7186279297,280063.2983398437,309868.7003173828,277162.119140625,268143.7779541016,99011.74743652344,101925.20712280272,107436.90838623048,100182.9266052246,292253.8006591797,289878.5213623047,287886.201171875,309868.7003173828,121756.2882385254,94190.34649658205,101925.20712280272,268696.0985107422,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,CE,266944.2990722656,288007.4022216797,282309.6809082031,278048.1408691406,270783.4014892578,308109.24353027344,278571.67907714844,271687.5393066406,96553.88653564452,105516.18823242188,108698.96670532228,96428.72689819336,288007.4022216797,292477.3010253906,290238.6412353516,308109.24353027344,120988.00839233398,93845.26657104492,105516.18823242188,281328.5203857422,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
15:0 Cholesteryl ester,CE,241246.33728027344,253107.4787597656,257820.4782714844,258305.59765625,253455.57739257807,264173.32067871094,246816.4970703125,248950.81713867188,105602.46716308594,101124.08694458008,116445.74822998048,102162.18740844728,253107.4787597656,259193.8380126953,259023.73706054688,264173.32067871094,110598.20782470705,99013.02743530272,101124.08694458008,248100.27880859372,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,278759.4783935547,278878.5386352539,295206.8620605469,286384.1994628906,273873.7996826172,308956.20349121094,267262.1589355469,276976.9796142578,111482.82788085938,115424.5080871582,126887.06896972656,111654.76879882812,278878.5386352539,296957.74169921875,290135.00103759766,308956.20349121094,120349.36853027344,108678.26788330078,115424.5080871582,282264.8193359375,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,CE,272410.89880371094,286760.6004638672,280321.3400878906,293948.66052246094,280813.90087890625,295662.2412109375,274924.6597290039,278041.7590332031,110884.42791748048,118771.74865722656,121661.82904052734,112872.2681274414,286760.6004638672,299675.64099121094,298718.8214111328,295662.2412109375,121086.38803100586,111295.56848144533,118771.74865722656,287922.24072265625,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
15:1 Cholesteryl ester,CE,260969.47998046875,279110.23876953125,268707.9381103516,261043.47790527344,254370.2586669922,272599.61767578125,249741.7177734375,247970.59814453125,106415.78732299805,109607.08767700195,113070.3878173828,107635.2876586914,279110.23876953125,268055.0593261719,267581.09765625,272599.61767578125,112505.0086364746,97831.46688842772,109607.08767700195,255572.7781982422,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,163176.71159362793,181109.19328308103,336776.8264312744,249489.0998535156,187992.35208892825,438289.16777038574,328525.7266998291,160506.25076293945,46379.60326766968,77134.06510925293,76195.66496658325,47949.46321105957,181109.19328308103,482661.26905822754,230368.095413208,438289.16777038574,157669.31104660034,44475.38328170776,77134.06510925293,121273.30940246582,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,CE,160255.63095092773,187184.9127502441,347830.1068267822,240007.47801208496,202342.0154266357,443183.8342895508,326737.5634002685,151672.46923828125,50241.78372955322,79354.32606506348,75534.00523757935,50140.58383560181,187184.9127502441,457017.1744232178,232697.2156829834,443183.8342895508,162404.1529197693,42214.92322540283,79354.32606506348,125768.08905029295,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
16:2 Campesteryl ester,CE,157160.73239135742,167781.59133911133,342955.9080352783,239180.9777069092,191045.8516845703,418315.46867370605,310051.0410308838,147526.39030456543,48198.26329803467,74919.82628250122,69768.96461868286,45947.08301925659,167781.59133911133,468778.7299804688,229844.91590881348,418315.46867370605,165206.61423492432,43435.38317108154,74919.82628250122,117353.56846618652,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,269839.3192138672,292551.71875,280581.6188964844,276360.1994628906,260879.01892089844,297439.0616455078,265993.7189941406,269447.4189453125,113157.4481201172,110140.7073059082,119384.78771972656,107576.0082397461,292551.71875,286850.72009277344,293157.0216064453,297439.0616455078,113731.94830322266,101456.2074584961,110140.7073059082,274790.7999267578,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
16:3 Campesteryl ester,CE,154318.75048446655,170507.59172058103,332875.0812988281,234669.65798187256,185146.27444458008,427672.8699798584,310477.7449951172,144066.910446167,47734.20327758789,75315.50601577759,71218.46506500244,46587.88315200806,170507.59172058103,456562.5186233521,217033.97341918945,427672.8699798584,160582.991481781,41053.32256317139,75315.50601577759,114802.70822143556,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
16:3 Cholesteryl ester,CE,254891.2978515625,270792.63830566406,259728.7784423828,274137.7209472656,267854.7390136719,275931.4796142578,258171.55993652344,262840.2385253906,103272.96737670898,110097.02749633788,119627.44903564452,104622.92736816406,270792.63830566406,273550.51916503906,280845.88049316406,275931.4796142578,118023.78784179688,104182.76788330078,110097.02749633788,268572.4782714844,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
16:3 Stigmasteryl ester,CE,209177.1556091309,238233.19439697263,417130.1490478516,301400.6235656738,238084.13414001465,491452.9175415039,365903.52224731445,207753.87649536133,74735.34531402588,112134.6275253296,105826.8872909546,79884.74600219727,238233.19439697263,542890.2322692871,303466.01583862305,491452.9175415039,177535.57064819336,70479.92538833618,112134.6275253296,174687.61349487305,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,263683.299118042,269417.33947753906,472836.2958374024,360051.7068176269,306007.86514282227,589933.1188049316,411432.9081420898,252912.35702514648,72935.00525665283,103941.22734069824,95725.1279220581,69250.00426864624,269417.33947753906,609582.4785461426,339927.88663482666,589933.1188049316,196164.55129241943,63067.42455291748,103941.22734069824,197711.39486694336,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",CE,264936.3984527588,275774.5595397949,467518.1094055176,372578.784576416,297442.67919921875,578218.7215881348,432811.65029907227,249793.495513916,70505.20509338379,105990.80756378174,94433.90701293944,65956.20474243164,275774.5595397949,612892.9210205078,352186.2632141113,578218.7215881348,199214.2363128662,66339.54444122314,105990.80756378174,197452.6138916016,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,262366.89752197266,272276.99826049805,449361.2501220703,372894.063873291,291198.4189758301,578229.0800170898,421981.7488708496,253252.07821655276,70637.34497070312,104960.36757659912,102442.5464553833,72498.68489837646,272276.99826049805,604201.1010437012,344977.4267883301,578229.0800170898,195620.6760406494,66619.54499816895,104960.36757659912,201944.2561798096,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",CE,270283.1389465332,282595.2204284668,468996.0119934082,350154.3428039551,304620.8027038574,584872.5077514648,424691.0045776367,255931.9373779297,71781.18487167358,106163.54775619508,98708.50708389282,67602.62491607666,282595.2204284668,601233.5832366943,331640.3845214844,584872.5077514648,200966.05520629883,63674.6642036438,106163.54775619508,199674.9553833008,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,159780.23112487793,172803.25178527832,345805.9059753418,243419.6374053955,195049.0751647949,436325.7263793945,328314.5411529541,148317.23024749756,50700.763595581055,77847.66497421265,73089.96499633789,45423.58345794678,172803.25178527832,471428.01194763184,218880.09548187256,436325.7263793945,165967.61249160767,46261.54291534424,77847.66497421265,122837.10720825195,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,CE,141740.25134277344,165014.77180480957,334849.38470458984,236172.8360900879,189485.9930114746,415234.27352905273,315089.0400085449,147790.75193023682,45853.58361053467,75341.58574676514,72327.7248840332,48443.423652648926,165014.77180480957,460792.76985168457,206078.07276916504,415234.27352905273,160566.41161346436,45343.34331130981,75341.58574676514,119584.48794555664,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE,219805.5156860352,238098.99700927731,251351.8338623047,222433.1926574707,230061.63494873047,265711.5782318115,233254.1951904297,217670.1551208496,61646.12407684326,72586.16502380371,69918.46492004395,58456.8840713501,238098.99700927731,278488.0610809326,250274.46084594727,265711.5782318115,88312.66635894775,66861.42481994629,72586.16502380371,232670.8377380371,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",CE,218252.77764892575,234472.71701049805,256823.51718139648,230665.59564208984,222260.49298095703,270909.55950927734,238287.11483764648,212685.6136932373,57490.724044799805,68150.66487884521,71601.82501220703,61869.20440673828,234472.71701049805,273423.89978027344,259398.0389404297,270909.55950927734,92443.26620483398,70337.48574829102,68150.66487884521,241449.8783721924,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
18:1 Campesteryl ester,CE,224761.6177978516,233450.5391235352,251414.53872680664,240928.99647521973,221406.51528930664,261731.28118896484,228142.67880249023,227796.5161743164,57654.62384033203,63951.22497558594,71419.0849647522,60167.68382263184,233450.5391235352,263904.27825927734,252689.3544921875,261731.28118896484,82409.8259010315,56984.78404998779,63951.22497558594,225617.7167816162,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
