Lipid,Class,DOD100-M1-WT-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M5FAD173-WT-Cortex10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
14:1 Cholesteryl ester,CE,167934.35008239746,103306.90727233887,43761.02275466919,103682.6265411377,112287.36878967285,47979.98323059082,91728.62675476074,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,292253.8006591797,309868.7003173828,101925.20712280273,274064.7186279297,268143.77795410156,100182.92660522461,268696.0985107422,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,CE,288007.4022216797,308109.24353027344,105516.18823242188,278048.1408691406,271687.5393066406,96428.72689819336,281328.5203857422,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
15:0 Cholesteryl ester,CE,253107.47875976562,264173.32067871094,101124.08694458008,258305.59765625,248950.81713867188,102162.18740844727,248100.27880859375,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,278878.5386352539,308956.20349121094,115424.5080871582,286384.1994628906,276976.9796142578,111654.76879882812,282264.8193359375,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,CE,286760.6004638672,295662.2412109375,118771.74865722656,293948.66052246094,278041.7590332031,112872.2681274414,287922.24072265625,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
15:1 Cholesteryl ester,CE,279110.23876953125,272599.61767578125,109607.08767700195,261043.47790527344,247970.59814453125,107635.2876586914,255572.7781982422,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,181109.19328308105,438289.16777038574,77134.06510925293,249489.09985351562,160506.25076293945,47949.46321105957,121273.30940246582,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,CE,187184.91275024414,443183.8342895508,79354.32606506348,240007.47801208496,151672.46923828125,50140.58383560181,125768.08905029297,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
16:2 Campesteryl ester,CE,167781.59133911133,418315.46867370605,74919.82628250122,239180.97770690918,147526.39030456543,45947.08301925659,117353.56846618652,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,292551.71875,297439.0616455078,110140.7073059082,276360.1994628906,269447.4189453125,107576.0082397461,274790.7999267578,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
16:3 Campesteryl ester,CE,170507.59172058105,427672.8699798584,75315.50601577759,234669.65798187256,144066.910446167,46587.88315200806,114802.70822143555,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
16:3 Cholesteryl ester,CE,270792.63830566406,275931.4796142578,110097.02749633789,274137.7209472656,262840.2385253906,104622.92736816406,268572.4782714844,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
16:3 Stigmasteryl ester,CE,238233.19439697266,491452.9175415039,112134.62752532959,301400.6235656738,207753.87649536133,79884.74600219727,174687.61349487305,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,269417.33947753906,589933.1188049316,103941.22734069824,360051.70681762695,252912.35702514648,69250.00426864624,197711.39486694336,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",CE,275774.5595397949,578218.7215881348,105990.80756378174,372578.784576416,249793.49551391602,65956.20474243164,197452.61389160156,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,272276.99826049805,578229.0800170898,104960.36757659912,372894.063873291,253252.07821655273,72498.68489837646,201944.25617980957,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",CE,282595.2204284668,584872.5077514648,106163.54775619507,350154.3428039551,255931.9373779297,67602.62491607666,199674.95538330078,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,172803.25178527832,436325.72637939453,77847.66497421265,243419.6374053955,148317.23024749756,45423.58345794678,122837.10720825195,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,CE,165014.77180480957,415234.27352905273,75341.58574676514,236172.8360900879,147790.75193023682,48443.423652648926,119584.48794555664,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE,238098.99700927734,265711.5782318115,72586.16502380371,222433.1926574707,217670.1551208496,58456.8840713501,232670.8377380371,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",CE,234472.71701049805,270909.55950927734,68150.66487884521,230665.59564208984,212685.6136932373,61869.20440673828,241449.87837219238,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
18:1 Campesteryl ester,CE,233450.53912353516,261731.28118896484,63951.22497558594,240928.99647521973,227796.5161743164,60167.683822631836,225617.7167816162,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,289138.4790649414,585151.3779449463,102739.50680541992,381474.1481933594,274696.0990600586,71782.84466552734,224405.7758178711,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
18:3 Campesteryl ester,CE,213127.35446166992,242607.49642944336,66174.2045288086,206521.37365722656,195902.6728515625,58889.22416687012,197820.75631713867,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,315847.1044616699,595870.3013763428,103495.5284690857,400381.6452026367,283924.2213745117,76460.92622375488,254542.46154785156,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",CE,419422.98986816406,415310.3869628906,146106.55047607422,391348.7673339844,354341.3049316406,139586.21026611328,328716.4434814453,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",CE,427756.94885253906,430666.9284667969,150386.73071289062,382867.52575683594,352302.1843261719,137866.00958251953,329537.4803466797,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",CAR,1218044.2957763672,1240025.5187988281,1244585.4881591797,1289018.3786621094,1210873.5478515625,1173183.5369873047,1930786.4631347656,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
20:0 Campesteryl ester,CE,944354.2272949219,799106.8182373047,242206.25750732422,469695.3544921875,501893.65234375,197502.67498779297,317584.8635253906,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
20:1 Campesteryl ester,CE,922340.9077148438,768436.0723876953,229859.89709472656,461297.6511230469,503761.73498535156,199627.77404785156,310572.0031738281,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",CE,420065.75048828125,422728.80859375,149125.32971191406,396489.7082519531,359091.7648925781,142767.74981689453,336350.2844238281,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",CE,420005.08837890625,413933.3474121094,152263.0704345703,380589.8077392578,355941.384765625,146173.73016357422,332064.9237060547,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
20:3 Campesteryl ester,CE,831691.5396728516,630418.0675048828,291385.0417480469,581533.5655517578,624555.2194824219,273740.8601074219,532591.3153076172,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",CE,340624.28259277344,362469.4854736328,146808.49047851562,316081.24267578125,295324.52014160156,140183.13012695312,281844.6805419922,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",CE,348037.0646057129,402231.26961517334,144343.5308227539,348575.3070983887,324714.06285095215,131112.8683166504,433173.92571258545,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
20:5 Cholesteryl ester,CE,719790.7917480469,810821.262512207,246523.35818481445,771799.6127319336,714395.755935669,235360.5344581604,911030.2897338867,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:0 Campesteryl ester,CE,526033.4529647827,384554.50311279297,71315.94483184814,335009.5023803711,319311.84059143066,69838.88446426392,105651.5481300354,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",CE,636603.4621429443,524705.1521759033,114199.28704071045,172745.71115112305,235747.27536773682,80594.5062789917,79871.64535522461,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:0 Sitosteryl ester,CE,561003.0242385864,421927.34729003906,79683.76554870605,375415.22120666504,342953.5009460449,77020.76491165161,228572.99380493164,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:1 Campesteryl ester,CE,479712.1131286621,395492.0505371094,70321.82493591309,300019.1825180054,286221.46573257446,66762.08471679688,102455.64757919312,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",CE,631755.8412628174,508749.61309814453,112743.7882270813,169745.83312225342,234477.81832885742,84083.74672317505,78654.8657836914,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",CE,568701.699710846,423679.4720993042,84803.34576416016,371401.4266014099,339966.16425323486,77005.56617355347,206498.9136428833,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:2 Campesteryl ester,CE,289210.3822784424,381027.0474014282,70477.46474456787,109912.80857086182,103576.40770339966,55119.703243255615,80835.36569976807,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",CE,558193.1280670166,415441.63109588623,78620.56488800049,350456.68489456177,326611.1287879944,73470.72465133667,160474.38968276978,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:3 Campesteryl ester,CE,353298.22665405273,449166.67167663574,60358.8840713501,117693.50897216797,117399.28813171387,27730.041870117188,78485.72638702393,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:3 Stigmasteryl ester,CE,511923.66984558105,404606.42864990234,73503.32471084595,336055.4048423767,324529.98192596436,70560.264919281,107463.74801254272,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",CE,1016566.2236328125,848434.1008300781,253103.3198852539,505492.73486328125,542394.1608886719,215199.37567138672,370215.2233886719,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:5 Cholesteryl ester,CE,964189.7916259766,834771.65625,240096.01763916016,490647.8161621094,528387.7165527344,207113.65533447266,343852.4637451172,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:6 Cholesteryl ester,CE,964544.3095703125,816056.55078125,238869.7992553711,477660.0895996094,511284.4758300781,203145.3345336914,318345.9444580078,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
