Lipid,Parent_Ion,Product_Ion,Transition
LPC(18:4),516.3,184.1,516.3 -> 184.1
LPC(18:3),518.3,184.1,518.3 -> 184.1
"LPC(18:2),LPC(P-19:1)",520.4,184.1,520.4 -> 184.1
"LPC(18:1),PC(O-18:1),PC(P-18:0)",522.4,184.1,522.4 -> 184.1
"LPC(18:0),PC(O-18:0),LPC(O-19:0)",524.4,184.1,524.4 -> 184.1
LPC(O-20:4),530.4,184.1,530.4 -> 184.1
LPC(19:3),532.3,184.1,532.3 -> 184.1
"PC(18:1),LPC(19:1),PC(O-19:1),LPC(P-20:0)",536.4,184.1,536.4 -> 184.1
"PC(18:0),LPC(19:0),PC(O-19:0),LPC(O-20:0)",538.4,184.1,538.4 -> 184.1
LPC(20:5),542.3,184.1,542.3 -> 184.1
LPC(20:4),544.3,184.1,544.3 -> 184.1
LPC(20:3),546.4,184.1,546.4 -> 184.1
"LPC(20:2),PC(O-20:2)",548.4,184.1,548.4 -> 184.1
"PC(19:1),LPC(20:1),PC(O-20:1),PC(P-20:0)",550.4,184.1,550.4 -> 184.1
"PC(19:0),LPC(20:0),PC(O-20:0)",552.4,184.1,552.4 -> 184.1
"PC(20:4),LPC(21:4)",558.4,184.1,558.4 -> 184.1
"PC(20:1),PC(O-21:1)",564.4,184.1,564.4 -> 184.1
"PC(20:0),LPC(21:0),PC(O-21:0)",566.4,184.1,566.4 -> 184.1
LPC(22:6),568.3,184.1,568.3 -> 184.1
LPC(22:5),570.4,184.1,570.4 -> 184.1
LPC(22:4),572.4,184.1,572.4 -> 184.1
LPC(22:2),576.4,184.1,576.4 -> 184.1
"PC(21:1),LPC(22:1)",578.4,184.1,578.4 -> 184.1
"PC(21:0),LPC(22:0),PC(O-22:0)",580.4,184.1,580.4 -> 184.1
PC(22:1),592.4,184.1,592.4 -> 184.1
PC(22:0),594.4,184.1,594.4 -> 184.1
LPC(24:1),606.4,184.1,606.4 -> 184.1
LPC(24:0),608.5,184.1,608.5 -> 184.1
PC(24:0),622.4,184.1,622.4 -> 184.1
PC(25:0),636.5,184.1,636.5 -> 184.1
PC(26:1),648.5,184.1,648.5 -> 184.1
PC(26:0),650.5,184.1,650.5 -> 184.1
"PC(27:1),PC(P-28:0)",662.5,184.1,662.5 -> 184.1
"PC(27:0),PC(O-28:0)",664.5,184.1,664.5 -> 184.1
PC(28:2),674.5,184.1,674.5 -> 184.1
"PC(28:1),PC(P-29:0)",676.5,184.1,676.5 -> 184.1
"PC(28:0),PC(O-29:0)",678.5,184.1,678.5 -> 184.1
"PC(29:2),PC(P-30:1)",688.5,184.1,688.5 -> 184.1
"PC(29:1),PC(O-30:1),PC(P-30:0)",690.5,184.1,690.5 -> 184.1
"PC(29:0),PC(O-30:0)",692.6,184.1,692.6 -> 184.1
PC(30:4),698.5,184.1,698.5 -> 184.1
PC(30:3),700.5,184.1,700.5 -> 184.1
"PC(30:2),PC(P-31:1)",702.5,184.1,702.5 -> 184.1
"PC(30:1),PC(O-31:1),PC(P-31:0)",704.6,184.1,704.6 -> 184.1
"PC(30:0),PC(O-31:0)",706.6,184.1,706.6 -> 184.1
PC(31:4),712.5,184.1,712.5 -> 184.1
"PC(31:3),PC(O-32:3)",714.5,184.1,714.5 -> 184.1
"PC(31:2),PC(O-32:2),PC(P-32:1)",716.6,184.1,716.6 -> 184.1
"PC(31:1),PC(O-32:1),PC(P-32:0)",718.6,184.1,718.6 -> 184.1
"PC(31:0),PC(O-32:0)",720.6,184.1,720.6 -> 184.1
PC(32:5),724.5,184.1,724.5 -> 184.1
PC(32:4),726.5,184.1,726.5 -> 184.1
"PC(32:3),PC(P-33:2)",728.6,184.1,728.6 -> 184.1
"PC(32:2),PC(O-33:2),PC(P-33:1)",730.6,184.1,730.6 -> 184.1
"PC(32:1),PC(O-33:1),PC(P-33:0)",732.6,184.1,732.6 -> 184.1
"PC(32:0),PC(O-33:0)",734.6,184.1,734.6 -> 184.1
"PC(33:5),PC(P-34:4)",738.5,184.1,738.5 -> 184.1
"PC(33:4),PC(O-34:4),PC(O-34:4),PC(P-34:3)",740.6,184.1,740.6 -> 184.1
"PC(33:3),PC(O-34:3),PC(P-34:2)",742.6,184.1,742.6 -> 184.1
"PC(33:2),PC(O-34:2),PC(P-34:1)",744.6,184.1,744.6 -> 184.1
"PC(33:1),PC(O-34:1),PC(P-34:0)",746.6,184.1,746.6 -> 184.1
"PC(33:0),PC(O-34:0)",748.6,184.1,748.6 -> 184.1
PC(34:6),750.5,184.1,750.5 -> 184.1
PC(34:5),752.5,184.1,752.5 -> 184.1
"PC(34:4),PC(O-35:4)",754.6,184.1,754.6 -> 184.1
"PC(34:3),PC(P-35:2)",756.6,184.1,756.6 -> 184.1
"PC(34:2),PC(O-35:2),PC(P-35:1)",758.6,184.1,758.6 -> 184.1
"PC(34:1),PC(O-35:1),PC(P-35:0)",760.6,184.1,760.6 -> 184.1
"PC(34:0),PC(O-35:0)",762.6,184.1,762.6 -> 184.1
"PC(35:6),PC(P-36:5)",764.6,184.1,764.6 -> 184.1
"PC(35:5),PC(O-36:5),PC(P-36:4)",766.6,184.1,766.6 -> 184.1
"PC(35:4),PC(O-36:4),PC(P-36:3)",768.6,184.1,768.6 -> 184.1
"PC(35:3),PC(O-36:3),PC(P-36:2)",770.6,184.1,770.6 -> 184.1
"PC(35:2),PC(O-36:2),PC(P-36:1)",772.6,184.1,772.6 -> 184.1
"PC(36:8),PC(35:1),PC(O-36:1),PC(P-36:0)",774.6,184.1,774.6 -> 184.1
"PC(36:7),PC(35:0),PC(O-36:0)",776.7,184.1,776.7 -> 184.1
PC(36:6),778.5,184.1,778.5 -> 184.1
PC(36:5),780.6,184.1,780.6 -> 184.1
"PC(36:4),PC(O-37:4)",782.6,184.1,782.6 -> 184.1
"PC(36:3),PC(P-37:2)",784.6,184.1,784.6 -> 184.1
"PC(O-38:9),PC(36:2),PC(O-37:2),PC(P-37:1)",786.6,184.1,786.6 -> 184.1
"PC(O-38:8),PC(36:1),PC(O-37:1),PC(P-37:0)",788.7,184.1,788.7 -> 184.1
"PC(37:7),PC(P-38:6),PC(36:0),PC(O-37:0)",790.7,184.1,790.7 -> 184.1
"PC(37:6),PC(O-38:6),PC(P-38:5)",792.6,184.1,792.6 -> 184.1
"PC(37:5),PC(O-38:5),PC(P-38:4)",794.6,184.1,794.6 -> 184.1
"PC(37:4),PC(O-38:4),PC(P-38:3)",796.6,184.1,796.6 -> 184.1
"PC(37:3),PC(O-38:3),PC(P-38:2)",798.6,184.1,798.6 -> 184.1
"PC(38:9),PC(37:2),PC(O-38:2),PC(P-38:1)",800.7,184.1,800.7 -> 184.1
"PC(38:8),PC(37:1),PC(O-38:1),PC(P-38:0)",802.7,184.1,802.7 -> 184.1
"PC(38:7),PC(37:0),PC(O-38:0)",804.7,184.1,804.7 -> 184.1
PC(38:6),806.6,184.1,806.6 -> 184.1
PC(38:5),808.6,184.1,808.6 -> 184.1
PC(38:4),810.6,184.1,810.6 -> 184.1
PC(38:3),812.6,184.1,812.6 -> 184.1
"PC(O-40:9),PC(38:2),PC(P-39:1)",814.7,184.1,814.7 -> 184.1
"PC(39:8),PC(O-40:8),PC(38:1),PC(O-39:1),PC(P-39:0)",816.7,184.1,816.7 -> 184.1
"PC(39:7),PC(P-40:6),PC(38:0),PC(O-39:0)",818.7,184.1,818.7 -> 184.1
"PC(39:6),PC(O-40:6),PC(P-40:5)",820.6,184.1,820.6 -> 184.1
"PC(39:5),PC(O-40:5),PC(P-40:4)",822.6,184.1,822.6 -> 184.1
"PC(39:4),PC(O-40:4),PC(P-40:3)",824.7,184.1,824.7 -> 184.1
"PC(40:10),PC(39:3),PC(O-40:3),PC(P-40:2)",826.7,184.1,826.7 -> 184.1
"PC(40:9),PC(39:2),PC(O-40:2),PC(P-40:1)",828.7,184.1,828.7 -> 184.1
"PC(40:8),PC(39:1),PC(O-40:1),PC(P-40:0)",830.7,184.1,830.7 -> 184.1
"PC(40:7),PC(39:0),PC(O-40:0)",832.7,184.1,832.7 -> 184.1
PC(40:6),834.6,184.1,834.6 -> 184.1
PC(40:5),836.6,184.1,836.6 -> 184.1
PC(40:4),838.6,184.1,838.6 -> 184.1
PC(40:3),840.6,184.1,840.6 -> 184.1
PC(40:2),842.7,184.1,842.7 -> 184.1
"PC(40:1),PC(P-41:0)",844.7,184.1,844.7 -> 184.1
"PC(41:7),PC(P-42:6),PC(40:0),PC(O-41:0)",846.7,184.1,846.7 -> 184.1
"PC(41:6),PC(O-42:6)",848.7,184.1,848.7 -> 184.1
"PC(41:5),PC(P-42:4)",850.7,184.1,850.7 -> 184.1
"PC(42:11),PC(41:4),PC(O-42:4)",852.7,184.1,852.7 -> 184.1
"PC(42:10),PC(41:3),PC(O-42:3),PC(P-42:2)",854.7,184.1,854.7 -> 184.1
"PC(42:9),PC(41:2),PC(O-42:2),PC(P-42:1)",856.7,184.1,856.7 -> 184.1
"PC(42:8),PC(41:1),PC(O-42:1),PC(P-42:0)",858.7,184.1,858.7 -> 184.1
"PC(42:7),PC(41:0),PC(O-42:0)",860.7,184.1,860.7 -> 184.1
PC(42:6),862.6,184.1,862.6 -> 184.1
PC(42:5),864.6,184.1,864.6 -> 184.1
PC(42:4),866.7,184.1,866.7 -> 184.1
PC(42:3),868.7,184.1,868.7 -> 184.1
PC(42:2),870.7,184.1,870.7 -> 184.1
PC(42:1),872.7,184.1,872.7 -> 184.1
PC(42:0),874.7,184.1,874.7 -> 184.1
PC(43:6),876.6,184.1,876.6 -> 184.1
"PC(44:12),PC(O-44:5)",878.7,184.1,878.7 -> 184.1
"PC(43:4),PC(O-44:4)",880.7,184.1,880.7 -> 184.1
"PC(44:10),PC(O-44:3)",882.7,184.1,882.7 -> 184.1
PC(43:2),884.7,184.1,884.7 -> 184.1
"PC(44:8),PC(43:1)",886.7,184.1,886.7 -> 184.1
"PC(44:7),PC(43:0)",888.7,184.1,888.7 -> 184.1
PC(44:6),890.7,184.1,890.7 -> 184.1
PC(44:5),892.7,184.1,892.7 -> 184.1
PC(44:4),894.7,184.1,894.7 -> 184.1
PC(44:3),896.7,184.1,896.7 -> 184.1
PC(44:2),898.7,184.1,898.7 -> 184.1
PC(44:1),900.7,184.1,900.7 -> 184.1
PC(44:0),902.8,184.1,902.8 -> 184.1
PC(46:2),926.8,184.1,926.8 -> 184.1
PC(46:1),928.8,184.1,928.8 -> 184.1
PC(46:0),930.8,184.1,930.8 -> 184.1
PC(48:2),954.8,184.1,954.8 -> 184.1
PC(48:0),958.8,184.1,958.8 -> 184.1
PC(50:0),986.9,184.1,986.9 -> 184.1
PC(52:4),1006.8,184.1,1006.8 -> 184.1
PC(52:0),1014.9,184.1,1014.9 -> 184.1
PC(54:12),1018.7,184.1,1018.7 -> 184.1
PC(56:12),1046.8,184.1,1046.8 -> 184.1
PC(56:9),1052.8,184.1,1052.8 -> 184.1
PC(56:8),1054.8,184.1,1054.8 -> 184.1
LPE(12:0),398.2,257.2,398.2 -> 257.2
LPE(14:0),426.3,285.3,426.3 -> 285.3
LPE(14:1),424.2,283.2,424.2 -> 283.2
"LPE(15:1),LPE(P-16:0)",438.3,297.3,438.3 -> 297.3
LPE(16:1),452.3,311.3,452.3 -> 311.3
"LPE(17:1),LPE(O-18:1),LPE(P-18:0)",466.3,325.3,466.3 -> 325.3
LPE(17:2),464.3,323.3,464.3 -> 323.3
LPE(18:1),480.3,339.3,480.3 -> 339.3
"LPE(18:2),LPE(P-19:1)",478.3,337.3,478.3 -> 337.3
LPE(18:3),476.3,335.3,476.3 -> 335.3
LPE(18:4),474.3,333.3,474.3 -> 333.3
"LPE(19:1),LPE(P-20:0)",494.4,353.4,494.4 -> 353.4
LPE(20:0),510.4,369.4,510.4 -> 369.4
LPE(20:1),508.3,367.3,508.3 -> 367.3
LPE(20:2),506.3,365.3,506.3 -> 365.3
LPE(20:3),504.3,363.3,504.3 -> 363.3
LPE(20:4),502.3,361.3,502.3 -> 361.3
LPE(20:5),500.3,359.3,500.3 -> 359.3
LPE(22:0),538.4,397.4,538.4 -> 397.4
LPE(22:1),536.4,395.4,536.4 -> 395.4
LPE(22:2),534.4,393.4,534.4 -> 393.4
LPE(22:4),530.3,389.3,530.3 -> 389.3
LPE(22:5),528.3,387.3,528.3 -> 387.3
LPE(22:6),526.3,385.3,526.3 -> 385.3
LPE(24:1),564.4,423.4,564.4 -> 423.4
LPE(24:6),554.3,413.3,554.3 -> 413.3
LPE(O-16:0),440.3,299.3,440.3 -> 299.3
LPE(O-20:0),496.4,355.4,496.4 -> 355.4
LPE(O-20:4),488.3,347.3,488.3 -> 347.3
"PE(12:0),LPE(13:0)",412.2,271.2,412.2 -> 271.2
"PE(16:0),LPE(O-18:0)",468.3,327.3,468.3 -> 327.3
"PE(20:0),LPE(21:0)",524.4,383.4,524.4 -> 383.4
PE(24:0),580.4,439.4,580.4 -> 439.4
PE(25:0),594.4,453.4,594.4 -> 453.4
PE(26:0),608.4,467.4,608.4 -> 467.4
PE(26:1),606.4,465.4,606.4 -> 465.4
"PE(27:0),PE(O-28:0)",622.5,481.5,622.5 -> 481.5
"PE(27:1),PE(P-28:0)",620.5,479.5,620.5 -> 479.5
"PE(28:1),PE(P-29:0)",634.5,493.5,634.5 -> 493.5
PE(28:2),632.4,491.4,632.4 -> 491.4
"PE(29:0),PE(O-30:0)",650.5,509.5,650.5 -> 509.5
"PE(29:1),PE(O-30:1),PE(P-30:0)",648.5,507.5,648.5 -> 507.5
"PE(29:2),PE(P-30:1)",646.5,505.5,646.5 -> 505.5
"PE(30:0),PE(O-31:0)",664.5,523.5,664.5 -> 523.5
"PE(30:1),PE(O-31:1),PE(P-31:0)",662.5,521.5,662.5 -> 521.5
"PE(30:2),PE(P-31:1)",660.5,519.5,660.5 -> 519.5
PE(30:3),658.4,517.4,658.4 -> 517.4
PE(30:4),656.4,515.4,656.4 -> 515.4
"PE(31:0),PE(O-32:0)",678.5,537.5,678.5 -> 537.5
"PE(31:1),PE(O-32:1),PE(P-32:0)",676.5,535.5,676.5 -> 535.5
"PE(31:2),PE(P-32:1)",674.5,533.5,674.5 -> 533.5
PE(31:3),672.5,531.5,672.5 -> 531.5
PE(31:4),670.4,529.4,670.4 -> 529.4
"PE(32:0),PE(O-33:0)",692.6,551.6,692.6 -> 551.6
"PE(32:1),PE(O-33:1),PE(P-33:0)",690.5,549.5,690.5 -> 549.5
"PE(32:2),PE(O-33:2),PE(P-33:1)",688.5,547.5,688.5 -> 547.5
"PE(32:3),PE(P-33:2)",686.5,545.5,686.5 -> 545.5
"PE(32:4),PEd(O-34:4)",684.5,543.5,684.5 -> 543.5
PE(32:5),682.4,541.4,682.4 -> 541.4
"PE(33:0),PE(O-34:0)",706.6,565.6,706.6 -> 565.6
"PE(33:1),PE(O-34:1),PE(P-34:0)",704.6,563.6,704.6 -> 563.6
"PE(33:2),PE(O-34:2),PE(P-34:1)",702.5,561.5,702.5 -> 561.5
"PE(33:3),PE(O-34:3),PE(P-34:2)",700.5,559.5,700.5 -> 559.5
"PE(33:4),PE(O-34:4),PE(O-34:4),PE(P-34:3)",698.5,557.5,698.5 -> 557.5
"PE(33:5),PE(P-34:4)",696.5,555.5,696.5 -> 555.5
"PE(34:0),PE(O-35:0)",720.6,579.6,720.6 -> 579.6
"PE(34:1),PE(O-35:1),PE(P-35:0)",718.6,577.6,718.6 -> 577.6
"PE(34:2),PE(O-35:2),PE(P-35:1)",716.6,575.6,716.6 -> 575.6
"PE(34:3),PE(P-35:2)",714.5,573.5,714.5 -> 573.5
PE(34:4),712.5,571.5,712.5 -> 571.5
PE(34:5),710.5,569.5,710.5 -> 569.5
PE(34:6),708.5,567.5,708.5 -> 567.5
"PE(35:3),PE(O-36:3),PE(P-36:2)",728.6,587.6,728.6 -> 587.6
"PE(35:4),PE(O-36:4),PE(P-36:3)",726.5,585.5,726.5 -> 585.5
"PE(35:5),PE(O-36:5),PE(P-36:4)",724.5,583.5,724.5 -> 583.5
"PE(35:6),PE(P-36:5)",722.5,581.5,722.5 -> 581.5
"PE(36:3),PE(P-37:2)",742.6,601.6,742.6 -> 601.6
"PE(36:4),PE(O-37:4)",740.6,599.6,740.6 -> 599.6
PE(36:5),738.5,597.5,738.5 -> 597.5
PE(36:6),736.5,595.5,736.5 -> 595.5
"PE(36:7),PE(35:0),PE(O-36:0)",734.6,593.6,734.6 -> 593.6
"PE(36:8),PE(dO-38:8),PE(35:1),PE(O-36:1),PE(P-36:0)",732.6,591.6,732.6 -> 591.6
"PE(37:3),PE(O-38:3),PE(P-38:2)",756.6,615.6,756.6 -> 615.6
"PE(37:4),PE(O-38:4),PE(P-38:3)",754.6,613.6,754.6 -> 613.6
"PE(37:5),PE(O-38:5),PE(P-38:4)",752.6,611.6,752.6 -> 611.6
"PE(37:6),PE(O-38:6),PE(P-38:5)",750.5,609.5,750.5 -> 609.5
"PE(37:7),PE(P-38:6),PE(36:0),PE(O-37:0)",748.6,607.6,748.6 -> 607.6
PE(38:3),770.6,629.6,770.6 -> 629.6
PE(38:4),768.6,627.6,768.6 -> 627.6
PE(38:5),766.5,625.5,766.5 -> 625.5
PE(38:6),764.5,623.5,764.5 -> 623.5
"PE(38:7),PE(37:0),PE(O-38:0)",762.6,621.6,762.6 -> 621.6
"PE(38:8),PE(dO-40:8),PE(37:1),PE(O-38:1),PE(P-38:0)",760.6,619.6,760.6 -> 619.6
"PE(38:9),PE(dO-40:9),PE(37:2),PE(O-38:2),PE(P-38:1)",758.6,617.6,758.6 -> 617.6
"PE(39:4),PE(O-40:4),PE(P-40:3)",782.6,641.6,782.6 -> 641.6
"PE(39:5),PE(O-40:5),PE(P-40:4)",780.6,639.6,780.6 -> 639.6
"PE(39:6),PE(O-40:6),PE(P-40:5)",778.6,637.6,778.6 -> 637.6
"PE(39:7),PE(P-40:6),PE(38:0),PE(O-39:0)",776.7,635.7,776.7 -> 635.7
"PE(39:8),PE(O-40:8),PE(P-40:7),PE(38:1),PE(O-39:1),PE(P-39:0)",774.6,633.6,774.6 -> 633.6
"PE(40:1),PE(P-41:0)",802.7,661.7,802.7 -> 661.7
"PE(40:10),PE(39:3),PE(O-40:3),PE(P-40:2)",784.6,643.6,784.6 -> 643.6
PE(40:2),800.6,659.6,800.6 -> 659.6
PE(40:3),798.6,657.6,798.6 -> 657.6
PE(40:4),796.6,655.6,796.6 -> 655.6
PE(40:5),794.6,653.6,794.6 -> 653.6
"PE(40:6),PE(dO-40:0)",792.7,651.7,792.7 -> 651.7
"PE(40:7),PE(39:0),PE(O-40:0)",790.7,649.7,790.7 -> 649.7
"PE(40:8),PE(39:1),PE(O-40:1),PE(P-40:0)",788.7,647.7,788.7 -> 647.7
"PE(40:9),PE(39:2),PE(O-40:2),PE(P-40:1)",786.6,645.6,786.6 -> 645.6
"PE(41:5),PE(P-42:4)",808.6,667.6,808.6 -> 667.6
"PE(41:6),PE(O-42:6)",806.6,665.6,806.6 -> 665.6
"PE(41:7),PE(P-42:6),PE(40:0),PE(O-41:0)",804.7,663.7,804.7 -> 663.7
PE(42:0),832.7,691.7,832.7 -> 691.7
PE(42:1),830.7,689.7,830.7 -> 689.7
"PE(42:10),PE(41:3),PE(P-42:2)",812.7,671.7,812.7 -> 671.7
"PE(42:11),PE(41:4),PE(O-42:4)",810.6,669.6,810.6 -> 669.6
PE(42:2),828.6,687.6,828.6 -> 687.6
PE(42:3),826.6,685.6,826.6 -> 685.6
PE(42:4),824.6,683.6,824.6 -> 683.6
PE(42:5),822.6,681.6,822.6 -> 681.6
PE(42:6),820.6,679.6,820.6 -> 679.6
"PE(42:7),PE(41:0),PE(O-42:0)",818.7,677.7,818.7 -> 677.7
"PE(42:8),PE(41:1),PE(O-42:1),PE(P-42:0)",816.7,675.7,816.7 -> 675.7
"PE(42:9),PE(41:2),PE(O-42:2),PE(P-42:1)",814.7,673.7,814.7 -> 673.7
PE(43:2),842.7,701.7,842.7 -> 701.7
PE(43:4),838.6,697.6,838.6 -> 697.6
PE(43:6),834.6,693.6,834.6 -> 693.6
PE(44:0),860.7,719.7,860.7 -> 719.7
PE(44:1),858.7,717.7,858.7 -> 717.7
PE(44:10),840.6,699.6,840.6 -> 699.6
PE(44:12),836.5,695.5,836.5 -> 695.5
PE(44:2),856.7,715.7,856.7 -> 715.7
PE(44:3),854.7,713.7,854.7 -> 713.7
PE(44:4),852.6,711.6,852.6 -> 711.6
PE(44:5),850.6,709.6,850.6 -> 709.6
PE(44:6),848.6,707.6,848.6 -> 707.6
"PE(44:7),PE(43:0)",846.7,705.7,846.7 -> 705.7
"PE(44:8),PE(43:1)",844.7,703.7,844.7 -> 703.7
PE(46:1),886.7,745.7,886.7 -> 745.7
PE(52:4),964.8,823.8,964.8 -> 823.8
"PE(dO-38:9),PE(35:2),PE(O-36:2),PE(P-36:1)",730.6,589.6,730.6 -> 589.6
"PE(O-38:8),PE(36:1),PE(O-37:1),PE(P-37:0)",746.6,605.6,746.6 -> 605.6
"PE(O-38:9),PE(36:2),PE(O-37:2),PE(P-37:1)",744.6,603.6,744.6 -> 603.6
"PE(O-40:9),PE(38:2),PE(P-39:1)",772.6,631.6,772.6 -> 631.6
"PE28:0,PE(O-29:0)",636.5,495.5,636.5 -> 495.5
SM(d16:0/14:0),649.5,184.1,649.5 -> 184.1
SM(d18:1/12:0),647.5,184.1,647.5 -> 184.1
SM(d18:0/13:0),663.5,184.1,663.5 -> 184.1
SM(d16:0/16:0),677.6,184.1,677.6 -> 184.1
SM(d16:1/16:0),675.5,184.1,675.5 -> 184.1
SM(d18:2/14:0),673.5,184.1,673.5 -> 184.1
SM(d18:0/15:0),691.6,184.1,691.6 -> 184.1
SM(d16:1/17:0),689.6,184.1,689.6 -> 184.1
SM(d18:2/15:0),687.5,184.1,687.5 -> 184.1
SM(d16:0/18:0),705.6,184.1,705.6 -> 184.1
SM(d16:1/18:0),703.6,184.1,703.6 -> 184.1
SM(d18:0/17:0),719.6,184.1,719.6 -> 184.1
SM(d16:1/18:1),701.6,184.1,701.6 -> 184.1
SM(d18:1/17:0),717.6,184.1,717.6 -> 184.1
SM(d16:0/20:0),733.6,184.1,733.6 -> 184.1
SM(d16:1/20:0),731.6,184.1,731.6 -> 184.1
SM(d16:1/20:1),729.6,184.1,729.6 -> 184.1
SM(d18:2/18:1),727.6,184.1,727.6 -> 184.1
SM(d18:1/19:0),745.6,184.1,745.6 -> 184.1
SM(d16:0/22:0),761.7,184.1,761.7 -> 184.1
SM(d16:1/22:0),759.6,184.1,759.6 -> 184.1
SM(d16:1/22:1),757.6,184.1,757.6 -> 184.1
SM(d18:2/20:1),755.6,184.1,755.6 -> 184.1
SM(d16:0/23:0),775.7,184.1,775.7 -> 184.1
SM(d16:1/23:0),773.7,184.1,773.7 -> 184.1
SM(d18:2/21:0),771.6,184.1,771.6 -> 184.1
SM(d16:0/24:0),789.7,184.1,789.7 -> 184.1
SM(d16:1/24:0),787.7,184.1,787.7 -> 184.1
SM(d16:1/24:1),785.7,184.1,785.7 -> 184.1
SM(d18:2/22:1),783.6,184.1,783.6 -> 184.1
SM(d16:0/25:0),803.7,184.1,803.7 -> 184.1
SM(d16:1/25:0),801.7,184.1,801.7 -> 184.1
SM(d17:1/24:1),799.7,184.1,799.7 -> 184.1
SM(d18:0/24:0),817.7,184.1,817.7 -> 184.1
SM(d18:0/24:1),815.7,184.1,815.7 -> 184.1
SM(d18:1/24:1(15Z)),813.7,184.1,813.7 -> 184.1
SM(d18:2/24:1),811.7,184.1,811.7 -> 184.1
SM(d18:1/25:0),829.7,184.1,829.7 -> 184.1
SM(d17:1/26:1),827.7,184.1,827.7 -> 184.1
SM(d17:0/27:0),845.7,184.1,845.7 -> 184.1
SM(d18:0/26:1(17Z)),843.7,184.1,843.7 -> 184.1
SM(d18:1/26:1(17Z)),841.7,184.1,841.7 -> 184.1
Cer(d18:1/2:0),342.3,264.4,342.3 -> 264.4
CerP(d18:1/2:0),422.3,264.4,422.3 -> 264.4
Cer(d12:0/14:0),428.4,182.4,428.4 -> 182.4
"Cer(d14:2(4E,6E)/16:0)",480.4,206.4,480.4 -> 206.4
Cer(d18:1/12:0),482.5,264.4,482.5 -> 264.4
Cer(d15:1/16:0),496.5,222.4,496.5 -> 222.4
Cer(d18:0/13:0),498.5,266.4,498.5 -> 266.4
CerP(d18:1/8:0),506.4,264.4,506.4 -> 264.4
"Cer(d14:2(4E,6E)/18:1(9Z))",506.5,206.4,506.5 -> 206.4
Cer(d18:2/14:0),508.5,262.4,508.5 -> 262.4
Cer(d18:1/14:0),510.5,264.4,510.5 -> 264.4
Cer(d18:0/14:0),512.5,266.4,512.5 -> 266.4
Cer(d18:2/15:0),522.5,262.4,522.5 -> 262.4
Cer(d16:1/17:0),524.5,236.4,524.5 -> 236.4
Cer(d18:0/15:0),526.5,266.4,526.5 -> 266.4
"Cer(d14:2(4E,6E)/20:1(11Z))",534.5,206.4,534.5 -> 206.4
Cer(d18:2/16:0),536.5,262.4,536.5 -> 262.4
Cer(d18:1/16:0),538.5,264.4,538.5 -> 264.4
Cer(d18:0/16:0),540.5,266.4,540.5 -> 266.4
"Cer(d15:2(4E,6E)/20:0)",550.5,220.4,550.5 -> 220.4
Cer(d18:1/17:0),552.5,264.4,552.5 -> 264.4
Cer(d18:0/17:0),554.6,266.4,554.6 -> 266.4
CerP(d18:1/12:0),562.4,264.4,562.4 -> 264.4
Cer(d18:2/18:1),562.5,262.4,562.5 -> 262.4
Cer(d18:1/18:1(9Z)),564.5,264.4,564.5 -> 264.4
Cer(d18:1/18:0),566.6,264.4,566.6 -> 264.4
Cer(d18:0/18:0),568.6,266.4,568.6 -> 266.4
