lipid,logFC,logCPM,LR,PValue,FDR,type,DOD73-5xFAD-M2liver_x,FAD131-5xFAD-M1liver_x,FAD131-5xFAD-M2liver_x,FAD131-5xFAD-M4liver_x,FAD173-5xFAD-M1liver_x,DOD73-5xFAD-M2liver_y,FAD131-5xFAD-M1liver_y,FAD131-5xFAD-M2liver_y,FAD131-5xFAD-M4liver_y,FAD173-5xFAD-M1liver_y,blank_033123
C24:0,0,7.637712348387478,0,1,1,FA,16464.14109802246,16985.46124267578,16515.06120300293,15017.701034545898,14924.441024780272,16464.14109802246,16985.46124267578,16515.06120300293,15017.701034545898,14924.441024780272,12405.920883178713
C24:1,0,7.545176119820916,0,1,1,FA,14847.381103515623,15827.581085205078,14899.301010131836,15040.621109008787,14172.481079101562,14847.381103515623,15827.581085205078,14899.301010131836,15040.621109008787,14172.481079101562,11799.260879516602
C24:5,0,8.091418360496597,0,1,1,FA,21285.121643066406,22620.441864013672,21180.161560058594,21634.0615234375,21450.941497802734,21285.121643066406,22620.441864013672,21180.161560058594,21634.0615234375,21450.941497802734,19137.76153564453
C24:6,0,8.286304032634355,0,1,1,FA,25008.501586914062,26783.10189819336,23670.181671142574,26500.182037353516,22417.721557617188,25008.501586914062,26783.10189819336,23670.181671142574,26500.182037353516,22417.721557617188,20755.041564941406
C26:0,0,6.8622022134101766,0,1,1,FA,8593.300605773926,9950.04076385498,9932.800750732422,8630.180557250977,9203.220657348633,8593.300605773926,9950.04076385498,9932.800750732422,8630.180557250977,9203.220657348633,7964.340629577637
C26:1,0,7.4758910109826,0,1,1,FA,14668.400955200195,14744.301040649414,14093.840942382812,14348.221069335938,12539.700859069824,14668.400955200195,14744.301040649414,14093.840942382812,14348.221069335938,12539.700859069824,12916.5209274292
C28:0,0,6.816009750118971,0,1,1,FA,9509.200622558594,8957.880760192871,8603.660606384277,7908.40047454834,9930.70068359375,9509.200622558594,8957.880760192871,8603.660606384277,7908.40047454834,9930.70068359375,7490.180568695068
C34:0,0,5.965621363591627,0,1,1,FA,4688.840328216553,5685.300399780273,4910.900318145752,5078.140312194824,4569.480339050293,4688.840328216553,5685.300399780273,4910.900318145752,5078.140312194824,4569.480339050293,4113.740310668945
"Cer(d14:2(4E,6E)/16:0)",0,6.998353611705404,0,1,1,Cer,9602.800636291504,10676.380744934082,10004.140781402588,9362.640663146973,10919.260772705078,9602.800636291504,10676.380744934082,10004.140781402588,9362.640663146973,10919.260772705078,9271.50066757202
"Cer(d14:2(4E,6E)/18:1(9Z))",0,6.833165288664646,0,1,1,Cer,8877.34058380127,9065.98062133789,8242.180576324463,9463.62068939209,8823.32063293457,8877.34058380127,9065.98062133789,8242.180576324463,9463.62068939209,8823.32063293457,9305.580654144287
"Cer(d14:2(4E,6E)/20:1(11Z))",0,6.877279670201208,0,1,1,Cer,9588.000774383543,8384.140560150146,9394.840728759766,9376.880599975586,10126.280773162842,9588.000774383543,8384.140560150146,9394.840728759766,9376.880599975586,10126.280773162842,7719.740535736084
Cer(d18:0/14:0),0,8.528314278244423,0,1,1,Cer,25765.101806640625,27174.66177368164,27573.721923828125,33188.58248901367,28044.021850585938,25765.101806640625,27174.66177368164,27573.721923828125,33188.58248901367,28044.021850585938,34274.90231323242
Cer(d18:0/16:0),0,9.54151108802926,0,1,1,Cer,58309.224060058594,60306.48455810547,56995.40399169922,58995.843994140625,58613.80438232422,58309.224060058594,60306.48455810547,56995.40399169922,58995.843994140625,58613.80438232422,56594.28405761719
Cer(d18:0/18:0),0,8.272944576347815,0,1,1,Cer,24366.841735839844,22575.58154296875,25362.461791992188,24789.76187133789,24749.58187866211,24366.841735839844,22575.58154296875,25362.461791992188,24789.76187133789,24749.58187866211,23245.48162841797
Cer(d18:0/20:0),0,8.384115131099778,0,1,1,Cer,26695.201568603516,27162.281951904297,27039.78204345703,24958.421905517574,25847.02197265625,26695.201568603516,27162.281951904297,27039.78204345703,24958.421905517574,25847.02197265625,25149.04183959961
Cer(d18:0/22:0),0,8.42345142425787,0,1,1,Cer,27776.181610107426,26963.74200439453,29960.862182617188,23600.981903076172,26645.24203491211,27776.181610107426,26963.74200439453,29960.862182617188,23600.981903076172,26645.24203491211,26890.841842651367
Cer(d18:0/24:0),0,9.816521000623911,0,1,1,Cer,73688.32458496094,74258.60498046875,69665.18505859375,66611.945068359375,71716.94543457031,73688.32458496094,74258.60498046875,69665.18505859375,66611.945068359375,71716.94543457031,66752.744384765625
Cer(d18:0/26:0),0,8.994439378983293,0,1,1,Cer,37811.342834472656,40761.34289550781,41659.062927246094,40781.38299560547,39170.762634277344,37811.342834472656,40761.34289550781,41659.062927246094,40781.38299560547,39170.762634277344,39880.14288330078
Cer(d18:0/h24:0),0,9.74639886401469,0,1,1,Cer,66100.90417480469,71615.50500488281,64478.46472167969,66853.724853515625,69527.86511230469,66100.90417480469,71615.50500488281,64478.46472167969,66853.724853515625,69527.86511230469,64089.364990234375
Cer(d18:0/h26:0),0,8.876433407478407,0,1,1,Cer,37228.58270263672,35616.962493896484,38073.16293334961,37890.642822265625,36693.84274291992,37228.58270263672,35616.962493896484,38073.16293334961,37890.642822265625,36693.84274291992,34637.642333984375
Cer(d18:1/12:0),0,7.471919012563678,0,1,1,Cer,13702.380935668943,14676.920921325684,14292.661056518557,12797.880897521973,13408.780952453611,13702.380935668943,14676.920921325684,14292.661056518557,12797.880897521973,13408.780952453611,15483.62117767334
Cer(d18:1/16:0),0,8.400148282825041,0,1,1,Cer,27773.801971435547,26997.14175415039,27263.98193359375,24626.401977539062,27179.24188232422,27773.801971435547,26997.14175415039,27263.98193359375,24626.401977539062,27179.24188232422,24165.481903076172
Cer(d18:1/18:0),0,7.932836993764314,0,1,1,Cer,19111.721336364742,17018.40138244629,21238.561569213867,19192.061401367188,19596.841384887695,19111.721336364742,17018.40138244629,21238.561569213867,19192.061401367188,19596.841384887695,18644.50131225586
Cer(d18:1/18:1(9Z)),0,7.960719294349252,0,1,1,Cer,17384.681106567383,18119.881301879883,20418.001495361328,20787.401596069336,20001.001373291016,17384.681106567383,18119.881301879883,20418.001495361328,20787.401596069336,20001.001373291016,21342.34144592285
Cer(d18:1/2:0),0,8.090643888901818,0,1,1,Cer,21931.72166442871,21524.781494140625,21385.821502685547,22356.62142944336,19716.681427001953,21931.72166442871,21524.781494140625,21385.821502685547,22356.62142944336,19716.681427001953,21352.521453857426
Cer(d18:1/20:0),0,7.744688313760712,0,1,1,Cer,17296.36116027832,17171.781188964844,17685.82122039795,15297.421112060549,17804.761199951172,17296.36116027832,17171.781188964844,17685.82122039795,15297.421112060549,17804.761199951172,14843.461082458496
Cer(d18:1/22:0),0,7.716316633114154,0,1,1,Cer,16935.281127929688,16337.781143188477,18543.801177978516,15014.921089172363,16519.141174316406,16935.281127929688,16337.781143188477,18543.801177978516,15014.921089172363,16519.141174316406,15124.901023864746
Cer(d18:1/24:0),0,8.050442986986349,0,1,1,Cer,19778.12139892578,23330.861557006836,22058.22148132324,21265.521423339844,18586.801300048828,19778.12139892578,23330.861557006836,22058.22148132324,21265.521423339844,18586.801300048828,19052.441299438477
Cer(d18:1/24:1(15Z)),0,8.131436711371947,0,1,1,Cer,28354.101760864258,20285.981399536133,19818.70132446289,20440.341522216797,21262.68145751953,28354.101760864258,20285.981399536133,19818.70132446289,20440.341522216797,21262.68145751953,21510.981506347656
Cer(d18:1/26:0),0,7.7900839754891535,0,1,1,Cer,18196.42124938965,17532.78125,17875.001419067383,15792.981155395508,18058.881301879883,18196.42124938965,17532.78125,17875.001419067383,15792.981155395508,18058.881301879883,16276.341278076172
Cer(d18:1/26:1(17Z)),0,7.719831787220721,0,1,1,Cer,16077.50112915039,16431.261138916016,16378.241180419922,16774.821083068848,16897.74136352539,16077.50112915039,16431.261138916016,16378.241180419922,16774.821083068848,16897.74136352539,16716.82127380371
Cer(d18:2/14:0),0,7.617214082543382,0,1,1,Cer,15502.421157836914,14981.941146850586,14575.001022338867,15304.041061401367,15743.501052856443,15502.421157836914,14981.941146850586,14575.001022338867,15304.041061401367,15743.501052856443,16997.241119384766
Cer(d18:2/16:0),0,7.9100812121022255,0,1,1,Cer,17949.241333007812,19688.921340942383,19715.601287841797,18112.461349487305,19259.9412689209,17949.241333007812,19688.921340942383,19715.601287841797,18112.461349487305,19259.9412689209,18278.96141052246
Cer(d18:2/18:1),0,7.325634998800978,0,1,1,Cer,12146.300811767578,10604.48077392578,14127.740982055664,12780.820945739746,12970.120922088625,12146.300811767578,10604.48077392578,14127.740982055664,12780.820945739746,12970.120922088625,13146.380958557129
Cer(d18:2/20:0),0,7.49286004172902,0,1,1,Cer,14261.48104095459,13432.28094482422,14738.641052246094,14420.400985717772,14324.70100402832,14261.48104095459,13432.28094482422,14738.641052246094,14420.400985717772,14324.70100402832,13117.260932922363
Cer(d18:2/20:1),0,7.471067393946164,0,1,1,Cer,14096.920989990234,13032.520935058594,15118.180953979492,14093.621055603027,13553.040939331057,14096.920989990234,13032.520935058594,15118.180953979492,14093.621055603027,13553.040939331057,13394.800971984863
Cer(d18:2/22:0),0,7.688088240559012,0,1,1,Cer,14229.121101379396,16638.46100616455,17060.42111968994,16022.141220092772,17116.921173095703,14229.121101379396,16638.46100616455,17060.42111968994,16022.141220092772,17116.921173095703,15907.60107421875
CerP(d18:0/16:0),0,8.600774165954574,0,1,1,Cer,29477.281829833984,31826.221954345703,28925.482147216797,31450.021942138672,32541.78221130371,29477.281829833984,31826.221954345703,28925.482147216797,31450.021942138672,32541.78221130371,26563.80172729492
CerP(d18:1/12:0),0,8.044349398608121,0,1,1,Cer,19749.761505126953,19880.061569213867,21107.90155029297,21549.761474609375,21084.80142211914,19749.761505126953,19880.061569213867,21107.90155029297,21549.761474609375,21084.80142211914,20952.40155029297
CerP(d18:1/14:0),0,7.935104162689229,0,1,1,Cer,19182.301193237305,18051.561233520508,20816.121322631836,16755.2412109375,20409.78131866455,19182.301193237305,18051.561233520508,20816.121322631836,16755.2412109375,20409.78131866455,20893.04148864746
CerP(d18:1/16:0),0,7.856493926144614,0,1,1,Cer,17799.581329345703,18708.22158050537,19981.541175842285,16484.621269226074,19349.54133605957,17799.581329345703,18708.22158050537,19981.541175842285,16484.621269226074,19349.54133605957,15753.34090423584
CerP(d18:1/18:0),0,8.123670297458162,0,1,1,Cer,23757.74183654785,20599.521461486816,26689.84214782715,17272.101318359375,22108.86154937744,23757.74183654785,20599.521461486816,26689.84214782715,17272.101318359375,22108.86154937744,20610.481567382812
CerP(d18:1/2:0),0,7.684303572635693,0,1,1,Cer,15343.361145019531,16191.741149902344,15930.821166992188,16915.32127380371,15966.461120605469,15343.361145019531,16191.741149902344,15930.821166992188,16915.32127380371,15966.461120605469,16669.761123657227
CerP(d18:1/20:0),0,7.695018005959866,0,1,1,Cer,16581.30125427246,18320.761405944824,17095.06105041504,14222.78102874756,15948.661239624023,16581.30125427246,18320.761405944824,17095.06105041504,14222.78102874756,15948.661239624023,14859.201187133787
CerP(d18:1/22:0),0,7.503178643349014,0,1,1,Cer,14392.100997924805,15050.681030273438,13666.420791625977,13331.20101928711,14596.760955810549,14392.100997924805,15050.681030273438,13666.420791625977,13331.20101928711,14596.760955810549,14475.72101211548
CerP(d18:1/24:0),0,7.414188870297445,0,1,1,Cer,13356.400939941406,14521.361053466797,14182.241096496582,13126.600936889648,11995.020820617676,13356.400939941406,14521.361053466797,14182.241096496582,13126.600936889648,11995.020820617676,12996.960968017578
CerP(d18:1/24:1(15Z)),0,7.338244445488934,0,1,1,Cer,12847.321006774902,13944.040954589844,12685.640884399414,11588.460762023926,12037.880805969238,12847.321006774902,13944.040954589844,12685.640884399414,11588.460762023926,12037.880805969238,13508.460983276367
CerP(d18:1/26:0),0,7.232730710456366,0,1,1,Cer,12391.88079071045,12312.800827026367,11289.06071472168,10861.000793457031,11819.060813903809,12391.88079071045,12312.800827026367,11289.06071472168,10861.000793457031,11819.060813903809,12423.440826416016
CerP(d18:1/26:1(17Z)),0,7.143264256281318,0,1,1,Cer,9543.900772094728,11904.880794525146,12029.50082397461,10389.620754241943,11006.44073486328,9543.900772094728,11904.880794525146,12029.50082397461,10389.620754241943,11006.44073486328,12318.38074874878
CerP(d18:1/8:0),0,7.880116136461926,0,1,1,Cer,18648.121353149418,18942.301177978516,17759.621322631836,19055.10149383545,17498.721237182617,18648.121353149418,18942.301177978516,17759.621322631836,19055.10149383545,17498.721237182617,19342.061233520508
cis-5-Tetradecenoylcarnitine,0,11.64832977802047,0,1,1,CAR,241243.6572265625,231954.576171875,253258.03564453125,244597.95703125,280062.6591796875,241243.6572265625,231954.576171875,253258.03564453125,244597.95703125,280062.6591796875,265952.77783203125
"Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",0,11.400996322305092,0,1,1,CAR,198197.03442382812,197497.19409179688,213080.95361328125,200223.0334472656,243164.9384765625,198197.03442382812,197497.19409179688,213080.95361328125,200223.0334472656,243164.9384765625,227832.07470703125
Hexacosanoyl carnitine,0,11.67747310839841,0,1,1,CAR,245311.81958007812,241017.45825195312,262461.4982910156,240096.9978027344,286135.7590332031,245311.81958007812,241017.45825195312,262461.4982910156,240096.9978027344,286135.7590332031,275635.298828125
