lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_cortex,FAD185_M4_Male_WT_cortex,FAD189_M1_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_cortex,FAD189_M3_Male_WT_cortex,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_hippocampus,FAD185_M4_Male_WT_hippocampus,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_hippocampus,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank
DG(36:8)|DG(35:1)_C16:1,-4.095120433385491,11.129791190273856,114.46620072949872,1.0300710273685852e-26,3.0218538230167493e-24,DAG,2926.9802284240723,2981.4202041625977,3109.32020187378,2932.80020904541,14782.580894470217,3070.420207977295,2927.120204925537,3039.580223083496,235055.37544250488,3052.840217590332,2921.0602226257324,13650.041091918943,47492099.30102539
[TG(53:9)|TG(52:2)]_FA18:0,4.06055109897135,12.840765911953627,112.94818035249078,2.2148852888670833e-26,5.498026790133906e-24,TAG,12296018.586914062,118441144.1821289,151950743.1298828,112821713.51171876,12085736.081542969,20287070.72680664,1495332.974609375,8129493.1650390625,1646523.8173828125,5101279.340332031,3960041.5444335938,899036.54541015625,202028.53369140625
[TG(54:7)|TG(53:0)]_FA18:2,4.060994092039468,10.022103745540567,112.96769417364136,2.1931937010784248e-26,5.498026790133906e-24,TAG,1838487.0573730469,18663446.154296875,15338294.781555176,24075347.283569336,1697941.3365478516,1625489.6192626953,339304.82403564453,1103201.6076660156,164545.37139892578,803915.0362548828,516570.4508666992,125383.72821044922,46564.96325683594
[TG(54:6)]_FA18:1,4.0547821529014385,9.947565960313597,112.68849654488085,2.5248303152675373e-26,5.819733876691674e-24,TAG,1846305.706298828,18784181.24426269,14208434.805847168,22194126.955078125,1558195.5480957031,1463954.4326171875,243329.8748779297,1125836.612915039,166679.6925048828,783034.0325927734,466373.7537841797,121939.90753173828,43440.762939453125
[TG(53:10)|TG(52:3)]_FA16:0,4.045768065075453,12.291180042461567,112.28403283914346,3.0961918424750203e-26,6.2446319222918064e-24,TAG,7625082.950683594,85404964.1628418,105441679.397583,74882363.97680664,6742592.529663086,11921264.345214844,1065265.9020996094,4810331.823730469,1805933.478027344,2903152.523925781,2150949.4345703125,1153968.7880859375,93157.28674316406
[TG(54:5)]_FA18:0,4.046431375718572,9.650137523414925,112.31333771492113,3.050764545156284e-26,6.2446319222918064e-24,TAG,1492318.643798828,15085160.431762695,11357279.245239258,18684640.31890869,1312877.5151367188,1047550.8904418944,198989.31134033203,905537.53564453125,130602.22912597656,633252.1180419922,406648.6701660156,103340.40740966795,45290.223083496094
[TG(52:4)]_FA16:1,4.036620095569749,12.465286423265013,111.87347979683378,3.80855429069143e-26,7.229532174153674e-24,TAG,8727170.905517578,93938783.76123048,120559493.3704834,83516927.09204102,7654611.276123047,14312039.753417969,1128919.7785644531,5436180.032714844,2239262.5134277344,2756458.393798828,2428998.427734375,1521982.4404296875,96193.467529296875
[TG(54:6)]_FA20:4,4.016613352074092,13.295003456640965,110.97673364231082,5.986922844958217e-26,1.0733222233711202e-23,TAG,18164994.14013672,161222489.4267578,203276048.17041016,154812984.7680664,17393409.56982422,30833272.34863281,2471274.7690429688,11461275.055664062,2139346.0720214844,7337921.454101562,5548770.373046875,1159650.4467773438,240371.81713867188
[TG(54:8)|TG(53:1)]_FA18:3,3.9981266292735684,10.120759887410198,110.14911479086348,9.089000324181898e-26,1.5436949497965782e-23,TAG,2071131.880126953,20293383.642822266,16362396.384399414,25407102.694213867,1693614.2082519531,1687968.401977539,288536.95935058594,1327383.1115722656,183244.6722412109,917316.3161621094,555687.78515625,139078.56994628906,50717.52389526367
[TG(56:8)|TG(55:1)]_FA20:4,3.9600128208056082,13.272728808293042,108.44812384475497,2.143887068330117e-25,3.4591617847506434e-23,TAG,23156964.665527344,185407383.097168,169109293.24536133,172729180.92285156,20609630.095947266,17201778.182373047,2185421.9296875,14032691.2734375,1419296.3854980469,7531237.7724609375,5284178.545410156,1004127.9885253906,159430.49194335938
[TG(60:13)|TG(59:6)]_FA22:5,3.9530764827288754,8.983172210716846,108.13834452042664,2.506569887044806e-25,3.8517623930921847e-23,TAG,5124024.193603516,4144828.5814819336,7972292.2341918945,3038763.270385742,451908.2137451172,7195262.272033691,271568.6645812988,279331.78161621094,106415.08798217772,273533.9012451172,318814.06213378906,228201.6959228516,53200.70385742188
[TG(52:4)]_FA18:2,3.932738501494553,13.23705537001504,107.23414986509022,3.955615807410047e-25,5.802169186596464e-23,TAG,16607130.829101562,154451018.515625,195132594.890625,142734082.1533203,15805425.666015623,33639957.2109375,3331929.3486328125,10069088.485351562,2470174.240234375,6784304.91015625,5960757.330078125,1480474.2685546875,400788.845703125
[TG(53:10)|TG(52:3)]_FA18:1,3.9085869014624843,13.027286899441465,106.16171116086912,6.7957077470907245e-25,9.534673434722508e-23,TAG,15628177.849121094,142125803.67773438,166799130.02685547,117030653.37792967,13668517.287109377,27401674.419433597,2511466.0415039062,9725174.7822265625,2193741.384277344,6051459.1767578125,4838401.55078125,1201485.267578125,236402.71728515625
[TG(54:6)]_FA18:2,3.888769897055614,13.31096040201406,105.28355324193619,1.0585109120040633e-24,1.4232561304321303e-22,TAG,22957334.862060547,183587641.1982422,175367567.3083496,177265778.33764648,21784481.135742188,20166002.385253903,2840946.0229492188,13930617.974853516,1746406.0529785156,8475582.861816406,5694756.622314453,1009000.13671875,172625.4111328125
[TG(52:5)]_FA18:3,3.8408183415732324,13.297074210825082,103.16539753208244,3.083041369076104e-24,3.8504446123170676e-22,TAG,19092847.541992188,160165340.703125,206637480.09179688,141085188.4892578,15933292.969726562,34816288.13671875,3171705.5908203125,12001864.64453125,2666794.5439453125,7839174.875,6290426.97265625,1484241.3569335938,522388.6748046875
[TG(55:11)|TG(54:4)]_FA18:0,3.8405375874025496,12.891880964428086,103.1530537943223,3.102310502641579e-24,3.8504446123170676e-22,TAG,18868293.612304688,141659586.3149414,128838246.98876952,131427532.48510742,16839148.314697266,12062244.289794922,1804296.5463867188,11190681.73828125,1296145.529296875,6614976.351074219,4375815.155029297,775406.3122558594,142586.51037597656
[TG(54:5)]_FA18:1,3.8213551689587857,13.13964215214282,102.30847919756764,4.751539685878424e-24,5.67896983938136e-22,TAG,22469760.424560547,169298048.9790039,153986293.27246094,148964901.45141602,19485955.134033203,17519111.33227539,2156090.469238281,13578867.603515623,1667308.9670410156,7951458.077148437,4968334.395263672,939436.794921875,124003.70825195312
[TG(54:7)|TG(53:0)]_FA18:3,3.773990211861677,13.328784892368091,100.2299583725606,1.3569145179333396e-23,1.5638439819181739e-21,TAG,25890571.84765625,183182782.95263672,179313762.45947266,172857275.6508789,21853852.785888672,20870356.518066406,2286638.6440429688,16535804.180664062,1760123.6467285156,9379285.220703123,6008349.302978516,982648.3714599608,209595.373046875
[TG(52:5)]_FA16:1,3.7509903342877675,11.659008594844213,99.22420848625305,2.2547395791209568e-23,2.5089809040770098e-21,TAG,6939905.562011719,52519768.52233887,58590646.02648926,58937981.88745117,5971475.83215332,6574587.524047852,1145394.4672851562,4005388.576660156,934440.4222412108,2926417.892700196,1683229.173828125,633691.1055908203,94951.92645263672
[TG(54:8)|TG(53:1)]_FA20:4,3.695825070115306,7.972480138514076,96.8206433480118,7.590061085639488e-23,8.164375707786209e-21,TAG,478613.1102294922,3648259.3993225098,4710826.915802002,4366959.152954102,533017.883972168,758726.041595459,101075.44653320312,267412.642578125,81398.74543762207,197986.93408203125,176710.41213989258,67292.98483276367,30783.98208618164
[TG(55:10)|TG(54:3)]_FA18:0,3.676003213297407,13.615798907652206,95.96205906079757,1.1710636121281247e-22,1.1777812811804285e-20,TAG,35589769.16113281,220154030.33203125,220460542.3310547,189409416.84033203,33513905.580566406,30496548.920166016,2457804.06640625,22310158.150390625,2529452.208984375,10321547.45703125,8655235.494628906,1458737.7465820312,228309.53759765625
[TG(56:7)|TG(55:0)]_FA20:4,3.676076345119836,13.990800681303112,95.96521950953661,1.1691956588669062e-22,1.1777812811804285e-20,TAG,47997009.96533203,286226400.5241699,282232809.7128906,242104683.90039065,44754154.28271485,42543445.16333008,3586565.5634765625,29263070.02148437,3061859.201904297,13358120.358398438,11096170.08642578,1747350.7604980469,337624.623046875
PI(34:2)|PI(O-35:2)|PI(P-35:1),3.6747237567292395,10.51973112472482,95.90644814346537,1.2044246135405684e-22,1.1777812811804285e-20,PI,2836950.162353516,22872625.7578125,31994666.16015625,16018313.790039062,1946058.010986328,6385875.182128906,873516.33056640625,1400244.0456542969,477241.3771972656,1144070.5446777344,1061433.7622070312,350933.4631347656,151088.35009765625
[TG(54:5)]_FA18:2,3.6616280674127313,13.979579644322504,95.3396845693586,1.6036596643773562e-22,1.5220616873369788e-20,TAG,42765267.07421875,274704184.6894531,284813058.19384766,243105685.3540039,41728698.564941406,48269624.12646485,4755642.620117188,27353301.087890625,3577520.380859375,12950687.678710938,11115862.021972656,1930720.7661132808,356736.9655761719
[TG(60:14)|TG(59:7)|TG(58:0)]_FA22:6,3.6484417322187324,9.059083519584595,94.76910618815054,2.139385779744744e-22,1.972513688924654e-20,TAG,5563803.180603027,4428502.7599487305,7820687.160888672,3110837.784790039,517850.45892333984,7613255.686950684,393832.5749511719,367846.2463989258,145509.31048583984,385392.385131836,365753.9431152344,251956.77655029297,69407.06466674805
[TG(52:4)]_FA16:0,3.632327825651734,11.530986856049159,94.07420466870377,3.0391419196712374e-22,2.724253048549745e-20,TAG,6648161.799194336,49522538.92163086,51631682.99951172,54317168.25537109,5562128.345581055,5404697.547241211,1077039.3637695312,3815947.595214844,970585.206298828,3212579.6696777344,1615988.9428710938,528587.8376464844,62756.04425048828
[TG(55:11)|TG(54:4)]_FA18:1,3.5952472106489504,13.827435618366788,92.47868383497044,6.805384997833057e-22,5.93539929405602e-20,TAG,43000087.58300781,254875581.7978516,252859642.5842285,206700345.9321289,38424882.85107422,42645629.27832031,3594417.0185546875,26733390.142578125,3455140.7006835938,12685264.34375,9711582.512207031,1773811.111328125,263154.5986328125
[TG(58:12)|TG(57:5)]_FA20:4,3.579174457536201,8.502611612969423,91.7884390872141,9.645632954467053e-22,8.191173037911889e-20,TAG,3226479.6328125,3081779.358642578,5767369.647827148,2556454.357055664,437030.0534057617,4611952.990356445,254074.59643554688,287838.98248291016,124497.78955078124,256017.19885253903,289424.43768310547,144439.87030029297,75362.9658203125
[TG(50:3)]_FA16:1,3.576981556561919,10.965476790466981,91.6951180260937,1.0111403834468739e-21,8.366538506110415e-20,TAG,3698646.696777344,29474046.77978516,44280579.38183594,22292439.04638672,2680050.154296875,8751453.275878906,1250817.4116210938,2038198.78125,687397.0100097656,1411342.15625,1703640.7373046875,574663.9619140625,157774.49194335938
[TG(54:6)]_FA18:3,3.5691704815434195,14.049031387590764,91.36071264499418,1.197301621809358e-21,9.659230833946995e-20,TAG,50308571.39892578,284220192.3408203,301967201.86621094,242319491.0283203,43906126.97167969,51506672.08642578,3944343.1083984375,31725840.283203125,3826025.513671875,15340567.908203123,12159912.82421875,1966273.8369140625,382035.806640625
[TG(52:6)]_FA20:4,3.5672548089649228,9.82177678700675,91.27840620562239,1.248153023723314e-21,9.823877579402767e-20,TAG,1722778.6000976562,13871270.575927734,14053567.595458984,16933687.743408203,1951754.1257324216,3857273.451904297,408324.2707519531,1064850.6079101562,276010.0400390625,781812.87060546875,667540.6457519531,301073.10009765625,111193.94787597656
[TG(51:9)|TG(50:2)]_FA16:0,3.5516680368243825,10.870426366462551,90.61213472848138,1.747851316107651e-21,1.3429324278760453e-19,TAG,3415669.584228516,28910024.95214844,40404234.60791016,21740514.52148437,2383552.50390625,7519742.250488281,1227842.5375976562,1870236.2856445312,660820.5910644531,1526800.353515625,1571235.7426757812,472180.8115234375,164916.07250976562
[TG(51:9)|TG(50:2)]_FA18:0,3.4489427946307183,9.356788875717932,86.25098707480555,1.5848827458238145e-20,1.1893992141333604e-18,TAG,1223100.6723632812,9891238.52392578,10370100.853271484,12211586.955810549,1374182.520263672,2605939.213989258,312937.1018066406,807215.66015625,233233.56005859372,574932.8000488281,528123.09228515625,253382.01904296875,85660.94641113281
[TG(52:6)]_FA18:2,3.4290138862214645,7.914580316852154,85.41079191391327,2.4239406952804262e-20,1.777740141743167e-18,TAG,414690.6322021485,3317492.0825805664,4541961.361572266,4079847.6005249023,480690.6566772461,827320.4942626953,109755.5062866211,223459.8961181641,159050.2530517578,186331.372253418,158861.1123046875,111924.90789794922,33825.68228149414
[TG(58:8)|TG(57:1)]_FA22:5,3.415755791505232,9.8366659611648,84.85427048145277,3.2118633695122516e-20,2.303262909648008e-18,TAG,2097906.6514282227,16270115.06225586,14717842.434936523,16822360.100219727,1753179.598449707,1409185.2496948242,480557.8311767578,1169496.2634887695,261371.59893798828,913452.8427734376,760021.5360717773,347182.92446899414,52418.30358886719
[TG(50:3)]_FA18:1,3.407726592877572,9.444221690837237,84.5171471869561,3.808970317195415e-20,2.6720754812151317e-18,TAG,1347656.387451172,11186032.03100586,10594898.296142578,12458323.62084961,1399201.5444335938,2931287.295898437,360548.0256347656,883356.8347167969,269330.6794433594,622403.64501953125,538041.7725830078,273096.8376464844,90900.966064453125
[TG(52:5)]_FA18:1,3.401799779213757,7.786152667529583,84.26781679752821,4.3209193843883074e-20,2.9667248624300147e-18,TAG,424856.369140625,3256259.1873779297,4048569.708068848,3634220.405456543,421206.2837524414,714833.1268920898,98518.84658813477,226481.7572631836,142476.11151123047,179178.81115722656,139235.44952392578,102985.5072631836,30298.922149658203
PI(36:4),3.3872550897144347,10.911618554715483,83.65970807993298,5.877093295841019e-20,3.951120847016452e-18,PI,5515099.262390137,31455354.81634521,31918825.393432617,33650634.853149414,4840347.267211914,3852264.7201538086,818027.657043457,2868664.1015625,691083.87353515625,2651003.5684814453,1111531.6674194336,423882.2272949219,51105.0234375
[TG(58:9)|TG(57:2)]_FA22:6,3.3850737967144857,9.957462339958969,83.56828926918612,6.155253980954896e-20,4.0536744074574395e-18,TAG,2385301.756347656,18189864.07666016,15454737.135742188,18077291.34069824,1922102.0542297363,1618862.169128418,574878.4618530273,1222356.7747802734,289119.37982177734,1084350.172241211,779887.7354125977,399908.0455932617,65577.12463378906
[TG(55:9)|TG(54:2)]_FA18:0,3.3736120493822814,13.194613120996555,83.08947179280193,7.842225642675527e-20,5.0613724297827854e-18,TAG,22466129.80859375,166212090.7294922,171434169.5859375,130580360.55566406,20687776.190429688,20511875.078125,4728910.48828125,14667957.84375,2725594.08203125,9017738.70703125,8741742.3681640625,2287561.205078125,511983.2807617188
[TG(56:13)|TG(55:6)]_FA20:4,3.361261212003753,8.477430677231547,82.57346167808282,1.0181491671372381e-19,6.442288945787975e-18,TAG,617288.1117553711,6269390.280700684,6730242.567199707,4985987.7861328125,697557.1339111328,756805.0591430664,224191.65692138672,465201.3115844727,132318.73040771484,328873.5852661133,319092.4418334961,106139.72772216795,55197.00402832031
[TG(52:7)|TG(51:0)]_FA18:3,3.3569311504633723,7.989195380698492,82.39266376455635,1.1156712824095825e-19,6.923598516030236e-18,TAG,475145.9582519531,3505330.700561523,4780346.387390137,4214673.649719238,488888.6934814453,851894.9584655762,119777.66931152344,263692.7375488281,163253.13104248047,226491.6167602539,171460.31176757812,115222.16772460938,35813.00262451172
[TG(56:6)]_FA20:4,3.342594621687726,13.595855831306595,81.79678182403144,1.508239419804558e-19,9.183186052281715e-18,TAG,30347704.232421875,218199312.421875,221725967.15820312,172634051.20507812,28223950.48828125,29857308.495117188,6663630.552734375,19952519.484375,3571697.5131835938,12088868.603515623,11714387.5390625,2911902.9775390625,855493.60546875
PI(36:2)|PI(O-37:2)|PI(P-37:1),3.3402991158666877,10.964200083740318,81.70123703656036,1.5829438388388047e-19,9.459555125801524e-18,PI,3838342.4768066406,33479875.66210937,42903476.44921875,21586647.231445312,3091645.805419922,5623895.110717773,1768167.115234375,2119214.3403320312,657274.9123535156,2148281.217773437,1811097.871459961,562494.5650634766,120752.98876953124
[TG(58:7)|TG(57:0)]_FA20:4,3.3213912555718488,9.670926292970105,80.91599653214246,2.3551944356897895e-19,1.3818568079947182e-17,TAG,1778683.4533081057,16304391.749145508,10064502.116394045,17543202.650390625,1577170.6771240234,853664.1517333984,571284.4348144531,1107321.9151611328,170313.31188964844,1010390.6930541992,755392.5531616211,218704.81463623047,40370.902770996094
[TG(52:4)]_FA18:0,3.310435972889763,7.543095371007779,80.46111564783678,2.9648207850113877e-19,1.708477977362812e-17,TAG,341712.42279052734,2567641.791381836,3472359.175048828,3197887.7181396484,391496.2524414063,544420.3543395996,77896.04522705078,186752.75177001956,132293.72979736328,153640.79083251953,127016.70962524414,106611.60723876952,27233.32211303711
[TG(55:7)|TG(54:0)]_FA20:4,3.3090922864501473,7.968378070565128,80.4058902595882,3.048850183001459e-19,1.7260771123764403e-17,TAG,463901.1948852539,4444767.128631592,4397854.500244141,3785899.141967773,567229.781829834,505261.58984375,144877.43212890625,355889.10369873047,95306.66735839844,249965.39971923828,204807.27276611328,89160.76669311523,38433.022720336914
[TG(55:11)|TG(54:4)]_FA18:2,3.280839350731262,13.544275251749918,79.23958871399766,5.501652301677387e-19,3.061005513364298e-17,TAG,27005010.8125,207771472.12695312,218073596.66503903,161575940.31640625,25594918.41210937,31700713.73828125,8431649.31640625,17617256.4296875,3679544.328125,12136160.314453123,11815217.748046877,3163285.0546875,661027.271484375
[TG(53:10)|TG(52:3)]_FA16:1,3.2712568183683954,11.585977538124396,78.84477640683852,6.71868581200459e-19,3.674779511074375e-17,TAG,5953399.6259765625,48544516.75292969,67465009.09033203,34417022.34228516,4475961.232421875,8304272.878417969,2766859.1767578125,3461815.8784179688,1088848.7724609375,2896513.7783203125,3054925.999023437,1139958.8217773438,190916.0751953125
[TG(54:9)|TG(53:2)]_FA18:0,3.261119335783733,8.089600141679083,78.42700123927352,8.300974553303031e-19,4.4645408139181466e-17,TAG,467439.0144042969,4698753.787231445,5051322.475830078,3918464.5502929688,552309.744140625,559481.1168823242,162455.5728149414,353922.5290527344,113750.5089111328,266987.7201538086,274877.1583251953,98510.587890625,48886.80364990234
[TG(53:9)|TG(52:2)]_FA16:0,3.2344128523347586,11.458215566595568,77.3319973035544,1.4450589151072301e-18,7.637563122287774e-17,TAG,5242691.516113281,46254222.09472656,60053237.93701172,32442350.66455078,3969738.655517578,7061522.665039063,2687348.8071289062,3061864.0053710938,1020667.3671875,3099949.3251953125,2798178.014160156,914459.4619140624,174264.39233398438
DG(40:10)|DG(39:3)_C18:0,3.233934057915728,4.313200733352937,77.30170005929813,1.4673966953264392e-18,7.637563122287774e-17,DAG,162299.21299362183,14495.061027526855,14801.721046447754,16362.201206207275,1000045.3145713806,11472.880821228027,20237.28147506714,14984.681056976318,10928.540809631348,11934.500816345217,15891.101108551024,14421.540939331057,3224.120246887207
[TG(55:10)|TG(54:3)]_FA18:1,3.226120023504006,13.411397775909629,76.99266057245035,1.7159445641095641e-18,8.789449378383434e-17,TAG,26828180.169921875,195246782.48828125,195968948.27001956,140243757.23828125,23405168.529296875,28581906.61523437,7219502.12890625,17210453.130859375,3659872.66015625,12078700.556640623,10445643.185546877,2976645.0712890625,573113.1435546875
[TG(52:6)]_FA16:1,3.2146786860086514,7.947398999129401,76.52432885353392,2.1751671054607145e-18,1.0967600389565197e-16,TAG,456400.798034668,3526881.751678467,3942889.41595459,5230338.9275512695,405723.330444336,564597.3616943359,157136.3901977539,306231.78216552734,131673.73046875,244460.09643554688,185943.29388427731,126740.56958007812,34136.28253173828
[TG(50:4)]_FA18:2,3.210108564125973,9.746567248875873,76.33839155908193,2.389921644766673e-18,1.1865041765633928e-16,TAG,1656877.4025878906,12616297.28076172,13118062.01147461,15239463.75732422,1796157.4223632812,3869446.4096679688,617653.08251953125,1047103.16015625,362428.0654296875,866920.822265625,826359.4372558594,379307.4462890625,187771.9123535156
[TG(54:5)]_FA18:3,3.2072137805311294,13.58768629694824,76.22055617678868,2.536871491508225e-18,1.240376409560158e-16,TAG,31108026.01953125,207756667.5556641,227533977.7705078,160982949.77734375,26541942.56640625,33315398.057617188,8056271.05859375,20063448.3203125,3927339.26171875,13647533.337890623,12705059.989257812,3160395.334960937,720653.3662109375
[TG(52:5)]_FA16:0,3.202908968294266,7.849740360383414,76.04419862016948,2.773860500958641e-18,1.3360071397900796e-16,TAG,414879.3082885742,3452292.2205810547,3588301.330932617,4898681.806945801,380540.6869812012,480069.2538757324,138826.22854614258,296977.88201904297,130538.53002929688,256028.580078125,173012.13385009766,96856.42724609376,35542.66250610352
[TG(54:11)|TG(53:4)]_FA18:1,3.12745461620924,7.652099098495817,72.98703675255365,1.3050419815145675e-17,6.193191874040454e-16,TAG,391472.768371582,3567941.082763672,3535164.5479125977,2734975.620727539,472897.0760498047,461370.6737670898,131705.76928710938,286563.76306152344,88434.86682128906,224334.71563720703,183006.59118652344,98133.62731933594,37672.02243041992
[TG(56:11)|TG(55:4)]_FA18:1,3.1260479863726287,7.747473190797229,72.93045822733984,1.3429950740865625e-17,6.280934933445415e-16,TAG,448364.6909179688,4512167.698547363,2961392.9420776367,3432863.2299194336,481808.2778930664,351357.2637939453,147467.16931152344,311720.88104248047,95877.44635009766,243446.39825439453,202232.2342529297,88315.487060546875,44079.46292114258
[TG(52:5)]_FA20:4,3.119973052166725,10.611104448780102,72.68670707743571,1.5195414863193544e-17,7.005086251932224e-16,TAG,3320186.720214844,22573909.181152344,29280863.14501953,22286211.35522461,2369521.1442871094,6256001.4892578125,1415349.9692382812,1830303.5834960935,707046.7119140625,1691341.9533691406,1645127.1813964844,666601.87353515625,187618.8330078125
[TG(56:10)|TG(55:3)]_FA18:0,3.109850878504377,7.61500151401927,72.2790470994114,1.8682048906137128e-17,8.491122791564016e-16,TAG,408480.0627441406,3984482.684997559,2706693.838195801,3294660.353088379,442511.0906982422,289315.66387939453,135714.09088134766,284867.2406616211,90732.1865234375,216129.3128662109,195624.19415283203,79108.38592529297,42357.52313232422
[TG(54:10)|TG(53:3)]_FA18:0,3.1079042710332803,7.453636469607767,72.20076416192387,1.9438047359186678e-17,8.712024837235473e-16,TAG,323020.743347168,2982800.1506347656,3060689.9274902344,2567943.009399414,438251.8937988281,370954.4118347168,108966.2878112793,247224.2593383789,81002.06494140625,195693.73248291016,170514.49090576172,86643.8657836914,35282.08224487305
[TG(53:8)|TG(52:1)]_FA18:0,3.097861473686577,12.591130348475717,71.79891864833743,2.3828279495038572e-17,1.0533405195957462e-15,TAG,12319180.625,94994312.197265625,128589786.38476562,78251899.658203125,8853781.2490234375,14857516.823242188,5633884.283203125,7609607.982421875,2570730.6171875,7445073.40625,6797478.8134765625,2240961.50390625,529076.7412109375
[TG(56:12)|TG(55:5)]_FA18:2,3.0721686569797035,7.757087557809125,70.770493897209235,4.012941431118383e-17,1.749967837597165e-15,TAG,425760.7111206055,4283353.807250977,3015674.9809570312,3607854.417114258,521071.9340820313,369417.16497802734,188804.1740722656,302214.3607788086,93988.34649658205,245662.33923339844,213751.07354736328,91334.005615234375,46758.3432006836
[TG(54:12)|TG(53:5)]_FA18:2,3.0690473431964898,7.789568419408434,70.64595657078098,4.274428851882448e-17,1.839144254003288e-15,TAG,387231.3491821289,3630433.450256348,3995150.2713623047,3094882.8233032227,536182.1619262695,556712.8766479492,182966.55279541016,304596.7581176758,109564.96728515624,232228.5751953125,218286.5131225586,103322.16717529295,41791.243072509766
