Lipid,Class,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,344296.18408203125,322049.3430175781,282733.9587402344,111289.70825195312,97976.74700927734,282307.5396728516,277162.119140625,107436.90838623048,268696.0985107422,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,CE,339298.6618652344,310006.2232055664,279367.6589355469,109775.18774414062,90888.4663696289,282309.6809082031,278571.67907714844,108698.96670532228,281328.5203857422,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
15:0 Cholesteryl ester,CE,266142.63873291016,262806.1593017578,247914.3380126953,100862.94711303712,93542.90643310548,257820.4782714844,246816.4970703125,116445.74822998048,248100.27880859372,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,325613.7829589844,314207.48400878906,285182.6004638672,111228.06823730467,104504.52752685548,295206.8620605469,267262.1589355469,126887.06896972656,282264.8193359375,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,CE,332167.2241210937,320285.1428222656,290290.8615722656,109240.58813476562,110252.7873840332,280321.3400878906,274924.6597290039,121661.82904052734,287922.24072265625,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
15:1 Cholesteryl ester,CE,268890.8377685547,271941.5600585937,254635.35803222656,99233.0864868164,98567.5069580078,268707.9381103516,249741.7177734375,113070.3878173828,255572.7781982422,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,599021.1501617432,364204.10803222656,448713.8888244629,151944.7908821106,56299.90330123901,336776.8264312744,328525.7266998291,76195.66496658325,121273.30940246582,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,CE,609993.4200134277,360084.2857208252,463799.4299316406,156451.45086669922,55858.1439781189,347830.1068267822,326737.5634002685,75534.00523757935,125768.08905029295,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
16:2 Campesteryl ester,CE,625300.3235015869,333241.1462402344,437722.5107727051,152684.90951156616,56317.044551849365,342955.9080352783,310051.0410308838,69768.96461868286,117353.56846618652,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,318423.20361328125,314303.2229003906,291071.2001953125,108236.02865600586,103669.7276916504,280581.6188964844,265993.7189941406,119384.78771972656,274790.7999267578,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
16:3 Campesteryl ester,CE,615577.7465820312,344850.82232666016,433388.474029541,157380.9925956726,58418.86434555054,332875.0812988281,310477.7449951172,71218.46506500244,114802.70822143556,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
16:3 Cholesteryl ester,CE,310266.3620605469,293686.3809814453,270211.9997558594,109016.26788330078,102616.72705078124,259728.7784423828,258171.55993652344,119627.44903564452,268572.4782714844,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
16:3 Stigmasteryl ester,CE,727697.5627822876,427144.43183898926,529747.2166748047,192696.09077453613,87870.18571090698,417130.1490478516,365903.52224731445,105826.8872909546,174687.61349487305,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,855093.6213684082,510967.8601989746,612365.7075805664,204385.9342041016,84979.48628616333,472836.2958374024,411432.9081420898,95725.1279220581,197711.39486694336,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",CE,852660.2135925293,521878.4792175293,601565.9233398438,199647.8141479492,89481.14645385742,467518.1094055176,432811.65029907227,94433.90701293944,197452.6138916016,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,842930.1578979492,510275.13067626953,586323.5788574219,197720.9366455078,81592.54598236084,449361.2501220703,421981.7488708496,102442.5464553833,201944.2561798096,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",CE,862067.712310791,517304.1920166016,595576.9428405762,204358.05494308472,83035.78645706177,468996.0119934082,424691.0045776367,98708.50708389282,199674.9553833008,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,611723.5156555176,350131.3035583496,446275.3489227295,159345.89164733887,60428.163719177246,345805.9059753418,328314.5411529541,73089.96499633789,122837.10720825195,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,CE,597038.2792663574,335558.16551208496,423873.5100250244,151612.76976776123,55816.66398239136,334849.38470458984,315089.0400085449,72327.7248840332,119584.48794555664,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE,579479.3815917969,415102.8081359863,312724.2644042969,103781.74765777588,79692.8857498169,251351.8338623047,233254.1951904297,69918.46492004395,232670.8377380371,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",CE,581549.4797363281,415805.8867492676,298301.0598449707,106387.14749145508,80918.7451248169,256823.51718139648,238287.11483764648,71601.82501220703,241449.8783721924,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
18:1 Campesteryl ester,CE,455285.64990234375,356218.5864562988,290367.66189575195,90191.30676269533,66857.70453643799,251414.53872680664,228142.67880249023,71419.0849647522,225617.7167816162,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,840616.2183532715,529500.3120422363,600648.3408966064,201127.7946472168,78328.40519714355,503344.5899963379,456015.0985107422,103999.52606201172,224405.7758178711,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
18:3 Campesteryl ester,CE,349060.78579711914,310821.30099487305,245531.99661254883,79602.82596588135,67994.36478424072,230115.6553955078,210156.63537597656,71416.26483917236,197820.75631713867,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,850813.5699462891,552733.6976013184,620345.5288085938,201715.55276489255,91518.96710586548,507221.6766357422,458659.0358581543,101501.9271697998,254542.4615478516,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",CE,738547.298828125,590154.2624511719,468987.13415527344,208501.35400390625,149831.62994384766,410047.4875488281,395767.2680664063,149879.97039794922,328716.4434814453,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",CE,721592.5570068359,591230.9625244141,457069.5925292969,204910.27416992188,155575.15103149414,410446.4294433594,389397.6693115234,154023.69094848633,329537.4803466797,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",CAR,1342165.8034667969,1293608.794555664,1232293.98046875,1205931.8406982422,1154733.269897461,1111581.3986816406,1121579.8967285156,1366424.7204589844,1930786.4631347656,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
20:0 Campesteryl ester,CE,4539166.369384766,2738800.2377929688,1488004.1958007812,631150.6455078125,367630.4270629883,792573.4987792969,704186.2043457031,251567.6792602539,317584.8635253906,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
20:1 Campesteryl ester,CE,4235422.83215332,2598765.4096679688,1407519.564819336,627173.1862182617,362508.36560058594,774650.533203125,688702.3489990234,246157.97802734372,310572.0031738281,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",CE,741543.9924316406,592514.7603759766,463263.3770751953,213167.83587646484,152485.4100341797,414108.267944336,387061.1658935547,159229.2709350586,336350.2844238281,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",CE,715989.0925292969,571387.8460693359,452535.7111816406,214638.8768310547,156924.85137939453,419701.06994628906,395618.7508544922,162763.43139648438,332064.9237060547,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
20:3 Campesteryl ester,CE,971733.7509765624,796782.5151367188,658286.7297363281,331052.8444213867,359388.5831298828,603714.2861328125,607590.48828125,299902.3406982422,532591.3153076172,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",CE,655990.4508056641,518913.4805908203,402155.2277832031,194882.89279174805,152072.91143798828,346226.2841796875,322671.5235595703,153372.83123779297,281844.6805419922,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",CE,739420.5382232666,566264.937713623,449138.75494384766,170348.91171264648,147960.15045166016,355207.22428894043,350653.64825439453,149925.87145996094,433173.9257125855,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
20:5 Cholesteryl ester,CE,1235624.6225280762,995561.273284912,848273.2289733887,289770.3999023437,256014.0956192017,768802.1929626465,717188.4313659668,274553.0383682251,911030.2897338868,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
