Lipid,Class,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
1-O-carboceroyl-Cer(d18:1/18:0),Cer,22350.521404266357,19638.42140197754,19103.36149597168,21265.181526184082,19184.941383361816,23518.86159515381,24620.981536865234,18542.74126815796,20872.98154449463,19351.66135406494,32565.38228225708,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/16:0),Cer,77170.1263885498,71760.08392715454,66176.30462646484,109173.28615570068,77536.20505905151,71531.56502151489,94600.40604019165,48290.72343444824,129686.40884780884,90206.18699645996,104272.36771011353,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/18:0),Cer,260292.91549301147,226606.41647338867,224349.4774131775,218882.65203475952,217872.79592895508,242689.6378440857,319763.26332473755,188144.5944366455,290259.72340393066,254315.69579315186,544596.580368042,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,40271.942752838135,48901.74348449707,79985.14546966553,45007.06316757202,38794.08239746094,38312.822662353516,32873.5220451355,24691.961532592773,32300.022270202637,30083.80215072632,28402.641986846924,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,88004.54573059082,67973.50408935547,83376.7452545166,147981.1301498413,69986.14563369751,61918.36474227905,70929.20533752441,51119.96410369873,132110.53005218506,46688.28359603882,19274.341342926025,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-myristoyl-Cer(d18:1/16:0),Cer,48533.30375289917,53109.183780670166,59416.14421081543,49433.40335083008,43722.223094940186,52282.40361404419,51031.74311065674,29999.60227203369,47704.262954711914,41838.42319107056,43334.30277252197,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-palmitoyl-Cer(d18:1/16:0),Cer,42280.12342071533,51340.90389251709,57042.14367675781,44925.50315475464,38691.3226890564,37671.40256881714,41503.562911987305,30627.382152557373,38626.942794799805,38395.3628578186,50665.82361602783,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-stearoyl-Cer(d18:1/16:0),Cer,45861.98350524902,60920.963722229004,108743.84694671631,58732.24412536621,43761.362968444824,39907.92282104492,41409.22291183472,24739.361751556396,39577.362842559814,37099.262493133545,32940.40257644653,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,42481.76253890991,46389.883586883545,47993.662883758545,85672.64553451538,45309.76321029663,46462.44305038452,36770.78251647949,26529.861740112305,74690.7049446106,34747.30205154419,21537.66153717041,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,9886.160655975342,11597.380840301514,10146.580741882324,12243.720832824707,8869.920574188232,12337.640785217285,10196.060813903809,9660.040676116943,10959.840721130371,10466.840755462646,12759.900817871094,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",CAR,4456442.3203125,4906805.72265625,4376553.2001953125,5851287.732910156,5240845.183105469,5415979.7744140625,3846312.8686523438,4968330.218261719,4577722.708984375,4138307.3325195312,2428656.8916015625,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
12:0 Cholesteryl ester,CE,197889.75340270996,192208.85467529297,196251.07221984863,46403.643058776855,45492.56311035156,200241.51499938965,196464.39416503906,191143.31437683105,48828.74309921265,50371.44329452515,158999.98956298828,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
12:0 Cholesteryl ester_2,CE,188985.39365386963,191529.11226654053,181537.25415039062,43779.26319885254,49127.3635559082,185237.65446472168,194796.03422546387,182998.59495544434,46823.283615112305,44904.20314788818,163044.15301513672,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
14:0 Cholesteryl ester,CE,107592.74710083008,111948.30752563477,95863.90637207031,37085.942611694336,34170.76250457764,105610.56730651855,107985.74781799316,168315.25177001953,36109.662437438965,35977.82231903076,85346.74568939209,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
14:1 Cholesteryl ester,CE,105616.70771789551,114755.32794189453,89815.82641601562,36128.2225151062,35097.92267227173,109536.30744934082,108556.44799804688,160008.3309020996,36776.74267196655,35528.5424118042,91728.62675476074,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,344296.18408203125,322049.3430175781,282733.9587402344,111289.70825195312,97976.74700927734,306373.8005371094,299731.0216064453,295858.30310058594,112840.56723022461,105376.86743164062,268696.0985107422,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,CE,339298.6618652344,310006.2232055664,279367.6589355469,109775.18774414062,90888.4663696289,303455.8826904297,299659.14196777344,302988.9415283203,112044.8677368164,106071.48748779297,281328.5203857422,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
15:0 Cholesteryl ester,CE,266142.63873291016,262806.1593017578,247914.3380126953,100862.94711303711,93542.90643310547,266860.19885253906,267613.71813964844,272503.86083984375,114434.50775146484,111157.34732055664,248100.27880859375,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,325613.7829589844,314207.48400878906,285182.6004638672,111228.06823730469,104504.52752685547,297769.2003173828,290351.58154296875,308943.9620361328,124084.7282409668,119824.34848022461,282264.8193359375,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,CE,332167.22412109375,320285.1428222656,290290.8615722656,109240.58813476562,110252.7873840332,301401.74060058594,287615.060546875,309998.6005859375,119055.92895507812,120952.50833129883,287922.24072265625,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
15:1 Cholesteryl ester,CE,268890.8377685547,271941.56005859375,254635.35803222656,99233.0864868164,98567.50695800781,284971.76025390625,274811.8981933594,285592.7198486328,114059.18821716309,115133.86862182617,255572.7781982422,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,599021.1501617432,364204.10803222656,448713.8888244629,151944.7908821106,56299.903301239014,351679.80712890625,393651.00720214844,180673.55206298828,528545.7402648926,78532.20629882812,121273.30940246582,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,CE,609993.4200134277,360084.2857208252,463799.4299316406,156451.45086669922,55858.1439781189,337068.3601837158,390498.6081542969,178450.37184143066,527734.0662574768,75855.20571899414,125768.08905029297,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
16:2 Campesteryl ester,CE,625300.3235015869,333241.1462402344,437722.5107727051,152684.90951156616,56317.044551849365,337974.6212387085,383311.68368530273,173929.8528137207,523835.7752380371,71962.5654296875,117353.56846618652,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,318423.20361328125,314303.2229003906,291071.2001953125,108236.02865600586,103669.72769165039,297905.1613769531,287947.70153808594,311092.66162109375,121413.6282043457,118804.1879272461,274790.7999267578,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
16:3 Campesteryl ester,CE,615577.7465820312,344850.82232666016,433388.474029541,157380.9925956726,58418.86434555054,331275.62284851074,373961.9270172119,172677.89218139648,515711.15589141846,74763.10524368286,114802.70822143555,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
16:3 Cholesteryl ester,CE,310266.3620605469,293686.3809814453,270211.9997558594,109016.26788330078,102616.72705078125,294535.90087890625,284794.66064453125,298385.6613769531,113194.88842773438,113224.94805908203,268572.4782714844,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
16:3 Stigmasteryl ester,CE,727697.5627822876,427144.43183898926,529747.2166748047,192696.09077453613,87870.18571090698,411188.2872314453,460511.33279418945,242870.8171234131,562328.8849334717,103573.42597198486,174687.61349487305,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,855093.6213684082,510967.8601989746,612365.7075805664,204385.93420410156,84979.48628616333,499268.83602905273,530913.7354736328,301160.1184692383,602502.1294021606,107037.6085472107,197711.39486694336,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",CE,852660.2135925293,521878.4792175293,601565.9233398438,199647.81414794922,89481.14645385742,479157.2927246094,521070.05615234375,297985.96279907227,599676.2238388062,98678.10720062256,197452.61389160156,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,842930.1578979492,510275.13067626953,586323.5788574219,197720.9366455078,81592.54598236084,485151.77462768555,520088.89291381836,296793.23989868164,562371.0579147339,102937.98823547363,201944.25617980957,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",CE,862067.712310791,517304.19201660156,595576.9428405762,204358.05494308472,83035.78645706177,482734.01651000977,514852.2113342285,295495.2796020508,571522.3371124268,98115.54702758789,199674.95538330078,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,611723.5156555176,350131.3035583496,446275.3489227295,159345.89164733887,60428.163719177246,346586.8232803345,398959.04804992676,182229.13215637207,539455.1224517822,80697.56628417969,122837.10720825195,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,CE,597038.2792663574,335558.16551208496,423873.5100250244,151612.76976776123,55816.66398239136,330769.7475128174,378362.88427734375,172700.15437316895,506378.65410995483,74885.58505630493,119584.48794555664,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE,579479.3815917969,415102.8081359863,312724.2644042969,103781.74765777588,79692.8857498169,265665.31997680664,250481.35647583008,273335.97845458984,62059.30449676514,64375.98403930664,232670.8377380371,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",CE,581549.4797363281,415805.8867492676,298301.0598449707,106387.14749145508,80918.7451248169,278562.02059936523,251506.4744873047,265981.2977294922,66287.6245727539,65895.02463531494,241449.87837219238,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
18:1 Campesteryl ester,CE,455285.64990234375,356218.5864562988,290367.66189575195,90191.30676269531,66857.70453643799,266465.2412109375,245670.0968322754,280101.3180847168,56779.70411682129,60489.72505187988,225617.7167816162,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,840616.2183532715,529500.3120422363,600648.3408966064,201127.7946472168,78328.40519714355,498600.83795166016,542809.4772644043,318725.1033630371,552400.2912902832,94015.80750274658,224405.7758178711,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
18:3 Campesteryl ester,CE,349060.78579711914,310821.30099487305,245531.99661254883,79602.82596588135,67994.36478424072,237615.17587280273,228000.55624389648,240460.91688537598,57197.34386444092,61311.203605651855,197820.75631713867,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,850813.5699462891,552733.6976013184,620345.5288085938,201715.55276489258,91518.96710586548,507301.73498535156,540377.458404541,337561.1262207031,573815.3596115112,101688.64781570435,254542.46154785156,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",CE,738547.298828125,590154.2624511719,468987.13415527344,208501.35400390625,149831.62994384766,437464.8122558594,402255.1103515625,402006.4881591797,144071.72985839844,158509.9910888672,328716.4434814453,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",CE,721592.5570068359,591230.9625244141,457069.5925292969,204910.27416992188,155575.15103149414,431716.41259765625,397131.4901123047,402571.6882324219,148464.85083007812,160089.11193847656,329537.4803466797,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",CAR,1342165.8034667969,1293608.794555664,1232293.98046875,1205931.8406982422,1154733.269897461,1083593.9168701172,1316100.0698242188,1280694.2133789062,1321934.1652832031,1328133.6027832031,1930786.4631347656,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
20:0 Campesteryl ester,CE,4539166.369384766,2738800.2377929688,1488004.1958007812,631150.6455078125,367630.4270629883,726330.0109863281,579660.4241943359,684587.4663085938,186229.01287841797,183809.9330444336,317584.8635253906,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
20:1 Campesteryl ester,CE,4235422.83215332,2598765.4096679688,1407519.564819336,627173.1862182617,362508.36560058594,711627.2513427734,574620.6032714844,681386.8842773438,190459.41339111328,188184.5531616211,310572.0031738281,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
