Lipid,Class,DOD100-M1-WT-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M5FAD173-WT-Cortex10x_01192023,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,33323.14264297485,36546.822441101074,39283.802684783936,41078.122703552246,41187.70300292969,27728.001831054688,22294.401321411133,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/16:0),Cer,119585.86815261841,86770.38639831543,115558.20627593994,63072.24443435669,96314.38687133789,71027.58568572998,49086.90395736694,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/18:0),Cer,24480.881874084473,23461.22156906128,21810.941791534424,16931.921321868896,20784.1814994812,21460.881801605225,32565.38228225708,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/16:0),Cer,100954.56726074219,83571.66579055786,98255.28512954712,63247.98458099365,78392.94470977783,111197.36640167236,104272.36771011353,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/18:0),Cer,304801.284576416,276514.42039108276,285917.71657562256,157930.9115447998,228741.71733093262,339689.64263916016,544596.580368042,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,38517.28271102905,40629.2631149292,37163.8623008728,40477.462688446045,47302.34348678589,36310.98204803467,28402.641986846924,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,104923.82834243774,79647.96742630005,97751.66666412354,70156.98491287231,90403.96683502197,53195.04327392578,19274.341342926025,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-myristoyl-Cer(d18:1/16:0),Cer,55029.08363342285,50479.26407623291,45911.8233833313,44181.50326156616,49011.963397979736,45070.7234954834,43334.30277252197,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-palmitoyl-Cer(d18:1/16:0),Cer,41975.34289932251,43672.76354598999,43771.94339752197,39518.76318740845,44456.16331863403,41486.06307220459,50665.82361602783,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-stearoyl-Cer(d18:1/16:0),Cer,44340.323066711426,49289.16366195679,44351.12351226807,51899.823543548584,56296.36441421509,42019.50308609009,32940.40257644653,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,45042.482692718506,47179.88382720947,49861.92351913452,42341.26301193237,47969.623191833496,34593.72241592407,21537.66153717041,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,13229.820877075195,10774.420791625977,11459.260730743408,9018.440578460693,11086.620765686035,10810.2406539917,12759.900817871094,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",CAR,3537992.9995117188,4869216.183105469,3993657.2543945312,5983760.49609375,5044906.811035156,2897261.4868164062,2428656.8916015625,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
12:0 Cholesteryl ester,CE,184184.01274108887,194290.03338623047,57300.26417160034,169429.59413146973,191839.97328186035,48507.40311431885,158999.98956298828,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
12:0 Cholesteryl ester_2,CE,194223.2352294922,194121.27363967896,55628.72424697876,170046.1913909912,177208.31147766113,51444.80327987671,163044.15301513672,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
14:0 Cholesteryl ester,CE,174361.71353149414,103502.50770568848,44501.422870635986,99233.18690490723,90300.90599060059,40449.28260803223,85346.74568939209,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
14:1 Cholesteryl ester,CE,167934.35008239746,103306.90727233887,43761.02275466919,93945.5266494751,94580.62687683105,39776.48303985596,91728.62675476074,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,292253.8006591797,309868.7003173828,101925.20712280273,282307.53967285156,277162.119140625,107436.90838623047,268696.0985107422,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,CE,288007.4022216797,308109.24353027344,105516.18823242188,282309.6809082031,278571.67907714844,108698.96670532227,281328.5203857422,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
15:0 Cholesteryl ester,CE,253107.47875976562,264173.32067871094,101124.08694458008,257820.47827148438,246816.4970703125,116445.74822998047,248100.27880859375,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,278878.5386352539,308956.20349121094,115424.5080871582,295206.8620605469,267262.1589355469,126887.06896972656,282264.8193359375,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,CE,286760.6004638672,295662.2412109375,118771.74865722656,280321.3400878906,274924.6597290039,121661.82904052734,287922.24072265625,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
15:1 Cholesteryl ester,CE,279110.23876953125,272599.61767578125,109607.08767700195,268707.93811035156,249741.7177734375,113070.38781738281,255572.7781982422,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,181109.19328308105,438289.16777038574,77134.06510925293,336776.8264312744,328525.7266998291,76195.66496658325,121273.30940246582,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,CE,187184.91275024414,443183.8342895508,79354.32606506348,347830.1068267822,326737.56340026855,75534.00523757935,125768.08905029297,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
16:2 Campesteryl ester,CE,167781.59133911133,418315.46867370605,74919.82628250122,342955.9080352783,310051.0410308838,69768.96461868286,117353.56846618652,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,292551.71875,297439.0616455078,110140.7073059082,280581.6188964844,265993.7189941406,119384.78771972656,274790.7999267578,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
16:3 Campesteryl ester,CE,170507.59172058105,427672.8699798584,75315.50601577759,332875.0812988281,310477.7449951172,71218.46506500244,114802.70822143555,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
16:3 Cholesteryl ester,CE,270792.63830566406,275931.4796142578,110097.02749633789,259728.7784423828,258171.55993652344,119627.44903564453,268572.4782714844,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
16:3 Stigmasteryl ester,CE,238233.19439697266,491452.9175415039,112134.62752532959,417130.14904785156,365903.52224731445,105826.88729095459,174687.61349487305,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,269417.33947753906,589933.1188049316,103941.22734069824,472836.29583740234,411432.90814208984,95725.1279220581,197711.39486694336,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",CE,275774.5595397949,578218.7215881348,105990.80756378174,467518.1094055176,432811.65029907227,94433.90701293945,197452.61389160156,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,272276.99826049805,578229.0800170898,104960.36757659912,449361.2501220703,421981.7488708496,102442.5464553833,201944.25617980957,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",CE,282595.2204284668,584872.5077514648,106163.54775619507,468996.0119934082,424691.0045776367,98708.50708389282,199674.95538330078,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,172803.25178527832,436325.72637939453,77847.66497421265,345805.9059753418,328314.5411529541,73089.96499633789,122837.10720825195,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,CE,165014.77180480957,415234.27352905273,75341.58574676514,334849.38470458984,315089.0400085449,72327.7248840332,119584.48794555664,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE,238098.99700927734,265711.5782318115,72586.16502380371,251351.8338623047,233254.1951904297,69918.46492004395,232670.8377380371,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",CE,234472.71701049805,270909.55950927734,68150.66487884521,256823.51718139648,238287.11483764648,71601.82501220703,241449.87837219238,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
18:1 Campesteryl ester,CE,233450.53912353516,261731.28118896484,63951.22497558594,251414.53872680664,228142.67880249023,71419.0849647522,225617.7167816162,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,289138.4790649414,585151.3779449463,102739.50680541992,503344.5899963379,456015.0985107422,103999.52606201172,224405.7758178711,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
18:3 Campesteryl ester,CE,213127.35446166992,242607.49642944336,66174.2045288086,230115.6553955078,210156.63537597656,71416.26483917236,197820.75631713867,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,315847.1044616699,595870.3013763428,103495.5284690857,507221.6766357422,458659.0358581543,101501.9271697998,254542.46154785156,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",CE,419422.98986816406,415310.3869628906,146106.55047607422,410047.4875488281,395767.26806640625,149879.97039794922,328716.4434814453,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",CE,427756.94885253906,430666.9284667969,150386.73071289062,410446.4294433594,389397.66931152344,154023.69094848633,329537.4803466797,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",CAR,1218044.2957763672,1240025.5187988281,1244585.4881591797,1111581.3986816406,1121579.8967285156,1366424.7204589844,1930786.4631347656,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
20:0 Campesteryl ester,CE,944354.2272949219,799106.8182373047,242206.25750732422,792573.4987792969,704186.2043457031,251567.6792602539,317584.8635253906,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
20:1 Campesteryl ester,CE,922340.9077148438,768436.0723876953,229859.89709472656,774650.533203125,688702.3489990234,246157.97802734375,310572.0031738281,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",CE,420065.75048828125,422728.80859375,149125.32971191406,414108.26794433594,387061.1658935547,159229.2709350586,336350.2844238281,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",CE,420005.08837890625,413933.3474121094,152263.0704345703,419701.06994628906,395618.7508544922,162763.43139648438,332064.9237060547,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
20:3 Campesteryl ester,CE,831691.5396728516,630418.0675048828,291385.0417480469,603714.2861328125,607590.48828125,299902.3406982422,532591.3153076172,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",CE,340624.28259277344,362469.4854736328,146808.49047851562,346226.2841796875,322671.5235595703,153372.83123779297,281844.6805419922,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",CE,348037.0646057129,402231.26961517334,144343.5308227539,355207.22428894043,350653.64825439453,149925.87145996094,433173.92571258545,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
20:5 Cholesteryl ester,CE,719790.7917480469,810821.262512207,246523.35818481445,768802.1929626465,717188.4313659668,274553.0383682251,911030.2897338867,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
22:0 Campesteryl ester,CE,526033.4529647827,384554.50311279297,71315.94483184814,472356.95237731934,330720.66106414795,102224.66787719727,105651.5481300354,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",CE,636603.4621429443,524705.1521759033,114199.28704071045,491573.2315979004,408879.0844268799,132412.4898223877,79871.64535522461,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
22:0 Sitosteryl ester,CE,561003.0242385864,421927.34729003906,79683.76554870605,486894.434677124,369547.3709869385,114893.82941436768,228572.99380493164,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
22:1 Campesteryl ester,CE,479712.1131286621,395492.0505371094,70321.82493591309,438211.0646972656,309484.46377563477,99733.32707595825,102455.64757919312,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",CE,631755.8412628174,508749.61309814453,112743.7882270813,483708.2539367676,420318.2272872925,128342.92868804932,78654.8657836914,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",CE,568701.699710846,423679.4720993042,84803.34576416016,491484.9942550659,370056.0489387512,108360.74819946289,206498.9136428833,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
22:2 Campesteryl ester,CE,289210.3822784424,381027.0474014282,70477.46474456787,366085.0646057129,299380.28102111816,109228.78860855103,80835.36569976807,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",CE,558193.1280670166,415441.63109588623,78620.56488800049,490631.93672180176,363682.14473342896,113005.9493637085,160474.38968276978,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
22:3 Campesteryl ester,CE,353298.22665405273,449166.67167663574,60358.8840713501,427643.9084777832,345265.1865081787,99418.78695678711,78485.72638702393,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
22:3 Stigmasteryl ester,CE,511923.66984558105,404606.42864990234,73503.32471084595,474261.48516845703,322717.52098083496,99826.9475517273,107463.74801254272,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",CE,1016566.2236328125,848434.1008300781,253103.3198852539,825638.3364257812,752051.2749023438,282835.4387817383,370215.2233886719,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
