Lipid,Class,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,41078.122703552246,41187.70300292969,27728.001831054688,31600.96230316162,38293.782245635986,37147.423122406006,22294.401321411133,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/16:0),Cer,63072.24443435669,96314.38687133789,71027.58568572998,61262.46444320679,92696.36716842651,134329.46858596802,49086.90395736694,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/18:0),Cer,16931.921321868896,20784.1814994812,21460.881801605225,21668.40147781372,23203.34190750122,21004.281448364258,32565.38228225708,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/16:0),Cer,63247.98458099365,78392.94470977783,111197.36640167236,82006.22617340088,104129.10850906372,99503.34856796265,104272.36771011353,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/18:0),Cer,157930.9115447998,228741.71733093262,339689.64263916016,280969.05976486206,300359.0815124512,259670.51651763916,544596.580368042,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,40477.462688446045,47302.34348678589,36310.98204803467,29833.582180023193,35027.162464141846,34894.54271697998,28402.641986846924,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,70156.98491287231,90403.96683502197,53195.04327392578,54778.024196624756,81422.12617874146,112472.52647018433,19274.341342926025,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-myristoyl-Cer(d18:1/16:0),Cer,44181.50326156616,49011.963397979736,45070.7234954834,46942.16307449341,50195.963748931885,49277.52336502075,43334.30277252197,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-palmitoyl-Cer(d18:1/16:0),Cer,39518.76318740845,44456.16331863403,41486.06307220459,41863.74258804321,41158.282787323,40904.52328491211,50665.82361602783,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-stearoyl-Cer(d18:1/16:0),Cer,51899.823543548584,56296.36441421509,42019.50308609009,34317.60231781006,35969.52249908447,40138.9030418396,32940.40257644653,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,42341.26301193237,47969.623191833496,34593.72241592407,36280.562450408936,43573.80286026001,47277.84367752075,21537.66153717041,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,9018.440578460693,11086.620765686035,10810.2406539917,10864.320823669434,11811.08076095581,10880.960796356201,12759.900817871094,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",CAR,5983760.49609375,5044906.811035156,2897261.4868164062,4530618.3974609375,4468202.2490234375,4224210.512207031,2428656.8916015625,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
12:0 Cholesteryl ester,CE,169429.59413146973,191839.97328186035,48507.40311431885,186232.69366455078,183007.07179260254,49461.103244781494,158999.98956298828,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
12:0 Cholesteryl ester_2,CE,170046.1913909912,177208.31147766113,51444.80327987671,189840.21322631836,177894.63215637207,54207.28388977051,163044.15301513672,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
14:0 Cholesteryl ester,CE,99233.18690490723,90300.90599060059,40449.28260803223,104420.42792510986,109004.62704467773,49358.223373413086,85346.74568939209,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
14:1 Cholesteryl ester,CE,93945.5266494751,94580.62687683105,39776.48303985596,103682.6265411377,112287.36878967285,47979.98323059082,91728.62675476074,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,282307.53967285156,277162.119140625,107436.90838623047,274064.7186279297,268143.77795410156,100182.92660522461,268696.0985107422,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,CE,282309.6809082031,278571.67907714844,108698.96670532227,278048.1408691406,271687.5393066406,96428.72689819336,281328.5203857422,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
15:0 Cholesteryl ester,CE,257820.47827148438,246816.4970703125,116445.74822998047,258305.59765625,248950.81713867188,102162.18740844727,248100.27880859375,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,295206.8620605469,267262.1589355469,126887.06896972656,286384.1994628906,276976.9796142578,111654.76879882812,282264.8193359375,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,CE,280321.3400878906,274924.6597290039,121661.82904052734,293948.66052246094,278041.7590332031,112872.2681274414,287922.24072265625,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
15:1 Cholesteryl ester,CE,268707.93811035156,249741.7177734375,113070.38781738281,261043.47790527344,247970.59814453125,107635.2876586914,255572.7781982422,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,336776.8264312744,328525.7266998291,76195.66496658325,249489.09985351562,160506.25076293945,47949.46321105957,121273.30940246582,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,CE,347830.1068267822,326737.56340026855,75534.00523757935,240007.47801208496,151672.46923828125,50140.58383560181,125768.08905029297,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
16:2 Campesteryl ester,CE,342955.9080352783,310051.0410308838,69768.96461868286,239180.97770690918,147526.39030456543,45947.08301925659,117353.56846618652,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,280581.6188964844,265993.7189941406,119384.78771972656,276360.1994628906,269447.4189453125,107576.0082397461,274790.7999267578,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
16:3 Campesteryl ester,CE,332875.0812988281,310477.7449951172,71218.46506500244,234669.65798187256,144066.910446167,46587.88315200806,114802.70822143555,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
16:3 Cholesteryl ester,CE,259728.7784423828,258171.55993652344,119627.44903564453,274137.7209472656,262840.2385253906,104622.92736816406,268572.4782714844,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
16:3 Stigmasteryl ester,CE,417130.14904785156,365903.52224731445,105826.88729095459,301400.6235656738,207753.87649536133,79884.74600219727,174687.61349487305,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,472836.29583740234,411432.90814208984,95725.1279220581,360051.70681762695,252912.35702514648,69250.00426864624,197711.39486694336,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",CE,467518.1094055176,432811.65029907227,94433.90701293945,372578.784576416,249793.49551391602,65956.20474243164,197452.61389160156,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,449361.2501220703,421981.7488708496,102442.5464553833,372894.063873291,253252.07821655273,72498.68489837646,201944.25617980957,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",CE,468996.0119934082,424691.0045776367,98708.50708389282,350154.3428039551,255931.9373779297,67602.62491607666,199674.95538330078,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,345805.9059753418,328314.5411529541,73089.96499633789,243419.6374053955,148317.23024749756,45423.58345794678,122837.10720825195,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,CE,334849.38470458984,315089.0400085449,72327.7248840332,236172.8360900879,147790.75193023682,48443.423652648926,119584.48794555664,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE,251351.8338623047,233254.1951904297,69918.46492004395,222433.1926574707,217670.1551208496,58456.8840713501,232670.8377380371,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",CE,256823.51718139648,238287.11483764648,71601.82501220703,230665.59564208984,212685.6136932373,61869.20440673828,241449.87837219238,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
18:1 Campesteryl ester,CE,251414.53872680664,228142.67880249023,71419.0849647522,240928.99647521973,227796.5161743164,60167.683822631836,225617.7167816162,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,503344.5899963379,456015.0985107422,103999.52606201172,381474.1481933594,274696.0990600586,71782.84466552734,224405.7758178711,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
18:3 Campesteryl ester,CE,230115.6553955078,210156.63537597656,71416.26483917236,206521.37365722656,195902.6728515625,58889.22416687012,197820.75631713867,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,507221.6766357422,458659.0358581543,101501.9271697998,400381.6452026367,283924.2213745117,76460.92622375488,254542.46154785156,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",CE,410047.4875488281,395767.26806640625,149879.97039794922,391348.7673339844,354341.3049316406,139586.21026611328,328716.4434814453,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",CE,410446.4294433594,389397.66931152344,154023.69094848633,382867.52575683594,352302.1843261719,137866.00958251953,329537.4803466797,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",CAR,1111581.3986816406,1121579.8967285156,1366424.7204589844,1289018.3786621094,1210873.5478515625,1173183.5369873047,1930786.4631347656,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
20:0 Campesteryl ester,CE,792573.4987792969,704186.2043457031,251567.6792602539,469695.3544921875,501893.65234375,197502.67498779297,317584.8635253906,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
20:1 Campesteryl ester,CE,774650.533203125,688702.3489990234,246157.97802734375,461297.6511230469,503761.73498535156,199627.77404785156,310572.0031738281,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",CE,414108.26794433594,387061.1658935547,159229.2709350586,396489.7082519531,359091.7648925781,142767.74981689453,336350.2844238281,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",CE,419701.06994628906,395618.7508544922,162763.43139648438,380589.8077392578,355941.384765625,146173.73016357422,332064.9237060547,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
20:3 Campesteryl ester,CE,603714.2861328125,607590.48828125,299902.3406982422,581533.5655517578,624555.2194824219,273740.8601074219,532591.3153076172,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",CE,346226.2841796875,322671.5235595703,153372.83123779297,316081.24267578125,295324.52014160156,140183.13012695312,281844.6805419922,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",CE,355207.22428894043,350653.64825439453,149925.87145996094,348575.3070983887,324714.06285095215,131112.8683166504,433173.92571258545,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
20:5 Cholesteryl ester,CE,768802.1929626465,717188.4313659668,274553.0383682251,771799.6127319336,714395.755935669,235360.5344581604,911030.2897338867,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:0 Campesteryl ester,CE,472356.95237731934,330720.66106414795,102224.66787719727,335009.5023803711,319311.84059143066,69838.88446426392,105651.5481300354,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",CE,491573.2315979004,408879.0844268799,132412.4898223877,172745.71115112305,235747.27536773682,80594.5062789917,79871.64535522461,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:0 Sitosteryl ester,CE,486894.434677124,369547.3709869385,114893.82941436768,375415.22120666504,342953.5009460449,77020.76491165161,228572.99380493164,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:1 Campesteryl ester,CE,438211.0646972656,309484.46377563477,99733.32707595825,300019.1825180054,286221.46573257446,66762.08471679688,102455.64757919312,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",CE,483708.2539367676,420318.2272872925,128342.92868804932,169745.83312225342,234477.81832885742,84083.74672317505,78654.8657836914,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",CE,491484.9942550659,370056.0489387512,108360.74819946289,371401.4266014099,339966.16425323486,77005.56617355347,206498.9136428833,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:2 Campesteryl ester,CE,366085.0646057129,299380.28102111816,109228.78860855103,109912.80857086182,103576.40770339966,55119.703243255615,80835.36569976807,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",CE,490631.93672180176,363682.14473342896,113005.9493637085,350456.68489456177,326611.1287879944,73470.72465133667,160474.38968276978,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:3 Campesteryl ester,CE,427643.9084777832,345265.1865081787,99418.78695678711,117693.50897216797,117399.28813171387,27730.041870117188,78485.72638702393,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:3 Stigmasteryl ester,CE,474261.48516845703,322717.52098083496,99826.9475517273,336055.4048423767,324529.98192596436,70560.264919281,107463.74801254272,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",CE,825638.3364257812,752051.2749023438,282835.4387817383,505492.73486328125,542394.1608886719,215199.37567138672,370215.2233886719,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
