Lipid,Class,BlankBrain_NA_x,C-1BrainF,C-2BrainF,C-3BrainF,C-4BrainM,C-5BrainM,C-6BrainM,E-1BrainF,E-2BrainF,E-3BrainF,E-4BrainM,E-5BrainM,E-6BrainM,BlankPlasma_NA,C-1BMVF,C-1PlasmaF,C-2BMVF,C-2PlasmaF,C-3BMVF,C-3PlasmaF,C-4BMVM,C-4PlasmaM,C-5BMVM,C-5PlasmaM,C-6BMVM,C-6PlasmaM,E-1BMVF,E-1PlasmaF,E-2BMVF,E-2PlasmaF,E-3BMVF,E-3PlasmaF,E-4BMVM,E-4PlasmaM,E-5BMVM,E-5PlasmaM,E-6BMVM,E-6PlasmaM,blankBMV_NA,BlankBrain_NA_y,Title1,Title2,Title,length1,length2,Blank_name
CAR(10:0),CAR,3689.7602729797363,3072.320209503174,3397.100257873535,3490.2602577209473,2933.1202087402344,3471.0402488708496,3318.640239715576,3446.300220489502,3024.560188293457,3281.180233001709,3360.320266723633,3226.20023727417,3118.540210723877,3561.660213470459,3036.6402168273926,2520.100185394287,2899.740222930908,3311.280258178711,2892.66019821167,3624.780288696289,3042.040225982666,3266.0202293395996,3761.020252227783,3231.900245666504,2598.7001876831055,3474.920234680176,3322.300224304199,2767.540210723877,2929.6402168273926,3045.5202026367188,3270.900230407715,3586.300277709961,3331.260238647461,3217.960220336914,3230.0202102661133,3303.8402366638184,3604.6402587890625,3415.720260620117,4297.500297546387,3689.7602729797363,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(10:0)_QUAL,CAR,19356.50132751465,17154.961280822754,18484.181339263916,20160.42151260376,20858.641452789307,19791.401485443115,18488.02127456665,19051.381298065186,19263.661403656006,19472.421325683594,19621.44150543213,18662.30125427246,17832.421253204346,20704.441619873047,18736.48143005371,19340.221389770508,19008.781246185303,18353.84128189087,20897.541328430176,18788.041423797607,19101.68127822876,21586.061573028564,18801.98143005371,18967.96128463745,18817.181159973145,20289.08140563965,18668.281463623047,18979.721347808838,18214.20129776001,16484.42112350464,19022.68134689331,19077.721363067627,18446.961349487305,17404.10136795044,18662.761306762695,19206.461170196533,19802.681644439697,19729.541496276855,18910.96124267578,19356.50132751465,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(10:1),CAR,6174.940448760986,5044.020389556885,5254.600399017334,5625.040416717529,5558.220420837402,5532.740421295166,4755.080360412598,4970.860363006592,5415.380432128906,5643.820415496826,6166.220386505127,5727.700412750244,6244.700435638428,6067.200428009033,5078.500339508057,5573.46036529541,5950.120456695557,6139.380393981934,5861.920440673828,5640.180389404297,5385.120391845703,5726.560451507568,5678.540397644043,6606.720436096191,6587.160503387451,6652.320476531982,6334.940444946289,6428.000434875488,6057.860450744629,6253.4404945373535,6043.620429992676,5244.640377044678,6041.700412750244,5854.620407104492,5648.4404296875,6269.380443572998,5568.020389556885,6208.2605056762695,6626.220531463623,6174.940448760986,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(10:1)_QUAL,CAR,4806.960353851318,4411.720287322998,4846.360382080078,4901.480358123779,5035.240310668945,4052.860248565674,5011.980327606201,4747.500385284424,4344.42032623291,4998.920364379883,5106.680400848389,4142.520286560059,4318.020313262939,5110.740352630615,4368.500305175781,4531.660343170166,4827.880355834961,4754.120384216309,4360.2402992248535,6054.940425872803,5259.380409240723,5128.0403480529785,5131.2603759765625,3930.540271759033,4683.420356750488,4994.6203689575195,4580.180271148682,4051.8002853393555,4146.580303192139,4908.600311279297,4037.380298614502,4698.540283203125,4690.020347595215,4913.380355834961,4958.440372467041,4365.240325927734,5024.380352020264,4350.140281677246,5373.060352325439,4806.960353851318,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(10:2),CAR,6771.000469207764,4407.040309906006,5486.020401000977,4699.080299377441,4692.860328674316,5298.220344543457,4725.5602951049805,5126.160362243652,5108.220348358154,5757.460388183594,4778.120323181152,5540.060390472412,4694.580341339111,7163.080459594727,5021.120330810547,4741.800342559814,5030.720355987549,5929.600517272949,5336.780410766602,4693.680320739746,5013.720333099365,5148.94038772583,4237.900291442871,5194.120410919189,4958.340351104736,5183.16036605835,4701.740337371826,5628.620388031006,5049.900329589844,4505.920330047607,5236.000343322754,5153.100391387939,5080.240341186523,5214.140300750732,5243.280376434326,5986.580410003662,4591.88028717041,4499.3403396606445,5405.420387268066,6771.000469207764,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(10:2)_QUAL,CAR,32151.52230834961,26743.22173309326,27356.201942443848,27550.522003173828,28230.742038726807,27532.101928710938,25560.541915893555,26171.12204360962,26338.741771697998,26185.581924438477,26043.181922912598,28126.181911468506,27818.102020263672,33501.08224487305,27350.381950378418,27060.481895446777,28320.88208770752,29533.22204208374,27185.121871948242,25422.041751861572,27205.201862335205,28239.86196899414,24972.481643676758,24832.56175994873,27052.78186416626,27854.941848754883,25769.401748657227,24867.121921539307,27689.082050323486,28762.02215576172,27600.48208618164,28345.282028198242,25864.40184402466,26497.301803588867,27945.08187866211,27397.642086029053,27321.52191543579,26440.761978149414,31647.18226623535,32151.52230834961,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(10:3),CAR,9761.660720825195,7520.62056350708,7607.520454406738,7114.3005027771,8091.300514221191,7685.400527954102,7449.060493469238,8619.560604095459,8044.380577087402,7190.020538330078,7768.940544128418,9071.500732421875,8280.640628814697,9463.300636291504,7515.160453796387,6559.1204261779785,7403.620464324951,8728.520652770996,8384.320541381836,6861.5804443359375,7433.600482940674,7928.820487976074,7134.360466003418,7197.64049911499,8256.040523529053,7189.600494384766,8505.740577697754,6866.220474243164,7511.320529937744,7748.5205001831055,7353.600475311279,8153.62056350708,7767.680511474609,5707.2404136657715,7036.380535125732,7513.640552520752,7887.700588226318,7994.1206130981445,9677.100631713867,9761.660720825195,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(10:3)_QUAL,CAR,9963.06069946289,5106.460369110107,4969.34033203125,4456.260334014893,5110.560356140137,4443.440319061279,4555.140354156494,5388.1203689575195,4703.080303192139,4563.3403244018555,5162.780376434326,4454.100318908691,4877.420352935791,8101.180507659912,4540.600299835205,5097.200340270996,5362.900352478027,4687.6803550720215,5527.540439605713,5634.52042388916,4853.740306854248,4368.480297088623,4861.040355682373,5119.900341033936,4630.200351715088,5286.8003578186035,5327.860366821289,4936.700355529785,4391.5002784729,4916.640350341797,4518.1403160095215,4912.680366516113,4783.160343170166,5407.5604248046875,4560.0402908325195,5032.840347290039,4793.860290527344,5477.980453491211,13241.86124420166,9963.06069946289,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(11:0),CAR,4856.380348205566,3767.4002685546875,4078.760311126709,4876.260345458984,4789.080383300781,4078.5202713012695,4427.7802658081055,4054.300262451172,4441.660308837891,4519.920310974121,3749.400260925293,4882.880336761475,3824.160255432129,4956.180313110352,4104.500289916992,4477.240337371826,4567.600322723389,3986.2002868652344,4720.720325469971,3954.920295715332,4284.860301971436,4880.580360412598,4143.5403175354,4450.920330047607,3758.940284729004,4570.120319366455,4007.8202934265137,4184.480281829834,4067.320323944092,4459.640289306641,3635.8202781677246,4483.8402671813965,4352.700305938721,3843.580276489258,4206.800296783447,4185.880271911621,4827.580348968506,4460.980319976807,4071.3802757263184,4856.380348205566,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(11:0)_QUAL,CAR,5877.420421600342,5858.460426330566,5345.840343475342,5685.240364074707,5747.560432434082,5837.7603759765625,5559.1403732299805,5022.340305328369,5555.360404968262,5263.640365600586,6339.440452575684,6185.000492095947,5528.040386199951,5577.1004066467285,5871.440372467041,5110.44038772583,4984.100337982178,5348.140396118164,5548.98038482666,5178.960330963135,5787.940395355225,5300.940380096436,5955.880432128906,5700.240386962891,6244.7404861450195,5325.100357055664,5611.740417480469,5205.900379180908,5813.520412445068,6033.040428161621,5412.420383453369,5184.620307922363,5349.480388641357,6432.3204345703125,6337.760475158691,5293.8004150390625,5619.8004150390625,5634.860374450684,4980.380332946777,5877.420421600342,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(12:0),CAR,3984.22029876709,2407.3601684570312,2614.2001876831055,2850.2001991271973,2258.340156555176,2876.1001930236816,2585.4201736450195,2804.580219268799,2718.6601943969727,2467.6601753234863,2853.6602096557617,2321.540168762207,3203.520221710205,2677.380214691162,3066.280227661133,2508.920181274414,3076.740219116211,2576.3201904296875,2753.880214691162,2903.7402114868164,2433.600170135498,3282.100238800049,2393.020164489746,2796.820198059082,3262.720241546631,2567.000186920166,2621.160171508789,2758.4001960754395,2771.400188446045,2717.060203552246,2940.0402030944824,2531.960174560547,2767.340156555176,2569.0401573181152,2622.220188140869,3192.28023147583,2497.400157928467,2477.8001670837402,3176.660228729248,3984.22029876709,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(12:0)_QUAL,CAR,6072.34049987793,6152.660449981689,5570.460391998291,5760.980396270752,6621.440475463867,5820.200435638428,6169.540420532227,6330.280448913574,6655.180442810059,6147.560474395752,6407.360431671143,6576.24044418335,6344.280414581299,7024.420463562012,6154.100437164307,5576.680435180664,7255.040481567383,6847.660495758057,5330.800388336182,7312.680549621582,7144.060497283936,6773.040481567383,6369.360454559326,5968.520378112793,6531.460506439209,6044.300403594971,5895.880443572998,6663.860378265381,5953.560401916504,6312.220439910889,6935.180465698242,6644.660549163818,6165.340435028076,6727.180465698242,6289.380477905273,6853.340538024902,5955.280429840088,5385.620372772217,6399.060432434082,6072.34049987793,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(14:0),CAR,3739.8202896118164,3864.4002571105957,3121.2402381896973,3352.7002487182617,3066.900192260742,3603.4002532958984,2900.360210418701,2766.8802070617676,2902.900192260742,3165.9202575683594,3294.5802268981934,3203.3401985168457,4202.900318145752,3711.8802528381348,2866.560188293457,3145.8201866149902,3492.7402572631836,3087.7602195739746,3151.1002311706543,2627.0601806640625,2677.0802154541016,3242.4602127075195,3180.620220184326,3575.460231781006,3402.4802742004395,2979.160228729248,3486.7002868652344,2720.9001808166504,3569.4202423095703,3476.240249633789,3127.400230407715,2856.2601928710938,3575.0002632141113,3528.920249938965,3503.3602561950684,2813.5001945495605,3551.30025100708,2928.3401794433594,3565.760265350342,3739.8202896118164,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(14:0)_QUAL,CAR,10098.500709533691,8198.540519714355,8273.46053314209,8506.760559082031,8804.820644378662,7223.20051574707,7892.480518341064,8988.660606384277,7128.420467376709,8946.5806350708,7988.600528717041,8283.560562133789,7892.180606842041,8919.300659179688,7789.740497589111,8032.240585327148,7306.980491638184,8373.740631103516,8178.28063583374,7748.2605628967285,8308.560611724854,9417.480625152588,8083.440624237061,8410.740589141846,9765.180648803711,8929.20068359375,7524.180587768555,7995.720607757568,7789.820579528809,7955.260551452637,7794.5805740356445,8590.060619354248,7245.5205001831055,9029.380641937256,7807.280570983887,7813.420600891113,7674.340599060059,7642.440505981445,9450.120635986328,10098.500709533691,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(14:1),CAR,8637.660598754883,8362.560638427734,7858.68058013916,7951.580539703369,8617.240516662598,8583.780620574951,7750.900550842285,8487.10061264038,8829.520694732666,8634.680694580078,9618.0207862854,8247.840579986572,9104.200660705566,8615.080680847168,7646.540466308594,7311.5005531311035,8920.240543365479,8344.740581512451,7294.44051361084,8585.840637207031,9036.620590209961,8162.28059387207,9740.52059173584,9124.340606689453,8379.88060760498,8510.780544281006,8198.300468444824,8612.740642547607,9210.960655212402,9022.740753173828,8582.280696868896,8525.480575561523,8960.540599822998,7792.380500793457,9551.340663909912,9395.860717773438,9001.320671081543,8427.240619659424,9198.640686035156,8637.660598754883,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(14:1)_QUAL,CAR,9287.540687561035,7491.900577545166,7110.260494232178,7226.28048324585,7225.060516357422,7869.3605880737305,6828.840419769287,7437.1005783081055,6466.920444488525,7012.980449676514,8554.980564117432,6808.720413208008,7521.14054107666,9198.400688171387,6905.300559997559,6648.740432739258,7043.06050491333,7553.88053894043,6914.880565643311,6351.360401153564,7424.900505065918,7370.840488433838,6933.5205001831055,6940.520484924316,8000.7005615234375,6665.560474395752,7369.520519256592,6633.400451660156,7301.400497436523,6977.060516357422,7226.840507507324,7380.860507965088,6794.640430450439,6765.860481262207,7442.160552978516,6673.460479736328,7883.800586700439,7967.380603790283,8414.980583190918,9287.540687561035,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(14:2),CAR,9306.600570678711,4912.820365905762,5937.260456085205,6236.460418701172,5483.180393218994,5357.320388793945,6173.520458221436,5857.000400543213,6730.460487365723,6098.180397033691,6052.340408325195,5902.460376739502,6162.120418548584,7150.220478057861,6110.98046875,5137.860389709473,6753.880481719971,7153.020458221436,5947.6604347229,7011.860485076904,6026.000354766846,6090.080432891846,5941.420394897461,6359.980434417725,5462.740390777588,4922.540374755859,5848.920413970947,5868.360424041748,4909.780361175537,5078.7003173828125,5107.060359954834,5998.600467681885,5509.260383605957,5134.8003578186035,6101.30046081543,6619.420444488525,5175.560356140137,5125.380390167236,8336.240707397461,9306.600570678711,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(14:2)_QUAL,CAR,80536.3257446289,64399.72420883179,68111.26440048218,67613.34483718872,65949.12440490723,62480.94432449341,63152.68480682373,66297.52503967285,64377.864601135254,64357.14423751831,63761.66422653198,64953.98435211182,64717.84442138672,87816.76623535156,62664.48390197754,65242.224575042725,63732.224517822266,69085.68486785889,62778.04470825195,64024.26427459717,67410.94430923462,69523.32508850098,61930.80448150635,62316.24434661865,63133.66403961182,64324.984661102295,67244.46443557739,67617.80521392822,63521.82429885864,65598.50489807129,58886.24379348755,62390.744773864746,64461.58485412598,62887.10453796387,65224.76443481445,67073.8051147461,66857.30480957031,64277.84429550171,84614.42669677734,80536.3257446289,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(16:0),CAR,4314.000267028809,3083.840217590332,3117.900245666504,2944.7001991271973,2692.2602043151855,3402.900276184082,3078.4602088928223,3104.400218963623,3204.900218963623,3121.500244140625,3078.5602264404297,2994.380226135254,3006.9002227783203,3156.3602294921875,3416.060245513916,3051.860221862793,2603.5401725769043,3680.4002799987793,2997.920207977295,3129.300205230713,3063.880214691162,3410.800262451172,2852.8602256774902,3052.3402099609375,3069.28023147583,2863.680187225342,3021.68021774292,3342.5202598571777,3369.2202796936035,3054.940231323242,3191.4802207946777,2976.7402000427246,2864.680206298828,3215.000232696533,3684.740245819092,3195.4202308654785,2751.2202072143555,3356.7602348327637,4874.260368347168,4314.000267028809,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(16:0)_QUAL,CAR,10733.06078338623,8535.06063079834,8683.080596923828,11417.940845489502,10594.80075454712,9302.600742340088,8848.860626220703,10059.46064376831,8098.400581359863,9700.3606300354,9618.180652618408,10090.540729522705,9071.66067123413,10054.440734863281,9547.600662231445,9434.720638275146,10528.140727996826,10044.460765838623,8539.660591125488,8794.640689849854,9000.28060913086,7867.400524139404,10262.560737609863,8838.42060470581,10390.000789642334,10161.540729522705,9633.640712738037,8428.70059967041,9115.260540008545,9243.080722808838,8664.300601959229,9399.940700531006,9953.800735473633,8665.48066329956,9995.260791778564,9997.760723114014,10214.500762939453,7741.760555267334,10204.160743713379,10733.06078338623,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(16:1),CAR,5797.720478057861,4300.260299682617,4465.480293273926,3519.440258026123,4364.000312805176,3765.640281677246,4026.2403106689453,3766.1202659606934,3811.6602363586426,3949.7202949523926,4139.180294036865,3288.7602500915527,3724.1202430725098,5640.060356140137,3882.700252532959,4069.700298309326,3732.540256500244,3961.1402740478516,3809.4202613830566,3782.260265350342,3962.4002685546875,4482.060279846191,3954.7802658081055,4066.840274810791,4592.720287322998,4493.200336456299,3397.7402420043945,3500.76025390625,3976.880302429199,3725.4402503967285,3471.0802574157715,4112.540302276611,4125.7602615356445,3542.4202461242676,4376.680328369141,3870.5802841186523,3310.6002349853516,4146.1202964782715,6740.820499420166,5797.720478057861,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR(16:1)_QUAL,CAR,11013.300758361816,7483.840553283691,7629.760551452637,6972.060459136963,7338.7404708862305,6851.060493469238,6862.440498352051,6118.960418701172,7036.680519104004,6702.340480804443,7115.600532531738,6322.220432281494,6575.200439453125,8070.640586853027,6159.020481109619,7192.020526885986,6483.500442504883,6176.120433807373,6671.220512390137,7409.320545196533,6458.120471954346,7970.100608825684,6434.880451202393,6327.900447845459,6241.060409545898,6899.760452270508,5701.520431518555,6413.980480194092,6515.540447235107,5556.020404815674,5312.140411376953,6645.760486602783,5221.940376281738,6600.140453338623,6549.700481414795,6624.360469818115,6965.220455169678,6089.40043258667,7972.0605545043945,11013.300758361816,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
