Lipid,Class,BlankBrain_NA_x,C-1BrainF_x,C-2BrainF_x,C-3BrainF_x,C-4BrainM_x,C-5BrainM_x,C-6BrainM_x,E-1BrainF_x,E-2BrainF_x,E-3BrainF_x,E-4BrainM_x,E-5BrainM_x,E-6BrainM_x,BlankBrain_NA_y,C-1BrainF_y,C-2BrainF_y,C-3BrainF_y,C-4BrainM_y,C-5BrainM_y,C-6BrainM_y,E-1BrainF_y,E-2BrainF_y,E-3BrainF_y,E-4BrainM_y,E-5BrainM_y,E-6BrainM_y,BlankBrain_NA,Title1,Title2,Title,length1,length2,Blank_name
CAR(10:3)_QUAL,CAR,9963.06069946289,5106.460369110107,4969.34033203125,4456.260334014893,5110.560356140137,4443.440319061279,4555.140354156494,5388.1203689575195,4703.080303192139,4563.3403244018555,5162.780376434326,4454.100318908691,4877.420352935791,9963.06069946289,5106.460369110107,4969.34033203125,4456.260334014893,5110.560356140137,4443.440319061279,4555.140354156494,5388.1203689575195,4703.080303192139,4563.3403244018555,5162.780376434326,4454.100318908691,4877.420352935791,9963.06069946289,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(11:0),CAR,4856.380348205566,3767.4002685546875,4078.760311126709,4876.260345458984,4789.080383300781,4078.5202713012695,4427.7802658081055,4054.300262451172,4441.660308837891,4519.920310974121,3749.400260925293,4882.880336761475,3824.160255432129,4856.380348205566,3767.4002685546875,4078.760311126709,4876.260345458984,4789.080383300781,4078.5202713012695,4427.7802658081055,4054.300262451172,4441.660308837891,4519.920310974121,3749.400260925293,4882.880336761475,3824.160255432129,4856.380348205566,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(11:0)_QUAL,CAR,5877.420421600342,5858.460426330566,5345.840343475342,5685.240364074707,5747.560432434082,5837.7603759765625,5559.1403732299805,5022.340305328369,5555.360404968262,5263.640365600586,6339.440452575684,6185.000492095947,5528.040386199951,5877.420421600342,5858.460426330566,5345.840343475342,5685.240364074707,5747.560432434082,5837.7603759765625,5559.1403732299805,5022.340305328369,5555.360404968262,5263.640365600586,6339.440452575684,6185.000492095947,5528.040386199951,5877.420421600342,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(12:0),CAR,3984.22029876709,2407.3601684570312,2614.2001876831055,2850.2001991271973,2258.340156555176,2876.1001930236816,2585.4201736450195,2804.580219268799,2718.6601943969727,2467.6601753234863,2853.6602096557617,2321.540168762207,3203.520221710205,3984.22029876709,2407.3601684570312,2614.2001876831055,2850.2001991271973,2258.340156555176,2876.1001930236816,2585.4201736450195,2804.580219268799,2718.6601943969727,2467.6601753234863,2853.6602096557617,2321.540168762207,3203.520221710205,3984.22029876709,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(12:0)_QUAL,CAR,6072.34049987793,6152.660449981689,5570.460391998291,5760.980396270752,6621.440475463867,5820.200435638428,6169.540420532227,6330.280448913574,6655.180442810059,6147.560474395752,6407.360431671143,6576.24044418335,6344.280414581299,6072.34049987793,6152.660449981689,5570.460391998291,5760.980396270752,6621.440475463867,5820.200435638428,6169.540420532227,6330.280448913574,6655.180442810059,6147.560474395752,6407.360431671143,6576.24044418335,6344.280414581299,6072.34049987793,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(14:0),CAR,3739.8202896118164,3864.4002571105957,3121.2402381896973,3352.7002487182617,3066.900192260742,3603.4002532958984,2900.360210418701,2766.8802070617676,2902.900192260742,3165.9202575683594,3294.5802268981934,3203.3401985168457,4202.900318145752,3739.8202896118164,3864.4002571105957,3121.2402381896973,3352.7002487182617,3066.900192260742,3603.4002532958984,2900.360210418701,2766.8802070617676,2902.900192260742,3165.9202575683594,3294.5802268981934,3203.3401985168457,4202.900318145752,3739.8202896118164,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(14:0)_QUAL,CAR,10098.500709533691,8198.540519714355,8273.46053314209,8506.760559082031,8804.820644378662,7223.20051574707,7892.480518341064,8988.660606384277,7128.420467376709,8946.5806350708,7988.600528717041,8283.560562133789,7892.180606842041,10098.500709533691,8198.540519714355,8273.46053314209,8506.760559082031,8804.820644378662,7223.20051574707,7892.480518341064,8988.660606384277,7128.420467376709,8946.5806350708,7988.600528717041,8283.560562133789,7892.180606842041,10098.500709533691,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(14:1),CAR,8637.660598754883,8362.560638427734,7858.68058013916,7951.580539703369,8617.240516662598,8583.780620574951,7750.900550842285,8487.10061264038,8829.520694732666,8634.680694580078,9618.0207862854,8247.840579986572,9104.200660705566,8637.660598754883,8362.560638427734,7858.68058013916,7951.580539703369,8617.240516662598,8583.780620574951,7750.900550842285,8487.10061264038,8829.520694732666,8634.680694580078,9618.0207862854,8247.840579986572,9104.200660705566,8637.660598754883,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(14:1)_QUAL,CAR,9287.540687561035,7491.900577545166,7110.260494232178,7226.28048324585,7225.060516357422,7869.3605880737305,6828.840419769287,7437.1005783081055,6466.920444488525,7012.980449676514,8554.980564117432,6808.720413208008,7521.14054107666,9287.540687561035,7491.900577545166,7110.260494232178,7226.28048324585,7225.060516357422,7869.3605880737305,6828.840419769287,7437.1005783081055,6466.920444488525,7012.980449676514,8554.980564117432,6808.720413208008,7521.14054107666,9287.540687561035,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(14:2),CAR,9306.600570678711,4912.820365905762,5937.260456085205,6236.460418701172,5483.180393218994,5357.320388793945,6173.520458221436,5857.000400543213,6730.460487365723,6098.180397033691,6052.340408325195,5902.460376739502,6162.120418548584,9306.600570678711,4912.820365905762,5937.260456085205,6236.460418701172,5483.180393218994,5357.320388793945,6173.520458221436,5857.000400543213,6730.460487365723,6098.180397033691,6052.340408325195,5902.460376739502,6162.120418548584,9306.600570678711,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(14:2)_QUAL,CAR,80536.3257446289,64399.72420883179,68111.26440048218,67613.34483718872,65949.12440490723,62480.94432449341,63152.68480682373,66297.52503967285,64377.864601135254,64357.14423751831,63761.66422653198,64953.98435211182,64717.84442138672,80536.3257446289,64399.72420883179,68111.26440048218,67613.34483718872,65949.12440490723,62480.94432449341,63152.68480682373,66297.52503967285,64377.864601135254,64357.14423751831,63761.66422653198,64953.98435211182,64717.84442138672,80536.3257446289,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(16:0),CAR,4314.000267028809,3083.840217590332,3117.900245666504,2944.7001991271973,2692.2602043151855,3402.900276184082,3078.4602088928223,3104.400218963623,3204.900218963623,3121.500244140625,3078.5602264404297,2994.380226135254,3006.9002227783203,4314.000267028809,3083.840217590332,3117.900245666504,2944.7001991271973,2692.2602043151855,3402.900276184082,3078.4602088928223,3104.400218963623,3204.900218963623,3121.500244140625,3078.5602264404297,2994.380226135254,3006.9002227783203,4314.000267028809,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(16:0)_QUAL,CAR,10733.06078338623,8535.06063079834,8683.080596923828,11417.940845489502,10594.80075454712,9302.600742340088,8848.860626220703,10059.46064376831,8098.400581359863,9700.3606300354,9618.180652618408,10090.540729522705,9071.66067123413,10733.06078338623,8535.06063079834,8683.080596923828,11417.940845489502,10594.80075454712,9302.600742340088,8848.860626220703,10059.46064376831,8098.400581359863,9700.3606300354,9618.180652618408,10090.540729522705,9071.66067123413,10733.06078338623,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(16:1),CAR,5797.720478057861,4300.260299682617,4465.480293273926,3519.440258026123,4364.000312805176,3765.640281677246,4026.2403106689453,3766.1202659606934,3811.6602363586426,3949.7202949523926,4139.180294036865,3288.7602500915527,3724.1202430725098,5797.720478057861,4300.260299682617,4465.480293273926,3519.440258026123,4364.000312805176,3765.640281677246,4026.2403106689453,3766.1202659606934,3811.6602363586426,3949.7202949523926,4139.180294036865,3288.7602500915527,3724.1202430725098,5797.720478057861,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(16:1)_QUAL,CAR,11013.300758361816,7483.840553283691,7629.760551452637,6972.060459136963,7338.7404708862305,6851.060493469238,6862.440498352051,6118.960418701172,7036.680519104004,6702.340480804443,7115.600532531738,6322.220432281494,6575.200439453125,11013.300758361816,7483.840553283691,7629.760551452637,6972.060459136963,7338.7404708862305,6851.060493469238,6862.440498352051,6118.960418701172,7036.680519104004,6702.340480804443,7115.600532531738,6322.220432281494,6575.200439453125,11013.300758361816,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(16:2),CAR,6465.920524597168,4416.520263671875,4268.400314331055,3752.4602813720703,3702.240219116211,3972.460273742676,4068.180335998535,3490.4402503967285,3947.760265350342,3555.480297088623,3581.8602294921875,3511.3602561950684,3822.780227661133,6465.920524597168,4416.520263671875,4268.400314331055,3752.4602813720703,3702.240219116211,3972.460273742676,4068.180335998535,3490.4402503967285,3947.760265350342,3555.480297088623,3581.8602294921875,3511.3602561950684,3822.780227661133,6465.920524597168,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(16:2)_QUAL,CAR,5021.320365905762,4448.420303344727,4990.920375823975,4495.02033996582,4717.240386962891,4415.840297698975,4163.980308532715,4829.640296936035,4336.440269470215,4746.800365447998,4030.4402618408203,5138.8403968811035,4897.700351715088,5021.320365905762,4448.420303344727,4990.920375823975,4495.02033996582,4717.240386962891,4415.840297698975,4163.980308532715,4829.640296936035,4336.440269470215,4746.800365447998,4030.4402618408203,5138.8403968811035,4897.700351715088,5021.320365905762,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(17:0),CAR,19686.281394958496,17942.92130279541,18313.161323547363,17123.681114196777,20577.22138595581,17928.121383666992,18336.121284484863,17340.461391448975,15553.421180725098,18384.84129714966,17699.141227722168,19725.641441345215,16789.341259002686,19686.281394958496,17942.92130279541,18313.161323547363,17123.681114196777,20577.22138595581,17928.121383666992,18336.121284484863,17340.461391448975,15553.421180725098,18384.84129714966,17699.141227722168,19725.641441345215,16789.341259002686,19686.281394958496,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(17:0)_QUAL,CAR,15632.661148071289,10426.28076171875,10769.640739440918,11047.360824584961,11337.5608253479,9943.040718078613,11060.960773468018,11162.800792694092,11006.860702514648,11980.180763244629,11329.100791931152,12518.940940856934,10228.700691223145,15632.661148071289,10426.28076171875,10769.640739440918,11047.360824584961,11337.5608253479,9943.040718078613,11060.960773468018,11162.800792694092,11006.860702514648,11980.180763244629,11329.100791931152,12518.940940856934,10228.700691223145,15632.661148071289,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(18:0),CAR,8575.28059387207,7509.680545806885,6711.160446166992,7846.460517883301,7023.500507354736,8523.500621795654,6987.46053314209,8424.480617523193,6278.320468902588,8571.260627746582,7254.900463104248,7339.5604820251465,7377.720504760742,8575.28059387207,7509.680545806885,6711.160446166992,7846.460517883301,7023.500507354736,8523.500621795654,6987.46053314209,8424.480617523193,6278.320468902588,8571.260627746582,7254.900463104248,7339.5604820251465,7377.720504760742,8575.28059387207,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(18:0)_QUAL,CAR,14055.081008911133,7738.800548553467,7050.900547027588,7133.660503387451,7094.780448913574,7978.000576019287,8403.760643005371,8613.96061706543,7612.080451965332,8470.160564422607,8217.340572357178,8224.780582427979,7251.900478363037,14055.081008911133,7738.800548553467,7050.900547027588,7133.660503387451,7094.780448913574,7978.000576019287,8403.760643005371,8613.96061706543,7612.080451965332,8470.160564422607,8217.340572357178,8224.780582427979,7251.900478363037,14055.081008911133,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(18:1),CAR,6257.400451660156,3997.4802589416504,4371.640296936035,3777.320243835449,3574.500228881836,3896.140277862549,3495.0402870178223,3601.5402793884277,4346.540309906006,3159.0002403259277,3204.3002433776855,3766.800247192383,4002.26029586792,6257.400451660156,3997.4802589416504,4371.640296936035,3777.320243835449,3574.500228881836,3896.140277862549,3495.0402870178223,3601.5402793884277,4346.540309906006,3159.0002403259277,3204.3002433776855,3766.800247192383,4002.26029586792,6257.400451660156,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(18:1)_QUAL,CAR,13669.480964660645,9939.320709228516,10508.02063369751,10698.700675964355,11233.720832824707,11141.120780944824,11511.94087600708,10361.140796661377,10057.880771636963,11858.420928955078,11081.580795288086,11089.240760803223,10118.840713500977,13669.480964660645,9939.320709228516,10508.02063369751,10698.700675964355,11233.720832824707,11141.120780944824,11511.94087600708,10361.140796661377,10057.880771636963,11858.420928955078,11081.580795288086,11089.240760803223,10118.840713500977,13669.480964660645,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(18:2),CAR,15570.361053466797,9196.300689697266,8206.48057937622,8919.980632781982,9109.260688781738,7355.100513458252,7530.680595397949,6760.080520629883,7987.480571746826,7828.160545349121,8071.420539855957,8123.300621032715,8500.160537719727,15570.361053466797,9196.300689697266,8206.48057937622,8919.980632781982,9109.260688781738,7355.100513458252,7530.680595397949,6760.080520629883,7987.480571746826,7828.160545349121,8071.420539855957,8123.300621032715,8500.160537719727,15570.361053466797,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(18:2)_QUAL,CAR,7260.000568389893,6603.440490722656,5922.400352478027,7090.68049621582,7112.280563354492,6632.760494232178,7366.840560913086,6845.240425109863,6295.980422973633,6889.260471343994,6954.900421142578,6873.660469055176,6997.800506591797,7260.000568389893,6603.440490722656,5922.400352478027,7090.68049621582,7112.280563354492,6632.760494232178,7366.840560913086,6845.240425109863,6295.980422973633,6889.260471343994,6954.900421142578,6873.660469055176,6997.800506591797,7260.000568389893,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(18:3),CAR,6574.480445861816,6821.2405128479,5876.46040725708,6970.780490875244,7284.840587615967,5354.960357666016,6649.040447235107,7566.600536346436,6982.880508422852,6971.080493927002,6923.940498352051,6061.020431518555,7284.4205322265625,6574.480445861816,6821.2405128479,5876.46040725708,6970.780490875244,7284.840587615967,5354.960357666016,6649.040447235107,7566.600536346436,6982.880508422852,6971.080493927002,6923.940498352051,6061.020431518555,7284.4205322265625,6574.480445861816,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(18:3)_QUAL,CAR,10625.70080947876,8608.680564880371,11424.420875549316,9919.540660858154,10877.820739746094,8840.52061843872,8614.260627746582,10055.700706481934,9837.120700836182,8483.640590667725,10364.800796508789,9489.60062789917,9872.160583496094,10625.70080947876,8608.680564880371,11424.420875549316,9919.540660858154,10877.820739746094,8840.52061843872,8614.260627746582,10055.700706481934,9837.120700836182,8483.640590667725,10364.800796508789,9489.60062789917,9872.160583496094,10625.70080947876,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(18:4),CAR,8512.540561676025,8267.760604858398,8047.620578765869,7991.3205642700195,6416.360485076904,7634.760494232178,8260.020610809326,8109.420574188232,7609.42053604126,8214.880596160889,7959.980571746826,6602.180438995361,7687.480506896973,8512.540561676025,8267.760604858398,8047.620578765869,7991.3205642700195,6416.360485076904,7634.760494232178,8260.020610809326,8109.420574188232,7609.42053604126,8214.880596160889,7959.980571746826,6602.180438995361,7687.480506896973,8512.540561676025,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(18:4)_QUAL,CAR,11509.580810546875,9712.900672912598,10423.620708465576,10448.68073272705,11344.480854034424,10563.000770568848,9611.6607131958,9983.780670166016,9779.84065246582,10335.220779418945,10198.260719299316,10306.040767669678,10502.760776519775,11509.580810546875,9712.900672912598,10423.620708465576,10448.68073272705,11344.480854034424,10563.000770568848,9611.6607131958,9983.780670166016,9779.84065246582,10335.220779418945,10198.260719299316,10306.040767669678,10502.760776519775,11509.580810546875,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(20:0),CAR,4040.3802795410156,3385.8802528381348,3035.2402267456055,3717.3602294921875,2821.0401878356934,3506.0602645874023,3741.220260620117,3406.5002403259277,3174.4602546691895,2814.2801971435547,2821.200183868408,3558.300266265869,3239.6201934814453,4040.3802795410156,3385.8802528381348,3035.2402267456055,3717.3602294921875,2821.0401878356934,3506.0602645874023,3741.220260620117,3406.5002403259277,3174.4602546691895,2814.2801971435547,2821.200183868408,3558.300266265869,3239.6201934814453,4040.3802795410156,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
