Lipid,Class,BlankBrain_NA_x,C-1BrainF,C-2BrainF,C-3BrainF,C-4BrainM,C-5BrainM,C-6BrainM,E-1BrainF,E-2BrainF,E-3BrainF,E-4BrainM,E-5BrainM,E-6BrainM,BlankRetina_NA,C-1RetinaF,C-2RetinaF,C-3RetinaF,C-4RetinaM,C-5RetinaM,C-6RetinaM,E-1RetinaF,E-2RetinaF,E-3RetinaF,E-4RetinaM,E-5RetinaM,E-6RetinaM,BlankBrain_NA_y,Title1,Title2,Title,length1,length2,Blank_name
CAR(10:0),CAR,3689.7602729797363,3072.320209503174,3397.100257873535,3490.2602577209473,2933.1202087402344,3471.0402488708496,3318.640239715576,3446.300220489502,3024.560188293457,3281.180233001709,3360.320266723633,3226.20023727417,3118.540210723877,3937.500259399414,3233.060234069824,3215.900230407715,3623.720241546631,3376.840263366699,3060.6601943969727,2865.480224609375,3268.360248565674,3187.5202407836914,3820.440258026123,2681.6401901245117,3446.140209197998,3407.400234222412,3689.7602729797363,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(10:0)_QUAL,CAR,19356.50132751465,17154.961280822754,18484.181339263916,20160.42151260376,20858.641452789307,19791.401485443115,18488.02127456665,19051.381298065186,19263.661403656006,19472.421325683594,19621.44150543213,18662.30125427246,17832.421253204346,20919.501525878906,20807.261562347412,18642.20133972168,18376.08123397827,17443.701286315918,17946.141235351562,18726.181240081787,18188.341262817383,19671.781414031982,19097.301303863525,11937.14073562622,21289.94147491455,17870.601150512695,19356.50132751465,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(10:1),CAR,6174.940448760986,5044.020389556885,5254.600399017334,5625.040416717529,5558.220420837402,5532.740421295166,4755.080360412598,4970.860363006592,5415.380432128906,5643.820415496826,6166.220386505127,5727.700412750244,6244.700435638428,6221.280464172363,6157.720497131348,6377.720436096191,6197.820472717285,4670.200313568115,5912.640472412109,5414.100372314453,5897.420433044434,5837.060413360596,5856.30041885376,3586.3002586364746,6107.820426940918,8482.340637207031,6174.940448760986,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(10:1)_QUAL,CAR,4806.960353851318,4411.720287322998,4846.360382080078,4901.480358123779,5035.240310668945,4052.860248565674,5011.980327606201,4747.500385284424,4344.42032623291,4998.920364379883,5106.680400848389,4142.520286560059,4318.020313262939,5183.06037902832,4086.28031539917,5084.340381622314,4647.580326080322,4616.3203125,4159.5002784729,4533.200328826904,4071.8203086853027,6004.480396270752,4216.960289001465,3897.3803100585938,5784.000396728516,4321.700305938721,4806.960353851318,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(10:2),CAR,6771.000469207764,4407.040309906006,5486.020401000977,4699.080299377441,4692.860328674316,5298.220344543457,4725.5602951049805,5126.160362243652,5108.220348358154,5757.460388183594,4778.120323181152,5540.060390472412,4694.580341339111,5557.540355682373,4600.520317077637,6015.64041519165,4825.460315704346,4875.320331573486,5113.640361785889,5120.300331115723,4899.800350189209,5547.08039855957,4778.90030670166,3020.0602416992188,6440.760410308838,5380.040355682373,6771.000469207764,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(10:2)_QUAL,CAR,32151.52230834961,26743.22173309326,27356.201942443848,27550.522003173828,28230.742038726807,27532.101928710938,25560.541915893555,26171.12204360962,26338.741771697998,26185.581924438477,26043.181922912598,28126.181911468506,27818.102020263672,36619.12268066406,24625.681617736816,25291.92193222046,26924.661823272705,26552.621780395508,25220.90167617798,28194.801845550537,25140.041748046875,27518.362064361572,26703.641857147217,21316.701610565186,25562.041927337646,24325.661571502686,32151.52230834961,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(10:3),CAR,9761.660720825195,7520.62056350708,7607.520454406738,7114.3005027771,8091.300514221191,7685.400527954102,7449.060493469238,8619.560604095459,8044.380577087402,7190.020538330078,7768.940544128418,9071.500732421875,8280.640628814697,10254.240707397461,7000.660457611084,8501.160591125488,7582.92053604126,6510.780460357666,7183.080535888672,7700.400611877441,7131.340492248535,7760.380527496338,8766.740661621094,4745.320301055908,9543.9206199646,6908.900478363037,9761.660720825195,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(10:3)_QUAL,CAR,9963.06069946289,5106.460369110107,4969.34033203125,4456.260334014893,5110.560356140137,4443.440319061279,4555.140354156494,5388.1203689575195,4703.080303192139,4563.3403244018555,5162.780376434326,4454.100318908691,4877.420352935791,8681.380661010742,4527.520305633545,4743.860332489014,4809.000354766846,4524.160301208496,5153.78035736084,5209.800430297852,5515.160396575928,5047.680316925049,5012.620361328125,3701.30025100708,4067.080310821533,4515.660343170166,9963.06069946289,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(11:0),CAR,4856.380348205566,3767.4002685546875,4078.760311126709,4876.260345458984,4789.080383300781,4078.5202713012695,4427.7802658081055,4054.300262451172,4441.660308837891,4519.920310974121,3749.400260925293,4882.880336761475,3824.160255432129,4568.280292510986,3312.9402046203613,4715.720325469971,4441.460285186768,3983.3602867126465,4053.080322265625,4138.300304412842,4043.820297241211,5038.200370788574,5274.920356750488,2998.8802337646484,4778.6603355407715,5586.8403968811035,4856.380348205566,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(11:0)_QUAL,CAR,5877.420421600342,5858.460426330566,5345.840343475342,5685.240364074707,5747.560432434082,5837.7603759765625,5559.1403732299805,5022.340305328369,5555.360404968262,5263.640365600586,6339.440452575684,6185.000492095947,5528.040386199951,5901.7403564453125,5092.520347595215,5625.380393981934,5446.240375518799,5299.56033706665,4852.600353240967,5468.140399932861,5995.080451965332,5941.460414886475,6362.260471343994,4626.900302886963,6529.820529937744,5169.320381164551,5877.420421600342,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(12:0),CAR,3984.22029876709,2407.3601684570312,2614.2001876831055,2850.2001991271973,2258.340156555176,2876.1001930236816,2585.4201736450195,2804.580219268799,2718.6601943969727,2467.6601753234863,2853.6602096557617,2321.540168762207,3203.520221710205,2399.880172729492,2382.5601806640625,2759.4202194213867,2519.2001876831055,2891.4402084350586,2350.220169067383,2668.440200805664,2901.0401649475098,2784.720199584961,2965.620216369629,2076.9001426696777,2419.200164794922,2758.740188598633,3984.22029876709,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(12:0)_QUAL,CAR,6072.34049987793,6152.660449981689,5570.460391998291,5760.980396270752,6621.440475463867,5820.200435638428,6169.540420532227,6330.280448913574,6655.180442810059,6147.560474395752,6407.360431671143,6576.24044418335,6344.280414581299,7206.760482788086,6631.520477294922,6036.020435333252,6695.120498657227,5795.560447692871,6536.820465087891,6185.060428619385,6375.240440368652,6265.02042388916,6101.820430755615,4653.080341339111,7638.940505981445,6568.6204261779785,6072.34049987793,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(14:0),CAR,3739.8202896118164,3864.4002571105957,3121.2402381896973,3352.7002487182617,3066.900192260742,3603.4002532958984,2900.360210418701,2766.8802070617676,2902.900192260742,3165.9202575683594,3294.5802268981934,3203.3401985168457,4202.900318145752,4334.780292510986,2852.000217437744,3757.3402214050293,2956.920234680176,3187.460216522217,3376.940212249756,3323.7402420043945,2686.600166320801,3034.9401893615723,3297.780261993408,2448.860179901123,3658.300235748291,3385.4202308654785,3739.8202896118164,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(14:0)_QUAL,CAR,10098.500709533691,8198.540519714355,8273.46053314209,8506.760559082031,8804.820644378662,7223.20051574707,7892.480518341064,8988.660606384277,7128.420467376709,8946.5806350708,7988.600528717041,8283.560562133789,7892.180606842041,9858.560703277588,7652.320518493652,8465.000667572021,8296.640613555908,8267.380603790283,8712.280643463135,8383.32054901123,8516.96057510376,8983.98067855835,8603.260662078857,6176.600456237793,9894.160781860352,7806.960529327393,10098.500709533691,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(14:1),CAR,8637.660598754883,8362.560638427734,7858.68058013916,7951.580539703369,8617.240516662598,8583.780620574951,7750.900550842285,8487.10061264038,8829.520694732666,8634.680694580078,9618.0207862854,8247.840579986572,9104.200660705566,9254.600639343262,7479.480445861816,8875.1206741333,8645.360572814941,8477.320640563965,8181.300609588623,8563.240604400635,7219.9005126953125,8355.040668487549,9131.120620727539,4324.080284118652,8983.080707550049,9340.000576019287,8637.660598754883,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(14:1)_QUAL,CAR,9287.540687561035,7491.900577545166,7110.260494232178,7226.28048324585,7225.060516357422,7869.3605880737305,6828.840419769287,7437.1005783081055,6466.920444488525,7012.980449676514,8554.980564117432,6808.720413208008,7521.14054107666,9894.140701293945,8613.26054763794,7063.180500030518,7314.7005615234375,6764.280517578125,7263.200511932373,7586.700531005859,7257.060512542725,6793.1204833984375,7939.520530700684,6399.080467224121,7240.940559387207,7677.660591125488,9287.540687561035,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(14:2),CAR,9306.600570678711,4912.820365905762,5937.260456085205,6236.460418701172,5483.180393218994,5357.320388793945,6173.520458221436,5857.000400543213,6730.460487365723,6098.180397033691,6052.340408325195,5902.460376739502,6162.120418548584,8088.980522155762,4883.140380859375,6041.800487518311,6040.180438995361,5217.500377655029,5494.680389404297,5844.140403747559,6245.380474090576,5867.300457000732,6328.920444488525,4820.90034866333,5332.7604331970215,5694.880397796631,9306.600570678711,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(14:2)_QUAL,CAR,80536.3257446289,64399.72420883179,68111.26440048218,67613.34483718872,65949.12440490723,62480.94432449341,63152.68480682373,66297.52503967285,64377.864601135254,64357.14423751831,63761.66422653198,64953.98435211182,64717.84442138672,86063.28564453125,67465.10520935059,65544.48472976685,68915.22458648682,66948.6248588562,65679.70500183105,69589.9848022461,64011.48472213745,68168.72520828247,66204.22443771362,49587.2833442688,63887.26514053345,65665.34441375732,80536.3257446289,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(16:0),CAR,4314.000267028809,3083.840217590332,3117.900245666504,2944.7001991271973,2692.2602043151855,3402.900276184082,3078.4602088928223,3104.400218963623,3204.900218963623,3121.500244140625,3078.5602264404297,2994.380226135254,3006.9002227783203,2950.5801963806152,2591.2001876831055,3089.1202087402344,2408.58016204834,3116.1002311706543,3233.3202209472656,2958.640205383301,3121.720226287842,2990.3001861572266,4028.18025970459,2797.240188598633,3416.2002601623535,2838.720203399658,4314.000267028809,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(16:0)_QUAL,CAR,10733.06078338623,8535.06063079834,8683.080596923828,11417.940845489502,10594.80075454712,9302.600742340088,8848.860626220703,10059.46064376831,8098.400581359863,9700.3606300354,9618.180652618408,10090.540729522705,9071.66067123413,9200.840656280518,8585.5806350708,10574.380687713623,10778.640701293945,10256.08067703247,9113.360626220703,9921.040748596191,8214.340587615967,9073.2406539917,9808.420700073242,7632.3005027771,9321.700714111328,9799.500644683838,10733.06078338623,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(16:1),CAR,5797.720478057861,4300.260299682617,4465.480293273926,3519.440258026123,4364.000312805176,3765.640281677246,4026.2403106689453,3766.1202659606934,3811.6602363586426,3949.7202949523926,4139.180294036865,3288.7602500915527,3724.1202430725098,4922.880382537842,4075.6802825927734,3755.460250854492,3382.6802406311035,3322.2602577209473,3983.540313720703,4525.440341949463,4490.48030090332,4482.840316772461,4287.740287780762,3333.720272064209,4397.880302429199,4028.380313873291,5797.720478057861,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(16:1)_QUAL,CAR,11013.300758361816,7483.840553283691,7629.760551452637,6972.060459136963,7338.7404708862305,6851.060493469238,6862.440498352051,6118.960418701172,7036.680519104004,6702.340480804443,7115.600532531738,6322.220432281494,6575.200439453125,8461.340522766113,6190.880420684814,7239.760482788086,6601.840484619141,5947.900413513184,6428.500453948975,6267.94047164917,6276.520446777344,7078.780475616455,7681.280536651611,5858.060375213623,7343.020565032959,7348.540584564209,11013.300758361816,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(16:2),CAR,6465.920524597168,4416.520263671875,4268.400314331055,3752.4602813720703,3702.240219116211,3972.460273742676,4068.180335998535,3490.4402503967285,3947.760265350342,3555.480297088623,3581.8602294921875,3511.3602561950684,3822.780227661133,5841.760414123535,4141.660270690918,3536.4402656555176,3250.3602294921875,3730.360252380371,3372.7602157592773,3787.800235748291,3695.9802474975586,3388.6202392578125,3718.4602661132812,2820.5201988220215,4142.46028137207,4713.9203453063965,6465.920524597168,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(16:2)_QUAL,CAR,5021.320365905762,4448.420303344727,4990.920375823975,4495.02033996582,4717.240386962891,4415.840297698975,4163.980308532715,4829.640296936035,4336.440269470215,4746.800365447998,4030.4402618408203,5138.8403968811035,4897.700351715088,5626.540390014648,4173.700332641602,5018.120384216309,3901.100296020508,4877.500331878662,4401.220294952393,4779.680324554443,4378.5003089904785,4997.820365905762,4379.760265350342,3319.000255584717,5430.300380706787,4442.880332946777,5021.320365905762,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(17:0),CAR,19686.281394958496,17942.92130279541,18313.161323547363,17123.681114196777,20577.22138595581,17928.121383666992,18336.121284484863,17340.461391448975,15553.421180725098,18384.84129714966,17699.141227722168,19725.641441345215,16789.341259002686,19885.561435699463,19467.62131881714,18332.36127090454,17962.481384277344,19958.881565093994,18600.881271362305,15394.201118469238,18023.301189422607,20435.70139694214,19477.141368865967,12249.000930786133,21623.961429595947,18226.82134628296,19686.281394958496,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(17:0)_QUAL,CAR,15632.661148071289,10426.28076171875,10769.640739440918,11047.360824584961,11337.5608253479,9943.040718078613,11060.960773468018,11162.800792694092,11006.860702514648,11980.180763244629,11329.100791931152,12518.940940856934,10228.700691223145,15221.94104385376,10613.500732421875,11421.40083694458,11478.720825195312,11353.160816192627,11270.680778503418,10846.660808563232,10319.200824737549,12074.200824737549,10918.260803222656,8920.8205909729,12948.200981140137,11401.640808105469,15632.661148071289,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(18:0),CAR,8575.28059387207,7509.680545806885,6711.160446166992,7846.460517883301,7023.500507354736,8523.500621795654,6987.46053314209,8424.480617523193,6278.320468902588,8571.260627746582,7254.900463104248,7339.5604820251465,7377.720504760742,9710.38070678711,7662.880542755127,7983.820560455322,7513.040603637695,8343.3205909729,6734.44047164917,8282.50059890747,7990.000583648682,7662.080585479736,8443.140617370605,5569.780406951904,8060.160587310791,7715.920543670654,8575.28059387207,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(18:0)_QUAL,CAR,14055.081008911133,7738.800548553467,7050.900547027588,7133.660503387451,7094.780448913574,7978.000576019287,8403.760643005371,8613.96061706543,7612.080451965332,8470.160564422607,8217.340572357178,8224.780582427979,7251.900478363037,10762.860626220703,9257.380653381348,8412.620597839355,8602.52057647705,7109.300453186035,8072.480587005615,7354.000526428223,8322.840560913086,8431.860576629639,8057.040550231934,7411.2604904174805,8811.260650634766,8052.8606033325195,14055.081008911133,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(18:1),CAR,6257.400451660156,3997.4802589416504,4371.640296936035,3777.320243835449,3574.500228881836,3896.140277862549,3495.0402870178223,3601.5402793884277,4346.540309906006,3159.0002403259277,3204.3002433776855,3766.800247192383,4002.26029586792,5432.360347747803,4470.5003089904785,3692.520233154297,3792.720272064209,3758.9002532958984,4197.820327758789,4035.560256958008,3522.3002433776855,3423.060245513916,4720.980327606201,3395.060245513916,3386.5802688598633,5145.820373535156,6257.400451660156,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(18:1)_QUAL,CAR,13669.480964660645,9939.320709228516,10508.02063369751,10698.700675964355,11233.720832824707,11141.120780944824,11511.94087600708,10361.140796661377,10057.880771636963,11858.420928955078,11081.580795288086,11089.240760803223,10118.840713500977,11794.140872955322,11295.34079360962,11977.820835113525,11575.54084777832,8413.140625,9767.84065246582,10401.120803833008,11443.140811920166,10976.50082397461,10719.500736236572,8377.800552368164,10329.56069946289,10466.060768127441,13669.480964660645,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(18:2),CAR,15570.361053466797,9196.300689697266,8206.48057937622,8919.980632781982,9109.260688781738,7355.100513458252,7530.680595397949,6760.080520629883,7987.480571746826,7828.160545349121,8071.420539855957,8123.300621032715,8500.160537719727,11196.740787506104,8361.160587310791,8043.960590362549,9103.02066040039,7872.180591583252,7850.920593261719,7361.760536193848,7632.580554962158,8199.220581054688,8414.760562896729,5813.920375823975,7008.1804847717285,8586.200664520264,15570.361053466797,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(18:2)_QUAL,CAR,7260.000568389893,6603.440490722656,5922.400352478027,7090.68049621582,7112.280563354492,6632.760494232178,7366.840560913086,6845.240425109863,6295.980422973633,6889.260471343994,6954.900421142578,6873.660469055176,6997.800506591797,7871.120586395264,6925.840476989746,6300.240455627441,6391.620464324951,7150.820453643799,7607.920528411865,6163.500431060791,6399.580375671387,6239.620418548584,5956.200458526611,5809.000465393066,7839.380573272705,7272.360492706299,7260.000568389893,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(18:3),CAR,6574.480445861816,6821.2405128479,5876.46040725708,6970.780490875244,7284.840587615967,5354.960357666016,6649.040447235107,7566.600536346436,6982.880508422852,6971.080493927002,6923.940498352051,6061.020431518555,7284.4205322265625,7325.460556030273,6510.200462341309,6623.520496368408,6638.840427398682,5902.100444793701,6378.160472869873,5869.46040725708,6192.600402832031,6731.440456390381,7208.140464782715,4922.900341033936,7775.420558929443,7159.940460205078,6574.480445861816,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(18:3)_QUAL,CAR,10625.70080947876,8608.680564880371,11424.420875549316,9919.540660858154,10877.820739746094,8840.52061843872,8614.260627746582,10055.700706481934,9837.120700836182,8483.640590667725,10364.800796508789,9489.60062789917,9872.160583496094,11216.700736999512,10205.240631103516,9012.960674285889,9508.720649719238,10338.180812835693,9019.46064376831,8856.500720977783,8771.940658569336,9411.740688323975,10452.840675354004,7626.480522155762,10566.220764160156,8777.640621185303,10625.70080947876,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(18:4),CAR,8512.540561676025,8267.760604858398,8047.620578765869,7991.3205642700195,6416.360485076904,7634.760494232178,8260.020610809326,8109.420574188232,7609.42053604126,8214.880596160889,7959.980571746826,6602.180438995361,7687.480506896973,8433.020557403564,6636.120464324951,6663.140419006348,7932.220569610596,7929.520542144775,8620.74055480957,8693.520557403564,6995.20051574707,8556.680610656738,9056.480548858643,4252.580261230469,6526.480491638184,7045.160537719727,8512.540561676025,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(18:4)_QUAL,CAR,11509.580810546875,9712.900672912598,10423.620708465576,10448.68073272705,11344.480854034424,10563.000770568848,9611.6607131958,9983.780670166016,9779.84065246582,10335.220779418945,10198.260719299316,10306.040767669678,10502.760776519775,10192.720687866211,11039.980758666992,11298.260776519775,10399.680652618408,9575.380561828613,9502.460693359375,10119.060688018799,11122.040752410889,10482.660751342773,11442.040760040283,8047.860542297363,12092.56078338623,10681.060718536377,11509.580810546875,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR(20:0),CAR,4040.3802795410156,3385.8802528381348,3035.2402267456055,3717.3602294921875,2821.0401878356934,3506.0602645874023,3741.220260620117,3406.5002403259277,3174.4602546691895,2814.2801971435547,2821.200183868408,3558.300266265869,3239.6201934814453,4705.360313415527,3384.100242614746,3022.480194091797,3749.000270843506,3474.1403007507324,2981.0402030944824,2733.600166320801,3618.500270843506,3619.4002685546875,3592.840274810791,2336.4601516723633,3461.2002449035645,3033.180221557617,4040.3802795410156,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
