Lipid,Class,BlankLiver_NA,C-1LiverF,C-2LiverF,C-3LiverF,C-4LiverM,C-5LiverM,C-6LiverM,E-1LiverF,E-2LiverF,E-3LiverF,E-4LiverM,E-5LiverM,E-6LiverM,BlankBrain_NA_x,C-1BrainF,C-2BrainF,C-3BrainF,C-4BrainM,C-5BrainM,C-6BrainM,E-1BrainF,E-2BrainF,E-3BrainF,E-4BrainM,E-5BrainM,E-6BrainM,BlankBrain_NA_y,Title1,Title2,Title,length1,length2,Blank_name
CAR(10:2),CAR,6204.820476531982,4706.060340881348,4359.280307769775,4524.640357971191,5280.780445098877,4846.100360870361,5503.5803871154785,4521.7203369140625,5404.980388641357,4981.060298919678,4535.180335998535,4687.760341644287,4908.020378112793,6771.000469207764,4407.040309906006,5486.020401000977,4699.080299377441,4692.860328674316,5298.220344543457,4725.5602951049805,5126.160362243652,5108.220348358154,5757.460388183594,4778.120323181152,5540.060390472412,4694.580341339111,6771.000469207764,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(10:2)_QUAL,CAR,29613.062057495117,26010.421783447266,25195.0818901062,25156.961750030518,27924.981784820557,26674.641819000244,27197.181854248047,27648.52182006836,25043.28175354004,28256.761962890625,27366.181732177734,26358.96174621582,28333.02214050293,32151.52230834961,26743.22173309326,27356.201942443848,27550.522003173828,28230.742038726807,27532.101928710938,25560.541915893555,26171.12204360962,26338.741771697998,26185.581924438477,26043.181922912598,28126.181911468506,27818.102020263672,32151.52230834961,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(10:3),CAR,8831.660594940186,7974.460578918457,8090.580593109131,8055.860538482666,7087.840503692627,7570.800491333008,7249.260513305664,8240.54063796997,7900.840534210205,7323.840522766113,7929.440567016602,6978.520462036133,7319.920505523682,9761.660720825195,7520.62056350708,7607.520454406738,7114.3005027771,8091.300514221191,7685.400527954102,7449.060493469238,8619.560604095459,8044.380577087402,7190.020538330078,7768.940544128418,9071.500732421875,8280.640628814697,9761.660720825195,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(10:3)_QUAL,CAR,6838.400508880615,4926.780368804932,4740.8003578186035,5426.0203857421875,5153.4003982543945,5718.820400238037,4808.420360565186,4127.500259399414,5581.020362854004,5510.900402069092,5000.700355529785,4822.760307312012,5189.680374145508,9963.06069946289,5106.460369110107,4969.34033203125,4456.260334014893,5110.560356140137,4443.440319061279,4555.140354156494,5388.1203689575195,4703.080303192139,4563.3403244018555,5162.780376434326,4454.100318908691,4877.420352935791,9963.06069946289,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(11:0),CAR,3882.540252685547,3846.90030670166,3642.2402381896973,3966.4202842712402,4049.060314178467,4074.540256500244,4194.940296173096,5316.260353088379,4631.420310974121,5174.080345153809,4827.860389709473,4224.620288848877,4291.140327453613,4856.380348205566,3767.4002685546875,4078.760311126709,4876.260345458984,4789.080383300781,4078.5202713012695,4427.7802658081055,4054.300262451172,4441.660308837891,4519.920310974121,3749.400260925293,4882.880336761475,3824.160255432129,4856.380348205566,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(11:0)_QUAL,CAR,5357.180374145508,5604.460426330566,5575.940418243408,5450.0203857421875,6477.540496826172,5515.98034286499,5629.780406951904,6348.580451965332,5301.800323486328,5803.580417633057,6463.660411834717,5808.740417480469,5727.080368041992,5877.420421600342,5858.460426330566,5345.840343475342,5685.240364074707,5747.560432434082,5837.7603759765625,5559.1403732299805,5022.340305328369,5555.360404968262,5263.640365600586,6339.440452575684,6185.000492095947,5528.040386199951,5877.420421600342,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(12:0),CAR,2844.960189819336,2692.000202178955,2748.1401748657227,2409.8801651000977,2396.080165863037,2604.9002075195312,2474.340202331543,2180.0801582336426,2982.940185546875,3219.6202430725098,2335.500160217285,2164.5201568603516,2789.1801948547363,3984.22029876709,2407.3601684570312,2614.2001876831055,2850.2001991271973,2258.340156555176,2876.1001930236816,2585.4201736450195,2804.580219268799,2718.6601943969727,2467.6601753234863,2853.6602096557617,2321.540168762207,3203.520221710205,3984.22029876709,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(12:0)_QUAL,CAR,6576.5405349731445,5508.920387268066,5634.940361022949,5822.740440368652,6138.360454559326,6473.1604652404785,7048.560565948486,6069.660446166992,5990.200416564941,6437.480495452881,6213.0604820251465,6356.860408782959,5505.860374450684,6072.34049987793,6152.660449981689,5570.460391998291,5760.980396270752,6621.440475463867,5820.200435638428,6169.540420532227,6330.280448913574,6655.180442810059,6147.560474395752,6407.360431671143,6576.24044418335,6344.280414581299,6072.34049987793,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(14:0),CAR,3511.9802589416504,3441.320243835449,3205.8602447509766,3192.980239868164,3106.8002128601074,2684.8601875305176,3630.040241241455,3349.8202323913574,2889.600212097168,3035.6402168273926,3249.9002227783203,3117.0201988220215,2768.600212097168,3739.8202896118164,3864.4002571105957,3121.2402381896973,3352.7002487182617,3066.900192260742,3603.4002532958984,2900.360210418701,2766.8802070617676,2902.900192260742,3165.9202575683594,3294.5802268981934,3203.3401985168457,4202.900318145752,3739.8202896118164,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(14:0)_QUAL,CAR,7586.900596618652,7436.700572967529,7742.5605392456055,6667.68049621582,8157.420520782471,7755.900543212891,9201.80061340332,7369.220539093018,8160.640529632568,7827.18049621582,7644.58056640625,7681.080471038818,8919.920673370361,10098.500709533691,8198.540519714355,8273.46053314209,8506.760559082031,8804.820644378662,7223.20051574707,7892.480518341064,8988.660606384277,7128.420467376709,8946.5806350708,7988.600528717041,8283.560562133789,7892.180606842041,10098.500709533691,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(14:1),CAR,8305.360622406006,8577.240509033203,7983.020553588867,9028.160636901855,8728.30057144165,8628.42060470581,8286.180557250977,9302.440719604492,8408.820613861084,8641.060577392578,9702.060661315918,8364.960620880127,8662.780586242676,8637.660598754883,8362.560638427734,7858.68058013916,7951.580539703369,8617.240516662598,8583.780620574951,7750.900550842285,8487.10061264038,8829.520694732666,8634.680694580078,9618.0207862854,8247.840579986572,9104.200660705566,8637.660598754883,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(14:1)_QUAL,CAR,8977.920623779297,6441.3404541015625,8962.800689697266,7054.860504150391,7147.0405197143555,7043.660484313965,7139.240497589111,7225.580513000488,6679.800437927246,5918.860446929932,6793.180515289307,7359.680515289307,7155.7004470825195,9287.540687561035,7491.900577545166,7110.260494232178,7226.28048324585,7225.060516357422,7869.3605880737305,6828.840419769287,7437.1005783081055,6466.920444488525,7012.980449676514,8554.980564117432,6808.720413208008,7521.14054107666,9287.540687561035,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(14:2),CAR,6309.140453338623,5788.700435638428,6580.600494384766,6084.440464019775,6151.700408935547,5781.460475921631,5313.060409545898,6222.840442657471,5045.460342407227,5207.760356903076,5130.400352478027,6246.540454864502,6241.320518493652,9306.600570678711,4912.820365905762,5937.260456085205,6236.460418701172,5483.180393218994,5357.320388793945,6173.520458221436,5857.000400543213,6730.460487365723,6098.180397033691,6052.340408325195,5902.460376739502,6162.120418548584,9306.600570678711,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(14:2)_QUAL,CAR,76123.56521606445,64822.88501358032,62942.92421722412,65343.524517059326,68581.92517471313,62262.604290008545,64973.72484970093,65088.46443557739,67311.6247253418,65140.66478347778,64701.64421081543,67799.34468078613,62830.924896240234,80536.3257446289,64399.72420883179,68111.26440048218,67613.34483718872,65949.12440490723,62480.94432449341,63152.68480682373,66297.52503967285,64377.864601135254,64357.14423751831,63761.66422653198,64953.98435211182,64717.84442138672,80536.3257446289,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(16:0),CAR,3157.900215148926,3101.880195617676,2955.760208129883,2908.620204925537,2951.7001991271973,3065.440212249756,3351.340229034424,3145.6602363586426,3010.120204925537,2866.3201904296875,3282.960235595703,3359.020248413086,3291.680244445801,4314.000267028809,3083.840217590332,3117.900245666504,2944.7001991271973,2692.2602043151855,3402.900276184082,3078.4602088928223,3104.400218963623,3204.900218963623,3121.500244140625,3078.5602264404297,2994.380226135254,3006.9002227783203,4314.000267028809,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(16:0)_QUAL,CAR,9474.080631256104,8622.120620727539,9881.760696411133,9239.000621795654,9232.180629730225,8923.900554656982,10061.220672607422,9119.520679473877,9159.540580749512,10573.500648498535,10065.360786437988,9309.48066329956,10289.680717468262,10733.06078338623,8535.06063079834,8683.080596923828,11417.940845489502,10594.80075454712,9302.600742340088,8848.860626220703,10059.46064376831,8098.400581359863,9700.3606300354,9618.180652618408,10090.540729522705,9071.66067123413,10733.06078338623,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(16:1),CAR,4979.880409240723,3874.140266418457,3957.2603034973145,3483.780227661133,3900.000312805176,3405.9602699279785,3938.180263519287,4407.940319061279,3260.32022857666,3555.9202575683594,2817.0602073669434,3348.0202255249023,3378.3802337646484,5797.720478057861,4300.260299682617,4465.480293273926,3519.440258026123,4364.000312805176,3765.640281677246,4026.2403106689453,3766.1202659606934,3811.6602363586426,3949.7202949523926,4139.180294036865,3288.7602500915527,3724.1202430725098,5797.720478057861,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(16:1)_QUAL,CAR,7183.140579223633,6680.6004638671875,6360.820487976074,5918.700412750244,7174.3204917907715,7095.660568237305,6401.960464477539,7528.42057800293,5890.060455322266,6089.100479125977,6625.080455780029,6373.840469360352,5660.400367736816,11013.300758361816,7483.840553283691,7629.760551452637,6972.060459136963,7338.7404708862305,6851.060493469238,6862.440498352051,6118.960418701172,7036.680519104004,6702.340480804443,7115.600532531738,6322.220432281494,6575.200439453125,11013.300758361816,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(16:2),CAR,5766.240409851074,3983.7802696228027,3362.8202323913574,4022.300262451172,3828.2202949523926,4181.420295715332,3793.2402877807617,3978.0402870178223,3610.5602493286133,3712.9203147888184,4336.180320739746,4396.6403160095215,3822.3002967834473,6465.920524597168,4416.520263671875,4268.400314331055,3752.4602813720703,3702.240219116211,3972.460273742676,4068.180335998535,3490.4402503967285,3947.760265350342,3555.480297088623,3581.8602294921875,3511.3602561950684,3822.780227661133,6465.920524597168,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(16:2)_QUAL,CAR,4601.640350341797,4292.300304412842,4602.140338897705,4253.220291137695,4327.500312805176,4612.260341644287,3928.0402488708496,4413.960296630859,4446.28035736084,3892.6002922058105,4873.800327301025,4672.300312042236,4307.780303955078,5021.320365905762,4448.420303344727,4990.920375823975,4495.02033996582,4717.240386962891,4415.840297698975,4163.980308532715,4829.640296936035,4336.440269470215,4746.800365447998,4030.4402618408203,5138.8403968811035,4897.700351715088,5021.320365905762,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(17:0),CAR,19033.321395874023,18687.12130355835,18215.36131668091,18137.201389312744,17718.261386871338,17619.321437835693,18311.361331939697,17852.501209259033,18787.161365509033,17592.78127670288,16836.261108398438,18389.801193237305,17223.961170196533,19686.281394958496,17942.92130279541,18313.161323547363,17123.681114196777,20577.22138595581,17928.121383666992,18336.121284484863,17340.461391448975,15553.421180725098,18384.84129714966,17699.141227722168,19725.641441345215,16789.341259002686,19686.281394958496,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(17:0)_QUAL,CAR,13917.861030578613,9554.640739440918,10413.280704498291,11217.160865783691,10230.520732879639,10732.600826263428,10532.580730438232,11103.620807647705,11712.320835113525,10988.640842437744,11407.220905303955,10776.10075378418,12284.980899810791,15632.661148071289,10426.28076171875,10769.640739440918,11047.360824584961,11337.5608253479,9943.040718078613,11060.960773468018,11162.800792694092,11006.860702514648,11980.180763244629,11329.100791931152,12518.940940856934,10228.700691223145,15632.661148071289,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(18:0),CAR,9173.780704498291,8154.140613555908,7743.620555877686,7708.940593719482,8479.600532531738,7910.420505523682,8373.44058227539,6968.680442810059,8292.380603790283,8006.520568847656,7311.440517425537,7184.260517120361,7404.080493927002,8575.28059387207,7509.680545806885,6711.160446166992,7846.460517883301,7023.500507354736,8523.500621795654,6987.46053314209,8424.480617523193,6278.320468902588,8571.260627746582,7254.900463104248,7339.5604820251465,7377.720504760742,8575.28059387207,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(18:0)_QUAL,CAR,9505.28071975708,7912.780532836914,7325.920558929443,8134.040576934814,7828.6605796813965,7444.320552825928,8742.220546722412,7902.120555877686,8336.22057723999,8992.920589447021,7571.840530395508,8365.82069015503,8965.400630950928,14055.081008911133,7738.800548553467,7050.900547027588,7133.660503387451,7094.780448913574,7978.000576019287,8403.760643005371,8613.96061706543,7612.080451965332,8470.160564422607,8217.340572357178,8224.780582427979,7251.900478363037,14055.081008911133,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(18:1),CAR,5805.800403594971,3826.500289916992,3270.3602256774902,3288.3002281188965,3687.940269470215,3535.5802688598633,4061.400302886963,3513.280284881592,3460.7002487182617,4038.6603240966797,3092.1402130126953,3897.2002754211426,4241.760292053223,6257.400451660156,3997.4802589416504,4371.640296936035,3777.320243835449,3574.500228881836,3896.140277862549,3495.0402870178223,3601.5402793884277,4346.540309906006,3159.0002403259277,3204.3002433776855,3766.800247192383,4002.26029586792,6257.400451660156,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(18:1)_QUAL,CAR,11765.6608543396,10293.180736541748,10614.400825500488,10461.780799865723,10364.46076965332,10328.480735778809,10877.900688171387,10233.120765686035,9564.420692443848,9869.680644989014,10619.560771942139,11080.540824890137,12222.040828704834,13669.480964660645,9939.320709228516,10508.02063369751,10698.700675964355,11233.720832824707,11141.120780944824,11511.94087600708,10361.140796661377,10057.880771636963,11858.420928955078,11081.580795288086,11089.240760803223,10118.840713500977,13669.480964660645,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(18:2),CAR,10318.140769958496,8157.240528106689,8337.760597229004,8177.840595245361,6412.080432891846,7628.140544891357,7123.280536651611,8283.300594329834,7387.400485992432,7914.300594329834,8084.540622711182,7852.220527648926,7551.460544586182,15570.361053466797,9196.300689697266,8206.48057937622,8919.980632781982,9109.260688781738,7355.100513458252,7530.680595397949,6760.080520629883,7987.480571746826,7828.160545349121,8071.420539855957,8123.300621032715,8500.160537719727,15570.361053466797,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(18:2)_QUAL,CAR,7428.72053527832,5704.340404510498,6291.540466308594,5616.880420684814,6819.82048034668,6466.300468444824,6869.200492858887,6565.0204429626465,6016.240409851074,6584.420433044434,6127.480445861816,7209.400444030762,6982.920444488525,7260.000568389893,6603.440490722656,5922.400352478027,7090.68049621582,7112.280563354492,6632.760494232178,7366.840560913086,6845.240425109863,6295.980422973633,6889.260471343994,6954.900421142578,6873.660469055176,6997.800506591797,7260.000568389893,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(18:3),CAR,7157.480495452881,6824.6605224609375,6921.460487365723,6272.060417175293,6219.680442810059,6551.680465698242,6392.0804443359375,6552.42049407959,5711.900363922119,7466.040500640869,7169.50048828125,6579.920394897461,5794.480388641357,6574.480445861816,6821.2405128479,5876.46040725708,6970.780490875244,7284.840587615967,5354.960357666016,6649.040447235107,7566.600536346436,6982.880508422852,6971.080493927002,6923.940498352051,6061.020431518555,7284.4205322265625,6574.480445861816,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(18:3)_QUAL,CAR,10179.32063293457,9389.320739746094,8795.260528564453,8016.060585021973,8995.880653381348,10033.280586242676,10843.620780944824,9734.040672302246,9037.520694732666,9910.020729064941,9967.600734710693,10545.400764465332,10186.660682678223,10625.70080947876,8608.680564880371,11424.420875549316,9919.540660858154,10877.820739746094,8840.52061843872,8614.260627746582,10055.700706481934,9837.120700836182,8483.640590667725,10364.800796508789,9489.60062789917,9872.160583496094,10625.70080947876,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(18:4),CAR,8505.700576782227,7889.0805015563965,8831.120700836182,7542.960556030273,7237.320472717285,7778.880558013916,7013.72053527832,8443.56061553955,7863.66056060791,8167.340579986572,7970.780662536621,7590.58056640625,7474.400535583496,8512.540561676025,8267.760604858398,8047.620578765869,7991.3205642700195,6416.360485076904,7634.760494232178,8260.020610809326,8109.420574188232,7609.42053604126,8214.880596160889,7959.980571746826,6602.180438995361,7687.480506896973,8512.540561676025,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(18:4)_QUAL,CAR,11260.06079864502,8529.060550689697,8806.340572357178,10582.040733337402,10019.240737915039,9796.80071258545,10442.720790863037,10498.100791931152,10282.940658569336,9924.800720214844,10076.640743255615,10112.340721130371,9715.460678100586,11509.580810546875,9712.900672912598,10423.620708465576,10448.68073272705,11344.480854034424,10563.000770568848,9611.6607131958,9983.780670166016,9779.84065246582,10335.220779418945,10198.260719299316,10306.040767669678,10502.760776519775,11509.580810546875,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(20:0),CAR,3675.6602935791016,3409.8402709960938,3195.2002296447754,2912.7001991271973,3483.9402389526367,3411.0002403259277,3088.200225830078,3384.360252380371,3431.540241241455,3259.2202072143555,3770.320297241211,3989.840316772461,3523.4602279663086,4040.3802795410156,3385.8802528381348,3035.2402267456055,3717.3602294921875,2821.0401878356934,3506.0602645874023,3741.220260620117,3406.5002403259277,3174.4602546691895,2814.2801971435547,2821.200183868408,3558.300266265869,3239.6201934814453,4040.3802795410156,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
