Lipid,Class,BlankBrain_NA_x,E-5BrainM,E-6BrainM,BlankLiver_NA,E-4LiverM,E-5LiverM,E-6LiverM,BlankBrain_NA_y,Title1,Title2,Title,length1,length2,Blank_name
[TG(56:13)|TG(55:6)]_FA22:6,TAG,1527.5801124572754,1534.5801086425781,1686.8401069641113,1522.720115661621,2498.62020111084,3054.2802391052246,3092.840217590332,1527.5801124572754,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(56:6)]_FA22:6,TAG,1626.8601150512695,1610.5801277160645,1676.8601341247559,1533.600112915039,11019.08076095581,10488.600639343262,22858.361740112305,1626.8601150512695,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(56:7)|TG(55:0)]_FA22:6,TAG,1709.2201194763184,1691.8401222229004,1674.4401206970215,1602.200122833252,133064.69036102295,109141.48782348633,401523.0698547363,1709.2201194763184,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(56:8)|TG(55:1)]_FA22:6,TAG,1924.4001388549805,1606.0201301574707,1517.9801063537598,1751.2001304626465,113437.58730316162,91263.06567382812,340626.9660797119,1924.4001388549805,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(56:9)|TG(55:2)]_FA22:6,TAG,1568.6401138305664,1500.2001152038574,1581.500114440918,1511.0001182556152,13120.100955963135,9706.500701904297,33447.20229721069,1568.6401138305664,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(57:10)|TG(56:3)]_FA22:6,TAG,1500.7601127624512,1545.1001052856445,1607.100112915039,1497.0401000976562,1738.8801155090332,1912.2001419067383,1946.7801322937012,1500.7601127624512,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(57:11)|TG(56:4)]_FA22:6,TAG,1556.4401016235352,1571.4401092529297,1641.9001159667969,1496.5001106262207,1755.1601181030273,1654.7601127624512,1884.220157623291,1556.4401016235352,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(57:12)|TG(56:5)]_FA22:6,TAG,1619.7401123046875,1496.6201171875,1498.0001106262207,1566.8000984191895,1929.8801345825195,2110.4001502990723,2561.320171356201,1619.7401123046875,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(57:8)|TG(56:1)]_FA22:6,TAG,1517.16011428833,1545.8401069641113,1498.9601097106934,1496.0401000976562,2539.8201751708984,3013.400215148926,4636.860290527344,1517.16011428833,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(57:9)|TG(56:2)]_FA22:6,TAG,1541.9401054382324,1574.4201126098633,1634.440113067627,1568.520107269287,1801.8001174926758,2403.8001594543457,2665.040180206299,1541.9401054382324,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(58:10)|TG(57:3)]_FA22:6,TAG,1520.340103149414,1497.4001083374023,1578.5201110839844,1573.7201080322266,11871.760749816895,10128.060764312744,21163.82147216797,1520.340103149414,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(58:11)|TG(57:4)]_FA22:6,TAG,1544.0201110839844,1521.8401069641113,1578.9201202392578,1510.780101776123,4278.94030380249,3797.580280303955,7784.660537719727,1544.0201110839844,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(58:12)|TG(57:5)]_FA22:6,TAG,1500.720100402832,1552.1001205444336,1542.8801155090332,1509.1201133728027,2292.3201484680176,2383.500156402588,1703.2201309204102,1500.720100402832,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(58:13)|TG(57:6)]_FA22:6,TAG,1753.3601150512695,1529.2601127624512,1623.66011428833,1541.980110168457,1657.4801139831543,2428.4801597595215,2730.14017868042,1753.3601150512695,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(58:14)|TG(57:7)|TG(56:0)]_FA22:6,TAG,1555.9801139831543,1515.940113067627,1549.180103302002,1618.540111541748,3377.0802612304688,3334.040199279785,6796.42053604126,1555.9801139831543,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(58:7)|TG(57:0)]_FA22:6,TAG,1555.4001083374023,1540.5801010131836,1544.8801078796387,1495.9601135253906,5802.440414428711,7120.440452575684,11908.680839538574,1555.4001083374023,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(58:8)|TG(57:1)]_FA22:6,TAG,1571.7201194763184,1665.560115814209,1499.0601119995117,1591.1201171875,15477.821063995361,20316.881427764893,37989.50310897827,1571.7201194763184,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(58:9)|TG(57:2)]_FA22:6,TAG,1725.6601257324219,1582.6201133728027,1602.5001258850098,1536.360107421875,22208.48145675659,21531.841514587402,49221.50386047363,1725.6601257324219,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(59:10)|TG(58:3)]_FA22:6,TAG,1500.500114440918,1636.8401069641113,1497.980110168457,1522.7401084899902,2261.3001556396484,2133.5001525878906,2497.8001556396484,1500.500114440918,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(59:11)|TG(58:4)]_FA22:6,TAG,1604.7401123046875,1497.1201095581055,1508.300106048584,1552.2801094055176,2442.3401794433594,1988.4201316833496,2152.000156402588,1604.7401123046875,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(59:12)|TG(58:5)]_FA22:6,TAG,1778.9401321411133,1497.06010055542,1498.7801055908203,1528.060115814209,2351.340160369873,2050.180145263672,2383.2201805114746,1778.9401321411133,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(59:13)|TG(58:6)]_FA22:6,TAG,1640.4001197814941,1569.0201148986816,1503.5601081848145,1529.9801139831543,2673.3401794433594,1925.4601402282715,2836.0601959228516,1640.4001197814941,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(59:9)|TG(58:2)]_FA22:6,TAG,1509.4201011657715,1496.600112915039,1544.2601127624512,1496.7400970458984,2046.0801277160645,2499.740188598633,2509.480182647705,1509.4201011657715,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(60:10)|TG(59:3)]_FA22:6,TAG,1500.3400955200195,1496.7801132202148,1498.3401069641113,1496.3601188659668,17295.661071777344,7585.640525817871,40658.22255706787,1500.3400955200195,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(60:11)|TG(59:4)]_FA22:6,TAG,1500.4401054382324,1496.9001121520996,1498.880111694336,1539.960105895996,4584.220291137695,3569.1402435302734,11201.720836639404,1500.4401054382324,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(60:12)|TG(59:5)]_FA22:6,TAG,1500.1800994873047,1541.9201049804688,1498.0401039123535,1496.5601081848145,3850.1002502441406,3800.0602951049805,6832.000419616699,1500.1800994873047,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(60:13)|TG(59:6)]_FA22:6,TAG,1500.6400985717773,1559.7601127624512,1534.3001098632812,1550.1800994873047,2078.8401260375977,2211.940158843994,2339.4001502990723,1500.6400985717773,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(60:14)|TG(59:7)|TG(58:0)]_FA22:6,TAG,1500.6001052856445,1546.1801071166992,1524.5801048278809,1496.5401077270508,2262.5601768493652,1676.6601104736328,2059.920135498047,1500.6001052856445,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(60:15)|TG(59:8)|TG(58:1)]_FA22:6,TAG,1574.0001106262207,1577.2201194763184,1505.8801002502441,1496.520107269287,2168.8401412963867,1686.0201148986816,3119.5602226257324,1574.0001106262207,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(60:8)|TG(59:1)]_FA22:6,TAG,1500.2400970458984,1505.160099029541,1553.0801086425781,1499.8001098632812,9388.280727386475,4083.440284729004,18062.981147766113,1500.2400970458984,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(60:9)|TG(59:2)]_FA22:6,TAG,1501.2400970458984,1532.3601150512695,1576.4000968933105,1555.0201034545898,23391.401763916016,8477.960536956787,48254.34301376343,1501.2400970458984,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(61:10)|TG(60:3)]_FA22:6,TAG,1500.400089263916,1496.2001190185547,1544.040111541748,1496.4801177978516,3080.940242767334,1996.4001541137695,5388.140396118164,1500.400089263916,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(61:11)|TG(60:4)]_FA22:6,TAG,1500.2001037597656,1496.9601097106934,1596.7601203918457,1496.9201126098633,2038.8201332092285,1784.7601356506348,2756.62020111084,1500.2001037597656,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(61:12)|TG(60:5)]_FA22:6,TAG,1510.280101776123,1525.1201095581055,1510.1201133728027,1567.860107421875,2158.0001525878906,1728.0201225280762,2556.6601486206055,1510.280101776123,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(61:13)|TG(60:6)]_FA22:6,TAG,1596.8401222229004,1547.040096282959,1622.3401222229004,1598.6801109313965,2478.0801544189453,1762.1801109313965,2682.6001892089844,1596.8401222229004,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(61:14)|TG(60:7)|TG(59:0)]_FA22:6,TAG,1500.3401107788086,1496.5000953674316,1608.3001251220703,1496.6601219177246,3055.980213165283,2164.3601570129395,4646.360301971436,1500.3401107788086,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(62:10)|TG(61:3)]_FA22:6,TAG,1601.3801078796387,1576.2801132202148,1540.1201133728027,1538.8801078796387,9728.560607910156,4435.760303497314,13825.040958404541,1601.3801078796387,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(62:11)|TG(61:4)]_FA22:6,TAG,1541.0001106262207,1599.8801155090332,1567.3001174926758,1578.800106048584,8434.840564727783,5035.720363616943,14781.901058197021,1541.0001106262207,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(62:12)|TG(61:5)]_FA22:6,TAG,1499.9401092529297,1496.8201141357422,1503.6601028442383,1496.860107421875,6348.880420684814,3056.4802207946777,8890.320705413818,1499.9401092529297,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(62:13)|TG(61:6)]_FA22:6,TAG,1614.4001121520996,1496.6801071166992,1512.8201141357422,1496.400104522705,4122.960311889648,2646.800189971924,7452.020584106445,1614.4001121520996,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(62:14)|TG(61:7)|TG(60:0)]_FA22:6,TAG,1507.9801025390625,1499.6601066589355,1538.700096130371,1563.9001159667969,4527.680274963379,3259.9802169799805,8974.020603179932,1507.9801025390625,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(62:15)|TG(61:8)|TG(60:1)]_FA22:6,TAG,1499.9600944519043,1496.4800987243652,1498.0801086425781,1497.0801010131836,3433.9202423095703,1929.8201446533203,6162.780487060547,1499.9600944519043,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(62:16)|TG(61:9)|TG(60:2)]_FA22:6,TAG,1541.0801048278809,1496.3201065063477,1498.9601097106934,1508.4001083374023,3560.320266723633,2414.620162963867,7275.320526123047,1541.0801048278809,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(62:7)|TG(61:0)]_FA22:6,TAG,1541.780117034912,1538.5201034545898,1539.8001098632812,1537.980110168457,1772.280117034912,1760.8201179504395,1657.5401153564453,1541.780117034912,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(62:8)|TG(61:1)]_FA22:6,TAG,1591.7801094055176,1538.3201179504395,1539.7801094055176,1537.7001037597656,2036.6601333618164,1927.7801246643066,2167.66015625,1591.7801094055176,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(62:9)|TG(61:2)]_FA22:6,TAG,1541.4801177978516,1632.2201118469238,1618.4001197814941,1538.460105895996,4615.180309295654,1920.1601295471191,7052.500549316406,1541.4801177978516,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(63:11)|TG(62:4)]_FA22:6,TAG,1542.1200981140137,1622.5801239013672,1575.9401092529297,1538.100112915039,2321.280185699463,1606.240104675293,3426.5402221679688,1542.1200981140137,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(63:12)|TG(62:5)]_FA22:6,TAG,1542.1201133728027,1538.9201049804688,1549.8601036071777,1538.5001029968262,2363.60013961792,1610.020107269287,2034.7601470947266,1542.1201133728027,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(63:13)|TG(62:6)]_FA22:6,TAG,1541.4601020812988,1538.5801162719727,1539.4601135253906,1537.8401107788086,1720.2201118469238,1640.2401123046875,2056.4601402282715,1541.4601020812988,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(64:10)|TG(63:3)]_FA22:6,TAG,1541.8601036071777,1538.8201065063477,1540.2200965881348,1538.3801193237305,1991.360122680664,1767.5801239013672,2027.7201461791992,1541.8601036071777,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(64:11)|TG(63:4)]_FA22:6,TAG,1580.1400985717773,1558.000114440918,1540.1201286315918,1565.1601066589355,2690.180206298828,2144.9601440429688,3415.8002166748047,1580.1400985717773,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(64:12)|TG(63:5)]_FA22:6,TAG,1540.8401107788086,1538.4201164245605,1595.2601165771484,1598.6201171875,3111.0802459716797,1858.4601211547852,4150.360294342041,1540.8401107788086,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(64:13)|TG(63:6)]_FA22:6,TAG,1700.8001136779785,1677.7801246643066,1622.280101776123,1538.040111541748,2672.320167541504,2114.980155944824,4079.6202507019043,1700.8001136779785,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(64:14)|TG(63:7)|TG(62:0)]_FA22:6,TAG,1569.020107269287,1538.2801132202148,1539.6401176452637,1538.360122680664,3728.2802925109863,2009.540126800537,4000.000289916992,1569.020107269287,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(64:15)|TG(63:8)|TG(62:1)]_FA22:6,TAG,1541.6001052856445,1538.6601028442383,1577.6401062011719,1537.9001007080078,2592.540153503418,1906.400131225586,3275.500198364258,1541.6001052856445,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(64:16)|TG(63:9)|TG(62:2)]_FA22:6,TAG,1541.9800987243652,1538.4001007080078,1583.0001106262207,1537.9401092529297,2298.280170440674,1634.8401069641113,2841.8401947021484,1541.9800987243652,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(64:17)|TG(63:10)|TG(62:3)]_FA22:6,TAG,1541.140121459961,1538.7001152038574,1548.0401191711426,1538.1601066589355,3186.140235900879,1732.66011428833,3760.1802368164062,1541.140121459961,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
