Lipid,Class,DOD93_F4_Female_5xFAD_cortex ,DOD94_F3_Female_WT_cortex ,DOD94_F4_Female_5xFAD_cortex ,FAD184_F3_Female_WT_cortex ,FAD184_F4_Female_WT_cortex ,FAD185_M1_Male_5xFAD_cortex ,FAD185_M3_Male_5xFAD_cortex ,FAD185_M4_Male_WT_cortex ,FAD189_M1_Male_5xFAD_cortex ,FAD189_M2_Male_5xFAD_cortex ,FAD189_M3_Male_WT_cortex ,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F3_Female_WT_hippocampus,DOD94_F4_Female_5xFAD_hippocampus,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_hippocampus,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_hippocampus,FAD185_M4_Male_WT_hippocampus,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_hippocampus,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(10:0),CAR,326281.06273651123,325325.32315444946,331376.14420318604,335961.30155944824,335777.3225479126,331718.70194625854,329772.5221824646,340525.80432128906,326426.52296829224,323925.32470703125,328064.2437477112,328526.9641685486,319079.502620697,326398.12439346313,327427.4649581909,334062.26458358765,326331.7841949463,331767.6450653076,336500.48387146,330886.32358551025,325895.88430023193,331624.142780304,359584.1459960937,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(10:0)_QUAL,CAR,1531624.4029922483,1480806.9035568235,1535708.4461669922,1524868.5276794434,1523881.3316841123,1471178.2422294617,1420216.2540550232,1553006.9069480896,1469332.7677192688,1504513.7513008118,1552883.4630699158,1526646.446876526,1443624.825706482,1534155.6398582458,1555859.494808197,1537578.8140449524,1446191.0229263306,1478430.7510223389,1510906.8490447998,1461154.143615723,1464119.9964790344,1524739.723186493,1358931.08203125,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(10:1),CAR,462996.2899551392,452669.6117248535,473156.8574142456,471916.7936515808,461430.33322906494,456883.1327896118,465105.2358818054,472870.6527290344,458949.9333877564,462073.6529541016,465064.4133415222,467289.0961074829,452015.5874633789,460732.27390289307,457359.2110366821,461435.9306182861,459563.1962890625,463854.8551826477,469846.89278793335,466560.0566825866,459266.55598831177,470096.8910675049,634009.9052734375,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(10:1)_QUAL,CAR,1225996.6278457642,1152608.801185608,1235450.905921936,1192826.0019073486,1209490.2474975586,1161861.2991142273,1133688.3053627014,1223388.7229423523,1159647.360107422,1178396.0200195312,1205198.602191925,1211028.4854125977,1129619.7618408203,1209521.085735321,1225619.9038009644,1212440.6102485657,1166871.539199829,1152066.73777771,1188577.2490234375,1125648.4397773745,1163263.6423950195,1172517.3888130188,1046036.49609375,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(10:2),CAR,465503.0145187378,457558.5531387329,479235.2310333252,476367.7107849121,477712.733215332,466466.7318916321,460608.3939208984,477107.171875,473931.9167480469,477851.7532348633,486582.8288574219,468795.7157020569,459875.91410446167,465215.4316825866,479465.876625061,478198.3722686768,469187.1918334961,474116.2724838257,478029.55585098267,466608.2280311585,471062.3940734863,465915.6570625305,642041.1708984375,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(10:2)_QUAL,CAR,625800.6659698486,583119.983165741,654185.5482177734,625976.7437744141,613562.1617736816,686649.5900878906,652079.5024414062,639425.8439941406,665449.4080810547,632789.7221069336,651245.6447753906,606911.8633232117,619634.5055885315,648264.1270751953,630418.004322052,656310.4880371094,579629.7597045898,602506.7243499756,633082.9434432983,600880.6587142944,653109.3824653625,606192.3217468262,585456.421875,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(10:3),CAR,452021.83361816406,460000.71240234375,474795.994140625,464155.4952850342,468188.3310546875,467282.83181762695,451108.0492782593,465020.26988220215,459617.4909515381,461934.0142211914,472539.2971191406,469241.8908691406,452145.2126464844,465557.135383606,474205.2722167969,469740.2858848572,468108.49212265015,470671.4733543396,473136.5139160156,470697.6712036133,460852.37074661255,473883.7734375,611447.3291015625,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,685624.3889160156,642235.74609375,697903.6512451172,659595.4996337891,709130.7650985718,746274.6158752441,682222.3889465332,670706.4097900391,736102.3311386108,659423.4671554565,702346.127243042,659826.9465866089,665620.6653213501,645827.4847717285,678421.726776123,654040.244216919,647800.7481269836,666427.1296043396,647108.7614135742,641976.5270996094,678101.4078559875,663728.0073547363,633677.9819335938,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(11:0),CAR,226792.97513198853,217053.09909439087,230251.3971862793,235199.47663497925,229641.99746704104,217638.55546569824,220808.29425430295,228364.27590179443,215391.51430511475,219324.81494140625,222769.0371246338,228777.53755569455,223195.856300354,221750.31714248657,225887.83601379397,224918.15712356567,219353.91617584229,220078.1758270264,230991.2163734436,216354.03619003296,213329.99577713013,220441.4962081909,307762.5842285156,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(11:0)_QUAL,CAR,970676.92817688,954711.986038208,986055.2133140564,973990.7679748536,977671.6344985962,934787.2282104492,918568.4296531676,971594.3958740234,939842.6645050048,949083.5850601196,989258.566810608,975705.0064086914,938378.08259964,955191.4277381896,981095.388343811,989260.4065742492,936028.9175796508,954372.5708656312,958958.3817367554,916378.5413360596,942803.9660987854,943764.8858032228,870968.1220703125,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(12:0),CAR,6678902.369693756,6587197.182506561,6738613.562194824,6841519.090320587,6707013.297504425,6607863.245319366,6664555.5596961975,6697081.9528160095,6635573.870006561,6636016.132194519,6676301.0075035095,6745535.974380493,6508958.115943909,6719000.105945587,6678660.912193298,6701144.04000473,6536299.536567688,6606474.931880951,6800531.134380341,6758274.149066925,6607173.447193146,6639128.447193146,6397297.76171875,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(12:0)_QUAL,CAR,1204854.1464118958,1186442.9816474917,1221828.444656372,1270938.2918777466,1232741.0681304932,1231349.6988372805,1221284.5914916992,1241054.7493286133,1306356.8415679932,1193412.1874275208,1213965.2067642212,1185620.6024284365,1169944.6788101196,1231905.3475875854,1192335.056098938,1158045.8211669922,1161189.3405532837,1192792.445396423,1236211.186569214,1192158.3355522156,1164571.6839904785,1178170.2781333923,1316580.955078125,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(14:0),CAR,352516.32289886475,348522.6434059143,355747.00621795654,359881.06538009644,346274.64430618286,341709.0861778259,339953.44495010376,354997.76723480225,334817.0441246033,338206.9849281311,339063.7844963074,351659.0252189636,337150.12424468994,345185.3651618957,357919.7455329895,354003.20457458496,332927.7430534363,336576.90424728394,354786.8057899475,343159.0837364197,339383.0037384033,337522.3039932251,372286.3051757813,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,767989.5547332764,744998.4352416992,756529.673248291,772035.891960144,743653.8512954712,727281.4342269897,761418.1294593811,764294.6153945923,741924.6730957031,751814.8503990173,748432.934261322,761843.1140289307,765062.256061554,767607.0130500793,747751.4731330872,733174.673248291,713829.2136383057,734547.4757080078,776756.1938323975,768051.2121162415,713456.0486755371,731135.1941871643,886736.28125,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(14:1),CAR,354174.50399017334,355140.1877403259,365205.88707733154,366563.72498703,356826.54473495483,347182.0241088867,358554.5650444031,366983.2272148132,343123.0645942688,346077.24448013306,361806.1068038941,363025.8452415466,350389.9856529236,356100.3071556092,358175.605922699,362649.1644592285,336109.3020401001,339588.00342559814,367426.5475463867,346242.2067642212,348505.52379608154,354754.462310791,368998.5258789063,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(14:1)_QUAL,CAR,814000.9125061035,744259.6683273315,762916.4165306091,776833.9528961182,752968.1960601807,724341.1519584656,733591.5547332764,756387.4721946716,719726.5105552673,758138.393913269,754983.6320800781,805187.0212173462,762665.391254425,754330.134147644,759985.7733268738,732112.7479362488,715650.6092262268,718913.6894226074,767197.8109855652,773259.4165306091,701233.7068405151,719702.2526626587,902707.2607421876,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(14:2),CAR,379257.40713500977,374163.9449691773,390155.8661003113,395916.17125701904,389661.7878799439,381633.790145874,381604.8462371826,391972.246257782,378694.5857315064,378606.2049293518,382274.2672729492,390176.2078399658,379983.5462379456,382627.4061203003,390802.4482498169,386611.48862075806,368244.14541625977,382283.7461395264,394912.0869789124,382226.4464111328,374254.64543533325,379640.6463165283,397565.6098632813,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(14:2)_QUAL,CAR,807545.179107666,767973.9305114746,791702.0143814087,807015.7537155151,799562.6788711548,767176.1962928772,789051.5732498169,802263.0186004639,774223.9913330078,761149.5116081238,808655.4323120117,815737.9792633057,824324.7989883423,815013.1390686035,796397.3543815613,777356.4733657837,753526.3537979126,772708.3506698608,800865.2715682983,783264.2549667358,744232.7703971863,758700.0524291992,898668.984375,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(16:0),CAR,254972.17778015137,251302.79752731323,252360.7569503784,257439.0177116394,254987.4772911072,251473.47735977173,255412.83624649048,255909.8370552063,250881.0977783203,247474.23796463013,260033.4383468628,263566.538608551,255124.0784072876,254191.69914627075,261844.07703781128,262309.0381126404,242261.5566596985,248843.7773895264,261857.9980354309,258400.71842575076,242644.57736968997,249421.79866027832,283562.0600585937,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(16:0)_QUAL,CAR,750047.2343788147,695143.8098487854,727270.5544624329,732082.8132858276,745552.4319190979,761272.3086395264,757181.172039032,714538.5910606384,763946.3106689453,721392.4711380005,742535.4524078369,739226.2096939087,763822.391960144,713229.6112556458,734761.513053894,739143.4885215759,719417.8522720337,785145.1504745483,724161.7909011841,775260.2955551147,742124.9953994751,707938.570438385,743383.630859375,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(16:1),CAR,243783.21682357788,240792.1379928589,245360.19734191892,251715.1997642517,250094.41779708865,238651.93688964844,247915.0375175476,256811.7780532837,235559.25829696652,240942.0760192871,249647.53729248047,251304.5781402588,245800.7378692627,246293.8966560364,247661.2379837036,247959.7371749878,234070.7368927002,243786.65781784055,252962.2583465576,243525.8972358704,245141.53705596924,235482.75677490237,271161.9794921875,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(16:1)_QUAL,CAR,704960.151763916,676417.1706314087,705393.8503189087,725311.6316871643,731428.8098487854,758423.3161010742,721346.4516448975,703302.6930923462,812565.5787582397,735076.952545166,754551.427898407,766917.2532501221,707643.2922325134,720657.4304771423,713666.6140708923,702181.8899688721,702866.0491104126,749253.8325424194,698302.7676239014,745121.470867157,706428.0680923462,681140.4275474548,740003.9345703125,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(16:2),CAR,244697.97831726077,238028.15690994263,240024.1763458252,252207.2161369324,243440.07543563843,243046.63777923584,242045.73767089844,251063.47832870483,235517.69748687744,232855.4962463379,248387.9770622253,253679.09756469727,246588.4993057251,245519.13901138303,247745.63875579837,250961.57744979855,234065.51695632932,241021.6171951294,250200.19537734985,235195.55652236936,233346.37580871585,231382.07596588132,256414.337890625,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(16:2)_QUAL,CAR,666640.0074272156,675326.2664108276,674450.1648483276,689828.7694168091,727642.2745780945,701309.7100067139,716002.735786438,688396.1675071716,733708.4512557983,684801.8274307251,689735.8322143555,717976.537776947,643639.3448104858,668987.487701416,686873.8896560669,714111.8694229126,672190.4879722595,718702.731842041,662673.0277786255,735353.2536010742,666488.748249054,647718.7468833923,720453.970703125,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(17:0),CAR,1396086.3981285095,1342411.8786811829,1402296.1561775208,1365435.819694519,1386686.9743041992,1353571.8726654053,1272498.4499282837,1404791.521724701,1295091.9070358276,1300291.628364563,1350500.256099701,1395676.4764137268,1249825.6628189087,1392305.039226532,1410220.4593811035,1400522.4432868958,1323412.7336769104,1298430.0461006165,1353126.6807861328,1256010.5886001587,1303440.0905532837,1342317.3182106018,1142501.9833984375,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(17:0)_QUAL,CAR,547453.7202033997,535001.0970344543,563622.2194595337,559384.4412536621,552436.002117157,539171.1168403625,537797.8213729858,565967.7417640686,535650.5117263794,540114.2405166626,566670.0461387634,575001.4996185303,544586.656879425,547222.5586013794,564401.9959831238,551341.518913269,524084.7597351074,544247.1184806824,562570.2406730652,544579.76039505,537445.2820396423,534958.2737159729,595367.421875,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:0),CAR,3381557.4882850647,3344060.9525032043,3457404.749382019,3484259.4640693665,3403506.3254776,3212707.112350464,3266554.9107894897,3499383.6750068665,3156970.61000824,3147100.541255951,3332275.1471939087,3398042.738132477,3311144.372196197,3474643.0546951294,3455183.6737556458,3445748.883598328,3152338.077976227,3125446.245632172,3499921.774066925,3206437.527507782,3154476.9831314087,3232710.562191009,3204698.263671875,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:0)_QUAL,CAR,721255.08934021,722951.7132110596,737973.8898925781,743083.9319190979,726716.0859832764,702674.0927810669,704641.5527000427,733856.613407135,682358.8477783203,700399.5262145996,733271.0139122009,743533.6129341125,710598.3502388,732448.7354736328,723401.7704734802,726914.1117248535,680055.5681686401,686212.0269203186,747540.3379364014,692955.5866088867,686706.8727798462,697593.447933197,760985.4560546875,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:1),CAR,3301628.6700057983,3263183.57157135,3365038.3362579346,3382485.3075065613,3296570.7317276,3163711.5511016846,3209502.482975006,3355950.292663574,3061767.8464126587,3129870.37625885,3248227.794692993,3353392.2062568665,3274809.1086006165,3339850.368286133,3361561.0278167725,3351227.7195396423,3117355.463287353,3032631.7442245483,3367397.8403167725,3135661.8673477173,3137405.0901641846,3200600.482662201,3208659.5,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:1)_QUAL,CAR,700237.9283294678,691485.6316871643,705935.4915313721,722437.5520362854,698676.2541503906,684254.9703979492,680631.1444206238,728707.2491493225,659237.9448890686,681394.0701217651,684351.1671180725,723665.552936554,697517.5519180298,703605.8525428772,704511.444694519,690885.727470398,652836.6096572876,667999.2667655945,712744.3495368958,674752.2475852966,664495.7871170044,681471.0283279419,735194.3125,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:2),CAR,3395870.140319824,3381310.580318451,3464880.677978516,3512091.339225769,3387669.825321197,3233295.9546928406,3293080.086883545,3450073.6081314087,3153841.6593818665,3171208.575946808,3378507.9884414678,3441816.282035828,3321106.1242256165,3441927.2031326294,3443127.4628181458,3422128.678287506,3154983.2973480225,3117305.6686019897,3490407.823757172,3227121.770629883,3208946.618911743,3287624.5207862854,3252238.28515625,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:2)_QUAL,CAR,691594.3280906677,681783.3293418884,696887.011138916,703156.7877388,684677.1701622009,657429.1837158203,664824.4467277527,708036.3482475281,646209.2857894897,658525.7477798462,673538.2653198242,708596.9889526367,674869.0134429932,682017.2644615173,694198.5872344971,682717.2683677673,637167.9860610962,647105.3828582764,696330.5928192139,656226.0102424622,626037.9048919678,644688.2028961182,725255.8544921875,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:3),CAR,3370895.863910675,3354389.6895370483,3406953.552661896,3442251.3753204346,3350015.237663269,3215544.002193451,3233189.695941925,3429904.116878509,3152076.383911133,3176414.3812561035,3312679.8973503117,3371295.2239112854,3290681.483757019,3416208.1578178406,3445305.923286438,3405838.6034431458,3124648.587036133,3113804.3601646423,3403707.0223503117,3207768.7754745483,3167399.818286896,3265775.312194824,3175149.642578125,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:3)_QUAL,CAR,734192.0928192139,724256.6666870117,744972.2701225281,740901.3504333496,724836.8706283569,699465.3496551514,696019.29246521,747649.1333656311,693745.6071548462,713923.1545372009,724785.8936004639,750744.1921539307,726656.8913345337,726399.4345741272,742360.8333244324,731881.909614563,674675.5460586548,710249.2685241699,745413.3921546936,704185.2315292358,691361.1495399475,704370.0494613647,757884.5498046875,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:4),CAR,3330174.315475464,3270577.046726227,3370750.345943451,3384906.931880951,3307672.6473503117,3162778.693130493,3206804.1934432983,3399486.8254776,3073514.468444824,3099974.26984787,3229563.2268829346,3352943.5315704346,3233968.356567383,3341677.4223480225,3370275.0512542725,3373901.868598938,3088093.288913727,3084062.9276657104,3388878.250629425,3151311.2214126587,3114249.332508087,3190959.591255188,3109092.08203125,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:4)_QUAL,CAR,729564.9716835022,713336.4137573242,736543.7698898315,749293.1941490173,719543.4729347229,694115.5088729858,696792.8487167358,736047.5109024048,696220.6852416992,698410.2664146423,709531.2917251587,750248.9944190979,710655.930355072,729944.790435791,731020.7297706604,720063.8909454346,678610.269733429,695143.8686027527,738490.2113761902,680078.0080528259,691105.929813385,700743.2273521423,756819.1298828125,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(20:0),CAR,615438.1665687561,608679.9014892578,624361.2435417175,622327.7019195557,603089.2824287415,586645.7002029419,582079.1347312927,631115.6622695923,574311.2203979492,575452.460319519,610788.9026222229,616435.6062545776,603403.5034637451,622967.6631698608,620089.0047340393,611626.5448112488,572608.2195358276,566178.4569587708,630978.9630126953,576807.3605537415,570718.543170929,595512.2205123901,631235.4873046875,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
