Lipid,Class,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F3_Female_WT_hippocampus,DOD94_F4_Female_5xFAD_hippocampus,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_hippocampus,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_hippocampus,FAD185_M4_Male_WT_hippocampus,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_hippocampus,FAD189_M3_Male_WT_hippocampus,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F3_Female_WT_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,FAD184_F3_Female_WT_diencephalon,FAD184_F4_Female_WT_diencephalon,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD185_M4_Male_WT_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,FAD189_M3_Male_WT_diencephalon,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(10:0),CAR,328526.9641685486,319079.502620697,326398.12439346313,327427.4649581909,334062.26458358765,326331.7841949463,331767.6450653076,336500.48387146,330886.32358551025,325895.88430023193,331624.142780304,338427.2018623352,324203.98277282715,334789.2228088379,335300.2035102844,334215.18283462524,323321.26235198975,323802.9835205078,328669.7445831299,326853.56217575073,323277.3828315735,326717.8415489197,359584.1459960937,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(10:0)_QUAL,CAR,1526646.446876526,1443624.825706482,1534155.6398582458,1555859.494808197,1537578.8140449524,1446191.0229263306,1478430.7510223389,1510906.8490447998,1461154.143615723,1464119.9964790344,1524739.723186493,1535372.630897522,1516836.5327682495,1547899.4927978516,1571164.2093276978,1506305.7311172483,1465661.5479812622,1471804.5253257751,1534842.3647384644,1495402.5145492554,1509350.9440078735,1457573.125499725,1358931.08203125,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(10:1),CAR,467289.0961074829,452015.5874633789,460732.27390289307,457359.2110366821,461435.9306182861,459563.1962890625,463854.8551826477,469846.89278793335,466560.0566825866,459266.55598831177,470096.8910675049,468052.5140953064,455261.4915084839,467979.4149398804,470298.7932319641,468940.61178970337,459726.014465332,459556.2958984375,470902.736000061,466029.6733665466,473192.2338218689,456719.7716178894,634009.9052734375,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(10:1)_QUAL,CAR,1211028.4854125977,1129619.7618408203,1209521.085735321,1225619.9038009644,1212440.6102485657,1166871.539199829,1152066.73777771,1188577.2490234375,1125648.4397773745,1163263.6423950195,1172517.3888130188,1191053.168067932,1179398.5004119873,1218492.8599853516,1242140.1255645752,1192392.7216529846,1168491.082397461,1165448.3845214844,1223989.145462036,1165622.5580291748,1197382.9510269165,1133229.6761245728,1046036.49609375,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(10:2),CAR,468795.7157020569,459875.91410446167,465215.4316825866,479465.876625061,478198.3722686768,469187.1918334961,474116.2724838257,478029.55585098267,466608.2280311585,471062.3940734863,465915.6570625305,466398.2900390625,467254.89208984375,476177.0739746094,481124.4542427063,477586.1125488281,470667.7735595703,469337.28994750977,479449.8723144531,472138.4946517944,464267.77478027344,472247.4354248047,642041.1708984375,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(10:2)_QUAL,CAR,606911.8633232117,619634.5055885315,648264.1270751953,630418.004322052,656310.4880371094,579629.7597045898,602506.7243499756,633082.9434432983,600880.6587142944,653109.3824653625,606192.3217468262,662201.5657730103,613257.7263183594,609228.8646697998,672799.165512085,632785.6041870117,664392.66796875,603536.2040405273,600914.159362793,627115.3056640625,708170.4301757812,586886.3618164062,585456.421875,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(10:3),CAR,469241.8908691406,452145.2126464844,465557.135383606,474205.2722167969,469740.2858848572,468108.49212265015,470671.4733543396,473136.5139160156,470697.6712036133,460852.37074661255,473883.7734375,464280.1316108704,464176.950958252,474447.635887146,474823.5919189453,461780.14990234375,465083.8903808594,462530.2118835449,464057.452835083,458302.6073188782,460119.35189819336,462716.1932449341,611447.3291015625,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,659826.9465866089,665620.6653213501,645827.4847717285,678421.726776123,654040.244216919,647800.7481269836,666427.1296043396,647108.7614135742,641976.5270996094,678101.4078559875,663728.0073547363,673968.7052230835,626910.0848655701,665941.73046875,667592.1860351562,671410.9285202026,699709.5654449463,681354.36769104,672318.2248725891,692704.0530395508,695539.7074279785,617384.665802002,633677.9819335938,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(11:0),CAR,228777.53755569455,223195.856300354,221750.31714248657,225887.83601379397,224918.15712356567,219353.91617584229,220078.1758270264,230991.2163734436,216354.03619003296,213329.99577713013,220441.4962081909,235500.31698989868,228729.7152633667,230270.4958267212,230880.37762069705,224726.9572105408,215049.35606002808,222003.6559715271,228741.0756149292,217721.4149169922,216942.31550216675,216124.01500701904,307762.5842285156,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(11:0)_QUAL,CAR,975705.0064086914,938378.08259964,955191.4277381896,981095.388343811,989260.4065742492,936028.9175796508,954372.5708656312,958958.3817367554,916378.5413360596,942803.9660987854,943764.8858032228,969895.6544570924,968537.4339294434,976975.6697769164,992071.5774345398,956961.8673667908,917140.747505188,945642.8892822266,980565.6117897034,954241.1290931702,983907.2283935548,924346.5397491456,870968.1220703125,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(12:0),CAR,6745535.974380493,6508958.115943909,6719000.105945587,6678660.912193298,6701144.04000473,6536299.536567688,6606474.931880951,6800531.134380341,6758274.149066925,6607173.447193146,6639128.447193146,6863065.198444366,6609949.756256104,6699264.702194214,6716539.346256256,6667696.220630646,6612772.765007019,6553456.024692535,6717907.478443146,6603319.179691315,6624754.211257935,6659343.449691772,6397297.76171875,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(12:0)_QUAL,CAR,1185620.6024284365,1169944.6788101196,1231905.3475875854,1192335.056098938,1158045.8211669922,1161189.3405532837,1192792.445396423,1236211.186569214,1192158.3355522156,1164571.6839904785,1178170.2781333923,1223517.561569214,1206898.078968048,1185875.7597351074,1211441.843990326,1156557.9998130798,1193942.9633636477,1279660.1290664673,1300107.4476852417,1222956.989692688,1287689.2668800354,1137825.3182106018,1316580.955078125,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(14:0),CAR,351659.0252189636,337150.12424468994,345185.3651618957,357919.7455329895,354003.20457458496,332927.7430534363,336576.90424728394,354786.8057899475,343159.0837364197,339383.0037384033,337522.3039932251,361172.9073677063,341792.96465682983,357862.2861595154,363645.406414032,347462.24549484253,332862.2823295593,339905.80448150635,358287.88621521,338632.98584747314,344700.1848526001,342347.18447875977,372286.3051757813,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,761843.1140289307,765062.256061554,767607.0130500793,747751.4731330872,733174.673248291,713829.2136383057,734547.4757080078,776756.1938323975,768051.2121162415,713456.0486755371,731135.1941871643,771629.2531318665,753242.0290298462,767636.0124702454,758977.2906303406,740152.0901222229,743154.5322341919,733432.2945365906,776724.5965690613,712182.9745788574,730440.7923126221,715467.2517662048,886736.28125,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(14:1),CAR,363025.8452415466,350389.9856529236,356100.3071556092,358175.605922699,362649.1644592285,336109.3020401001,339588.00342559814,367426.5475463867,346242.2067642212,348505.52379608154,354754.462310791,368253.6453018189,352333.0259246826,375739.64881134033,369238.8459434509,354837.2649497986,338663.2843208313,351927.0446739197,367769.3065872192,349780.6231689453,348162.04473495483,348716.82412719727,368998.5258789063,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(14:1)_QUAL,CAR,805187.0212173462,762665.391254425,754330.134147644,759985.7733268738,732112.7479362488,715650.6092262268,718913.6894226074,767197.8109855652,773259.4165306091,701233.7068405151,719702.2526626587,767067.6369972229,748755.6727409363,760089.3957099915,790660.0382080078,745128.6497344971,744602.9521179199,733397.7854766846,766401.6937179565,751904.1968002319,766372.874382019,740715.7894592285,902707.2607421876,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(14:2),CAR,390176.2078399658,379983.5462379456,382627.4061203003,390802.4482498169,386611.48862075806,368244.14541625977,382283.7461395264,394912.0869789124,382226.4464111328,374254.64543533325,379640.6463165283,391137.3074455261,383549.54625701904,396985.10791397095,400606.2511405945,376575.94801330566,374953.6049690247,386218.3284263611,392923.6473693848,377583.80672836304,379547.5256729126,379550.0477981568,397565.6098632813,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(14:2)_QUAL,CAR,815737.9792633057,824324.7989883423,815013.1390686035,796397.3543815613,777356.4733657837,753526.3537979126,772708.3506698608,800865.2715682983,783264.2549667358,744232.7703971863,758700.0524291992,834265.8830909729,797707.0398521423,788367.5584449768,836812.7205162048,786712.6766471863,774199.4570770264,768619.9982872009,798070.0604743958,757587.032585144,789616.1741104126,746626.632194519,898668.984375,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(16:0),CAR,263566.538608551,255124.0784072876,254191.69914627075,261844.07703781128,262309.0381126404,242261.5566596985,248843.7773895264,261857.9980354309,258400.71842575076,242644.57736968997,249421.79866027832,260527.89841461185,249055.1368522644,260281.57931137085,262179.4790916443,257094.6977005005,248438.1576423645,256342.4572944641,263729.85804367065,250341.67779922485,245753.4393043518,244751.75845336917,283562.0600585937,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(16:0)_QUAL,CAR,739226.2096939087,763822.391960144,713229.6112556458,734761.513053894,739143.4885215759,719417.8522720337,785145.1504745483,724161.7909011841,775260.2955551147,742124.9953994751,707938.570438385,741665.0752410889,724922.409576416,741527.9105110168,739062.2687950134,754089.5711021423,780233.8910598755,733402.4082489014,729065.9316101074,718402.3291473389,782067.414691925,712383.3089141846,743383.630859375,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(16:1),CAR,251304.5781402588,245800.7378692627,246293.8966560364,247661.2379837036,247959.7371749878,234070.7368927002,243786.65781784055,252962.2583465576,243525.8972358704,245141.53705596924,235482.75677490237,251108.5578765869,248448.07914733887,255607.11666488647,264756.37813186646,238331.3762550354,239549.95531082156,250917.5990600586,252695.8781776428,237858.3367919922,244149.1976242065,242737.27661895752,271161.9794921875,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(16:1)_QUAL,CAR,766917.2532501221,707643.2922325134,720657.4304771423,713666.6140708923,702181.8899688721,702866.0491104126,749253.8325424194,698302.7676239014,745121.470867157,706428.0680923462,681140.4275474548,734014.1730155945,726439.9694976807,734830.953327179,725863.83070755,725142.5340690613,728574.1284446716,727922.1539497375,761771.6136398315,726252.3511772156,714028.0119590759,713375.989616394,740003.9345703125,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(16:2),CAR,253679.09756469727,246588.4993057251,245519.13901138303,247745.63875579837,250961.57744979855,234065.51695632932,241021.6171951294,250200.19537734985,235195.55652236936,233346.37580871585,231382.07596588132,248117.01676177976,239834.85723495483,247627.7583732605,255897.41875839236,241989.59797668457,243835.67629623413,242903.81734085083,251160.677192688,227772.11569213867,233746.2361984253,238116.23794555664,256414.337890625,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(16:2)_QUAL,CAR,717976.537776947,643639.3448104858,668987.487701416,686873.8896560669,714111.8694229126,672190.4879722595,718702.731842041,662673.0277786255,735353.2536010742,666488.748249054,647718.7468833923,697616.492351532,689009.5485610962,677503.011100769,674033.1201629639,707687.5710601807,758232.4121170044,706301.4317817688,741312.2479362488,682616.0869216919,746355.1691856384,680106.8850440979,720453.970703125,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(17:0),CAR,1395676.4764137268,1249825.6628189087,1392305.039226532,1410220.4593811035,1400522.4432868958,1323412.7336769104,1298430.0461006165,1353126.6807861328,1256010.5886001587,1303440.0905532837,1342317.3182106018,1370896.202194214,1360446.9550056458,1423578.6156311035,1413356.663368225,1347009.9774284365,1266043.720790863,1346960.3937568665,1424652.5557098389,1297160.1095352173,1338827.432430267,1275777.190788269,1142501.9833984375,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(17:0)_QUAL,CAR,575001.4996185303,544586.656879425,547222.5586013794,564401.9959831238,551341.518913269,524084.7597351074,544247.1184806824,562570.2406730652,544579.76039505,537445.2820396423,534958.2737159729,576444.3008651733,550429.6366462708,572052.1805152893,572058.7203559875,565149.957233429,522134.95793533325,544400.1816864014,562287.6005325317,533254.9981689453,544554.2147331238,533086.5393829346,595367.421875,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:0),CAR,3398042.738132477,3311144.372196197,3474643.0546951294,3455183.6737556458,3445748.883598328,3152338.077976227,3125446.245632172,3499921.774066925,3206437.527507782,3154476.9831314087,3232710.562191009,3483483.0332870483,3352246.9637527466,3559557.1098480225,3523997.505008697,3337268.1692276,3130900.762664795,3252273.294067383,3518062.486724853,3145356.0317230225,3203608.6062583923,3245037.5331306458,3204698.263671875,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:0)_QUAL,CAR,743533.6129341125,710598.3502388,732448.7354736328,723401.7704734802,726914.1117248535,680055.5681686401,686212.0269203186,747540.3379364014,692955.5866088867,686706.8727798462,697593.447933197,754288.6739501953,719669.6684455872,757535.6389884949,749395.356136322,706073.6140327454,670423.8701210022,707733.4903945923,733085.6737937927,695461.6885604858,693850.8493843079,687811.7888336182,760985.4560546875,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:1),CAR,3353392.2062568665,3274809.1086006165,3339850.368286133,3361561.0278167725,3351227.7195396423,3117355.463287353,3032631.7442245483,3367397.8403167725,3135661.8673477173,3137405.0901641846,3200600.482662201,3393913.270629883,3307511.630317688,3400106.4828186035,3353254.942504883,3204892.8693847656,3085144.1928215027,3204446.966571808,3388461.5528182983,3077063.5401649475,3138169.3336029053,3151038.9817237854,3208659.5,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:1)_QUAL,CAR,723665.552936554,697517.5519180298,703605.8525428772,704511.444694519,690885.727470398,652836.6096572876,667999.2667655945,712744.3495368958,674752.2475852966,664495.7871170044,681471.0283279419,724785.0505142212,704959.9509849548,710473.9950065613,733329.8883666992,685858.1858673096,658951.204574585,695685.7893409729,721227.9511795044,664231.3082084656,658315.0877799988,669243.5468063354,735194.3125,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:2),CAR,3441816.282035828,3321106.1242256165,3441927.2031326294,3443127.4628181458,3422128.678287506,3154983.2973480225,3117305.6686019897,3490407.823757172,3227121.770629883,3208946.618911743,3287624.5207862854,3503175.5364112854,3378535.9031333923,3480028.3957901,3508806.404537201,3324932.8187561035,3159603.657661438,3276826.2682876587,3491905.8846931458,3148183.6836013794,3217802.9153175354,3245415.816570282,3252238.28515625,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:2)_QUAL,CAR,708596.9889526367,674869.0134429932,682017.2644615173,694198.5872344971,682717.2683677673,637167.9860610962,647105.3828582764,696330.5928192139,656226.0102424622,626037.9048919678,644688.2028961182,695773.7686767578,681685.0301246643,690644.4261360168,720276.7510643005,667810.4846534729,626307.843208313,661403.1086006165,701849.2703590393,648519.5268821716,652287.844379425,647354.7459030151,725255.8544921875,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:3),CAR,3371295.2239112854,3290681.483757019,3416208.1578178406,3445305.923286438,3405838.6034431458,3124648.587036133,3113804.3601646423,3403707.0223503117,3207768.7754745483,3167399.818286896,3265775.312194824,3444286.058444977,3349920.662036896,3441400.094696045,3445740.9128189087,3287794.057037353,3131085.3457870483,3246143.318599701,3446792.911567688,3126934.2593803406,3160923.04813385,3198455.052192688,3175149.642578125,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:3)_QUAL,CAR,750744.1921539307,726656.8913345337,726399.4345741272,742360.8333244324,731881.909614563,674675.5460586548,710249.2685241699,745413.3921546936,704185.2315292358,691361.1495399475,704370.0494613647,755661.3931694031,725491.6473884583,748352.8323478699,754579.333480835,735466.7116851807,677312.8036766052,712527.8482093811,750720.569732666,704776.6503562927,691029.6306724548,698366.1102409363,757884.5498046875,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:4),CAR,3352943.5315704346,3233968.356567383,3341677.4223480225,3370275.0512542725,3373901.868598938,3088093.288913727,3084062.9276657104,3388878.250629425,3151311.2214126587,3114249.332508087,3190959.591255188,3399707.930316925,3294830.314849853,3403386.753757477,3429150.994380951,3256345.6503181458,3077947.657196045,3193789.6042251587,3377583.2187576294,3064326.3414115906,3131360.3840675354,3131903.721725464,3109092.08203125,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR(18:4)_QUAL,CAR,750248.9944190979,710655.930355072,729944.790435791,731020.7297706604,720063.8909454346,678610.269733429,695143.8686027527,738490.2113761902,680078.0080528259,691105.929813385,700743.2273521423,741467.396686554,719783.5359840393,735085.9696159363,758949.9361419678,731609.3498497009,659871.9247322083,704503.7686386108,747812.2742652893,686904.5498886108,692716.1691436768,689283.4114532471,756819.1298828125,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
