Match 1,Match 2,Lipid 1,Lipid 2,Number,Gene,Reaction,T-Statistic,P-Value,Z-Score
PC(34:3),LPC(18:2),PC,LPC,64600,PLA2G2F,23,0.6442191942684099,0.5266133074631676,0.6331842839993201
PC(42:6),LPC(18:0),PC,LPC,30814,PLA2G2E,23,1.2692035995172237,0.2193697413174239,1.228205748475014
LPG(22:6) ,PG(44:5),LPG,PG,9926,LPGAT1,32,0.3587896122054638,0.7235254331465545,0.35375108682862133
PS(40:4),PE(18:0),PS,PE,23761,PISD,6,0.7316405603383109,0.4705652153217662,0.7215597136731531
LPI(14:0) ,PI(34:3),LPI,PI,79143,MBOAT7,28,0.7676136575963086,0.44892530532856423,0.7572079211730612
PC(40:6),LPC(20:5),PC,LPC,123745,PLA2G4E,23,0.8604702449547929,0.40000497897617293,0.8416123413679764
PC(42:6),LPC(22:5),PC,LPC,100137049,PLA2G4B,23,-0.44467752368461255,0.6630588328730214,0.43569389896196814
LPS(18:4)_2,PS(36:5),LPS,PS,10162,LPCAT3,30,0.7879480211317248,0.4374955238054109,0.7764293447093631
LPE(20:3),PE(42:2),LPE,PE,10162,LPCAT3,26,1.30797283146721,0.2067298537846564,1.2626086609261338
PC(40:5),LPC(22:2),PC,LPC,5319,PLA2G1B,23,-1.3887247755801493,0.18199638205374255,1.3346333354091247
PC(40:0),LPC(20:4),PC,LPC,255189,PLA2G4F,23,1.1684763001801728,0.2576495927605348,1.1319639454113104
PC(32:0),LPC(16:0),PC,LPC,123745,PLA2G4E,23,-0.45620733058455376,0.6529520619028202,0.4496649305861508
LPC(20:5),PC(38:1),LPC,PC,79888,LPCAT1,22,0.4339062311646247,0.6677668636380965,0.42921486839305717
LPS(18:2) ,PS(36:3),LPS,PS,254531,LPCAT4,30,2.4932058414037117,0.01930001244658347,2.339684959012865
PG(44:0),LPG(22:1) ,PG,LPG,54675,CRLS1,33,-0.5519361771464477,0.5858990752282816,0.5447883745026278
PC(32:3),LPC(17:2),PC,LPC,5320,PLA2G2A,23,0.012023894754566208,0.9904895799917934,0.011919826108038847
LPE(14:0),PE(34:3),LPE,PE,10162,LPCAT3,26,0.683392738280989,0.5001041846319131,0.6743258317671496
PS(38:1),LPS(20:3) ,PS,LPS,5320,PLA2G2A,31,-1.5235332866226923,0.1384658630747012,1.4815282486116828
LPC(20:3),PC(46:2),LPC,PC,254531,LPCAT4,22,-0.550530785733385,0.5861719295562995,0.5443917386635179
PC(38:5),LPC(16:0),PC,LPC,64600,PLA2G2F,23,-0.8576717619939564,0.40069072449739973,0.8403882688278819
PC(46:1),LPC(22:1),PC,LPC,8605,PLA2G4C,23,-2.2739832414702326,0.030662056574209458,2.16143106530079
LPS(18:4)_2,PS(36:8),LPS,PS,154141,MBOAT1,30,0.6215798119047645,0.5407978877301869,0.6116068759428885
LPC(20:5),PC(42:5),LPC,PC,79888,LPCAT1,22,-1.7117756046786443,0.09807493862179287,1.6542588080562393
PC(42:10),LPC(22:5),PC,LPC,30814,PLA2G2E,23,-0.48907764586924896,0.6320777766010974,0.4788044134970999
LPC(12:0),PC(36:0) ,LPC,PC,10162,LPCAT3,22,0.5895151245404893,0.560314076545968,0.5823750603196589
PI(38:3),LPI(20:0) ,PI,LPI,283748,PLA2G4D,29,1.2763485666003114,0.21262989546462285,1.246366441821177
PC(42:0),LPC(24:1),PC,LPC,5319,PLA2G1B,23,1.2115974283744786,0.2357384409672441,1.185705957656715
PE(32:2),LPE(16:1),PE,LPE,8605,PLA2G4C,27,1.0915313463251815,0.28662683208334055,1.0655506184837717
LPE(18:4),PE(36:7),LPE,PE,254531,LPCAT4,26,1.9674257763150258,0.05877393986617168,1.8898805314731364
PS(32:4),PE(14:0),PS,PE,23761,PISD,6,-0.3192389170467358,0.7525579542719839,0.31526829642877646
PE(28:2),PC(48:2),PE,PC,10400,PEMT,8,0.2511022169822579,0.8038536677558981,0.24836285886122
PG(40:0) ,LPG(22:4) ,PG,LPG,255189,PLA2G4F,33,1.0852858303149033,0.2904506242073912,1.0571335875778585
PS(40:1),LPS(18:0) ,PS,LPS,30814,PLA2G2E,31,1.7828803846861938,0.09329641740972268,1.6782596706861375
PG(42:2),LPG(16:1) ,PG,LPG,283748,PLA2G4D,33,0.5856370219445899,0.5634693189121938,0.5776960907645474
LPC(22:1),PC(44:0),LPC,PC,54947,LPCAT2,22,0.6910466244999429,0.4953055619386587,0.6818946605164606
Cer(46:0),Cer1P(30:1),Cer,Cer1P,64781,CERK,41,-0.1596717924899605,0.8744426132440424,0.15801800218388953
PC(36:4),LPC(22:4),PC,LPC,5319,PLA2G1B,23,-1.2227107453947517,0.2388914420931327,1.1777621498361994
LPC(18:1),PC(42:6),LPC,PC,54947,LPCAT2,22,-0.98369113796288,0.33340430795785647,0.9672795419235257
PC(38:2),LPC(20:4),PC,LPC,283748,PLA2G4D,23,0.8118473431467202,0.4253176393981061,0.7972297011173185
LPE(20:1),PE(32:0),LPE,PE,154141,MBOAT1,26,-1.3463928307910127,0.19644478252011804,1.2917469786709022
PS(34:3),LPS(20:3) ,PS,LPS,5320,PLA2G2A,31,-0.7912777671932006,0.43723845652623705,0.7768649426162694
PC(36:2),LPC(18:4),PC,LPC,8605,PLA2G4C,23,0.7286521604431785,0.4730595219350433,0.7175099131104704
PC(34:0),LPC(17:0),PC,LPC,5320,PLA2G2A,23,0.511484969277042,0.6140442190443595,0.5043090497185958
PC(36:8),LPC(18:4),PC,LPC,5319,PLA2G1B,23,0.6965803081790716,0.49388122053539596,0.6841487820544745
PG(40:3),LPG(18:3) ,PG,LPG,54675,CRLS1,33,-0.9189072502815707,0.36648453890383703,0.9030779251952261
LPC(10:0),PC(36:0) ,LPC,PC,10162,LPCAT3,22,0.5294663815540994,0.6009485218975845,0.5230369762422642
PE(18:4),PC(42:10),PE,PC,10400,PEMT,8,1.2135371989572747,0.2350205293628806,1.187525182901859
PC(34:1),LPC(22:2),PC,LPC,100137049,PLA2G4B,23,-1.24010482321464,0.2297192910538386,1.201082266937299
LPI(22:2) ,PI(38:3),LPI,PI,79143,MBOAT7,28,1.0691110753564115,0.29408732767602963,1.049197285643361
PG(38:7),LPG(22:6) ,PG,LPG,283748,PLA2G4D,33,0.314071903845335,0.7558939326958336,0.3108772596114993
PI(36:1),LPI(16:0) ,PI,LPI,283748,PLA2G4D,29,0.12136665494224008,0.9045374736920433,0.11993142107570605
PC(38:2),LPC(20:3),PC,LPC,5319,PLA2G1B,23,0.763495353255933,0.4531383489872486,0.7501932077936944
PS(42:6),LPS(22:2) ,PS,LPS,64600,PLA2G2F,31,0.35242529318423776,0.7270728685607022,0.3490218997291228
LPG(14:0),PG(34:3),LPG,PG,54675,CRLS1,32,0.4741723754607956,0.6389678517850365,0.4691424029144493
PS(40:5),PE(16:0),PS,PE,23761,PISD,6,0.8166385561578584,0.4214077741551301,0.8039813012096232
PE(18:1),PC(38:4),PE,PC,10400,PEMT,8,0.8109212718455506,0.42409591275229686,0.7993354772481007
PE(18:3),LPE(18:3),PE,LPE,8605,PLA2G4C,27,0.4827250441284841,0.6333109524757141,0.47707185930056856
LPC(22:0),PC(44:0),LPC,PC,254531,LPCAT4,22,0.6631839800794207,0.5126226798280283,0.6547593914947127
LPC(10:0),PC(34:1),LPC,PC,10162,LPCAT3,22,0.7376210874584848,0.46770955570823036,0.7262107942120369
PS(26:1),PE(44:5),PS,PE,23761,PISD,6,-0.34864371302299096,0.7314252219712198,0.3432302861783538
PS(42:7),LPS(22:6) ,PS,LPS,64600,PLA2G2F,31,1.375696338753386,0.17956726138310627,1.3420886258410023
LPC(18:2),PC(42:3),LPC,PC,254531,LPCAT4,22,-1.341984381901968,0.19008209036005327,1.310336306440879
LPE(22:6),PE(44:12),LPE,PE,154141,MBOAT1,26,0.7828791988250128,0.4405242222704372,0.7713082857774329
PG(14:0),LPG(14:0),PG,LPG,255189,PLA2G4F,33,-0.23284333448362374,0.8176228160962107,0.23060354143236175
LPG(18:3) ,PG(32:2),LPG,PG,54675,CRLS1,32,0.32223968779854667,0.7495906623635951,0.31917915562632815
PE(32:2),LPE(17:1),PE,LPE,8605,PLA2G4C,27,-2.456867351259615,0.020641496900919754,2.3144783607108788
PS(40:0) ,PE(20:1),PS,PE,23761,PISD,6,0.12281695357620566,0.9033141875837271,0.1214757923726847
LPG(20:2) ,PG(38:3),LPG,PG,54675,CRLS1,32,2.0738532277203587,0.04725790564106608,1.983981470302644
LPC(16:0),PC(46:0),LPC,PC,54947,LPCAT2,22,1.2770999873688718,0.21714027820552165,1.2341680823753929
PS(36:2),PE(20:3),PS,PE,23761,PISD,6,-0.14656684099392603,0.8845548344586509,0.1451976333350356
LPE(22:1),PE(36:0),LPE,PE,154141,MBOAT1,26,0.6627913625259185,0.5128093403156058,0.6544695475087629
PE(44:1),PC(30:2),PE,PC,10400,PEMT,8,0.4323885317780403,0.6686610682667189,0.4279863363407651
PE(14:1),PS(28:0),PE,PS,81490,PTDSS2,7,0.21846900780653672,0.829453609218703,0.21540238688536661
LPI(18:2) ,PI(44:3),LPI,PI,79143,MBOAT7,28,-1.7973291765105643,0.09969923990210222,1.64631345908276
PC(38:5),LPC(16:1)_2,PC,LPC,5320,PLA2G2A,23,-0.872715579968664,0.39287493081817404,0.8544152831666643
PC(42:11),LPC(20:5),PC,LPC,283748,PLA2G4D,23,1.102038921905227,0.2848036013938015,1.0695906594165716
PC(34:1),LPC(22:0),PC,LPC,283748,PLA2G4D,23,-0.5021684991113831,0.6193924578628334,0.49671157623376216
PI(36:0),LPI(14:0) ,PI,LPI,283748,PLA2G4D,29,-0.5850241961989294,0.5633031380345153,0.5779422074263707
PS(40:3),LPS(20:0) ,PS,LPS,64600,PLA2G2F,31,1.28142656323977,0.21098021563234032,1.2508746453259318
PC(34:0),LPC(6:0),PC,LPC,123745,PLA2G4E,23,0.7687561532643719,0.4511463794658601,0.7535052137261964
Cer(42:0),SM(30:0),Cer,SM,166929,SGMS2,17,0.1729730966940582,0.8639574325341508,0.17133872496561764
PG(38:3),LPG(20:4) ,PG,LPG,255189,PLA2G4F,33,0.1886493546127442,0.8516875332266385,0.18696569094233326
PE(44:1),LPE(20:0),PE,LPE,8605,PLA2G4C,27,0.021434212353825345,0.9831053139712658,0.021175931357639528
PG(42:0),LPG(14:0),PG,LPG,54675,CRLS1,33,1.372722357142205,0.18066535951451979,1.3387092017437134
PC(34:5),LPC(16:1)_2,PC,LPC,5321,PLA2G4A,23,-0.38832119580555324,0.7007389891882994,0.3843230996325525
LPC(19:3),PC(36:4),LPC,PC,10162,LPCAT3,22,0.5317720346547804,0.5990888581765123,0.5257112326028182
SM(44:1),Cer(44:1),SM,Cer,6610,SMPD2,18,0.799793430232398,0.4304321362738984,0.7884523906225678
LPS(18:4)_2,PS(42:4),LPS,PS,10162,LPCAT3,30,1.4688688648794466,0.15276105983009428,1.4298465695846998
LPE(21:0),PE(36:1),LPE,PE,10162,LPCAT3,26,1.5123114780743954,0.1415035454624251,1.4702149555151656
PC(34:4),LPC(22:5),PC,LPC,123745,PLA2G4E,23,-1.1564714155318225,0.26428980718962636,1.1163091946997086
LPC(24:0),PC(44:5),LPC,PC,54947,LPCAT2,22,0.12739372935258966,0.8995162734038684,0.12627243735137791
LPS(22:6) ,PS(42:7),LPS,PS,254531,LPCAT4,30,-1.187762399345961,0.24567208286683895,1.1609257823803518
PC(34:0),LPC(16:1),PC,LPC,8605,PLA2G4C,23,-0.2716491094886495,0.7878656234435714,0.26908324524953564
LPC(24:1),PC(44:6),LPC,PC,79888,LPCAT1,22,0.08486298803015141,0.93295481908425,0.08412780339524982
PC(36:5),LPC(18:1),PC,LPC,64600,PLA2G2F,23,0.5174808811862308,0.6102115563159447,0.5097714974227893
PC(32:5),LPC(12:0),PC,LPC,5319,PLA2G1B,23,-0.3387800280139945,0.7372215605222985,0.33553498230693285
PE(14:0),PC(38:5),PE,PC,10400,PEMT,8,0.7936505237376984,0.43427669981229966,0.7818942920427276
LPE(22:2),PE(44:1),LPE,PE,129642,MBOAT2,26,1.266667467341686,0.21756993280744127,1.233015630067936
PS(38:0),LPS(18:4)_2,PS,LPS,30814,PLA2G2E,31,-1.2137803640907443,0.23686805688206014,1.1828513715242681
PS(44:7),LPS(22:6) ,PS,LPS,5320,PLA2G2A,31,1.7153523486052387,0.09696798807064048,1.6597339415004342
LPE(24:6),PE(36:7),LPE,PE,129642,MBOAT2,26,-0.021291095522493295,0.9832488026085391,0.020996055035978022
PC(30:1),LPC(8:0),PC,LPC,283748,PLA2G4D,23,-0.14317831842905115,0.887142647239628,0.1419206953654556
PC(30:1),LPC(15:0),PC,LPC,5321,PLA2G4A,23,-1.3474042261485668,0.1898164950690736,1.3111221600941603
PE(16:0),PC(42:1),PE,PC,10400,PEMT,8,-1.0554542986728326,0.30225169284142783,1.0316167450462677
PI(40:0),LPI(20:1),PI,LPI,283748,PLA2G4D,29,0.5899130086246585,0.5600314044560952,0.5827948616215841
PC(34:1),LPC(18:0),PC,LPC,30814,PLA2G2E,23,0.5811913662555137,0.5675372160016037,0.5716823174986302
LPE(20:3),PE(34:3),LPE,PE,129642,MBOAT2,26,1.2251318264664126,0.23473083688517588,1.1882603927158422
PC(34:4),LPC(18:3),PC,LPC,5321,PLA2G4A,23,0.685405492114327,0.500754821889551,0.6733025640374294
PS(26:0),LPS(12:0) ,PS,LPS,5320,PLA2G2A,31,-0.8897678865202564,0.38094240441820815,0.8761612032607448
PC(34:2),LPC(17:1),PC,LPC,64600,PLA2G2F,23,0.5293175563417943,0.6019149890892339,0.5216486422108312
PC(38:5),LPC(18:2),PC,LPC,100137049,PLA2G4B,23,0.24490596073797577,0.8083894837684096,0.24250422461677468
PC(52:0),LPC(22:0),PC,LPC,8605,PLA2G4C,23,-0.7601843740618455,0.4537418308559972,0.7491914348469925
LPC(17:1),PC(32:0),LPC,PC,79888,LPCAT1,22,0.5328785897092272,0.5981810115464714,0.5270181110954228
PC(36:4),LPC(20:4),PC,LPC,8605,PLA2G4C,23,0.8823511218863872,0.3888011503331923,0.8617935219874708
PG(40:6),LPG(22:4) ,PG,LPG,283748,PLA2G4D,33,2.8016269758486056,0.009799966794619365,2.582808621064349
PC(34:3),LPC(19:3),PC,LPC,5321,PLA2G4A,23,0.8411561885905241,0.41077774377279197,0.8225257390886689
PC(36:4),LPC(20:3),PC,LPC,5319,PLA2G1B,23,0.8705001654909785,0.3950943549051902,0.8504150802144894
PC(40:7),LPC(20:3),PC,LPC,5319,PLA2G1B,23,0.8177577191244827,0.42334401608325967,0.8006332149020102
LPS(18:4),PS(42:3),LPS,PS,254531,LPCAT4,30,0.3478398083907981,0.7310839986211772,0.3436839289314862
PG(38:1),LPG(18:2) ,PG,LPG,283748,PLA2G4D,33,-0.23381883464979544,0.8167701356380898,0.23170115319305487
PC(36:0) ,LPC(16:1)_2,PC,LPC,30814,PLA2G2E,23,-0.4531074752937097,0.6545733208169494,0.4474179458806741
LPC(20:1),PC(42:6),LPC,PC,54947,LPCAT2,22,-1.1925603650441365,0.24313954798568554,1.1671753881686735
SM(42:0),Cer(30:1),SM,Cer,6610,SMPD2,18,0.5342956332101513,0.5984086485341344,0.5266903348350042
LPC(22:0),PC(36:0) ,LPC,PC,10162,LPCAT3,22,0.7060673791328947,0.4858332823917494,0.6969512828489034
PC(34:3),LPC(16:1)_2,PC,LPC,5320,PLA2G2A,23,-0.09588661378205723,0.9242702201340713,0.09505615931466782
LPG(20:1) ,PG(42:7),LPG,PG,9926,LPGAT1,32,1.0614707456723822,0.29741224934854904,1.0419987697008148
PC(44:1),LPC(22:1),PC,LPC,5319,PLA2G1B,23,-1.1594054945230376,0.2621811162037838,1.1212508127298908
PI(38:3),LPI(20:3) ,PI,LPI,283748,PLA2G4D,29,-0.3992713291098964,0.6927723595654691,0.39509556802477647
PI(42:1),LPI(16:0) ,PI,LPI,123745,PLA2G4E,29,0.6780187457696082,0.503896914374329,0.6683708242714115
PC(42:2),LPC(20:2),PC,LPC,8605,PLA2G4C,23,1.164019292377027,0.2594544213206022,1.1276815758881233
PE(22:2),PS(36:2),PE,PS,81490,PTDSS2,7,0.35517493709907594,0.7255907476843967,0.3509968018825928
LPC(16:0),PC(34:2),LPC,PC,54947,LPCAT2,22,0.8729978230002573,0.3908539936306219,0.8580696704775174
PC(32:0),LPC(16:0),PC,LPC,5319,PLA2G1B,23,-0.45620733058455376,0.6529520619028202,0.4496649305861508
PC(44:1),LPC(18:0),PC,LPC,100137049,PLA2G4B,23,0.8723542629421167,0.3907011921679314,0.8583464417230309
PG(44:6),LPG(20:0),PG,LPG,54675,CRLS1,33,0.25049877266446996,0.8039861239616337,0.24819165342449212
PC(30:1),LPC(12:0),PC,LPC,123745,PLA2G4E,23,-0.012312717481661458,0.9902604384952804,0.012207033283394782
LPC(20:5),PC(40:8),LPC,PC,79888,LPCAT1,22,0.473883492371611,0.6395216231201024,0.4683677547978988
PC(42:0),LPC(16:1)_2,PC,LPC,255189,PLA2G4F,23,1.6803048550084023,0.10844250654329438,1.6052331414200398
PS(38:8),LPS(20:5) ,PS,LPS,64600,PLA2G2F,31,-0.31552785819523504,0.7549539402528017,0.3121139301513756
LPS(20:4) ,PS(38:6),LPS,PS,10162,LPCAT3,30,0.9983790679209014,0.32660232891961605,0.980980558522412
LPS(20:3) ,PS(36:2),LPS,PS,254531,LPCAT4,30,0.21860448849345707,0.8286627451842257,0.21641696276309563
LPC(22:6),PC(42:10),LPC,PC,54947,LPCAT2,22,0.30599926959365376,0.7621972947123407,0.30259661464686194
PC(32:0),LPC(6:0),PC,LPC,30814,PLA2G2E,23,0.6139327190788482,0.5449348244951858,0.605367524057031
PC(36:1),LPC(19:0),PC,LPC,5321,PLA2G4A,23,0.8180456810411381,0.42292195402808774,0.8013622649653684
PC(34:1),LPC(14:0),PC,LPC,123745,PLA2G4E,23,0.3702794484886594,0.7145371598022556,0.3657693938608712
PC(42:6),LPC(22:2),PC,LPC,5321,PLA2G4A,23,-0.533838572407096,0.601292325786595,0.5225429851689941
PE(44:3),LPE(18:4),PE,LPE,8605,PLA2G4C,27,0.6536027527779318,0.5202499258650004,0.6429601993167929
LPS(18:1) ,PS(38:0),LPS,PS,154141,MBOAT1,30,-0.43831082103741503,0.6657659005084609,0.43196630827046656
LPC(10:0),PC(40:0),LPC,PC,54947,LPCAT2,22,-0.8727047274331907,0.3903628963605066,0.8589594353097811
PC(40:7),LPC(18:1),PC,LPC,26279,PLA2G2D,23,0.27970982717860066,0.7820483067763907,0.2766507308519712
LPS(14:0),PS(36:4),LPS,PS,10162,LPCAT3,30,0.03935784675071006,0.968892021532262,0.038997951884807786
PC(34:5),LPC(16:1)_2,PC,LPC,123745,PLA2G4E,23,-0.38832119580555324,0.7007389891882994,0.3843230996325525
PI(36:0),LPI(14:1),PI,LPI,123745,PLA2G4E,29,-0.502700072901885,0.6191790772781676,0.49701414393560195
Cer(46:0),Cer1P(32:1),Cer,Cer1P,64781,CERK,41,-0.7894846285328704,0.4377978368825981,0.7759172666787101
LPS(20:1) ,PS(36:2),LPS,PS,254531,LPCAT4,30,-0.3885354475278911,0.7023422322358863,0.3821606164945293
LPC(22:6),PC(42:1),LPC,PC,254531,LPCAT4,22,0.13827823728608163,0.8910466916860316,0.13697988877488257
PC(34:5),LPC(18:4),PC,LPC,255189,PLA2G4F,23,0.578110365941415,0.56908579395012,0.569398412468284
LPS(20:4) ,PS(38:5),LPS,PS,10162,LPCAT3,30,1.397586487420827,0.17359963994421848,1.3607280717502601
LPG(14:1) ,PG(36:6),LPG,PG,54675,CRLS1,32,0.748609587631552,0.4601343524334709,0.7386256367644665
LPC(18:1),PC(34:2),LPC,PC,54947,LPCAT2,22,0.8288886245600253,0.4142866410471301,0.8163733377632661
PG(42:2),LPG(16:1) ,PG,LPG,54675,CRLS1,33,0.5856370219445899,0.5634693189121938,0.5776960907645474
PG(28:0),LPG(12:0),PG,LPG,283748,PLA2G4D,33,1.0744773183001968,0.29652596126045383,1.0439123122158411
PG(30:1),LPG(14:1) ,PG,LPG,283748,PLA2G4D,33,0.05977722737722494,0.952751617942295,0.05925171676637396
SM(30:0),Cer(42:1),SM,Cer,6609,SMPD1,18,-0.9780018699122658,0.3373470637884778,0.9594202777110156
LPS(14:1) ,PS(34:1),LPS,PS,10162,LPCAT3,30,0.29316388158991863,0.7715369573175478,0.29036507769460107
LPI(20:5) ,PI(38:3),LPI,PI,79143,MBOAT7,28,1.240377625146565,0.22498215314409284,1.2133863224601467
LPS(18:4),PS(42:9),LPS,PS,254531,LPCAT4,30,0.6481522746163141,0.523667984472424,0.6377015375668296
LPS(22:6) ,PS(40:8),LPS,PS,10162,LPCAT3,30,0.5773559629246168,0.568250996086253,0.570629236159083
PC(44:0),LPC(20:5),PC,LPC,30814,PLA2G2E,23,1.1305437315619067,0.27177193226895874,1.0989911359573643
PI(38:1),LPI(16:1) ,PI,LPI,283748,PLA2G4D,29,0.5482837940409564,0.5884290279308715,0.541113972695847
LPC(20:5),PC(42:1),LPC,PC,254531,LPCAT4,22,-1.6746212703698555,0.10513635828860572,1.6204466848450698
LPG(18:0) ,PG(30:0),LPG,PG,54675,CRLS1,32,0.8227026054328019,0.41741327681116347,0.810917104704721
LPE(18:3),PE(36:0),LPE,PE,154141,MBOAT1,26,1.4232031615239604,0.16586536515947017,1.38561215334945
PC(44:10),LPC(22:5),PC,LPC,64600,PLA2G2F,23,-0.5264738682228471,0.6067639335065553,0.5146981970683493
PC(42:1),LPC(18:2),PC,LPC,5319,PLA2G1B,23,1.3618640359697782,0.18873059285072116,1.3143436245053899
LPI(20:0) ,PI(42:1),LPI,PI,79143,MBOAT7,28,-1.0673026204039218,0.2981443889690355,1.0404209147999934
PC(38:4),LPC(22:4),PC,LPC,283748,PLA2G4D,23,-1.4212653626144698,0.17263825282636142,1.3637754383893521
PC(34:2),LPC(18:2),PC,LPC,30814,PLA2G2E,23,0.6658049019330528,0.5130816849053967,0.6540467529606482
LPS(20:1) ,PS(38:3),LPS,PS,254531,LPCAT4,30,-0.7968034122715809,0.4357525433008683,0.7793857027989723
PE(34:5),LPE(22:4),PE,LPE,8605,PLA2G4C,27,0.7039206152820868,0.4872614645813297,0.6946710661104293
PC(52:0),PS(34:3),PC,PS,9791,PTDSS1,9,0.7023656474252562,0.48814048970517576,0.6932694205523696
LPS(22:0 ,PS(36:0),LPS,PS,254531,LPCAT4,30,-0.8896138206096442,0.388134003653686,0.8630062990504104
PS(32:0),LPS(16:1) ,PS,LPS,30814,PLA2G2E,31,0.26784670722216686,0.7912944309149296,0.2646300989207086
PG(40:0) ,LPG(20:0),PG,LPG,54675,CRLS1,33,1.0841454194322069,0.2920827416977555,1.0535636436539755
LPC(10:0),PC(36:1),LPC,PC,254531,LPCAT4,22,0.5504002720064477,0.5867282202883447,0.5435833494416192
PC(34:1),LPC(19:0),PC,LPC,5321,PLA2G4A,23,0.8299271479033631,0.416991408213773,0.8116518886562959
PS(40:1),PE(16:1),PS,PE,23761,PISD,6,1.197887430415815,0.24235064533875278,1.1691315223876928
PE(20:0),PC(38:2),PE,PC,10400,PEMT,8,-1.2527608617492214,0.22848711123428314,1.2042651518849066
PC(46:1),LPC(22:0),PC,LPC,30814,PLA2G2E,23,-2.262675390623935,0.03158101703261779,2.149673916812622
PC(44:1),LPC(20:2),PC,LPC,123745,PLA2G4E,23,1.0428858888151247,0.308892358898694,1.0175489490142184
PC(42:3),LPC(20:2),PC,LPC,255189,PLA2G4F,23,1.1542203939550353,0.2633593141619741,1.1184863944288037
LPS(20:5) ,PS(40:1),LPS,PS,254531,LPCAT4,30,0.3464670450686487,0.7315333966070758,0.3430864870890173
PS(38:3),PE(22:4),PS,PE,23761,PISD,6,0.38651662623079497,0.7019389573759137,0.3827043922988565
LPE(18:4),PE(30:4),LPE,PE,154141,MBOAT1,26,1.860035742912638,0.07309793643918872,1.792218724277087
PC(32:5),LPC(10:0),PC,LPC,30814,PLA2G2E,23,0.14669363447466016,0.8845120606332615,0.14525181067948084
PC(44:2),LPC(18:2),PC,LPC,30814,PLA2G2E,23,0.9815834605605992,0.3358687801194187,0.9623600380473375
PS(38:0),LPS(20:4) ,PS,LPS,30814,PLA2G2E,31,-0.9269293592685269,0.3630468302347818,0.9095747303263011
LPE(18:3),PE(40:8),LPE,PE,10162,LPCAT3,26,0.8994343396487122,0.375911114942587,0.8854553057525956
PC(32:4),LPC(20:3),PC,LPC,100137049,PLA2G4B,23,0.6329906506779563,0.5338956373855221,0.6220703088501685
PC(40:0),LPC(22:4),PC,LPC,255189,PLA2G4F,23,-0.6374363136972381,0.533479176902395,0.6227038125044836
PC(40:6),LPC(22:5),PC,LPC,30814,PLA2G2E,23,-1.157007233581493,0.26374879735025997,1.117574423563354
PS(38:2),LPS(22:2) ,PS,LPS,30814,PLA2G2E,31,0.01159290711287845,0.9908297963335855,0.01149339893508761
PS(40:7),LPS(20:2) ,PS,LPS,30814,PLA2G2E,31,-1.48310224691558,0.1606224774835305,1.4029810915757333
PG(36:1),LPG(20:0),PG,LPG,255189,PLA2G4F,33,2.08276172166933,0.04635406252646941,1.9921549214007477
PI(40:9),LPI(22:6) ,PI,LPI,283748,PLA2G4D,29,0.9621828235043213,0.3450050732319655,0.9443221051552287
LPS(22:0 ,PS(40:2),LPS,PS,254531,LPCAT4,30,-0.30476530222915504,0.7636189321606494,0.30073191221177553
PS(32:2),PE(14:1),PS,PE,23761,PISD,6,-0.92074407354441,0.3688146224084009,0.8986959733282313
PC(36:1),LPC(19:0),PC,LPC,123745,PLA2G4E,23,0.8180456810411381,0.42292195402808774,0.8013622649653684
PG(42:0),LPG(18:0) ,PG,LPG,255189,PLA2G4F,33,-0.0740360996629939,0.941604577144041,0.07325326966917668
PC(42:6),LPC(22:2),PC,LPC,123745,PLA2G4E,23,-0.533838572407096,0.601292325786595,0.5225429851689941
PI(36:2),LPI(17:2),PI,LPI,283748,PLA2G4D,29,-1.2023421962658956,0.2434789797151468,1.1663351183206836
PE(42:2)_2,PS(30:1),PE,PS,81490,PTDSS2,7,0.3933161241354252,0.6981970543463474,0.3877553991892783
LPE(20:2),PE(40:5),LPE,PE,129642,MBOAT2,26,-0.18486939020127968,0.855170687201211,0.1825250631049508
PC(36:1),LPC(16:1),PC,LPC,5319,PLA2G1B,23,-0.4507471046365484,0.6563523051914355,0.44495495761402815
LPG(18:2) ,PG(36:1),LPG,PG,54675,CRLS1,32,-0.989893050246597,0.3313659821410282,0.9713661429268018
PE(32:1),PS(32:1),PE,PS,81490,PTDSS2,7,0.42426558228380273,0.6751510850711351,0.4190890060994276
PS(44:10),LPS(20:4) ,PS,LPS,30814,PLA2G2E,31,-0.15343519474274284,0.8792001896004094,0.15198319565283458
PE(18:2),PC(44:3),PE,PC,10400,PEMT,8,0.018989005863242293,0.9849851633960174,0.018819417806633626
LPS(20:3) ,PS(42:7),LPS,PS,154141,MBOAT1,30,0.24590382594624463,0.8078809432552712,0.2431606572352024
LPE(20:3),PE(42:2)_2,LPE,PE,254531,LPCAT4,26,1.3286489668364017,0.19989451298654665,1.2818521590982896
PC(38:1),LPC(20:5),PC,LPC,26279,PLA2G2D,23,0.753725702109153,0.4592335385223443,0.740109526776455
LPG(18:4),PG(34:3),LPG,PG,9926,LPGAT1,32,1.024886236881511,0.3140502331265829,1.0067597668632045
PG(36:1),LPG(17:1) ,PG,LPG,255189,PLA2G4F,33,1.4324014009581105,0.16331735280310342,1.3940008339815488
PE(22:4),PC(40:2),PE,PC,10400,PEMT,8,0.25737101879156365,0.7988532754912528,0.2548314602297951
SM(42:2),Cer(20:1),SM,Cer,55512,SMPD3,18,0.3488612074697162,0.7300161101486293,0.3451041014472316
