Match 1,Match 2,Lipid 1,Lipid 2,Number,Gene,Reaction,T-Statistic,P-Value,Z-Score
LPE(16:1),PE(36:6),LPE,PE,254531,LPCAT4,26,-1.0171857898719359,0.3182995656659458,0.9979583291117452
PC(42:6),LPC(20:0),PC,LPC,100137049,PLA2G4B,23,2.3721892611034936,0.027723928075330362,2.201170892599156
LPI(18:2) ,PI(44:2),LPI,PI,79143,MBOAT7,28,-1.8613396712484096,0.08953482620768824,1.6978566212324382
LPC(18:4),PC(38:9),LPC,PC,79888,LPCAT1,22,0.5747055079946901,0.5700067645774362,0.5680415358237625
LPI(14:0) ,PI(40:0),LPI,PI,79143,MBOAT7,28,0.23298347942499337,0.8177465388814658,0.23044430255421136
PG(42:3),LPG(22:6) ,PG,LPG,54675,CRLS1,33,0.42253827664239424,0.6765814187204156,0.4171326031740784
Cer1P(20:1),SM(36:0),Cer,SM,10087,CERT1,17,0.5488214484335643,0.5874235234885217,0.5425734495716352
PC(30:1),LPC(12:0),PC,LPC,26279,PLA2G2D,23,-0.012312717481661458,0.9902604384952804,0.012207033283394782
PC(42:2),LPC(22:1),PC,LPC,283748,PLA2G4D,23,0.4024744903390806,0.6903732758339489,0.3983485522773721
PC(42:2),LPC(22:2),PC,LPC,5320,PLA2G2A,23,-0.30068949700195247,0.7675635241833582,0.29556340496785305
PS(34:2),PE(22:1),PS,PE,23761,PISD,6,0.07819153906282394,0.9382374764535379,0.07748531076167886
Cer(38:3),SM(38:3),Cer,SM,259230,SGMS1,17,0.8558354828249557,0.3995496454694206,0.8424258199182307
LPC(18:1),PC(30:0),LPC,PC,10162,LPCAT3,22,0.8930811478004215,0.3792241056892809,0.8793268057817952
PC(44:1),LPC(20:0),PC,LPC,255189,PLA2G4F,23,1.9431020209836918,0.0642013649504497,1.8507789197003899
PC(42:0),LPC(16:0),PC,LPC,30814,PLA2G2E,23,1.7190151688526267,0.10041456044620978,1.6428471575972339
PS(34:1),LPS(22:1) ,PS,LPS,5320,PLA2G2A,31,-0.20226172350030774,0.8411332264008035,0.20044415886814868
LPC(22:5),PC(44:10),LPC,PC,10162,LPCAT3,22,0.2791861159547418,0.7823321973291961,0.2762810659810841
PG(36:1),LPG(22:2),PG,LPG,54675,CRLS1,33,1.5741388036148118,0.12662500084866948,1.527547195374439
PS(32:1),LPS(15:0) ,PS,LPS,5320,PLA2G2A,31,-1.0893898966273725,0.2908427383664469,1.0562746844142852
LPE(20:4),PE(38:8),LPE,PE,254531,LPCAT4,26,1.6892300999801737,0.10822707733419648,1.6062131850464922
LPE(13:0),PE(32:0),LPE,PE,254531,LPCAT4,26,-0.1292501405672838,0.8980524156524474,0.12812201313458424
PE(38:5),LPE(22:4),PE,LPE,8605,PLA2G4C,27,0.1184436339592596,0.9065459626287138,0.11739636731781933
PC(32:0),LPC(15:0),PC,LPC,30814,PLA2G2E,23,-0.8187970023782607,0.42417389337948475,0.7992009634713174
LPC(15:1),PC(32:1),LPC,PC,10162,LPCAT3,22,0.9492634077503553,0.3521612271815011,0.93040539329752
PC(50:0),LPC(22:0),PC,LPC,255189,PLA2G4F,23,-0.8354816194026539,0.41033647334939605,0.8233016538955212
PS(40:0) ,LPS(20:1) ,PS,LPS,5320,PLA2G2A,31,0.34212410188966735,0.7348303504299336,0.33870715448930216
PC(40:0),LPC(24:1),PC,LPC,5321,PLA2G4A,23,0.2647432320758036,0.7935778288478753,0.2616674612151506
LPI(14:0) ,PI(32:3),LPI,PI,79143,MBOAT7,28,0.027195261303109414,0.9784960804693899,0.02695442991745739
LPS(20:0) ,PS(40:4),LPS,PS,10162,LPCAT3,30,-1.7050789789483223,0.10070060699449891,1.6414665412170308
LPC(22:5),PC(36:6),LPC,PC,54947,LPCAT2,22,0.6937362630090604,0.4934251967980484,0.6848712067552446
PG(38:7),LPG(20:5) ,PG,LPG,283748,PLA2G4D,33,0.7131611827579054,0.48348902864860255,0.7007019663721104
LPC(18:2),PC(46:2),LPC,PC,79888,LPCAT1,22,-0.3042982265642684,0.7634064481241594,0.3010105520283831
PC(40:3),LPC(18:4),PC,LPC,64600,PLA2G2F,23,0.9522617079273588,0.34886734554562393,0.9367885318514484
LPS(20:3) ,PS(40:0) ,LPS,PS,10162,LPCAT3,30,0.27182426712609664,0.7879582215501388,0.26896291419213453
LPE(18:2),PE(38:7),LPE,PE,254531,LPCAT4,26,0.28987715836266453,0.7740083218150832,0.28713582550936695
PS(36:2),LPS(16:1) ,PS,LPS,64600,PLA2G2F,31,0.4138943207983497,0.6827249851794255,0.40874748111563086
PC(38:5),LPC(20:1),PC,LPC,30814,PLA2G2E,23,0.5952316690744136,0.5579012219623962,0.5859617460760542
PE(36:5),LPE(16:0),PE,LPE,8605,PLA2G4C,27,0.33614853805049105,0.7398044345739476,0.33211233726336153
PG(40:5),LPG(16:0),PG,LPG,54675,CRLS1,33,1.0564675675104167,0.299551189439964,1.0373963269325588
PC(40:4),LPC(21:4),PC,LPC,283748,PLA2G4D,23,-1.125385839689268,0.27798154160720556,1.0848647967868636
PC(38:4),LPC(16:0),PC,LPC,5319,PLA2G1B,23,-0.8934685829636687,0.3814348149052037,0.8752556585251731
LPE(20:5),PE(38:3),LPE,PE,10162,LPCAT3,26,1.8702718511434764,0.0774639224847096,1.765594386422956
PC(36:2),LPC(24:1),PC,LPC,5319,PLA2G1B,23,-0.2735154865359893,0.7871612553691086,0.26999869786554237
LPE(22:0),PE(22:0),LPE,PE,10162,LPCAT3,26,0.4955470540295756,0.6246457526622319,0.4892767873226074
PC(34:1),LPC(17:1),PC,LPC,5320,PLA2G2A,23,0.426288403502017,0.6740752968555159,0.4205615208733711
PC(40:2),LPC(18:2),PC,LPC,5319,PLA2G1B,23,1.2243485863293102,0.23142845611581758,1.1966873072860742
LPS(20:2) ,PS(34:1),LPS,PS,254531,LPCAT4,30,1.2738911807944966,0.21422392929967454,1.242034239747733
PI(38:6),LPI(20:4) ,PI,LPI,123745,PLA2G4E,29,-1.7913862093689257,0.08947621113169879,1.6981671900445299
PC(38:2),LPC(22:2),PC,LPC,123745,PLA2G4E,23,-1.1608009076184462,0.26017346476894443,1.1259812289174518
LPG(20:2) ,PG(42:7),LPG,PG,54675,CRLS1,32,2.3026248564864655,0.02885956583775328,2.1853995227582272
PG(42:6),LPG(20:0),PG,LPG,54675,CRLS1,33,0.9417952974271487,0.3543369427900753,0.9262098342644166
PS(38:7),PE(20:3),PS,PE,23761,PISD,6,0.03259057382741547,0.9742426519184688,0.03228765755511813
LPC(12:0),PC(32:3),LPC,PC,10162,LPCAT3,22,0.6250314372591784,0.5369354081080491,0.617453856541849
LPE(18:3),PE(32:3),LPE,PE,254531,LPCAT4,26,0.8990587053443625,0.376080701399945,0.8851407911392108
PC(42:1),LPC(24:0),PC,LPC,8605,PLA2G4C,23,0.6705121802949086,0.5092873955232068,0.6599476949397474
PC(40:0),LPC(16:1)_2,PC,LPC,64600,PLA2G2F,23,0.7475580317307582,0.4620806982622655,0.7354250044458908
PC(38:6),LPC(20:3),PC,LPC,255189,PLA2G4F,23,0.6869919087789697,0.49927915262848255,0.6756243892105561
LPS(20:4) ,PS(44:4),LPS,PS,254531,LPCAT4,30,0.700623586604081,0.48912453074792184,0.6917019363101691
SM(44:2),Cer(32:2),SM,Cer,6610,SMPD2,18,-0.5721657836927123,0.5722890823646485,0.564683465794496
LPS(22:4) ,PS(42:8),LPS,PS,254531,LPCAT4,30,-0.5111538635808518,0.6135436508319667,0.5050216201772035
SM(32:2),Cer(44:2),SM,Cer,6610,SMPD2,18,1.0317431026022073,0.3117211244544771,1.0116171880458944
LPC(16:1),PC(40:1),LPC,PC,54947,LPCAT2,22,1.0245598031243137,0.31560846196190445,1.0035232558838088
LPG(20:2) ,PG(42:6),LPG,PG,9926,LPGAT1,32,2.2548937259914106,0.03186822024624443,2.1460596464851776
PS(42:2),LPS(22:1) ,PS,LPS,5320,PLA2G2A,31,0.2519257532008792,0.8035016463220158,0.2488178973537039
PG(42:10),LPG(20:4) ,PG,LPG,255189,PLA2G4F,33,0.32191356938639887,0.7498387140867303,0.3188520398651728
PE(42:3),LPE(24:0),PE,LPE,8605,PLA2G4C,27,1.0318038790040338,0.31070814445335965,1.0137372501990267
PI(36:0),LPI(18:4) ,PI,LPI,283748,PLA2G4D,29,-0.9833178150693449,0.33683335994775143,0.9604409039112255
LPC(20:2),PC(36:3),LPC,PC,79888,LPCAT1,22,0.5397970963857274,0.5938637460860292,0.533245359391729
PS(40:4),LPS(22:2) ,PS,LPS,30814,PLA2G2E,31,1.0964849364328433,0.2818935167052792,1.0760754443275369
PS(34:5),LPS(12:0) ,PS,LPS,30814,PLA2G2E,31,-0.07682743098091387,0.9393488799194061,0.07608826038668005
PI(40:0),LPI(22:1) ,PI,LPI,283748,PLA2G4D,29,0.5749156510900857,0.5701354355007542,0.5678520467630852
LPS(18:3) ,PS(30:2),LPS,PS,254531,LPCAT4,30,1.8395664097826963,0.07649085099480019,1.7714202057478157
LPC(17:0),PC(32:0),LPC,PC,10162,LPCAT3,22,0.543801258847617,0.5907581567180071,0.5377376873703229
PS(38:0),PE(18:3),PS,PE,23761,PISD,6,-0.6879133773701094,0.4979303468026516,0.6777497972303737
PE(40:1),LPE(20:1),PE,LPE,8605,PLA2G4C,27,0.24484131818171492,0.8088540847485526,0.2419046012203337
PS(36:5),LPS(12:0) ,PS,LPS,64600,PLA2G2F,31,-0.9041959199871518,0.37767108326427723,0.8821955217367281
LPC(18:0),PC(46:0),LPC,PC,10162,LPCAT3,22,-0.3331953863023781,0.7413838672701074,0.3300213007892178
LPE(16:1),PE(44:1),LPE,PE,129642,MBOAT2,26,-0.9476301699905182,0.3519546194040476,0.9308046587186954
PC(42:3),LPC(18:3),PC,LPC,5321,PLA2G4A,23,1.4083191263843677,0.1749727635542804,1.3563973890809857
LPS(20:2) ,PS(40:5),LPS,PS,154141,MBOAT1,30,0.7923644821647752,0.4361408850354146,0.778726427468806
