Lipid,Class,FAD185_M1_Male_5xFAD_hippocampus_x,FAD185_M3_Male_5xFAD_hippocampus_x,FAD189_M1_Male_5xFAD_hippocampus_x,FAD189_M2_Male_5xFAD_hippocampus_x,FAD185_M1_Male_5xFAD_hippocampus_y,FAD185_M3_Male_5xFAD_hippocampus_y,FAD189_M1_Male_5xFAD_hippocampus_y,FAD189_M2_Male_5xFAD_hippocampus_y,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(16:0),CAR,242261.5566596985,248843.77738952637,258400.71842575073,242644.57736968994,242261.5566596985,248843.77738952637,258400.71842575073,242644.57736968994,283562.06005859375,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(16:0)_QUAL,CAR,719417.8522720337,785145.1504745483,775260.2955551147,742124.9953994751,719417.8522720337,785145.1504745483,775260.2955551147,742124.9953994751,743383.630859375,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(16:1),CAR,234070.7368927002,243786.65781784058,243525.89723587036,245141.53705596924,234070.7368927002,243786.65781784058,243525.89723587036,245141.53705596924,271161.9794921875,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(16:1)_QUAL,CAR,702866.0491104126,749253.8325424194,745121.470867157,706428.0680923462,702866.0491104126,749253.8325424194,745121.470867157,706428.0680923462,740003.9345703125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(16:2),CAR,234065.51695632935,241021.6171951294,235195.55652236938,233346.37580871582,234065.51695632935,241021.6171951294,235195.55652236938,233346.37580871582,256414.337890625,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(16:2)_QUAL,CAR,672190.4879722595,718702.731842041,735353.2536010742,666488.748249054,672190.4879722595,718702.731842041,735353.2536010742,666488.748249054,720453.970703125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(17:0),CAR,1323412.7336769104,1298430.0461006165,1256010.5886001587,1303440.0905532837,1323412.7336769104,1298430.0461006165,1256010.5886001587,1303440.0905532837,1142501.9833984375,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(17:0)_QUAL,CAR,524084.7597351074,544247.1184806824,544579.76039505,537445.2820396423,524084.7597351074,544247.1184806824,544579.76039505,537445.2820396423,595367.421875,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(18:0),CAR,3152338.077976227,3125446.2456321716,3206437.527507782,3154476.9831314087,3152338.077976227,3125446.2456321716,3206437.527507782,3154476.9831314087,3204698.263671875,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(18:0)_QUAL,CAR,680055.5681686401,686212.0269203186,692955.5866088867,686706.8727798462,680055.5681686401,686212.0269203186,692955.5866088867,686706.8727798462,760985.4560546875,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(18:1),CAR,3117355.4632873535,3032631.7442245483,3135661.8673477173,3137405.0901641846,3117355.4632873535,3032631.7442245483,3135661.8673477173,3137405.0901641846,3208659.5,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(18:1)_QUAL,CAR,652836.6096572876,667999.2667655945,674752.2475852966,664495.7871170044,652836.6096572876,667999.2667655945,674752.2475852966,664495.7871170044,735194.3125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(18:2),CAR,3154983.2973480225,3117305.6686019897,3227121.770629883,3208946.618911743,3154983.2973480225,3117305.6686019897,3227121.770629883,3208946.618911743,3252238.28515625,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(18:2)_QUAL,CAR,637167.9860610962,647105.3828582764,656226.0102424622,626037.9048919678,637167.9860610962,647105.3828582764,656226.0102424622,626037.9048919678,725255.8544921875,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(18:3),CAR,3124648.587036133,3113804.3601646423,3207768.7754745483,3167399.8182868958,3124648.587036133,3113804.3601646423,3207768.7754745483,3167399.8182868958,3175149.642578125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(18:3)_QUAL,CAR,674675.5460586548,710249.2685241699,704185.2315292358,691361.1495399475,674675.5460586548,710249.2685241699,704185.2315292358,691361.1495399475,757884.5498046875,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(18:4),CAR,3088093.288913727,3084062.9276657104,3151311.2214126587,3114249.332508087,3088093.288913727,3084062.9276657104,3151311.2214126587,3114249.332508087,3109092.08203125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(18:4)_QUAL,CAR,678610.269733429,695143.8686027527,680078.0080528259,691105.929813385,678610.269733429,695143.8686027527,680078.0080528259,691105.929813385,756819.1298828125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(20:0),CAR,572608.2195358276,566178.4569587708,576807.3605537415,570718.543170929,572608.2195358276,566178.4569587708,576807.3605537415,570718.543170929,631235.4873046875,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(20:0)_QUAL,CAR,2042408.3503189087,2046230.5815696716,2031520.43227005,2030929.1793823242,2042408.3503189087,2046230.5815696716,2031520.43227005,2030929.1793823242,2018746.53125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
