Lipid,Class,DOD100-M1-WT-cerebellum10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,DOD100-M1-WT-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M5FAD173-WT-Cortex10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,36516.56300354004,35957.262645721436,34225.282024383545,33323.14264297485,36546.822441101074,39283.802684783936,22294.401321411133,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/16:0),Cer,92730.02653503418,82360.3857345581,87016.90506744385,119585.86815261841,86770.38639831543,115558.20627593994,49086.90395736694,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/18:0),Cer,23910.721534729004,21830.84148788452,21737.881813049316,24480.881874084473,23461.22156906128,21810.941791534424,32565.38228225708,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/16:0),Cer,97478.24760437012,85335.76477050781,105676.1282157898,100954.56726074219,83571.66579055786,98255.28512954712,104272.36771011353,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/18:0),Cer,305559.53926086426,284533.3180465698,315078.30672073364,304801.284576416,276514.42039108276,285917.71657562256,544596.580368042,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,50221.263679504395,97699.06726837158,35528.922370910645,38517.28271102905,40629.2631149292,37163.8623008728,28402.641986846924,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,77242.60544967651,81890.94709014893,73431.82516098022,104923.82834243774,79647.96742630005,97751.66666412354,19274.341342926025,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
1-O-myristoyl-Cer(d18:1/16:0),Cer,55769.94352340698,59503.92415237427,51984.18327713013,55029.08363342285,50479.26407623291,45911.8233833313,43334.30277252197,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
1-O-palmitoyl-Cer(d18:1/16:0),Cer,42922.682651519775,68184.54487991333,40714.48252868652,41975.34289932251,43672.76354598999,43771.94339752197,50665.82361602783,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
1-O-stearoyl-Cer(d18:1/16:0),Cer,61475.42427444458,137949.04893875122,43658.14338684082,44340.323066711426,49289.16366195679,44351.12351226807,32940.40257644653,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,43802.02247619629,44314.10312652588,45363.443408966064,45042.482692718506,47179.88382720947,49861.92351913452,21537.66153717041,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,11110.9609375,11287.780799865723,10400.820728302002,13229.820877075195,10774.420791625977,11459.260730743408,12759.900817871094,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",CAR,4113421.935546875,4024964.0034179688,4172629.2885742188,3537992.9995117188,4869216.183105469,3993657.2543945312,2428656.8916015625,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
12:0 Cholesteryl ester,CE,194297.81564331055,206243.57360839844,53790.523944854736,184184.01274108887,194290.03338623047,57300.26417160034,158999.98956298828,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
12:0 Cholesteryl ester_2,CE,190207.0535888672,198169.45237731934,51690.70365142822,194223.2352294922,194121.27363967896,55628.72424697876,163044.15301513672,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
14:0 Cholesteryl ester,CE,151012.9727783203,95271.94723510742,54412.36402511597,174361.71353149414,103502.50770568848,44501.422870635986,85346.74568939209,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
14:1 Cholesteryl ester,CE,146649.31089782715,99486.52751159668,53858.74382400513,167934.35008239746,103306.90727233887,43761.02275466919,91728.62675476074,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,273822.9802246094,280063.29833984375,99011.74743652344,292253.8006591797,309868.7003173828,101925.20712280273,268696.0985107422,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,CE,266944.2990722656,270783.4014892578,96553.88653564453,288007.4022216797,308109.24353027344,105516.18823242188,281328.5203857422,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
15:0 Cholesteryl ester,CE,241246.33728027344,253455.57739257812,105602.46716308594,253107.47875976562,264173.32067871094,101124.08694458008,248100.27880859375,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,278759.4783935547,273873.7996826172,111482.82788085938,278878.5386352539,308956.20349121094,115424.5080871582,282264.8193359375,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,CE,272410.89880371094,280813.90087890625,110884.42791748047,286760.6004638672,295662.2412109375,118771.74865722656,287922.24072265625,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
15:1 Cholesteryl ester,CE,260969.47998046875,254370.2586669922,106415.78732299805,279110.23876953125,272599.61767578125,109607.08767700195,255572.7781982422,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,163176.71159362793,187992.35208892822,46379.60326766968,181109.19328308105,438289.16777038574,77134.06510925293,121273.30940246582,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,CE,160255.63095092773,202342.01542663574,50241.78372955322,187184.91275024414,443183.8342895508,79354.32606506348,125768.08905029297,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
16:2 Campesteryl ester,CE,157160.73239135742,191045.8516845703,48198.26329803467,167781.59133911133,418315.46867370605,74919.82628250122,117353.56846618652,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,269839.3192138672,260879.01892089844,113157.44812011719,292551.71875,297439.0616455078,110140.7073059082,274790.7999267578,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
16:3 Campesteryl ester,CE,154318.75048446655,185146.27444458008,47734.20327758789,170507.59172058105,427672.8699798584,75315.50601577759,114802.70822143555,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
16:3 Cholesteryl ester,CE,254891.2978515625,267854.7390136719,103272.96737670898,270792.63830566406,275931.4796142578,110097.02749633789,268572.4782714844,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
16:3 Stigmasteryl ester,CE,209177.15560913086,238084.13414001465,74735.34531402588,238233.19439697266,491452.9175415039,112134.62752532959,174687.61349487305,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,263683.299118042,306007.86514282227,72935.00525665283,269417.33947753906,589933.1188049316,103941.22734069824,197711.39486694336,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",CE,264936.3984527588,297442.67919921875,70505.20509338379,275774.5595397949,578218.7215881348,105990.80756378174,197452.61389160156,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,262366.89752197266,291198.4189758301,70637.34497070312,272276.99826049805,578229.0800170898,104960.36757659912,201944.25617980957,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",CE,270283.1389465332,304620.8027038574,71781.18487167358,282595.2204284668,584872.5077514648,106163.54775619507,199674.95538330078,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,159780.23112487793,195049.07516479492,50700.763595581055,172803.25178527832,436325.72637939453,77847.66497421265,122837.10720825195,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,CE,141740.25134277344,189485.9930114746,45853.58361053467,165014.77180480957,415234.27352905273,75341.58574676514,119584.48794555664,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE,219805.51568603516,230061.63494873047,61646.12407684326,238098.99700927734,265711.5782318115,72586.16502380371,232670.8377380371,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",CE,218252.77764892578,222260.49298095703,57490.724044799805,234472.71701049805,270909.55950927734,68150.66487884521,241449.87837219238,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
18:1 Campesteryl ester,CE,224761.61779785156,221406.51528930664,57654.62384033203,233450.53912353516,261731.28118896484,63951.22497558594,225617.7167816162,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,280304.0225830078,318279.0209350586,71046.00440979004,289138.4790649414,585151.3779449463,102739.50680541992,224405.7758178711,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
18:3 Campesteryl ester,CE,204601.67504882812,201746.27587890625,59464.94415283203,213127.35446166992,242607.49642944336,66174.2045288086,197820.75631713867,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,303762.46228027344,323355.76055908203,75469.04551696777,315847.1044616699,595870.3013763428,103495.5284690857,254542.46154785156,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",CE,394841.6081542969,361790.46435546875,141033.05004882812,419422.98986816406,415310.3869628906,146106.55047607422,328716.4434814453,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",CE,389983.68701171875,350235.70349121094,141314.990234375,427756.94885253906,430666.9284667969,150386.73071289062,329537.4803466797,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",CAR,1239495.3037109375,1246068.6086425781,1313484.6853027344,1218044.2957763672,1240025.5187988281,1244585.4881591797,1930786.4631347656,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
20:0 Campesteryl ester,CE,585695.0806884766,473914.73474121094,214888.3358154297,944354.2272949219,799106.8182373047,242206.25750732422,317584.8635253906,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
20:1 Campesteryl ester,CE,591302.220703125,470726.4147949219,206285.61291503906,922340.9077148438,768436.0723876953,229859.89709472656,310572.0031738281,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",CE,399111.8679199219,371012.6671142578,143911.17016601562,420065.75048828125,422728.80859375,149125.32971191406,336350.2844238281,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",CE,397876.28942871094,374258.9852294922,143833.49053955078,420005.08837890625,413933.3474121094,152263.0704345703,332064.9237060547,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
20:3 Campesteryl ester,CE,718330.4713134766,585737.4237060547,297018.6400756836,831691.5396728516,630418.0675048828,291385.0417480469,532591.3153076172,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",CE,331318.5635986328,305953.5029296875,136850.70935058594,340624.28259277344,362469.4854736328,146808.49047851562,281844.6805419922,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",CE,353973.44651794434,347179.2874908447,132554.4094543457,348037.0646057129,402231.26961517334,144343.5308227539,433173.92571258545,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
20:5 Cholesteryl ester,CE,744792.4973754883,726792.6704101562,239452.2180480957,719790.7917480469,810821.262512207,246523.35818481445,911030.2897338867,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
22:0 Campesteryl ester,CE,328048.70728302,321248.46086883545,65602.16407394409,526033.4529647827,384554.50311279297,71315.94483184814,105651.5481300354,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",CE,273860.9999847412,198562.29412078857,90103.56624221802,636603.4621429443,524705.1521759033,114199.28704071045,79871.64535522461,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
22:0 Sitosteryl ester,CE,361571.613319397,384457.0058746338,74688.44552993774,561003.0242385864,421927.34729003906,79683.76554870605,228572.99380493164,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
22:1 Campesteryl ester,CE,276676.6441421509,289324.78229522705,61668.54472351074,479712.1131286621,395492.0505371094,70321.82493591309,102455.64757919312,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",CE,276648.3995361328,193528.11378479004,89969.3465385437,631755.8412628174,508749.61309814453,112743.7882270813,78654.8657836914,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",CE,368723.5038909912,365224.468170166,74251.82576751709,568701.699710846,423679.4720993042,84803.34576416016,206498.9136428833,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
22:2 Campesteryl ester,CE,107182.94714355469,130781.98825073242,53468.66411590576,289210.3822784424,381027.0474014282,70477.46474456787,80835.36569976807,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",CE,350452.42657470703,345563.46530914307,71689.82487487793,558193.1280670166,415441.63109588623,78620.56488800049,160474.38968276978,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
22:3 Campesteryl ester,CE,119099.86869812012,140469.92993164062,32036.042041778564,353298.22665405273,449166.67167663574,60358.8840713501,78485.72638702393,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
22:3 Stigmasteryl ester,CE,327154.7291030884,340397.6675796509,71032.12460327148,511923.66984558105,404606.42864990234,73503.32471084595,107463.74801254272,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",CE,635157.966796875,495490.35778808594,231045.13665771484,1016566.2236328125,848434.1008300781,253103.3198852539,370215.2233886719,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
