Lipid,Class,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,29398.342208862305,33126.942710876465,46202.783599853516,39305.7628326416,36187.022552490234,34723.00240325928,36657.50228881836,39095.642879486084,48923.5634727478,37555.882331848145,22294.401321411133,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/16:0),Cer,68731.26498031616,46299.72317123413,75554.60557937622,168528.36987304688,99853.7479057312,95524.1658706665,72723.06428146362,87146.86511993408,155467.693359375,73221.06582641602,49086.90395736694,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/18:0),Cer,23379.941871643066,18910.121425628662,23674.221508026123,19387.241500854492,22414.021717071533,22350.521404266357,19638.42140197754,19103.36149597168,21265.181526184082,19184.941383361816,32565.38228225708,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/16:0),Cer,80859.80527496338,67606.82591247559,69276.28416442871,121797.58711624146,102118.72706985474,77170.1263885498,71760.08392715454,66176.30462646484,109173.28615570068,77536.20505905151,104272.36771011353,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/18:0),Cer,286598.67964172363,210867.73253631592,259933.4981918335,272286.04024124146,300706.4411582947,260292.91549301147,226606.41647338867,224349.4774131775,218882.65203475952,217872.79592895508,544596.580368042,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,32220.22254562378,144073.01107406616,48475.983406066895,49439.163635253906,50599.063232421875,40271.942752838135,48901.74348449707,79985.14546966553,45007.06316757202,38794.08239746094,28402.641986846924,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,52082.28335571289,42169.38264846802,64451.98418426514,151543.98889923096,89210.56663894653,88004.54573059082,67973.50408935547,83376.7452545166,147981.1301498413,69986.14563369751,19274.341342926025,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
1-O-myristoyl-Cer(d18:1/16:0),Cer,54386.303718566895,80557.88554382324,58228.624572753906,50704.183753967285,50433.8034324646,48533.30375289917,53109.183780670166,59416.14421081543,49433.40335083008,43722.223094940186,43334.30277252197,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
1-O-palmitoyl-Cer(d18:1/16:0),Cer,35647.702491760254,75182.80504226685,49120.04314041138,46163.84300994873,45528.64307785034,42280.12342071533,51340.90389251709,57042.14367675781,44925.50315475464,38691.3226890564,50665.82361602783,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
1-O-stearoyl-Cer(d18:1/16:0),Cer,40163.10260391235,200401.79188537598,58489.64445877075,65201.24501800537,57285.90365982056,45861.98350524902,60920.963722229004,108743.84694671631,58732.24412536621,43761.362968444824,32940.40257644653,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,31280.902061462402,36101.58243179321,44575.183376312256,82565.64527130127,42070.66318130493,42481.76253890991,46389.883586883545,47993.662883758545,85672.64553451538,45309.76321029663,21537.66153717041,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,10099.880729675293,10180.240703582764,11458.880809783936,12517.040855407715,10831.58073425293,9886.160655975342,11597.380840301514,10146.580741882324,12243.720832824707,8869.920574188232,12759.900817871094,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",CAR,3269997.2236328125,4893907.564453125,4660732.6201171875,4206026.020996094,3740109.5576171875,4456442.3203125,4906805.72265625,4376553.2001953125,5851287.732910156,5240845.183105469,2428656.8916015625,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
12:0 Cholesteryl ester,CE,162075.57186889648,185949.39279174805,190370.63200378418,52144.48365020752,51295.14357757568,197889.75340270996,192208.85467529297,196251.07221984863,46403.643058776855,45492.56311035156,158999.98956298828,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
12:0 Cholesteryl ester_2,CE,167308.3116760254,191733.19528198242,180831.03214263916,49434.48342514038,48283.80372619629,188985.39365386963,191529.11226654053,181537.25415039062,43779.26319885254,49127.3635559082,163044.15301513672,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
14:0 Cholesteryl ester,CE,202606.45343017578,94036.70701599121,116114.08819580078,39418.46291732788,37524.18278503418,107592.74710083008,111948.30752563477,95863.90637207031,37085.942611694336,34170.76250457764,85346.74568939209,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
14:1 Cholesteryl ester,CE,199691.31356811523,93316.46569824219,120425.56855773926,37575.38257598877,34715.18257904053,105616.70771789551,114755.32794189453,89815.82641601562,36128.2225151062,35097.92267227173,91728.62675476074,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,247360.9578857422,266253.2185058594,280976.87927246094,103361.62686157227,103570.74768066406,344296.18408203125,322049.3430175781,282733.9587402344,111289.70825195312,97976.74700927734,268696.0985107422,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,CE,252850.63806152344,269787.4794921875,275199.18005371094,109722.42831420898,102070.20748901367,339298.6618652344,310006.2232055664,279367.6589355469,109775.18774414062,90888.4663696289,281328.5203857422,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
15:0 Cholesteryl ester,CE,229352.2568359375,249117.5584716797,268693.6774902344,105126.76776123047,107702.80712890625,266142.63873291016,262806.1593017578,247914.3380126953,100862.94711303711,93542.90643310547,248100.27880859375,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,260590.21728515625,268047.0192871094,298079.80126953125,111455.6879272461,115781.30844116211,325613.7829589844,314207.48400878906,285182.6004638672,111228.06823730469,104504.52752685547,282264.8193359375,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,CE,261740.3193359375,276397.84020996094,290697.8009033203,112282.48760986328,111079.46835327148,332167.22412109375,320285.1428222656,290290.8615722656,109240.58813476562,110252.7873840332,287922.24072265625,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
15:1 Cholesteryl ester,CE,259498.01831054688,255651.8582763672,270325.19915771484,111679.74743652344,103642.36712646484,268890.8377685547,271941.56005859375,254635.35803222656,99233.0864868164,98567.50695800781,255572.7781982422,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,104547.70739746094,125639.16746520996,145071.9510192871,181893.13065719604,67114.82503509521,599021.1501617432,364204.10803222656,448713.8888244629,151944.7908821106,56299.903301239014,121273.30940246582,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,CE,108868.50756835938,129753.7692565918,137290.98944091797,186053.9358062744,68740.46430206299,609993.4200134277,360084.2857208252,463799.4299316406,156451.45086669922,55858.1439781189,125768.08905029297,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
16:2 Campesteryl ester,CE,98350.60737609863,120443.98805236816,131431.08966064453,185782.1937828064,66551.36469268799,625300.3235015869,333241.1462402344,437722.5107727051,152684.90951156616,56317.044551849365,117353.56846618652,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,258572.75805664062,269297.05908203125,292214.919921875,110203.26791381836,106837.36743164062,318423.20361328125,314303.2229003906,291071.2001953125,108236.02865600586,103669.72769165039,274790.7999267578,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
16:3 Campesteryl ester,CE,100437.2666015625,118072.24786376953,136457.43032836914,189290.55142974854,64989.22410583496,615577.7465820312,344850.82232666016,433388.474029541,157380.9925956726,58418.86434555054,114802.70822143555,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
16:3 Cholesteryl ester,CE,242702.83837890625,258914.67810058594,280185.4190673828,113500.16781616211,111255.42819213867,310266.3620605469,293686.3809814453,270211.9997558594,109016.26788330078,102616.72705078125,268572.4782714844,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
16:3 Stigmasteryl ester,CE,140503.76998901367,230125.45840454102,206513.696723938,220924.29370880127,100984.72776794434,727697.5627822876,427144.43183898926,529747.2166748047,192696.09077453613,87870.18571090698,174687.61349487305,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,173129.27224731445,277060.34257507324,237041.23654174805,223447.37371826172,89343.60666656494,855093.6213684082,510967.8601989746,612365.7075805664,204385.93420410156,84979.48628616333,197711.39486694336,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",CE,176152.7712097168,267835.77947998047,236358.41625976562,224382.29598999023,88803.84687805176,852660.2135925293,521878.4792175293,601565.9233398438,199647.81414794922,89481.14645385742,197452.61389160156,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,175306.81085205078,278235.6174316406,244266.57760620117,213606.07862091064,89111.60607910156,842930.1578979492,510275.13067626953,586323.5788574219,197720.9366455078,81592.54598236084,201944.25617980957,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",CE,169233.3512878418,278870.03869628906,241900.73580932617,216516.61446380615,87569.78634643555,862067.712310791,517304.19201660156,595576.9428405762,204358.05494308472,83035.78645706177,199674.95538330078,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,100099.72714233398,127040.96856689453,131818.60929107666,184913.35300827026,69245.70543670654,611723.5156555176,350131.3035583496,446275.3489227295,159345.89164733887,60428.163719177246,122837.10720825195,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,CE,104714.5871887207,123977.3080444336,138369.3503265381,170765.33235931396,67861.66511154175,597038.2792663574,335558.16551208496,423873.5100250244,151612.76976776123,55816.66398239136,119584.48794555664,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE,175049.87139892578,348423.6258239746,213535.4341430664,67835.50381469727,64241.92467880249,579479.3815917969,415102.8081359863,312724.2644042969,103781.74765777588,79692.8857498169,232670.8377380371,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",CE,179889.05236816406,339962.84579467773,213364.9132080078,68219.18450927734,64514.02480316162,581549.4797363281,415805.8867492676,298301.0598449707,106387.14749145508,80918.7451248169,241449.87837219238,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
18:1 Campesteryl ester,CE,175239.93341064453,268409.1796569824,215967.89556884766,61878.924240112305,62048.54407501221,455285.64990234375,356218.5864562988,290367.66189575195,90191.30676269531,66857.70453643799,225617.7167816162,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,185224.33242797852,288059.8182067871,258973.9764404297,218629.17308807373,95617.1079788208,840616.2183532715,529500.3120422363,600648.3408966064,201127.7946472168,78328.40519714355,224405.7758178711,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
18:3 Campesteryl ester,CE,163275.2911682129,237849.93978881836,197581.23251342773,67581.88467407227,63734.52460479736,349060.78579711914,310821.30099487305,245531.99661254883,79602.82596588135,67994.36478424072,197820.75631713867,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,200000.09326171875,302431.44108581543,274596.4970703125,227412.97649383545,99282.3278427124,850813.5699462891,552733.6976013184,620345.5288085938,201715.55276489258,91518.96710586548,254542.46154785156,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",CE,341507.6442871094,514951.9577636719,400920.3483886719,148631.35021972656,134828.8695678711,738547.298828125,590154.2624511719,468987.13415527344,208501.35400390625,149831.62994384766,328716.4434814453,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",CE,352155.083984375,523589.35998535156,399723.98828125,146718.33074951172,137638.7099609375,721592.5570068359,591230.9625244141,457069.5925292969,204910.27416992188,155575.15103149414,329537.4803466797,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",CAR,1040048.8419189453,1131210.0415039062,1147077.4656982422,1272941.5639648438,1376064.4704589844,1342165.8034667969,1293608.794555664,1232293.98046875,1205931.8406982422,1154733.269897461,1930786.4631347656,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
20:0 Campesteryl ester,CE,679605.6884765625,570926.6004638672,540973.541015625,174167.41290283203,173933.0126953125,4539166.369384766,2738800.2377929688,1488004.1958007812,631150.6455078125,367630.4270629883,317584.8635253906,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
