Lipid,Class,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,DOD100-M1-WT-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M5FAD173-WT-Cortex10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,47917.14291381836,44551.783615112305,79700.04627227783,46306.862968444824,45042.482692718506,47179.88382720947,49861.92351913452,21537.66153717041,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,11874.980777740479,11112.440662384033,11614.500896453857,10037.64073562622,13229.820877075195,10774.420791625977,11459.260730743408,12759.900817871094,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",CAR,4612804.606933594,5059683.297363281,5089087.544433594,4672021.863769531,3537992.9995117188,4869216.183105469,3993657.2543945312,2428656.8916015625,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
12:0 Cholesteryl ester,CE,206443.9545135498,187842.8329925537,54702.864181518555,53449.14390563965,184184.01274108887,194290.03338623047,57300.26417160034,158999.98956298828,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
12:0 Cholesteryl ester_2,CE,198899.35383605957,189600.57427978516,50913.96357727051,49618.86361312866,194223.2352294922,194121.27363967896,55628.72424697876,163044.15301513672,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
14:0 Cholesteryl ester,CE,107908.76762390137,103784.52690124512,43653.82319641113,49058.56335067749,174361.71353149414,103502.50770568848,44501.422870635986,85346.74568939209,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
14:1 Cholesteryl ester,CE,101516.40711975098,103069.94741821289,42685.24269104004,45816.14336395264,167934.35008239746,103306.90727233887,43761.02275466919,91728.62675476074,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,289878.5213623047,287886.201171875,121756.28823852539,94190.34649658203,292253.8006591797,309868.7003173828,101925.20712280273,268696.0985107422,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,CE,292477.3010253906,290238.64123535156,120988.00839233398,93845.26657104492,288007.4022216797,308109.24353027344,105516.18823242188,281328.5203857422,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
15:0 Cholesteryl ester,CE,259193.8380126953,259023.73706054688,110598.20782470703,99013.02743530273,253107.47875976562,264173.32067871094,101124.08694458008,248100.27880859375,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,296957.74169921875,290135.00103759766,120349.36853027344,108678.26788330078,278878.5386352539,308956.20349121094,115424.5080871582,282264.8193359375,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,CE,299675.64099121094,298718.8214111328,121086.38803100586,111295.56848144531,286760.6004638672,295662.2412109375,118771.74865722656,287922.24072265625,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
15:1 Cholesteryl ester,CE,268055.0593261719,267581.09765625,112505.00863647461,97831.46688842773,279110.23876953125,272599.61767578125,109607.08767700195,255572.7781982422,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,482661.26905822754,230368.095413208,157669.31104660034,44475.383281707764,181109.19328308105,438289.16777038574,77134.06510925293,121273.30940246582,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,CE,457017.1744232178,232697.2156829834,162404.1529197693,42214.92322540283,187184.91275024414,443183.8342895508,79354.32606506348,125768.08905029297,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
16:2 Campesteryl ester,CE,468778.72998046875,229844.91590881348,165206.61423492432,43435.38317108154,167781.59133911133,418315.46867370605,74919.82628250122,117353.56846618652,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,286850.72009277344,293157.0216064453,113731.94830322266,101456.2074584961,292551.71875,297439.0616455078,110140.7073059082,274790.7999267578,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
16:3 Campesteryl ester,CE,456562.51862335205,217033.97341918945,160582.991481781,41053.32256317139,170507.59172058105,427672.8699798584,75315.50601577759,114802.70822143555,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
16:3 Cholesteryl ester,CE,273550.51916503906,280845.88049316406,118023.78784179688,104182.76788330078,270792.63830566406,275931.4796142578,110097.02749633789,268572.4782714844,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
16:3 Stigmasteryl ester,CE,542890.2322692871,303466.01583862305,177535.57064819336,70479.92538833618,238233.19439697266,491452.9175415039,112134.62752532959,174687.61349487305,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,609582.4785461426,339927.88663482666,196164.55129241943,63067.42455291748,269417.33947753906,589933.1188049316,103941.22734069824,197711.39486694336,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",CE,612892.9210205078,352186.2632141113,199214.2363128662,66339.54444122314,275774.5595397949,578218.7215881348,105990.80756378174,197452.61389160156,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,604201.1010437012,344977.4267883301,195620.6760406494,66619.54499816895,272276.99826049805,578229.0800170898,104960.36757659912,201944.25617980957,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",CE,601233.5832366943,331640.3845214844,200966.05520629883,63674.6642036438,282595.2204284668,584872.5077514648,106163.54775619507,199674.95538330078,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,471428.01194763184,218880.09548187256,165967.61249160767,46261.54291534424,172803.25178527832,436325.72637939453,77847.66497421265,122837.10720825195,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,CE,460792.76985168457,206078.07276916504,160566.41161346436,45343.343311309814,165014.77180480957,415234.27352905273,75341.58574676514,119584.48794555664,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE,278488.0610809326,250274.46084594727,88312.66635894775,66861.42481994629,238098.99700927734,265711.5782318115,72586.16502380371,232670.8377380371,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",CE,273423.89978027344,259398.0389404297,92443.26620483398,70337.48574829102,234472.71701049805,270909.55950927734,68150.66487884521,241449.87837219238,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
18:1 Campesteryl ester,CE,263904.27825927734,252689.3544921875,82409.8259010315,56984.78404998779,233450.53912353516,261731.28118896484,63951.22497558594,225617.7167816162,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,604406.4444274902,375458.106048584,202646.07228851318,67644.66412353516,289138.4790649414,585151.3779449463,102739.50680541992,224405.7758178711,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
18:3 Campesteryl ester,CE,233462.63381958008,232237.91787719727,76780.36492156982,65536.76523590088,213127.35446166992,242607.49642944336,66174.2045288086,197820.75631713867,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,619175.6261291504,365628.6613922119,202318.07664489746,71515.98536682129,315847.1044616699,595870.3013763428,103495.5284690857,254542.46154785156,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",CE,447091.57263183594,447873.4123535156,205471.35342407227,140569.51007080078,419422.98986816406,415310.3869628906,146106.55047607422,328716.4434814453,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",CE,443882.2932128906,452466.95568847656,199821.99346923828,138753.42993164062,427756.94885253906,430666.9284667969,150386.73071289062,329537.4803466797,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",CAR,1195290.8078613281,1194065.662109375,1239282.0832519531,1133090.1042480469,1218044.2957763672,1240025.5187988281,1244585.4881591797,1930786.4631347656,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
20:0 Campesteryl ester,CE,1051954.5400390625,802405.3129882812,404391.10778808594,333963.88360595703,944354.2272949219,799106.8182373047,242206.25750732422,317584.8635253906,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
20:1 Campesteryl ester,CE,1035268.6345214844,770815.9124755859,390393.90771484375,324425.34533691406,922340.9077148438,768436.0723876953,229859.89709472656,310572.0031738281,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",CE,445063.4099121094,438793.0089111328,196959.51458740234,143887.10974121094,420065.75048828125,422728.80859375,149125.32971191406,336350.2844238281,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",CE,442481.47216796875,434864.95373535156,198226.1947631836,142786.26989746094,420005.08837890625,413933.3474121094,152263.0704345703,332064.9237060547,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
20:3 Campesteryl ester,CE,690644.8483886719,670642.0698242188,303552.1791381836,338287.26470947266,831691.5396728516,630418.0675048828,291385.0417480469,532591.3153076172,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",CE,373994.6680908203,377226.9892578125,181923.79260253906,143761.37060546875,340624.28259277344,362469.4854736328,146808.49047851562,281844.6805419922,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",CE,426969.5148162842,402345.11001586914,157411.192817688,135987.24981689453,348037.0646057129,402231.26961517334,144343.5308227539,433173.92571258545,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
20:5 Cholesteryl ester,CE,774021.0893554688,796451.9927368164,261745.4785232544,228661.52011108398,719790.7917480469,810821.262512207,246523.35818481445,911030.2897338867,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
22:0 Campesteryl ester,CE,466218.7146835327,350722.9248352051,96338.56734848022,93248.54647445679,526033.4529647827,384554.50311279297,71315.94483184814,105651.5481300354,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",CE,760646.4669799805,476102.9566268921,238534.7177581787,214955.03761291504,636603.4621429443,524705.1521759033,114199.28704071045,79871.64535522461,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
22:0 Sitosteryl ester,CE,485815.2135925293,355294.92652893066,88051.98610305786,102267.82748413086,561003.0242385864,421927.34729003906,79683.76554870605,228572.99380493164,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
22:1 Campesteryl ester,CE,468357.8101348877,350133.2861633301,110473.78787994385,98551.34607315063,479712.1131286621,395492.0505371094,70321.82493591309,102455.64757919312,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",CE,759511.5723876953,460364.1280517578,238796.4598121643,205046.51355743408,631755.8412628174,508749.61309814453,112743.7882270813,78654.8657836914,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",CE,498246.4359283447,359096.9853553772,98792.72665023804,99168.76778030396,568701.699710846,423679.4720993042,84803.34576416016,206498.9136428833,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
