Lipid,Class,DOD100-M1-WT-cerebellum10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,36516.56300354004,35957.262645721436,34225.282024383545,31600.96230316162,38293.782245635986,37147.423122406006,22294.401321411133,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/16:0),Cer,92730.02653503418,82360.3857345581,87016.90506744385,61262.46444320679,92696.36716842651,134329.46858596802,49086.90395736694,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/18:0),Cer,23910.721534729004,21830.84148788452,21737.881813049316,21668.40147781372,23203.34190750122,21004.281448364258,32565.38228225708,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/16:0),Cer,97478.24760437012,85335.76477050781,105676.1282157898,82006.22617340088,104129.10850906372,99503.34856796265,104272.36771011353,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/18:0),Cer,305559.53926086426,284533.3180465698,315078.30672073364,280969.05976486206,300359.0815124512,259670.51651763916,544596.580368042,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,50221.263679504395,97699.06726837158,35528.922370910645,29833.582180023193,35027.162464141846,34894.54271697998,28402.641986846924,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,77242.60544967651,81890.94709014893,73431.82516098022,54778.024196624756,81422.12617874146,112472.52647018433,19274.341342926025,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-myristoyl-Cer(d18:1/16:0),Cer,55769.94352340698,59503.92415237427,51984.18327713013,46942.16307449341,50195.963748931885,49277.52336502075,43334.30277252197,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-palmitoyl-Cer(d18:1/16:0),Cer,42922.682651519775,68184.54487991333,40714.48252868652,41863.74258804321,41158.282787323,40904.52328491211,50665.82361602783,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-stearoyl-Cer(d18:1/16:0),Cer,61475.42427444458,137949.04893875122,43658.14338684082,34317.60231781006,35969.52249908447,40138.9030418396,32940.40257644653,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,43802.02247619629,44314.10312652588,45363.443408966064,36280.562450408936,43573.80286026001,47277.84367752075,21537.66153717041,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,11110.9609375,11287.780799865723,10400.820728302002,10864.320823669434,11811.08076095581,10880.960796356201,12759.900817871094,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",CAR,4113421.935546875,4024964.0034179688,4172629.2885742188,4530618.3974609375,4468202.2490234375,4224210.512207031,2428656.8916015625,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
12:0 Cholesteryl ester,CE,194297.81564331055,206243.57360839844,53790.523944854736,186232.69366455078,183007.07179260254,49461.103244781494,158999.98956298828,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
12:0 Cholesteryl ester_2,CE,190207.0535888672,198169.45237731934,51690.70365142822,189840.21322631836,177894.63215637207,54207.28388977051,163044.15301513672,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
14:0 Cholesteryl ester,CE,151012.9727783203,95271.94723510742,54412.36402511597,104420.42792510986,109004.62704467773,49358.223373413086,85346.74568939209,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
14:1 Cholesteryl ester,CE,146649.31089782715,99486.52751159668,53858.74382400513,103682.6265411377,112287.36878967285,47979.98323059082,91728.62675476074,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,273822.9802246094,280063.29833984375,99011.74743652344,274064.7186279297,268143.77795410156,100182.92660522461,268696.0985107422,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,CE,266944.2990722656,270783.4014892578,96553.88653564453,278048.1408691406,271687.5393066406,96428.72689819336,281328.5203857422,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
15:0 Cholesteryl ester,CE,241246.33728027344,253455.57739257812,105602.46716308594,258305.59765625,248950.81713867188,102162.18740844727,248100.27880859375,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,278759.4783935547,273873.7996826172,111482.82788085938,286384.1994628906,276976.9796142578,111654.76879882812,282264.8193359375,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,CE,272410.89880371094,280813.90087890625,110884.42791748047,293948.66052246094,278041.7590332031,112872.2681274414,287922.24072265625,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
15:1 Cholesteryl ester,CE,260969.47998046875,254370.2586669922,106415.78732299805,261043.47790527344,247970.59814453125,107635.2876586914,255572.7781982422,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,163176.71159362793,187992.35208892822,46379.60326766968,249489.09985351562,160506.25076293945,47949.46321105957,121273.30940246582,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,CE,160255.63095092773,202342.01542663574,50241.78372955322,240007.47801208496,151672.46923828125,50140.58383560181,125768.08905029297,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
16:2 Campesteryl ester,CE,157160.73239135742,191045.8516845703,48198.26329803467,239180.97770690918,147526.39030456543,45947.08301925659,117353.56846618652,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,269839.3192138672,260879.01892089844,113157.44812011719,276360.1994628906,269447.4189453125,107576.0082397461,274790.7999267578,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
16:3 Campesteryl ester,CE,154318.75048446655,185146.27444458008,47734.20327758789,234669.65798187256,144066.910446167,46587.88315200806,114802.70822143555,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
16:3 Cholesteryl ester,CE,254891.2978515625,267854.7390136719,103272.96737670898,274137.7209472656,262840.2385253906,104622.92736816406,268572.4782714844,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
16:3 Stigmasteryl ester,CE,209177.15560913086,238084.13414001465,74735.34531402588,301400.6235656738,207753.87649536133,79884.74600219727,174687.61349487305,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,263683.299118042,306007.86514282227,72935.00525665283,360051.70681762695,252912.35702514648,69250.00426864624,197711.39486694336,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",CE,264936.3984527588,297442.67919921875,70505.20509338379,372578.784576416,249793.49551391602,65956.20474243164,197452.61389160156,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,262366.89752197266,291198.4189758301,70637.34497070312,372894.063873291,253252.07821655273,72498.68489837646,201944.25617980957,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",CE,270283.1389465332,304620.8027038574,71781.18487167358,350154.3428039551,255931.9373779297,67602.62491607666,199674.95538330078,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,159780.23112487793,195049.07516479492,50700.763595581055,243419.6374053955,148317.23024749756,45423.58345794678,122837.10720825195,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,CE,141740.25134277344,189485.9930114746,45853.58361053467,236172.8360900879,147790.75193023682,48443.423652648926,119584.48794555664,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE,219805.51568603516,230061.63494873047,61646.12407684326,222433.1926574707,217670.1551208496,58456.8840713501,232670.8377380371,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",CE,218252.77764892578,222260.49298095703,57490.724044799805,230665.59564208984,212685.6136932373,61869.20440673828,241449.87837219238,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
18:1 Campesteryl ester,CE,224761.61779785156,221406.51528930664,57654.62384033203,240928.99647521973,227796.5161743164,60167.683822631836,225617.7167816162,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,280304.0225830078,318279.0209350586,71046.00440979004,381474.1481933594,274696.0990600586,71782.84466552734,224405.7758178711,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
18:3 Campesteryl ester,CE,204601.67504882812,201746.27587890625,59464.94415283203,206521.37365722656,195902.6728515625,58889.22416687012,197820.75631713867,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,303762.46228027344,323355.76055908203,75469.04551696777,400381.6452026367,283924.2213745117,76460.92622375488,254542.46154785156,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",CE,394841.6081542969,361790.46435546875,141033.05004882812,391348.7673339844,354341.3049316406,139586.21026611328,328716.4434814453,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",CE,389983.68701171875,350235.70349121094,141314.990234375,382867.52575683594,352302.1843261719,137866.00958251953,329537.4803466797,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",CAR,1239495.3037109375,1246068.6086425781,1313484.6853027344,1289018.3786621094,1210873.5478515625,1173183.5369873047,1930786.4631347656,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
20:0 Campesteryl ester,CE,585695.0806884766,473914.73474121094,214888.3358154297,469695.3544921875,501893.65234375,197502.67498779297,317584.8635253906,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
20:1 Campesteryl ester,CE,591302.220703125,470726.4147949219,206285.61291503906,461297.6511230469,503761.73498535156,199627.77404785156,310572.0031738281,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",CE,399111.8679199219,371012.6671142578,143911.17016601562,396489.7082519531,359091.7648925781,142767.74981689453,336350.2844238281,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",CE,397876.28942871094,374258.9852294922,143833.49053955078,380589.8077392578,355941.384765625,146173.73016357422,332064.9237060547,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
20:3 Campesteryl ester,CE,718330.4713134766,585737.4237060547,297018.6400756836,581533.5655517578,624555.2194824219,273740.8601074219,532591.3153076172,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",CE,331318.5635986328,305953.5029296875,136850.70935058594,316081.24267578125,295324.52014160156,140183.13012695312,281844.6805419922,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",CE,353973.44651794434,347179.2874908447,132554.4094543457,348575.3070983887,324714.06285095215,131112.8683166504,433173.92571258545,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
20:5 Cholesteryl ester,CE,744792.4973754883,726792.6704101562,239452.2180480957,771799.6127319336,714395.755935669,235360.5344581604,911030.2897338867,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:0 Campesteryl ester,CE,328048.70728302,321248.46086883545,65602.16407394409,335009.5023803711,319311.84059143066,69838.88446426392,105651.5481300354,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",CE,273860.9999847412,198562.29412078857,90103.56624221802,172745.71115112305,235747.27536773682,80594.5062789917,79871.64535522461,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:0 Sitosteryl ester,CE,361571.613319397,384457.0058746338,74688.44552993774,375415.22120666504,342953.5009460449,77020.76491165161,228572.99380493164,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:1 Campesteryl ester,CE,276676.6441421509,289324.78229522705,61668.54472351074,300019.1825180054,286221.46573257446,66762.08471679688,102455.64757919312,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",CE,276648.3995361328,193528.11378479004,89969.3465385437,169745.83312225342,234477.81832885742,84083.74672317505,78654.8657836914,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",CE,368723.5038909912,365224.468170166,74251.82576751709,371401.4266014099,339966.16425323486,77005.56617355347,206498.9136428833,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:2 Campesteryl ester,CE,107182.94714355469,130781.98825073242,53468.66411590576,109912.80857086182,103576.40770339966,55119.703243255615,80835.36569976807,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",CE,350452.42657470703,345563.46530914307,71689.82487487793,350456.68489456177,326611.1287879944,73470.72465133667,160474.38968276978,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:3 Campesteryl ester,CE,119099.86869812012,140469.92993164062,32036.042041778564,117693.50897216797,117399.28813171387,27730.041870117188,78485.72638702393,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
22:3 Stigmasteryl ester,CE,327154.7291030884,340397.6675796509,71032.12460327148,336055.4048423767,324529.98192596436,70560.264919281,107463.74801254272,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",CE,635157.966796875,495490.35778808594,231045.13665771484,505492.73486328125,542394.1608886719,215199.37567138672,370215.2233886719,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
