,Lipid,Sample_ID,db_pos,LipidParent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Transition,Cluster_Label,Group,Parent_Ion,Purity,n-9_Ratio
8,[TG(52:3)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,,575.6,16.01,2387.0,764.6 -> 575.6,0,2.0,764.6,Degummed,4.701375976199331
13,[TG(52:2)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,,577.6,17.93,2316.0,794.7 -> 577.6,4,13.0,794.7,Degummed,5.810543465611544
14,[TG(52:2)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,,577.6,17.94,9987.0,766.7 -> 577.6,2,3.0,766.7,Degummed,5.7485396383866485
19,[TG(54:5)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,,599.6,14.21,1061.0,816.7 -> 599.6,0,17.0,816.7,Degummed,5.1084765856550085
20,[TG(54:5)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,,599.6,14.2,4061.0,788.6 -> 599.6,2,7.0,788.6,Degummed,4.25558867362146
26,[TG(54:3)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,,603.6,17.9,10785.0,820.7 -> 603.6,2,19.0,820.7,Degummed,
27,[TG(54:3)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,,603.6,17.88,61998.0,792.6 -> 60,792.6,Degummed,
32,[TG(54:4)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,,601.6,15.96,3479.0,818.7 -> 601.6,1,18.0,818.7,Degummed,
33,[TG(54:4)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,,601.6,15.98,14145.0,790.6 -> 601.6,1,8.0,790.6,Degummed,
38,[TG(54:2)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,,605.6,17.9,1342.0,822.7 -> 605.6,2,20.0,822.7,Degummed,
39,[TG(54:2)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,,605.6,17.9,5711.0,794.6 -> 605.6,3,12.0,794.6,Degummed,
4,[TG(52:4)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,,573.6,14.35,1317.0,762.6 -> 573.6,0,1.0,762.6,RBD,2.499476439790576
9,[TG(52:3)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,,575.6,16.07,1009.0,792.7 -> 575.6,0,11.0,792.7,RBD,4.0862470862[TG(52:3)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,,575.6,16.16,3097.0,764.6 -> 575.6,0,2.0,764.6,RBD,3.827521206409048
15,[TG(52:2)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,,577.6,18.06,2689.0,794.7 -> 577.6,4,13.0,794.7,RBD,5.410415427746156
16,[TG(52:2)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,,577.6,18.07,12642.0,766.7 -> 577.6,2,3.0,766.7,RBD,4.90838029449191
21,[TG(54:5)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,,599.6,14.28,891.0,816.7 -> 599.6,0,17.0,816.7,RBD,4.112781954887218
22,[TG(54:5)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,,599.6,14.33,3415.0,788.6 -> 599.6,2,7.0,788.6,RBD,
28,[TG(54:3)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,,603.6,18.01,11771.0,820.7 -> 603.6,2,19.0,820.7,RBD,
29,[TG(54:3)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,,603.6,18.01,63686.0,792.6 -> 60,792.6,RBD,
34,[TG(54:4)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,,601.6,16.1,3560.0,818.7 -> 601.6,1,18.0,818.7,RBD,
35,[TG(54:4)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,,601.6,16.12,17709.0,790.6 -> 601.6,1,8.0,790.6,RBD,
40,[TG(54:2)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,,605.6,17.99,1330.0,822.7 -> 605.6,2,20.0,822.7,RBD,
41,[TG(54:2)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,,605.6,18.03,5470.0,794.6 -> 605.6,3,12.0,794.6,RBD,
