lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M4_Male_WT_cerebellum,FAD185_M4_Male_WT_cortex,FAD185_M4_Male_WT_diencephalon,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_cerebellum,FAD189_M3_Male_WT_cortex,FAD189_M3_Male_WT_diencephalon,FAD189_M3_Male_WT_hippocampus,DOD93_F4_Female_5xFAD_cortex,DOD94_F3_Female_WT_cortex,DOD94_F4_Female_5xFAD_cortex,FAD184_F3_Female_WT_cortex,FAD184_F4_Female_WT_cortex,Blank_Blank_Blank_Blank_Blank
[TG(45:3)]_FA16:0,-2.585757196017378,9.991646674847393,60.174731561070075,8.67993811959085e-15,1.0374133448859139e-12,TAG,199081.07568359372,173435.53271484375,142271.26879882812,147829.2294921875,148723.43029785156,488007.2161254883,207591.0955810547,275741.5363769531,3142251.2666015625,2664434.329345703,153497.33142089844,253731.9366455078,143027.31005859375,18184222.017578125
[TG(55:9)|TG(54:2)]_FA18:0,2.9692745877053475,12.89558305166364,60.041581550788976,9.2874393290102125e-15,1.070377382668427e-12,TAG,87753571.140625,171434169.5859375,6518961.537109375,2725594.08203125,4046653.989257813,20511875.078125,4528823.998046875,2287561.205078125,5134912.469238281,3012699.4794921875,2434586.905273437,7007404.674804688,3207255.908203125,511983.2807617188
[TG(56:6)]_FA20:4,2.9641784123520036,13.284574527643962,59.86953552855053,1.0135826973827877e-14,1.127872884294571e-12,TAG,112970419.140625,221725967.15820312,10083637.212890623,3571697.5131835938,5246927.96875,29857308.495117188,5716249.962890625,2911902.9775390625,7101616.4423828125,4073245.568359375,3287873.748046875,8493542.216796875,4408185.7265625,855493.60546875
[TG(58:7)|TG(57:0)]_FA20:4,2.9165482605265174,8.661745694881178,58.26755641420074,2.2878613035673587e-14,2.4609761422039553e-12,TAG,3736213.030761719,10064502.116394045,381427.88830566406,170313.31188964844,261854.79626464844,853664.1517333984,249859.7368774414,218704.81463623047,343217.86700439453,147697.05010986328,188327.313659668,243892.13793945312,233005.97705078125,40370.902770996094
[TG(53:10)|TG(52:3)]_FA18:1,2.9088054043536054,12.934594187433172,58.00885031940432,2.609411579586658e-14,2.7163132797826275e-12,TAG,95278303.390625,166799130.02685547,7592889.494140625,2193741.384277344,3510343.982421875,27401674.419433597,3281136.3857421875,1201485.267578125,4551343.0478515625,3610917.8413085938,2385569.8774414062,7800747.215820312,3785124.1166992183,236402.71728515625
[TG(52:4)]_FA18:2,2.87075458252735,13.149831566149155,56.73971059655818,4.974871407973851e-14,5.01684688547863e-12,TAG,108458249.46875,195132594.890625,7133311.4375,2470174.240234375,4032481.8510742183,33639957.2109375,3897765.247070313,1480474.2685546875,5405333.463378906,4184281.209472656,2922700.978515625,9391646.5234375,4405087.896972656,400788.845703125
[TG(52:4)]_FA16:1,2.8275885812376305,12.347234990660493,55.30953182959365,1.0296806330587658e-13,1.0069028493577688e-11,TAG,55966442.7578125,120559493.3704834,4843381.68359375,2239262.5134277344,2904187.514648437,14312039.753417969,1831572.6877441409,1521982.4404296875,3382532.8125,2494774.105102539,2254314.328735352,5024017.710571289,2404549.753173828,96193.467529296875
[TG(52:5)]_FA18:3,2.824109807281843,13.204123522360959,55.194739981153774,1.0916047094363336e-13,1.0360612933385436e-11,TAG,107756168.3642578,206637480.09179688,7327592.705078125,2666794.5439453125,4398718.455078125,34816288.13671875,4207742.01953125,1484241.3569335938,5654131.227539063,4692980.265136719,2892020.576171875,10081903.015625,4784159.2021484375,522388.6748046875
DG(38:9)|DG(dO-40:9)|DG(37:2)_C18:1,-2.4631932197107234,2.887928758881366,54.849321224424564,1.301337007195122e-13,1.1998327206339025e-11,DAG,7474.340507507324,4382.520366668701,15295.82092666626,2882.240207672119,2897.880187988281,5429.160377502441,2890.5402030944824,2887.8002128601074,45575.10324859619,46927.12335205078,46826.56339263916,2895.280200958252,2894.18021774292,54125.684020996094
[TG(56:13)|TG(55:6)]_FA20:4,2.804907480718936,8.128443825370473,54.561575373943015,1.5065265624585805e-13,1.3504336714038442e-11,TAG,2528837.041015625,6730242.567199707,273172.6589355469,132318.73040771484,167221.6734008789,756805.0591430664,208957.1735839844,106139.72772216795,188493.4326171875,141055.24963378906,153294.55029296875,208758.57440185547,153216.11224365234,55197.00402832031
[TG(53:10)|TG(52:3)]_FA16:0,2.8023126226143162,12.122808329377724,54.476920569812734,1.5728422249574884e-13,1.3717734756588689e-11,TAG,46249924.35961914,105441679.397583,4101383.697265625,1805933.478027344,2470826.564453125,11921264.345214844,1647656.7143554688,1153968.7880859375,2886191.7814941406,2288857.823364258,1870264.4528808596,4451806.241699219,2019213.3184814453,93157.28674316406
[TG(55:11)|TG(54:4)]_FA18:2,2.7939699555556095,13.310361164277275,54.20292309750917,1.8081766365610907e-13,1.5355226332059578e-11,TAG,117238227.046875,218073596.66503903,10033104.984375,3679544.328125,5284401.1005859375,31700713.73828125,6156983.380859375,3163285.0546875,7835928.01953125,4472253.104492188,3807340.224609375,9954842.626953123,4988067.837890625,661027.271484375
[TG(52:5)]_FA16:1,2.7768755839006927,11.206538667263379,53.64264656853639,2.4048211150442074e-13,1.989835317499399e-11,TAG,21380041.01953125,58590646.02648926,2101236.0590820312,934440.4222412108,1482722.9035644531,6574587.524047852,1070923.3186035156,633691.1055908203,2049512.349243164,982088.5549316406,952193.951171875,1964969.8090820312,1408945.859741211,94951.92645263672
[TG(55:10)|TG(54:3)]_FA18:1,2.7704626321707746,13.179951694839259,53.432960310936124,2.675696775991769e-13,2.1586183740313594e-11,TAG,108574221.078125,195968948.27001956,9611188.2734375,3659872.66015625,5087467.466796875,28581906.61523437,5802124.306640625,2976645.0712890625,7231247.634765625,4212054.8203125,3475313.8017578125,9058805.5,4833666.279296875,573113.1435546875
[TG(54:5)]_FA18:3,2.7558163886143734,13.35262494986894,52.95485298067149,3.4130371464176437e-13,2.6863099686560332e-11,TAG,116323478.2890625,227533977.7705078,10091001.6484375,3927339.26171875,5714813.6640625,33315398.057617188,6521340.521484375,3160395.334960937,8161383.079101562,4798174.0634765625,3654404.4072265625,10674971.7734375,5452906.95703125,720653.3662109375
[TG(55:7)|TG(54:0)]_FA20:4,2.7465289647141615,7.458548329315305,52.651297786058635,3.9834758745554473e-13,3.0606372969501015e-11,TAG,1317804.292236328,4397854.500244141,178116.17456054688,95306.66735839844,122208.50872802734,505261.58984375,136085.02969360352,89160.76669311523,121251.6693725586,93980.28689575195,97706.6278076172,129980.48901367188,107822.50799560548,38433.022720336914
[TG(50:4)]_FA16:1,2.72063406183348,9.613882223444728,51.81129208518543,6.109940351612542e-13,4.4810857987849256e-11,TAG,7382846.884765625,17625293.951049805,495750.17724609375,169359.73095703125,417804.3703613281,4066789.887145996,362692.0234375,145093.9105834961,433585.8676147461,408014.6335449219,284788.94189453125,910160.0294189452,449506.9132080078,43220.64306640625
[TG(54:8)|TG(53:1)]_FA20:4,2.7209283959911734,7.535345642206805,51.82009502439722,6.082608277984235e-13,4.4810857987849256e-11,TAG,1225992.3465576172,4710826.915802002,170186.35083007812,81398.74543762207,128161.64855957033,758726.041595459,113709.44738769533,67292.98483276367,134601.81024169922,94231.98596191406,93212.947265625,159105.44888305664,110268.58670043944,30783.98208618164
PI(34:3)|PI(P-35:2),2.6829277412625707,9.165001949780397,50.59404438611091,1.1358920963494966e-12,8.145608433155167e-11,PI,5444939.779541016,12892826.270263672,336271.8257446289,131434.34930419922,267566.7387084961,2960242.4587402344,261665.8582763672,107566.08758544922,317814.3005371094,339084.3647766113,222305.395690918,636061.4188842773,348840.90411376953,40319.40286254883
[TG(50:3)]_FA16:0,2.6401392681299973,9.463362016983496,49.22337941447768,2.2841210039470982e-12,1.6023605390733232e-10,TAG,6417679.595092773,16187863.686950684,427690.9301757813,159739.41235351562,354559.8049316406,3525087.6692504883,335471.10583496094,118483.32818603516,397648.0903320313,425299.5697631836,246433.79818725583,866034.2627563477,417493.3735961914,39421.5026550293
[TG(45:2)]_FA16:0,-2.326040192175044,8.322043766285281,49.178566950762836,2.336901798910662e-12,1.6045068308690867e-10,TAG,90499.5659790039,87111.3851928711,71907.184814453125,70029.48522949219,84023.025146484375,121331.34954833984,102204.96673583984,98992.76721191406,1043360.9092407228,870230.8564453125,80680.32550048828,107831.66876220705,75822.12591552734,5510563.080871582
[TG(54:9)|TG(53:2)]_FA18:0,2.6300131684743993,7.770553225514552,48.90013478357717,2.6933223776058655e-12,1.8106981901112768e-10,TAG,2026721.1340332031,5051322.475830078,195569.8325805664,113750.5089111328,141570.81018066406,559481.1168823242,203463.5333251953,98510.587890625,160252.45153808594,129808.2490234375,126004.46997070312,185671.31176757807,132846.77001953125,48886.80364990234
[TG(52:4)]_FA16:0,2.6234851804620885,11.025222572509666,48.69301549855001,2.9933052930600657e-12,1.9713053430009863e-10,TAG,18212590.082763672,51631682.99951172,1943153.1022949216,970585.206298828,1354955.617919922,5404697.547241211,1037057.5737304688,528587.8376464844,2005314.5098876955,1009654.7579345704,873643.4839477539,1929035.4139404297,1331776.1258544922,62756.04425048828
[TG(53:8)|TG(52:1)]_FA18:0,2.5966260383910065,12.57337025502996,47.8413599559817,4.621391909867974e-12,2.9826463386287903e-10,TAG,74392126.4296875,128589786.38476562,4625189.2333984375,2570730.6171875,2980240.654296875,14857516.823242188,3357850.041015625,2240961.50390625,5054751.274414063,3177586.967773437,3002023.936523437,5908376.4677734375,3968808.744140625,529076.7412109375
[TG(53:10)|TG(52:3)]_FA16:1,2.5796428379596676,11.547591683436405,47.30512074144805,6.075329663588373e-12,3.7768303603015125e-10,TAG,31659380.2578125,67465009.09033203,2420403.475585937,1088848.7724609375,1601372.7841796875,8304272.878417969,1647507.033203125,1139958.8217773438,2545838.931640625,1523440.486328125,1517466.3486328125,2951218.7075195312,1957761.0537109373,190916.0751953125
PI(36:2)|PI(O-37:2)|PI(P-37:1),2.579538362804898,10.90024253423164,47.30168148021451,6.085998721279165e-12,3.7768303603015125e-10,PI,20690305.709960938,42903476.44921875,1417174.2551269531,657274.9123535156,863961.30859375,5623895.110717773,963160.9296875,562494.5650634766,1630530.6215820312,1099757.3614501953,938095.71337890625,1771603.1107177734,1261112.248046875,120752.98876953124
[TG(54:5)]_FA20:4,2.519416056083377,13.020138978925095,45.41873120213947,1.5910545350691303e-11,9.687420725788837e-10,TAG,100608704.203125,171722492.87695312,7421205.326171875,3219803.5361328125,3908771.9765625,22199426.376953125,4029313.510742188,2862183.78125,7602719.771484375,4419077.870117188,4321387.580078125,7876422.5087890625,5987183.1103515625,1147714.1220703125
[TG(53:9)|TG(52:2)]_FA16:0,2.512995069964607,11.350446219547413,45.21899189083541,1.761881752719362e-11,1.0528874844491446e-9,TAG,26342659.84033203,60053237.93701172,2079272.6528320312,1020667.3671875,1375755.0908203125,7061522.665039063,1445165.40234375,914459.4619140624,2291749.037597656,1455106.1042480469,1294377.3842773438,2801041.6616210938,1688449.837890625,174264.39233398438
[TG(45:4)]_FA16:1,-2.218319964510779,10.235015479604234,44.887742846040055,2.086599247518942e-11,1.2242646857715684e-9,TAG,220100.0164794922,265745.77893066406,223686.57678222656,205885.31481933597,226018.5584716797,679603.9050292969,700101.18798828125,390254.1247558594,4834695.296386719,2555760.4645996094,182878.6319580078,215685.05493164065,282307.4997558594,20843483.146850582
[TG(54:10)|TG(53:3)]_FA18:0,2.4841752402213073,7.01795013924349,44.32502397296594,2.781380067307381e-11,1.6027702637858782e-9,TAG,978482.6213378906,3060689.9274902344,134648.44979858398,81002.06494140625,95483.70544433594,370954.4118347168,120235.46850585938,86643.8657836914,109344.52801513672,77021.40563964844,83993.10583496094,114753.3286743164,92841.86602783205,35282.08224487305
DG(36:7)|DG(35:0)_C16:1,-2.196928972637744,9.814177339283521,44.054985904163914,3.192795569655821e-11,1.807570404084094e-9,DAG,78713.88589859009,677496.3307037354,511315.8357887268,522152.48933029175,238499.53763198853,151314.62926101685,187126.4339790344,13621.901008605955,3829808.881164551,2384196.1049804688,299031.7415962219,58823.12393569946,55226.8634185791,15056646.359405518
[TG(54:12)|TG(53:5)]_FA18:2,2.4394939989432562,7.447522319632856,42.95219676271881,5.609387994018368e-11,3.1209474235684958e-9,TAG,1359874.4986572266,3995150.2713623047,189689.21392822263,109564.96728515624,136678.26879882812,556712.8766479492,168529.61141967773,103322.16717529295,152412.7706298828,109515.40753173828,110740.0676574707,164987.9727783203,124762.28967285156,41791.243072509766
[TG(54:11)|TG(53:4)]_FA18:2,2.4362332221040863,8.187873283059059,42.85284147829634,5.901630103628607e-11,3.227891583798223e-9,TAG,2681273.6989746094,6351588.888671875,290321.8217773437,160879.95178222656,205095.67364501956,847224.7368774414,368420.2854614258,136726.42993164062,241429.41943359372,189211.1333618164,216448.61645507807,255708.3369140625,206594.83514404297,63383.60430908203
[TG(54:11)|TG(53:4)]_FA18:1,2.4333951919771706,7.266065077780604,42.765742275912544,6.170332526229201e-11,3.3186105103569383e-9,TAG,1204159.582397461,3535164.5479125977,174985.57458496094,88434.86682128906,120319.80908203124,461370.6737670898,149582.01300048828,98133.62731933594,128339.22814941406,99363.028076171875,102836.48815917967,136526.18872070312,119051.02856445312,37672.02243041992
[TG(54:10)|TG(53:3)]_FA18:1,2.427624788112355,8.038630507793716,42.590028444660675,6.750263032963205e-11,3.570999804487256e-9,TAG,2470792.051513672,5748957.559997559,272514.9182128906,143165.49060058594,181406.7520751953,728295.3298339844,282458.7197265625,127869.728515625,217804.5938720703,169035.15307617188,188096.4539794922,232561.65759277344,199668.7723388672,50050.663146972656
[TG(42:1)]_FA18:0 | DG(44:8)|DG(43:1)_C18:0,2.3684568726585535,6.595576061152487,40.79734050805928,1.688627417202809e-10,8.789033347279782e-9,TAG,1335421.1342773438,1017466.7668457032,915345.7771606444,1330100.291381836,698424.3718261719,513269.7556152344,1082109.208984375,859105.09814453125,1046276.827392578,1014736.6262207032,1023316.6091308594,1001615.1068115234,806523.2109375,58990.14392089844
[TG(42:1)]_FA18:0 | DG(44:8)|DG(43:1)_C18:0,2.3684568726585535,6.595576061152487,40.79734050805928,1.688627417202809e-10,8.789033347279782e-9,DAG,862384.1656913757,76778.96515655518,735670.2905845642,71646.16498565674,83031.26516723633,78643.90562438965,1409359.2636566162,73373.50482559204,76261.76515197754,78651.4654045105,73034.04484558105,74756.4253540039,70286.46536636353,77638.42515563965
[TG(57:11)|TG(56:4)]_FA18:2,2.35701220979684,8.517599358754174,40.454666620589705,2.0123124641278114e-10,1.0307511621810233e-8,TAG,3530891.4384765625,7751460.697021484,406535.2286376953,233403.47509765625,317970.0630493164,828544.5628662109,402002.8051757813,291824.0603027344,443951.8137817383,205797.7950439453,252702.99786376956,292889.2003173828,290301.6027832031,51036.283752441406
PI(36:4),2.349742490384244,10.427574207726343,40.23708554649336,2.2493739969555294e-10,1.1341765450274209e-8,PI,12345670.3359375,31918825.393432617,1375696.0106201172,691083.87353515625,974723.421875,3852264.7201538086,806929.80029296875,423882.2272949219,1634891.3911132812,795632.78759765625,715741.26220703125,1260387.369506836,1216588.140258789,51105.0234375
[TG(50:3)]_FA16:1,2.342425320792376,11.101987729529135,40.018217811086885,2.516053096201666e-10,1.2491235909911963e-8,TAG,24434590.02734375,44280579.38183594,1559667.7490234375,687397.0100097656,1360836.1479492188,8751453.275878906,1420730.813232422,574663.9619140625,1670140.2026367188,1586590.5971679688,1171210.4111328125,2720944.9477539062,1711260.8901367188,157774.49194335938
[TG(57:10)|TG(56:3)]_FA18:1,2.338045713242205,8.476645109480758,39.88720525491681,2.690599320097209e-10,1.3155400009020746e-08,TAG,3458676.383300781,7458883.018798828,410461.2081298828,237464.2166748047,305719.30169677734,797384.746887207,388751.3073730469,295586.1194458008,422217.7526855469,210141.032409668,239110.83544921875,295512.0810546875,292972.45794677734,45031.72344970703
[TG(54:12)|TG(53:5)]_FA18:3,2.3355115231729586,8.267291500388565,39.81152875971566,2.79689301900956e-10,1.3276570706340183e-8,TAG,2651100.825866699,6808223.814697266,298240.14013671875,176610.33142089844,237797.2178955078,863134.5114746094,397908.1478271485,164797.51135253906,265798.7388305664,222897.9157714844,227046.5565185547,288998.66149902344,242869.17712402344,61723.884338378906
[TG(57:9)|TG(56:2)]_FA18:0,2.335492654685016,8.336743788244403,39.81098906392799,2.79766596848817e-10,1.3276570706340183e-8,TAG,3090475.276611328,6903707.161315918,335720.7028808594,222533.0587158203,277548.94104003906,663363.5460205078,346791.3031616211,280866.5415649414,395679.4693603516,193606.85424804688,222100.9183349609,262665.6979370117,253663.67669677731,43043.86297607422
PI(34:2)|PI(O-35:2)|PI(P-35:1),2.3232301558617467,10.63745315034681,39.445930837515434,3.3726981497383443e-10,1.577347381044295e-8,PI,18072132.072265625,31994666.16015625,1014509.495361328,477241.3771972656,800762.39892578125,6385875.182128906,984869.9631347656,350933.4631347656,1159049.1701660156,1298037.8203125,864219.2790527344,1890678.473876953,1271174.4982910156,151088.35009765625
[TG(58:8)|TG(57:1)]_FA22:5,2.2959487668905374,9.230133321675872,38.63737465697342,5.103229465062939e-10,2.352588783394015e-8,TAG,4567551.674316406,14717842.434936523,578197.6359863281,261371.59893798828,437885.1088867188,1409185.2496948242,448379.7933959961,347182.92446899414,583357.5199584961,263464.4387817383,451048.12927246094,751142.2346801758,460648.3713684082,52418.30358886719
