Lipid,Class,DOD93_F4_Female_5xFAD_cerebellum,DOD93_F4_Female_5xFAD_cortex ,DOD93_F4_Female_5xFAD_diencephalon,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F3_Female_WT_cerebellum,DOD94_F3_Female_WT_cortex ,DOD94_F3_Female_WT_diencephalon,DOD94_F3_Female_WT_hippocampus,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cortex ,DOD94_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_hippocampus,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(10:0),CAR,359375.3847541809,326281.06273651123,338427.2018623352,328526.9641685486,329625.3434448242,325325.32315444946,324203.98277282715,319079.502620697,338570.24422836304,331376.14420318604,334789.2228088379,326398.12439346313,359584.14599609375,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(10:0)_QUAL,CAR,1678001.329662323,1531624.4029922485,1535372.630897522,1526646.4468765259,1473919.363647461,1480806.9035568237,1516836.5327682495,1443624.825706482,1540669.8572006226,1535708.4461669922,1547899.4927978516,1534155.6398582458,1358931.08203125,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(10:1),CAR,505036.3566207886,462996.28995513916,468052.5140953064,467289.0961074829,457097.57358551025,452669.6117248535,455261.4915084839,452015.5874633789,458074.812953949,473156.8574142456,467979.4149398804,460732.27390289307,634009.9052734375,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(10:1)_QUAL,CAR,1338643.5079917908,1225996.6278457642,1191053.1680679321,1211028.4854125977,1131956.764427185,1152608.801185608,1179398.5004119873,1129619.7618408203,1228727.7515907288,1235450.905921936,1218492.8599853516,1209521.085735321,1046036.49609375,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(10:2),CAR,514652.99893188477,465503.0145187378,466398.2900390625,468795.7157020569,453861.348487854,457558.5531387329,467254.89208984375,459875.91410446167,477414.1746826172,479235.2310333252,476177.0739746094,465215.43168258667,642041.1708984375,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(10:2)_QUAL,CAR,703678.1702880859,625800.6659698486,662201.5657730103,606911.8633232117,612985.6586914062,583119.983165741,613257.7263183594,619634.5055885315,628613.0872039795,654185.5482177734,609228.8646697998,648264.1270751953,585456.421875,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(10:3),CAR,504844.3345336914,452021.83361816406,464280.13161087036,469241.8908691406,450509.6921386719,460000.71240234375,464176.95095825195,452145.2126464844,465302.7536354065,474795.994140625,474447.635887146,465557.13538360596,611447.3291015625,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,733342.43359375,685624.3889160156,673968.7052230835,659826.9465866089,659306.0273742676,642235.74609375,626910.0848655701,665620.6653213501,632045.0028305054,697903.6512451172,665941.73046875,645827.4847717285,633677.9819335938,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(11:0),CAR,257411.83834457397,226792.97513198853,235500.31698989868,228777.53755569458,220413.59775543213,217053.09909439087,228729.7152633667,223195.856300354,230313.99589538574,230251.3971862793,230270.4958267212,221750.31714248657,307762.5842285156,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(11:0)_QUAL,CAR,1042371.3549728394,970676.9281768799,969895.6544570923,975705.0064086914,949159.1106185913,954711.986038208,968537.4339294434,938378.0825996399,965662.7069129944,986055.2133140564,976975.6697769165,955191.4277381897,870968.1220703125,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(12:0),CAR,7086168.616256714,6678902.369693756,6863065.198444366,6745535.974380493,6595506.065631866,6587197.182506561,6609949.7562561035,6508958.115943909,6722045.327503204,6738613.562194824,6699264.702194214,6719000.105945587,6397297.76171875,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(12:0)_QUAL,CAR,1301156.3486747742,1204854.1464118958,1223517.5615692139,1185620.6024284363,1220984.7471504211,1186442.9816474915,1206898.078968048,1169944.6788101196,1168562.6757087708,1221828.444656372,1185875.7597351074,1231905.3475875854,1316580.955078125,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(14:0),CAR,372923.9835395813,352516.32289886475,361172.9073677063,351659.0252189636,350620.08406829834,348522.6434059143,341792.96465682983,337150.12424468994,344656.7267036438,355747.00621795654,357862.2861595154,345185.36516189575,372286.30517578125,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,827987.8002815247,767989.5547332764,771629.2531318665,761843.1140289307,749190.3892250061,744998.4352416992,753242.0290298462,765062.256061554,751557.3112182617,756529.673248291,767636.0124702454,767607.0130500793,886736.28125,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(14:1),CAR,375419.16662979126,354174.50399017334,368253.64530181885,363025.84524154663,350630.924949646,355140.1877403259,352333.0259246826,350389.9856529236,359813.8261604309,365205.88707733154,375739.64881134033,356100.30715560913,368998.52587890625,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(14:1)_QUAL,CAR,799638.3330917358,814000.9125061035,767067.6369972229,805187.0212173462,757029.9527816772,744259.6683273315,748755.6727409363,762665.391254425,750288.1098861694,762916.4165306091,760089.3957099915,754330.134147644,902707.2607421875,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(14:2),CAR,411872.5904350281,379257.40713500977,391137.3074455261,390176.2078399658,380503.1065673828,374163.94496917725,383549.54625701904,379983.54623794556,389590.1304168701,390155.8661003113,396985.10791397095,382627.4061203003,397565.60986328125,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(14:2)_QUAL,CAR,845375.5410995483,807545.179107666,834265.8830909729,815737.9792633057,805672.5811767578,767973.9305114746,797707.0398521423,824324.7989883423,789235.235710144,791702.0143814087,788367.5584449768,815013.1390686035,898668.984375,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(16:0),CAR,272205.9010620117,254972.17778015137,260527.89841461182,263566.538608551,243168.3185043335,251302.79752731323,249055.1368522644,255124.0784072876,261969.87801361084,252360.75695037842,260281.57931137085,254191.69914627075,283562.06005859375,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(16:0)_QUAL,CAR,785454.1362190247,750047.2343788147,741665.0752410889,739226.2096939087,711777.9098129272,695143.8098487854,724922.409576416,763822.391960144,728377.2713737488,727270.5544624329,741527.9105110168,713229.6112556458,743383.630859375,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(16:1),CAR,265494.65633773804,243783.21682357788,251108.5578765869,251304.5781402588,245300.87617874146,240792.1379928589,248448.07914733887,245800.7378692627,248678.4370956421,245360.19734191895,255607.11666488647,246293.89665603638,271161.9794921875,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(16:1)_QUAL,CAR,737661.1934432983,704960.151763916,734014.1730155945,766917.2532501221,695575.2939910889,676417.1706314087,726439.9694976807,707643.2922325134,703927.8320007324,705393.8503189087,734830.953327179,720657.4304771423,740003.9345703125,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(16:2),CAR,254123.47904968262,244697.97831726074,248117.01676177979,253679.09756469727,239340.3956298828,238028.15690994263,239834.85723495483,246588.4993057251,242813.39530944824,240024.1763458252,247627.7583732605,245519.13901138306,256414.337890625,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(16:2)_QUAL,CAR,701353.0062561035,666640.0074272156,697616.492351532,717976.537776947,692253.6337165833,675326.2664108276,689009.5485610962,643639.3448104858,678927.8856697083,674450.1648483276,677503.011100769,668987.487701416,720453.970703125,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(17:0),CAR,1482878.3078193665,1396086.3981285095,1370896.2021942139,1395676.4764137268,1280312.0266456604,1342411.8786811829,1360446.9550056458,1249825.6628189087,1409439.1154022217,1402296.1561775208,1423578.6156311035,1392305.039226532,1142501.9833984375,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(17:0)_QUAL,CAR,595341.5996513367,547453.7202033997,576444.3008651733,575001.4996185303,547989.9380531311,535001.0970344543,550429.6366462708,544586.656879425,567340.6586799622,563622.2194595337,572052.1805152893,547222.5586013794,595367.421875,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(18:0),CAR,3616983.304851532,3381557.4882850647,3483483.0332870483,3398042.738132477,3296005.070941925,3344060.9525032043,3352246.9637527466,3311144.3721961975,3469922.337348938,3457404.749382019,3559557.1098480225,3474643.0546951294,3204698.263671875,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(18:0)_QUAL,CAR,774771.6753196716,721255.08934021,754288.6739501953,743533.6129341125,716354.0694618225,722951.7132110596,719669.6684455872,710598.3502388,738997.1532478333,737973.8898925781,757535.6389884949,732448.7354736328,760985.4560546875,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(18:1),CAR,3536704.2545394897,3301628.6700057983,3393913.270629883,3353392.2062568665,3208154.653289795,3263183.57157135,3307511.630317688,3274809.1086006165,3361928.4101638794,3365038.3362579346,3400106.4828186035,3339850.368286133,3208659.5,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(18:1)_QUAL,CAR,746234.0699272156,700237.9283294678,724785.0505142212,723665.552936554,690094.1508674622,691485.6316871643,704959.9509849548,697517.5519180298,716264.7123908997,705935.4915313721,710473.9950065613,703605.8525428772,735194.3125,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(18:2),CAR,3644972.7496910095,3395870.140319824,3503175.5364112854,3441816.2820358276,3338940.8262557983,3381310.580318451,3378535.9031333923,3321106.1242256165,3459340.898914337,3464880.6779785156,3480028.3957901,3441927.2031326294,3252238.28515625,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(18:2)_QUAL,CAR,754319.9326591492,691594.3280906677,695773.7686767578,708596.9889526367,668169.3501625061,681783.3293418884,681685.0301246643,674869.0134429932,687232.8104362488,696887.011138916,690644.4261360168,682017.2644615173,725255.8544921875,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(18:3),CAR,3629987.7721939087,3370895.863910675,3444286.058444977,3371295.2239112854,3279828.879535675,3354389.6895370483,3349920.6620368958,3290681.483757019,3425767.350631714,3406953.5526618958,3441400.094696045,3416208.1578178406,3175149.642578125,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(18:3)_QUAL,CAR,792140.098285675,734192.0928192139,755661.3931694031,750744.1921539307,730110.7504768372,724256.6666870117,725491.6473884583,726656.8913345337,754328.6924285889,744972.2701225281,748352.8323478699,726399.4345741272,757884.5498046875,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(18:4),CAR,3549657.456100464,3330174.315475464,3399707.930316925,3352943.5315704346,3234661.6706314087,3270577.046726227,3294830.3148498535,3233968.356567383,3370694.5312538147,3370750.345943451,3403386.753757477,3341677.4223480225,3109092.08203125,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(18:4)_QUAL,CAR,776525.435710907,729564.9716835022,741467.396686554,750248.9944190979,715514.8491859436,713336.4137573242,719783.5359840393,710655.930355072,735285.8544197083,736543.7698898315,735085.9696159363,729944.790435791,756819.1298828125,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(20:0),CAR,654660.4821548462,615438.1665687561,617522.5022163391,616435.6062545776,595477.5205535889,608679.9014892578,615813.7621154785,603403.5034637451,626526.0844192505,624361.2435417175,626548.7864151001,622967.6631698608,631235.4873046875,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(20:0)_QUAL,CAR,2249952.7559432983,2067352.8719596863,2103584.7741470337,2093458.9434432983,2002656.1412582397,2030921.9206314087,2047214.6219596863,2022185.5518798828,2080925.399066925,2096010.5421905518,2118450.8718795776,2105613.7870368958,2018746.53125,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(20:1),CAR,631948.067035675,593621.5425033569,593158.8449478149,594518.140045166,583297.8986358643,573377.6212539673,580651.1200027466,580838.2824287415,584869.8619003296,593058.0241889954,604612.7245368958,589100.8612976074,602583.583984375,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(20:1)_QUAL,CAR,2230502.2539100647,2053046.5643043518,2120068.1714134216,2084812.8918800354,2001906.6270370483,2010838.4269599915,2031173.819694519,2013266.7589111328,2090142.5306282043,2092487.0955543518,2108902.4557876587,2086580.5423469543,2005452.6015625,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(20:2),CAR,586861.0796928406,540381.9594192505,544962.1003189087,545149.5978393555,528050.4737930298,533664.4797325134,526147.8788719177,521306.4396133423,545964.9389152527,542875.0798339844,544552.8597335815,531580.1176223755,542018.3017578125,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(20:2)_QUAL,CAR,2174294.4023475647,2007171.5746154785,2043492.018131256,2013143.6574287415,1953474.5378189087,1941919.9132881165,1989341.2889137268,1935930.8571166992,2020178.9071159363,2029242.4664878845,2023722.3308639526,1997006.5096931458,1927371.623046875,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(20:4),CAR,615610.0444984436,549361.3818778992,579437.7614097595,568176.1785049438,543395.4997329712,554694.6580543518,551124.2958068848,542454.615901947,555510.319732666,568324.8801612854,571953.6396141052,566487.7002983093,571720.7197265625,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(20:4)_QUAL,CAR,1911011.499534607,1751350.9207878113,1775250.4566459656,1764048.271648407,1693098.7143821716,1721938.8299293518,1733129.8457069397,1674323.1026611328,1771670.2339897156,1761824.820552826,1793011.7721939087,1761836.3690681458,1701772.712890625,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(22:0),CAR,242010.07551574707,228100.8777809143,233084.9561767578,231526.4984855652,224303.11700820923,225577.95599365234,219361.09512329102,223512.75524902344,227425.49671173096,233213.21689605713,230876.19455337524,228261.93697738647,246921.7578163147,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(22:0)_QUAL,CAR,2087278.5321922302,1882193.6725120544,2108268.9651641846,1780503.7716445923,1566948.0542259216,1742622.7064971924,1768319.2165679932,1606555.014930725,2051022.9354743958,1986329.0053977966,2580723.376106262,2215264.2914123535,2740927.288986206,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(22:2),CAR,297839.1805229187,275317.84091186523,275570.3806991577,282213.4987754822,270181.7777900696,265164.4580421448,276233.2595062256,268964.0987930298,274134.59951782227,276589.2600250244,282701.1981124878,275658.6004180908,311783.7636947632,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(22:2)_QUAL,CAR,2119538.2608680725,1894844.6167259216,2091327.2138710022,1775379.980709076,1568304.6886787415,1747418.25907135,1743098.343132019,1586565.2906303406,2043927.6492233276,1981514.9768791199,2590980.841960907,2237564.006412506,2741514.162109375,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(22:4),CAR,304263.9005126953,282362.2190208435,289300.1394081116,285067.93981170654,273410.1192626953,277806.29878616333,285076.17863845825,269893.63860702515,281971.14155197144,279427.51834869385,286656.9009170532,276084.160572052,317976.1638183594,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(22:4)_QUAL,CAR,2090082.6890678406,1835574.6464118958,2098183.9270401,1743933.1413345337,1568254.4487571716,1708583.2917251587,1712930.5280532837,1572544.0054740906,2002502.1703987122,1935228.5650863647,2587142.428050995,2172652.7879753113,2787949.4111328125,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(22:5),CAR,282274.5230560303,268121.39767074585,274791.5791168213,271857.5993232727,263112.5775337219,266218.9988555908,269344.7597732544,265285.52085494995,270131.99813461304,275416.2397041321,276468.6997833252,264366.2798309326,303855.1018066406,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(22:5)_QUAL,CAR,2073900.0021133423,1905681.9292259216,2089738.200706482,1763566.8874282837,1572443.313053131,1746166.3039093018,1736489.2870368958,1591937.0464935303,2034618.8959465027,1972752.709224701,2571196.6535987854,2176420.30891037,2717660.275390625,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(22:6),CAR,299761.0425262451,277953.75997543335,285218.02001571655,281648.09842300415,276747.13832473755,279164.3195953369,280383.34115600586,279976.037776947,281853.1808357239,276587.81967544556,293885.6809806824,286250.65924453735,318534.2431640625,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(22:6)_QUAL,CAR,1697212.5118026733,1539487.72996521,1683527.965473175,1434852.861995697,1229321.2496147156,1399932.5944595337,1401325.591293335,1245016.213481903,1674876.5438346863,1618526.3742637634,2064707.0076637268,1826770.714691162,1836675.162109375,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(26:0),CAR,302941.94146728516,278522.70014953613,287764.29962158203,274647.55920410156,272230.9799194336,281358.5601577759,273277.9588623047,268981.8998680115,284468.5985298157,280500.58139801025,297551.8404312134,279534.79943847656,310939.6223144531,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(26:0)_QUAL,CAR,526772.3571166992,499113.65871429443,496534.11392211914,503979.49629211426,479329.8517227173,481699.79081726074,483058.9542617798,478602.1107635498,490320.6736984253,500697.55280303955,532389.8934440613,492775.83528900146,559594.85887146,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(2:0),CAR,10943312.374694824,10072553.754535675,9974919.610160828,10052942.269065857,10313954.544380188,10196541.865005493,10025496.410003662,10104054.27437973,10107238.6318779,9854046.7707901,10023765.355628967,9765242.253288269,9820295.890625,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(2:0)_QUAL,CAR,451847.4065055847,421858.1105117798,433517.55157470703,422538.1106567383,416225.1884613037,421423.37160491943,421122.9872894287,413092.7094154358,436025.8927268982,436130.33182907104,429828.77197647095,428241.36737442017,395996.7683105469,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(3:0),CAR,333457.3238105774,300388.4015197754,293359.4203529358,300816.7611656189,294355.36183929443,302090.80226898193,294327.0814857483,290970.72121429443,306106.9613685608,296095.40132522583,305437.3198852539,291976.080493927,270974.60119628906,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(3:0)_QUAL,CAR,134709.10940933228,125514.54878616333,123723.00855255127,122475.66820526123,117587.8473739624,122919.12901687622,118018.72876739502,119657.5486793518,128990.34886169434,125722.02825927734,125410.1295967102,125478.14990234375,107413.62805175781,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(3:1),CAR,385683.3460197449,359447.8253593445,351148.665184021,356047.5850906372,348767.62408447266,352975.5248260498,355849.02516937256,348090.28467178345,363934.70292282104,354954.6459503174,365229.7279624939,356010.0045814514,327042.8210449219,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR(3:1)_QUAL,CAR,149461.83151245117,134968.04907608032,136482.32916641235,137306.67017364502,127151.04874801636,138454.72973632812,134416.74939346313,127840.0878944397,139141.12942123413,136491.93005371094,145222.55068206787,135064.8503265381,114578.34790039062,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
