Lipid,Class,FAD185_M1_Male_5xFAD_cortex ,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_cortex ,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_cortex ,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_cortex ,FAD189_M2_Male_5xFAD_hippocampus,FAD185_M4_Male_WT_cortex ,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_cortex ,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(12:0)_QUAL,CAR,1231349.6988372803,1161189.3405532837,1221284.5914916992,1192792.4453964233,1306356.8415679932,1192158.3355522156,1193412.1874275208,1164571.6839904785,1241054.7493286133,1236211.1865692139,1213965.2067642212,1178170.2781333923,1316580.955078125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(14:0),CAR,341709.0861778259,332927.7430534363,339953.44495010376,336576.90424728394,334817.0441246033,343159.0837364197,338206.9849281311,339383.0037384033,354997.76723480225,354786.8057899475,339063.7844963074,337522.3039932251,372286.30517578125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,727281.4342269897,713829.2136383057,761418.1294593811,734547.4757080078,741924.6730957031,768051.2121162415,751814.8503990173,713456.0486755371,764294.6153945923,776756.1938323975,748432.934261322,731135.1941871643,886736.28125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(14:1),CAR,347182.0241088867,336109.3020401001,358554.5650444031,339588.00342559814,343123.0645942688,346242.2067642212,346077.24448013306,348505.52379608154,366983.22721481323,367426.5475463867,361806.10680389404,354754.462310791,368998.52587890625,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(14:1)_QUAL,CAR,724341.1519584656,715650.6092262268,733591.5547332764,718913.6894226074,719726.5105552673,773259.4165306091,758138.393913269,701233.7068405151,756387.4721946716,767197.8109855652,754983.6320800781,719702.2526626587,902707.2607421875,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(14:2),CAR,381633.790145874,368244.14541625977,381604.8462371826,382283.74613952637,378694.58573150635,382226.4464111328,378606.2049293518,374254.64543533325,391972.246257782,394912.08697891235,382274.2672729492,379640.6463165283,397565.60986328125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(14:2)_QUAL,CAR,767176.1962928772,753526.3537979126,789051.5732498169,772708.3506698608,774223.9913330078,783264.2549667358,761149.5116081238,744232.7703971863,802263.0186004639,800865.2715682983,808655.4323120117,758700.0524291992,898668.984375,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(16:0),CAR,251473.47735977173,242261.5566596985,255412.83624649048,248843.77738952637,250881.0977783203,258400.71842575073,247474.23796463013,242644.57736968994,255909.8370552063,261857.9980354309,260033.4383468628,249421.79866027832,283562.06005859375,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(16:0)_QUAL,CAR,761272.3086395264,719417.8522720337,757181.172039032,785145.1504745483,763946.3106689453,775260.2955551147,721392.4711380005,742124.9953994751,714538.5910606384,724161.7909011841,742535.4524078369,707938.570438385,743383.630859375,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(16:1),CAR,238651.93688964844,234070.7368927002,247915.0375175476,243786.65781784058,235559.25829696655,243525.89723587036,240942.0760192871,245141.53705596924,256811.7780532837,252962.25834655762,249647.53729248047,235482.75677490234,271161.9794921875,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
