,Unnamed: 0,Unnamed: 0.1,Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,Unnamed: 0.1.1,n-7,n-9,n-10,n-12,db_pos
357,500,233776,,[TG(45:4)]_FA16:1,305.0,692.6,503.4,11.19,11292023_FAD189_M1_5xFAD_cortex_O3on_01,692.6 -> 503.4,3130103,610.6,582.6,568.6,540.6,n-7
404,517,237145,,[TG(52:5)]_FA16:1,321.0,718.6,599.5,10.79,11292023_FAD189_M1_5xFAD_cortex_O3on_01,718.6 -> 599.5,3133472,636.6,608.6,594.6,566.6,n-12
416,557,264177,,[TG(52:5)]_FA16:1,3410.0,788.7,599.5,11.13,11292023_FAD189_M1_5xFAD_cortex_O3on_01,788.7 -> 599.5,3160504,706.7,678.7,664.7,636.7,n-7
410,523,248979,,[TG(52:5)]_FA16:1,441.0,760.7,599.5,11.27,11292023_FAD189_M1_5xFAD_cortex_O3on_01,760.7 -> 599.5,3145306,678.7,650.7,636.7,608.7,n-9
376,529,263051,,[TG(52:6)]_FA18:2,3756.0,786.7,597.5,11.13,11292023_FAD189_M1_5xFAD_cortex_O3on_01,786.7 -> 597.5,3159378,704.7,676.7,662.7,634.7,n-7
379,532,263051,,[TG(54:6)]_FA18:1,3756.0,786.7,597.5,11.13,11292023_FAD189_M1_5xFAD_cortex_O3on_01,786.7 -> 597.5,3159378,704.7,676.7,662.7,634.7,n-9
422,563,265303,,"[TG(55:11),TG(54:4)]_FA18:1",821.0,790.7,601.5,11.13,11292023_FAD189_M1_5xFAD_cortex_O3on_01,790.7 -> 601.5,3161630,708.7,680.7,666.7,638.7,n-9
453,592,348066,,[TG(52:5)]_FA16:1,463.0,788.7,599.5,11.26,11292023_FAD189_M1_5xFAD_dienc_O3on_01,788.7 -> 599.5,3244393,706.7,678.7,664.7,636.7,n-7
425,564,347500,,[TG(52:6)]_FA18:2,358.0,786.7,597.5,11.13,11292023_FAD189_M1_5xFAD_dienc_O3on_01,786.7 -> 597.5,3243827,704.7,676.7,662.7,634.7,n-7
428,567,347500,,[TG(54:6)]_FA18:1,358.0,786.7,597.5,11.13,11292023_FAD189_M1_5xFAD_dienc_O3on_01,786.7 -> 597.5,3243827,704.7,676.7,662.7,634.7,n-9
