Lipid,Class,AK0135,AK0140,AK0142,AK0144,AK0147,AK0154,AK0155,AK0157,AK0166,AK0168,AK0169,AK0139,AK0141,AK0145,AK0161,AK0164,AK0170,AK0174,AK0175,AK0200,AK0202,AK0204,Blank-1x,Title1,Title2,Title,length1,length2,Blank_name
1-O-carboceroyl-Cer(d18:1/16:0),CER,5216.740371704102,3582.860237121582,4081.8003158569336,4074.4802780151367,3604.5002479553223,4713.260307312012,3759.620258331299,3601.680244445801,3713.360263824463,3989.080280303955,4236.8803062438965,4441.940341949463,4270.400283813477,5085.420352935791,3718.3802642822266,3836.640239715576,3969.8202781677246,4237.000282287598,4758.760353088379,3614.9802589416504,5576.680419921875,4055.0402908325195,4646.720367431641,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
1-O-carboceroyl-Cer(d18:1/18:0),CER,8720.900714874268,5660.100425720215,4481.360313415527,5170.960353851318,4386.000316619873,4087.080265045166,5734.580436706543,4417.620300292969,4719.100315093994,4548.860317230225,6960.540477752686,8781.880512237549,7776.520538330078,10447.660861968994,7115.460487365723,6016.460430145264,7192.140544891357,6091.820507049561,6554.140449523926,6553.460472106934,9145.040660858154,6529.280418395996,5040.740333557129,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
1-O-cerotoyl-Cer(d18:1/16:0),CER,13388.360912322998,4653.600318908691,5178.580360412598,7008.30041885376,4465.6003341674805,4538.020324707031,5729.80041885376,4500.920333862305,5366.040374755859,6589.520477294922,7924.700550079346,7282.660499572754,5822.840404510498,10870.080791473389,7886.500576019287,5406.520370483398,8310.960536956787,8394.460628509521,8751.120597839355,6413.280429840088,13825.741111755371,7550.240520477295,3809.9602699279785,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
1-O-cerotoyl-Cer(d18:1/18:0),CER,15794.281101226807,6038.360431671143,6661.160549163818,7670.940490722656,4956.40034866333,5092.980331420898,6426.820476531982,5982.820430755615,5952.080425262451,5984.720378875732,9653.100685119629,12557.66093826294,7811.040546417236,14279.840965270996,9755.960605621338,7214.7205810546875,11369.340805053711,10750.760795593262,9342.600666046143,6788.320453643799,18681.461498260498,10655.400787353516,3463.6002349853516,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
1-O-eicosanoyl-Cer(d18:1/16:0),CER,6167.640422821045,3758.3402366638184,4268.620307922363,4501.780342102051,3860.800262451172,5231.980365753174,4478.94030380249,3823.8002700805664,4164.360324859619,4291.060306549072,4327.160327911377,5131.020397186279,4681.560306549072,7359.920520782471,4800.280372619629,4873.900314331055,4450.040294647217,4322.100303649902,5289.9403648376465,4905.880352020264,5853.100387573242,3852.0602951049805,6539.220417022705,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
1-O-lignoceroyl-Cer(d18:1/16:0),CER,5089.660343170166,3764.140251159668,3621.5602645874023,3881.680290222168,3477.2602500915527,4503.680328369141,3710.9802589416504,3531.78023147583,3641.540294647217,3715.9402656555176,4383.060298919678,4048.4403076171875,4296.420307159424,5020.460350036621,4089.5603065490723,3765.0002784729004,3639.1402626037598,4020.000270843506,3772.820266723633,4162.040302276611,4686.000328063965,4047.5402908325195,3428.300247192383,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
1-O-myristoyl-Cer(d18:1/16:0),CER,5962.720432281494,4067.5402603149414,4023.940299987793,4786.7603187561035,4100.400287628174,5547.440368652344,3571.2802658081055,3897.800266265869,4217.980293273926,4095.9403076171875,5236.600372314453,5036.300392150879,4815.420322418213,5587.720401763916,5093.560356140137,4566.740303039551,4900.880352020264,4604.6203536987305,4845.1403465271,4447.700313568115,7014.3204917907715,4389.240291595459,3470.2002601623535,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
1-O-palmitoyl-Cer(d18:1/16:0),CER,9013.54067993164,5563.800373077393,5365.540367126465,5631.440368652344,3930.26025390625,6120.620475769043,6000.080413818359,4733.880352020264,4370.340328216553,5721.100395202637,5882.000411987305,5919.900444030762,4830.9203453063965,6407.380443572998,4777.000354766846,5189.2403564453125,4846.0003662109375,4676.50036239624,6160.1803855896,5167.520366668701,7208.8204917907715,4643.700305938721,6578.1604080200195,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
1-O-stearoyl-Cer(d18:1/16:0),CER,6909.960479736328,3921.9202766418457,3975.2202911376953,4115.500293731689,3772.340259552002,6000.68045425415,3930.9002838134766,3785.3402709960938,4547.640350341797,4405.380332946777,5179.940361022949,5179.200378417969,4695.420333862305,6351.960472106934,4733.940368652344,4237.5002784729,4175.380310058594,4600.600368499756,4807.780326843262,4884.260334014893,6096.280429840088,4892.620365142822,3474.080253601074,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
1-O-tricosanoyl-Cer(d18:1/16:0),CER,4923.140335083008,3911.040256500244,3995.740306854248,3799.940258026123,3639.6802406311035,4657.500274658203,3852.88028717041,3865.660255432129,3854.100273132324,3973.3402786254883,4681.06033706665,4674.660354614258,4487.660305023193,4586.880325317383,3747.100273132324,3911.7002754211426,3998.4402770996094,3936.3802757263184,4180.200305938721,3961.74027633667,5636.340427398682,4099.060287475586,3450.9802436828613,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
1-O-tricosanoyl-Cer(d18:1/18:0),CER,5707.6403884887695,3879.5202598571777,4342.560329437256,4387.940299987793,3926.7002868652344,3862.220245361328,4343.600292205811,3834.3002548217773,3940.3202896118164,3994.320281982422,4672.860336303711,5767.840435028076,4772.9203453063965,5468.500392913818,4322.880317687988,4604.360305786133,4530.180316925049,4166.780300140381,4440.880332946777,3721.3802642822266,5268.840389251709,4539.620319366455,5073.480350494385,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",AC,1773598.3264160156,1780104.4519042969,1550610.1850585938,1612063.1870117188,1717306.8571777344,1363540.2586669922,1757777.8254394531,1607952.223022461,1624814.6600341797,1667559.6105957031,1668788.759399414,1908898.2258300781,1577006.3580322266,1500475.087890625,1574604.4770507812,1676762.3806152344,1667023.7607421875,1540232.3978271484,1754820.5119628906,1676924.242553711,1899879.3990478516,3586422.091796875,327414.4421424866,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
12:0 Cholesteryl ester,CE,204735.6732559204,294505.3403015137,262111.40744018555,224195.40585327148,227068.89736938477,221471.68612670898,264631.21978759766,243288.82751464844,234882.9366760254,286597.27938842773,209022.50494384766,465114.21572875977,594863.7816772461,392100.2387390137,457386.1742858887,456029.5919189453,382910.7053527832,148017.68029403687,155068.82125854492,431260.740234375,186711.71340560913,398273.2957763672,37555.72263145447,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
14:0 Cholesteryl ester,CE,183002.45364379883,268446.0394897461,246201.1987915039,216050.85403442383,199976.6728515625,215724.45770263672,242793.93817138672,230769.0149230957,215567.55737304688,250779.65802001953,207351.1742477417,408192.8278808594,483184.1337585449,352738.62506103516,378208.78729248047,402353.0107421875,331379.9051513672,115021.12748718262,144252.42919921875,374032.8856201172,157515.33116149902,348061.6057739258,33731.72247314453,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
14:1 Cholesteryl ester,CE,176190.29229736328,280941.0598754883,254350.15838623047,212410.25262451172,202104.05450439453,210948.05401611328,247640.47924804688,233648.6573791504,230008.0352783203,262053.49740600586,195130.0516357422,425408.9488220215,514558.01794433594,366456.5667114258,390806.02716064453,413623.6901245117,346504.4039916992,135030.92964935303,150148.43026733398,385376.1858520508,154538.83144378662,357291.26708984375,33754.40241241455,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE | CE,821666.0647583008,1058248.3587646484,993825.3690185547,1082420.1522827148,944242.9281005859,742016.0353393555,1173440.5676269531,1081285.5826416016,1020471.1334228516,1246317.3547363281,708605.2796325684,2051642.4748535156,2235489.3649902344,1892195.0750732422,2289454.801147461,1994671.543334961,2114187.1107177734,804388.2162704468,725593.9499816895,2187327.221801758,853643.717956543,2697162.3706054688,78650.26553726196,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
15:0 Cholesteryl ester,CE,479322.4362182617,798082.3576660156,750341.5529785156,743461.3332519531,711950.0932617188,635065.9443359375,800429.5791015625,781783.0134277344,772022.0708007812,801382.9323730469,490554.6734008789,1055011.5732421875,1178369.2763671875,960665.4267578125,1068373.348022461,1045205.1755371094,984740.0437011719,312532.92054748535,417044.6669921875,1039988.71484375,459047.3137817383,1155100.2397460938,89103.66654205322,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE | CE,671833.5171203613,990472.720703125,931739.4052734375,983553.5280761719,895363.2653808594,754455.3714599609,1054239.2244873047,1000542.8466796875,962666.4020996094,1037546.4890136719,644128.4916992188,1538668.7131347656,1712941.708984375,1368482.2838134766,1551781.0695800781,1545512.5982666016,1492855.7944335938,504738.74810028076,598246.1745910645,1543225.9221191406,741590.7231750488,1730770.0764160156,98432.88682556152,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
15:1 Cholesteryl ester,CE,477932.2758178711,804409.1020507812,743346.9748535156,736011.0537109375,721170.7348632812,644670.1643066406,825408.7788085938,784644.4033203125,777016.0197753906,800593.87890625,505754.9772949219,1054155.5134277344,1199737.0004882812,952810.02734375,1034874.5734863281,1045489.8735351562,1001628.103515625,306752.93940734863,423149.8651123047,1042590.439453125,523393.09393310547,1164540.2397460938,82103.88539123535,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE | CE,1184341.8838119507,1465771.3977355957,1514772.2434387207,1710093.5371398926,1338041.8971252441,994827.9374084473,1742298.5976257324,1652276.8069152832,1565168.5610656738,2028606.7422180176,995053.5924377441,3318476.1712646484,3789137.831665039,3211977.413330078,3875085.258117676,3107343.2870788574,3504979.079345703,1307124.8234863281,1079846.6269073486,3804787.899536133,1332574.521987915,5001564.462982178,39962.69267845154,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
16:2 Campesteryl ester,CE,1024153.8960876465,1307736.837463379,1334771.5510864258,1508454.9771118164,1174604.151550293,917399.5659179688,1550846.7870483398,1435602.710144043,1360124.0970458984,1797326.3282470703,918590.6849060059,2881798.134765625,3246463.505126953,2853732.693359375,3417545.9243164062,2611230.1533813477,3071638.707397461,1104001.699897766,876902.982208252,3307019.251953125,1178049.5912780762,4564289.039428711,37548.18246459961,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,539949.7182617188,891150.3662109375,832757.7119140625,839465.0791015625,798569.537109375,699599.3725585938,901407.8879394531,889896.3603515625,851822.6799316406,897783.5258789062,560162.5383300781,1263222.1179199219,1441165.1945800781,1134029.0310058594,1241483.5310058594,1267904.8039550781,1206008.5622558594,389170.6880187988,474161.7130126953,1263038.6306152344,604268.1017456055,1390025.2941894531,93003.58645629883,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
16:3 Campesteryl ester,CE,1020041.3619384766,1272210.581665039,1307131.5270385742,1489378.978515625,1159438.148071289,903200.701171875,1555125.1788330078,1416996.383178711,1328931.5989379883,1787545.073425293,845048.805267334,2809078.3034057617,3193075.5076293945,2799905.918334961,3370828.850830078,2577784.221862793,3015819.7756347656,1121081.583908081,912040.8722076416,3274823.365753174,1153624.7742919922,4504572.306091309,36631.20252227783,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
16:3 Cholesteryl ester,CE,512074.33544921875,836573.03515625,788950.3098144531,797526.4951171875,763953.9541015625,665307.5700683594,875816.3291015625,834721.3200683594,813374.4765625,852996.4790039062,542026.9217529297,1165534.2019042969,1305368.5871582031,1046914.4780273438,1174910.9125976562,1150298.9602050781,1096579.2644042969,360634.76766967773,471574.69232177734,1182799.1965332031,540857.696472168,1277360.2670898438,103143.08738708496,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
16:3 Stigmasteryl ester,CE,1596471.5189819336,1871276.9307250977,1975534.305053711,2258827.65423584,1707096.0693969727,1267587.5789794922,2167118.485107422,2136728.206665039,2056865.3665161133,2524116.097229004,1438264.2188720703,4722541.474975586,5264164.096069336,4274017.391723633,5191223.557739258,4371415.269836426,4720311.004638672,1737976.481918335,1331746.8444519043,5171141.995483398,1801859.5259094238,6217856.19934082,39270.862632751465,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE | CE,904103.3812446594,1277186.8526611328,1359594.2016448975,1466560.024963379,1103556.2556152344,848062.6477661133,1339909.8387145996,1446027.9991455078,1338548.513458252,1489937.2184143066,941782.7571868896,2822796.576599121,3288350.404602051,2300476.920196533,2839009.963104248,2787728.9231262207,2574079.7657470703,1015916.60105896,865869.1324005127,2979560.499572754,1095559.0907745361,2921319.241546631,40001.622884750366,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE | CE,1269224.113204956,1575253.7347106934,1667403.3458251953,1867686.641418457,1422642.0762634277,1084446.7676086426,1797023.5684204102,1790478.3023376465,1708942.0997924805,2094825.8489379883,1150737.7462005615,3718276.8081054688,4288390.163513184,3376916.686401367,4120688.9710998535,3525486.3202819824,3680598.401611328,1278986.178062439,1097628.923713684,4184512.6173095703,1482588.7326202393,4957396.390258789,41981.02304840088,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,1008699.0966491699,1328263.0100097656,1334801.8954467773,1522209.2582092285,1206125.1996154785,919561.9737243652,1574773.9153747559,1486015.5409851074,1356999.5156860352,1845969.9208374023,931373.987701416,2918247.939819336,3310707.9813842773,2887374.0138549805,3453966.0301208496,2690113.881866455,3106656.797088623,1166644.243675232,887253.8628616333,3356310.528503418,1162368.9273986816,4581537.056976318,41338.52281188965,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE | CE,1314545.3498153687,1400924.9716796875,1447853.0148925781,1500422.472442627,1190614.404724121,886461.2264099121,1511534.3697814941,1487184.5008544922,1422682.6301879883,1996301.4260559082,1088911.4127426147,3315161.847808838,3711250.3817749023,2687074.9968566895,3958294.362976074,3090809.117034912,3100444.072692871,1089769.3492355347,1124650.8672714233,3660827.023376465,1353950.488822937,3228344.1232299805,41639.50292015076,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
18:1 Campesteryl ester,CE,1406696.6515655518,1641756.6278686523,1707497.1040039062,1789755.3739624023,1402191.4959106445,1003764.1147460938,1727128.3701782227,1712748.7578735352,1691380.4220581055,2229231.387939453,1219592.427734375,4002003.9439697266,4457279.874633789,3204196.6900634766,4477974.755187988,3735554.5223999023,3672621.907043457,1552476.3158874512,1317252.875152588,4339608.172363281,1518235.576385498,3820909.7244262695,44848.22304916382,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,1412019.9285583496,1818041.7153930664,1913767.1786499023,2177446.016845703,1623692.8201904297,1240609.3356323242,2102315.338623047,2045730.319885254,1979133.4765625,2459071.4896240234,1340631.0358428955,4486515.670532227,5087158.259765625,4095343.4825439453,4957211.194519043,4150944.659851074,4495567.135131836,1652844.0254058838,1433446.1220703125,5061750.217041016,1706795.0891113281,5980968.522338867,40885.682929992676,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
18:3 Campesteryl ester,CE,1567910.2755889893,1641256.6345825195,1707117.0549316406,1830285.6535644531,1426572.030090332,1019647.4429931641,1771869.3141479492,1767703.882446289,1720888.4177246094,2251579.0364379883,1238930.4791870117,4045757.433959961,4498562.19140625,3280187.0474853516,4580462.106201172,3888413.5653686523,3777282.47265625,1391218.4571380615,1236603.7670593262,4373657.011108398,1635778.7589111328,3889693.0604248047,43290.78319168091,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,1487454.1528892517,1898086.6850891113,1974806.771911621,2260762.9064941406,1706679.6537780762,1254822.8975219727,2176675.906677246,2155256.8198242188,2060603.0645141602,2551167.5423583984,1401191.8338623047,4648458.169921875,5232714.364990234,4273291.343078613,5227865.071716309,4389020.909790039,4683383.762390137,1863376.6055603027,1437982.3947143555,5225475.064697266,1783487.885131836,6189341.36730957,40236.002784729004,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",CE | CE,1631630.3058242798,2263891.352416992,2126745.5697021484,2014721.9537353516,1768917.5540771484,1330667.5771484375,2243867.964477539,2057985.1752929688,2029562.3850097656,2595196.169067383,1500715.9677276611,3768105.927368164,4312754.284545898,2960267.2912597656,4283155.2265625,3701249.0037841797,3496396.205078125,1422278.934020996,1385092.6919555664,3900011.8770751953,1568005.33102417,3609544.9732666016,111372.25839805603,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",AC,604128.2267456055,470222.51599121094,478508.69592285156,440532.09045410156,517384.09729003906,414126.91052246094,534352.6359863281,524496.9171142578,531947.4597167969,563614.3217773438,494369.294921875,683626.9583740234,587663.462097168,535128.9973754883,552526.2526245117,533576.4212646484,581810.5565185547,556161.2179870605,514811.8537597656,673715.7709960938,504305.37561035156,1180923.685546875,114115.06772994995,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
20:0 Campesteryl ester,CE,1144727.5750579834,1786047.966796875,1579443.7087402344,1453715.0483398438,1301071.357421875,1003576.6560058594,1640341.3056640625,1524051.0131835938,1485507.4794921875,1647538.0197753906,1136902.4174194336,2559207.6220703125,3150041.2700195312,1934160.1706542969,2569923.3569335938,2756263.453857422,2290627.869873047,783134.548828125,921191.6957702637,2371062.5517578125,1090242.490814209,2294392.154296875,117365.78839111328,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
20:1 Campesteryl ester,CE,1097204.6911010742,1778618.5598144531,1619703.5004882812,1482835.119140625,1326422.3837890625,998638.1130371094,1618198.5288085938,1515908.3547363281,1499049.9282226562,1677135.3952636719,1086778.356262207,2585693.243408203,3151898.746826172,1934451.71484375,2556160.831298828,2746248.224609375,2325912.2016601562,955419.111907959,876076.1404266357,2429942.8693847656,1107220.6676330566,2284697.7314453125,107014.40713882446,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",CE,1777556.1994018555,2263856.1713867188,2156904.759765625,2056882.3227539062,1799126.8276367188,1369514.3940429688,2246168.469970703,2086922.6962890625,2080992.4514160156,2617951.7438964844,1484218.9609985352,3853047.3322753906,4397541.48046875,3014448.8520507812,4349770.3916015625,3763806.333984375,3558858.6623535156,1299314.9774780273,1444733.7073364258,3976487.776123047,1626150.655822754,3676025.0087890625,107587.86814498901,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",CE,1713379.1826782227,2307182.4860839844,2143628.2973632812,2024772.1220703125,1784997.0583496094,1345383.8601074219,2254503.8818359375,2105953.634033203,2043700.0700683594,2605648.806640625,1543084.2462768555,3874732.990234375,4396569.5673828125,3040737.1506347656,4368061.712646484,3734481.5161132812,3554552.2036132812,1252337.7398986816,1305868.1267700195,3945552.9360351562,1744661.2466125488,3696464.865966797,120097.84827804565,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
