TG 40:5_OZONE_DB_Position_N7	702.6->784.7
TG 40:5_OZONE_DB_Position_N8	702.6->798.7
TG 40:5_OZONE_DB_Position_N9	702.6->812.7
TG 40:5_OZONE_DB_Position_N10	702.6->826.7
TG 40:5_OZONE_DB_Position_N11	702.6->840.7
TG 40:5_OZONE_DB_Position_N12	702.6->854.8
TG 40:5_OZONE_DB_Position_N13	702.6->868.8
TG 40:5_OZONE_DB_Position_N14	702.6->882.8
TG 40:5_OZONE_DB_Position_N15	702.6->896.8
TG 40:5_OZONE_DB_Position_N16	702.6->910.8
TG 40:5_OZONE_DB_Position_N17	702.6->924.8
TG 40:6	700.6->401.4
TG 40:6_OZONE_DB_Position_N1	700.6->698.6
TG 40:6_OZONE_DB_Position_N2	700.6->712.6
TG 40:6_OZONE_DB_Position_N3	700.6->726.6
TG 40:6_OZONE_DB_Position_N4	700.6->740.6
TG 40:6_OZONE_DB_Position_N5	700.6->754.6
TG 40:6_OZONE_DB_Position_N6	700.6->768.7
TG 40:6_OZONE_DB_Position_N7	700.6->782.7
TG 40:6_OZONE_DB_Position_N8	700.6->796.7
TG 40:6_OZONE_DB_Position_N9	700.6->810.7
TG 40:6_OZONE_DB_Position_N10	700.6->824.7
TG 40:6_OZONE_DB_Position_N11	700.6->838.7
TG 40:6_OZONE_DB_Position_N12	700.6->852.8
TG 40:6_OZONE_DB_Position_N13	700.6->866.8
TG 40:6_OZONE_DB_Position_N14	700.6->880.8
TG 40:6_OZONE_DB_Position_N15	700.6->894.8
TG 40:6_OZONE_DB_Position_N16	700.6->908.8
TG 40:6_OZONE_DB_Position_N17	700.6->922.8
TG 40:7	698.6->399.4
TG 40:7_OZONE_DB_Position_N1	698.6->696.6
TG 40:7_OZONE_DB_Position_N2	698.6->710.6
TG 40:7_OZONE_DB_Position_N3	698.6->724.6
TG 40:7_OZONE_DB_Position_N4	698.6->738.6
TG 40:7_OZONE_DB_Position_N5	698.6->752.6
TG 40:7_OZONE_DB_Position_N6	698.6->766.7
TG 40:7_OZONE_DB_Position_N7	698.6->780.7
TG 40:7_OZONE_DB_Position_N8	698.6->794.7
TG 40:7_OZONE_DB_Position_N9	698.6->808.7
TG 40:7_OZONE_DB_Position_N10	698.6->822.7
TG 40:7_OZONE_DB_Position_N11	698.6->836.7
TG 40:7_OZONE_DB_Position_N12	698.6->850.8
TG 40:7_OZONE_DB_Position_N13	698.6->864.8
TG 40:7_OZONE_DB_Position_N14	698.6->878.8
TG 40:7_OZONE_DB_Position_N15	698.6->892.8
TG 40:7_OZONE_DB_Position_N16	698.6->906.8
TG 40:7_OZONE_DB_Position_N17	698.6->920.8
TG 40:8	696.6->397.4
TG 40:8_OZONE_DB_Position_N1	696.6->694.6
TG 40:8_OZONE_DB_Position_N2	696.6->708.6
TG 40:8_OZONE_DB_Position_N3	696.6->722.6
TG 40:8_OZONE_DB_Position_N4	696.6->736.6
TG 40:8_OZONE_DB_Position_N5	696.6->750.6
TG 40:8_OZONE_DB_Position_N6	696.6->764.7
TG 40:8_OZONE_DB_Position_N7	696.6->778.7
TG 40:8_OZONE_DB_Position_N8	696.6->792.7
TG 40:8_OZONE_DB_Position_N9	696.6->806.7
TG 40:8_OZONE_DB_Position_N10	696.6->820.7
TG 40:8_OZONE_DB_Position_N11	696.6->834.7
TG 40:8_OZONE_DB_Position_N12	696.6->848.8
TG 40:8_OZONE_DB_Position_N13	696.6->862.8
TG 40:8_OZONE_DB_Position_N14	696.6->876.8
TG 40:8_OZONE_DB_Position_N15	696.6->890.8
TG 40:8_OZONE_DB_Position_N16	696.6->904.8
TG 40:8_OZONE_DB_Position_N17	696.6->918.8
TG 40:9	694.6->395.4
TG 40:9_OZONE_DB_Position_N1	694.6->692.6
TG 40:9_OZONE_DB_Position_N2	694.6->706.6
TG 40:9_OZONE_DB_Position_N3	694.6->720.6
TG 40:9_OZONE_DB_Position_N4	694.6->734.6
TG 40:9_OZONE_DB_Position_N5	694.6->748.6
TG 40:9_OZONE_DB_Position_N6	694.6->762.7
TG 40:9_OZONE_DB_Position_N7	694.6->776.7
TG 40:9_OZONE_DB_Position_N8	694.6->790.7
TG 40:9_OZONE_DB_Position_N9	694.6->804.7
TG 40:9_OZONE_DB_Position_N10	694.6->818.7
TG 40:9_OZONE_DB_Position_N11	694.6->832.7
TG 40:9_OZONE_DB_Position_N12	694.6->846.8
TG 40:9_OZONE_DB_Position_N13	694.6->860.8
TG 40:9_OZONE_DB_Position_N14	694.6->874.8
TG 40:9_OZONE_DB_Position_N15	694.6->888.8
TG 40:9_OZONE_DB_Position_N16	694.6->902.8
TG 40:9_OZONE_DB_Position_N17	694.6->916.8
TG 40:10	692.6->393.4
TG 40:10_OZONE_DB_Position_N1	692.6->690.6
TG 40:10_OZONE_DB_Position_N2	692.6->704.6
TG 40:10_OZONE_DB_Position_N3	692.6->718.6
TG 40:10_OZONE_DB_Position_N4	692.6->732.6
TG 40:10_OZONE_DB_Position_N5	692.6->746.6
TG 40:10_OZONE_DB_Position_N6	692.6->760.7
TG 40:10_OZONE_DB_Position_N7	692.6->774.7
TG 40:10_OZONE_DB_Position_N8	692.6->788.7
TG 40:10_OZONE_DB_Position_N9	692.6->802.7
TG 40:10_OZONE_DB_Position_N10	692.6->816.7
TG 40:10_OZONE_DB_Position_N11	692.6->830.7
TG 40:10_OZONE_DB_Position_N12	692.6->844.8
TG 40:10_OZONE_DB_Position_N13	692.6->858.8
TG 40:10_OZONE_DB_Position_N14	692.6->872.8
TG 40:10_OZONE_DB_Position_N15	692.6->886.8
TG 40:10_OZONE_DB_Position_N16	692.6->900.8
TG 40:10_OZONE_DB_Position_N17	692.6->914.8
TG 41:1	724.6->425.4
TG 41:1_OZONE_DB_Position_N1	724.6->722.7
TG 41:1_OZONE_DB_Position_N2	724.6->736.7
TG 41:1_OZONE_DB_Position_N3	724.6->750.7
TG 41:1_OZONE_DB_Position_N4	724.6->764.7
TG 41:1_OZONE_DB_Position_N5	724.6->778.7
TG 41:1_OZONE_DB_Position_N6	724.6->792.7
TG 41:1_OZONE_DB_Position_N7	724.6->806.8
TG 41:1_OZONE_DB_Position_N8	724.6->820.8
TG 41:1_OZONE_DB_Position_N9	724.6->834.8
TG 41:1_OZONE_DB_Position_N10	724.6->848.8
TG 41:1_OZONE_DB_Position_N11	724.6->862.8
TG 41:1_OZONE_DB_Position_N12	724.6->876.8
TG 41:1_OZONE_DB_Position_N13	724.6->890.9
TG 41:1_OZONE_DB_Position_N14	724.6->904.9
TG 41:1_OZONE_DB_Position_N15	724.6->918.9
TG 41:1_OZONE_DB_Position_N16	724.6->932.9
TG 41:1_OZONE_DB_Position_N17	724.6->946.9
TG 41:2	722.6->423.4
TG 41:2_OZONE_DB_Position_N1	722.6->720.6
TG 41:2_OZONE_DB_Position_N2	722.6->734.7
TG 41:2_OZONE_DB_Position_N3	722.6->748.7
TG 41:2_OZONE_DB_Position_N4	722.6->762.7
TG 41:2_OZONE_DB_Position_N5	722.6->776.7
TG 41:2_OZONE_DB_Position_N6	722.6->790.7
TG 41:2_OZONE_DB_Position_N7	722.6->804.7
TG 41:2_OZONE_DB_Position_N8	722.6->818.8
TG 41:2_OZONE_DB_Position_N9	722.6->832.8
TG 41:2_OZONE_DB_Position_N10	722.6->846.8
TG 41:2_OZONE_DB_Position_N11	722.6->860.8
TG 41:2_OZONE_DB_Position_N12	722.6->874.8
TG 41:2_OZONE_DB_Position_N13	722.6->888.8
TG 41:2_OZONE_DB_Position_N14	722.6->902.9
TG 41:2_OZONE_DB_Position_N15	722.6->916.9
TG 41:2_OZONE_DB_Position_N16	722.6->930.9
TG 41:2_OZONE_DB_Position_N17	722.6->944.9
TG 41:3	720.6->421.4
TG 41:3_OZONE_DB_Position_N1	720.6->718.6
TG 41:3_OZONE_DB_Position_N2	720.6->732.6
TG 41:3_OZONE_DB_Position_N3	720.6->746.7
TG 41:3_OZONE_DB_Position_N4	720.6->760.7
TG 41:3_OZONE_DB_Position_N5	720.6->774.7
TG 41:3_OZONE_DB_Position_N6	720.6->788.7
TG 41:3_OZONE_DB_Position_N7	720.6->802.7
TG 41:3_OZONE_DB_Position_N8	720.6->816.7
TG 41:3_OZONE_DB_Position_N9	720.6->830.8
TG 41:3_OZONE_DB_Position_N10	720.6->844.8
TG 41:3_OZONE_DB_Position_N11	720.6->858.8
TG 41:3_OZONE_DB_Position_N12	720.6->872.8
TG 41:3_OZONE_DB_Position_N13	720.6->886.8
TG 41:3_OZONE_DB_Position_N14	720.6->900.8
TG 41:3_OZONE_DB_Position_N15	720.6->914.9
TG 41:3_OZONE_DB_Position_N16	720.6->928.9
TG 41:3_OZONE_DB_Position_N17	720.6->942.9
TG 41:4	718.6->419.4
TG 41:4_OZONE_DB_Position_N1	718.6->716.6
TG 41:4_OZONE_DB_Position_N2	718.6->730.6
TG 41:4_OZONE_DB_Position_N3	718.6->744.6
TG 41:4_OZONE_DB_Position_N4	718.6->758.7
TG 41:4_OZONE_DB_Position_N5	718.6->772.7
TG 41:4_OZONE_DB_Position_N6	718.6->786.7
TG 41:4_OZONE_DB_Position_N7	718.6->800.7
TG 41:4_OZONE_DB_Position_N8	718.6->814.7
TG 41:4_OZONE_DB_Position_N9	718.6->828.7
TG 41:4_OZONE_DB_Position_N10	718.6->842.8
TG 41:4_OZONE_DB_Position_N11	718.6->856.8
TG 41:4_OZONE_DB_Position_N12	718.6->870.8
TG 41:4_OZONE_DB_Position_N13	718.6->884.8
TG 41:4_OZONE_DB_Position_N14	718.6->898.8
TG 41:4_OZONE_DB_Position_N15	718.6->912.8
TG 41:4_OZONE_DB_Position_N16	718.6->926.9
TG 41:4_OZONE_DB_Position_N17	718.6->940.9
TG 41:5	716.6->417.4
TG 41:5_OZONE_DB_Position_N1	716.6->714.6
TG 41:5_OZONE_DB_Position_N2	716.6->728.6
TG 41:5_OZONE_DB_Position_N3	716.6->742.6
TG 41:5_OZONE_DB_Position_N4	716.6->756.7
TG 41:5_OZONE_DB_Position_N5	716.6->770.7
TG 41:5_OZONE_DB_Position_N6	716.6->784.7
TG 41:5_OZONE_DB_Position_N7	716.6->798.7
TG 41:5_OZONE_DB_Position_N8	716.6->812.7
TG 41:5_OZONE_DB_Position_N9	716.6->826.7
TG 41:5_OZONE_DB_Position_N10	716.6->840.7
TG 41:5_OZONE_DB_Position_N11	716.6->854.8
TG 41:5_OZONE_DB_Position_N12	716.6->868.8
TG 41:5_OZONE_DB_Position_N13	716.6->882.8
TG 41:5_OZONE_DB_Position_N14	716.6->896.8
TG 41:5_OZONE_DB_Position_N15	716.6->910.8
TG 41:5_OZONE_DB_Position_N16	716.6->924.8
TG 41:5_OZONE_DB_Position_N17	716.6->938.9
TG 41:6	714.6->415.4
TG 41:6_OZONE_DB_Position_N1	714.6->712.6
TG 41:6_OZONE_DB_Position_N2	714.6->726.6
TG 41:6_OZONE_DB_Position_N3	714.6->740.6
TG 41:6_OZONE_DB_Position_N4	714.6->754.7
TG 41:6_OZONE_DB_Position_N5	714.6->768.7
TG 41:6_OZONE_DB_Position_N6	714.6->782.7
TG 41:6_OZONE_DB_Position_N7	714.6->796.7
TG 41:6_OZONE_DB_Position_N8	714.6->810.7
TG 41:6_OZONE_DB_Position_N9	714.6->824.7
TG 41:6_OZONE_DB_Position_N10	714.6->838.7
TG 41:6_OZONE_DB_Position_N11	714.6->852.8
TG 41:6_OZONE_DB_Position_N12	714.6->866.8
TG 41:6_OZONE_DB_Position_N13	714.6->880.8
TG 41:6_OZONE_DB_Position_N14	714.6->894.8
TG 41:6_OZONE_DB_Position_N15	714.6->908.8
TG 41:6_OZONE_DB_Position_N16	714.6->922.8
TG 41:6_OZONE_DB_Position_N17	714.6->936.9
TG 41:7	712.6->413.4
TG 41:7_OZONE_DB_Position_N1	712.6->710.6
TG 41:7_OZONE_DB_Position_N2	712.6->724.6
TG 41:7_OZONE_DB_Position_N3	712.6->738.6
TG 41:7_OZONE_DB_Position_N4	712.6->752.7
TG 41:7_OZONE_DB_Position_N5	712.6->766.7
TG 41:7_OZONE_DB_Position_N6	712.6->780.7
TG 41:7_OZONE_DB_Position_N7	712.6->794.7
TG 41:7_OZONE_DB_Position_N8	712.6->808.7
TG 41:7_OZONE_DB_Position_N9	712.6->822.7
TG 41:7_OZONE_DB_Position_N10	712.6->836.7
TG 41:7_OZONE_DB_Position_N11	712.6->850.8
TG 41:7_OZONE_DB_Position_N12	712.6->864.8
TG 41:7_OZONE_DB_Position_N13	712.6->878.8
TG 41:7_OZONE_DB_Position_N14	712.6->892.8
TG 41:7_OZONE_DB_Position_N15	712.6->906.8
TG 41:7_OZONE_DB_Position_N16	712.6->920.8
TG 41:7_OZONE_DB_Position_N17	712.6->934.9
TG 41:8	710.6->411.4
TG 41:8_OZONE_DB_Position_N1	710.6->708.6
TG 41:8_OZONE_DB_Position_N2	710.6->722.6
TG 41:8_OZONE_DB_Position_N3	710.6->736.6
TG 41:8_OZONE_DB_Position_N4	710.6->750.7
TG 41:8_OZONE_DB_Position_N5	710.6->764.7
TG 41:8_OZONE_DB_Position_N6	710.6->778.7
TG 41:8_OZONE_DB_Position_N7	710.6->792.7
TG 41:8_OZONE_DB_Position_N8	710.6->806.7
TG 41:8_OZONE_DB_Position_N9	710.6->820.7
TG 41:8_OZONE_DB_Position_N10	710.6->834.7
TG 41:8_OZONE_DB_Position_N11	710.6->848.8
TG 41:8_OZONE_DB_Position_N12	710.6->862.8
TG 41:8_OZONE_DB_Position_N13	710.6->876.8
TG 41:8_OZONE_DB_Position_N14	710.6->890.8
TG 41:8_OZONE_DB_Position_N15	710.6->904.8
TG 41:8_OZONE_DB_Position_N16	710.6->918.8
TG 41:8_OZONE_DB_Position_N17	710.6->932.9
TG 41:9	708.6->409.4
TG 41:9_OZONE_DB_Position_N1	708.6->706.6
TG 41:9_OZONE_DB_Position_N2	708.6->720.6
TG 41:9_OZONE_DB_Position_N3	708.6->734.6
TG 41:9_OZONE_DB_Position_N4	708.6->748.7
TG 41:9_OZONE_DB_Position_N5	708.6->762.7
TG 41:9_OZONE_DB_Position_N6	708.6->776.7
TG 41:9_OZONE_DB_Position_N7	708.6->790.7
TG 41:9_OZONE_DB_Position_N8	708.6->804.7
TG 41:9_OZONE_DB_Position_N9	708.6->818.7
TG 41:9_OZONE_DB_Position_N10	708.6->832.7
TG 41:9_OZONE_DB_Position_N11	708.6->846.8
TG 41:9_OZONE_DB_Position_N12	708.6->860.8
TG 41:9_OZONE_DB_Position_N13	708.6->874.8
TG 41:9_OZONE_DB_Position_N14	708.6->888.8
TG 41:9_OZONE_DB_Position_N15	708.6->902.8
TG 41:9_OZONE_DB_Position_N16	708.6->916.8
TG 41:9_OZONE_DB_Position_N17	708.6->930.9
TG 41:10	706.6->407.4
TG 41:10_OZONE_DB_Position_N1	706.6->704.6
TG 41:10_OZONE_DB_Position_N2	706.6->718.6
TG 41:10_OZONE_DB_Position_N3	706.6->732.6
TG 41:10_OZONE_DB_Position_N4	706.6->746.7
TG 41:10_OZONE_DB_Position_N5	706.6->760.7
TG 41:10_OZONE_DB_Position_N6	706.6->774.7
TG 41:10_OZONE_DB_Position_N7	706.6->788.7
TG 41:10_OZONE_DB_Position_N8	706.6->802.7
TG 41:10_OZONE_DB_Position_N9	706.6->816.7
TG 41:10_OZONE_DB_Position_N10	706.6->830.7
TG 41:10_OZONE_DB_Position_N11	706.6->844.8
TG 41:10_OZONE_DB_Position_N12	706.6->858.8
TG 41:10_OZONE_DB_Position_N13	706.6->872.8
TG 41:10_OZONE_DB_Position_N14	706.6->886.8
TG 41:10_OZONE_DB_Position_N15	706.6->900.8
TG 41:10_OZONE_DB_Position_N16	706.6->914.8
TG 41:10_OZONE_DB_Position_N17	706.6->928.9
TG 42:1	738.7->439.5
TG 42:1_OZONE_DB_Position_N1	738.7->736.7
TG 42:1_OZONE_DB_Position_N2	738.7->750.7
TG 42:1_OZONE_DB_Position_N3	738.7->764.7
TG 42:1_OZONE_DB_Position_N4	738.7->778.7
TG 42:1_OZONE_DB_Position_N5	738.7->792.7
TG 42:1_OZONE_DB_Position_N6	738.7->806.8
TG 42:1_OZONE_DB_Position_N7	738.7->820.8
TG 42:1_OZONE_DB_Position_N8	738.7->834.8
TG 42:1_OZONE_DB_Position_N9	738.7->848.8
TG 42:1_OZONE_DB_Position_N10	738.7->862.8
TG 42:1_OZONE_DB_Position_N11	738.7->876.8
TG 42:1_OZONE_DB_Position_N12	738.7->890.9
TG 42:1_OZONE_DB_Position_N13	738.7->904.9
TG 42:1_OZONE_DB_Position_N14	738.7->918.9
TG 42:1_OZONE_DB_Position_N15	738.7->932.9
TG 42:1_OZONE_DB_Position_N16	738.7->946.9
TG 42:1_OZONE_DB_Position_N17	738.7->960.9
TG 42:2	736.6->437.4
TG 42:2_OZONE_DB_Position_N1	736.6->734.7
TG 42:2_OZONE_DB_Position_N2	736.6->748.7
TG 42:2_OZONE_DB_Position_N3	736.6->762.7
TG 42:2_OZONE_DB_Position_N4	736.6->776.7
TG 42:2_OZONE_DB_Position_N5	736.6->790.7
TG 42:2_OZONE_DB_Position_N6	736.6->804.7
TG 42:2_OZONE_DB_Position_N7	736.6->818.8
TG 42:2_OZONE_DB_Position_N8	736.6->832.8
TG 42:2_OZONE_DB_Position_N9	736.6->846.8
TG 42:2_OZONE_DB_Position_N10	736.6->860.8
TG 42:2_OZONE_DB_Position_N11	736.6->874.8
TG 42:2_OZONE_DB_Position_N12	736.6->888.8
TG 42:2_OZONE_DB_Position_N13	736.6->902.9
TG 42:2_OZONE_DB_Position_N14	736.6->916.9
TG 42:2_OZONE_DB_Position_N15	736.6->930.9
TG 42:2_OZONE_DB_Position_N16	736.6->944.9
TG 42:2_OZONE_DB_Position_N17	736.6->958.9
TG 42:3	734.6->435.4
TG 42:3_OZONE_DB_Position_N1	734.6->732.6
TG 42:3_OZONE_DB_Position_N2	734.6->746.7
TG 42:3_OZONE_DB_Position_N3	734.6->760.7
TG 42:3_OZONE_DB_Position_N4	734.6->774.7
TG 42:3_OZONE_DB_Position_N5	734.6->788.7
TG 42:3_OZONE_DB_Position_N6	734.6->802.7
TG 42:3_OZONE_DB_Position_N7	734.6->816.7
TG 42:3_OZONE_DB_Position_N8	734.6->830.8
TG 42:3_OZONE_DB_Position_N9	734.6->844.8
TG 42:3_OZONE_DB_Position_N10	734.6->858.8
TG 42:3_OZONE_DB_Position_N11	734.6->872.8
TG 42:3_OZONE_DB_Position_N12	734.6->886.8
TG 42:3_OZONE_DB_Position_N13	734.6->900.8
TG 42:3_OZONE_DB_Position_N14	734.6->914.9
TG 42:3_OZONE_DB_Position_N15	734.6->928.9
TG 42:3_OZONE_DB_Position_N16	734.6->942.9
TG 42:3_OZONE_DB_Position_N17	734.6->956.9
TG 42:4	732.6->433.4
TG 42:4_OZONE_DB_Position_N1	732.6->730.6
TG 42:4_OZONE_DB_Position_N2	732.6->744.6
TG 42:4_OZONE_DB_Position_N3	732.6->758.7
TG 42:4_OZONE_DB_Position_N4	732.6->772.7
TG 42:4_OZONE_DB_Position_N5	732.6->786.7
TG 42:4_OZONE_DB_Position_N6	732.6->800.7
TG 42:4_OZONE_DB_Position_N7	732.6->814.7
TG 42:4_OZONE_DB_Position_N8	732.6->828.7
TG 42:4_OZONE_DB_Position_N9	732.6->842.8
TG 42:4_OZONE_DB_Position_N10	732.6->856.8
TG 42:4_OZONE_DB_Position_N11	732.6->870.8
TG 42:4_OZONE_DB_Position_N12	732.6->884.8
TG 42:4_OZONE_DB_Position_N13	732.6->898.8
TG 42:4_OZONE_DB_Position_N14	732.6->912.8
TG 42:4_OZONE_DB_Position_N15	732.6->926.9
TG 42:4_OZONE_DB_Position_N16	732.6->940.9
TG 42:4_OZONE_DB_Position_N17	732.6->954.9
TG 42:5	730.6->431.4
TG 42:5_OZONE_DB_Position_N1	730.6->728.6
TG 42:5_OZONE_DB_Position_N2	730.6->742.6
TG 42:5_OZONE_DB_Position_N3	730.6->756.6
TG 42:5_OZONE_DB_Position_N4	730.6->770.7
TG 42:5_OZONE_DB_Position_N5	730.6->784.7
TG 42:5_OZONE_DB_Position_N6	730.6->798.7
TG 42:5_OZONE_DB_Position_N7	730.6->812.7
TG 42:5_OZONE_DB_Position_N8	730.6->826.7
TG 42:5_OZONE_DB_Position_N9	730.6->840.7
TG 42:5_OZONE_DB_Position_N10	730.6->854.8
TG 42:5_OZONE_DB_Position_N11	730.6->868.8
TG 42:5_OZONE_DB_Position_N12	730.6->882.8
TG 42:5_OZONE_DB_Position_N13	730.6->896.8
TG 42:5_OZONE_DB_Position_N14	730.6->910.8
TG 42:5_OZONE_DB_Position_N15	730.6->924.8
TG 42:5_OZONE_DB_Position_N16	730.6->938.9
TG 42:5_OZONE_DB_Position_N17	730.6->952.9
TG 42:6	728.6->429.4
TG 42:6_OZONE_DB_Position_N1	728.6->726.6
TG 42:6_OZONE_DB_Position_N2	728.6->740.6
TG 42:6_OZONE_DB_Position_N3	728.6->754.6
TG 42:6_OZONE_DB_Position_N4	728.6->768.7
TG 42:6_OZONE_DB_Position_N5	728.6->782.7
TG 42:6_OZONE_DB_Position_N6	728.6->796.7
TG 42:6_OZONE_DB_Position_N7	728.6->810.7
TG 42:6_OZONE_DB_Position_N8	728.6->824.7
TG 42:6_OZONE_DB_Position_N9	728.6->838.7
TG 42:6_OZONE_DB_Position_N10	728.6->852.8
TG 42:6_OZONE_DB_Position_N11	728.6->866.8
TG 42:6_OZONE_DB_Position_N12	728.6->880.8
TG 42:6_OZONE_DB_Position_N13	728.6->894.8
TG 42:6_OZONE_DB_Position_N14	728.6->908.8
TG 42:6_OZONE_DB_Position_N15	728.6->922.8
TG 42:6_OZONE_DB_Position_N16	728.6->936.9
TG 42:6_OZONE_DB_Position_N17	728.6->950.9
TG 42:7	726.6->427.4
TG 42:7_OZONE_DB_Position_N1	726.6->724.6
TG 42:7_OZONE_DB_Position_N2	726.6->738.6
TG 42:7_OZONE_DB_Position_N3	726.6->752.6
TG 42:7_OZONE_DB_Position_N4	726.6->766.7
TG 42:7_OZONE_DB_Position_N5	726.6->780.7
TG 42:7_OZONE_DB_Position_N6	726.6->794.7
TG 42:7_OZONE_DB_Position_N7	726.6->808.7
TG 42:7_OZONE_DB_Position_N8	726.6->822.7
TG 42:7_OZONE_DB_Position_N9	726.6->836.7
TG 42:7_OZONE_DB_Position_N10	726.6->850.8
TG 42:7_OZONE_DB_Position_N11	726.6->864.8
TG 42:7_OZONE_DB_Position_N12	726.6->878.8
TG 42:7_OZONE_DB_Position_N13	726.6->892.8
TG 42:7_OZONE_DB_Position_N14	726.6->906.8
TG 42:7_OZONE_DB_Position_N15	726.6->920.8
TG 42:7_OZONE_DB_Position_N16	726.6->934.9
TG 42:7_OZONE_DB_Position_N17	726.6->948.9
TG 42:8	724.6->425.4
TG 42:8_OZONE_DB_Position_N1	724.6->722.6
TG 42:8_OZONE_DB_Position_N2	724.6->736.6
TG 42:8_OZONE_DB_Position_N3	724.6->750.6
TG 42:8_OZONE_DB_Position_N4	724.6->764.7
TG 42:8_OZONE_DB_Position_N5	724.6->778.7
TG 42:8_OZONE_DB_Position_N6	724.6->792.7
TG 42:8_OZONE_DB_Position_N7	724.6->806.7
TG 42:8_OZONE_DB_Position_N8	724.6->820.7
TG 42:8_OZONE_DB_Position_N9	724.6->834.7
