Lipid Name	Transition
3-hydroxyisovalerylcarnitine, hydroxyisovaleroyl carnitine, O-succinylcarnitine, Methylmalonylcarnitine	262.2 -> 60.1
Fumarycarnitine, Hexanoylcarnitine	260.1 -> 144.1
Fumarycarnitine, Hexanoylcarnitine	260.1 -> 85.1
Fumarycarnitine, Hexanoylcarnitine	260.1 -> 60.1
2-Hexenoylcarnitine	258.2 -> 144.1
2-Hexenoylcarnitine	258.2 -> 85.1
2-Hexenoylcarnitine	258.2 -> 60.1
O-malonylcarnitine, Hydroxybutyrylcarnitine	248.1 -> 144.1
O-malonylcarnitine, Hydroxybutyrylcarnitine	248.1 -> 85.1
O-malonylcarnitine, Hydroxybutyrylcarnitine	248.1 -> 60.1
Valerylcarnitine, Isovalerylcarnitine	246.2 -> 144.1
Valerylcarnitine, Isovalerylcarnitine	246.2 -> 85.1
Valerylcarnitine, Isovalerylcarnitine	246.2 -> 60.1
2-ethylacryloylcarnitine, Tiglylcarnitine	244.1 -> 144.1
2-ethylacryloylcarnitine, Tiglylcarnitine	244.1 -> 85.1
2-ethylacryloylcarnitine, Tiglylcarnitine	244.1 -> 60.1
Hydroxypropionylcarnitine	234.1 -> 144.1
Hydroxypropionylcarnitine	234.1 -> 85.1
Hydroxypropionylcarnitine	234.1 -> 60.1
Butyrylcarnitine, Isobutyryl-L-carnitine	232.1 -> 144.1
Butyrylcarnitine, Isobutyryl-L-carnitine	232.1 -> 85.1
Butyrylcarnitine, Isobutyryl-L-carnitine	232.1 -> 60.1
Butenylcarnitine	230.1 -> 144.1
Butenylcarnitine	230.1 -> 85.1
Butenylcarnitine	230.1 -> 60.1
Propionylcarnitine	218.1 -> 144.1
Propionylcarnitine	218.1 -> 85.1
Propionylcarnitine	218.1 -> 60.1
Propenoylcarnitine	216.1 -> 144.1
Propenoylcarnitine	216.1 -> 85.1
Propenoylcarnitine	216.1 -> 60.1
Acetyl-carnitine	204.1 -> 144.1
Acetyl-carnitine	204.1 -> 85.1
Acetyl-carnitine	204.1 -> 60.1
1-O-carboceroyl-Cer(d18:1/18:0)	973 -> 264.3
1-O-cerotoyl-Cer(d18:1/18:0)	944.9 -> 264.3
1-O-cerotoyl-Cer(d18:1/16:0)	916.9 -> 264.3
1-O-carboceroyl-Cer(d18:1/16:0)	902.9 -> 264.3
1-O-lignoceroyl-Cer(d18:1/16:0)	888.9 -> 264.3
1-O-tricosanoyl-Cer(d18:1/16:0)	874.9 -> 264.3
1-O-behenoyl-Cer(d18:1/16:0)	860.8 -> 264.3
1-O-eicosanoyl-Cer(d18:1/16:0)	832.8 -> 264.3
1-O-stearoyl-Cer(d18:1/16:0)	804.8 -> 264.3
1-O-palmitoyl-Cer(d18:1/16:0)	776.7 -> 264.3
CerP(d18:1/26:0)	758.6 -> 264.3
CerP(d18:1/26:1(17Z))	756.6 -> 264.3
1-O-myristoyl-Cer(d18:1/16:0)	748.7 -> 264.3
Cer(t20:0/26:0(2OH))	740.7 -> 310.4
CerP(d18:1/24:0)	730.6 -> 264.3
CerP(d18:1/24:1(15Z))	728.6 -> 264.3
Cer(d20:0/26:0(2OH))	724.7 -> 292.4
Cer(t18:0/26:0(2OH))	712.7 -> 282.4
Cer(d20:0/26:0)	708.7 -> 292.4
CerP(d18:1/22:0)	702.6 -> 264.3
Cer(d18:0/h26:0)	696.7 -> 266.4
Cer(t18:0/24:0(2OH))	684.7 -> 282.4
Cer(d18:0/26:0)	680.7 -> 266.4
Cer(d18:1/26:0)	678.7 -> 264.3
Cer(d18:1/26:1(17Z))	676.7 -> 264.3
CerP(d18:1/20:0)	674.5 -> 264.3
Cer(d18:0/h24:0)	668.7 -> 266.4
Cer(t18:0/22:0(2OH))	656.6 -> 282.4
Cer(d18:0/24:0)	652.7 -> 266.4
Cer(d18:1/24:0)	650.6 -> 264.3
Cer(d18:1/24:1(15Z))	648.6 -> 264.3
CerP(d18:1/18:0)	646.5 -> 264.3
Cer(d18:0/22:0(2OH))	640.6 -> 266.4
Cer(d14:1(4E)/26:0(2OH))	638.6 -> 208.3
Cer(d16:2(4E,6E)/24:0(2OH))	636.6 -> 234.3
Cer(t18:0/20:0(2OH))	628.6 -> 282.4
Cer(d18:0/22:0)	624.6 -> 266.4
Cer(d18:1/22:0)	622.6 -> 264.3
Cer(d18:2/22:0)	620.6 -> 262.4
CerP(d18:0/16:0)	620.5 -> 266.4
CerP(d18:1/16:0)	618.5 -> 264.3
Cer(d18:0/20:0(2OH))	612.6 -> 266.4
Cer(d14:1(4E)/24:0(2OH))	610.6 -> 208.3
Cer(d14:2(4E,6E)/24:0(2OH))	608.6 -> 206.3
Cer(d16:2(4E,6E)/22:1(13Z)(2OH))	606.5 -> 234.3
Cer(t18:0/18:0(2OH))	600.6 -> 282.4
Cer(d18:0/20:0)	596.6 -> 266.4
Cer(d18:1/20:0)	594.6 -> 264.3
Cer(d18:2/20:0)	592.6 -> 262.4
Cer(d18:2/20:1)	590.6 -> 262.4
CerP(d18:1/14:0)	590.5 -> 264.3
Cer(d18:0/18:0(2OH))	584.6 -> 266.4
Cer(d14:1(4E)/22:0(2OH))	582.5 -> 208.3
Cer(d14:1(4E)/22:1(13Z)(2OH))	580.5 -> 208.3
Cer(d14:2(4E,6E)/22:1(13Z)(2OH))	578.5 -> 206.3
Cer(t18:0/16:0(2OH))	572.5 -> 282.4
Cer(d18:0/18:0)	568.6 -> 266.4
Cer(d18:1/18:0)	566.6 -> 264.3
Cer(d18:1/18:1(9Z))	564.5 -> 264.3
Cer(d18:2/18:1)	562.5 -> 262.4
CerP(d18:1/12:0)	562.4 -> 264.3
Cer(d18:0/16:0(2OH))	556.5 -> 266.4
Cer(d14:1(4E)/20:0(2OH))	554.5 -> 208.3
Cer(d14:1(4E)/20:1(11Z)(2OH))	552.5 -> 208.3
Cer(d14:2(4E,6E)/20:1(11Z)(2OH))	550.5 -> 206.3
Cer(d18:0/16:0)	540.5 -> 266.4
Cer(d18:1/16:0)	538.5 -> 264.3
Cer(d18:2/16:0)	536.5 -> 262.4
Cer(d14:2(4E,6E)/20:1(11Z))	534.5 -> 206.3
Cer(d14:2(4E,6E)/18:0(2OH))	524.5 -> 206.3
Cer(d14:2(4E,6E)/18:1(9Z)(2OH))	522.5 -> 206.3
Cer(d18:0/14:0)	512.5 -> 266.4
Cer(d18:2/14:0)	508.5 -> 262.4
Cer(d14:2(4E,6E)/18:1(9Z))	506.5 -> 206.3
CerP(d18:1/8:0)	506.4 -> 264.3
Cer(d18:1/12:0)	482.5 -> 264.3
Cer(d14:2(4E,6E)/16:0)	480.4 -> 206.3
CerP(d18:1/2:0)	422.3 -> 264.3
Cer(d18:1/2:0)	342.3 -> 264.3
1-O-tricosanoyl-Cer(d18:1/18:0)	1001 -> 264.3
24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester	752.6941 -> 369.1
22:1 Stigmasteryl ester, 22:2 Sitosteryl ester	750.6784 -> 369.1
22:2 Stigmasteryl ester, 22:3 Sitosteryl ester	748.6628 -> 369.1
22:3 Stigmasteryl ester	746.6471 -> 369.1
22:0 Campesteryl ester	740.6941 -> 369.1
22:1 Campesteryl ester	738.6784 -> 369.1
22:2 Campesteryl ester	736.6628 -> 369.1
22:3 Campesteryl ester	734.6471 -> 369.1
22:0 Cholesteryl ester, 20:0 Sitosteryl ester	726.6784 -> 369.1
22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester	724.6628 -> 369.1
Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester	722.5744 -> 369.1
ecdysone palmitate, 22:3 Cholesteryl ester, 20:2 Stigmasteryl ester, 20:3 Sitosteryl ester	720.5435 -> 369.1
22:4 Cholesteryl ester, 20:3 Stigmasteryl ester	718.6158 -> 369.1
22:5 Cholesteryl ester	716.6002 -> 369.1
22:6 Cholesteryl ester	714.5845 -> 369.1
20:0 Campesteryl ester	712.6628 -> 369.1
Cholesteryl nitrolinoleate	711.5696 -> 369.1
20:1 Campesteryl ester	710.6471 -> 369.1
lanosteryl oleate, 20:2 Campesteryl ester	708.6315 -> 369.1
20:3 Campesteryl ester	706.6158 -> 369.1
20:0 Cholesteryl ester, 18:0 Sitosteryl ester	698.6471 -> 369.1
19:0 Campesteryl ester_simulated	698.6315 -> 369.1
20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester	696.6315 -> 369.1
20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester	694.6158 -> 369.1
20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester	692.6002 -> 369.1
20:4 Cholesteryl ester, 18:3 Stigmasteryl ester	690.5845 -> 369.1
20:5 Cholesteryl ester	688.5689 -> 369.1
19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated	684.6471 -> 369.1
18:0 Campesteryl ester	684.6315 -> 369.1
18:1 Campesteryl ester	682.6158 -> 369.1
lanosteryl palmitoleate, 18:2 Campesteryl ester	680.6002 -> 369.1
18:3 Campesteryl ester	678.5845 -> 369.1
18:0 Cholesteryl ester, 16:0 Sitosteryl ester	670.6158 -> 369.1
17:0 Campesteryl ester_simulated	670.6002 -> 369.1
18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester	668.6002 -> 369.1
17:1 Campesteryl ester_simulated	668.5845 -> 369.1
18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester	666.5845 -> 369.1
18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester	664.5689 -> 369.1
16:3 Stigmasteryl ester	662.5532 -> 369.1
16:0 Campesteryl ester	656.6002 -> 369.1
17:0 Cholesteryl ester	656.5845 -> 369.1
17:1 Cholesteryl ester	654.5845 -> 369.1
16:1 Campesteryl ester	654.5845 -> 369.1
16:2 Campesteryl ester	652.5689 -> 369.1
16:3 Campesteryl ester	650.5532 -> 369.1
15:0 Campesteryl ester_simulated	642.6002 -> 369.1
16:0 Cholesteryl ester	642.5845 -> 369.1
15:1 Campesteryl ester_simulated	640.6002 -> 369.1
16:1 Cholesteryl ester	640.5689 -> 369.1
16:2 Cholesteryl ester, zymosteryl palmitoleate	638.5532 -> 369.1
16:3 Cholesteryl ester	636.5376 -> 369.1
15:0 Cholesteryl ester	628.5689 -> 369.1
15:1 Cholesteryl ester	626.5532 -> 369.1
14:0 Cholesteryl ester	614.5532 -> 369.1
14:1 Cholesteryl ester	612.5376 -> 369.1
12:0 Cholesteryl ester	586.5219 -> 369.1
22:0 Sitosteryl ester	754.7097 -> 369.1
PC (52:4)	1006.8 -> 184.1
PC (50:0)	986.9 -> 184.1
PC (48:0)	958.8 -> 184.1
PC (48:2)	954.8 -> 184.1
PC (46:0)	930.8 -> 184.1
PC (46:1)	928.8 -> 184.1
PC (46:2)	926.8 -> 184.1
PC (44:0)	902.8 -> 184.1
PC (44:1)	900.7 -> 184.1
PC (44:2)	898.7 -> 184.1
PC (44:3)	896.7 -> 184.1
PC (44:4)	894.7 -> 184.1
PC (44:5)	892.7 -> 184.1
PC (44:6)	890.7 -> 184.1
PC (44:7)	888.6 -> 184.1
PC (44:8)	886.6 -> 184.1
PCo(44:3)	882.7 -> 184.1
PC (44:10)	882.6 -> 184.1
PCo(44:4)	880.7 -> 184.1
PCo(44:5)	878.7 -> 184.1
PC (44:12)	878.6 -> 184.1
PC (42:0)	874.7 -> 184.1
PC (42:1)	872.7 -> 184.1
PC (42:2)	870.7 -> 184.1
PC (42:3)	868.7 -> 184.1
PC (42:4)	866.7 -> 184.1
PC (42:5)	864.6 -> 184.1
PC (42:6)	862.6 -> 184.1
PCo(42:0)	860.7 -> 184.1
PC (42:7)	860.6 -> 184.1
PCo(42:1)	858.7 -> 184.1
PC (42:8)	858.6 -> 184.1
PCo(42:2)	856.7 -> 184.1
PC (42:9)	856.6 -> 184.1
PCo(42:3)	854.7 -> 184.1
PC (42:10)	854.6 -> 184.1
PCo(42:4)	852.7 -> 184.1
PC (42:11)	852.6 -> 184.1
PCp(42:4)	850.7 -> 184.1
PCo(42:6)	848.6 -> 184.1
PC (40:0)	846.7 -> 184.1
PCp(42:6)	846.6 -> 184.1
SM (d18:0/26:0)	845.7 -> 184.1
PC (40:1)	844.7 -> 184.1
SM (d18:1/26:0)	843.7 -> 184.1
PC (40:2)	842.7 -> 184.1
SM (d18:1/26:1)17Z))	841.7 -> 184.1
PC (40:3)	840.6 -> 184.1
PC (40:4)	838.6 -> 184.1
PC (40:5)	836.6 -> 184.1
PC (40:6)	834.6 -> 184.1
PCo(40:0)	832.7 -> 184.1
PC (40:7)	832.6 -> 184.1
PCo(40:1)	830.7 -> 184.1
PC (40:8)	830.6 -> 184.1
PCo(40:2)	828.7 -> 184.1
PC (40:9)	828.6 -> 184.1
PCo(40:3)	826.6 -> 184.1
PC (40:10)	826.5 -> 184.1
PCo(40:4)	824.6 -> 184.1
PCo(40:5)	822.6 -> 184.1
PCo(40:6)	820.6 -> 184.1
PC (38:0)	818.7 -> 184.1
PCp(40:6)	818.6 -> 184.1
SM (d18:0/24:0)	817.7 -> 184.1
PC (38:1)	816.6 -> 184.1
SM (d18:1/24:0)	815.7 -> 184.1
PC (38:2)	814.6 -> 184.1
SM (d18:1/24:1)15Z))	813.7 -> 184.1
PC (38:3)	812.6 -> 184.1
SM (d18:2/24:1)	811.7 -> 184.1
PC (38:4)	810.6 -> 184.1
PC (38:5)	808.6 -> 184.1
PC (38:6)	806.6 -> 184.1
PCo(38:0)	804.7 -> 184.1
PC (38:7)	804.6 -> 184.1
PCo(38:1)	802.7 -> 184.1
PC (38:8)	802.5 -> 184.1
PCo(38:2)	800.6 -> 184.1
PC (38:9)	800.5 -> 184.1
PCo(38:3)	798.6 -> 184.1
PCo(38:4)	796.6 -> 184.1
PCo(38:5)	794.6 -> 184.1
PCo(38:6)	792.6 -> 184.1
PC (36:0)	790.6 -> 184.1
PCp(38:6)	790.6 -> 184.1
SM (d18:0/22:0)	789.7 -> 184.1
PC (36:1)	788.6 -> 184.1
SM (d16:1/24:0)	787.7 -> 184.1
PC (36:2)	786.6 -> 184.1
SM (d16:1/24:1)	785.6 -> 184.1
PC (36:3)	784.6 -> 184.1
SM (d18:2/22:1)	783.6 -> 184.1
PC (36:4)	782.6 -> 184.1
PC (36:5)	780.6 -> 184.1
PC (36:6)	778.5 -> 184.1
PCo(36:0)	776.6 -> 184.1
PC (36:7)	776.5 -> 184.1
PCo(36:1)	774.6 -> 184.1
PC (36:8)	774.5 -> 184.1
PCo(36:2)	772.6 -> 184.1
PCo(36:3)	770.6 -> 184.1
PCo(36:4)	768.6 -> 184.1
PCo(36:5)	766.6 -> 184.1
PCp(36:5)	764.6 -> 184.1
PC (34:0)	762.6 -> 184.1
SM (d18:0/20:0)	761.6 -> 184.1
PC (34:1)	760.6 -> 184.1
SM (d18:1/20:0)	759.6 -> 184.1
PC (34:2)	758.6 -> 184.1
SM (d16:1/22:1)	757.6 -> 184.1
PC (34:3)	756.6 -> 184.1
SM (d18:2/20:1)	755.6 -> 184.1
PC (34:4)	754.5 -> 184.1
PC (34:5)	752.5 -> 184.1
PC (34:6)	750.5 -> 184.1
PCo(34:0)	748.6 -> 184.1
PCo(34:1)	746.6 -> 184.1
PCo(34:2)	744.6 -> 184.1
PCo(34:3)	742.6 -> 184.1
PCo(34:4)	740.6 -> 184.1
PCp(32:4)	738.5 -> 184.1
PC (32:0)	734.6 -> 184.1
SM (d18:0/18:0)	733.6 -> 184.1
PC (32:1)	732.6 -> 184.1
SM (d18:1/18:0)	731.6 -> 184.1
PC (32:2)	730.5 -> 184.1
SM (d18:1/18:1)9Z))	729.6 -> 184.1
PC (32:3)	728.5 -> 184.1
SM (d18:2/18:1)	727.6 -> 184.1
PC (32:4)	726.5 -> 184.1
PC (32:5)	724.5 -> 184.1
PCo(32:0)	720.6 -> 184.1
PCo(32:1)	718.6 -> 184.1
PCo(32:2)	716.6 -> 184.1
PCo(32:3)	714.5 -> 184.1
PC (30:0)	706.5 -> 184.1
SM (d18:0/16:0)	705.6 -> 184.1
PC (30:1)	704.5 -> 184.1
SM (d18:1/16:0)	703.6 -> 184.1
PC (30:2)	702.5 -> 184.1
SM (d16:1/18:1)	701.6 -> 184.1
SM (d18:0/14:0)	677.6 -> 184.1
SM (d18:1/14:0)	675.5 -> 184.1
SM (d18:2/14:0)	673.5 -> 184.1
