lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,DOD94_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_diencephalon,FAD184_F4_Female_WT_diencephalon,FAD185_M4_Male_WT_diencephalon,FAD189_M3_Male_WT_diencephalon,Blank_Blank_Blank_Blank_Blank
DG(44:11)|DG(43:4)_C18:0,-0.26791302681743634,4.558993594019068,0.6003559590423042,0.43844224380571445,0.8502041449154037,DAG,42140.84262847901,53139.60384750366,52314.26424026489,48096.52377319336,40892.7830619812,76609.10414123535,43353.42289733887,47899.96324920654,63928.36429595947,47828.34349441528,52185.58378982544,143184.08981323242
DG(44:11)|DG(43:4)_C18:1,-0.29202307612181927,3.8969625365122726,0.7134125299518388,0.3983132571316576,0.8502041449154037,DAG,36729.96237564087,38730.10266494751,40216.702922821045,36680.20259094238,40041.682762146,39250.90259170532,39804.18294906616,39135.742710113525,37657.30269241333,39826.44260025024,37695.66283798218,52952.24349975586
DG(44:11)|DG(43:4)_C18:2,-0.272691967227365,4.176021540747402,0.6219907944742431,0.4303084550108463,0.8502041449154037,DAG,47702.38349914551,48102.42345428467,48252.303424835205,51343.72360229492,50461.00361633301,47322.6032409668,50174.84380340576,48026.763286590576,46205.18336105347,48538.84343719482,50661.0438079834,53803.38380432129
DG(44:12)|DG(43:5)_C16:1,-0.27302888785914825,5.356739434482086,0.6235798092384357,0.4297201089534517,0.8502041449154037,DAG,70946.16482925415,65000.00487518311,185679.07313156128,62818.52429199219,140966.96953582764,209675.19631958008,64519.90459442139,60105.12443161011,60998.50413513184,179603.83251953125,234228.71719360352,109881.40813446043
DG(44:12)|DG(43:5)_C18:0,-0.27438512547242244,5.907144635024726,0.6297967558082291,0.427429874991799,0.8502041449154037,DAG,76034.24520492554,116515.66771697998,117156.9282875061,100475.56759262084,94610.00539779665,192625.8541870117,85465.68587493896,92660.3260345459,171702.81590270996,103448.42609405518,106506.86800765993,471152.6524047852
DG(44:12)|DG(43:5)_C18:2,-0.30425712356100515,4.159184100866006,0.7745484310048596,0.3788136263791049,0.8502041449154037,DAG,45349.70318222046,44637.42317199707,47607.823139190674,46019.10325241089,47808.70350646973,46828.46323394776,47666.68326568604,48638.34345245361,46466.783100128174,46251.78331756592,45840.50309371948,62018.98402404785
DG(44:3)_C18:2,-0.2938835720999566,4.286702628518426,0.7225733061750361,0.39530111316490535,0.8502041449154037,DAG,54444.523792266846,48898.42336654663,52886.38344573975,45674.163162231445,51260.763259887695,50707.86349105835,51397.28350067139,49627.583557128906,52207.36354446411,51703.363708496094,53217.66395187378,66056.10470581055
DG(44:4)_C18:0,-0.2893107424502573,3.739643174711911,0.700191505600742,0.40271935307489337,0.8502041449154037,DAG,29747.4221572876,33841.082416534424,32737.882316589355,30758.722034454346,27487.06186294556,54921.16353607178,30087.16231918335,32255.88260269165,31287.2223739624,40973.14287185669,40798.84311294556,48442.08360290527
DG(44:4)_C18:2,-0.3261619350902684,3.880045791508743,0.8902318961595483,0.34541447399092806,0.8502041449154037,DAG,37411.12289047241,36925.08269119263,42287.78275680542,39700.522663116455,38028.78259277344,40335.52305603027,42092.08285140991,42911.4231338501,40220.08295440674,37456.00275039673,36884.582443237305,44858.66313171387
DG(44:5)_C18:0,-0.3002480941376953,4.0777032192095435,0.7542449764843582,0.38513556514366803,0.8502041449154037,DAG,40412.462772369385,43323.94309234619,39479.5426902771,48261.663188934326,40522.14300537109,68563.3850364685,40666.86281585693,45098.30333328247,39870.52271652222,57099.78420639038,53257.46390914917,45168.22329711914
