lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_cerebellum,FAD185_M1_Male_5xFAD_cortex,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_cerebellum,FAD185_M3_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_cerebellum,FAD189_M1_Male_5xFAD_cortex,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_cerebellum,FAD189_M2_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_hippocampus,DOD93_F4_Female_5xFAD_cerebellum,DOD93_F4_Female_5xFAD_cortex,DOD93_F4_Female_5xFAD_diencephalon,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cortex,DOD94_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_hippocampus,Blank_Blank_Blank_Blank_Blank
[TG(53:7)|TG(52:0)]_FA18:2,-3.83587023460237,7.29065829386197,282.7580114008431,1.881862964755456e-63,5.520701624787143e-61,TAG,109509.1489868164,145479.53149414062,145006.17120361328,164086.3114013672,189764.99356079104,202866.09313964844,134619.36779785156,127228.1098022461,185764.63415527344,173959.39385986328,117874.2080078125,100502.58728027344,128746.18951416016,143284.52905273438,95468.10729980467,114746.76818847656,1777721.736694336,1645898.0764770508,704190.7496948242,620764.9202270508,1244096.1319580078,1710605.4948730469,1345801.8821411133,1829313.0742797847,32808.362396240234
PE(44:1),-3.594738856233736,6.953868770643222,251.38304037607395,1.2969632409272866e-56,3.4877503153936285e-54,PE,121363.66858673096,131854.8496170044,178593.91080474854,161322.22917175293,167350.01146697998,119501.5877418518,122981.56964492798,137036.60969161987,152411.47048568726,114454.84790802002,97484.12687683104,91430.88668823242,99610.30679321288,155954.69045639038,92591.4865951538,118894.1287498474,1277480.9319763184,1188196.8325042725,590735.1370697021,468652.19704437256,1035142.7374687196,1365882.322013855,981986.9116897584,1451388.5310287476,64799.24423217773
FA(30:1),-3.4161732299968874,6.846644617517919,228.9124863719626,1.0292326727877194e-51,2.5548721808353618e-49,FA,116861.18516540527,129965.14849853516,232970.9758605957,130488.96948242188,226113.1979370117,102073.8048248291,91610.24841308594,98799.78436279295,168734.55430603027,202487.91818237305,76421.46682739258,72029.76539611816,100551.66612243652,200417.0348815918,84402.92451477051,135318.57009887695,37934.342781066895,2237094.442993164,188318.89324569705,913941.9959106444,553913.3770446777,873246.7853240967,588636.6999969482,2409260.2674980164,25251.52146911621
[TG(56:8)|TG(55:1)]_FA20:4,4.471780980707069,12.975685878263665,228.31943714559884,1.3862802718126242e-51,3.1953760265280985e-49,TAG,20222408.516357426,23156964.665527344,6815579.649902344,2185421.9296875,103236529.31640624,185407383.097168,61964373.32421875,14032691.2734375,178622499.8671875,172729180.92285156,49350677.8203125,7531237.7724609375,95527650.3486328,20609630.095947266,19740478.2578125,5284178.545410156,1405251.0480957031,2711665.527709961,523222.7221679688,657204.9846191406,7506100.766357422,1094421.1394042969,828797.181640625,550675.57861328125,159430.49194335938
PG(16:0)|LPG(17:0)|LPG(O-18:0),-3.3313910470493537,5.15736397460611,218.48017176280518,1.9404479435835927e-49,4.174550342629502e-47,PG,4172.8003005981445,18692.180980682373,2115.7601585388184,2188.340156555176,2144.260154724121,4005.600296020508,2063.680145263672,57335.52450942993,2183.820152282715,4044.0602111816406,3967.66032409668,8105.900585174561,8641.86054611206,161909.91320037842,147172.33005523682,244495.80291748047,409721.1645507813,295395.1813964844,286805.0002441406,285056.7413330078,286522.9609375,294067.0400390625,228809.17553710935,218789.83569335935,39920.40306472778
LPE(20:1),4.337984266047488,3.3265390452443153,218.0566251003305,2.4004440141440742e-49,4.84139552102683e-47,PE,139514.009349823,132247.60803985596,150227.73001861572,86616.38613510132,129494.72986602785,37634.5627822876,110983.9871673584,171943.6100578308,60100.4641456604,30525.00203704834,72857.06577301025,7805.120422363281,3254.260234832764,4573.460258483887,9977.500694274902,3642.240261077881,2451.980178833008,2401.66015625,2831.940193176269,2481.9801902771,2051.14013671875,2268.1601524353027,2187.400154113769,2274.4601516723637,2031.0601501464844
[TG(56:9)|TG(55:2)]_FA20:4,4.294527726218691,9.764299819397397,214.94296184164708,1.1468583716226024e-48,2.1770070383683163e-46,TAG,1798040.7994384766,1967763.5524902344,710774.0825805664,260268.75659179688,8524947.020996094,19739522.83642578,4966659.476318359,1159066.430419922,23256633.8046875,24614767.76434326,4864657.1708984375,812095.219543457,8137997.686645508,1730545.5935058594,1651173.499267578,525815.5386352539,193544.15423583984,290704.1846923828,93511.70654296876,113209.62756347656,747425.8942871094,167696.5101928711,119901.66845703124,97221.06677246094,48443.04309082031
[TG(55:11)|TG(54:4)]_FA18:0,4.284516830700049,12.554511879163371,214.19300838988966,1.6715222662862485e-48,2.9966679740587355e-46,TAG,16195335.83203125,18868293.612304688,5812282.8251953125,1804296.5463867188,74419427.0546875,141659586.3149414,47097884.64453125,11190681.73828125,127448386.703125,131427532.48510742,36150200.33129883,6614976.351074219,68216161.984375,16839148.314697266,11861102.490234377,4375815.155029297,1052410.3129882812,2469243.2166748047,477475.259765625,656290.630859375,5860387.198974609,981054.93505859375,773485.95751953125,613605.1435546875,142586.51037597656
[TG(52:5)]_FA18:0,-3.2839822568357047,6.734829019534144,212.73482719323192,3.4771382183700985e-48,5.9056447529896354e-46,TAG,95637.46746826172,112788.58709716795,112303.24731445312,128432.0085144043,171496.9309387207,196109.6951904297,104985.80673217772,104457.52661132812,243353.57489013672,221577.05377197263,104271.56704711914,81759.24615478516,160978.3299560547,127342.189453125,88370.465576171875,104581.62664794922,1159708.3243408203,1031266.0767822266,476952.8981323242,374212.4312133789,778246.2439880371,1091218.444152832,858284.9007568359,1208726.7245483398,26629.72183227539
[TG(54:5)]_FA18:0,4.181815243776547,9.342283387199984,206.50374747411843,7.955708689099255e-47,1.2836535969861647e-44,TAG,1378400.185180664,1492318.643798828,539686.3529052734,198989.31134033203,6415723.7333984375,15085160.431762695,3904012.3850097656,905537.53564453125,16791606.653320312,18684640.31890869,3457017.958129883,633252.1180419922,5833877.726257324,1312877.5151367188,989692.5030517578,406648.6701660156,149058.6099243164,224485.0567626953,84385.10552978516,97698.78680419922,587541.5015869141,132557.0889892578,102937.7667236328,83960.24548339844,45290.223083496094
[TG(54:6)]_FA18:2,4.158618077274914,12.973093264838502,204.7758699473016,1.895352357990821e-46,2.9125247901125614e-44,TAG,19947621.5234375,22957334.862060547,7462910.816894531,2840946.0229492188,98667240.56640624,183587641.1982422,62955374.38867188,13930617.974853516,170265552.9609375,177265778.33764648,50233617.5546875,8475582.861816406,95366234.828125,21784481.135742188,18335232.76660156,5694756.622314453,1369992.2009277344,3539799.3696289062,672163.7639160156,878286.73291015625,9439876.154052734,1385713.4318847656,869891.51708984375,745682.69384765625,172625.4111328125
DG(37:5)_C18:1,-3.213499878629982,2.3630437057045874,204.16567472568613,2.5753366324527446e-46,3.777550596784094e-44,DAG,2886.6801986694336,2891.3601989746094,2884.100215911865,6905.040473937988,2890.080207824707,2894.860202789306,2889.0202026367188,2896.9002227783203,2896.280204772949,2894.880207061768,10883.44066619873,2890.8602142333984,12381.320919036863,12526.460834503174,2903.9202041625977,6792.460395812988,31989.222316741943,32376.762588500977,32281.802185058597,31190.82218551636,32695.822227478027,31443.982135772705,31457.50230407715,29332.20210647583,56453.1436920166
[TG(54:7)|TG(53:0)]_FA18:3,4.134076623254169,12.96588568881465,202.94824665357947,4.7476796472437114e-46,6.661200965937156e-44,TAG,21535187.272460938,25890571.84765625,8145893.904785156,2286638.6440429688,99077098.9375,183182782.95263672,60382074.528808594,16535804.180664062,163598905.00585938,172857275.6508789,50936133.54296875,9379285.220703123,95189316.3828125,21853852.785888672,17367123.23046875,6008349.302978516,1476369.5625,3651136.2509765625,699827.73193359375,965683.175048828,9237365.208740234,1333831.4477539062,940882.544921875,772356.70849609375,209595.373046875
[TG(54:5)]_FA18:1,4.089838373010745,12.801341293672373,199.66076955436245,2.4766228763163767e-45,3.3300258424470618e-43,TAG,18013159.384765625,22469760.424560547,6368749.029785156,2156090.469238281,86011672.41625977,169298048.9790039,55766738.40234375,13578867.603515623,151141726.3984375,148964901.45141602,46938048.02734375,7951458.077148437,82949393.39697266,19485955.134033203,14474098.505859377,4968334.395263672,1358934.28515625,3272203.842773437,625359.5280761719,765499.017578125,8625663.147216797,1290010.365600586,917541.071044922,686729.68701171875,124003.70825195312
LPE(20:5),-3.156787192279497,4.829613807001809,197.54837966394507,7.158902650665952e-45,9.240711541479612e-43,PE,50171.66368103027,94073.26599502563,93954.16564559937,94027.6256904602,33157.38229370117,8567.000534057617,71474.52534103394,14060.420886993408,2973.84020614624,5621.900367736816,6834.5004959106445,17792.021297454834,8261.480670928955,7445.420555114746,5978.800304412842,7087.12052154541,407600.2022628784,436926.2530479431,177517.19206619263,240803.7984657288,97837.92741012572,91652.06686019896,54129.843116760254,110713.1079788208,176354.4186477661
[TG(54:7)|TG(53:0)]_FA18:2,4.029657184380997,9.713117633086856,195.2017908940616,2.3279346872985067e-44,2.7320621256168483e-42,TAG,1684303.7884521484,1838487.0573730469,707229.6955566406,339304.82403564453,8192199.799804687,18663446.154296875,4896680.862548828,1103201.6076660156,22063582.537597656,24075347.283569336,4814550.408203125,803915.0362548828,7739142.238037109,1697941.3365478516,1443515.5284423828,516570.4508666992,188388.934173584,331872.8641357422,101778.96716308594,126787.34924316406,961160.4509277344,180958.1929931641,125172.08911132812,103820.86724853516,46564.96325683594
[TG(54:8)|TG(53:1)]_FA18:3,4.029789085525076,9.783964171964845,195.21159843206988,2.31648936596977e-44,2.7320621256168483e-42,TAG,1860259.9578857424,2071131.880126953,822328.67578125,288536.95935058594,8719676.911621094,20293383.642822266,4723627.466064453,1327383.1115722656,22574725.44897461,25407102.694213867,4909179.104492188,917316.3161621094,8137389.653808594,1693614.2082519531,1403886.3381347656,555687.78515625,218432.59399414065,355736.54333496094,118931.7484741211,153090.31201171875,934922.619140625,178792.8939819336,139588.3709716797,114887.16809082033,50717.52389526367
LPC(24:1),-3.1363572394569705,8.975571138514653,195.16569057851484,2.3705528204918424e-44,2.7320621256168483e-42,PC,660636.18701171875,864104.75439453125,659611.7663574219,947463.6771240234,906258.7806396484,719430.9533691406,511728.5339355469,703872.4908447266,628152.1983642578,650588.9255371094,757552.439453125,598382.2253417969,511041.0988769531,795828.7060546875,368480.0861816406,706272.10205078125,4682817.646484375,3992355.751464844,2971980.822265625,2989996.987548828,4176971.107421875,4869692.069824219,4178668.505859375,4548652.8330078125,98224.22705078124
LPC(24:0),-3.13103111871417,8.983042751597191,194.54185925707952,3.2434046349134123e-44,3.6091264678846834e-42,PC,678821.7663574219,874238.49658203125,666926.3883056641,962746.7464599608,908258.9899902344,714250.7322998047,511769.99645996094,714065.1926269531,619003.6652832031,646901.8220214844,763118.4753417969,600970.9619140625,516704.6123046875,801756.3564453125,378214.8869628906,718077.5908203125,4603236.837402344,4080159.490722656,2993010.6650390625,3035732.380126953,4234620.5537109375,4785997.157958984,4196932.302246094,4636961.5380859375,98562.5264892578
[TG(54:7)|TG(53:0)]_FA20:4,4.019671784573023,11.379978291993078,194.46597614741552,3.3694794224636245e-44,3.624436698763372e-42,TAG,4762360.293579102,6310383.049072266,1894797.4822998047,521969.0993652344,26635264.362304688,65467723.62414551,14320514.748046877,3339410.2775878906,67039213.611328125,64068630.50793457,12703928.581054688,2030912.6160888672,34461879.73828125,6682291.739868164,6549974.25,1661824.3194580078,394442.72790527344,1098421.5411987305,202905.09368896484,186752.63305664065,4253075.397155762,511084.0421142578,208297.994140625,135273.58953857422,66943.44445800781
[TG(54:6)]_FA18:1,3.9941099945809846,9.629223372538119,192.5770549334411,8.706327948106018e-44,9.063006544689715e-42,TAG,1586140.4252929688,1846305.706298828,642182.598815918,243329.8748779297,7187735.903808594,18784181.24426269,4209532.209472656,1125836.612915039,21241842.610839844,22194126.955078125,4606366.096191406,783034.0325927734,7171421.008422852,1558195.5480957031,1215909.2255859375,466373.7537841797,195345.35510253903,320911.78436279297,110073.66821289062,117212.04907226562,884862.6461791992,183396.5927734375,133241.3302001953,94106.60681152344,43440.762939453125
[TG(52:6)]_FA18:1,-3.1006615135640168,6.717900462860369,190.9955622971229,1.9276323767914543e-43,1.9438967749706323e-41,TAG,102243.20776367188,121069.18780517578,112425.6277770996,131967.18701171875,178240.21319580078,245038.7148132324,120684.38989257812,112161.5473022461,285289.8380432129,242291.735534668,116571.5085144043,87690.1060180664,182451.2543334961,139051.8494873047,99112.92694091795,96259.62655639648,1086562.7791748047,986546.4791259766,451528.7547607422,369897.2868652344,800036.1994934082,1085275.2827148438,824743.8241271973,1148746.1612854004,25199.92176818848
[TG(53:10)|TG(52:3)]_FA18:0,3.9458610055336854,10.857218441658219,189.02538920847505,5.188840619770518e-43,5.074057175757412e-41,TAG,3551577.3356933594,4418807.720214844,1339491.1066894531,330622.6237792969,19702937.071289062,47912478.7388916,10409286.658691406,2440891.6110839844,45816967.455078125,46450229.65490723,8424964.297485352,1430675.9760742188,19092313.255249023,4850849.13293457,4385832.16796875,1249673.1489257812,308901.162109375,789720.48974609375,161297.11071777344,155239.09216308594,3000465.778869629,383038.8825683594,171764.7322998047,120412.0078125,57188.86389160156
PC(22:0),-3.0810523666427834,8.614984564514907,188.72325607695166,6.039785047294663e-43,5.732466572829375e-41,PC,531887.6955566406,672325.24755859375,588671.8991699219,742475.70751953125,695501.8420410156,564488.13671875,426230.734375,560010.240234375,516390.697265625,548612.9410400391,569792.064453125,475063.4091796875,411023.3898925781,624878.14599609375,304280.3046875,587647.1022949219,3507112.3403320312,3280426.8627929688,2258244.2055664062,2324176.128173828,3187713.759765625,3756876.123046875,3222707.2924804688,3519406.118652344,98047.44714355467
[TG(56:7)|TG(55:0)]_FA20:4,3.9275129577095536,13.6853070878911,187.67832993511502,1.0212156739913658e-42,9.415608514200393e-41,TAG,39856301.85595703,47997009.96533203,13150092.05859375,3586565.5634765625,169578093.3515625,286226400.5241699,108169870.19921876,29263070.02148437,250459332.96875,242104683.90039065,88294050.359375,13358120.358398438,168431383.3515625,44754154.28271485,42866012.47265625,11096170.08642578,2199758.2119140625,5679437.810791016,1035321.1730957032,963366.02392578125,22698395.29736328,2229948.0498046875,1253931.955078125,722483.412109375,337624.623046875
[TG(55:10)|TG(54:3)]_FA18:0,3.888545849524687,13.272246518110281,184.82175533742787,4.2925013721957196e-42,3.847750535576552e-40,TAG,31139025.77734375,35589769.16113281,9829859.0166015625,2457804.06640625,126587766.2578125,220154030.33203125,81162737.4140625,22310158.150390625,187090159.2265625,189409416.84033203,62159403.82617188,10321547.45703125,125386622.53198242,33513905.580566406,25384622.48046875,8655235.494628906,1714355.0283203125,4341483.104980469,862139.87353515625,759769.71240234375,17280196.5234375,1724045.8046875,1030448.0170898438,591430.8232421875,228309.53759765625
FA(15:2),-2.994128664736501,9.763968052332228,178.76049593679818,9.037730778360526e-41,7.882366816694436e-39,FA,451993.92709350586,614367.0704345703,587836.8856201172,1107670.302307129,3325155.243408203,540575.9846801758,592226.7893066406,283705.3001098633,1195947.9002075195,5888600.057434082,2119848.898620605,619800.9603881836,823992.3572387695,668153.7669067383,1013213.6042785645,1360440.8477172852,4263832.926635742,2058713.6491699216,6723685.113952637,10787620.960205078,3391709.281677246,11833325.024902344,1575355.2182617188,13507930.600952148,63076.88415527344
PI(35:5)|PI(O-36:5)|PI(P-36:4),-2.9337262586745454,5.909598383457176,171.95145614786088,2.773083077404435e-39,2.354931339680029e-37,PI,82408.72607421875,98120.70639038086,99700.68795776369,109441.62689208984,112311.36953735352,111296.08819580078,71653.2045288086,90236.58599853516,93909.50631713869,88087.32638549805,72486.544921875,74545.58480834961,74308.6450805664,120402.6078491211,79399.58547973633,80061.4253540039,569032.0840454102,520114.29901123047,272147.4791870117,246323.53637695312,486685.0155944824,564647.5192260742,432545.0132751465,639757.0421447754,43434.64291381836
[TG(52:4)]_FA18:1,3.6745046291259458,11.202013176773528,169.28065221031056,1.0623830306985174e-38,8.790538564266962e-37,TAG,4370847.51171875,5626821.361938477,1636097.7728271484,480507.1959228516,22616293.71105957,61478889.60229492,12514096.646972656,3048758.300048828,57888485.68457031,54357812.58581543,11595023.20703125,1759397.2177734375,29412112.637695312,5759141.515991211,5273957.392089844,1406246.5223388672,448125.67150878906,1152722.2529296875,227543.95556640625,198174.2164306641,4802955.998413086,562129.90576171875,242541.337890625,151453.4718017578,58547.94396972656
[TG(58:7)|TG(57:0)]_FA20:4,3.6494926238172054,9.501723355248467,167.48100596699805,2.626415543682732e-38,2.118860739866044e-36,TAG,1642628.0184936523,1778683.4533081057,1004728.8587646484,571284.4348144531,7917442.884033203,16304391.749145508,4355432.104003906,1107321.9151611328,16998902.05126953,17543202.650390625,3790415.492675781,1010390.6930541992,7668639.425720215,1577170.6771240234,1616543.579711914,755392.5531616211,209015.3346557617,343217.86700439453,175251.79272460938,153569.63049316406,814380.4487915039,188327.313659668,205692.61584472656,210022.51385498047,40370.902770996094
[TG(52:6)]_FA18:3,3.630666895965847,11.412830852003827,166.13161395810346,5.177455472670007e-38,4.075036295196613e-36,TAG,5342328.532958984,6537739.233154297,2202447.7857666016,580164.64306640625,28429216.953125,67544753.99487305,14099722.978027344,3525627.8376464844,65961746.04943848,63891511.45605469,12418957.298828123,2354001.740722656,35146975.6262207,6476403.616088867,6348699.351074219,1782272.3612060547,536849.8562011719,1397859.8371582031,271885.41760253906,252342.53857421875,5667911.230834961,683973.2333984375,274250.82067871094,187759.0321044922,91084.34631347656
[TG(52:5)]_FA18:2,3.6055573628194137,11.365903135744306,164.33294412154947,1.2794655755671615e-37,9.83056050560769e-36,TAG,4918369.996582031,5772919.682006836,1948333.160888672,609678.9426269531,26489000.033203125,64636999.1986084,14852258.51171875,3055530.0986328125,65031234.45703125,62752440.40319824,12101982.08984375,1987049.8947753904,34114671.8815918,6413930.635253906,5784666.233520508,1656412.9576416016,480111.8804321289,1371012.5302734375,249099.4356689453,251062.75854492188,5728090.840209961,677359.5220336914,232261.39916992188,167788.4913330078,78901.92565917969
[TG(54:5)]_FA18:2,3.599762863498412,13.644464050901492,163.91814091050207,1.5763196660162298e-37,1.1829729214498544e-35,TAG,39231081.12207031,42765267.07421875,12913048.1796875,4755642.620117188,163252022.4375,274704184.6894531,102515363.57421876,27353301.087890625,239662218.78125,243105685.3540039,84915727.296875,12950687.678710938,165186075.64648438,41728698.564941406,37632486.71777344,11115862.021972656,2416215.9375,6629955.024169922,1309100.5444335938,1214926.552734375,28288723.522460938,2713335.9252929688,1219591.30859375,827975.3154296875,356736.9655761719
[TG(54:6)]_FA18:3,3.586440221284566,13.676864736248671,162.9659484870636,2.544838929925831e-37,1.8664080061069676e-35,TAG,43359993.361328125,50308571.39892578,15093711.045898438,3944343.1083984375,161693851.3125,284220192.3408203,99262982.341796875,31725840.283203125,240757937.5131836,242319491.0283203,84445126.546875,15340567.908203123,172107117.546875,43906126.97167969,36463069.52734375,12159912.82421875,2679919.280273437,7021183.376464844,1441539.787109375,1600397.7924804688,28111464.74267578,2677371.928955078,1440793.6787109375,919343.84228515625,382035.806640625
[TG(55:11)|TG(54:4)]_FA18:1,3.5470544634103853,13.481088858448791,160.15784262805437,1.0451093349058361e-36,7.494595163869184e-35,TAG,35341614.1171875,43000087.58300781,11130760.516601562,3594417.0185546875,138411815.33251953,254875581.7978516,92651830.921875,26733390.142578125,212280666.8671875,206700345.9321289,78415865.953125,12685264.34375,146544629.85742188,38424882.85107422,29900195.0546875,9711582.512207031,2372790.91015625,6076627.572753906,1250513.1635742188,994956.2744140624,25921226.533691406,2426610.169921875,1410286.208984375,737518.08984375,263154.5986328125
[TG(52:7)|TG(51:0)]_FA18:2,-2.823631128203048,6.553748132715722,159.8155882527917,1.2414814155659463e-36,8.709262017459367e-35,TAG,103231.98809814452,116841.22833251952,119245.9077758789,126505.8480834961,177558.99172973633,248778.0178527832,127277.9086303711,110327.00775146484,290025.6623535156,273637.92028808594,124679.2495727539,86249.22595214844,197324.45251464844,149924.77075195312,99181.94775390624,113300.70819091795,929675.43017578125,880930.999206543,388147.2259521485,349148.40173339844,705874.9311828613,881160.3641357422,724892.9063110352,933448.6290283204,31425.24237060547
LPE(20:0),3.512883348803023,2.3960084202565453,157.5759541039613,3.830872825917073e-36,2.6302609806881696e-34,PE,54358.74401855469,71327.20523071289,89018.14569473267,62723.90397262573,57580.28396606445,28689.922233581543,62791.22442626953,54680.84397888184,31308.202213287357,20198.2014503479,34505.16239929199,4801.900329589844,2990.2601928710938,3630.240203857422,8640.460594177246,2571.800178527832,2266.2401542663574,2069.4001502990723,2368.540168762207,2217.220146179199,1963.4401321411133,2071.8001403808594,2087.16015625,2188.8401527404785,2168.840148925781
