lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,DOD94_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_diencephalon,FAD184_F4_Female_WT_diencephalon,Blank_Blank_Blank_Blank_Blank
[TG(52:6)]_FA20:4,-0.7950693369750587,7.434327150818072,4.563072967925109,0.03266840728196157,0.24240138013273269,TAG,226965.11669921875,318363.32080078125,830453.8978271484,259449.4782714844,381318.6610107422,111193.94787597656
[TG(55:8)|TG(54:1)]_FA22:5,0.7663461697895051,5.5518759851554975,4.554585192891011,0.03283071554503386,0.24240138013273269,TAG,158318.61193847656,114731.92813110352,66086.34487915039,101310.92706298828,82716.00588989258,36948.78251647949
[TG(60:12)|TG(59:5)]_FA22:5,-0.7943506925800258,8.166093040538588,4.555134887399618,0.03282017850433659,0.24240138013273269,TAG,571319.98046875,376165.5272216797,334870.8043823242,472550.6196899414,1829143.987548828,42750.20278930664
PE(37:4)|PE(O-38:4)|PE(P-38:3),-0.794915274752206,6.792609938373283,4.561264118914551,0.03270292677676163,0.24240138013273269,PE,140448.6688232422,206802.33618164065,386202.7053222656,304650.96423339844,234154.47680664065,77729.96551513672
FA(10:3),-0.7938306225279611,5.53737616095328,4.5487292112120485,0.03294318781086109,0.2426713627449837,FA,50945.40362548828,72103.9658203125,106273.32733154295,97396.04675292967,126218.62768554688,85541.526611328125
[TG(59:11)|TG(58:4)]_FA22:5,0.7651048346913364,5.92142326186805,4.539873338153484,0.03311404213273153,0.2433691786168798,TAG,189972.53326416016,158465.33032226562,80891.12594604492,103851.60772705078,136329.42922973633,54561.42428588867
FA(27:1),-0.792418837246427,5.677005478436745,4.53320323000662,0.0332433378675355,0.24375906229933714,FA,72772.08541870117,89822.12619018555,176387.7120666504,89483.52666473389,174251.89459991455,29089.88214111328
FA(6:1),-0.786246208413627,10.172562908543206,4.465355521722813,0.03458889094388927,0.2530450442737162,FA,1527553.55859375,1514875.70703125,2960585.681640625,2188140.51171875,3053706.53125,2124189.83203125
[TG(48:2)]_FA14:0,-0.7853707509790938,5.684161032457985,4.45518685938714,0.03479540918834551,0.2531866508075568,TAG,75472.82550048828,81607.985595703125,223688.4736328125,74482.68518066406,126056.82800292967,44309.38317871094
[TG(53:10)|TG(52:3)]_FA16:0,-0.7852888821595156,9.264188065842657,4.454784958274104,0.03480359794961275,0.2531866508075568,TAG,899843.3544921875,1172492.346923828,3404817.0947265625,1105026.6142578125,1032630.996826172,93157.28674316406
DG(40:3)_C16:0,0.7577742695654123,5.9398582020057455,4.452713674680126,0.03484583245396466,0.2531866508075568,DAG,170053.25256347656,142302.74961853027,119117.02834701538,103775.9268875122,63919.64477920532,105302.16809082033
PC(41:6)|PC(O-42:6),-0.7845972382933366,11.578229006967227,4.447196797351353,0.034958586021144634,0.2534299308607696,PC,3563384.279296875,5857358.591796875,11182674.803710938,7743526.428222656,5944978.173828125,2690963.1279296875
[TG(50:6)]_FA18:3,-0.7803705307877385,5.988226334356798,4.400354133540532,0.03593146856548176,0.25989345023494387,TAG,66789.74505615234,136828.32836914062,199099.65396118164,138761.12979125977,199425.83474731445,40467.72314453125
FA(6:2),-0.7797766540059812,5.0301262386292755,4.393386100220596,0.036078591576672335,0.2603685265702516,FA,53500.76425170898,42159.783111572266,74099.04577636719,64404.08441162109,120793.44873046876,36849.022521972656
PC(41:5)|PC(P-42:4),-0.7761891381709906,11.589804607930759,4.3550460287879105,0.03689946208193826,0.26569274836927165,PC,3620171.252929688,5898694.515625,11166377.006835938,7854321.940917969,5963084.291015625,2749338.249023437
PC(42:11)|PC(41:4)|PC(O-42:4),-0.7757954524596904,11.605479655380735,4.350753456426901,0.03699257679817496,0.26576464724441656,PC,3702551.634765625,5920908.6259765625,11269652.391601562,8026419.237792969,5958655.6416015625,2772023.44140625
[TG(59:12)|TG(58:5)]_FA22:6,0.7475094378320681,6.051870426703205,4.332239704530366,0.03739700672169194,0.26806778136602943,TAG,210669.35473632807,166279.45095825195,93983.646728515625,119572.32849121094,137781.66958618164,61942.564025878906
[TG(66:10)|TG(65:3)]_FA18:3,-0.7734633254570213,5.3945369850511895,4.324763147030353,0.037561641365810354,0.2686455647572611,TAG,58509.06289672852,77922.84498596191,200641.5555801392,92502.00769042967,67044.92570495605,21056.381454467773
[TG(50:5)]_FA18:2,-0.772366680893533,5.791558609734438,4.312995612780924,0.03782230369717223,0.2699060377675438,TAG,55070.80355834961,124699.60888671876,173391.97033691406,131963.2694091797,164240.27282714844,33025.062072753906
FA(7:1),-0.7709367990086676,3.9706085488992433,4.296170580507805,0.038198291852697054,0.27198204688880284,FA,17706.90121459961,28959.26203918457,51314.08378601074,34937.02249145508,36235.202545166016,18362.70156860352
[TG(66:12)|TG(65:5)]_FA16:1,0.7394398232166709,4.281811743433555,4.237744014075929,0.03953466734946156,0.28087184781384134,TAG,69181.42449951172,42784.70295715332,30976.442405700684,42448.223571777344,31378.66195678711,15096.84115600586
[TG(47:6)]_FA22:5,0.7337942015600832,5.838911052591474,4.173690596922824,0.041056275958866746,0.2897503625618035,TAG,192647.63467407227,137458.96997070312,66629.34436035156,135888.96994018555,106206.20782470705,44318.84298706055
DG(39:4)_C18:0,-0.7603145538050711,1.9745223599460138,4.17623139356283,0.04099476216003183,0.2897503625618035,DAG,8055.520545959473,2921.5402183532715,3751.4602546691895,10710.620765686035,15207.861167907717,5479.060409545898
PI(38:3),-0.7595402222908578,7.167394501118911,4.1750763714335335,0.04102271374341423,0.2897503625618035,PI,176993.25231933594,308895.11962890625,594269.563659668,382781.8062133789,281930.55938720703,41249.6227722168
PG(40:6),-0.7555326602151407,12.816814805537557,4.1324858249064,0.042067513241110174,0.29623312738288377,PG,10625229.03515625,11748519.384765623,23584230.2421875,19012674.25,15868471.65234375,6247493.1796875
PC(42:7)|PC(41:0)|PC(O-42:0),-0.7524302322637344,11.473526102690013,4.099523877725005,0.04289529158939332,0.30139834551931965,PC,3388005.701171875,5331666.924804688,9974018.732421877,7149332.26171875,5404127.073730469,2904499.6997070312
[TG(64:15)|TG(63:8)|TG(62:1)]_FA22:5,0.7262245716597565,5.124523476065842,4.087198230651211,0.04320921149450473,0.3029382656752887,TAG,113571.10870361328,80782.845947265625,48469.00311279297,70577.62461853027,64465.08451843262,35075.942794799805
[TG(54:9)|TG(53:2)]_FA22:6,0.7245774763706062,6.669841954278349,4.069035458931467,0.04367620735423783,0.305542308340259,TAG,366950.6284484863,252531.41479492188,142826.65087890625,234633.8154296875,207984.41470336917,34624.9024810791
[TG(66:10)|TG(65:3)]_FA20:4,-0.749230382361015,4.567556012476604,4.064622257026713,0.04379047818794291,0.3056728357354879,TAG,29308.422046661377,46082.18362426758,97413.88582611084,55934.064418792725,41270.48295211792,18276.66118621826
DG(42:11)|DG(41:4)_C16:1,-0.7461573826955028,9.619175361574037,4.033109503454398,0.04461563635511846,0.3107542253318382,DAG,229563.1145439148,239849.5186767578,106096.92826461792,193293.71423339844,954110.9485778807,5291526.647857666
[TG(64:7)|TG(63:0)]_FA16:0,-0.7458077881789249,4.423848523675827,4.0284547990135025,0.04473889984345065,0.310935353911982,TAG,29287.301696777344,39286.822982788086,94243.6252746582,47104.04359436035,36202.30276489258,15416.581130981443
[TG(62:9)|TG(61:2)]_FA22:6,0.7200756268248845,5.513835603473509,4.0180126621844465,0.04501672945984412,0.31218760104798626,TAG,138219.11026000977,122769.92916870116,70101.50494384766,87730.56549072266,88854.20527648926,38914.18293762207
[TG(50:3)]_FA18:1,-0.7434629297842338,7.2416407391530555,4.0048115192767,0.045370569698549655,0.3139604141261109,TAG,213935.1154785156,277430.4001464844,715634.5302734375,225045.89453125,341248.1447753906,90900.966064453125
[TG(47:6)]_FA16:1,-0.7431502372752706,5.117010447824413,4.000978144522378,0.04547386648187473,0.3139955748219298,TAG,47729.58349609375,61388.66439819336,160668.83059692383,60995.00469970703,61794.16412353516,29060.34210205078
[TG(55:10)|TG(54:3)]_FA16:0,-0.7416399331478901,7.302270140553599,3.9857285753200813,0.04588725164273375,0.316167119615991,TAG,199441.59338378903,343300.2626953125,603863.8193359375,440006.54998779297,345226.5195922852,34598.14236450195
[TG(50:5)]_FA18:3,-0.7393422904527256,8.449487186771712,3.961791459179949,0.04654414434963452,0.32000350427049795,TAG,493947.755859375,587349.5361328125,1449478.361328125,491283.63427734375,882495.6728515625,333991.703125
FA(8:0),-0.7354597466829731,3.0524977306088825,3.918252207059027,0.04776451409504226,0.32768916644173846,FA,10703.440780639648,13220.820976257324,20625.661514282227,18520.061279296875,22613.501403808597,12103.660873413086
[TG(52:5)]_FA14:0,0.709105635189552,4.863176449398974,3.895447393997074,0.048417141924903845,0.3314552521068899,TAG,105407.38681030272,55824.6842956543,49557.08322143555,51182.563903808594,55046.64373779297,27806.302032470703
DG(41:6)_C16:1,-0.7311747209574934,14.076424725373721,3.877059909864329,0.04895020692368943,0.3343884861859724,DAG,6602128.518482208,6862493.371921539,2245610.0173454285,5110932.324466705,28294832.62013626,109112254.70947266
FA(7:3),-0.7303243074397947,2.9703382583736837,3.864629070919747,0.04931409317123615,0.33615598266192315,FA,10922.26082611084,9647.940711975098,15084.201110839844,14038.700988769531,24534.201690673828,15835.661163330078
[TG(50:3)]_FA18:0,-0.7288423166135632,5.506045335217522,3.8525064017821933,0.049671710915211206,0.3378733187147452,TAG,46044.76306152344,104723.84729003906,127650.02850341795,118673.26751708984,134973.54766845703,27003.302276611328
PE(36:4)|PE(O-37:4),-0.7267066278725315,7.631133701869355,3.8309271604121022,0.05031509305125775,0.34152304136915296,PE,270937.361328125,388920.14709472656,721939.2474365234,542979.5572509766,413081.2314453125,98054.26770019533
[TG(38:0)]_FA14:0,0.7014448268210964,7.794272177016358,3.811858879787905,0.05089094208219736,0.34413030418672647,TAG,702686.72607421875,492458.8486328125,292201.81884765625,444991.7924804688,411230.6318359375,263183.95703125
[TG(66:16)|TG(65:9)|TG(64:2)]_FA22:5,0.7014077242974645,5.672595470686184,3.8110838949505705,0.050914492924717426,0.34413030418672647,TAG,149779.7307281494,114439.48795318604,63704.88507080078,104767.3867340088,84203.68618774414,74590.425537109375
[TG(66:17)|TG(65:10)|TG(64:3)]_FA22:6,0.6998542522119732,5.894729665522813,3.794177346300785,0.05143114056205431,0.346158645003974,TAG,162817.75332641602,145403.15142822266,76092.10534667969,120925.86782836914,96934.3871459961,88336.40637207031
FA(15:2),0.6998346680813021,10.403619798854798,3.7943533196812496,0.051425734525902864,0.346158645003974,FA,6723685.113952637,1575355.2182617188,323592.76641845703,5261539.4208984375,2408379.847290039,63076.88415527344
