,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Match_Group,Lipid,Correct_RT,Max_Intensity,Cage,Mouse,Genotype,Biology,Group_Sample
324009,870.8,599.5,12.8,151847.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,870.8 -> 599.5,598,[TG(52:5)]_FA16:1,12.8,151847.0,FAD131,M4,5xFAD,liver,71
150071,846.8,547.5,14.0,149467.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,846.8 -> 547.5,551,[TG(50:3)]_FA18:1,14.0,149467.0,FAD131,M1,5xFAD,liver,23
166499,932.9,633.6,18.47,140941.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,932.9 -> 633.6,696,"[TG(57:9),TG(56:2)]_FA18:1",18.47,140941.0,FAD131,M1,5xFAD,liver,41
241813,896.8,597.5,12.84,127344.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,896.8 -> 597.5,617,[TG(54:6)]_FA18:1,12.84,127344.0,FAD131,M2,5xFAD,liver,51
164156,924.8,625.5,14.43,114619.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,924.8 -> 625.5,676,[TG(56:6)]_FA18:1,14.43,114619.0,FAD131,M1,5xFAD,liver,35
248606,924.8,625.5,14.48,112681.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,924.8 -> 625.5,677,[TG(56:6)]_FA18:1,14.48,112681.0,FAD131,M2,5xFAD,liver,59
80874,928.8,629.5,16.25,103436.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,928.8 -> 629.5,685,"[TG(57:11),TG(56:4)]_FA18:1",16.25,103436.0,DOD73,M2,5xFAD,liver,16
326262,896.8,597.5,12.84,103346.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,896.8 -> 597.5,618,[TG(54:6)]_FA18:1,12.84,103346.0,FAD131,M4,5xFAD,liver,74
250358,930.6,631.5,17.28,101278.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,930.6 -> 631.5,692,"[TG(57:10),TG(56:3)]_FA18:1",17.28,101278.0,FAD131,M2,5xFAD,liver,62
247465,922.9,623.6,13.81,91793.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,922.9 -> 623.6,667,"[TG(56:7),TG(55:0)]_FA18:1",13.81,91793.0,FAD131,M2,5xFAD,liver,61
164731,926.8,627.5,14.97,90263.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,926.8 -> 627.5,681,"[TG(57:12),TG(56:5)]_FA18:1",14.97,90263.0,FAD131,M1,5xFAD,liver,40
165909,930.6,631.5,17.28,85734.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,930.6 -> 631.5,691,"[TG(57:10),TG(56:3)]_FA18:1",17.28,85734.0,FAD131,M1,5xFAD,liver,38
163015,922.9,623.6,13.77,85323.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,922.9 -> 623.6,666,"[TG(56:7),TG(55:0)]_FA18:1",13.77,85323.0,FAD131,M1,5xFAD,liver,37
250949,932.9,633.6,18.52,82271.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,932.9 -> 633.6,697,"[TG(57:9),TG(56:2)]_FA18:1",18.52,82271.0,FAD131,M2,5xFAD,liver,65
153394,868.8,571.5,11.55,81260.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,868.8 -> 571.5,581,[TG(52:6)]_FA18:2,11.55,81260.0,FAD131,M1,5xFAD,liver,25
160872,906.8,607.5,18.61,80709.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,906.8 -> 607.5,646,"[TG(55:8),TG(54:1)]_FA18:1",18.61,80709.0,FAD131,M1,5xFAD,liver,31
417503,924.8,625.5,14.43,80026.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,924.8 -> 625.5,679,[TG(56:6)]_FA18:1,14.43,80026.0,FAD173,M1,5xFAD,liver,104
68946,868.8,571.5,11.6,75911.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,868.8 -> 571.5,580,[TG(52:6)]_FA18:2,11.6,75911.0,DOD73,M2,5xFAD,liver,2
334220,928.8,629.5,16.21,73380.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,928.8 -> 629.5,688,"[TG(57:11),TG(56:4)]_FA18:1",16.21,73380.0,FAD131,M4,5xFAD,liver,86
416350,922.9,623.6,13.24,72585.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,922.9 -> 623.6,669,"[TG(56:7),TG(55:0)]_FA18:1",13.24,72585.0,FAD173,M1,5xFAD,liver,106
403418,846.8,547.5,14.0,72564.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,846.8 -> 547.5,554,[TG(50:3)]_FA18:1,14.0,72564.0,FAD173,M1,5xFAD,liver,92
406741,868.8,571.5,11.55,71736.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,868.8 -> 571.5,584,[TG(52:6)]_FA18:2,11.55,71736.0,FAD173,M1,5xFAD,liver,94
65624,846.8,547.5,14.09,68597.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,846.8 -> 547.5,550,[TG(50:3)]_FA18:1,14.09,68597.0,DOD73,M2,5xFAD,liver,0
79707,924.8,625.5,14.43,62629.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,924.8 -> 625.5,675,[TG(56:6)]_FA18:1,14.43,62629.0,DOD73,M2,5xFAD,liver,12
162520,916.8,617.5,16.79,56577.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,916.8 -> 617.5,661,"[TG(56:10),TG(55:3)]_FA18:1",16.79,56577.0,FAD131,M1,5xFAD,liver,33
78568,922.9,623.6,13.86,56314.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,922.9 -> 623.6,665,"[TG(56:7),TG(55:0)]_FA18:1",13.86,56314.0,DOD73,M2,5xFAD,liver,14
419846,932.9,633.6,18.47,55765.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,932.9 -> 633.6,699,"[TG(57:9),TG(56:2)]_FA18:1",18.47,55765.0,FAD173,M1,5xFAD,liver,110
418078,926.8,627.5,14.97,55618.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,926.8 -> 627.5,684,"[TG(57:12),TG(56:5)]_FA18:1",14.97,55618.0,FAD173,M1,5xFAD,liver,109
168723,956.9,657.6,17.23,50893.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,956.9 -> 657.6,716,"[TG(59:11),TG(58:4)]_FA18:1",17.23,50893.0,FAD131,M1,5xFAD,liver,43
249181,926.8,627.5,15.01,50098.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,926.8 -> 627.5,682,"[TG(57:12),TG(56:5)]_FA18:1",15.01,50098.0,FAD131,M2,5xFAD,liver,64
245322,906.8,607.5,18.66,49815.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,906.8 -> 607.5,647,"[TG(55:8),TG(54:1)]_FA18:1",18.66,49815.0,FAD131,M2,5xFAD,liver,55
318970,846.8,547.5,14.04,48443.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,846.8 -> 547.5,553,[TG(50:3)]_FA18:1,14.04,48443.0,FAD131,M4,5xFAD,liver,70
80284,926.8,627.5,15.06,44776.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,926.8 -> 627.5,680,"[TG(57:12),TG(56:5)]_FA18:1",15.06,44776.0,DOD73,M2,5xFAD,liver,17
82052,932.9,633.6,18.56,42741.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,932.9 -> 633.6,695,"[TG(57:9),TG(56:2)]_FA18:1",18.56,42741.0,DOD73,M2,5xFAD,liver,18
237843,868.8,571.5,11.55,41796.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,868.8 -> 571.5,582,[TG(52:6)]_FA18:2,11.55,41796.0,FAD131,M2,5xFAD,liver,48
333056,924.8,625.5,14.52,38390.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,924.8 -> 625.5,678,[TG(56:6)]_FA18:1,14.52,38390.0,FAD131,M4,5xFAD,liver,82
76425,906.8,607.5,18.7,37042.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,906.8 -> 607.5,645,"[TG(55:8),TG(54:1)]_FA18:1",18.7,37042.0,DOD73,M2,5xFAD,liver,8
331902,922.9,623.6,13.28,35297.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,922.9 -> 623.6,668,"[TG(56:7),TG(55:0)]_FA18:1",13.28,35297.0,FAD131,M4,5xFAD,liver,84
419256,930.6,631.5,17.28,34171.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,930.6 -> 631.5,694,"[TG(57:10),TG(56:3)]_FA18:1",17.28,34171.0,FAD173,M1,5xFAD,liver,107
159102,900.8,629.5,15.01,32995.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,900.8 -> 629.5,631,"[TG(55:11),TG(54:4)]_FA16:1",15.01,32995.0,FAD131,M1,5xFAD,liver,29
246970,916.8,617.5,16.83,32665.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,916.8 -> 617.5,662,"[TG(56:10),TG(55:3)]_FA18:1",16.83,32665.0,FAD131,M2,5xFAD,liver,57
166968,950.9,651.6,14.3,31100.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,950.9 -> 651.6,701,"[TG(58:7),TG(57:0)]_FA18:1",14.3,31100.0,FAD131,M1,5xFAD,liver,42
414219,906.8,607.5,18.61,30564.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,906.8 -> 607.5,649,"[TG(55:8),TG(54:1)]_FA18:1",18.61,30564.0,FAD173,M1,5xFAD,liver,100
422070,956.9,657.6,17.23,25820.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,956.9 -> 657.6,719,"[TG(59:11),TG(58:4)]_FA18:1",17.23,25820.0,FAD173,M1,5xFAD,liver,112
253172,956.9,657.6,17.23,25730.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,956.9 -> 657.6,717,"[TG(59:11),TG(58:4)]_FA18:1",17.23,25730.0,FAD131,M2,5xFAD,liver,67
333631,926.8,627.5,15.06,25046.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,926.8 -> 627.5,683,"[TG(57:12),TG(56:5)]_FA18:1",15.06,25046.0,FAD131,M4,5xFAD,liver,87
161932,914.8,615.5,15.68,24828.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,914.8 -> 615.5,656,"[TG(56:11),TG(55:4)]_FA18:1",15.68,24828.0,FAD131,M1,5xFAD,liver,34
243551,900.8,629.5,15.01,22234.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,900.8 -> 629.5,632,"[TG(55:11),TG(54:4)]_FA16:1",15.01,22234.0,FAD131,M2,5xFAD,liver,53
251417,950.9,651.6,14.3,21930.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,950.9 -> 651.6,702,"[TG(58:7),TG(57:0)]_FA18:1",14.3,21930.0,FAD131,M2,5xFAD,liver,66
246380,914.8,615.5,15.63,18784.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,914.8 -> 615.5,657,"[TG(56:11),TG(55:4)]_FA18:1",15.63,18784.0,FAD131,M2,5xFAD,liver,58
81462,930.6,631.5,17.36,17648.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,930.6 -> 631.5,690,"[TG(57:10),TG(56:3)]_FA18:1",17.36,17648.0,DOD73,M2,5xFAD,liver,15
412449,900.8,629.5,15.01,14917.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,900.8 -> 629.5,634,"[TG(55:11),TG(54:4)]_FA16:1",15.01,14917.0,FAD173,M1,5xFAD,liver,98
248013,922.9,651.6,13.15,14286.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,922.9 -> 651.6,672,"[TG(56:7),TG(55:0)]_FA16:1",13.15,14286.0,FAD131,M2,5xFAD,liver,60
163563,922.9,651.6,13.1,14199.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,922.9 -> 651.6,671,"[TG(56:7),TG(55:0)]_FA16:1",13.1,14199.0,FAD131,M1,5xFAD,liver,36
329745,906.8,607.5,17.5,13773.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,906.8 -> 607.5,648,"[TG(55:8),TG(54:1)]_FA18:1",17.5,13773.0,FAD131,M4,5xFAD,liver,78
415868,916.8,617.5,16.83,13731.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,916.8 -> 617.5,664,"[TG(56:10),TG(55:3)]_FA18:1",16.83,13731.0,FAD173,M1,5xFAD,liver,102
74655,900.8,629.5,15.1,13537.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,900.8 -> 629.5,630,"[TG(55:11),TG(54:4)]_FA16:1",15.1,13537.0,DOD73,M2,5xFAD,liver,6
84276,956.9,657.6,17.32,12601.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,956.9 -> 657.6,715,"[TG(59:11),TG(58:4)]_FA18:1",17.32,12601.0,DOD73,M2,5xFAD,liver,20
335863,950.9,651.6,14.17,12523.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,950.9 -> 651.6,703,"[TG(58:7),TG(57:0)]_FA18:1",14.17,12523.0,FAD131,M4,5xFAD,liver,89
420315,950.9,651.6,14.3,12475.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,950.9 -> 651.6,704,"[TG(58:7),TG(57:0)]_FA18:1",14.3,12475.0,FAD173,M1,5xFAD,liver,111
415279,914.8,615.5,15.68,12441.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,914.8 -> 615.5,659,"[TG(56:11),TG(55:4)]_FA18:1",15.68,12441.0,FAD173,M1,5xFAD,liver,103
322293,868.8,571.5,11.6,12367.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,868.8 -> 571.5,583,[TG(52:6)]_FA18:2,11.6,12367.0,FAD131,M4,5xFAD,liver,72
167560,952.8,653.5,15.59,12333.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,952.8 -> 653.5,706,"[TG(59:13),TG(58:6)]_FA18:1",15.59,12333.0,FAD131,M1,5xFAD,liver,45
82520,950.9,651.6,14.34,10581.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,950.9 -> 651.6,700,"[TG(58:7),TG(57:0)]_FA18:1",14.34,10581.0,DOD73,M2,5xFAD,liver,19
330830,914.8,615.5,15.68,9138.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,914.8 -> 615.5,658,"[TG(56:11),TG(55:4)]_FA18:1",15.68,9138.0,FAD131,M4,5xFAD,liver,81
168134,954.8,655.5,16.08,8853.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,954.8 -> 655.5,711,"[TG(59:12),TG(58:5)]_FA18:1",16.08,8853.0,FAD131,M1,5xFAD,liver,44
334808,930.6,631.5,17.32,8305.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,930.6 -> 631.5,693,"[TG(57:10),TG(56:3)]_FA18:1",17.32,8305.0,FAD131,M4,5xFAD,liver,85
77485,914.8,615.5,15.77,8223.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,914.8 -> 615.5,655,"[TG(56:11),TG(55:4)]_FA18:1",15.77,8223.0,DOD73,M2,5xFAD,liver,11
421481,954.8,655.5,16.08,7872.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,954.8 -> 655.5,714,"[TG(59:12),TG(58:5)]_FA18:1",16.08,7872.0,FAD173,M1,5xFAD,liver,113
78073,916.8,617.5,16.88,7629.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,916.8 -> 617.5,660,"[TG(56:10),TG(55:3)]_FA18:1",16.88,7629.0,DOD73,M2,5xFAD,liver,10
331419,916.8,617.5,16.83,6957.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,916.8 -> 617.5,663,"[TG(56:10),TG(55:3)]_FA18:1",16.83,6957.0,FAD131,M4,5xFAD,liver,80
416911,922.9,651.6,13.15,6612.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,922.9 -> 651.6,674,"[TG(56:7),TG(55:0)]_FA16:1",13.15,6612.0,FAD173,M1,5xFAD,liver,105
252009,952.8,653.5,15.59,6545.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,952.8 -> 653.5,707,"[TG(59:13),TG(58:6)]_FA18:1",15.59,6545.0,FAD131,M2,5xFAD,liver,69
420906,952.8,653.5,15.54,5701.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,952.8 -> 653.5,709,"[TG(59:13),TG(58:6)]_FA18:1",15.54,5701.0,FAD173,M1,5xFAD,liver,114
335399,932.9,633.6,18.56,5671.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,932.9 -> 633.6,698,"[TG(57:9),TG(56:2)]_FA18:1",18.56,5671.0,FAD131,M4,5xFAD,liver,88
252584,954.8,655.5,16.12,5414.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,954.8 -> 655.5,712,"[TG(59:12),TG(58:5)]_FA18:1",16.12,5414.0,FAD131,M2,5xFAD,liver,68
79115,922.9,651.6,13.15,5330.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,922.9 -> 651.6,670,"[TG(56:7),TG(55:0)]_FA16:1",13.15,5330.0,DOD73,M2,5xFAD,liver,13
328001,900.8,629.5,15.06,5230.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,900.8 -> 629.5,633,"[TG(55:11),TG(54:4)]_FA16:1",15.06,5230.0,FAD131,M4,5xFAD,liver,76
332461,922.9,651.6,13.1,3937.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,922.9 -> 651.6,673,"[TG(56:7),TG(55:0)]_FA16:1",13.1,3937.0,FAD131,M4,5xFAD,liver,83
83112,952.8,653.5,15.63,3897.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,952.8 -> 653.5,705,"[TG(59:13),TG(58:6)]_FA18:1",15.63,3897.0,DOD73,M2,5xFAD,liver,22
336453,952.8,653.5,15.37,3632.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,952.8 -> 653.5,708,"[TG(59:13),TG(58:6)]_FA18:1",15.37,3632.0,FAD131,M4,5xFAD,liver,91
83687,954.8,655.5,16.16,2912.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,954.8 -> 655.5,710,"[TG(59:12),TG(58:5)]_FA18:1",16.16,2912.0,DOD73,M2,5xFAD,liver,21
337623,956.9,657.6,17.32,2625.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,956.9 -> 657.6,718,"[TG(59:11),TG(58:4)]_FA18:1",17.32,2625.0,FAD131,M4,5xFAD,liver,90
237404,866.8,567.5,17.06,2385.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,866.8 -> 567.5,577,"[TG(52:7),TG(51:0)]_FA18:1",17.06,2385.0,FAD131,M2,5xFAD,liver,49
