,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Match_Group,Lipid,Correct_RT,Max_Intensity,Cage,Mouse,Genotype,Biology,Group_Sample
503104,928.8,629.5,15.54,6289.0,11282023_FAD184_F3_WT_cortex_O3off_01,928.8 -> 629.5,2745,"[TG(57:11),TG(56:4)]_FA18:1",15.54,6289.0,FAD184,F3,WT,cortex,47
416349,922.9,623.6,13.15,6279.0,11282023_FAD184_F3_WT_cereb_O3off_01,922.9 -> 623.6,2664,"[TG(56:7),TG(55:0)]_FA18:1",13.15,6279.0,FAD184,F3,WT,cereb,32
1177521,924.8,625.5,13.32,5927.0,11282023_FAD185_M4_WT_cortex_O3off_01,924.8 -> 625.5,2713,[TG(56:6)]_FA18:1,13.32,5927.0,FAD185,M4,WT,cortex,93
1680354,904.8,605.5,16.88,5850.0,11282023_FAD189_M3_WT_hippo_O3off_01,904.8 -> 605.5,2579,"[TG(55:9),TG(54:2)]_FA18:1",16.88,5850.0,FAD189,M3,WT,hippo,117
1004761,904.8,605.5,16.88,5832.0,11282023_FAD184_F4_WT_hippo_O3off_01,904.8 -> 605.5,2571,"[TG(55:9),TG(54:2)]_FA18:1",16.88,5832.0,FAD184,F4,WT,hippo,74
498630,906.8,607.5,16.88,5817.0,11282023_FAD184_F3_WT_cortex_O3off_01,906.8 -> 607.5,2585,"[TG(55:8),TG(54:1)]_FA18:1",16.88,5817.0,FAD184,F3,WT,cortex,43
1094249,928.8,629.5,15.59,5798.0,11282023_FAD185_M4_WT_cereb_O3off_01,928.8 -> 629.5,2752,"[TG(57:11),TG(56:4)]_FA18:1",15.59,5798.0,FAD185,M4,WT,cereb,83
1258109,904.8,605.5,16.88,5609.0,11282023_FAD185_M4_WT_dienc_O3off_01,904.8 -> 605.5,2574,"[TG(55:9),TG(54:2)]_FA18:1",16.88,5609.0,FAD185,M4,WT,dienc,100
155093,870.8,599.5,12.0,5606.0,11282023_DOD94_F3_WT_cortex_O3off_01,870.8 -> 599.5,2381,[TG(52:5)]_FA16:1,12.0,5606.0,DOD94,F3,WT,cortex,6
835863,904.8,605.5,16.88,4839.0,11282023_FAD184_F4_WT_cortex_O3off_01,904.8 -> 605.5,2569,"[TG(55:9),TG(54:2)]_FA18:1",16.88,4839.0,FAD184,F4,WT,cortex,67
1003020,900.8,601.5,14.57,4652.0,11282023_FAD184_F4_WT_hippo_O3off_01,900.8 -> 601.5,2511,"[TG(55:11),TG(54:4)]_FA18:1",14.57,4652.0,FAD184,F4,WT,hippo,73
1178111,926.8,627.5,14.52,4601.0,11282023_FAD185_M4_WT_cortex_O3off_01,926.8 -> 627.5,2733,"[TG(57:12),TG(56:5)]_FA18:1",14.52,4601.0,FAD185,M4,WT,cortex,96
833529,898.8,599.5,13.24,4380.0,11282023_FAD184_F4_WT_cortex_O3off_01,898.8 -> 599.5,2489,[TG(54:5)]_FA18:1,13.24,4380.0,FAD184,F4,WT,cortex,64
419835,932.9,633.6,17.94,4086.0,11282023_FAD184_F3_WT_cereb_O3off_01,932.9 -> 633.6,2784,"[TG(57:9),TG(56:2)]_FA18:1",17.94,4086.0,FAD184,F3,WT,cereb,35
751414,904.8,605.5,16.88,4021.0,11282023_FAD184_F4_WT_cereb_O3off_01,904.8 -> 605.5,2568,"[TG(55:9),TG(54:2)]_FA18:1",16.88,4021.0,FAD184,F4,WT,cereb,63
403402,846.8,547.5,13.24,3922.0,11282023_FAD184_F3_WT_cereb_O3off_01,846.8 -> 547.5,2204,[TG(50:3)]_FA18:1,13.24,3922.0,FAD184,F3,WT,cereb,25
242977,900.8,601.5,14.53,3814.0,11282023_DOD94_F3_WT_dienc_O3off_01,900.8 -> 601.5,2502,"[TG(55:11),TG(54:4)]_FA18:1",14.53,3814.0,DOD94,F3,WT,dienc,17
491175,868.8,571.5,10.84,3714.0,11282023_FAD184_F3_WT_cortex_O3off_01,868.8 -> 571.5,2325,[TG(52:6)]_FA18:2,10.84,3714.0,FAD184,F3,WT,cortex,38
163001,922.9,623.6,13.15,3637.0,11282023_DOD94_F3_WT_cortex_O3off_01,922.9 -> 623.6,2661,"[TG(56:7),TG(55:0)]_FA18:1",13.15,3637.0,DOD94,F3,WT,cortex,13
1511456,904.8,605.5,16.88,3503.0,11282023_FAD189_M3_WT_cortex_O3off_01,904.8 -> 605.5,2577,"[TG(55:9),TG(54:2)]_FA18:1",16.88,3503.0,FAD189,M3,WT,cortex,111
1595904,904.8,605.5,16.83,3389.0,11282023_FAD189_M3_WT_dienc_O3off_01,904.8 -> 605.5,2578,"[TG(55:9),TG(54:2)]_FA18:1",16.83,3389.0,FAD189,M3,WT,dienc,114
917978,898.8,599.5,13.24,3324.0,11282023_FAD184_F4_WT_dienc_O3off_01,898.8 -> 599.5,2490,[TG(54:5)]_FA18:1,13.24,3324.0,FAD184,F4,WT,dienc,68
166487,932.9,633.6,17.94,3300.0,11282023_DOD94_F3_WT_cortex_O3off_01,932.9 -> 633.6,2781,"[TG(57:9),TG(56:2)]_FA18:1",17.94,3300.0,DOD94,F3,WT,cortex,15
1427007,904.8,605.5,16.88,3298.0,11282023_FAD189_M3_WT_cereb_O3off_01,904.8 -> 605.5,2576,"[TG(55:9),TG(54:2)]_FA18:1",16.88,3298.0,FAD189,M3,WT,cereb,108
502524,926.8,627.5,14.79,3266.0,11282023_FAD184_F3_WT_cortex_O3off_01,926.8 -> 627.5,2725,"[TG(57:12),TG(56:5)]_FA18:1",14.79,3266.0,FAD184,F3,WT,cortex,48
585247,922.9,623.6,13.15,3265.0,11282023_FAD184_F3_WT_dienc_O3off_01,922.9 -> 623.6,2666,"[TG(56:7),TG(55:0)]_FA18:1",13.15,3265.0,FAD184,F3,WT,dienc,56
1509714,900.8,601.5,14.53,3146.0,11282023_FAD189_M3_WT_cortex_O3off_01,900.8 -> 601.5,2517,"[TG(55:11),TG(54:4)]_FA18:1",14.53,3146.0,FAD189,M3,WT,cortex,110
1172479,900.8,629.5,14.44,3134.0,11282023_FAD185_M4_WT_cortex_O3off_01,900.8 -> 629.5,2533,"[TG(55:11),TG(54:4)]_FA16:1",14.44,3134.0,FAD185,M4,WT,cortex,90
157348,896.8,597.5,12.13,3119.0,11282023_DOD94_F3_WT_cortex_O3off_01,896.8 -> 597.5,2461,[TG(54:6)]_FA18:1,12.13,3119.0,DOD94,F3,WT,cortex,8
572303,846.8,547.5,13.38,3108.0,11282023_FAD184_F3_WT_dienc_O3off_01,846.8 -> 547.5,2206,[TG(50:3)]_FA18:1,13.38,3108.0,FAD184,F3,WT,dienc,50
501937,924.8,625.5,13.72,3085.0,11282023_FAD184_F3_WT_cortex_O3off_01,924.8 -> 625.5,2705,[TG(56:6)]_FA18:1,13.72,3085.0,FAD184,F3,WT,cortex,45
664631,898.8,599.5,13.24,2988.0,11282023_FAD184_F3_WT_hippo_O3off_01,898.8 -> 599.5,2487,[TG(54:5)]_FA18:1,13.24,2988.0,FAD184,F3,WT,hippo,57
504284,932.9,633.6,17.94,2893.0,11282023_FAD184_F3_WT_cortex_O3off_01,932.9 -> 633.6,2785,"[TG(57:9),TG(56:2)]_FA18:1",17.94,2893.0,FAD184,F3,WT,cortex,49
160834,906.8,607.5,16.92,2732.0,11282023_DOD94_F3_WT_cortex_O3off_01,906.8 -> 607.5,2581,"[TG(55:8),TG(54:1)]_FA18:1",16.92,2732.0,DOD94,F3,WT,cortex,11
1594162,900.8,601.5,14.48,2717.0,11282023_FAD189_M3_WT_dienc_O3off_01,900.8 -> 601.5,2518,"[TG(55:11),TG(54:4)]_FA18:1",14.48,2717.0,FAD189,M3,WT,dienc,113
1176379,922.9,623.6,12.61,2564.0,11282023_FAD185_M4_WT_cortex_O3off_01,922.9 -> 623.6,2673,"[TG(56:7),TG(55:0)]_FA18:1",12.61,2564.0,FAD185,M4,WT,cortex,94
1082319,868.8,571.5,10.84,2496.0,11282023_FAD185_M4_WT_cereb_O3off_01,868.8 -> 571.5,2332,[TG(52:6)]_FA18:2,10.84,2496.0,FAD185,M4,WT,cereb,77
1332351,846.8,547.5,13.64,2479.0,11282023_FAD185_M4_WT_hippo_O3off_01,846.8 -> 547.5,2215,[TG(50:3)]_FA18:1,13.64,2479.0,FAD185,M4,WT,hippo,101
1425264,900.8,601.5,14.48,2376.0,11282023_FAD189_M3_WT_cereb_O3off_01,900.8 -> 601.5,2516,"[TG(55:11),TG(54:4)]_FA18:1",14.48,2376.0,FAD189,M3,WT,cereb,107
329732,906.8,607.5,16.92,2299.0,11282023_DOD94_F3_WT_hippo_O3off_01,906.8 -> 607.5,2583,"[TG(55:8),TG(54:1)]_FA18:1",16.92,2299.0,DOD94,F3,WT,hippo,23
418074,926.8,627.5,14.75,2234.0,11282023_FAD184_F3_WT_cereb_O3off_01,926.8 -> 627.5,2724,"[TG(57:12),TG(56:5)]_FA18:1",14.75,2234.0,FAD184,F3,WT,cereb,34
164726,926.8,627.5,14.75,2202.0,11282023_DOD94_F3_WT_cortex_O3off_01,926.8 -> 627.5,2721,"[TG(57:12),TG(56:5)]_FA18:1",14.75,2202.0,DOD94,F3,WT,cortex,14
414207,906.8,607.5,18.03,2200.0,11282023_FAD184_F3_WT_cereb_O3off_01,906.8 -> 607.5,2584,"[TG(55:8),TG(54:1)]_FA18:1",18.03,2200.0,FAD184,F3,WT,cereb,30
583079,906.8,607.5,16.88,2186.0,11282023_FAD184_F3_WT_dienc_O3off_01,906.8 -> 607.5,2586,"[TG(55:8),TG(54:1)]_FA18:1",16.88,2186.0,FAD184,F3,WT,dienc,54
65605,846.8,547.5,13.24,2049.0,11282023_DOD94_F3_WT_cereb_O3off_01,846.8 -> 547.5,2200,[TG(50:3)]_FA18:1,13.24,2049.0,DOD94,F3,WT,cereb,0
408441,870.8,599.5,12.0,2048.0,11282023_FAD184_F3_WT_cereb_O3off_01,870.8 -> 599.5,2384,[TG(52:5)]_FA16:1,12.0,2048.0,FAD184,F3,WT,cereb,26
318961,846.8,547.5,13.64,2026.0,11282023_DOD94_F3_WT_hippo_O3off_01,846.8 -> 547.5,2203,[TG(50:3)]_FA18:1,13.64,2026.0,DOD94,F3,WT,hippo,19
418661,928.8,629.5,15.81,2021.0,11282023_FAD184_F3_WT_cereb_O3off_01,928.8 -> 629.5,2744,"[TG(57:11),TG(56:4)]_FA18:1",15.81,2021.0,FAD184,F3,WT,cereb,33
