Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Cage,Position,Genotype,Dilution Factor,Sex2,Sex,Brain Region,method_type,Blank Subtraction
Cer(d18:0/h26:0),696.7,266.4,37228.58270263672,696.7 -> 266.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,2590.9403686523438
SM (d16:1/18:1),701.6,184.1,42067.00259399414,701.6 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,19251.080963134766
CerP(d18:1/22:0),702.6,264.4,14392.100997924805,702.6 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
SM (d18:1/16:0),703.6,184.1,40429.74295043945,703.6 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,17685.541473388672
SM (d18:0/16:0),705.6,184.1,40609.72276306152,705.6 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,16329.000991821289
SM (d18:2/18:1),727.6,184.1,68047.54397583008,727.6 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,46170.382385253906
CerP(d18:1/24:1(15Z)),728.6,264.4,12847.321006774902,728.6 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
SM (d18:1/18:1)9Z)),729.6,184.1,78819.34478759766,729.6 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,55939.62307739258
CerP(d18:1/24:0),730.6,264.4,13356.400939941406,730.6 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,359.4399719238281
SM (d18:1/18:0),731.6,184.1,83451.7063293457,731.6 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,56046.98449707031
SM (d18:0/18:0),733.6,184.1,78170.18705749512,733.6 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,50518.18501281738
1-O-myristoyl-Cer(d18:1/16:0),748.8,264.4,11886.22095489502,748.8 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
SM (d18:2/20:1),755.6,184.1,720453.3782348633,755.6 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,680294.4153137207
CerP(d18:1/26:1(17Z)),756.6,264.4,9543.900772094727,756.6 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
SM (d16:1/22:1),757.6,184.1,717992.0911560059,757.6 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,679859.5682067871
CerP(d18:1/26:0),758.6,264.4,12391.88079071045,758.6 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
SM (d18:1/20:0),759.6,184.1,696155.2435913086,759.6 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,662636.9610900879
1-O-palmitoyl-Cer(d18:1/16:0),776.8,264.4,10560.500732421875,776.8 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,125.92001342773438
SM (d18:2/22:1),783.6,184.1,1072948.4306030273,783.6 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,1018453.6465454102
SM (d16:1/24:0),787.7,184.1,914149.8395996094,787.7 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,869474.5166625977
SM (d18:0/22:0),789.7,184.1,923036.9236450195,789.7 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,880121.9406738281
1-O-stearoyl-Cer(d18:1/16:0),804.8,264.4,12832.000988006592,804.8 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,1010.1801872253418
SM (d18:2/24:1),811.7,184.1,828435.4181518555,811.7 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,791975.2154541016
SM (d18:1/24:1)15Z)),813.7,184.1,691411.9628601074,813.7 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,661962.8807067871
SM (d18:1/24:0),815.7,184.1,685694.2684020996,815.7 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,656122.5662841797
SM (d18:0/24:0),817.7,184.1,676515.6820678711,817.7 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,648150.3797912598
1-O-eicosanoyl-Cer(d18:1/16:0),832.8,264.4,11178.260723114014,832.8 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,2705.760124206543
SM (d18:1/26:1)17Z)),841.7,184.1,216923.49560546875,841.7 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,132772.1689453125
SM (d18:1/26:0),843.7,184.1,206967.31604003906,843.7 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,124562.98950195312
SM (d18:0/26:0),845.7,184.1,201321.07482910156,845.7 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,120818.189453125
1-O-behenoyl-Cer(d18:1/16:0),860.8,264.4,34993.262214660645,860.8 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,27616.46171951294
1-O-tricosanoyl-Cer(d18:1/16:0),874.9,264.4,135550.37031173706,874.9 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,126990.34968948364
1-O-lignoceroyl-Cer(d18:1/16:0),888.9,264.4,128046.36904907227,888.9 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,120040.48851776123
1-O-carboceroyl-Cer(d18:1/16:0),902.9,264.4,113573.20904159546,902.9 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,104590.36840438843
1-O-cerotoyl-Cer(d18:1/16:0),916.9,264.4,56626.68326950073,916.9 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,49074.00275802612
1-O-cerotoyl-Cer(d18:1/18:0),944.9,264.4,16180.161041259766,944.9 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,8615.44051361084
1-O-carboceroyl-Cer(d18:1/18:0),973.0,264.4,7887.820468902588,973.0 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,2295.740062713623
1-O-tricosanoyl-Cer(d18:1/18:0),1001.0,264.4,5155.200401306152,1001.0 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,811.7200927734375
14:0 Cholesteryl ester,614.6,369.2,138263.32962036133,614.6 -> 369.2,CE,CE_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CE,15171.421173095703
15:1 Cholesteryl ester,626.6,369.2,508496.5587158203,626.6 -> 369.2,CE,CE_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CE,139712.09228515625
15:0 Cholesteryl ester,628.6,369.2,500697.69384765625,628.6 -> 369.2,CE,CE_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CE,121582.66796875
"16:2 Cholesteryl ester, zymosteryl palmitoleate",638.6,369.2,540818.5389404297,638.6 -> 369.2,CE,CE_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CE,133682.30932617188
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,640.6,369.2,535552.8375244141,640.6 -> 369.2,CE | CE,CE_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CE,131577.43017578125
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,642.6,369.2,433084.33026123047,642.6 -> 369.2,CE | CE,CE_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CE,102314.54528808594
17:1 Cholesteryl ester; 16:1 Campesteryl ester,654.6,369.2,195411.3134765625,654.6 -> 369.2,CE,CE_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CE,11309.720031738281
16:0 Campesteryl ester | 17:0 Cholesteryl ester,656.6,369.2,199009.5545654297,656.6 -> 369.2,CE | CE,CE_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CE,14353.121765136719
