lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,10xBlank_01202023
PI (36:3),0.47920944722553677,8.050318515707282,1.038395929397666,0.30819482993959746,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,85260.04669189453,264521.796875,210477.9165649414,223532.67498779297,156284.70867919922,108962.6259765625,139432.7700805664,189700.6735229492,162956.6492614746,88589.44757080078,57282.94403076172
PI (36:4),0.3007970124037322,8.905769476936957,0.4102656720278901,0.5218346915338868,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,100988.26586914062,914497.1207275392,203363.1124267578,257187.39874267575,205875.73638916016,247130.57885742188,243553.056640625,429703.2889404297,239993.4952392578,206597.3741455078,49265.12387084961
PI (36:5),0.11204413900100704,6.6562613959879435,0.0570100979249446,0.8112855821854413,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,45106.80313110352,83131.04649353027,63631.524475097656,62471.18437194824,52367.90310668945,61285.76403808594,64349.203857421875,65863.62535095215,53508.56332397461,50344.32357788086,31696.002044677734
PI (36:6),0.05836971036818112,6.7467312860970905,0.015474937961755586,0.9009999163736586,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,52327.98376464844,62679.16394042969,62016.58447265625,68388.90423583984,65306.644927978516,69590.92532348633,68192.30572509766,63436.844482421875,57714.10382080078,53705.62438964844,46188.38366699219
PI (36:7),0.1013358599752488,7.150295943887672,0.046636604010018345,0.8290227488744569,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,60930.125,71904.76531982422,103139.8864440918,102183.486328125,86637.14596557617,79991.76513671875,107597.22717285156,80432.60690307617,75120.00521850586,71000.36630249023,52231.56365966797
PI (36:8),0.052137122315727306,7.778314311448489,0.0123471631504799,0.9115229420937526,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,79676.90588378906,108215.30755615234,177403.85418701172,178770.1128540039,122926.7886352539,106384.86798095705,192347.77215576172,106272.24786376952,124876.12799072266,137056.03149414062,54564.58361816406
PI (38:0) | PIp (40:6),0.09494944860041746,6.796096066197942,0.04094408918649606,0.8396458825938685,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,47527.82287597656,61264.78448486328,83124.00588989258,74042.584716796875,64967.7248840332,65512.76416015625,76972.70489501953,66443.66455078125,60127.36404418945,54883.42376708984,41279.66320800781
PI (38:0) | PIp (40:6)_2,0.07170016027921143,6.731609976393774,0.023349588190683335,0.8785514864808631,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,44229.123138427734,62701.32467651367,78805.02560424805,71034.56454467773,57952.684494018555,62202.444763183594,79229.16595458984,61793.1044921875,56460.84375,53292.704040527344,39103.42330932617
PI (38:1),0.13561175788915716,6.592909305082169,0.0835057349984254,0.7726015888548685,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,36174.88258361816,69235.6446685791,65006.884033203125,71682.52545166016,54245.184143066406,53768.9041595459,61840.28485107422,65385.165283203125,53438.86381530762,44305.06309509277,33391.98225402832
PI (38:2),0.18367761689125253,6.752286740613081,0.15314531302976786,0.6955475247212566,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,43956.14291381836,95853.98693847656,68296.02522277832,72385.02490234375,56961.68423461914,62831.28482055664,67242.14414978027,67141.30570983887,65505.5451965332,44851.64372253418,34534.48245239258
