#"+ TIC MRM (** -> **) CrudeCanola_O3on_150gN3_02082023.d "
#Point,X(Minutes),Y(Counts)
729,11.889,9280.158203125
730,11.905,9277.01953125
731,11.921,9144.66015625
732,11.937,8806.1201171875
733,11.954,9505.740234375
734,11.970,9814.041015625
735,11.986,9629.6015625
736,12.003,9095.08203125
737,12.019,8524.9189453125
738,12.035,8379.580078125
739,12.052,8463.080078125
740,12.068,8839.1201171875
741,12.084,8974.2197265625
742,12.101,8354.9013671875
743,12.117,8388.9599609375
744,12.133,8592.8203125
745,12.149,8949.98046875
746,12.166,8787.8994140625
747,12.182,8696.6015625
748,12.198,8630.720703125
749,12.215,8817.7197265625
750,12.231,9504.880859375
751,12.247,10523.181640625
752,12.264,11555.7021484375
753,12.280,12010.3427734375
754,12.296,11753.7802734375
755,12.313,10896.7998046875
756,12.329,10187.2392578125
757,12.345,11392.900390625
758,12.362,14113.5634765625
759,12.378,16826.73828125
760,12.394,20456.8203125
761,12.410,22554.76171875
762,12.427,23776.923828125
763,12.443,21798.5
764,12.459,19720.302734375
765,12.476,16935.40234375
766,12.492,14329.322265625
767,12.508,12347.4619140625
768,12.525,10955.298828125
769,12.541,9972.7001953125
770,12.557,9203.4599609375
771,12.574,8917.6396484375
772,12.590,8839.4814453125
773,12.606,9106.66015625
774,12.622,9280.7607421875
775,12.639,9277.5205078125
776,12.655,8702.4404296875
777,12.671,8519.3818359375
778,12.688,9118.3212890625
779,12.704,9533.3798828125
780,12.720,9678.861328125
781,12.737,9260.9794921875
782,12.753,9449.4609375
783,12.769,9375.6806640625
784,12.786,9401.37890625
785,12.802,9342.83984375
786,12.818,9267.1220703125
787,12.834,9431.2001953125
788,12.851,9235.0205078125
789,12.867,9292.2607421875
790,12.883,9406.419921875
791,12.900,9810.2607421875
792,12.916,10200
793,12.932,10287.3818359375
794,12.949,10628.880859375
795,12.965,10352.2998046875
796,12.981,10366.3212890625
797,12.998,9861.9619140625
798,13.014,10170.5205078125
799,13.030,10008.48046875
800,13.046,9866.9404296875
801,13.063,9746.1806640625
802,13.079,10156.9404296875
803,13.095,10243.3994140625
804,13.112,9955.9814453125
805,13.128,9784.7802734375
806,13.144,10587.6611328125
807,13.161,10955.3203125
808,13.177,10783.0419921875
809,13.193,10821.1806640625
810,13.210,10956.3017578125
811,13.226,10888.541015625
812,13.242,10007.9599609375
813,13.258,9950.2802734375
814,13.275,10296.361328125
815,13.291,10361.26171875
816,13.307,10017.3798828125
817,13.324,9917.0205078125
818,13.340,10209.517578125
819,13.356,10579.1591796875
820,13.373,10657.7392578125
821,13.389,10952.560546875
822,13.405,10585.58203125
823,13.422,10873.66015625
824,13.438,11178.822265625
825,13.454,11082.1611328125
826,13.470,10507.6806640625
827,13.487,10197.3798828125
828,13.503,10458.001953125
829,13.519,10326.080078125
830,13.536,10252.740234375
831,13.552,11197.2216796875
832,13.568,11961.5205078125
833,13.585,11848.0205078125
834,13.601,11081.662109375
835,13.617,11394.3193359375
836,13.634,11772.2587890625
837,13.650,11679.8818359375
838,13.666,10991.80078125
839,13.682,10879.521484375
840,13.699,10815.2197265625
841,13.715,10562.1416015625
842,13.731,10774.2607421875
843,13.748,11089.279296875
844,13.764,11776.759765625
845,13.780,11311.2607421875
846,13.797,10931.4599609375
847,13.813,10586.240234375
848,13.829,11103.2626953125
849,13.846,11323.962890625
850,13.862,11576.7197265625
851,13.878,11457.5625
852,13.894,11411.9208984375
853,13.911,11356.4384765625
854,13.927,11930.2587890625
855,13.943,12461.90234375
856,13.960,12624.9375
857,13.976,12923.7802734375
858,13.992,12887.48046875
859,14.009,13586.7412109375
860,14.025,14424.6025390625
861,14.041,15456.9189453125
862,14.058,16180.783203125
863,14.074,17512.72265625
864,14.090,20584.82421875
865,14.106,26067.958984375
866,14.123,34861.0234375
867,14.139,43298.26171875
868,14.155,50523.1484375
869,14.172,53199.80859375
870,14.188,51568.5390625
871,14.204,46109.59375
872,14.221,41918.3984375
873,14.237,42925.703125
874,14.253,49601.4140625
875,14.270,59553.6640625
876,14.286,70680.8359375
877,14.302,74802.1875
878,14.318,75649.21875
879,14.335,69568.9609375
880,14.351,67787.1328125
881,14.367,58757
882,14.384,47544.8203125
883,14.400,32623.44140625
884,14.416,24247.943359375
885,14.433,19418.220703125
886,14.449,16490.943359375
887,14.465,15508.9619140625
888,14.482,15359.9609375
889,14.498,15396.22265625
890,14.514,14449.0419921875
891,14.530,14050.16015625
892,14.547,13624.943359375
893,14.563,13640.0400390625
894,14.579,13185.1201171875
895,14.596,12891.642578125
896,14.612,12976.28125
897,14.628,13262.5595703125
898,14.645,13173.1806640625
899,14.661,13220.5810546875
900,14.677,12919.76171875
901,14.694,12693.541015625
902,14.710,12965.7607421875
903,14.726,13916.2998046875
904,14.742,14138.6591796875
905,14.759,14264.0400390625
906,14.775,13774.939453125
907,14.791,14005.58203125
908,14.808,12974.0205078125
909,14.824,13259.7001953125
910,14.840,13079.44140625
911,14.857,13725.2412109375
912,14.873,13527.3017578125
913,14.889,13659.322265625
914,14.906,14619.28125
915,14.922,15198.7421875
916,14.938,15250.2021484375
917,14.954,15116.443359375
918,14.971,15879.841796875
919,14.987,16437.41796875
920,15.003,16886.3203125
921,15.020,17137.5390625
922,15.036,17249.859375
923,15.052,17614.09765625
924,15.069,18112.04296875
925,15.085,18707.66015625
926,15.101,17443.1640625
927,15.118,17035.517578125
928,15.134,17541.71875
929,15.150,19396.2421875
930,15.166,19370.380859375
931,15.183,18502.78125
932,15.199,18339.478515625
933,15.215,19808.64453125
934,15.232,19846.2578125
935,15.248,19004.380859375
936,15.264,17802.94140625
937,15.281,18281.04296875
938,15.297,18509.859375
939,15.313,18691.5859375
940,15.330,18182.265625
941,15.346,17847.4609375
942,15.362,18162.71875
943,15.378,19052.880859375
944,15.395,19310.779296875
945,15.411,19203.578125
946,15.427,19233.802734375
947,15.444,19813.73828125
948,15.460,19282.240234375
949,15.476,18449.22265625
950,15.493,17873.841796875
951,15.509,19086.763671875
952,15.525,19931.1796875
953,15.542,19653.599609375
954,15.558,18854.978515625
955,15.574,19888.98046875
956,15.590,21081.94140625
957,15.607,21610.880859375
958,15.623,20696.982421875
959,15.639,19561.943359375
960,15.656,18863.7421875
961,15.672,18814.462890625
962,15.688,19138.341796875
963,15.705,18935.904296875
964,15.721,18805.560546875
965,15.737,18622.478515625
966,15.754,18713.05859375
967,15.770,19552.921875
968,15.786,20040.060546875
969,15.802,19812.984375
970,15.819,20091.69921875
971,15.835,21166.64453125
972,15.851,22821.439453125
973,15.868,23359.662109375
974,15.884,24850.36328125
975,15.900,26392.42578125
976,15.917,30152.544921875
977,15.933,35463.765625
978,15.949,43704.1796875
979,15.966,55406.39453125
980,15.982,71382.109375
981,15.998,98814.6484375
982,16.014,131254.921875
983,16.031,176906.296875
984,16.047,223132.8125
985,16.063,281139.59375
986,16.080,317145.6875
987,16.096,320552
988,16.112,276126.59375
989,16.129,218880.0625
990,16.145,157130.640625
991,16.161,105724.953125
992,16.178,63842.203125
993,16.194,40737.50390625
994,16.210,29480.33984375
995,16.226,25156.1796875
996,16.243,23845.103515625
997,16.259,23850.041015625
998,16.275,23890.34375
999,16.292,25346.78515625
1000,16.308,26731.16015625
1001,16.324,26739.71875
1002,16.341,27543.544921875
1003,16.357,27867.982421875
1004,16.373,28405.478515625
1005,16.390,27013.4609375
1006,16.406,25241.55859375
1007,16.422,23303.501953125
1008,16.438,21878.220703125
1009,16.455,20610.140625
1010,16.471,19915.462890625
1011,16.487,19598.0859375
1012,16.504,20031.26171875
1013,16.520,19526.98046875
1014,16.536,19167.984375
1015,16.553,18773.01953125
1016,16.569,18801.322265625
1017,16.585,18951.681640625
1018,16.602,19082.76171875
1019,16.618,19020.720703125
1020,16.634,19214.322265625
1021,16.650,20561.58203125
1022,16.667,21789.740234375
