Lipid,Parent_Ion,Product_Ion,Class,Transition
19:0 Campesteryl ester_simulated,698.6315,369.1,CE,698.6315 -> 369.1
"19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",684.6471,369.1,CE,684.6471 -> 369.1
20:0 Campesteryl ester,712.6628,369.1,CE,712.6628 -> 369.1
"20:0 Cholesteryl ester, 18:0 Sitosteryl ester",698.6471,369.1,CE,698.6471 -> 369.1
20:1 Campesteryl ester,710.6471,369.1,CE,710.6471 -> 369.1
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",696.6315,369.1,CE,696.6315 -> 369.1
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",694.6158,369.1,CE,694.6158 -> 369.1
20:3 Campesteryl ester,706.6158,369.1,CE,706.6158 -> 369.1
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",692.6002,369.1,CE,692.6002 -> 369.1
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",690.5845,369.1,CE,690.5845 -> 369.1
20:5 Cholesteryl ester,688.5689,369.1,CE,688.5689 -> 369.1
22:0 Campesteryl ester,740.6941,369.1,CE,740.6941 -> 369.1
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",726.6784,369.1,CE,726.6784 -> 369.1
22:0 Sitosteryl ester,754.7097,369.1,CE,754.7097 -> 369.1
22:1 Campesteryl ester,738.6784,369.1,CE,738.6784 -> 369.1
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",724.6628,369.1,CE,724.6628 -> 369.1
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",750.6784,369.1,CE,750.6784 -> 369.1
22:2 Campesteryl ester,736.6628,369.1,CE,736.6628 -> 369.1
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",748.6628,369.1,CE,748.6628 -> 369.1
22:3 Campesteryl ester,734.6471,369.1,CE,734.6471 -> 369.1
22:3 Stigmasteryl ester,746.6471,369.1,CE,746.6471 -> 369.1
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",718.6158,369.1,CE,718.6158 -> 369.1
22:5 Cholesteryl ester,716.6002,369.1,CE,716.6002 -> 369.1
22:6 Cholesteryl ester,714.5845,369.1,CE,714.5845 -> 369.1
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",752.6941,369.1,CE,752.6941 -> 369.1
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",722.5744,369.1,CE,722.5744 -> 369.1
Cholesteryl nitrolinoleate,711.5696,369.1,CE,711.5696 -> 369.1
"ecdysone palmitate, 22:3 Cholesteryl ester, 20:2 Stigmasteryl ester, 20:3 Sitosteryl ester",720.5435,369.1,CE,720.5435 -> 369.1
"lanosteryl oleate, 20:2 Campesteryl ester",708.6315,369.1,CE,708.6315 -> 369.1
"lanosteryl palmitoleate, 18:2 Campesteryl ester",680.6002,369.1,CE,680.6002 -> 369.1
1-O-behenoyl-Cer(d18:1/16:0),860.8,264.3,CER,860.8 -> 264.3
1-O-carboceroyl-Cer(d18:1/16:0),902.9,264.3,CER,902.9 -> 264.3
1-O-carboceroyl-Cer(d18:1/18:0),973,264.3,CER,973 -> 264.3
1-O-cerotoyl-Cer(d18:1/16:0),916.9,264.3,CER,916.9 -> 264.3
1-O-cerotoyl-Cer(d18:1/18:0),944.9,264.3,CER,944.9 -> 264.3
1-O-eicosanoyl-Cer(d18:1/16:0),832.8,264.3,CER,832.8 -> 264.3
1-O-lignoceroyl-Cer(d18:1/16:0),888.9,264.3,CER,888.9 -> 264.3
1-O-myristoyl-Cer(d18:1/16:0),748.7,264.3,CER,748.7 -> 264.3
1-O-palmitoyl-Cer(d18:1/16:0),776.7,264.3,CER,776.7 -> 264.3
1-O-stearoyl-Cer(d18:1/16:0),804.8,264.3,CER,804.8 -> 264.3
1-O-tricosanoyl-Cer(d18:1/16:0),874.9,264.3,CER,874.9 -> 264.3
1-O-tricosanoyl-Cer(d18:1/18:0),1001,264.3,CER,1001 -> 264.3
Cer(d14:1(4E)/20:0(2OH)),554.5,208.3,CER,554.5 -> 208.3
Cer(d14:1(4E)/20:1(11Z)(2OH)),552.5,208.3,CER,552.5 -> 208.3
Cer(d14:1(4E)/22:0(2OH)),582.5,208.3,CER,582.5 -> 208.3
Cer(d14:1(4E)/22:1(13Z)(2OH)),580.5,208.3,CER,580.5 -> 208.3
Cer(d14:1(4E)/24:0(2OH)),610.6,208.3,CER,610.6 -> 208.3
Cer(d14:1(4E)/26:0(2OH)),638.6,208.3,CER,638.6 -> 208.3
"Cer(d14:2(4E,6E)/16:0)",480.4,206.3,CER,480.4 -> 206.3
"Cer(d14:2(4E,6E)/18:0(2OH))",524.5,206.3,CER,524.5 -> 206.3
"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",522.5,206.3,CER,522.5 -> 206.3
"Cer(d14:2(4E,6E)/18:1(9Z))",506.5,206.3,CER,506.5 -> 206.3
"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",550.5,206.3,CER,550.5 -> 206.3
"Cer(d14:2(4E,6E)/20:1(11Z))",534.5,206.3,CER,534.5 -> 206.3
"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",578.5,206.3,CER,578.5 -> 206.3
"Cer(d14:2(4E,6E)/24:0(2OH))",608.6,206.3,CER,608.6 -> 206.3
"Cer(d16:2(4E,6E)/22:1(13Z)(2OH))",606.5,234.3,CER,606.5 -> 234.3
"Cer(d16:2(4E,6E)/24:0(2OH))",636.6,234.3,CER,636.6 -> 234.3
Cer(d18:0/14:0),512.5,266.4,CER,512.5 -> 266.4
Cer(d18:0/16:0(2OH)),556.5,266.4,CER,556.5 -> 266.4
Cer(d18:0/16:0),540.5,266.4,CER,540.5 -> 266.4
Cer(d18:0/18:0(2OH)),584.6,266.4,CER,584.6 -> 266.4
Cer(d18:0/18:0),568.6,266.4,CER,568.6 -> 266.4
Cer(d18:0/20:0(2OH)),612.6,266.4,CER,612.6 -> 266.4
Cer(d18:0/20:0),596.6,266.4,CER,596.6 -> 266.4
Cer(d18:0/22:0(2OH)),640.6,266.4,CER,640.6 -> 266.4
Cer(d18:0/22:0),624.6,266.4,CER,624.6 -> 266.4
Cer(d18:0/24:0),652.7,266.4,CER,652.7 -> 266.4
Cer(d18:0/26:0),680.7,266.4,CER,680.7 -> 266.4
Cer(d18:0/h24:0),668.7,266.4,CER,668.7 -> 266.4
Cer(d18:0/h26:0),696.7,266.4,CER,696.7 -> 266.4
Cer(d18:1/12:0),482.5,264.3,CER,482.5 -> 264.3
Cer(d18:1/16:0),538.5,264.3,CER,538.5 -> 264.3
Cer(d18:1/18:0),566.6,264.3,CER,566.6 -> 264.3
Cer(d18:1/18:1(9Z)),564.5,264.3,CER,564.5 -> 264.3
Cer(d18:1/2:0),342.3,264.3,CER,342.3 -> 264.3
Cer(d18:1/20:0),594.6,264.3,CER,594.6 -> 264.3
Cer(d18:1/22:0),622.6,264.3,CER,622.6 -> 264.3
Cer(d18:1/24:0),650.6,264.3,CER,650.6 -> 264.3
Cer(d18:1/24:1(15Z)),648.6,264.3,CER,648.6 -> 264.3
Cer(d18:1/26:0),678.7,264.3,CER,678.7 -> 264.3
Cer(d18:1/26:1(17Z)),676.7,264.3,CER,676.7 -> 264.3
Cer(d18:2/14:0),508.5,262.4,CER,508.5 -> 262.4
Cer(d18:2/16:0),536.5,262.4,CER,536.5 -> 262.4
Cer(d18:2/18:1),562.5,262.4,CER,562.5 -> 262.4
Cer(d18:2/20:0),592.6,262.4,CER,592.6 -> 262.4
Cer(d18:2/20:1),590.6,262.4,CER,590.6 -> 262.4
Cer(d18:2/22:0),620.6,262.4,CER,620.6 -> 262.4
Cer(d20:0/26:0(2OH)),724.7,292.4,CER,724.7 -> 292.4
Cer(d20:0/26:0),708.7,292.4,CER,708.7 -> 292.4
Cer(t18:0/16:0(2OH)),572.5,282.4,CER,572.5 -> 282.4
Cer(t18:0/18:0(2OH)),600.6,282.4,CER,600.6 -> 282.4
Cer(t18:0/20:0(2OH)),628.6,282.4,CER,628.6 -> 282.4
Cer(t18:0/22:0(2OH)),656.6,282.4,CER,656.6 -> 282.4
Cer(t18:0/24:0(2OH)),684.7,282.4,CER,684.7 -> 282.4
Cer(t18:0/26:0(2OH)),712.7,282.4,CER,712.7 -> 282.4
Cer(t20:0/26:0(2OH)),740.7,310.4,CER,740.7 -> 310.4
CerP(d18:0/16:0),620.5,266.4,CER,620.5 -> 266.4
CerP(d18:1/12:0),562.4,264.3,CER,562.4 -> 264.3
CerP(d18:1/14:0),590.5,264.3,CER,590.5 -> 264.3
CerP(d18:1/16:0),618.5,264.3,CER,618.5 -> 264.3
CerP(d18:1/18:0),646.5,264.3,CER,646.5 -> 264.3
CerP(d18:1/2:0),422.3,264.3,CER,422.3 -> 264.3
CerP(d18:1/20:0),674.5,264.3,CER,674.5 -> 264.3
CerP(d18:1/22:0),702.6,264.3,CER,702.6 -> 264.3
CerP(d18:1/24:0),730.6,264.3,CER,730.6 -> 264.3
CerP(d18:1/24:1(15Z)),728.6,264.3,CER,728.6 -> 264.3
CerP(d18:1/26:0),758.6,264.3,CER,758.6 -> 264.3
CerP(d18:1/26:1(17Z)),756.6,264.3,CER,756.6 -> 264.3
CerP(d18:1/8:0),506.4,264.3,CER,506.4 -> 264.3
Lyso_C17 sphingosine-1-phosphocholine,451.3223,184.1,SM,451.3223 -> 184.1
Lyso_PC(10:0),412.2386,184.1,PC,412.2386 -> 184.1
Lyso_PC(11:0),426.2542,184.1,PC,426.2542 -> 184.1
Lyso_PC(12:0),440.2699,184.1,PC,440.2699 -> 184.1
Lyso_PC(13:0),454.2855,184.1,PC,454.2855 -> 184.1
Lyso_PC(14:0),468.3012,184.1,PC,468.3012 -> 184.1
Lyso_PC(14:1),466.2855,184.1,PC,466.2855 -> 184.1
Lyso_PC(15:0),482.3168,184.1,PC,482.3168 -> 184.1
Lyso_PC(15:1),480.3012,184.1,PC,480.3012 -> 184.1
Lyso_PC(16:0),496.3325,184.1,PC,496.3325 -> 184.1
Lyso_PC(16:1),494.3168,184.1,PC,494.3168 -> 184.1
Lyso_PC(17:0),510.3481,184.1,PC,510.3481 -> 184.1
Lyso_PC(17:1),508.3325,184.1,PC,508.3325 -> 184.1
Lyso_PC(17:2),506.3168,184.1,PC,506.3168 -> 184.1
Lyso_PC(18:0),524.3638,184.1,PC,524.3638 -> 184.1
Lyso_PC(18:1),522.3481,184.1,PC,522.3481 -> 184.1
Lyso_PC(18:2),520.3325,184.1,PC,520.3325 -> 184.1
Lyso_PC(18:3),518.3168,184.1,PC,518.3168 -> 184.1
Lyso_PC(18:4),516.3012,184.1,PC,516.3012 -> 184.1
Lyso_PC(19:0),538.3794,184.1,PC,538.3794 -> 184.1
Lyso_PC(19:1),536.3638,184.1,PC,536.3638 -> 184.1
Lyso_PC(19:2),534.3481,184.1,PC,534.3481 -> 184.1
Lyso_PC(19:3),532.3325,184.1,PC,532.3325 -> 184.1
Lyso_PC(2:0),300.1134,184.1,PC,300.1134 -> 184.1
Lyso_PC(20:0),552.3951,184.1,PC,552.3951 -> 184.1
Lyso_PC(20:1),550.3794,184.1,PC,550.3794 -> 184.1
Lyso_PC(20:2),548.3638,184.1,PC,548.3638 -> 184.1
Lyso_PC(20:3),546.3481,184.1,PC,546.3481 -> 184.1
Lyso_PC(20:4),544.3325,184.1,PC,544.3325 -> 184.1
Lyso_PC(20:5),542.3168,184.1,PC,542.3168 -> 184.1
Lyso_PC(21:0),566.4107,184.1,PC,566.4107 -> 184.1
Lyso_PC(21:4),558.3481,184.1,PC,558.3481 -> 184.1
Lyso_PC(22:0),580.4264,184.1,PC,580.4264 -> 184.1
Lyso_PC(22:1),578.4107,184.1,PC,578.4107 -> 184.1
Lyso_PC(22:2),576.3951,184.1,PC,576.3951 -> 184.1
Lyso_PC(22:4),572.3638,184.1,PC,572.3638 -> 184.1
Lyso_PC(22:5),570.3481,184.1,PC,570.3481 -> 184.1
Lyso_PC(22:6),568.3325,184.1,PC,568.3325 -> 184.1
Lyso_PC(24:0),608.4577,184.1,PC,608.4577 -> 184.1
Lyso_PC(24:1),606.442,184.1,PC,606.442 -> 184.1
Lyso_PC(3:0),314.129,184.1,PC,314.129 -> 184.1
Lyso_PC(3:1),312.1134,184.1,PC,312.1134 -> 184.1
Lyso_PC(4:0),328.1447,184.1,PC,328.1447 -> 184.1
Lyso_PC(5:0),342.1603,184.1,PC,342.1603 -> 184.1
Lyso_PC(6:0),356.176,184.1,PC,356.176 -> 184.1
Lyso_PC(7:0),370.1916,184.1,PC,370.1916 -> 184.1
Lyso_PC(8:0),384.2073,184.1,PC,384.2073 -> 184.1
Lyso_PC(9:0),398.2229,184.1,PC,398.2229 -> 184.1
Lyso_Sphinganine-1-phosphocholine,467.3536,184.1,SM,467.3536 -> 184.1
Lyso_Sphingosine-1-phosphocholine,465.3379,184.1,SM,465.3379 -> 184.1
PC (30:0),706.5,184.1,PC,706.5 -> 184.1
PC (30:1),704.5,184.1,PC,704.5 -> 184.1
PC (30:2),702.5,184.1,PC,702.5 -> 184.1
PC (32:0),734.6,184.1,PC,734.6 -> 184.1
PC (32:1),732.6,184.1,PC,732.6 -> 184.1
PC (32:2),730.5,184.1,PC,730.5 -> 184.1
PC (32:3),728.5,184.1,PC,728.5 -> 184.1
PC (32:4),726.5,184.1,PC,726.5 -> 184.1
PC (32:5),724.5,184.1,PC,724.5 -> 184.1
PC (34:0),762.6,184.1,PC,762.6 -> 184.1
PC (34:1),760.6,184.1,PC,760.6 -> 184.1
PC (34:2),758.6,184.1,PC,758.6 -> 184.1
PC (34:3),756.6,184.1,PC,756.6 -> 184.1
PC (34:4),754.5,184.1,PC,754.5 -> 184.1
PC (34:5),752.5,184.1,PC,752.5 -> 184.1
PC (34:6),750.5,184.1,PC,750.5 -> 184.1
PC (36:0); PCp(38:6),790.6,184.1,PC,790.6 -> 184.1
PC (36:1),788.6,184.1,PC,788.6 -> 184.1
PC (36:2),786.6,184.1,PC,786.6 -> 184.1
PC (36:3),784.6,184.1,PC,784.6 -> 184.1
PC (36:4),782.6,184.1,PC,782.6 -> 184.1
PC (36:5),780.6,184.1,PC,780.6 -> 184.1
PC (36:6),778.5,184.1,PC,778.5 -> 184.1
PC (36:7),776.5,184.1,PC,776.5 -> 184.1
PC (36:8),774.5,184.1,PC,774.5 -> 184.1
PC (38:0),818.7,184.1,PC,818.7 -> 184.1
PC (38:1),816.6,184.1,PC,816.6 -> 184.1
PC (38:2),814.6,184.1,PC,814.6 -> 184.1
PC (38:3),812.6,184.1,PC,812.6 -> 184.1
PC (38:4),810.6,184.1,PC,810.6 -> 184.1
PC (38:5),808.6,184.1,PC,808.6 -> 184.1
PC (38:6),806.6,184.1,PC,806.6 -> 184.1
PC (38:7),804.6,184.1,PC,804.6 -> 184.1
PC (38:8),802.5,184.1,PC,802.5 -> 184.1
PC (38:9),800.5,184.1,PC,800.5 -> 184.1
PC (40:0),846.7,184.1,PC,846.7 -> 184.1
PC (40:1),844.7,184.1,PC,844.7 -> 184.1
PC (40:10),826.5,184.1,PC,826.5 -> 184.1
PC (40:2),842.7,184.1,PC,842.7 -> 184.1
PC (40:3),840.6,184.1,PC,840.6 -> 184.1
PC (40:4),838.6,184.1,PC,838.6 -> 184.1
PC (40:5),836.6,184.1,PC,836.6 -> 184.1
PC (40:6),834.6,184.1,PC,834.6 -> 184.1
PC (40:7),832.6,184.1,PC,832.6 -> 184.1
PC (40:8),830.6,184.1,PC,830.6 -> 184.1
PC (40:9),828.6,184.1,PC,828.6 -> 184.1
PC (42:0),874.7,184.1,PC,874.7 -> 184.1
PC (42:1),872.7,184.1,PC,872.7 -> 184.1
PC (42:10),854.6,184.1,PC,854.6 -> 184.1
PC (42:11),852.6,184.1,PC,852.6 -> 184.1
PC (42:2),870.7,184.1,PC,870.7 -> 184.1
PC (42:3),868.7,184.1,PC,868.7 -> 184.1
PC (42:4),866.7,184.1,PC,866.7 -> 184.1
PC (42:5),864.6,184.1,PC,864.6 -> 184.1
PC (42:6),862.6,184.1,PC,862.6 -> 184.1
PC (42:7),860.6,184.1,PC,860.6 -> 184.1
PC (42:8),858.6,184.1,PC,858.6 -> 184.1
PC (42:9),856.6,184.1,PC,856.6 -> 184.1
PC (44:0),902.8,184.1,PC,902.8 -> 184.1
PC (44:1),900.7,184.1,PC,900.7 -> 184.1
PC (44:10),882.6,184.1,PC,882.6 -> 184.1
PC (44:12),878.6,184.1,PC,878.6 -> 184.1
PC (44:2),898.7,184.1,PC,898.7 -> 184.1
PC (44:3),896.7,184.1,PC,896.7 -> 184.1
PC (44:4),894.7,184.1,PC,894.7 -> 184.1
PC (44:5),892.7,184.1,PC,892.7 -> 184.1
PC (44:6),890.7,184.1,PC,890.7 -> 184.1
PC (44:7),888.6,184.1,PC,888.6 -> 184.1
PC (44:8),886.6,184.1,PC,886.6 -> 184.1
PC (46:0),930.8,184.1,PC,930.8 -> 184.1
PC (46:1),928.8,184.1,PC,928.8 -> 184.1
PC (46:2),926.8,184.1,PC,926.8 -> 184.1
PC (48:0),958.8,184.1,PC,958.8 -> 184.1
PC (48:2),954.8,184.1,PC,954.8 -> 184.1
PC (50:0),986.9,184.1,PC,986.9 -> 184.1
PC (52:0),1014.9,184.1,PC,1014.9 -> 184.1
PC (52:4),1006.8,184.1,PC,1006.8 -> 184.1
PCo(32:0),720.6,184.1,PC,720.6 -> 184.1
PCo(32:1),718.6,184.1,PC,718.6 -> 184.1
PCo(32:2),716.6,184.1,PC,716.6 -> 184.1
PCo(32:3),714.5,184.1,PC,714.5 -> 184.1
PCo(34:0),748.6,184.1,PC,748.6 -> 184.1
PCo(34:1),746.6,184.1,PC,746.6 -> 184.1
PCo(34:2),744.6,184.1,PC,744.6 -> 184.1
PCo(34:3),742.6,184.1,PC,742.6 -> 184.1
PCo(34:4),740.6,184.1,PC,740.6 -> 184.1
PCo(36:0),776.6,184.1,PC,776.6 -> 184.1
PCo(36:1),774.6,184.1,PC,774.6 -> 184.1
PCo(36:2),772.6,184.1,PC,772.6 -> 184.1
PCo(36:3),770.6,184.1,PC,770.6 -> 184.1
PCo(36:4),768.6,184.1,PC,768.6 -> 184.1
PCo(36:5),766.6,184.1,PC,766.6 -> 184.1
PCo(38:0),804.7,184.1,PC,804.7 -> 184.1
PCo(38:1),802.7,184.1,PC,802.7 -> 184.1
PCo(38:2),800.6,184.1,PC,800.6 -> 184.1
PCo(38:3),798.6,184.1,PC,798.6 -> 184.1
PCo(38:4),796.6,184.1,PC,796.6 -> 184.1
PCo(38:5),794.6,184.1,PC,794.6 -> 184.1
PCo(38:6),792.6,184.1,PC,792.6 -> 184.1
PCo(40:0),832.7,184.1,PC,832.7 -> 184.1
PCo(40:1),830.7,184.1,PC,830.7 -> 184.1
PCo(40:2),828.7,184.1,PC,828.7 -> 184.1
PCo(40:3),826.6,184.1,PC,826.6 -> 184.1
PCo(40:4),824.6,184.1,PC,824.6 -> 184.1
PCo(40:5),822.6,184.1,PC,822.6 -> 184.1
PCo(40:6),820.6,184.1,PC,820.6 -> 184.1
PCo(42:0),860.7,184.1,PC,860.7 -> 184.1
PCo(42:1),858.7,184.1,PC,858.7 -> 184.1
PCo(42:2),856.7,184.1,PC,856.7 -> 184.1
PCo(42:3),854.7,184.1,PC,854.7 -> 184.1
PCo(42:4),852.7,184.1,PC,852.7 -> 184.1
PCo(42:6),848.6,184.1,PC,848.6 -> 184.1
PCo(44:3),882.7,184.1,PC,882.7 -> 184.1
PCo(44:4),880.7,184.1,PC,880.7 -> 184.1
PCo(44:5),878.7,184.1,PC,878.7 -> 184.1
PCp(32:4),738.5,184.1,PC,738.5 -> 184.1
PCp(36:5),764.6,184.1,PC,764.6 -> 184.1
PCp(40:6),818.6,184.1,PC,818.6 -> 184.1
PCp(42:4),850.7,184.1,PC,850.7 -> 184.1
PCp(42:6),846.6,184.1,PC,846.6 -> 184.1
SM (d16:1/18:1),701.6,184.1,SM,701.6 -> 184.1
