lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_cerebellum,FAD185_M3_Male_5xFAD_cerebellum,FAD189_M1_Male_5xFAD_cerebellum,FAD189_M2_Male_5xFAD_cerebellum,FAD185_M4_Male_WT_cerebellum,FAD189_M3_Male_WT_cerebellum,Blank_Blank_Blank_Blank_Blank
PI(35:5)|PI(O-36:5)|PI(P-36:4),-2.9433638738448757,5.608959965278975,43.611105377232434,4.005595052780174e-11,5.620024015357227e-9,PI,82408.72607421875,112311.36953735352,93909.50631713869,74308.6450805664,467699.93283081055,514215.9018554688,43434.64291381836
LPE(20:0),3.580111790058661,2.032484470497677,40.92110437166403,1.585002483891205e-10,2.1311679231320495e-8,PE,54358.74401855469,57580.28396606445,31308.202213287357,2990.2601928710938,2120.980125427246,2144.3201446533203,2168.840148925781
PC(22:1),-2.746646873415144,7.497603577186847,38.19404427237987,6.404760857496244e-10,8.267265314856153e-8,PC,368357.5267333984,447573.7890625,426585.9294433594,289120.0817871094,1811845.410888672,1808678.6433105469,94402.546142578125
[TG(52:6)]_FA18:1,-2.7209084570873805,6.422726155709415,37.505854037106474,9.113903112810039e-10,1.1311755901937691e-7,TAG,102243.20776367188,178240.21319580078,285289.8380432129,182451.2543334961,794000.0601806641,939603.734802246,25199.92176818848
PC(54:12),-2.7087566251377244,5.254103973917371,37.182018526907996,1.0760140619094805e-9,1.2860360658451457e-7,PC,68552.60450744629,98865.50730895996,109446.48748016356,58842.2444152832,389577.8648033142,380820.36783218384,12016.36081314087
LPE(20:4),3.241634684466897,2.5673714134599477,34.95116150565742,3.3807966397589075e-9,3.896368127322141e-7,PE,96534.74674606325,74715.66585922241,34664.78234100342,2751.400188446045,4455.860404968262,3320.3602600097656,2961.640182495117
[TG(51:4)]_FA16:0,-2.6090519777125896,5.6650978802052485,34.57525442099177,4.100864402349127e-9,4.5632722159933223e-7,TAG,82217.06555175781,128541.32766723631,160139.85214233398,94589.88732910156,431923.4100341797,562759.4800415039,23257.22166442871
PC(52:0),-2.5876678757965648,5.076134105172622,34.02573022574143,5.4388077770355305e-9,5.850344232164552e-7,PC,67746.20556259155,95410.86753082275,97926.78632736206,54279.74390411377,331732.3229980469,333572.9457435608,12010.640815734863
[TG(46:5)]_FA22:5,-2.567856860637609,6.779159173169246,33.52139967999483,7.048421169913498e-9,7.107892223534643e-7,TAG,232627.91766357425,395081.2926635742,161782.41192626953,239497.73651123047,637137.2682800293,1489412.0441894531,48261.743408203125
DG(37:4)_C18:1,-2.5696449255415224,2.167812903978666,33.541473516835595,6.976051370391941e-9,7.107892223534643e-7,DAG,2917.060218811035,2889.060207366944,2894.6002082824707,9570.32067489624,37202.06266403198,2897.6402168273926,40262.78248596192
[TG(52:7)|TG(51:0)]_FA18:2,-2.5609410393140384,6.349780154850286,33.345555493811844,7.715394561009123e-9,7.544720681326194e-7,TAG,103231.98809814452,177558.99172973633,290025.6623535156,197324.45251464844,734080.9697265625,860982.614440918,31425.24237060547
[TG(46:6)]_FA22:6,-2.5397604877619067,6.891111323183813,32.81008423139065,1.0161632695615811e-8,9.644584914338887e-7,TAG,260200.8756103516,414650.7884521485,179406.05242919922,274010.4987182617,685912.8679504395,1604872.4760742188,48950.82318115234
DG(O-38:9)|DG(36:2)_C18:0,-2.535869222374969,3.7545805310596703,32.70824662670293,1.070819458944478e-8,9.872955411468087e-7,DAG,28125.362007141117,26934.96195602417,25876.14186477661,29791.38214111328,203349.6944885254,29176.842029571533,32929.36228942871
[TG(51:5)]_FA14:0,-2.4983481461829014,4.892288057537506,31.7719736246836,1.7337658362095355e-8,1.5541284315133807e-6,TAG,67858.74450683594,77340.02575683594,67057.26452636719,61462.72479248047,245954.77752685547,299558.02130126953,34294.842529296875
[TG(52:8)|TG(51:1)]_FA18:3,-2.4540036958489537,6.392434347011257,30.67850880177866,3.0451927887810735e-8,2.655901926863925e-6,TAG,117496.46719360352,199100.95336914065,303151.5452270508,213068.6142578125,704680.6733703613,899586.9631958008,36916.682678222656
[TG(51:5)]_FA16:1,-2.4461673127691888,5.686329617554125,30.486425613632264,3.362108037636707e-8,2.8551375361720144e-6,TAG,90573.98626708984,134848.52990722656,173762.0926513672,111723.44750976562,466490.9149169922,512456.4777832031,26470.341918945312
LPC(12:0),-2.420586683350586,5.741207336420304,29.864123433645545,4.63408834693678e-8,3.834411050144869e-6,PC,121413.3895263672,173281.71142578125,111105.7075805664,113935.80798339844,469197.9010620117,510355.0751953125,53912.94366455078
DG(O-38:8)|DG(36:1)_C18:0,-2.4162893639562433,4.433209143204656,29.758374655293213,4.893876302660004e-8,3.948134707170958e-6,DAG,42810.04299163818,40365.98300170898,41255.54313659668,46233.403175354,290618.22061920166,39431.32279586792,79878.74598693848
DG(36:3)_C18:0,-2.398649467338075,4.820705804895097,29.333927745885834,6.091968933962759e-8,4.794825304853127e-6,DAG,64284.12452316284,65589.16469955444,55329.80409622192,65875.72467041016,420651.6709022522,58330.084033966064,65619.12463378906
PC(O-12:1),-2.385915422818867,5.735694817190082,29.02946487194572,7.128575089524011e-8,5.477121860450948e-6,PC,125393.18780517578,147665.13104248047,136210.4500732422,114693.84899902344,475763.5739746094,491140.2126464844,56245.02416992188
LPE(O-20:0),-2.3679312532904095,2.9970376787366306,28.591887349666653,8.935576944396372e-8,6.705838790596999e-6,PE,18378.181617736816,4710.920375823975,4372.40030670166,18221.940914154053,52577.02337646485,33872.5424079895,56186.56405639648
FA(25:1),-2.357341079719851,7.4326869813266825,28.34985840274021,1.0125421024364198e-7,7.426075828550743e-6,FA,217633.15087890625,803796.3529052734,323503.15643310547,489922.0393676758,2192726.96673584,1121595.0935058594,43555.403259277344
[TG(40:2)]_FA16:1,-2.314187064408598,7.178519605172851,27.33584996801801,1.7101126923631633e-7,1.2263408129457618e-5,TAG,353520.3835449219,588948.2375488281,370612.7717285156,246033.1580810547,1819671.343017578,914696.4921875,54243.9838256836
[TG(40:1)]_FA16:0,-2.30676419294462,7.019694516253244,27.163034438799514,1.8700016204669552e-7,1.3118467889667098e-5,TAG,342396.607421875,510389.9019775391,322655.84716796875,220771.97521972656,1613225.3717041016,826549.4205322266,53036.68341064453
PE(44:2),-2.2286358482237363,5.453543401335974,25.373144985568615,4.72449615404984e-7,3.243818955131667e-5,PE,105245.66730880736,126018.7879333496,120904.1280708313,95935.66604614258,355801.56550216675,384792.901424408,71119.14533233643
DG(36:8)|DG(35:1)_C16:1,-2.2085258957839713,11.550436980051893,24.899343371150735,6.040299476942593e-7,4.060843002519531e-5,DAG,2930.680202484131,2924.7801933288574,8325.200462341309,3371.420238494873,26114.381992340088,3024.9401817321777,47492099.30102539
DG(37:5)_C18:1,-2.2017930352334947,2.4442707748796293,24.752988376689245,6.516768354376923e-7,4.2059222959148667e-5,DAG,2886.6801986694336,2890.080207824707,2896.280204772949,12381.320919036863,33059.84238052368,2897.6002082824707,56453.1436920166
DG(42:9)|DG(41:2)_C16:1,-2.2026749116299973,7.499722300126886,24.791301208810182,6.388512607980691e-7,4.2059222959148667e-5,DAG,633929.3240966797,1244264.7885742188,85162.86592102051,97868.44701004028,3263624.567138672,90580.36633682252,97521.02673339844
DG(38:8)|DG(dO-40:8)|DG(37:1)_C18:1,2.551343793898215,6.023086412467317,23.53265430624197,1.2281160848055186e-6,7.770844324838057e-5,DAG,211255.5946121216,116003.66875457764,58527.44399642944,27808.541984558105,2884.380226135254,21707.381565094,842503.0589599609
[TG(44:5)]_FA20:4,-2.1359787968315187,7.484617263312102,23.322503224415414,1.3698787336357855e-6,8.501151295082077e-5,TAG,493782.2702636719,763345.2623291016,486911.7376708984,353647.88415527344,2273193.846069336,989747.029663086,66933.42498779297
LPG(17:1)|LPG(P-18:0),-2.1312795119653227,3.0993109859263166,23.214642322347686,1.448899330785867e-6,8.821883283860362e-5,PG,9229.380599975586,4444.660305023193,10529.120979309082,38832.84294891357,51304.84381103516,49705.52374267578,49126.58312988281
[TG(50:5)]_FA22:5,-2.0672308772786177,6.1008830042645,21.850799975800328,2.94693714128258e-6,1.7610678064664602e-4,TAG,219977.4749145508,196013.33459472656,146404.86981201172,241483.2557373047,769225.6627197266,441120.5965576172,40883.10287475586
[TG(50:6)]_FA22:6,-2.012209472573932,6.242293838510294,20.704868446220644,5.3579602100851485e-6,3.143661381444504e-4,TAG,249753.7571716309,215513.99530029297,167761.13256835938,276012.5394897461,840698.2406921387,477685.6947937012,45257.64306640625
[TG(42:2)]_FA18:1,-2.0081931503296544,7.096673247096473,20.62251136140094,5.593453052740323e-6,3.223227321641611e-4,TAG,421146.0681152344,561946.5216674805,430561.14709472656,283166.03564453125,1643733.9321289062,774630.36328125,53799.88366699219
DG(42:8)|DG(41:1)_C16:0,-1.9139697139622385,7.828436247561055,18.730175896838773,1.5058061886984023e-5,8.524976440227622e-4,DAG,655843.7014770508,1195010.8310546875,698535.0822753906,411973.5049133301,3050490.237426758,894264.4802856445,90573.2061767578
[TG(42:4)]_FA18:3,-1.9020480908912019,7.3995014280823295,18.49675707938877,1.70193638986986e-5,9.469221948465584e-4,TAG,553097.5811767578,752665.18115234375,529738.1188964844,368255.9079589844,1908201.833251953,1005770.8283691406,59124.18420410156
DG(37:4)_C16:1,2.213472638780588,7.814007911888546,18.44404250383377,1.7496695646553372e-5,9.548428010455125e-4,DAG,5633232.351043701,1796300.1379394531,37245.842655181885,41893.20293807984,558610.28955078125,35696.70264053345,43886.56324768066
DG(37:6)_C18:1,-1.8983478083612386,2.474280889268126,18.41627585129277,1.7753507301744887e-5,9.548428010455125e-4,DAG,2887.280227661133,2889.180202484131,14993.581039428713,18450.381275177,30969.942085266117,21827.44166946411,40443.82269287109
[TG(42:3)]_FA18:2,-1.8875443425940568,7.174272757025226,18.214655832300195,1.9735433438338162e-5,0.0010440367820576599,TAG,463935.5725097656,645135.2294921875,451434.99060058594,329864.44396972656,1678551.3739013672,799424.6354980469,58494.303955078125
PC(56:12),-1.8728392884091634,5.733959157981368,17.930450050433137,2.2912580683965888e-5,0.0011925628688251278,PC,77286.6654663086,132563.19108581543,417315.5321922302,79226.68552398682,447347.8697052002,453623.2349281311,22354.98147964477
FA(40:6),-1.828929890325334,7.325168146950645,17.09553542829235,3.554576660545329e-5,0.00179228420055934,FA,417536.3501968384,622508.4150009155,229334.1545677185,890106.0229148865,321837.44047546387,2373233.311481476,13028.760856628418
[TG(61:11)|TG(60:4)]_FA22:5,2.09006353213088,9.634786234145233,16.685957681911532,4.410627196087254e-5,0.0021897067633497797,TAG,6585509.091308594,9553331.228393557,7327049.526977539,3582037.2150268555,1329182.8425292969,903219.80712890625,137564.6700744629
[TG(61:12)|TG(60:5)]_FA22:6,2.076356394524575,9.842481068768848,16.49436199309998,4.8794955915784165e-5,0.002385777617276295,TAG,7337791.867553711,11054839.611206057,8763576.55456543,4082667.932373047,1547905.985290527,1053049.888305664,153794.44931030273
DG(37:3)_C16:0,2.044696388863547,9.182241314850286,16.05469001509482,6.15390135706642e-5,0.0029639760715303486,DAG,5928213.67098999,1733521.9427490234,4645909.74987793,6879570.826812744,540906.0047302246,1126048.0227508545,40108.38299560547
DG(39:8)|DG(O-40:8)|DG(38:1)_C18:0,-1.7552563484726345,2.4008473510637116,15.720514872115132,7.342350617817108e-5,0.0034843772711317363,DAG,9114.200706481934,2600.08016204834,2605.700183868408,4099.680240631104,6514.50057220459,15715.74125289917,62609.46417236328
PI(34:5),-1.7266594377932594,5.150402018111853,15.223231980085984,9.552105725442921e-5,0.004467339880580334,PI,98848.94680786131,130304.5887451172,152918.37030029297,93753.1060180664,270135.9796447754,283749.91998291016,38821.34286499024
DG(30:1)_C18:0,-1.699018042275847,4.445923693719627,14.734627715441547,1.237524059893217e-4,0.0057049859161077306,DAG,64150.584506988525,62660.72431182861,61273.12407684326,57659.02428436279,230190.5746383667,56878.404289245605,75972.28582763672
FA(28:6),-1.66973156785162,5.513652132310192,14.226614029334085,1.6206219077680262e-4,0.007365840699109043,FA,104608.24667358398,177722.36806106567,251659.8980102539,111217.24899673462,608523.0670928955,121995.88919067384,34132.7825012207
[TG(53:8)|TG(52:1)]_FA14:0,1.906996715121391,6.175690116361625,14.190875377818884,1.6516952050188766e-4,0.007402806148049882,TAG,155124.37109375,276814.32110595703,1686725.9577026367,231105.29656982425,132240.42950439453,86795.88659667969,53764.78381347656
DG(28:1)_C18:0,-1.6661178260844445,5.873239169458129,14.164459940497181,1.6750474000312186e-4,0.007404627342329785,DAG,172878.47178649902,165599.5724105835,160747.9508972168,175898.1319885254,612901.6193885803,159358.85078811646,197475.57421875
[TG(48:6)]_FA18:1,-1.6457585151474987,4.352845599927018,13.816044179294238,2.0160725261004922e-4,0.008791710867197686,TAG,69846.1244506836,74051.68569946289,65644.54443359375,68314.44497680664,109849.34777832033,196257.05255126956,26071.441925048828
LPE(20:5),-1.6338544154000472,4.129675975070986,13.612751015929462,2.246544469321709e-4,0.009666132003334873,PE,50171.66368103027,33157.38229370117,2973.84020614624,8261.480670928955,99097.50539016724,7342.280353546143,176354.4186477661
[TG(52:6)]_FA18:0,-1.6192324679678258,5.33883691762086,13.369670084985046,2.557263354563964e-4,0.010858274796286725,TAG,142825.31127929688,142441.36993408203,119440.5078125,162499.23406982422,273440.66009521484,344981.6657714844,37933.282958984375
FA(22:0),-1.6020761064760056,8.810790880353442,13.084869809274096,2.9769052338914195e-4,0.012475939207490403,FA,999749.2801513672,3157389.5854492188,1251315.3713378906,1329090.9951171875,2968560.7553710938,4120575.2498779297,158888.591796875
PE(44:8)|PE(43:1),-1.5943941807420774,5.207709664714674,12.95763260798276,3.186198291077009e-4,0.013181874211930138,PE,115847.9476928711,134030.3491821289,133901.79010009766,112978.34765625,265938.25817871094,264323.6381225586,66175.06433105469
LPC(10:0)|PC(O-10:0),-1.5928307806804238,4.108466861850124,12.931253395888007,3.231413423697545e-4,0.013199710276293642,PC,55304.70458984375,60621.98443603516,52760.08380126953,52724.02337646485,118401.38671875,118107.36834716795,41544.88305664063
DG(34:2)_C18:0,-1.564880417294897,5.486166618658668,12.476052980230179,4.122022337369664e-4,0.01662720760336488,DAG,80158.7258605957,78440.90549087524,83735.206199646,93071.84690093994,279080.2225418091,78610.04521560669,361707.8221435547
LPS(20:2),-1.5412596971726917,6.124579661215008,12.097752993870017,5.048262302877832e-4,0.020112027717761438,PS,229248.3766746521,281246.4809074402,227102.8177146912,298217.2633666992,914224.5704345704,173831.51165771484,41663.323123931885
PC(56:9),-1.5370909151056746,5.8043805162108315,12.031434634045581,5.231079832102952e-4,0.020586212949019786,PC,89959.32595062256,149916.1895751953,522208.21308898926,90254.786376953125,425796.33152771,435234.81408691406,28238.20241546631
[TG(56:9)|TG(55:2)]_FA20:4,1.7303957573560225,10.286689235738828,11.924843060861676,5.539029343066846e-4,0.02153547914467074,TAG,1798040.7994384766,8524947.020996094,23256633.8046875,8137997.686645508,4242381.1875,242354.19677734372,48443.04309082031
DG(O-38:8)|DG(36:1)_C18:2,1.7282747434126522,3.628137003756585,11.885294349497542,5.657888334731124e-4,0.021735721019258733,DAG,3231.320251464844,53952.04379272461,3228.660221099853,3233.2602310180664,3230.6802368164062,3229.300235748291,166867.05351257324
[TG(48:5)]_FA18:0,-1.5225375003525183,4.358156437428995,11.800946676976764,5.920061030424515e-4,0.0224753375825646,TAG,80563.9859008789,72729.8657836914,68216.264404296875,66773.52490234375,105775.32781982422,186210.01306152344,31173.062286376957
DG(39:6)_C18:0,1.669934725914824,2.5362752013541146,11.167062638434228,8.326234786203697e-4,0.030883631787447505,DAG,21711.141525268555,19988.60143661499,2604.8401794433594,2604.4201736450195,2590.940174102783,2592.14017868042,69420.62530517578
PS(P-42:0),1.6700296624097024,6.451187365814904,11.183816577624384,8.251386761594497e-4,0.030883631787447505,PS,668293.93408203125,355275.46875,1291996.3310546875,395545.8900146485,150133.01049804688,150783.19079589844,80502.065673828125
DG(35:3)_C16:0,-1.4754366949313038,1.0984268830598274,11.050742752584028,8.865167562582149e-4,0.032508972414150676,DAG,2745.7001914978027,2631.7401847839355,2633.3001823425293,2752.720195770264,3489.320243835449,7054.2405128479,23162.98149871826
[TG(60:12)|TG(59:5)]_FA22:6,1.6552033595876625,8.4202524905439,11.00484701244568,9.087393304025277e-4,0.03294945864279727,TAG,2966136.679138184,2457398.694335937,2961498.70501709,2629574.4990844727,812131.7596435547,439281.0313720703,84368.56564331055
FA(21:0),-1.457025461816634,9.369780901370069,10.793819914688356,0.0010183951343613416,0.03651512331760055,FA,1251348.187133789,5456585.327636719,1932068.1396484373,1952504.646972656,4196056.182617188,5833599.996948242,227035.07763671875
[TG(52:7)|TG(51:0)]_FA18:1,-1.4523076162985284,5.450367974751868,10.722618191512083,0.0010583381257123468,0.03753029815026091,TAG,161253.07025146484,161794.83111572266,142666.64990234375,190891.6343994141,288167.5407104492,349880.34295654297,40519.50286865234
DG(36:7)|DG(35:0)_C16:1,-1.4469161269029471,9.923501417295217,10.6415738184769,0.0011057353683446808,0.03878486993095962,DAG,3194.140235900879,222885.69778823853,17909.121170043945,97497.04642105104,78713.88589859009,238499.53763198853,15056646.359405518
[TG(62:7)|TG(61:0)]_FA14:0,-1.440669781411698,3.9000571378300832,10.548117902686528,0.0011630645867129923,0.04035709055185834,TAG,54204.62310791016,68146.84494018555,63216.10527038574,41029.4225769043,89747.36769104004,125782.90664672852,15074.141052246094
[TG(58:7)|TG(57:0)]_FA20:4,1.6123141886802395,10.019740607279102,10.492813494462368,0.0011983974697006587,0.04114073015663857,TAG,1642628.0184936523,7917442.884033203,16998902.05126953,7668639.425720215,3736213.030761719,261854.79626464844,40370.902770996094
[TG(54:5)]_FA18:0,1.6053562969977868,9.848428838398295,10.410635002656988,0.0012529165364439483,0.04255959645373285,TAG,1378400.185180664,6415723.7333984375,16791606.653320312,5833877.726257324,3361785.062988281,202598.19317626956,45290.223083496094
[TG(51:7)|TG(50:0)]_FA20:4,-1.4300001975545822,4.925628101567061,10.390493881259317,0.0012666573872558494,0.042578160298694025,TAG,98137.7062072754,115894.34768676758,128621.33099365234,116843.16845703124,199065.2538757324,238327.1379699707,31536.38229370117
[TG(60:11)|TG(59:4)]_FA22:5,1.5890029438884181,8.219601941719144,10.218404795101378,0.0013904606265229182,0.04625790146174698,TAG,2648283.095336914,2107619.1834106445,2468913.024230957,2276051.0715942383,748090.8194580078,383520.56640625,80920.16526794434
FA(10:5),-1.3871968476965706,4.936861212801226,9.767937899122444,0.0017758151665052194,0.05847505655420759,FA,72216.64453125,122989.70922851562,110844.80810546876,90694.30700683594,284898.8601074219,85016.986083984375,105706.98803710938
DG(39:5)_C18:0,1.5449772140025466,1.1562170593276704,9.693680039230927,0.0018490285645645097,0.060270860382319935,DAG,14685.98104095459,16900.52130508423,9109.160640716553,2605.3401794433594,2591.2801933288574,2592.8201942443848,14428.081039428713
[TG(52:8)|TG(51:1)]_FA18:2,-1.3720270225941955,5.664281866496398,9.552176340761434,0.0019971248848438708,0.06444722003391172,TAG,189521.1533203125,209984.93322753903,164054.67211914062,223812.1163330078,322364.2575683594,399983.2280883789,47031.223083496094
[TG(54:8)|TG(53:1)]_FA18:3,1.515267426085132,10.3021407075364,9.369353134082637,0.00220643370728287,0.0704966492416022,TAG,1860259.9578857424,8719676.911621094,22574725.44897461,8137389.653808594,4863312.215698242,289151.4822998047,50717.52389526367
PG(40:4),1.507194569963266,8.761741351573567,9.2781247078874,0.0023190673266717866,0.07336892414872408,PG,2633231.5029296875,2826507.2763671875,5172529.517578125,2505469.0356445312,837962.14013671875,791687.6298828125,462435.61083984375
FA(30:2),-1.3474030713398233,5.638339805611021,9.206645374979416,0.0024113816399578877,0.07554882089460295,FA,129477.09014892578,300031.0649719238,232758.0548400879,141619.21209716797,436822.5995178223,280651.87997436523,38128.70245361328
FA(20:0),-1.3436554043631685,9.168285560780387,9.154846943216398,0.0024806012587433547,0.07623987741245948,FA,1098524.6884765625,4998952.732421875,1761198.0922851562,1717477.4887695312,3781659.323242188,4605855.468017578,258155.2587890625
FA(42:6),-1.3437013932375177,4.1340134779588205,9.154781368266413,0.002480690154418421,0.07623987741245948,FA,60594.74422836304,62941.84391403198,83505.32512283325,74748.7650680542,121638.93146133424,131856.10765838623,10848.6806640625
PG(40:5),1.4773894568201678,9.911663582058639,8.944495231263126,0.002783069883032396,0.08472609917495794,PG,6008610.127929688,6679893.2568359375,11186541.5078125,5439727.274414063,1647119.595703125,2050464.5673828125,911319.083984375
[TG(52:9)|TG(51:2)]_FA18:3,-1.3258518997051072,5.820419296977727,8.9094667972372,0.0028369608763510034,0.08555955839238026,TAG,211883.2935791016,239733.05822753903,181551.3139038086,249663.5985107422,343649.66400146484,440189.0307617188,62521.50415039063
DG(38:3)_C18:0,-1.31445819074121,2.8877141522810055,8.752057420236298,0.0030925296146331917,0.09240363950390101,DAG,10806.360858917236,3389.020263671875,30713.722270965576,33934.602630615234,39967.54285812378,30901.382301330566,42154.14288330078
[TG(56:6)]_FA18:3,1.450426096726998,10.157204326554226,8.64685085156594,0.0032762714392284126,0.09633672675569435,TAG,2530410.805053711,9094665.759765623,18007226.74346924,7378789.3828125,4184810.057373047,629936.861328125,77564.0658569336
PG(40:6),1.4485524980881483,12.735168760333641,8.626335992968212,0.0033133734412401834,0.09633672675569435,PG,41569808.76171875,47286896.8359375,81030188.96875,37547667.85546875,11582971.833984377,15077319.83984375,6247493.1796875
PI(35:4)|PI(O-36:4)|PI(P-36:3),-1.30498617397049,4.79645162841903,8.626145092491242,0.0033137206910077697,0.09633672675569435,PI,83975.50650024414,111138.24816894533,153532.42929077148,96976.4079284668,202356.17541503903,186070.49169921875,26581.941925048828
