lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,DOD94_F3_Female_WT_cortex,FAD184_F3_Female_WT_cortex,FAD184_F4_Female_WT_cortex,Blank_Blank_Blank_Blank_Blank
[TG(56:8)|TG(55:1)]_FA20:4,2.7879968504749275,11.970450354872103,31.52555632093285,1.9683257163426316e-8,5.293155905531394e-6,TAG,523222.7221679688,828797.181640625,6815579.649902344,61964373.32421875,49350677.8203125,19740478.2578125,1551559.9411621094,3473659.422363281,1789553.8524169922,159430.49194335938
[TG(58:12)|TG(57:5)]_FA20:4,-2.305470241092725,7.979827784901947,31.310214298136998,2.1991954595855026e-8,5.459079806217243e-6,TAG,109833.9281616211,171080.23223876953,403578.547668457,602123.5090942383,374057.9670410156,936147.8056640624,970408.9857177734,3079960.5739746094,352631.5078125,75362.9658203125
FA(30:1),-2.2520489218597826,7.192299312427778,29.89220015960018,4.5674655272336706e-8,1.0528008040273611e-5,FA,188318.89324569705,588636.6999969482,232970.9758605957,91610.24841308594,76421.46682739258,84402.92451477051,1269407.046722412,595602.450302124,698882.6817779541,25251.52146911621
[TG(58:7)|TG(57:0)]_FA20:4,2.6101143618609752,8.353916975863372,28.227562918713375,1.0785766390018799e-7,2.3203778760393775e-5,TAG,175251.79272460938,205692.61584472656,1004728.8587646484,4355432.104003906,3790415.492675781,1616543.579711914,147697.05010986328,243892.13793945312,233005.97705078125,40370.902770996094
[TG(56:9)|TG(55:2)]_FA20:4,2.5718782811821557,8.500189245437596,27.53255555787473,1.5447233028996629e-7,3.115513811535757e-5,TAG,93511.70654296876,119901.66845703124,710774.0825805664,4966659.476318359,4864657.1708984375,1651173.499267578,170876.7108154297,330199.12341308594,202812.35455322263,48443.04309082031
[TG(55:11)|TG(54:4)]_FA18:0,2.5317186758573804,11.547861308688248,26.808303812161,2.2466986406454388e-7,4.264762654919312e-5,TAG,477475.259765625,773485.95751953125,5812282.8251953125,47097884.64453125,36150200.33129883,11861102.490234377,1250542.542236328,3078794.9020996094,1670069.1198730469,142586.51037597656
[TG(54:6)]_FA18:2,2.431525078198133,12.01225393240921,25.02640226441504,5.655062357207467e-7,1.0138270125949164e-4,TAG,672163.7639160156,869891.51708984375,7462910.816894531,62955374.38867188,50233617.5546875,18335232.76660156,1847658.8615722656,4573406.143310547,2400409.9477539062,172625.4111328125
[TG(56:7)|TG(55:0)]_FA20:4,2.418411771463363,12.866762881982236,24.795978302686066,6.3730299453461e-7,1.0824088228227298e-4,TAG,1035321.1730957032,1253931.955078125,13150092.05859375,108169870.19921876,88294050.359375,42866012.47265625,3266080.7163085938,9162682.205810549,3602588.0432128906,337624.623046875
[TG(54:5)]_FA18:0,2.385745116349324,8.076310467977029,24.22456188750221,8.573194081635745e-7,1.3832848650719275e-4,TAG,84385.10552978516,102937.7667236328,539686.3529052734,3904012.3850097656,3457017.958129883,989692.5030517578,150743.7322998047,278803.5610961914,159153.65118408203,45290.223083496094
[TG(54:5)]_FA18:1,2.3629739821225244,11.849392451313163,23.829151101763514,1.0527596987559058e-6,1.6177407370882417e-4,TAG,625359.5280761719,917541.071044922,6368749.029785156,55766738.40234375,46938048.02734375,14474098.505859377,1767352.9545898438,4231123.361328125,2233515.6538085938,124003.70825195312
[TG(54:7)|TG(53:0)]_FA18:3,2.318387528571929,11.999101312333195,23.06039817394108,1.5699115435595708e-6,2.302774795939425e-4,TAG,699827.73193359375,940882.544921875,8145893.904785156,60382074.528808594,50936133.54296875,17367123.23046875,1944963.9223632808,4909741.412109375,2528559.6713867188,209595.373046875
[TG(61:11)|TG(60:4)]_FA22:5,2.2548387436482487,9.798808332521297,21.978653855621815,2.756997935275812e-6,3.868187972667411e-4,TAG,409717.6266479492,569627.1946411133,8114273.977661133,6722609.540527344,7759892.356414795,6978831.315551758,1173045.948059082,482631.3127441406,438117.9112548828,137564.6700744629
[TG(54:7)|TG(53:0)]_FA18:2,2.2455196922216887,8.492232615699779,21.821342862895108,2.9925276711676005e-6,4.02370283119077e-4,TAG,101778.96716308594,125172.08911132812,707229.6955566406,4896680.862548828,4814550.408203125,1443515.5284423828,213621.61303710935,411631.9666748047,234790.07830810547,46564.96325683594
DG(35:4)|DG(O-36:4)|DG(dO-37:4)_C16:1,2.239168408187605,1.9324766655744,21.697437214938205,3.19217457233989e-6,4.12045893797633e-4,DAG,2931.4602088928223,2927.7802085876465,78845.845703125,33282.022159576416,4323.400299072266,3423.520206451416,2930.920207977295,2925.6802253723145,2994.740207672119,2929.0802116394043
[TG(55:10)|TG(54:3)]_FA18:0,2.2301228127907873,12.391715522939682,21.5625823537589,3.4246846438027055e-6,4.161284900795568e-4,TAG,862139.87353515625,1030448.0170898438,9829859.0166015625,81162737.4140625,62159403.82617188,25384622.48046875,2498001.790527344,7732535.418457031,2749094.9157714844,228309.53759765625
[TG(61:12)|TG(60:5)]_FA22:6,2.2240794654789315,9.960053117607002,21.46117329648168,3.6106593499310783e-6,4.161284900795568e-4,TAG,451376.7706298828,662705.6813964844,8796687.660522461,7166602.84765625,9230918.74206543,7835429.426208496,1369124.905090332,530313.7134399414,486219.5783691406,153794.44931030273
DG(37:3)_C16:0,2.2268450223845315,9.997588076389288,21.507540068768463,3.5244016902998608e-6,4.161284900795568e-4,DAG,5661513.271759033,1538141.663131714,5747844.916275024,35744.962787628174,6325723.439880371,13003199.079925535,616216.1190490723,35689.22253036499,1911860.2387619016,40108.38299560547
[TG(54:6)]_FA18:1,2.1914835988421966,8.34843584571051,20.917089712340385,4.795967427097184e-6,5.336754099049178e-4,TAG,110073.66821289062,133241.3302001953,642182.598815918,4209532.209472656,4606366.096191406,1215909.2255859375,201820.4542236328,383310.0072631836,219905.87817382807,43440.762939453125
[TG(54:8)|TG(53:1)]_FA18:3,2.139981601914992,8.504954852292046,20.067135435412645,7.477056484451815e-6,8.042820425108669e-4,TAG,118931.7484741211,139588.3709716797,822328.67578125,4723627.466064453,4909179.104492188,1403886.3381347656,225582.35638427731,448981.9650878906,251690.3994140625,50717.52389526367
[TG(51:5)]_FA16:0,-1.8307370227141928,8.711372859035807,19.766706491966033,8.74935381442182e-6,9.107795083593295e-4,TAG,1217572.9246826172,2281598.5595092773,166181.71142578125,111385.56838989258,93078.70654296876,81872.58630371094,2532498.1764526367,2619980.700744629,1548488.1408081057,39190.08248901367
[TG(53:8)|TG(52:1)]_FA14:0,2.109207121049929,6.5209552853144155,19.564436320588353,9.726297158903837e-6,9.80836279118209e-4,TAG,717515.9384765625,91244.906005859375,179640.8345336914,345073.3073120117,217184.036315918,1042748.692993164,80191.14630126953,80618.04498291016,72145.04510498047,53764.78381347656
[TG(62:13)|TG(61:6)]_FA22:5,-1.805356940619766,7.508930369895591,19.218929680835572,1.1655190161222837e-5,0.0011397363227353362,TAG,301623.2587890625,216633.47607421875,340019.52502441406,346050.6451416016,413953.6517944336,607768.8791503906,460370.1953735352,2093858.7861328125,273313.73986816406,72452.70501708984
[TG(51:6)]_FA16:1,-1.7691706107121101,8.818873486833377,18.45082566604833,1.7434527903120963e-5,0.0015628117095380929,TAG,1323807.096069336,2538360.205932617,172532.13250732422,138761.81018066406,107613.30712890624,100200.18768310548,2587639.991394043,2805761.458129883,1722077.7590332031,41019.22302246094
[TG(53:8)|TG(52:1)]_FA18:3,-1.7740122726521372,8.400219885048338,18.552717319049414,1.6526945976016972e-5,0.0015628117095380929,TAG,966392.9443359376,1793001.0830688477,181652.83142089844,147479.34893798828,129976.0692138672,112296.96783447266,2046916.57409668,2038674.369506836,1234462.473022461,35997.24267578125
[TG(57:11)|TG(56:4)]_FA18:2,2.043141970561458,8.180910706909865,18.501420038170178,1.6977775658293688e-5,0.0015628117095380929,TAG,255922.3571166992,292230.7609863281,1310881.4432373047,3502541.3828125,2682525.8408203125,1373933.6539916992,205797.7950439453,292889.2003173828,290301.6027832031,51036.283752441406
[TG(51:4)]_FA14:0,-1.7660621577446947,8.024515120591573,18.38547154946719,1.804284702107935e-5,0.0015736288469465692,TAG,753848.82666015625,1383185.262664795,117844.72747802734,99326.88732910156,99680.28631591795,76457.48529052734,1483829.4456176758,1653803.7844848633,904804.5995483398,82697.70608520508
[TG(54:5)]_FA18:2,2.024782719047599,12.823252944197728,18.209695267506262,1.9786901371787058e-5,0.0016372392494040213,TAG,1309100.5444335938,1219591.30859375,12913048.1796875,102515363.57421876,84915727.296875,37632486.71777344,4062577.022216797,11471152.115234377,4354715.109863281,356736.9655761719
[TG(62:14)|TG(61:7)|TG(60:0)]_FA22:6,-1.7577231248047676,7.584986019973161,18.210831016889642,1.9775105607840923e-5,0.0016372392494040213,TAG,322237.82244873047,239416.17626953125,354312.0469970703,354922.364440918,469691.6528320313,654595.0833740234,504334.2941894531,2144943.286010742,293471.1612548828,78801.34576416016
[TG(53:7)|TG(52:0)]_FA18:2,-1.7407277212468815,7.979811284787877,17.857453118165722,2.380849475036998e-5,0.0019195969176043206,TAG,704190.7496948242,1345801.8821411133,145006.17120361328,134619.36779785156,117874.2080078125,95468.10729980467,1427757.7503356934,1571707.911743164,939572.2490234376,32808.362396240234
[TG(57:12)|TG(56:5)]_FA18:2,1.9995851853202309,8.841855957696616,17.81160989550335,2.4389052873187836e-5,0.0019195969176043206,TAG,280421.6361694336,390303.39025878906,1952659.9949951167,5242910.946044922,5251584.755859375,1969789.5361328125,293535.4989013672,461261.3913574219,536300.6734008789,49453.223205566406
[TG(57:9)|TG(56:2)]_FA18:0,1.9799640421523677,7.973289433137844,17.50374623923926,2.8674212274094082e-5,0.0022031353097262283,TAG,240032.8365478516,285339.8395996094,1188641.5225830078,2980041.9189453125,2352660.5584106445,1052739.1328125,193606.85424804688,262665.6979370117,253663.67669677731,43043.86297607422
PE(44:1),-1.720029777289731,7.6592744281278495,17.431510115784477,2.9784733346625984e-5,0.002235240337431676,PE,590735.1370697021,981986.9116897584,178593.91080474854,122981.56964492798,97484.12687683104,92591.4865951538,1127260.4710273745,1119985.2969665527,864649.9012145996,64799.24423217773
[TG(55:11)|TG(54:4)]_FA18:1,1.9701483990853434,12.667095659334557,17.35066455712274,3.107895747869503e-5,0.0022793589950852017,TAG,1250513.1635742188,1410286.208984375,11130760.516601562,92651830.921875,78415865.953125,29900195.0546875,3819274.6552734375,10527541.293945312,4125983.520507813,263154.5986328125
[TG(57:10)|TG(56:3)]_FA18:0,1.9180681057491578,8.570062188141941,16.545367790575252,4.74998758943819e-5,0.0034062688780260087,TAG,255501.9771728516,378215.46520996094,1747088.8176269531,4424058.561279297,3966932.4439086914,1574035.2817382812,252815.4339599609,397273.4122314453,474341.0657348633,43386.563079833984
[TG(52:5)]_FA18:0,-1.6646632072726808,7.3706999470175845,16.3165230621089,5.3594593554519034e-5,0.0035834301092070296,TAG,476952.8981323242,858284.9007568359,112303.24731445312,104985.80673217772,104271.56704711914,88370.465576171875,957920.9559326172,988023.7058105468,578623.995300293,26629.72183227539
[TG(57:10)|TG(56:3)]_FA18:1,1.9000495909325483,8.070989255462427,16.26992640632557,5.4928863281721567e-5,0.0035834301092070296,TAG,270719.6584472656,302016.1411743164,1153755.5366210938,3112014.184936523,2613663.984863281,1159069.5668945312,210141.032409668,295512.0810546875,292972.45794677734,45031.72344970703
[TG(64:14)|TG(63:7)|TG(62:0)]_FA22:5,-1.662216158397883,5.949424653538758,16.267789032510336,5.499086082438581e-5,0.0035834301092070296,TAG,111040.98818969728,93350.54678344728,127929.14877319336,122672.6688232422,145296.5108642578,190444.81317138672,130351.72897338869,679034.864074707,112478.12756347656,29459.982055664062
DG(42:9)|DG(41:2)_C16:1,-1.6653100928132814,7.1052096145918675,16.329337010000017,5.3233420301803835e-5,0.0035834301092070296,DAG,93422.46670150755,94634.4868812561,864935.7601966858,81167.96599197388,430558.98988342285,382365.8692626953,1809787.1839027405,95865.50693893433,91188.44648361206,97521.02673339844
PI(35:5)|PI(O-36:5)|PI(P-36:4),-1.6612875015006674,6.585288766169754,16.249555354574113,5.5522623322079784e-5,0.0035834301092070296,PI,272147.4791870117,432545.0132751465,99700.68795776369,71653.2045288086,72486.544921875,79399.58547973633,533139.2157592773,533183.2753295898,376345.1072692871,43434.64291381836
[TG(57:11)|TG(56:4)]_FA18:1,1.8933073219104801,8.718516655750745,16.16736238523299,5.7984614159879914e-5,0.0036361313697889624,TAG,285670.481628418,401687.19177246094,1729387.2676391602,4613641.12109375,4994340.529052734,1702132.4145507812,303255.9664916992,443088.79052734375,518743.6163330078,41847.18273925781
[TG(59:13)|TG(58:6)]_FA20:4,1.892009752121314,8.258741362604278,16.147600252212214,5.8592758360404724e-5,0.0036361313697889624,TAG,216736.47354125977,349023.3028564453,1176706.655517578,3561067.4975585938,3036244.9418945312,1509237.7260742188,285330.35986328125,312683.59924316406,314113.18493652344,51030.26315307617
[TG(56:6)]_FA20:4,1.8853859111361688,12.47623938093266,16.04718264781218,6.178348679126453e-5,0.0036968956482437074,TAG,2477650.58984375,3104548.41015625,14076399.078125,80844417.96875,53732889.3671875,29231120.17578125,4073245.568359375,8493542.216796875,4408185.7265625,855493.60546875
[TG(64:15)|TG(63:8)|TG(62:1)]_FA22:6,-1.6509048836310192,6.0409136513376795,16.044742965505066,6.186314378839795e-5,0.0036968956482437074,TAG,109516.08782958984,98711.38778686523,142117.4704284668,133040.58920288086,164322.31121826172,203385.09512329104,151221.3498687744,702756.8090515137,123006.72747802734,34112.42204284668
[TG(56:6)]_FA18:3,1.8814842732938086,8.900908465215165,15.987981639205827,6.3745875076925493e-05,0.003740144343149792,TAG,317370.40368652344,443107.2315673828,2126993.405151367,5175219.840942383,5452877.479980469,2006515.9050292969,329732.78479003906,517649.6123046875,593927.0855712891,77564.0658569336
[TG(54:6)]_FA18:3,1.8712822268281635,12.825564531671196,15.833845467886306,6.915439397459813e-5,0.003985021952786217,TAG,1441539.787109375,1440793.6787109375,15093711.045898438,99262982.341796875,84445126.546875,36463069.52734375,4406888.814941406,12657177.97607422,4822494.712890625,382035.806640625
[TG(57:12)|TG(56:5)]_FA18:3,1.839692348407188,8.297666666689944,15.359640376598687,8.886633218157683e-5,0.004888979427933643,TAG,305603.4621582031,340233.00354003906,1462046.788330078,3595000.4487304688,2923269.1791992188,1397563.9431152344,260911.0407714844,362808.5865478516,343221.7452392578,62687.90417480469
[TG(60:12)|TG(59:5)]_FA20:4,-1.6150973320504416,6.954280999651659,15.348616464425502,8.938636078341648e-5,0.004888979427933643,TAG,103836.56762695312,149514.63110351562,338006.94274902344,330779.0209960937,330656.2628173828,449674.1533203125,333892.88513183594,1274625.2016601562,207449.9952392578,69197.26501464844
FA(30:2),-1.6153319967397617,6.257340468458084,15.352983342418156,8.91799977648569e-5,0.004888979427933643,FA,26495.101806640625,307535.9791412353,241719.5955810547,131703.6284790039,161430.73471069336,108990.64642333984,549334.9301147461,315797.3395690918,263019.0959472656,38128.70245361328
[TG(52:6)]_FA18:1,-1.6095791823492596,7.306888768241866,15.242666992169688,9.454311799200185e-5,0.005084844029336499,TAG,451528.7547607422,824743.8241271973,112425.6277770996,120684.38989257812,116571.5085144043,99112.92694091795,931401.8006591796,920275.6701660156,526427.0777587891,25199.92176818848
[TG(52:8)|TG(51:1)]_FA18:3,-1.6016964008069594,7.213499368491158,15.091889480412647,1.024023105870232e-4,0.005417250102693834,TAG,419363.6278076172,705225.926574707,139417.79043579102,137125.07153320312,131953.3494873047,116191.38861083984,814524.4914550781,880761.1392822266,520479.7191162109,36916.682678222656
[TG(52:7)|TG(51:0)]_FA18:2,-1.588101318269824,7.154487866824962,14.833577909354062,1.1742605933014683e-4,0.005920842085287247,TAG,388147.2259521485,724892.9063110352,119245.9077758789,127277.9086303711,124679.2495727539,99181.94775390624,767296.1175231934,839619.7496948242,516822.9959106445,31425.24237060547
PC(52:0),-1.5882628104378012,6.146590778938747,14.836448828474204,1.172474496993419e-4,0.005920842085287247,PC,159552.71124267578,274699.0008125305,78392.94522094727,77157.52577209473,207889.07417297363,62195.84390258789,345770.8854370117,342918.7615432739,378926.8731155396,12010.640815734863
PC(54:12),-1.590372769921528,6.330698962702181,14.876443278809575,1.1478751051217596e-4,0.005920842085287247,PC,187612.49225616452,323822.8423995972,82033.66732025146,84375.42650604248,224274.9945526123,64817.38513946533,395705.70721817017,392844.948059082,426106.0516357422,12016.36081314087
LPC(24:1),-1.572388348935455,9.746249090345703,14.537910996936262,1.3736723060847952e-4,0.006799662424614341,PC,2971980.822265625,4178668.505859375,659611.7663574219,511728.5339355469,757552.439453125,368480.0861816406,4327642.6865234375,4603751.143066406,3950509.622070313,98224.22705078124
PC(22:0),-1.571149776074756,9.382117719210726,14.51470629684627,1.3906963744175597e-4,0.006799662424614341,PC,2258244.2055664062,3222707.2924804688,588671.8991699219,426230.734375,569792.064453125,304280.3046875,3380154.7939453125,3545898.803222656,3060141.030273437,98047.44714355467
LPC(24:0),-1.5629503638349487,9.749591360035856,14.361618341208668,1.5084597497019817e-4,0.007265372555654172,PC,2993010.6650390625,4196932.302246094,666926.3883056641,511769.99645996094,763118.4753417969,378214.8869628906,4282644.6162109375,4639725.8984375,3956416.30859375,98562.5264892578
[TG(66:8)|TG(65:1)]_FA18:1,-1.5540940760752713,4.617458058876765,14.196138905464068,1.6470813776233332e-4,0.007816370008221317,TAG,33367.18215942383,71619.1849822998,62756.56430053711,47234.80346679688,58192.664489746094,42924.723083496094,68799.98580932617,92460.04609680176,199784.24975585935,17076.481033325195
LPE(O-20:0),-1.5461307918550455,3.832978844808856,14.04762884661659,1.7823842133684462e-4,0.008335875154405762,PE,44889.063049316406,55833.224060058594,4368.780349731445,3315.66019821167,4267.680324554443,7879.760631561279,59843.84457015991,47378.44317626953,59983.46447753906,56186.56405639648
[TG(51:4)]_FA16:0,-1.5395981289374663,6.617922261914435,13.92970755840463,1.8977524498992667e-4,0.00874863879403562,TAG,260201.7162475586,479213.5574951172,107678.84735107422,96780.5066833496,114919.3878173828,78458.086181640625,538069.7835998535,562813.8607177734,341310.80743408203,23257.22166442871
DG(36:3)_C16:1,1.7355150105363737,5.509351704584373,13.83332667067225,1.9976139559409062e-4,0.00907929610679057,DAG,42905.20286178589,39123.682483673096,171294.5137939453,26513.001823425293,567428.6007919312,591705.0591125488,74434.1650390625,33302.52237701416,32338.66215133667,48801.16325378418
DG(O-38:9)|DG(36:2)_C16:0,1.661092787136803,6.916127585976704,12.780835121113341,3.501885590829141e-4,0.01569525666889672,DAG,829315.2191162109,405812.9653930664,323061.82345581055,41366.98299407959,1111739.8239440918,610741.5639953613,81095.82608032227,45281.683197021484,292209.64082336426,49106.84371948242
[TG(62:13)|TG(61:6)]_FA20:4,-1.4741191375244735,5.394435838338035,12.753579153959434,3.5532856779666973e-4,0.01570746970246374,TAG,45688.32344055176,61033.04460144043,139532.52993774414,114095.88833618164,96869.32614135742,140931.9512939453,99758.32678222656,408915.791015625,79244.125244140625,29583.88220214844
PC(22:1),-1.4716265945519351,8.58047623211405,12.710292622272387,3.636485203322327e-4,0.01585802398800155,PC,1294980.8095703125,1780534.8310546875,420061.4462890625,330137.50732421875,387008.828125,258722.79809570312,1869939.1118164065,1950957.370361328,1718454.61328125,94402.546142578125
[TG(55:9)|TG(54:2)]_FA18:0,1.6526720469074712,11.91342558103118,12.663937166394327,3.727763793897811e-4,0.01603932501721098,TAG,2025038.326171875,2327750.0478515625,10897411.421875,57749567.3203125,30752217.77050781,16983914.890625,3012699.4794921875,7007404.674804688,3207255.908203125,511983.2807617188
[TG(54:7)|TG(53:0)]_FA20:4,1.6489807501030533,10.121136379943291,12.61268891554107,3.8313695146908496e-4,0.016268196610404437,TAG,202905.09368896484,208297.994140625,1894797.4822998047,14320514.748046877,12703928.581054688,6549974.25,806855.3395385742,2128223.5939941406,907206.038330078,66943.44445800781
[TG(55:11)|TG(54:4)]_FA18:2,1.5893851272117243,12.410401308396072,11.796766654654228,5.933368014188643e-4,0.0248662059503724,TAG,3151159.169921875,3100865.0634765625,17258326.552734375,73999389.046875,47583899.3125,25500714.728515625,4472253.104492188,9954842.626953123,4988067.837890625,661027.271484375
[TG(64:7)|TG(63:0)]_FA18:1,-1.4168328877050247,4.3155427963829895,11.76628561578076,6.031321110384384e-4,0.024952657978474877,TAG,32527.822387695312,49840.58377075195,50474.82308959961,41021.923248291016,46490.42304992676,49125.06391906738,52147.68330383301,68163.72470092773,157384.07077026367,18804.1612701416
[TG(66:10)|TG(65:3)]_FA18:3,-1.408697853402962,4.876736349112214,11.629706424081178,6.490679836616586e-4,0.026513194725014837,TAG,58509.06289672852,77922.84498596191,78004.8653717041,54752.30349731445,68262.96598815918,60122.24435424805,74848.02575683594,100987.20755004884,238680.97387695312,21056.381454467773
[TG(57:11)|TG(56:4)]_FA20:4,1.5738187504428789,9.104602253376333,11.587077131905971,6.641171254138897e-4,0.026712517225160975,TAG,592154.70068359375,759612.55029296875,2230474.912597656,8954063.809082031,1785906.6938476562,1726353.83203125,616838.263671875,544547.05712890625,784853.87548828125,324038.5205078125
[TG(66:7)]_FA18:0,-1.4051022496369472,4.58457340712312,11.569281496955226,6.705032213318992e-4,0.026712517225160975,TAG,43055.30319213867,68302.80500793457,63309.344818115234,48533.20351409912,56789.14443969727,45264.06265258789,64644.225914001465,89833.6077041626,182807.50924682617,17253.341415405273
[TG(65:0)]_FA18:0,-1.402581059146487,4.541311420077111,11.527088706355244,6.858934312859973e-4,0.026992415887316015,TAG,39862.12252807617,67932.48506164551,62612.4845123291,44173.06336975098,55513.94467163086,45216.06335449219,62575.28463745117,82171.20693969727,181294.70951843265,18392.92127609253
[TG(55:7)|TG(54:0)]_FA20:4,1.5645877741977774,6.536769836081662,11.463199000661913,7.098799418704913e-4,0.027599790029109342,TAG,64009.9045715332,87954.84674072266,239511.59512329104,1101151.716796875,866354.2646484375,489438.41192626953,93980.28689575195,129980.48901367188,107822.50799560548,38433.022720336914
[TG(55:10)|TG(54:3)]_FA18:1,1.561559738328303,12.284293236926889,11.423053473702204,7.253838193017606e-4,0.0278668283915093,TAG,3018289.732421875,3261062.091796875,14899053.809570312,67976102.9765625,46036114,20457025.31640625,4212054.8203125,9058805.5,4833666.279296875,573113.1435546875
[TG(56:10)|TG(55:3)]_FA18:0,1.5559600091893704,6.358922915345482,11.348078981747673,7.552605087034586e-4,0.028673243077483066,TAG,69537.28515625,87332.44580078125,213843.7562866211,1026385.3880615234,703580.6931152344,376872.3681640625,81925.60559082031,114761.12817382812,96502.54724121094,42357.52313232422
PE(44:2),-1.3895068342819739,6.275325307778937,11.310256345426751,7.708012999076578e-4,0.02892297435816293,PE,203966.37282943728,330754.04375457764,125382.7890472412,99648.34731292725,88364.42623901367,98384.16639709473,384771.8673400879,365809.242603302,299767.3603591919,71119.14533233643
FA(27:3),-1.3859160836507758,6.472931092041029,11.25094450457982,7.958250972224066e-4,0.02951870791651386,FA,68174.68487548828,549745.0646057129,308529.5653266907,147833.66981506348,46484.56294250488,19262.461376190186,489673.7473754883,330298.77673339844,415673.9078826904,45375.02368164063
[TG(51:5)]_FA16:1,-1.3826598565291783,6.6074678393608854,11.19726911059843,8.191780204816175e-4,0.03003963036470659,TAG,268795.9761047363,492835.5946044922,123270.80853271484,111816.70697021484,124748.08923339844,88118.74618530273,487019.7970886231,540424.1785888672,338957.8010864258,26470.341918945312
[TG(51:5)]_FA14:0,-1.3805011715818372,5.809494817740496,11.16158156419624,8.350870094037378e-4,0.03027894134096474,TAG,153881.03173828125,247820.57781982425,81817.98571777344,61252.76434326172,73421.205322265625,79889.08532714844,269471.3980102539,312193.8404541016,188528.31427001956,34294.842529296875
