Lipid,Class,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,32220.22254562378,144073.01107406616,48475.983406066895,49439.163635253906,50599.063232421875,38312.822662353516,32873.5220451355,24691.961532592773,32300.022270202637,30083.80215072632,28402.641986846924,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,52082.28335571289,42169.38264846802,64451.98418426514,151543.98889923096,89210.56663894653,61918.36474227905,70929.20533752441,51119.96410369873,132110.53005218506,46688.28359603882,19274.341342926025,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-myristoyl-Cer(d18:1/16:0),Cer,54386.303718566895,80557.88554382324,58228.624572753906,50704.183753967285,50433.8034324646,52282.40361404419,51031.74311065674,29999.60227203369,47704.262954711914,41838.42319107056,43334.30277252197,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-palmitoyl-Cer(d18:1/16:0),Cer,35647.702491760254,75182.80504226685,49120.04314041138,46163.84300994873,45528.64307785034,37671.40256881714,41503.562911987305,30627.382152557373,38626.942794799805,38395.3628578186,50665.82361602783,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-stearoyl-Cer(d18:1/16:0),Cer,40163.10260391235,200401.79188537598,58489.64445877075,65201.24501800537,57285.90365982056,39907.92282104492,41409.22291183472,24739.361751556396,39577.362842559814,37099.262493133545,32940.40257644653,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,31280.902061462402,36101.58243179321,44575.183376312256,82565.64527130127,42070.66318130493,46462.44305038452,36770.78251647949,26529.861740112305,74690.7049446106,34747.30205154419,21537.66153717041,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,10099.880729675293,10180.240703582764,11458.880809783936,12517.040855407715,10831.58073425293,12337.640785217285,10196.060813903809,9660.040676116943,10959.840721130371,10466.840755462646,12759.900817871094,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",CAR,3269997.2236328125,4893907.564453125,4660732.6201171875,4206026.020996094,3740109.5576171875,5415979.7744140625,3846312.8686523438,4968330.218261719,4577722.708984375,4138307.3325195312,2428656.8916015625,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
12:0 Cholesteryl ester,CE,162075.57186889648,185949.39279174805,190370.63200378418,52144.48365020752,51295.14357757568,200241.51499938965,196464.39416503906,191143.31437683105,48828.74309921265,50371.44329452515,158999.98956298828,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
12:0 Cholesteryl ester_2,CE,167308.3116760254,191733.19528198242,180831.03214263916,49434.48342514038,48283.80372619629,185237.65446472168,194796.03422546387,182998.59495544434,46823.283615112305,44904.20314788818,163044.15301513672,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
14:0 Cholesteryl ester,CE,202606.45343017578,94036.70701599121,116114.08819580078,39418.46291732788,37524.18278503418,105610.56730651855,107985.74781799316,168315.25177001953,36109.662437438965,35977.82231903076,85346.74568939209,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
14:1 Cholesteryl ester,CE,199691.31356811523,93316.46569824219,120425.56855773926,37575.38257598877,34715.18257904053,109536.30744934082,108556.44799804688,160008.3309020996,36776.74267196655,35528.5424118042,91728.62675476074,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,247360.9578857422,266253.2185058594,280976.87927246094,103361.62686157227,103570.74768066406,306373.8005371094,299731.0216064453,295858.30310058594,112840.56723022461,105376.86743164062,268696.0985107422,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,CE,252850.63806152344,269787.4794921875,275199.18005371094,109722.42831420898,102070.20748901367,303455.8826904297,299659.14196777344,302988.9415283203,112044.8677368164,106071.48748779297,281328.5203857422,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
15:0 Cholesteryl ester,CE,229352.2568359375,249117.5584716797,268693.6774902344,105126.76776123047,107702.80712890625,266860.19885253906,267613.71813964844,272503.86083984375,114434.50775146484,111157.34732055664,248100.27880859375,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,260590.21728515625,268047.0192871094,298079.80126953125,111455.6879272461,115781.30844116211,297769.2003173828,290351.58154296875,308943.9620361328,124084.7282409668,119824.34848022461,282264.8193359375,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,CE,261740.3193359375,276397.84020996094,290697.8009033203,112282.48760986328,111079.46835327148,301401.74060058594,287615.060546875,309998.6005859375,119055.92895507812,120952.50833129883,287922.24072265625,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
15:1 Cholesteryl ester,CE,259498.01831054688,255651.8582763672,270325.19915771484,111679.74743652344,103642.36712646484,284971.76025390625,274811.8981933594,285592.7198486328,114059.18821716309,115133.86862182617,255572.7781982422,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,104547.70739746094,125639.16746520996,145071.9510192871,181893.13065719604,67114.82503509521,351679.80712890625,393651.00720214844,180673.55206298828,528545.7402648926,78532.20629882812,121273.30940246582,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,CE,108868.50756835938,129753.7692565918,137290.98944091797,186053.9358062744,68740.46430206299,337068.3601837158,390498.6081542969,178450.37184143066,527734.0662574768,75855.20571899414,125768.08905029297,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
16:2 Campesteryl ester,CE,98350.60737609863,120443.98805236816,131431.08966064453,185782.1937828064,66551.36469268799,337974.6212387085,383311.68368530273,173929.8528137207,523835.7752380371,71962.5654296875,117353.56846618652,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,258572.75805664062,269297.05908203125,292214.919921875,110203.26791381836,106837.36743164062,297905.1613769531,287947.70153808594,311092.66162109375,121413.6282043457,118804.1879272461,274790.7999267578,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
16:3 Campesteryl ester,CE,100437.2666015625,118072.24786376953,136457.43032836914,189290.55142974854,64989.22410583496,331275.62284851074,373961.9270172119,172677.89218139648,515711.15589141846,74763.10524368286,114802.70822143555,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
16:3 Cholesteryl ester,CE,242702.83837890625,258914.67810058594,280185.4190673828,113500.16781616211,111255.42819213867,294535.90087890625,284794.66064453125,298385.6613769531,113194.88842773438,113224.94805908203,268572.4782714844,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
16:3 Stigmasteryl ester,CE,140503.76998901367,230125.45840454102,206513.696723938,220924.29370880127,100984.72776794434,411188.2872314453,460511.33279418945,242870.8171234131,562328.8849334717,103573.42597198486,174687.61349487305,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,173129.27224731445,277060.34257507324,237041.23654174805,223447.37371826172,89343.60666656494,499268.83602905273,530913.7354736328,301160.1184692383,602502.1294021606,107037.6085472107,197711.39486694336,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",CE,176152.7712097168,267835.77947998047,236358.41625976562,224382.29598999023,88803.84687805176,479157.2927246094,521070.05615234375,297985.96279907227,599676.2238388062,98678.10720062256,197452.61389160156,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,175306.81085205078,278235.6174316406,244266.57760620117,213606.07862091064,89111.60607910156,485151.77462768555,520088.89291381836,296793.23989868164,562371.0579147339,102937.98823547363,201944.25617980957,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",CE,169233.3512878418,278870.03869628906,241900.73580932617,216516.61446380615,87569.78634643555,482734.01651000977,514852.2113342285,295495.2796020508,571522.3371124268,98115.54702758789,199674.95538330078,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,100099.72714233398,127040.96856689453,131818.60929107666,184913.35300827026,69245.70543670654,346586.8232803345,398959.04804992676,182229.13215637207,539455.1224517822,80697.56628417969,122837.10720825195,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,CE,104714.5871887207,123977.3080444336,138369.3503265381,170765.33235931396,67861.66511154175,330769.7475128174,378362.88427734375,172700.15437316895,506378.65410995483,74885.58505630493,119584.48794555664,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE,175049.87139892578,348423.6258239746,213535.4341430664,67835.50381469727,64241.92467880249,265665.31997680664,250481.35647583008,273335.97845458984,62059.30449676514,64375.98403930664,232670.8377380371,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",CE,179889.05236816406,339962.84579467773,213364.9132080078,68219.18450927734,64514.02480316162,278562.02059936523,251506.4744873047,265981.2977294922,66287.6245727539,65895.02463531494,241449.87837219238,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
18:1 Campesteryl ester,CE,175239.93341064453,268409.1796569824,215967.89556884766,61878.924240112305,62048.54407501221,266465.2412109375,245670.0968322754,280101.3180847168,56779.70411682129,60489.72505187988,225617.7167816162,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,185224.33242797852,288059.8182067871,258973.9764404297,218629.17308807373,95617.1079788208,498600.83795166016,542809.4772644043,318725.1033630371,552400.2912902832,94015.80750274658,224405.7758178711,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
18:3 Campesteryl ester,CE,163275.2911682129,237849.93978881836,197581.23251342773,67581.88467407227,63734.52460479736,237615.17587280273,228000.55624389648,240460.91688537598,57197.34386444092,61311.203605651855,197820.75631713867,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,200000.09326171875,302431.44108581543,274596.4970703125,227412.97649383545,99282.3278427124,507301.73498535156,540377.458404541,337561.1262207031,573815.3596115112,101688.64781570435,254542.46154785156,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",CE,341507.6442871094,514951.9577636719,400920.3483886719,148631.35021972656,134828.8695678711,437464.8122558594,402255.1103515625,402006.4881591797,144071.72985839844,158509.9910888672,328716.4434814453,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",CE,352155.083984375,523589.35998535156,399723.98828125,146718.33074951172,137638.7099609375,431716.41259765625,397131.4901123047,402571.6882324219,148464.85083007812,160089.11193847656,329537.4803466797,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",CAR,1040048.8419189453,1131210.0415039062,1147077.4656982422,1272941.5639648438,1376064.4704589844,1083593.9168701172,1316100.0698242188,1280694.2133789062,1321934.1652832031,1328133.6027832031,1930786.4631347656,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
20:0 Campesteryl ester,CE,679605.6884765625,570926.6004638672,540973.541015625,174167.41290283203,173933.0126953125,726330.0109863281,579660.4241943359,684587.4663085938,186229.01287841797,183809.9330444336,317584.8635253906,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
20:1 Campesteryl ester,CE,676347.5854492188,688799.9445800781,533536.2581787109,168958.17156982422,165176.45068359375,711627.2513427734,574620.6032714844,681386.8842773438,190459.41339111328,188184.5531616211,310572.0031738281,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
