Lipid,Class,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,36692.462463378906,37616.98265457153,47163.46329879761,38684.44284820557,34723.00240325928,36657.50228881836,39095.642879486084,48923.5634727478,37555.882331848145,22294.401321411133,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/16:0),Cer,94097.04789352417,71634.02543640137,152652.411567688,90605.04538345337,95524.1658706665,72723.06428146362,87146.86511993408,155467.693359375,73221.06582641602,49086.90395736694,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/18:0),Cer,24564.40146255493,21907.801445007324,21279.241298675537,21167.64161300659,22350.521404266357,19638.42140197754,19103.36149597168,21265.181526184082,19184.941383361816,32565.38228225708,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/16:0),Cer,77182.18599319458,67614.68476867676,112079.00816345215,75406.60494613647,77170.1263885498,71760.08392715454,66176.30462646484,109173.28615570068,77536.20505905151,104272.36771011353,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/18:0),Cer,261576.97959136963,228328.85834503174,223601.65310287476,227696.1364517212,260292.91549301147,226606.41647338867,224349.4774131775,218882.65203475952,217872.79592895508,544596.580368042,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,36027.762283325195,42948.363021850586,42736.36308288574,30331.58203125,40271.942752838135,48901.74348449707,79985.14546966553,45007.06316757202,38794.08239746094,28402.641986846924,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,84782.36605834961,66330.18539047241,144407.71041107178,81413.10648345947,88004.54573059082,67973.50408935547,83376.7452545166,147981.1301498413,69986.14563369751,19274.341342926025,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
1-O-myristoyl-Cer(d18:1/16:0),Cer,54183.54351043701,53711.363929748535,49155.66358947754,50361.163749694824,48533.30375289917,53109.183780670166,59416.14421081543,49433.40335083008,43722.223094940186,43334.30277252197,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
1-O-palmitoyl-Cer(d18:1/16:0),Cer,42159.56315231323,46103.00323486328,43331.863063812256,40639.18308258057,42280.12342071533,51340.90389251709,57042.14367675781,44925.50315475464,38691.3226890564,50665.82361602783,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
1-O-stearoyl-Cer(d18:1/16:0),Cer,41978.902713775635,47592.20374298096,53856.84366226196,37718.002490997314,45861.98350524902,60920.963722229004,108743.84694671631,58732.24412536621,43761.362968444824,32940.40257644653,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,47917.14291381836,44551.783615112305,79700.04627227783,46306.862968444824,42481.76253890991,46389.883586883545,47993.662883758545,85672.64553451538,45309.76321029663,21537.66153717041,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,11874.980777740479,11112.440662384033,11614.500896453857,10037.64073562622,9886.160655975342,11597.380840301514,10146.580741882324,12243.720832824707,8869.920574188232,12759.900817871094,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",CAR,4612804.606933594,5059683.297363281,5089087.544433594,4672021.863769531,4456442.3203125,4906805.72265625,4376553.2001953125,5851287.732910156,5240845.183105469,2428656.8916015625,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
12:0 Cholesteryl ester,CE,206443.9545135498,187842.8329925537,54702.864181518555,53449.14390563965,197889.75340270996,192208.85467529297,196251.07221984863,46403.643058776855,45492.56311035156,158999.98956298828,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
12:0 Cholesteryl ester_2,CE,198899.35383605957,189600.57427978516,50913.96357727051,49618.86361312866,188985.39365386963,191529.11226654053,181537.25415039062,43779.26319885254,49127.3635559082,163044.15301513672,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
14:0 Cholesteryl ester,CE,107908.76762390137,103784.52690124512,43653.82319641113,49058.56335067749,107592.74710083008,111948.30752563477,95863.90637207031,37085.942611694336,34170.76250457764,85346.74568939209,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
14:1 Cholesteryl ester,CE,101516.40711975098,103069.94741821289,42685.24269104004,45816.14336395264,105616.70771789551,114755.32794189453,89815.82641601562,36128.2225151062,35097.92267227173,91728.62675476074,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,289878.5213623047,287886.201171875,121756.28823852539,94190.34649658203,344296.18408203125,322049.3430175781,282733.9587402344,111289.70825195312,97976.74700927734,268696.0985107422,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,CE,292477.3010253906,290238.64123535156,120988.00839233398,93845.26657104492,339298.6618652344,310006.2232055664,279367.6589355469,109775.18774414062,90888.4663696289,281328.5203857422,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
15:0 Cholesteryl ester,CE,259193.8380126953,259023.73706054688,110598.20782470703,99013.02743530273,266142.63873291016,262806.1593017578,247914.3380126953,100862.94711303711,93542.90643310547,248100.27880859375,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,296957.74169921875,290135.00103759766,120349.36853027344,108678.26788330078,325613.7829589844,314207.48400878906,285182.6004638672,111228.06823730469,104504.52752685547,282264.8193359375,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,CE,299675.64099121094,298718.8214111328,121086.38803100586,111295.56848144531,332167.22412109375,320285.1428222656,290290.8615722656,109240.58813476562,110252.7873840332,287922.24072265625,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
15:1 Cholesteryl ester,CE,268055.0593261719,267581.09765625,112505.00863647461,97831.46688842773,268890.8377685547,271941.56005859375,254635.35803222656,99233.0864868164,98567.50695800781,255572.7781982422,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,482661.26905822754,230368.095413208,157669.31104660034,44475.383281707764,599021.1501617432,364204.10803222656,448713.8888244629,151944.7908821106,56299.903301239014,121273.30940246582,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,CE,457017.1744232178,232697.2156829834,162404.1529197693,42214.92322540283,609993.4200134277,360084.2857208252,463799.4299316406,156451.45086669922,55858.1439781189,125768.08905029297,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
16:2 Campesteryl ester,CE,468778.72998046875,229844.91590881348,165206.61423492432,43435.38317108154,625300.3235015869,333241.1462402344,437722.5107727051,152684.90951156616,56317.044551849365,117353.56846618652,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,286850.72009277344,293157.0216064453,113731.94830322266,101456.2074584961,318423.20361328125,314303.2229003906,291071.2001953125,108236.02865600586,103669.72769165039,274790.7999267578,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
16:3 Campesteryl ester,CE,456562.51862335205,217033.97341918945,160582.991481781,41053.32256317139,615577.7465820312,344850.82232666016,433388.474029541,157380.9925956726,58418.86434555054,114802.70822143555,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
16:3 Cholesteryl ester,CE,273550.51916503906,280845.88049316406,118023.78784179688,104182.76788330078,310266.3620605469,293686.3809814453,270211.9997558594,109016.26788330078,102616.72705078125,268572.4782714844,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
16:3 Stigmasteryl ester,CE,542890.2322692871,303466.01583862305,177535.57064819336,70479.92538833618,727697.5627822876,427144.43183898926,529747.2166748047,192696.09077453613,87870.18571090698,174687.61349487305,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,609582.4785461426,339927.88663482666,196164.55129241943,63067.42455291748,855093.6213684082,510967.8601989746,612365.7075805664,204385.93420410156,84979.48628616333,197711.39486694336,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",CE,612892.9210205078,352186.2632141113,199214.2363128662,66339.54444122314,852660.2135925293,521878.4792175293,601565.9233398438,199647.81414794922,89481.14645385742,197452.61389160156,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,604201.1010437012,344977.4267883301,195620.6760406494,66619.54499816895,842930.1578979492,510275.13067626953,586323.5788574219,197720.9366455078,81592.54598236084,201944.25617980957,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",CE,601233.5832366943,331640.3845214844,200966.05520629883,63674.6642036438,862067.712310791,517304.19201660156,595576.9428405762,204358.05494308472,83035.78645706177,199674.95538330078,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,471428.01194763184,218880.09548187256,165967.61249160767,46261.54291534424,611723.5156555176,350131.3035583496,446275.3489227295,159345.89164733887,60428.163719177246,122837.10720825195,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,CE,460792.76985168457,206078.07276916504,160566.41161346436,45343.343311309814,597038.2792663574,335558.16551208496,423873.5100250244,151612.76976776123,55816.66398239136,119584.48794555664,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE,278488.0610809326,250274.46084594727,88312.66635894775,66861.42481994629,579479.3815917969,415102.8081359863,312724.2644042969,103781.74765777588,79692.8857498169,232670.8377380371,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",CE,273423.89978027344,259398.0389404297,92443.26620483398,70337.48574829102,581549.4797363281,415805.8867492676,298301.0598449707,106387.14749145508,80918.7451248169,241449.87837219238,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
18:1 Campesteryl ester,CE,263904.27825927734,252689.3544921875,82409.8259010315,56984.78404998779,455285.64990234375,356218.5864562988,290367.66189575195,90191.30676269531,66857.70453643799,225617.7167816162,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,604406.4444274902,375458.106048584,202646.07228851318,67644.66412353516,840616.2183532715,529500.3120422363,600648.3408966064,201127.7946472168,78328.40519714355,224405.7758178711,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
18:3 Campesteryl ester,CE,233462.63381958008,232237.91787719727,76780.36492156982,65536.76523590088,349060.78579711914,310821.30099487305,245531.99661254883,79602.82596588135,67994.36478424072,197820.75631713867,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,619175.6261291504,365628.6613922119,202318.07664489746,71515.98536682129,850813.5699462891,552733.6976013184,620345.5288085938,201715.55276489258,91518.96710586548,254542.46154785156,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",CE,447091.57263183594,447873.4123535156,205471.35342407227,140569.51007080078,738547.298828125,590154.2624511719,468987.13415527344,208501.35400390625,149831.62994384766,328716.4434814453,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",CE,443882.2932128906,452466.95568847656,199821.99346923828,138753.42993164062,721592.5570068359,591230.9625244141,457069.5925292969,204910.27416992188,155575.15103149414,329537.4803466797,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",CAR,1195290.8078613281,1194065.662109375,1239282.0832519531,1133090.1042480469,1342165.8034667969,1293608.794555664,1232293.98046875,1205931.8406982422,1154733.269897461,1930786.4631347656,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
20:0 Campesteryl ester,CE,1051954.5400390625,802405.3129882812,404391.10778808594,333963.88360595703,4539166.369384766,2738800.2377929688,1488004.1958007812,631150.6455078125,367630.4270629883,317584.8635253906,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
20:1 Campesteryl ester,CE,1035268.6345214844,770815.9124755859,390393.90771484375,324425.34533691406,4235422.83215332,2598765.4096679688,1407519.564819336,627173.1862182617,362508.36560058594,310572.0031738281,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",CE,445063.4099121094,438793.0089111328,196959.51458740234,143887.10974121094,741543.9924316406,592514.7603759766,463263.3770751953,213167.83587646484,152485.4100341797,336350.2844238281,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",CE,442481.47216796875,434864.95373535156,198226.1947631836,142786.26989746094,715989.0925292969,571387.8460693359,452535.7111816406,214638.8768310547,156924.85137939453,332064.9237060547,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
