Lipid,Class,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,29398.342208862305,33126.942710876465,46202.783599853516,39305.7628326416,36187.022552490234,36692.462463378906,37616.98265457153,47163.46329879761,38684.44284820557,22294.401321411133,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/16:0),Cer,68731.26498031616,46299.72317123413,75554.60557937622,168528.36987304688,99853.7479057312,94097.04789352417,71634.02543640137,152652.411567688,90605.04538345337,49086.90395736694,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/18:0),Cer,23379.941871643066,18910.121425628662,23674.221508026123,19387.241500854492,22414.021717071533,24564.40146255493,21907.801445007324,21279.241298675537,21167.64161300659,32565.38228225708,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/16:0),Cer,80859.80527496338,67606.82591247559,69276.28416442871,121797.58711624146,102118.72706985474,77182.18599319458,67614.68476867676,112079.00816345215,75406.60494613647,104272.36771011353,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/18:0),Cer,286598.67964172363,210867.73253631592,259933.4981918335,272286.04024124146,300706.4411582947,261576.97959136963,228328.85834503174,223601.65310287476,227696.1364517212,544596.580368042,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,32220.22254562378,144073.01107406616,48475.983406066895,49439.163635253906,50599.063232421875,36027.762283325195,42948.363021850586,42736.36308288574,30331.58203125,28402.641986846924,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,52082.28335571289,42169.38264846802,64451.98418426514,151543.98889923096,89210.56663894653,84782.36605834961,66330.18539047241,144407.71041107178,81413.10648345947,19274.341342926025,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
1-O-myristoyl-Cer(d18:1/16:0),Cer,54386.303718566895,80557.88554382324,58228.624572753906,50704.183753967285,50433.8034324646,54183.54351043701,53711.363929748535,49155.66358947754,50361.163749694824,43334.30277252197,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
1-O-palmitoyl-Cer(d18:1/16:0),Cer,35647.702491760254,75182.80504226685,49120.04314041138,46163.84300994873,45528.64307785034,42159.56315231323,46103.00323486328,43331.863063812256,40639.18308258057,50665.82361602783,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
1-O-stearoyl-Cer(d18:1/16:0),Cer,40163.10260391235,200401.79188537598,58489.64445877075,65201.24501800537,57285.90365982056,41978.902713775635,47592.20374298096,53856.84366226196,37718.002490997314,32940.40257644653,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,31280.902061462402,36101.58243179321,44575.183376312256,82565.64527130127,42070.66318130493,47917.14291381836,44551.783615112305,79700.04627227783,46306.862968444824,21537.66153717041,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,10099.880729675293,10180.240703582764,11458.880809783936,12517.040855407715,10831.58073425293,11874.980777740479,11112.440662384033,11614.500896453857,10037.64073562622,12759.900817871094,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",CAR,3269997.2236328125,4893907.564453125,4660732.6201171875,4206026.020996094,3740109.5576171875,4612804.606933594,5059683.297363281,5089087.544433594,4672021.863769531,2428656.8916015625,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
12:0 Cholesteryl ester,CE,162075.57186889648,185949.39279174805,190370.63200378418,52144.48365020752,51295.14357757568,206443.9545135498,187842.8329925537,54702.864181518555,53449.14390563965,158999.98956298828,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
12:0 Cholesteryl ester_2,CE,167308.3116760254,191733.19528198242,180831.03214263916,49434.48342514038,48283.80372619629,198899.35383605957,189600.57427978516,50913.96357727051,49618.86361312866,163044.15301513672,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
14:0 Cholesteryl ester,CE,202606.45343017578,94036.70701599121,116114.08819580078,39418.46291732788,37524.18278503418,107908.76762390137,103784.52690124512,43653.82319641113,49058.56335067749,85346.74568939209,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
14:1 Cholesteryl ester,CE,199691.31356811523,93316.46569824219,120425.56855773926,37575.38257598877,34715.18257904053,101516.40711975098,103069.94741821289,42685.24269104004,45816.14336395264,91728.62675476074,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,247360.9578857422,266253.2185058594,280976.87927246094,103361.62686157227,103570.74768066406,289878.5213623047,287886.201171875,121756.28823852539,94190.34649658203,268696.0985107422,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,CE,252850.63806152344,269787.4794921875,275199.18005371094,109722.42831420898,102070.20748901367,292477.3010253906,290238.64123535156,120988.00839233398,93845.26657104492,281328.5203857422,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
15:0 Cholesteryl ester,CE,229352.2568359375,249117.5584716797,268693.6774902344,105126.76776123047,107702.80712890625,259193.8380126953,259023.73706054688,110598.20782470703,99013.02743530273,248100.27880859375,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,260590.21728515625,268047.0192871094,298079.80126953125,111455.6879272461,115781.30844116211,296957.74169921875,290135.00103759766,120349.36853027344,108678.26788330078,282264.8193359375,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,CE,261740.3193359375,276397.84020996094,290697.8009033203,112282.48760986328,111079.46835327148,299675.64099121094,298718.8214111328,121086.38803100586,111295.56848144531,287922.24072265625,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
15:1 Cholesteryl ester,CE,259498.01831054688,255651.8582763672,270325.19915771484,111679.74743652344,103642.36712646484,268055.0593261719,267581.09765625,112505.00863647461,97831.46688842773,255572.7781982422,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,104547.70739746094,125639.16746520996,145071.9510192871,181893.13065719604,67114.82503509521,482661.26905822754,230368.095413208,157669.31104660034,44475.383281707764,121273.30940246582,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,CE,108868.50756835938,129753.7692565918,137290.98944091797,186053.9358062744,68740.46430206299,457017.1744232178,232697.2156829834,162404.1529197693,42214.92322540283,125768.08905029297,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
16:2 Campesteryl ester,CE,98350.60737609863,120443.98805236816,131431.08966064453,185782.1937828064,66551.36469268799,468778.72998046875,229844.91590881348,165206.61423492432,43435.38317108154,117353.56846618652,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,258572.75805664062,269297.05908203125,292214.919921875,110203.26791381836,106837.36743164062,286850.72009277344,293157.0216064453,113731.94830322266,101456.2074584961,274790.7999267578,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
16:3 Campesteryl ester,CE,100437.2666015625,118072.24786376953,136457.43032836914,189290.55142974854,64989.22410583496,456562.51862335205,217033.97341918945,160582.991481781,41053.32256317139,114802.70822143555,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
16:3 Cholesteryl ester,CE,242702.83837890625,258914.67810058594,280185.4190673828,113500.16781616211,111255.42819213867,273550.51916503906,280845.88049316406,118023.78784179688,104182.76788330078,268572.4782714844,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
16:3 Stigmasteryl ester,CE,140503.76998901367,230125.45840454102,206513.696723938,220924.29370880127,100984.72776794434,542890.2322692871,303466.01583862305,177535.57064819336,70479.92538833618,174687.61349487305,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,173129.27224731445,277060.34257507324,237041.23654174805,223447.37371826172,89343.60666656494,609582.4785461426,339927.88663482666,196164.55129241943,63067.42455291748,197711.39486694336,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",CE,176152.7712097168,267835.77947998047,236358.41625976562,224382.29598999023,88803.84687805176,612892.9210205078,352186.2632141113,199214.2363128662,66339.54444122314,197452.61389160156,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,175306.81085205078,278235.6174316406,244266.57760620117,213606.07862091064,89111.60607910156,604201.1010437012,344977.4267883301,195620.6760406494,66619.54499816895,201944.25617980957,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",CE,169233.3512878418,278870.03869628906,241900.73580932617,216516.61446380615,87569.78634643555,601233.5832366943,331640.3845214844,200966.05520629883,63674.6642036438,199674.95538330078,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,100099.72714233398,127040.96856689453,131818.60929107666,184913.35300827026,69245.70543670654,471428.01194763184,218880.09548187256,165967.61249160767,46261.54291534424,122837.10720825195,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,CE,104714.5871887207,123977.3080444336,138369.3503265381,170765.33235931396,67861.66511154175,460792.76985168457,206078.07276916504,160566.41161346436,45343.343311309814,119584.48794555664,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE,175049.87139892578,348423.6258239746,213535.4341430664,67835.50381469727,64241.92467880249,278488.0610809326,250274.46084594727,88312.66635894775,66861.42481994629,232670.8377380371,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",CE,179889.05236816406,339962.84579467773,213364.9132080078,68219.18450927734,64514.02480316162,273423.89978027344,259398.0389404297,92443.26620483398,70337.48574829102,241449.87837219238,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
18:1 Campesteryl ester,CE,175239.93341064453,268409.1796569824,215967.89556884766,61878.924240112305,62048.54407501221,263904.27825927734,252689.3544921875,82409.8259010315,56984.78404998779,225617.7167816162,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,185224.33242797852,288059.8182067871,258973.9764404297,218629.17308807373,95617.1079788208,604406.4444274902,375458.106048584,202646.07228851318,67644.66412353516,224405.7758178711,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
18:3 Campesteryl ester,CE,163275.2911682129,237849.93978881836,197581.23251342773,67581.88467407227,63734.52460479736,233462.63381958008,232237.91787719727,76780.36492156982,65536.76523590088,197820.75631713867,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,200000.09326171875,302431.44108581543,274596.4970703125,227412.97649383545,99282.3278427124,619175.6261291504,365628.6613922119,202318.07664489746,71515.98536682129,254542.46154785156,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",CE,341507.6442871094,514951.9577636719,400920.3483886719,148631.35021972656,134828.8695678711,447091.57263183594,447873.4123535156,205471.35342407227,140569.51007080078,328716.4434814453,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",CE,352155.083984375,523589.35998535156,399723.98828125,146718.33074951172,137638.7099609375,443882.2932128906,452466.95568847656,199821.99346923828,138753.42993164062,329537.4803466797,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",CAR,1040048.8419189453,1131210.0415039062,1147077.4656982422,1272941.5639648438,1376064.4704589844,1195290.8078613281,1194065.662109375,1239282.0832519531,1133090.1042480469,1930786.4631347656,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
20:0 Campesteryl ester,CE,679605.6884765625,570926.6004638672,540973.541015625,174167.41290283203,173933.0126953125,1051954.5400390625,802405.3129882812,404391.10778808594,333963.88360595703,317584.8635253906,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
20:1 Campesteryl ester,CE,676347.5854492188,688799.9445800781,533536.2581787109,168958.17156982422,165176.45068359375,1035268.6345214844,770815.9124755859,390393.90771484375,324425.34533691406,310572.0031738281,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",CE,347684.2236328125,502197.97314453125,419090.47009277344,148990.13116455078,136796.1903076172,445063.4099121094,438793.0089111328,196959.51458740234,143887.10974121094,336350.2844238281,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",CE,339358.6844482422,501408.71350097656,406331.3693847656,155499.97149658203,139269.41015625,442481.47216796875,434864.95373535156,198226.1947631836,142786.26989746094,332064.9237060547,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
