Lipid,Class,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
1-O-carboceroyl-Cer(d18:1/16:0),Cer,94097.04789352417,71634.02543640137,152652.411567688,90605.04538345337,63292.42442703247,81261.78657150269,59303.043910980225,157176.4503211975,59104.12437057495,49086.90395736694,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/18:0),Cer,24564.40146255493,21907.801445007324,21279.241298675537,21167.64161300659,23518.86159515381,24620.981536865234,18542.74126815796,20872.98154449463,19351.66135406494,32565.38228225708,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/16:0),Cer,77182.18599319458,67614.68476867676,112079.00816345215,75406.60494613647,71531.56502151489,94600.40604019165,48290.72343444824,129686.40884780884,90206.18699645996,104272.36771011353,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/18:0),Cer,261576.97959136963,228328.85834503174,223601.65310287476,227696.1364517212,242689.6378440857,319763.26332473755,188144.5944366455,290259.72340393066,254315.69579315186,544596.580368042,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,36027.762283325195,42948.363021850586,42736.36308288574,30331.58203125,38312.822662353516,32873.5220451355,24691.961532592773,32300.022270202637,30083.80215072632,28402.641986846924,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,84782.36605834961,66330.18539047241,144407.71041107178,81413.10648345947,61918.36474227905,70929.20533752441,51119.96410369873,132110.53005218506,46688.28359603882,19274.341342926025,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
1-O-myristoyl-Cer(d18:1/16:0),Cer,54183.54351043701,53711.363929748535,49155.66358947754,50361.163749694824,52282.40361404419,51031.74311065674,29999.60227203369,47704.262954711914,41838.42319107056,43334.30277252197,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
1-O-palmitoyl-Cer(d18:1/16:0),Cer,42159.56315231323,46103.00323486328,43331.863063812256,40639.18308258057,37671.40256881714,41503.562911987305,30627.382152557373,38626.942794799805,38395.3628578186,50665.82361602783,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
1-O-stearoyl-Cer(d18:1/16:0),Cer,41978.902713775635,47592.20374298096,53856.84366226196,37718.002490997314,39907.92282104492,41409.22291183472,24739.361751556396,39577.362842559814,37099.262493133545,32940.40257644653,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,47917.14291381836,44551.783615112305,79700.04627227783,46306.862968444824,46462.44305038452,36770.78251647949,26529.861740112305,74690.7049446106,34747.30205154419,21537.66153717041,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,11874.980777740479,11112.440662384033,11614.500896453857,10037.64073562622,12337.640785217285,10196.060813903809,9660.040676116943,10959.840721130371,10466.840755462646,12759.900817871094,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",CAR,4612804.606933594,5059683.297363281,5089087.544433594,4672021.863769531,5415979.7744140625,3846312.8686523438,4968330.218261719,4577722.708984375,4138307.3325195312,2428656.8916015625,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
12:0 Cholesteryl ester,CE,206443.9545135498,187842.8329925537,54702.864181518555,53449.14390563965,200241.51499938965,196464.39416503906,191143.31437683105,48828.74309921265,50371.44329452515,158999.98956298828,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
12:0 Cholesteryl ester_2,CE,198899.35383605957,189600.57427978516,50913.96357727051,49618.86361312866,185237.65446472168,194796.03422546387,182998.59495544434,46823.283615112305,44904.20314788818,163044.15301513672,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
14:0 Cholesteryl ester,CE,107908.76762390137,103784.52690124512,43653.82319641113,49058.56335067749,105610.56730651855,107985.74781799316,168315.25177001953,36109.662437438965,35977.82231903076,85346.74568939209,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
14:1 Cholesteryl ester,CE,101516.40711975098,103069.94741821289,42685.24269104004,45816.14336395264,109536.30744934082,108556.44799804688,160008.3309020996,36776.74267196655,35528.5424118042,91728.62675476074,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,289878.5213623047,287886.201171875,121756.28823852539,94190.34649658203,306373.8005371094,299731.0216064453,295858.30310058594,112840.56723022461,105376.86743164062,268696.0985107422,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,CE,292477.3010253906,290238.64123535156,120988.00839233398,93845.26657104492,303455.8826904297,299659.14196777344,302988.9415283203,112044.8677368164,106071.48748779297,281328.5203857422,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
15:0 Cholesteryl ester,CE,259193.8380126953,259023.73706054688,110598.20782470703,99013.02743530273,266860.19885253906,267613.71813964844,272503.86083984375,114434.50775146484,111157.34732055664,248100.27880859375,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,296957.74169921875,290135.00103759766,120349.36853027344,108678.26788330078,297769.2003173828,290351.58154296875,308943.9620361328,124084.7282409668,119824.34848022461,282264.8193359375,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,CE,299675.64099121094,298718.8214111328,121086.38803100586,111295.56848144531,301401.74060058594,287615.060546875,309998.6005859375,119055.92895507812,120952.50833129883,287922.24072265625,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
15:1 Cholesteryl ester,CE,268055.0593261719,267581.09765625,112505.00863647461,97831.46688842773,284971.76025390625,274811.8981933594,285592.7198486328,114059.18821716309,115133.86862182617,255572.7781982422,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,482661.26905822754,230368.095413208,157669.31104660034,44475.383281707764,351679.80712890625,393651.00720214844,180673.55206298828,528545.7402648926,78532.20629882812,121273.30940246582,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,CE,457017.1744232178,232697.2156829834,162404.1529197693,42214.92322540283,337068.3601837158,390498.6081542969,178450.37184143066,527734.0662574768,75855.20571899414,125768.08905029297,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
16:2 Campesteryl ester,CE,468778.72998046875,229844.91590881348,165206.61423492432,43435.38317108154,337974.6212387085,383311.68368530273,173929.8528137207,523835.7752380371,71962.5654296875,117353.56846618652,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,286850.72009277344,293157.0216064453,113731.94830322266,101456.2074584961,297905.1613769531,287947.70153808594,311092.66162109375,121413.6282043457,118804.1879272461,274790.7999267578,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
16:3 Campesteryl ester,CE,456562.51862335205,217033.97341918945,160582.991481781,41053.32256317139,331275.62284851074,373961.9270172119,172677.89218139648,515711.15589141846,74763.10524368286,114802.70822143555,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
16:3 Cholesteryl ester,CE,273550.51916503906,280845.88049316406,118023.78784179688,104182.76788330078,294535.90087890625,284794.66064453125,298385.6613769531,113194.88842773438,113224.94805908203,268572.4782714844,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
16:3 Stigmasteryl ester,CE,542890.2322692871,303466.01583862305,177535.57064819336,70479.92538833618,411188.2872314453,460511.33279418945,242870.8171234131,562328.8849334717,103573.42597198486,174687.61349487305,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,609582.4785461426,339927.88663482666,196164.55129241943,63067.42455291748,499268.83602905273,530913.7354736328,301160.1184692383,602502.1294021606,107037.6085472107,197711.39486694336,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",CE,612892.9210205078,352186.2632141113,199214.2363128662,66339.54444122314,479157.2927246094,521070.05615234375,297985.96279907227,599676.2238388062,98678.10720062256,197452.61389160156,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,604201.1010437012,344977.4267883301,195620.6760406494,66619.54499816895,485151.77462768555,520088.89291381836,296793.23989868164,562371.0579147339,102937.98823547363,201944.25617980957,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",CE,601233.5832366943,331640.3845214844,200966.05520629883,63674.6642036438,482734.01651000977,514852.2113342285,295495.2796020508,571522.3371124268,98115.54702758789,199674.95538330078,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,471428.01194763184,218880.09548187256,165967.61249160767,46261.54291534424,346586.8232803345,398959.04804992676,182229.13215637207,539455.1224517822,80697.56628417969,122837.10720825195,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,CE,460792.76985168457,206078.07276916504,160566.41161346436,45343.343311309814,330769.7475128174,378362.88427734375,172700.15437316895,506378.65410995483,74885.58505630493,119584.48794555664,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE,278488.0610809326,250274.46084594727,88312.66635894775,66861.42481994629,265665.31997680664,250481.35647583008,273335.97845458984,62059.30449676514,64375.98403930664,232670.8377380371,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",CE,273423.89978027344,259398.0389404297,92443.26620483398,70337.48574829102,278562.02059936523,251506.4744873047,265981.2977294922,66287.6245727539,65895.02463531494,241449.87837219238,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
18:1 Campesteryl ester,CE,263904.27825927734,252689.3544921875,82409.8259010315,56984.78404998779,266465.2412109375,245670.0968322754,280101.3180847168,56779.70411682129,60489.72505187988,225617.7167816162,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,604406.4444274902,375458.106048584,202646.07228851318,67644.66412353516,498600.83795166016,542809.4772644043,318725.1033630371,552400.2912902832,94015.80750274658,224405.7758178711,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
18:3 Campesteryl ester,CE,233462.63381958008,232237.91787719727,76780.36492156982,65536.76523590088,237615.17587280273,228000.55624389648,240460.91688537598,57197.34386444092,61311.203605651855,197820.75631713867,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,619175.6261291504,365628.6613922119,202318.07664489746,71515.98536682129,507301.73498535156,540377.458404541,337561.1262207031,573815.3596115112,101688.64781570435,254542.46154785156,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",CE,447091.57263183594,447873.4123535156,205471.35342407227,140569.51007080078,437464.8122558594,402255.1103515625,402006.4881591797,144071.72985839844,158509.9910888672,328716.4434814453,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",CE,443882.2932128906,452466.95568847656,199821.99346923828,138753.42993164062,431716.41259765625,397131.4901123047,402571.6882324219,148464.85083007812,160089.11193847656,329537.4803466797,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",CAR,1195290.8078613281,1194065.662109375,1239282.0832519531,1133090.1042480469,1083593.9168701172,1316100.0698242188,1280694.2133789062,1321934.1652832031,1328133.6027832031,1930786.4631347656,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
20:0 Campesteryl ester,CE,1051954.5400390625,802405.3129882812,404391.10778808594,333963.88360595703,726330.0109863281,579660.4241943359,684587.4663085938,186229.01287841797,183809.9330444336,317584.8635253906,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
20:1 Campesteryl ester,CE,1035268.6345214844,770815.9124755859,390393.90771484375,324425.34533691406,711627.2513427734,574620.6032714844,681386.8842773438,190459.41339111328,188184.5531616211,310572.0031738281,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",CE,445063.4099121094,438793.0089111328,196959.51458740234,143887.10974121094,441135.7902832031,413777.43029785156,411261.06884765625,157066.20965576172,160391.5714111328,336350.2844238281,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",CE,442481.47216796875,434864.95373535156,198226.1947631836,142786.26989746094,427770.54821777344,412817.9084472656,404912.9471435547,156799.3109741211,164944.91046142578,332064.9237060547,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
20:3 Campesteryl ester,CE,690644.8483886719,670642.0698242188,303552.1791381836,338287.26470947266,651394.2424316406,620419.2241210938,818735.2111816406,256280.87823486328,276048.0584716797,532591.3153076172,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",CE,373994.6680908203,377226.9892578125,181923.79260253906,143761.37060546875,364076.984375,342376.0046386719,346876.38415527344,141291.849609375,159077.29052734375,281844.6805419922,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
