lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD73m2_500x_N1__liverLD__8_8_23_x,FAD131m1_500x_N1__liverLD__8_8_23_x,FAD131m2_500x_N1__liverLD__8_8_23_x,FAD131m4_500x_N1__liverLD__8_8_23_x,FAD173m1_500x_N1__liverLD__8_8_23_x,DOD73m2_500x_N1__liverLD__8_8_23_y,FAD131m1_500x_N1__liverLD__8_8_23_y,FAD131m2_500x_N1__liverLD__8_8_23_y,FAD131m4_500x_N1__liverLD__8_8_23_y,FAD173m1_500x_N1__liverLD__8_8_23_y,Blank_500x_N1__liverLD__8_8_23
1-O-lignoceroyl-Cer(d18:1/16:0),0,6.875721592048166,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Cer,1793.0601272583008,2008.6001434326172,1715.8201179504397,1944.8001327514648,1781.4201164245603,1793.0601272583008,2008.6001434326172,1715.8201179504397,1944.8001327514648,1781.4201164245603,1810.0001373291016
1-O-myristoyl-Cer(d18:1/16:0),0,6.821290686148669,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Cer,1802.6801300048828,1873.5201416015625,1669.1401176452637,1828.760139465332,1688.980125427246,1802.6801300048828,1873.5201416015625,1669.1401176452637,1828.760139465332,1688.980125427246,1815.600128173828
1-O-palmitoyl-Cer(d18:1/16:0),0,6.877226055378957,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Cer,1863.300148010254,1792.7001190185547,1891.720127105713,1788.6401290893557,1857.9601402282717,1863.300148010254,1792.7001190185547,1891.720127105713,1788.6401290893557,1857.9601402282717,1922.420146942139
1-O-stearoyl-Cer(d18:1/16:0),0,6.845693428116918,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Cer,1769.8401222229004,1807.3401260375977,1701.8201179504397,1826.1601295471191,1900.3001289367676,1769.8401222229004,1807.3401260375977,1701.8201179504397,1826.1601295471191,1900.3001289367676,1860.340133666992
1-O-tricosanoyl-Cer(d18:1/16:0),0,8.534731871900052,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Cer,8216.10073852539,8209.980533599854,2559.0201721191406,2068.580139160156,10250.240600585938,8216.10073852539,8209.980533599854,2559.0201721191406,2068.580139160156,10250.240600585938,1714.720115661621
1-O-tricosanoyl-Cer(d18:1/18:0),0,6.752777969691991,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Cer,1689.6201210021973,1686.2401313781738,1693.0801391601562,1686.6601295471191,1713.180118560791,1689.6201210021973,1686.2401313781738,1693.0801391601562,1686.6601295471191,1713.180118560791,1695.3201217651367
14:0 Cholesteryl ester,0,9.449633137748766,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,10052.84069442749,11945.800876617432,11640.64081954956,10284.060752868652,10945.100769042969,10052.84069442749,11945.800876617432,11640.64081954956,10284.060752868652,10945.100769042969,11244.780765533447
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,0,10.030527204421567,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,16486.081218719482,15311.101108551024,17561.821308135986,17056.68120956421,16481.281227111816,16486.081218719482,15311.101108551024,17561.821308135986,17056.68120956421,16481.281227111816,15103.381072998049
15:0 Cholesteryl ester,0,9.396302848765956,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,10874.340755462646,10458.340728759766,11052.460815429688,10360.64070892334,10476.920707702637,10874.340755462646,10458.340728759766,11052.460815429688,10360.64070892334,10476.920707702637,10115.340724945068
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,0,10.447302659251209,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,20336.40142059326,23602.90170288086,23726.781665802,22505.321563720703,21550.041522979736,20336.40142059326,23602.90170288086,23726.781665802,22505.321563720703,21550.041522979736,18229.441314697266
15:1 Cholesteryl ester,0,9.388853270066225,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,10741.840732574465,10239.020755767822,10431.480724334717,10876.82075881958,10540.300720214844,10741.840732574465,10239.020755767822,10431.480724334717,10876.82075881958,10540.300720214844,10276.380741119385
16:0 Campesteryl ester | 17:0 Cholesteryl ester,0,9.395322089197782,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,10640.70071029663,10823.00075149536,10837.680778503418,10565.860748291016,10096.240684509276,10640.70071029663,10823.00075149536,10837.680778503418,10565.860748291016,10096.240684509276,10554.220748901367
"16:2 Cholesteryl ester, zymosteryl palmitoleate",0,9.257305926248248,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,9888.660675048828,9064.26063156128,9889.220691680908,9017.660614013672,10166.32069015503,9888.660675048828,9064.26063156128,9889.220691680908,9017.660614013672,10166.32069015503,9770.260646820068
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",0,9.91312172471783,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,14709.421012878418,15681.02112197876,15762.041149139404,14904.241035461426,14789.661037445068,14709.421012878418,15681.02112197876,15762.041149139404,14904.241035461426,14789.661037445068,15102.501056671144
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",0,11.130646743066855,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,26728.861919403076,41525.44277191162,39880.4026260376,38525.48285675049,38519.90280914307,26728.861919403076,41525.44277191162,39880.4026260376,38525.48285675049,38519.90280914307,18138.161308288574
17:1 Cholesteryl ester; 16:1 Campesteryl ester,0,9.341725854783538,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,11128.860759735107,9706.080684661863,10175.860725402832,10130.38074874878,9692.50066757202,11128.860759735107,9706.080684661863,10175.860725402832,10130.38074874878,9692.50066757202,10526.400749206545
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",0,11.392878612495503,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,39578.082706451416,47635.123374938965,31872.242237091064,44908.16316604614,63846.58479309082,39578.082706451416,47635.123374938965,31872.242237091064,44908.16316604614,63846.58479309082,10255.52070236206
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",0,9.694035267745868,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,13062.680919647217,13973.520977020264,12106.640914916992,13831.981033325195,13908.720901489258,13062.680919647217,13973.520977020264,12106.640914916992,13831.981033325195,13908.720901489258,9596.980686187744
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",0,9.331001003120011,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,10370.0407371521,9993.320697784424,10477.040775299072,9249.400661468506,10632.00075149536,10370.0407371521,9993.320697784424,10477.040775299072,9249.400661468506,10632.00075149536,9955.600715637209
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",0,9.322408866963027,6.480149750132114e-12,0.9999979688940306,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,8934.960624694824,10845.760749816896,9908.240699768066,10194.440761566162,11125.84077835083,8934.960624694824,10845.760749816896,9908.240699768066,10194.440761566162,11125.84077835083,8762.920654296875
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",0,10.413114102970548,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,21017.161445617676,22131.501747131348,20237.80131912231,23239.541675567627,26787.502017974857,21017.161445617676,22131.501747131348,20237.80131912231,23239.541675567627,26787.502017974857,9296.26068496704
20:5 Cholesteryl ester,0,9.710284010560041,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,12772.160919189451,13479.46099472046,12605.320850372314,15143.181037902832,12206.300792694092,12772.160919189451,13479.46099472046,12605.320850372314,15143.181037902832,12206.300792694092,12476.880939483644
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",0,9.31215201034193,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,10460.900741577148,10370.700695037842,9856.000675201416,9399.76070022583,10036.360691070557,10460.900741577148,10370.700695037842,9856.000675201416,9399.76070022583,10036.360691070557,9720.780685424805
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",0,9.19091489036938,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,9503.700653076172,9786.04067993164,8990.300636291504,8816.700626373291,8819.180606842041,9503.700653076172,9786.04067993164,8990.300636291504,8816.700626373291,8819.180606842041,9270.880668640137
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",0,9.17161667510802,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,9208.660648345947,8974.660652160645,8880.080661773682,9049.5206489563,9441.820629119871,9208.660648345947,8974.660652160645,8880.080661773682,9049.5206489563,9441.820629119871,8629.540618896484
22:5 Cholesteryl ester,0,9.48042075920969,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,11150.260776519775,11687.780792236328,10668.200759887695,11203.880809783936,12431.660865783691,11150.260776519775,11687.780792236328,10668.200759887695,11203.880809783936,12431.660865783691,9316.760669708252
22:6 Cholesteryl ester,0,10.805545301897164,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,26480.221752166748,34351.02230834961,29221.262046813965,23763.46188354492,37119.5227394104,26480.221752166748,34351.02230834961,29221.262046813965,23763.46188354492,37119.5227394104,8473.980602264404
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",0,9.273021049448744,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CE,9563.22063446045,9723.520690917969,10238.260726928713,9881.160747528076,9292.10064315796,9563.22063446045,9723.520690917969,10238.260726928713,9881.160747528076,9292.10064315796,9609.860683441162
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",0,8.991399058832771,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CAR,7193.1204833984375,8714.340644836426,8474.560585021973,7817.540523529053,7634.260551452637,7193.1204833984375,8714.340644836426,8474.560585021973,7817.540523529053,7634.260551452637,8379.040599822998
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",0,9.44970921553084,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CAR,10999.46078491211,10954.660766601562,11684.840850830078,10311.9407081604,10876.40079498291,10999.46078491211,10954.660766601562,11684.840850830078,10311.9407081604,10876.40079498291,11294.42084121704
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",0,9.51523858407817,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CAR,13688.201053619385,10603.780700683594,16960.001182556152,7779.860576629639,10623.060760498049,13688.201053619385,10603.780700683594,16960.001182556152,7779.860576629639,10623.060760498049,7426.280570983887
C12:0,0,14.544183831324117,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,FA,397419.16796875,404795.4096679687,357318.04443359375,357572.20361328125,391951.4091796875,397419.16796875,404795.4096679687,357318.04443359375,357572.20361328125,391951.4091796875,317237.04248046875
C12:1,0,14.827770944609252,3.637978807091713e-10,0.999984781559739,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,FA,426497.6689453125,497496.1767578125,424308.33056640625,482191.3525390625,437906.232421875,426497.6689453125,497496.1767578125,424308.33056640625,482191.3525390625,437906.232421875,493761.1142578125
C14:1,0,15.520296862328596,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,FA,770915.7314453125,761247.0703125,627102.865234375,711979.046875,900056.4013671875,770915.7314453125,761247.0703125,627102.865234375,711979.046875,900056.4013671875,590455.8642578125
C18:0,0,16.63002759359761,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,FA,1564533.484375,1766853.1171875,1603816.03125,1530548.29296875,1617240.10546875,1564533.484375,1766853.1171875,1603816.03125,1530548.29296875,1617240.10546875,1391278.875
C19:0,0,16.233498513656848,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,FA,1213776.84375,1286329.58984375,1193957.34765625,1149673.83984375,1298124.09375,1213776.84375,1286329.58984375,1193957.34765625,1149673.83984375,1298124.09375,1051877.1337890625
C20:0,0,17.40522126434475,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,FA,2752565.697265625,2762564.39453125,2810568.265625,2665492.2744140625,2743455.185546875,2752565.697265625,2762564.39453125,2810568.265625,2665492.2744140625,2743455.185546875,2564121.353515625
C20:1,0,14.800638898012714,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,FA,441928.91015625,467829.6142578125,529655.955078125,396131.97021484375,453412.7529296875,441928.91015625,467829.6142578125,529655.955078125,396131.97021484375,453412.7529296875,363224.00634765625
C22:0,0,16.31125047013562,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,FA,1278306.0625,1312721.728515625,1300567.28515625,1258958.5327148438,1296348.5966796875,1278306.0625,1312721.728515625,1300567.28515625,1258958.5327148438,1296348.5966796875,1176931.611328125
C22:1,0,14.138386283021601,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,FA,259253.17919921875,299025.6416015625,286784.28173828125,291241.0002441406,270040.63720703125,259253.17919921875,299025.6416015625,286784.28173828125,291241.0002441406,270040.63720703125,306812.91943359375
C22:4,0,14.177272045888259,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,FA,279612.8603515625,310981.48193359375,307725.20361328125,278677.72021484375,290028.00146484375,279612.8603515625,310981.48193359375,307725.20361328125,278677.72021484375,290028.00146484375,272245.138671875
C24:0,0,13.64750792049511,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,FA,203958.99472045896,203980.3159866333,209732.3956604004,193793.35398864743,211180.456741333,203958.99472045896,203980.3159866333,209732.3956604004,193793.35398864743,211180.456741333,175408.8727493286
C24:1,0,13.301694907911603,1.2315126696194056e-10,0.9999911455925361,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,FA,158470.0103302002,162320.91107940674,160566.03108215332,153225.45236968994,164290.27043914795,158470.0103302002,162320.91107940674,160566.03108215332,153225.45236968994,164290.27043914795,149376.490234375
C24:5,0,14.071824425829385,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,FA,279957.46337890625,290178.83984375,282014.162109375,245801.31689453125,279969.77880859375,279957.46337890625,290178.83984375,282014.162109375,245801.31689453125,279969.77880859375,225283.4560546875
C24:6,0,13.83782412059675,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,FA,227795.8779296875,253592.15673828125,240040.35791015625,216336.59399414065,226447.85546875,227795.8779296875,253592.15673828125,240040.35791015625,216336.59399414065,226447.85546875,206195.2138671875
C26:0,0,13.535647664750535,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,FA,183435.07354736328,196148.27264404297,197070.5328369141,175716.4126586914,194878.43353271484,183435.07354736328,196148.27264404297,197070.5328369141,175716.4126586914,194878.43353271484,160921.02989196777
C26:1,0,13.739243663238696,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,FA,214568.755859375,221483.2352294922,217743.55407714844,210119.4156494141,219799.93627929688,214568.755859375,221483.2352294922,217743.55407714844,210119.4156494141,219799.93627929688,198837.61322021484
C28:0,0,13.630544212456103,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,FA,213857.89501953125,209184.255859375,203960.65356445312,185559.93432617188,206251.916015625,213857.89501953125,209184.255859375,203960.65356445312,185559.93432617188,206251.916015625,157839.27172851562
